"구분","순위","상병명 코드","상병명칭","진료인원(실인원)","진료인원(연인원)","진료비(천원)","연령별 59이하","연령별(60-64)","연령별(65-69)","연령별(70-79)","연령별(80-89)","연령별(90이상)"
"외래","1"," N40 "," 전립선증식증 ","16228","0","808529","160","100","169","1529","170","44"
"외래","2"," Z26 "," 기타 단일 감염성 질환에 대한 예방접종의 필요 ","12292","0","421245","478","341","638","4086","848","164"
"외래","3"," I10 "," 본태성(일차성)고혈압 ","10461","0","734597","303","226","308","2547","508","143"
"외래","4"," K05 "," 치은염(잇몸염)및 치주 질환 ","8292","0","1053060","68","142","281","2357","251","39"
"외래","5"," E11 "," 인슐린-비의존 당뇨병 ","6555","0","615718","46","50","54","1241","347","78"
"외래","6"," M48 "," 기타 척추병증 ","4512","0","660695","591","679","883","6153","1630","525"
"외래","7"," H04 "," 눈물기관의 장애 ","4035","0","261023","13","43","74","1545","342","79"
"외래","8"," M19 "," 연기, 불 및 화염에 노출 ","3298","0","577122","218","30","88","1498","96","12"
"외래","9"," H25 "," 노인성 백내장 ","3138","0","264370","189","109","144","1776","158","46"
"외래","10"," M54 "," 배통 ","2984","0","92629","667","386","675","5647","787","130"
"외래","11"," L24 "," 자극성 접촉피부염 ","2517","0","61807","122","71","121","1283","173","30"
"외래","12"," K04 "," 치수 및 치근단주위조직의 질환 ","2422","0","459074","180","130","177","1334","210","46"
"외래","13"," B35 "," 피부사상균증 ","2172","0","75233","197","95","153","1718","301","53"
"외래","14"," I63 "," 뇌경색증 ","2096","0","303895","216","250","285","2139","331","77"
"외래","15"," K29 "," 위염 및 십이지장염 ","2077","0","197367","153","122","362","3003","702","170"
"외래","16"," R52 "," 달리 분류되지 않은 통증 ","1967","0","248360","151","218","167","2187","237","24"
"외래","17"," K02 "," 치아우식증 ","1942","0","317502","190","94","191","1066","117","5"
"외래","18"," H90 "," 전음성 및 감각신경성 청력소실 ","1816","0","105192","273","444","780","11694","2356","681"
"외래","19"," K21 "," 위-식도역류병 ","1800","0","94475","267","172","174","1101","198","55"
"외래","20"," M75 "," 어깨병변 ","1663","0","134659","5154","1528","1347","3718","452","93"
