"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59이하","60-64","65-69","70-79","80-89","90이상"
"외래","8","  K63  ","  장의 기타 질환  ","9998","9998","1491421","586","581","805","7234","727","65"
"외래","9","  E86  ","  용적고갈  ","9158","9158","259394","264","421","657","6145","1262","409"
"외래","10","  Z29  ","  기타 예방적 조치의 필요   ","8828","8828","395597","4273","441","362","3138","524","90"
"외래","11","  M17  ","  무릎관절증  ","8772","8772","1266850","395","359","779","5659","1354","226"
"외래","12","  I69  ","  뇌혈관질환의 후유증  ","8529","8529","660335","247","167","436","5933","1375","371"
"외래","13","  K29  ","  위염 및 십이지장염  ","8335","8335","767790","1377","803","863","4403","730","159"
"외래","14","  N18  ","  만성 신장병  ","8090","8090","1229458","794","600","260","4510","1351","575"
"외래","15","  F03  ","  상세불명의 치매  ","5843","5843","551397","1","46","164","3300","1624","708"
"외래","16","  M75  ","  어깨병변  ","5518","5518","826708","505","261","571","3685","396","100"
"외래","17","  R42  ","  어지럼증 및 어지럼  ","4965","4965","562031","204","156","378","3230","715","282"
"외래","18","  I20  ","  협심증  ","4786","4786","496652","92","81","188","3774","520","131"
"외래","19","  L29  ","  가려움  ","4698","4698","155315","196","119","185","3487","576","135"
"외래","20"," Z26 "," 기타 단일 감염성 질환에 대한 예방접종의 필요 ","4405","4405","272943","1677","558","451","1510","182","27"
