"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원연인원","16","M51","기타 추간판장애","94","2180","540846","468","26","82","1527","77","0"
"입원연인원","17","S32","허리뼈 및 골반의 골절","126","2120","465527","89","0","121","1250","502","158"
"입원연인원","18","K80","담석증","110","1867","847848","192","65","12","1003","494","101"
"입원연인원","19","E11","인슐린-비의존 당뇨병","97","1836","430425","169","93","26","1458","90","0"
"입원연인원","20","C61","전립선의 악성 신생물","137","1816","1023876","0","74","54","1436","181","71"
"외래","1","N40","전립선증식증","26623","","1940286","655","986","1491","19536","2946","1009"
"외래","2","M48","기타 척추병증","22672","","2634838","1481","1338","1831","15448","2137","437"
"외래","3","I10","본태성(원발성) 고혈압","20401","","1262057","1861","1274","2089","12218","2329","630"
"외래","4","E11","인슐린-비의존 당뇨병","18786","","1767455","1541","1175","1607","12499","1707","257"
"외래","5","I20","협심증","16599","","1544904","996","787","1336","11647","1559","274"
"외래","6","E30","달리 분류되지 않은 사춘기의 장애","15383","","1427994","15380","3","0","0","0","0"
"외래","7","M17","윤충증","14420","","1434680","732","953","1661","9394","1438","242"
"외래","8","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","13744","","1178811","8308","1186","901","2090","914","345"
"외래","9","K05","치은염(잇몸염)및 치주 질환","13270","","2912026","1061","771","993","9364","850","231"
"외래","10","H25","노인성 백내장","11429","","892912","77","282","682","9375","837","176"
"외래","11","K21","위-식도역류병","9135","","922242","774","547","712","6045","918","139"
"외래","12","I63","뇌경색증","7870","","652287","575","428","460","4953","1239","215"
"외래","13","M75","어깨병변","6108","","455196","893","359","617","3912","294","33"
"외래","14","J44","기타 만성 폐쇄성 폐질환","6100","","565913","162","156","242","4556","724","260"
"외래","15","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","5830","","1675571","1169","655","397","3009","589","11"
"외래","16","F00","알츠하이머병에서의 치매(G30.-+)","5815","","321158","21","41","124","2314","2600","715"
"외래","17","K02","치아우식증","5031","","1148098","464","228","240","3813","260","26"
"외래","18","B35","피부사상균증","4792","","144668","217","193","270","3755","298","59"
"외래","19","J30","혈관운동성 및 앨러지성 비염","3895","","199356","636","107","152","2604","288","108"
"외래","20","J00","급성 코인두염 [감기]","3692","","224050","1691","117","231","1351","253","49"
