진료과,순위,상명코드,상병명,건수,지역,년도
내과,17,K63,창자의 기타 질환,88,대전,2019
내과,18,K59,기타 기능적 창자 장애,75,대전,2019
내과,19,J98,기타 호흡장애,72,대전,2019
내과,20,B18,만성 바이러스간염,70,대전,2019
류마티스내과,1,E11,인슐린-비의존 당뇨병,3691,대전,2019
류마티스내과,2,I10,본태성(일차성)고혈압,2216,대전,2019
류마티스내과,3,M15,진균증,492,대전,2019
류마티스내과,4,M10,활막 및 건 장애,482,대전,2019
류마티스내과,5,M19,"연기, 불 및 화염에 노출",383,대전,2019
류마티스내과,6,M05,흑색종 및 피부의 기타 악성 신생물,261,대전,2019
류마티스내과,7,E78,지질단백질대사장애 및 기타 지질증,232,대전,2019
류마티스내과,8,E79,퓨린 및 피리미딘의 대사장애,112,대전,2019
류마티스내과,9,M17,윤충증,83,대전,2019
류마티스내과,10,E87,수분. 전해질 및 산-염기균형의 기타장애,80,대전,2019
류마티스내과,11,M06,피부 및 피하조직의 방사선 관련성 장애,76,대전,2019
류마티스내과,12,M35,달리 분류된 질환 및 사망원인과 관련된 보조 요인,68,대전,2019
류마티스내과,13,M81,병적골절이 없는 골다공증,64,대전,2019
류마티스내과,14,E03,기타 갑상선기능저하증,62,대전,2019
류마티스내과,15,K59,기타 기능적 창자 장애,55,대전,2019
류마티스내과,16,M79,달리 분류되지 않은 기타 연조직장애,40,대전,2019
류마티스내과,17,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,35,대전,2019
류마티스내과,18,K29,위염 및 십이지장염,33,대전,2019
류마티스내과,19,M45,강직척추염,31,대전,2019
류마티스내과,20,I20,협심증,29,대전,2019
비뇨의학과,1,N40,전립선증식증,26995,대전,2019
비뇨의학과,2,C61,전립선의 악성 신생물,2313,대전,2019
비뇨의학과,3,N31,달리 분류되지 않은 방광의 신경근육기능장애,1393,대전,2019
비뇨의학과,4,R31,상세불명의 혈뇨,442,대전,2019
비뇨의학과,5,N39,비뇨기계통의 기타 장애,353,대전,2019
비뇨의학과,6,C67,방광의 악성 신생물,297,대전,2019
비뇨의학과,7,N20,콩팥(신장)및 요관의 결석,249,대전,2019
비뇨의학과,8,N21,하부요로의 결석,143,대전,2019
비뇨의학과,9,F52,기질적 장애나 질병에 의하지 않은 성기능 이상,120,대전,2019
비뇨의학과,10,N30,방광염,110,대전,2019
비뇨의학과,11,N45,고환염 및 부고환염,92,대전,2019
비뇨의학과,12,C64,콩팥깔때기를  제외한 콩팥(신장)의 악성 신생물,59,대전,2019
비뇨의학과,13,N43,음낭수종 및 정액류,52,대전,2019
비뇨의학과,14,N10,급성 세뇨관-사이질성 신염,50,대전,2019
비뇨의학과,15,Q61,낭성 콩팥(신장)병,50,대전,2019
비뇨의학과,16,N13,폐쇄성 및 역류성 요로병증,48,대전,2019
비뇨의학과,17,N41,전립선의 염증성 질환,39,대전,2019
비뇨의학과,18,R32,상세불명의 요실금,34,대전,2019
비뇨의학과,19,S37,비뇨기 및 골반 장기의 손상,33,대전,2019
비뇨의학과,20,N35,요도협착,33,대전,2019
산부인과,1,N95,폐경기 및 기타 폐경기전후 장애,623,대전,2019
산부인과,2,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,255,대전,2019
산부인과,3,N76,질 및 외음부의 기타 염증,147,대전,2019
산부인과,4,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,50,대전,2019
산부인과,5,M81,병적골절이 없는 골다공증,43,대전,2019
산부인과,6,B37,칸디다증,28,대전,2019
산부인과,7,R10,복부 및 골반통증,20,대전,2019
산부인과,8,N93,기타 이상 자궁 및 질 출혈,19,대전,2019
산부인과,9,Z01,호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사,17,대전,2019
산부인과,10,D25,자궁의 평활근종,15,대전,2019
산부인과,11,N72,자궁목의 염증성 질환,13,대전,2019
산부인과,12,N31,달리 분류되지 않은 방광의 신경근육기능장애,12,대전,2019
산부인과,13,N94,여성생식기관 및 월경주기와 관련된 통증 및 기타 병태,12,대전,2019
산부인과,14,L29,소양증,12,대전,2019
산부인과,15,N30,방광염,11,대전,2019
산부인과,16,R35,다뇨증,11,대전,2019
산부인과,17,N92,과다. 빈발 및 불규칙 월경,11,대전,2019
산부인과,18,A60,항문성기의 헤르페스바이러스[단순 헤르페스]감염,10,대전,2019
산부인과,19,N91,무월경. 소량 및 희발 월경,10,대전,2019
산부인과,20,N71,자궁목을 제외한 자궁의 염증성 질환,10,대전,2019
소아청소년과,1,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,266,대전,2019
소아청소년과,2,Z24,특정한 단일 바이러스질환에 대한 예방접종의 필요,28,대전,2019
소아청소년과,3,J00,급성 코인두염[감기],18,대전,2019
소아청소년과,4,T14,상세불명의 신체부위의 손상,12,대전,2019
소아청소년과,5,R68,기타 전신 증상 및 징후,11,대전,2019
소아청소년과,6,A09,감염성 및 상세불명 기원의 기타 위장염 및 대장염,8,대전,2019
소아청소년과,7,J09,확인된 조류 인플루엔자 바이러스에 의한 인플루엔자,6,대전,2019
소아청소년과,8,K59,기타 기능적 창자 장애,6,대전,2019
소아청소년과,9,B34,상세불명 부위의 바이러스감염,5,대전,2019
소아청소년과,10,K29,위염 및 십이지장염,5,대전,2019
소아청소년과,11,J18,상세불명 병원체의 폐렴,5,대전,2019
소아청소년과,12,M25,달리 분류되지 않은 기타 관절장애,4,대전,2019
소아청소년과,13,J20,급성 기관지염,4,대전,2019
소아청소년과,14,J01,급성 부비동염,3,대전,2019
소아청소년과,15,L04,"내분비, 영양 및 대사 질환",3,대전,2019
소아청소년과,16,J30,혈관운동성 및 앨러지성 비염,3,대전,2019
소아청소년과,17,Z23,단일 세균성 질환에 대한 예방접종의 필요,2,대전,2019
소아청소년과,18,R63,음식 및 수액섭취에 관계된 증상 및 징후,2,대전,2019
소아청소년과,19,H66,화농성 및 상세불명의 중이염,2,대전,2019
소아청소년과,20,R31,상세불명의 혈뇨,2,대전,2019
소화기 내과,1,K29,위염 및 십이지장염,5280,대전,2019
소화기 내과,2,K63,창자의 기타 질환,4596,대전,2019
소화기 내과,3,K21,위-식도역류병,2612,대전,2019
소화기 내과,4,K59,기타 기능적 창자 장애,2236,대전,2019
소화기 내과,5,E11,인슐린-비의존 당뇨병,1925,대전,2019
소화기 내과,6,K58,자극성 장증후군,1693,대전,2019
소화기 내과,7,I12,고혈압성 콩팥(신장)병,1005,대전,2019
소화기 내과,8,K25,위궤양,917,대전,2019
소화기 내과,9,K76,간의 기타 질환,873,대전,2019
소화기 내과,10,B18,만성 바이러스간염,753,대전,2019
소화기 내과,11,C16,위의 악성 신생물,591,대전,2019
소화기 내과,12,K73,달리 분류되지 않은 만성 간염,473,대전,2019
소화기 내과,13,D12,결장. 직장. 항문 및 항문관의 양성 신생물,470,대전,2019
소화기 내과,14,K26,십이지장궤양,373,대전,2019
소화기 내과,15,A09,감염성 및 상세불명 기원의 기타 위장염 및 대장염,370,대전,2019
소화기 내과,16,C22,간 및 간내담관의 악성 신생물,353,대전,2019
소화기 내과,17,E78,지질단백질대사장애 및 기타 지질증,308,대전,2019
소화기 내과,18,K75,기타 염증성 간질환,301,대전,2019
소화기 내과,19,D13,기타 및 부위불명의 소화계통의 양성 신생물,299,대전,2019
소화기 내과,20,K70,알콜성 간질환,246,대전,2019
신경과,1,I69,대뇌혈관 질환의 후유증,8647,대전,2019
신경과,2,F03,상세불명의 치매,6421,대전,2019
신경과,3,R42,현기 및 어지러움,4852,대전,2019
신경과,4,R51,두통,4265,대전,2019
신경과,5,I65,대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착,1609,대전,2019
신경과,6,I67,기타 대뇌혈관 질환,1365,대전,2019
신경과,7,I63,뇌경색증,1280,대전,2019
신경과,8,R25,이상적 불수의적 운동,679,대전,2019
신경과,9,G25,기타 추체외로 및 운동 장애,669,대전,2019
신경과,10,R41,인지기능 및 자각에 관한 기타 증상 및 징후,669,대전,2019
신경과,11,G22,달리 분류된 질환에서의 파킨슨증,479,대전,2019
신경과,12,G45,일과성 대뇌허혈발작 및 관련 증후군,466,대전,2019
신경과,13,G40,뇌전증,428,대전,2019
신경과,14,G30,알츠하이머병,385,대전,2019
신경과,15,G20,파킨슨병,338,대전,2019
신경과,16,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,230,대전,2019
신경과,17,F06,뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,176,대전,2019
신경과,18,M79,달리 분류되지 않은 기타 연조직장애,139,대전,2019
신경과,19,R55,실신 및 허탈,126,대전,2019
신경과,20,G51,얼굴신경 장애,100,대전,2019
신경외과,1,M48,기타 척추병증,1218,대전,2019
신경외과,2,I67,기타 대뇌혈관 질환,841,대전,2019
신경외과,3,M54,배통,733,대전,2019
신경외과,4,S06,머리내 손상,708,대전,2019
신경외과,5,I69,대뇌혈관 질환의 후유증,648,대전,2019
신경외과,6,I61,뇌내출혈,411,대전,2019
신경외과,7,M51,기타 추간판장애,359,대전,2019
신경외과,8,I63,뇌경색증,296,대전,2019
신경외과,9,T90,머리의 손상의 후유증,184,대전,2019
신경외과,10,M50,목뼈원판 장애,166,대전,2019
신경외과,11,M47,척추증,150,대전,2019
신경외과,12,S13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",126,대전,2019
신경외과,13,R51,두통,105,대전,2019
신경외과,14,S33,"허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",105,대전,2019
신경외과,15,D43,뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,86,대전,2019
신경외과,16,M96,달리 분류되지 않은 처치후 근육골격 장애,74,대전,2019
신경외과,17,S00,머리의 표재성 손상,71,대전,2019
신경외과,18,I65,대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착,70,대전,2019
신경외과,19,S22,늑골. 흉골 및 흉추골의 골절,62,대전,2019
신경외과,20,D35,기타 및 상세불명의 내분비선의 양성 신생물,52,대전,2019
신장내과,1,N18,만성 콩팥(신장)기능상실,5966,대전,2019
신장내과,2,E11,인슐린-비의존 당뇨병,1190,대전,2019
신장내과,3,R60,달리 분류되지 않은 부종,686,대전,2019
신장내과,4,I10,본태성(일차성)고혈압,630,대전,2019
신장내과,5,E87,수분. 전해질 및 산-염기균형의 기타장애,141,대전,2019
신장내과,6,N39,비뇨기계통의 기타 장애,133,대전,2019
신장내과,7,E21,부갑상선기능항진증 및 부갑상선의 기타장애,90,대전,2019
신장내과,8,N17,급성 콩팥(신장)기능상실,86,대전,2019
신장내과,9,N10,급성 세뇨관-사이질성 신염,78,대전,2019
신장내과,10,I48,심방세동 및 조동,60,대전,2019
신장내과,11,R31,상세불명의 혈뇨,55,대전,2019
신장내과,12,R52,달리 분류되지 않은 통증,48,대전,2019
신장내과,13,Q61,낭성 콩팥(신장)병,43,대전,2019
신장내과,14,Q27,말초혈관계통의 기타 선천기형,36,대전,2019
신장내과,15,E78,지질단백질대사장애 및 기타 지질증,35,대전,2019
신장내과,16,J18,상세불명 병원체의 폐렴,32,대전,2019
신장내과,17,Z94,이식한 장기 및 조직의 상태,30,대전,2019
신장내과,18,R82,요의 기타 이상소견,23,대전,2019
신장내과,19,N28,달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애,22,대전,2019
신장내과,20,N30,방광염,21,대전,2019
심장 내과,1,I10,본태성(일차성)고혈압,6596,대전,2019
심장 내과,2,I20,협심증,5061,대전,2019
심장 내과,3,Z95,심장 및 혈관 삽입물 및 이식편의 존재,4440,대전,2019
심장 내과,4,I48,심방세동 및 조동,2291,대전,2019
심장 내과,5,R07,인후 및 흉곽의 동통,1231,대전,2019
심장 내과,6,E78,지질단백질대사장애 및 기타 지질증,581,대전,2019
심장 내과,7,I25,만성 허혈심장병,552,대전,2019
심장 내과,8,R06,호흡의 이상,449,대전,2019
심장 내과,9,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,447,대전,2019
심장 내과,10,I50,심장기능상실(심부전),436,대전,2019
심장 내과,11,R00,심장박동의 이상,354,대전,2019
심장 내과,12,I70,죽상경화증,306,대전,2019
심장 내과,13,I73,기타 말초혈관질환,231,대전,2019
심장 내과,14,E11,인슐린-비의존 당뇨병,199,대전,2019
심장 내과,15,I47,발작성 빠른맥,182,대전,2019
심장 내과,16,I49,기타 심장성 부정맥,182,대전,2019
심장 내과,17,I71,대동맥류 및 박리,159,대전,2019
심장 내과,18,R55,실신 및 허탈,107,대전,2019
심장 내과,19,R60,달리 분류되지 않은 부종,101,대전,2019
심장 내과,20,I35,비류마티스성 대동맥판장애,95,대전,2019
안과,1,H04,눈물기관의 장애,3079,대전,2019
안과,2,H01,안검의 기타 염증,2942,대전,2019
안과,3,H25,노인성 백내장,2255,대전,2019
안과,4,H40,녹내장,2246,대전,2019
안과,5,H36,달리 분류된 질환에서의 망막장애,896,대전,2019
안과,6,H35,기타 망막장애,656,대전,2019
안과,7,H02,안검의 기타 장애,576,대전,2019
안과,8,H26,기타 백내장,415,대전,2019
안과,9,H16,각막염,341,대전,2019
안과,10,H11,결막의 기타 장애,300,대전,2019
안과,11,H34,망막혈관폐쇄,266,대전,2019
안과,12,H52,굴절 및 조절의 장애,250,대전,2019
안과,13,H43,초자체의 장애,236,대전,2019
안과,14,H10,결막염,215,대전,2019
안과,15,H54,실명을 포함한 시력장애(양안의 또는 단안의),61,대전,2019
안과,16,H17,각막 흉터 및 혼탁,60,대전,2019
안과,17,H33,망막박리 및 망막이단(離斷),55,대전,2019
안과,18,H00,맥립종 및 콩다래끼,48,대전,2019
안과,19,H49,마비성 사시,45,대전,2019
안과,20,Z96,기타 기능적 삽입물의 존재,44,대전,2019
외과,1,E04,기타 비중독성 갑상선종,1013,대전,2019
외과,2,C73,갑상선의 악성 신생물,538,대전,2019
외과,3,L72,피부 및 피하조직의 모낭성 낭,500,대전,2019
외과,4,K64,치핵 및 항문주위정맥혈전증,474,대전,2019
외과,5,I83,하지의 정맥류,458,대전,2019
외과,6,K40,서혜헤르니아,256,대전,2019
외과,7,L89,욕창성 및 압박부위 궤양,223,대전,2019
외과,8,C16,위의 악성 신생물,222,대전,2019
외과,9,R22,피부 및 피하조직의 국한적 종창. 종괴 및 소괴,221,대전,2019
외과,10,K80,담석증,218,대전,2019
외과,11,C18,결장의 악성 신생물,214,대전,2019
외과,12,S22,늑골. 흉골 및 흉추골의 골절,182,대전,2019
외과,13,I70,죽상경화증,177,대전,2019
외과,14,N18,만성 콩팥(신장)기능상실,173,대전,2019
외과,15,N64,유방의 기타 장애,168,대전,2019
외과,16,C20,직장의 악성 신생물,166,대전,2019
외과,17,D17,양성 지방종성 신생물,165,대전,2019
외과,18,E03,기타 갑상선기능저하증,160,대전,2019
외과,19,L60,손발톱장애,150,대전,2019
외과,20,R07,인후 및 흉곽의 동통,136,대전,2019
응급실,1,R52,달리 분류되지 않은 통증,1281,대전,2019
응급실,2,A09,감염성 및 상세불명 기원의 기타 위장염 및 대장염,513,대전,2019
응급실,3,M87,골괴사증,415,대전,2019
응급실,4,M54,배통,301,대전,2019
응급실,5,Z71,달리 분류되지 않은 기타 상담 및 의학적 권고를 위해 보건서비스와 접하고 있는 사람,232,대전,2019
응급실,6,R42,현기 및 어지러움,178,대전,2019
응급실,7,L50,두드러기,154,대전,2019
응급실,8,K29,위염 및 십이지장염,133,대전,2019
응급실,9,J18,상세불명 병원체의 폐렴,126,대전,2019
응급실,10,R53,병감 및 피로,112,대전,2019
응급실,11,J06,다발성 및 상세불명 부위의 급성 상기도감염,109,대전,2019
응급실,12,I63,뇌경색증,106,대전,2019
응급실,13,R51,두통,101,대전,2019
응급실,14,K59,기타 기능적 창자 장애,95,대전,2019
응급실,15,T14,상세불명의 신체부위의 손상,93,대전,2019
응급실,16,S69,손목 및 손의 기타 및 상세불명의 손상,82,대전,2019
응급실,17,H81,전정기능의 장애,82,대전,2019
응급실,18,R50,원인 미상의 열,80,대전,2019
응급실,19,N31,달리 분류되지 않은 방광의 신경근육기능장애,70,대전,2019
응급실,20,S06,머리내 손상,70,대전,2019
이비인후과,1,J30,혈관운동성 및 앨러지성 비염,3392,대전,2019
이비인후과,2,H90,전음성 및 감각신경성 청력소실,2312,대전,2019
이비인후과,3,J37,만성후두염 및 후두기관염,1704,대전,2019
이비인후과,4,H93,달리 분류되지 않은 귀의 기타 장애,1143,대전,2019
이비인후과,5,H60,외이염,884,대전,2019
이비인후과,6,K14,혀의 질환,572,대전,2019
이비인후과,7,J34,코 및 코옆굴의 기타 장애,430,대전,2019
이비인후과,8,J32,만성 부비동염,399,대전,2019
이비인후과,9,J02,급성 인두염,364,대전,2019
이비인후과,10,J00,급성 코인두염[감기],286,대전,2019
이비인후과,11,R42,현기 및 어지러움,266,대전,2019
이비인후과,12,R04,호흡기도 출혈,173,대전,2019
이비인후과,13,H65,비화농성 중이염,160,대전,2019
이비인후과,14,H66,화농성 및 상세불명의 중이염,145,대전,2019
이비인후과,15,H61,외이의 기타장애,114,대전,2019
이비인후과,16,H81,전정기능의 장애,100,대전,2019
이비인후과,17,J31,만성비염. 비인두염 및 인두염,92,대전,2019
이비인후과,18,R06,호흡의 이상,85,대전,2019
이비인후과,19,I88,비특정 림프절염,65,대전,2019
이비인후과,20,J33,코폴립,64,대전,2019
일반검진,1,K29,위염 및 십이지장염,2137,대전,2019
일반검진,2,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,117,대전,2019
일반검진,3,K21,위-식도역류병,58,대전,2019
일반검진,4,K25,위궤양,56,대전,2019
일반검진,5,K63,창자의 기타 질환,51,대전,2019
일반검진,6,D13,기타 및 부위불명의 소화계통의 양성 신생물,34,대전,2019
일반검진,7,K26,십이지장궤양,22,대전,2019
일반검진,8,K31,위 및 십이지장의 기타 질환,14,대전,2019
일반검진,9,K58,자극성 장증후군,11,대전,2019
일반검진,10,D12,결장. 직장. 항문 및 항문관의 양성 신생물,3,대전,2019
일반검진,11,J47,기관지확장증,2,대전,2019
일반검진,12,K27,상세불명 부위의 소화성 궤양,2,대전,2019
일반검진,13,C16,위의 악성 신생물,2,대전,2019
일반검진,14,K20,식도염,2,대전,2019
일반검진,15,J00,급성 코인두염[감기],1,대전,2019
일반검진,16,K59,기타 기능적 창자 장애,1,대전,2019
일반검진,17,C19,직장구불결장접합부의 악성 신생물,1,대전,2019
재활의학과,1,M54,배통,10471,대전,2019
재활의학과,2,M51,기타 추간판장애,2284,대전,2019
재활의학과,3,G63,달리 분류된 질환에서의 다발신경병증,2219,대전,2019
재활의학과,4,G81,편마비,1870,대전,2019
재활의학과,5,M17,윤충증,1169,대전,2019
재활의학과,6,M48,기타 척추병증,961,대전,2019
재활의학과,7,I69,대뇌혈관 질환의 후유증,728,대전,2019
재활의학과,8,G82,하반신마비 및 사지마비,705,대전,2019
재활의학과,9,M75,어깨병변,616,대전,2019
재활의학과,10,G62,기타 다발신경병증,493,대전,2019
재활의학과,11,S34,복부. 하배부 및 골반 부위에서의 신경 및 요수의 손상,362,대전,2019
재활의학과,12,M50,목뼈원판 장애,341,대전,2019
재활의학과,13,M24,기타 특정 관절장애,310,대전,2019
재활의학과,14,M13,추 락,238,대전,2019
재활의학과,15,M77,기타 골부착부병증,197,대전,2019
재활의학과,16,R26,보행과 이동의 이상,112,대전,2019
재활의학과,17,G80,유아성 뇌성마비,111,대전,2019
재활의학과,18,G22,달리 분류된 질환에서의 파킨슨증,105,대전,2019
재활의학과,19,G60,유전성 및 특발성 신경병증,103,대전,2019
재활의학과,20,G95,척수의 기타질환,95,대전,2019
정신건강의학과,1,F51,비기질적 수면 장애,1990,대전,2019
정신건강의학과,2,F32,우울증 에피소드,1834,대전,2019
정신건강의학과,3,F43,심한 스트레스에 대한 반응 및 적응장애,1433,대전,2019
정신건강의학과,4,F03,상세불명의 치매,719,대전,2019
정신건강의학과,5,F33,재발성 우울장애,646,대전,2019
정신건강의학과,6,F41,기타 불안장애,634,대전,2019
정신건강의학과,7,F20,조현병,346,대전,2019
정신건강의학과,8,F31,양극성 정동장애,241,대전,2019
정신건강의학과,9,F10,알콜사용에 의한 정신및 행동장애,219,대전,2019
정신건강의학과,10,F00,알츠하이머병에서의 치매(G30.-+),170,대전,2019
정신건강의학과,11,F06,뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,128,대전,2019
정신건강의학과,12,Z71,달리 분류되지 않은 기타 상담 및 의학적 권고를 위해 보건서비스와 접하고 있는 사람,114,대전,2019
정신건강의학과,13,F45,신체형장애,83,대전,2019
정신건강의학과,14,F34,지속성 기분[정동]장애,80,대전,2019
정신건강의학과,15,F40,공포성 불안장애,68,대전,2019
정신건강의학과,16,F25,조현정동장애,43,대전,2019
정신건강의학과,17,F48,기타 신경성 장애,37,대전,2019
정신건강의학과,18,F39,상세불명의 기분[정동]장애,33,대전,2019
정신건강의학과,19,F29,상세불명의 비기질적 정신병,32,대전,2019
정신건강의학과,20,F42,강박장애,24,대전,2019
정형외과,1,M48,기타 척추병증,11092,대전,2019
정형외과,2,M17,윤충증,5678,대전,2019
정형외과,3,M15,진균증,3617,대전,2019
정형외과,4,M75,어깨병변,3302,대전,2019
정형외과,5,M43,기타 변형성 배병증,1867,대전,2019
정형외과,6,M96,달리 분류되지 않은 처치후 근육골격 장애,1786,대전,2019
정형외과,7,M81,병적골절이 없는 골다공증,1716,대전,2019
정형외과,8,M51,기타 추간판장애,1566,대전,2019
정형외과,9,S32,허리뼈 및 골반의 골절,877,대전,2019
정형외과,10,S22,늑골. 흉골 및 흉추골의 골절,799,대전,2019
정형외과,11,M23,유독성 물질에 의한 불의의 중독 및 노출,527,대전,2019
정형외과,12,M54,배통,422,대전,2019
정형외과,13,S72,대퇴골의 골절,403,대전,2019
정형외과,14,S52,아래팔의 골절,320,대전,2019
정형외과,15,M10,활막 및 건 장애,300,대전,2019
정형외과,16,S82,발목을 포함한 아래다리의 골절,259,대전,2019
정형외과,17,I73,기타 말초혈관질환,257,대전,2019
정형외과,18,M65,활막염 및 건초염,225,대전,2019
정형외과,19,L02,"피부의 농양, 종기 및 큰종기",216,대전,2019
정형외과,20,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,197,대전,2019
종합검진,1,K29,위염 및 십이지장염,3,대전,2019
종합검진,2,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,2,대전,2019
종합검진,3,K31,위 및 십이지장의 기타 질환,1,대전,2019
종합검진,4,K63,창자의 기타 질환,1,대전,2019
종합검진,5,K25,위궤양,1,대전,2019
치과,1,K05,치은염(잇몸염)및 치주 질환,15130,대전,2019
치과,2,K08,치아 및 지지구조의 기타 장애,7802,대전,2019
치과,3,K02,치아우식증,6787,대전,2019
치과,4,K04,치수 및 치근단주위조직의 질환,3456,대전,2019
치과,5,K03,치아경조직의 기타 질환,587,대전,2019
치과,6,S02,머리뼈 및 얼굴뼈의 골절,441,대전,2019
치과,7,K07,치아얼굴이상[부정교합포함],272,대전,2019
치과,8,Z46,기타 장치의 부착 및 조정를 위하여 보건서비스와 접하고 있는 사람,128,대전,2019
치과,9,K12,입안염 및 관련 병터,49,대전,2019
치과,10,K10,턱의 기타 질환,46,대전,2019
치과,11,L03,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애,27,대전,2019
치과,12,K09,달리 분류되지 않은 구강영역의 낭,22,대전,2019
치과,13,K14,혀의 질환,18,대전,2019
치과,14,K01,매몰치 및 매복치,18,대전,2019
치과,15,M86,골수염,14,대전,2019
치과,16,J98,기타 호흡장애,13,대전,2019
치과,17,K06,치은(잇몸) 및 무치성 치조융선(이틀융기)의 기타 장애,10,대전,2019
치과,18,T85,"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",9,대전,2019
치과,19,J32,만성 부비동염,9,대전,2019
치과,20,A04,기타 세균성 창자 감염,6,대전,2019
피부과,1,L29,소양증,6948,대전,2019
피부과,2,B35,피부사상균증,5120,대전,2019
피부과,3,L23,앨러지성 접촉피부염,1952,대전,2019
피부과,4,L21,지루피부염,1835,대전,2019
피부과,5,L28,만성 단순태선 및 양진,643,대전,2019
피부과,6,B02,대상포진,522,대전,2019
피부과,7,L84,티눈 및 굳은살,471,대전,2019
피부과,8,L30,기타 피부염,436,대전,2019
피부과,9,B00,헤르페스바이러스[단순헤르페스] 감염,402,대전,2019
피부과,10,L73,기타 모낭장애,356,대전,2019
피부과,11,L82,지루각화증,330,대전,2019
피부과,12,G53,달리 분류된 질환에서의 뇌신경장애,276,대전,2019
피부과,13,L50,두드러기,261,대전,2019
피부과,14,L40,건선,198,대전,2019
피부과,15,L20,질병이환 및 사망의 외인,195,대전,2019
피부과,16,B86,옴,121,대전,2019
피부과,17,L85,기타 표피의 비후,89,대전,2019
피부과,18,L64,안드로젠탈모증,50,대전,2019
피부과,19,B36,기타 표재성 진균증,40,대전,2019
피부과,20,L63,원형 탈모증,35,대전,2019
한방진료과,1,M54,배통,2538,대전,2019
한방진료과,2,M25,달리 분류되지 않은 기타 관절장애,1136,대전,2019
한방진료과,3,M75,어깨병변,626,대전,2019
한방진료과,4,H93,달리 분류되지 않은 귀의 기타 장애,479,대전,2019
한방진료과,5,M48,기타 척추병증,466,대전,2019
