"구분","병동구분","병상.합계","병실.합계","X.1인실.병상.","X.1인실.병실.","X.2인실.병상.","X.2인실.병실.","X.4인실.병상.","X.4인실.병실.","X.5인실.병상.","X.5인실.병실.","X.6인실.병상.","X.6인실.병실.","X.기타.병상.","X.기타.병실.","지역","년도","병동.구분","X.특실.병상.","X.특실.병실.","X.3인실.병상.","X.3인실.병실.","X.8인실.병상.","X.8인실.병실.","X.7인실.병상.","X.7인실.병실.","병상현황","X.9인실.병상.","X.9인실.병실.","X.격리실.병상.","X.격리실.병실.","X.국비.병상.","X.국비.병실.","X.사비.병상.","X.사비.병실.","X6인실.병실","특실.병상","특실.병실","X1인실.병상","X1인실.병실","X2인실.병상","X2인실.병실","X3인실.병상","X3인실.병실","X4인실.병상","X4인실.병실","X5인실.병상","X5인실.병실","X6인실.병상","기타.병상","기타.병실"
"기타병상","신생아실","1","0","1","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","인공신장실","1","0","1","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","물리치료실","3","0","3","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","회복실","1","0","1","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"764","177","3","3","62","31","40","10","655","131","0","0","0","0","서울",2019,"일반병실","1","1","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"45","11","0","0","4","2","0","0","40","8","0","0","0","0","서울",2019,"간호간병","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"28","8","1","1","0","0","24","6","0","0","0","0","0","0","서울",2019,"완화의료","0","0","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"60","12","0","0","0","0","0","0","0","0","48","8","0","0","서울",2019,"정신과폐쇄","0","0","12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"55","3","0","0","0","0","0","0","0","0","0","0","55","3","서울",2019,"중환자","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"27","13","5","5","4","2","0","0","0","0","0","0","0","0","서울",2019,"격리병실","0","0","18","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"2","2","2","2","0","0","0","0","0","0","0","0","0","0","서울",2019,"무균치료실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"7","7","7","7","0","0","0","0","0","0","0","0","0","0","서울",2019,"음압실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"30","1","0","0","0","0","0","0","0","0","0","0","30","1","서울",2019,"응급실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"15","15","0","0","0","0","0","0","0","0","0","0","15","15","서울",2019,"수술실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","서울",2019,"분만실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"6","1","0","0","0","0","0","0","0","0","0","0","6","1","서울",2019,"신생아실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"25","1","0","0","0","0","0","0","0","0","0","0","25","1","서울",2019,"인공신장실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"393","76","13","13","0","0","20","5","0","0","312","52","0","0","부산",2019,"일반병실","0","0","0","0","48","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"48","6","0","0","0","0","0","0","0","0","0","0","0","0","부산",2019,"간호간병","0","0","0","0","48","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"20","7","2","2","2","1","16","4","0","0","0","0","0","0","부산",2019,"완화의료","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","부산",2019,"정신과폐쇄","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"24","1","0","0","0","0","0","0","0","0","0","0","24","1","부산",2019,"중환자","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"14","5","0","0","0","0","0","0","0","0","0","0","14","5","부산",2019,"격리병실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","부산",2019,"무균치료실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"13","1","0","0","0","0","0","0","0","0","0","0","13","1","부산",2019,"응급실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"7","1","0","0","0","0","0","0","0","0","0","0","7","1","부산",2019,"수술실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","부산",2019,"분만실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","부산",2019,"신생아실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"26","1","0","0","0","0","0","0","0","0","0","0","26","1","부산",2019,"인공신장실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"4","1","0","0","0","0","0","0","0","0","0","0","4","1","부산",2019,"회복실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"19","1","0","0","0","0","0","0","0","0","0","0","19","1","부산",2019,"물리치료실","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","일반병실","292","60","6","6","0","0","76","19","0","0","210","35","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","간호간병","40","8","0","0","0","0","0","0","40","8","0","0","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","완화의료","16","7","1","1","6","3","0","0","0","0","0","0","0","0","대전",2019,NA,"0","0","9","3","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","중환자","13","1","0","0","0","0","0","0","0","0","0","0","13","1","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","격리병실","1","1","1","1","0","0","0","0","0","0","0","0","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","응급실","8","1","0","0","0","0","0","0","0","0","0","0","8","1","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","수술실","5","5","0","0","0","0","0","0","0","0","0","0","5","5","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","신생아실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","인공신장실","13","1","0","0","0","0","0","0","0","0","0","0","13","1","대전",2019,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"일반병실","396","92","16","16","0","0","132","33","50","10","198","33","0","0","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"운영병상(일반)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"간호간병","45","12","1","1","0","0","44","11","0","0","0","0","0","0","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"운영병상(일반)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"완화의료","18","6","1","1","2","1","12","3","0","0","0","0","0","0","대구",2019,NA,NA,NA,"3","1",NA,NA,NA,NA,"운영병상(일반)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"중환자","14","4","3","3","0","0","0","0","0","0","0","0","11","1","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"운영병상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"격리병실","1","1","1","1","0","0","0","0","0","0","0","0","0","0","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"운영병상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"응급실","14","1","0","0","0","0","0","0","0","0","0","0","14","1","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"기타병상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"수술실","6","6","0","0","0","0","0","0","0","0","0","0","6","6","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"기타병상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"인공신장실","28","1","0","0","0","0","0","0","0","0","0","0","28","1","대구",2019,NA,NA,NA,"0","0",NA,NA,NA,NA,"기타병상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","41","11","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","37","10","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","37","10","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","1","7","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","일반병실","420","96","18","18","30","15","4","1","20","4","348","58","0","0","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","간호간병","89","17","1","1","4","2","0","0","0","0","84","14","0","0","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","완화의료","29","8","1","1","0","0","28","7","0","0","0","0","0","0","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0","0","0","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","중환자","28","2","1","1","0","0","0","0","0","0","0","0","27","1","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","격리병실","5","5","5","5","0","0","0","0","0","0","0","0","0","0","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","응급실","16","1","0","0","0","0","0","0","0","0","0","0","16","1","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","수술실","8","8","0","0","0","0","0","0","0","0","0","0","8","8","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","분만실","2","1","0","0","0","0","0","0","0","0","0","0","2","1","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","신생아실","5","1","0","0","0","0","0","0","0","0","0","0","5","1","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","인공신장실","31","1","0","0","0","0","0","0","0","0","0","0","31","1","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","물리치료실","23","3","0","0","0","0","0","0","0","0","0","0","23","3","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","회복실","7","1","0","0","0","0","0","0","0","0","0","0","7","1","광주",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"422","105","6","6","44","22","4","1","355","71","0","0","0","0","서울",2020,"일반병실","1","1","12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"181","44","0","0","18","9","0","0","160","32","0","0","2","2","서울",2020,"간호간병","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"28","8","1","1","0","0","24","6","0","0","0","0","0","0","서울",2020,"완화의료","0","0","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)",NA,"60","12","0","0","0","0","0","0","0","0","48","8","0","0","서울",2020,"정신과폐쇄","0","0","12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"51","2","0","0","0","0","0","0","0","0","0","0","51","2","서울",2020,"중환자","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"27","13","5","5","4","2","0","0","0","0","0","0","0","0","서울",2020,"격리병실","0","0","18","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"2","2","2","2","0","0","0","0","0","0","0","0","0","0","서울",2020,"무균치료실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상",NA,"5","5","0","0","0","0","0","0","0","0","0","0","5","5","서울",2020,"음압실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상",NA,"30","1","0","0","0","0","0","0","0","0","0","0","30","1","서울",2020,"응급실","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
