연령대,순위,상병코드,상병명,건수,지역,년도
70대,4,I20,협심증,13593,광주,2019
70대,5,I10,본태성(원발성) 고혈압,13486,광주,2019
70대,6,K05,치은염(잇몸염)및 치주 질환,9863,광주,2019
70대,7,M17,윤충증,8834,광주,2019
70대,8,H25,노인성 백내장,8410,광주,2019
70대,9,K21,위-식도역류병,5545,광주,2019
70대,10,L23,앨러지성 접촉피부염,5047,광주,2019
70대,11,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,4660,광주,2019
70대,12,J44,기타 만성 폐쇄성 폐질환,4605,광주,2019
70대,13,N18,만성 콩팥(신장)기능상실,4513,광주,2019
70대,14,M75,어깨병변,4445,광주,2019
70대,15,B35,피부사상균증,4322,광주,2019
70대,16,I63,뇌경색증,4118,광주,2019
70대,17,J30,혈관운동성 및 앨러지성 비염,4077,광주,2019
70대,18,R53,병감 및 피로,4056,광주,2019
70대,19,K02,치아우식증,3942,광주,2019
70대,20,K04,치수 및 치근단주위조직의 질환,3396,광주,2019
80대,1,N40,전립선증식증,3882,광주,2019
80대,2,I10,본태성(원발성) 고혈압,3299,광주,2019
80대,3,M48,기타 척추병증,2816,광주,2019
80대,4,F00,알츠하이머병에서의 치매(G30.-+),2731,광주,2019
80대,5,E11,인슐린-비의존 당뇨병,2326,광주,2019
80대,6,I20,협심증,2225,광주,2019
80대,7,M17,윤충증,1659,광주,2019
80대,8,R53,병감 및 피로,1464,광주,2019
80대,9,N18,만성 콩팥(신장)기능상실,1347,광주,2019
80대,10,I63,뇌경색증,1253,광주,2019
80대,11,J44,기타 만성 폐쇄성 폐질환,1177,광주,2019
80대,12,K05,치은염(잇몸염)및 치주 질환,1018,광주,2019
80대,13,H25,노인성 백내장,999,광주,2019
80대,14,K21,위-식도역류병,894,광주,2019
80대,15,C61,전립선의 악성 신생물,757,광주,2019
80대,16,I48,심방세동 및 조동,736,광주,2019
80대,17,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,713,광주,2019
80대,18,R41,인지기능 및 자각에 관한 기타 증상 및 징후,696,광주,2019
80대,19,J00,급성 코인두염 [감기],692,광주,2019
80대,20,F32,우울증 에피소드,676,광주,2019
90세 이상,1,N40,전립선증식증,1490,광주,2019
90세 이상,2,I10,본태성(원발성) 고혈압,767,광주,2019
90세 이상,3,F00,알츠하이머병에서의 치매(G30.-+),755,광주,2019
90세 이상,4,M48,기타 척추병증,694,광주,2019
90세 이상,5,R53,병감 및 피로,418,광주,2019
90세 이상,6,E11,인슐린-비의존 당뇨병,416,광주,2019
90세 이상,7,J44,기타 만성 폐쇄성 폐질환,406,광주,2019
90세 이상,8,I20,협심증,398,광주,2019
90세 이상,9,M17,윤충증,365,광주,2019
90세 이상,10,N18,만성 콩팥(신장)기능상실,356,광주,2019
90세 이상,11,I69,대뇌혈관 질환의 후유증,330,광주,2019
90세 이상,12,I63,뇌경색증,313,광주,2019
90세 이상,13,M19,"연기, 불 및 화염에 노출",256,광주,2019
90세 이상,14,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,224,광주,2019
90세 이상,15,H25,노인성 백내장,214,광주,2019
90세 이상,16,K05,치은염(잇몸염)및 치주 질환,214,광주,2019
90세 이상,17,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,207,광주,2019
90세 이상,18,J00,급성 코인두염 [감기],193,광주,2019
90세 이상,19,I48,심방세동 및 조동,192,광주,2019
90세 이상,20,M51,기타 추간판장애,177,광주,2019
59세 이하,1,E30,달리 분류되지 않은 사춘기의 장애,12928,광주,2020
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2211,광주,2020
59세 이하,3,J00,급성 코인두염 [감기],1990,광주,2020
59세 이하,4,E34,기타 내분비장애,1920,광주,2020
59세 이하,5,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,1739,광주,2020
59세 이하,6,I10,본태성(원발성) 고혈압,1607,광주,2020
59세 이하,7,E11,인슐린-비의존 당뇨병,1491,광주,2020
59세 이하,8,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1187,광주,2020
59세 이하,9,J20,급성 기관지염,1021,광주,2020
59세 이하,10,M48,기타 척추병증,930,광주,2020
59세 이하,11,K05,치은염(잇몸염)및 치주 질환,888,광주,2020
59세 이하,12,K21,위-식도역류병,795,광주,2020
59세 이하,13,I20,협심증,748,광주,2020
59세 이하,14,G56,팔의 단일신경병증,685,광주,2020
59세 이하,15,M75,어깨병변,672,광주,2020
59세 이하,16,J30,혈관운동성 및 앨러지성 비염,656,광주,2020
59세 이하,17,G43,편두통,586,광주,2020
59세 이하,18,F32,우울증 에피소드,576,광주,2020
59세 이하,19,F41,기타 불안장애,573,광주,2020
59세 이하,20,M51,기타 추간판장애,561,광주,2020
60대,1,I10,본태성(원발성) 고혈압,3093,광주,2020
60대,2,E11,인슐린-비의존 당뇨병,2757,광주,2020
60대,3,N40,전립선증식증,2071,광주,2020
60대,4,M17,윤충증,1903,광주,2020
60대,5,I20,협심증,1862,광주,2020
60대,6,M48,기타 척추병증,1833,광주,2020
60대,7,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1667,광주,2020
60대,8,K05,치은염(잇몸염)및 치주 질환,1353,광주,2020
60대,9,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1176,광주,2020
60대,10,K21,위-식도역류병,1125,광주,2020
60대,11,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,889,광주,2020
60대,12,M75,어깨병변,841,광주,2020
60대,13,E78,지질단백질대사장애 및 기타 지질증,821,광주,2020
60대,14,F32,우울증 에피소드,805,광주,2020
60대,15,M79,달리 분류되지 않은 기타 연조직장애,781,광주,2020
60대,16,H25,노인성 백내장,778,광주,2020
60대,17,I63,뇌경색증,750,광주,2020
60대,18,K29,위염 및 십이지장염,739,광주,2020
60대,19,M51,기타 추간판장애,704,광주,2020
60대,20,M47,척추증,701,광주,2020
70대,1,N40,전립선증식증,19596,광주,2020
70대,2,M48,기타 척추병증,13921,광주,2020
70대,3,E11,인슐린-비의존 당뇨병,13763,광주,2020
70대,4,I10,본태성(원발성) 고혈압,12515,광주,2020
70대,5,I20,협심증,11886,광주,2020
70대,6,H25,노인성 백내장,9708,광주,2020
70대,7,K05,치은염(잇몸염)및 치주 질환,8906,광주,2020
70대,8,M17,윤충증,8513,광주,2020
70대,9,K21,위-식도역류병,5664,광주,2020
70대,10,J44,기타 만성 폐쇄성 폐질환,4488,광주,2020
70대,11,B35,피부사상균증,3863,광주,2020
70대,12,K02,치아우식증,3838,광주,2020
70대,13,K04,치수 및 치근단주위조직의 질환,3705,광주,2020
70대,14,L23,앨러지성 접촉피부염,3679,광주,2020
70대,15,I63,뇌경색증,3664,광주,2020
70대,16,J30,혈관운동성 및 앨러지성 비염,3650,광주,2020
70대,17,M75,어깨병변,3474,광주,2020
70대,18,R41,인지기능 및 자각에 관한 기타 증상 및 징후,2972,광주,2020
70대,19,M54,배통,2815,광주,2020
70대,20,R53,병감 및 피로,2679,광주,2020
80대,1,N40,전립선증식증,3247,광주,2020
80대,2,I10,본태성(원발성) 고혈압,2672,광주,2020
80대,3,F00,알츠하이머병에서의 치매(G30.-+),2481,광주,2020
80대,4,M48,기타 척추병증,2242,광주,2020
80대,5,E11,인슐린-비의존 당뇨병,2230,광주,2020
80대,6,I20,협심증,1960,광주,2020
80대,7,M17,윤충증,1568,광주,2020
80대,8,I63,뇌경색증,1096,광주,2020
80대,9,H25,노인성 백내장,1057,광주,2020
80대,10,R53,병감 및 피로,1022,광주,2020
80대,11,J44,기타 만성 폐쇄성 폐질환,968,광주,2020
80대,12,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,966,광주,2020
80대,13,K21,위-식도역류병,930,광주,2020
80대,14,K05,치은염(잇몸염)및 치주 질환,769,광주,2020
80대,15,R41,인지기능 및 자각에 관한 기타 증상 및 징후,718,광주,2020
80대,16,I48,심방세동 및 조동,693,광주,2020
80대,17,C61,전립선의 악성 신생물,676,광주,2020
80대,18,F32,우울증 에피소드,641,광주,2020
80대,19,N18,만성 콩팥(신장)기능상실,595,광주,2020
80대,20,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,583,광주,2020
90세 이상,1,N40,전립선증식증,1668,광주,2020
90세 이상,2,I10,본태성(원발성) 고혈압,957,광주,2020
90세 이상,3,F00,알츠하이머병에서의 치매(G30.-+),925,광주,2020
90세 이상,4,M48,기타 척추병증,563,광주,2020
90세 이상,5,J44,기타 만성 폐쇄성 폐질환,493,광주,2020
90세 이상,6,E11,인슐린-비의존 당뇨병,472,광주,2020
90세 이상,7,N18,만성 콩팥(신장)기능상실,426,광주,2020
90세 이상,8,M17,윤충증,397,광주,2020
90세 이상,9,I20,협심증,384,광주,2020
90세 이상,10,I63,뇌경색증,365,광주,2020
90세 이상,11,R53,병감 및 피로,354,광주,2020
90세 이상,12,I69,대뇌혈관 질환의 후유증,331,광주,2020
90세 이상,13,H25,노인성 백내장,287,광주,2020
90세 이상,14,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,283,광주,2020
90세 이상,15,C61,전립선의 악성 신생물,274,광주,2020
90세 이상,16,I48,심방세동 및 조동,263,광주,2020
90세 이상,17,K05,치은염(잇몸염)및 치주 질환,223,광주,2020
90세 이상,18,J18,상세불명 병원체의 폐렴,182,광주,2020
90세 이상,19,K59,기타 기능적 창자 장애,178,광주,2020
90세 이상,20,R41,인지기능 및 자각에 관한 기타 증상 및 징후,177,광주,2020
59세 이하,1,E30,달리 분류되지 않은 사춘기의 장애,15370,광주,2021
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,7993,광주,2021
59세 이하,3,U11,코로나-19에 대한 예방접종의 필요,4490,광주,2021
59세 이하,4,E34,기타 내분비장애,2038,광주,2021
59세 이하,5,J00,급성 코인두염 [감기],1660,광주,2021
59세 이하,6,I10,본태성(원발성) 고혈압,1608,광주,2021
59세 이하,7,E11,인슐린-비의존 당뇨병,1304,광주,2021
59세 이하,8,M48,기타 척추병증,1217,광주,2021
59세 이하,9,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1010,광주,2021
59세 이하,10,R52,달리 분류되지 않은 통증,984,광주,2021
59세 이하,11,K05,치은염(잇몸염)및 치주 질환,877,광주,2021
59세 이하,12,M75,어깨병변,833,광주,2021
59세 이하,13,M51,기타 추간판장애,805,광주,2021
59세 이하,14,I20,협심증,801,광주,2021
59세 이하,15,F32,우울증 에피소드,797,광주,2021
59세 이하,16,E23,뇌하수체의 기능저하증 및 기타 장애,725,광주,2021
59세 이하,17,K21,위-식도역류병,687,광주,2021
59세 이하,18,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,643,광주,2021
59세 이하,19,F41,기타 불안장애,628,광주,2021
59세 이하,20,R51,두통,621,광주,2021
60대,1,I10,본태성(원발성) 고혈압,2774,광주,2021
60대,2,M48,기타 척추병증,2628,광주,2021
60대,3,E11,인슐린-비의존 당뇨병,2366,광주,2021
60대,4,M17,윤충증,2206,광주,2021
60대,5,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,2137,광주,2021
60대,6,N40,전립선증식증,2136,광주,2021
60대,7,U11,코로나-19에 대한 예방접종의 필요,1960,광주,2021
60대,8,I20,협심증,1748,광주,2021
60대,9,K05,치은염(잇몸염)및 치주 질환,1500,광주,2021
60대,10,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1082,광주,2021
60대,11,K21,위-식도역류병,1054,광주,2021
60대,12,M79,달리 분류되지 않은 기타 연조직장애,879,광주,2021
60대,13,I63,뇌경색증,871,광주,2021
60대,14,M75,어깨병변,820,광주,2021
60대,15,E78,지질단백질대사장애 및 기타 지질증,787,광주,2021
60대,16,F32,우울증 에피소드,778,광주,2021
60대,17,K29,위염 및 십이지장염,746,광주,2021
60대,18,H25,노인성 백내장,620,광주,2021
60대,19,R51,두통,616,광주,2021
60대,20,M51,기타 추간판장애,589,광주,2021
70대,1,N40,전립선증식증,18535,광주,2021
70대,2,M48,기타 척추병증,14940,광주,2021
70대,3,E11,인슐린-비의존 당뇨병,12397,광주,2021
70대,4,I10,본태성(원발성) 고혈압,12185,광주,2021
70대,5,I20,협심증,11454,광주,2021
70대,6,M17,윤충증,9448,광주,2021
70대,7,K05,치은염(잇몸염)및 치주 질환,9153,광주,2021
70대,8,H25,노인성 백내장,9116,광주,2021
70대,9,K21,위-식도역류병,5848,광주,2021
70대,10,I63,뇌경색증,4540,광주,2021
70대,11,J44,기타 만성 폐쇄성 폐질환,4238,광주,2021
70대,12,K04,치수 및 치근단주위조직의 질환,3875,광주,2021
70대,13,M75,어깨병변,3850,광주,2021
70대,14,B35,피부사상균증,3667,광주,2021
70대,15,K02,치아우식증,3576,광주,2021
70대,16,R41,인지기능 및 자각에 관한 기타 증상 및 징후,3520,광주,2021
70대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,3455,광주,2021
70대,18,M51,기타 추간판장애,3036,광주,2021
70대,19,C61,전립선의 악성 신생물,3024,광주,2021
70대,20,D75,혈액 및 조혈기관의 기타 질환,3021,광주,2021
80대,1,N40,전립선증식증,3336,광주,2021
80대,2,M48,기타 척추병증,3002,광주,2021
80대,3,I10,본태성(원발성) 고혈압,2643,광주,2021
80대,4,F00,알츠하이머병에서의 치매(G30.-+),2451,광주,2021
80대,5,E11,인슐린-비의존 당뇨병,2116,광주,2021
80대,6,I20,협심증,1980,광주,2021
80대,7,M17,윤충증,1679,광주,2021
80대,8,I63,뇌경색증,1244,광주,2021
80대,9,K21,위-식도역류병,1187,광주,2021
80대,10,H25,노인성 백내장,1187,광주,2021
80대,11,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1128,광주,2021
80대,12,K05,치은염(잇몸염)및 치주 질환,1109,광주,2021
80대,13,R41,인지기능 및 자각에 관한 기타 증상 및 징후,949,광주,2021
80대,14,J44,기타 만성 폐쇄성 폐질환,908,광주,2021
80대,15,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,874,광주,2021
80대,16,C61,전립선의 악성 신생물,746,광주,2021
80대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,730,광주,2021
80대,18,N18,만성 콩팥(신장)기능상실,729,광주,2021
80대,19,I48,심방세동 및 조동,721,광주,2021
80대,20,F32,우울증 에피소드,683,광주,2021
90세 이상,1,N40,전립선증식증,1822,광주,2021
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1232,광주,2021
90세 이상,3,I10,본태성(원발성) 고혈압,954,광주,2021
90세 이상,4,M48,기타 척추병증,776,광주,2021
90세 이상,5,I63,뇌경색증,586,광주,2021
90세 이상,6,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,525,광주,2021
90세 이상,7,I20,협심증,514,광주,2021
90세 이상,8,M17,윤충증,511,광주,2021
90세 이상,9,E11,인슐린-비의존 당뇨병,482,광주,2021
90세 이상,10,J44,기타 만성 폐쇄성 폐질환,452,광주,2021
90세 이상,11,N18,만성 콩팥(신장)기능상실,404,광주,2021
90세 이상,12,K05,치은염(잇몸염)및 치주 질환,340,광주,2021
90세 이상,13,C61,전립선의 악성 신생물,318,광주,2021
90세 이상,14,H25,노인성 백내장,295,광주,2021
90세 이상,15,K21,위-식도역류병,288,광주,2021
90세 이상,16,R53,병감 및 피로,270,광주,2021
90세 이상,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,269,광주,2021
90세 이상,18,M51,기타 추간판장애,266,광주,2021
90세 이상,19,R41,인지기능 및 자각에 관한 기타 증상 및 징후,262,광주,2021
90세 이상,20,I48,심방세동 및 조동,252,광주,2021
59세 이하,1,E30,달리 분류되지 않은 사춘기의 장애,16491,광주,2022
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,5679,광주,2022
59세 이하,3,E34,기타 내분비장애,2132,광주,2022
59세 이하,4,R52,달리 분류되지 않은 통증,2023,광주,2022
59세 이하,5,J00,급성 코인두염 [감기],1657,광주,2022
59세 이하,6,I10,본태성(원발성) 고혈압,1308,광주,2022
59세 이하,7,E11,인슐린-비의존 당뇨병,1127,광주,2022
59세 이하,8,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,1070,광주,2022
59세 이하,9,M51,기타 추간판장애,960,광주,2022
59세 이하,10,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,935,광주,2022
59세 이하,11,E23,뇌하수체의 기능저하증 및 기타 장애,887,광주,2022
59세 이하,12,M48,기타 척추병증,851,광주,2022
59세 이하,13,K05,치은염(잇몸염)및 치주 질환,757,광주,2022
59세 이하,14,F32,우울증 에피소드,668,광주,2022
59세 이하,15,N18,만성 콩팥(신장)기능상실,637,광주,2022
59세 이하,16,J98,기타 호흡장애,627,광주,2022
59세 이하,17,F41,기타 불안장애,623,광주,2022
59세 이하,18,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,615,광주,2022
59세 이하,19,R51,두통,600,광주,2022
59세 이하,20,K29,위염 및 십이지장염,594,광주,2022
60대,1,I10,본태성(원발성) 고혈압,2318,광주,2022
60대,2,E11,인슐린-비의존 당뇨병,2211,광주,2022
60대,3,M48,기타 척추병증,2033,광주,2022
60대,4,N40,전립선증식증,1945,광주,2022
60대,5,M17,윤충증,1555,광주,2022
60대,6,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1503,광주,2022
60대,7,K05,치은염(잇몸염)및 치주 질환,1393,광주,2022
60대,8,I20,협심증,1359,광주,2022
60대,9,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,860,광주,2022
60대,10,K21,위-식도역류병,785,광주,2022
60대,11,I63,뇌경색증,731,광주,2022
60대,12,M75,어깨병변,713,광주,2022
60대,13,F32,우울증 에피소드,699,광주,2022
60대,14,M79,달리 분류되지 않은 기타 연조직장애,678,광주,2022
60대,15,E78,지질단백질대사장애 및 기타 지질증,653,광주,2022
60대,16,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,618,광주,2022
60대,17,M51,기타 추간판장애,529,광주,2022
60대,18,G82,하반신마비 및 사지마비,511,광주,2022
60대,19,R51,두통,494,광주,2022
60대,20,D75,혈액 및 조혈기관의 기타 질환,477,광주,2022
70대,1,N40,전립선증식증,16831,광주,2022
70대,2,E11,인슐린-비의존 당뇨병,10910,광주,2022
70대,3,M48,기타 척추병증,10906,광주,2022
70대,4,I10,본태성(원발성) 고혈압,10470,광주,2022
70대,5,I20,협심증,9495,광주,2022
70대,6,M17,윤충증,8994,광주,2022
70대,7,K05,치은염(잇몸염)및 치주 질환,7483,광주,2022
70대,8,K21,위-식도역류병,4733,광주,2022
70대,9,H25,노인성 백내장,4671,광주,2022
70대,10,I63,뇌경색증,4444,광주,2022
70대,11,M51,기타 추간판장애,3811,광주,2022
70대,12,M75,어깨병변,3744,광주,2022
70대,13,C61,전립선의 악성 신생물,3655,광주,2022
70대,14,R41,인지기능 및 자각에 관한 기타 증상 및 징후,3362,광주,2022
70대,15,K04,치수 및 치근단주위조직의 질환,3126,광주,2022
70대,16,B35,피부사상균증,3113,광주,2022
70대,17,R63,음식 및 수액섭취에 관계된 증상 및 징후,3091,광주,2022
70대,18,J44,기타 만성 폐쇄성 폐질환,2978,광주,2022
70대,19,D75,혈액 및 조혈기관의 기타 질환,2831,광주,2022
70대,20,K02,치아우식증,2765,광주,2022
80대,1,N40,전립선증식증,3579,광주,2022
80대,2,M48,기타 척추병증,2532,광주,2022
80대,3,F00,알츠하이머병에서의 치매(G30.-+),2458,광주,2022
80대,4,I10,본태성(원발성) 고혈압,2446,광주,2022
80대,5,E11,인슐린-비의존 당뇨병,2264,광주,2022
80대,6,I20,협심증,2011,광주,2022
80대,7,M17,윤충증,1791,광주,2022
80대,8,I63,뇌경색증,1308,광주,2022
80대,9,K05,치은염(잇몸염)및 치주 질환,1285,광주,2022
80대,10,K21,위-식도역류병,1052,광주,2022
80대,11,R41,인지기능 및 자각에 관한 기타 증상 및 징후,1032,광주,2022
80대,12,N18,만성 콩팥(신장)기능상실,1010,광주,2022
80대,13,J44,기타 만성 폐쇄성 폐질환,967,광주,2022
80대,14,C61,전립선의 악성 신생물,959,광주,2022
80대,15,H25,노인성 백내장,832,광주,2022
80대,16,R63,음식 및 수액섭취에 관계된 증상 및 징후,820,광주,2022
80대,17,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,813,광주,2022
80대,18,M75,어깨병변,688,광주,2022
80대,19,R53,병감 및 피로,667,광주,2022
80대,20,I48,심방세동 및 조동,626,광주,2022
90세 이상,1,N40,전립선증식증,1678,광주,2022
90세 이상,2,F00,알츠하이머병에서의 치매(G30.-+),1630,광주,2022
90세 이상,3,I10,본태성(원발성) 고혈압,962,광주,2022
90세 이상,4,I63,뇌경색증,816,광주,2022
90세 이상,5,M48,기타 척추병증,634,광주,2022
90세 이상,6,M17,윤충증,542,광주,2022
90세 이상,7,E11,인슐린-비의존 당뇨병,507,광주,2022
90세 이상,8,I20,협심증,437,광주,2022
90세 이상,9,J44,기타 만성 폐쇄성 폐질환,397,광주,2022
90세 이상,10,R53,병감 및 피로,323,광주,2022
90세 이상,11,C61,전립선의 악성 신생물,322,광주,2022
90세 이상,12,R63,음식 및 수액섭취에 관계된 증상 및 징후,291,광주,2022
90세 이상,13,N18,만성 콩팥(신장)기능상실,286,광주,2022
90세 이상,14,I48,심방세동 및 조동,276,광주,2022
90세 이상,15,R41,인지기능 및 자각에 관한 기타 증상 및 징후,264,광주,2022
90세 이상,16,F03,상세불명의 치매,263,광주,2022
90세 이상,17,F51,비기질적 수면 장애,254,광주,2022
90세 이상,18,R42,현기 및 어지러움,214,광주,2022
90세 이상,19,D75,혈액 및 조혈기관의 기타 질환,209,광주,2022
90세 이상,20,K21,위-식도역류병,200,광주,2022
59세 이하,1,E30,달리 분류되지 않은 사춘기의 장애,14933,광주,2023
59세 이하,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,4708,광주,2023
59세 이하,3,E34,기타 내분비장애,2223,광주,2023
59세 이하,4,J00,급성 코인두염 [감기],2154,광주,2023
59세 이하,5,E23,뇌하수체의 기능저하증 및 기타 장애,1484,광주,2023
59세 이하,6,I10,본태성(원발성) 고혈압,1434,광주,2023
59세 이하,7,N18,만성 콩팥(신장)기능상실,1434,광주,2023
59세 이하,8,J98,기타 호흡장애,1275,광주,2023
59세 이하,9,Z11,감염성 및 기생충성 질환에 대한 특수선별검사,1183,광주,2023
59세 이하,10,E11,인슐린-비의존 당뇨병,1097,광주,2023
59세 이하,11,F32,우울증 에피소드,758,광주,2023
59세 이하,12,M48,기타 척추병증,625,광주,2023
59세 이하,13,K05,치은염(잇몸염)및 치주 질환,599,광주,2023
59세 이하,14,M51,기타 추간판장애,586,광주,2023
59세 이하,15,N40,전립선증식증,537,광주,2023
59세 이하,16,M75,어깨병변,531,광주,2023
59세 이하,17,F41,기타 불안장애,527,광주,2023
59세 이하,18,K29,위염 및 십이지장염,516,광주,2023
59세 이하,19,I20,협심증,503,광주,2023
59세 이하,20,I63,뇌경색증,451,광주,2023
60대,1,I10,본태성(원발성) 고혈압,2257,광주,2023
60대,2,N40,전립선증식증,2052,광주,2023
60대,3,E11,인슐린-비의존 당뇨병,2003,광주,2023
60대,4,M48,기타 척추병증,1543,광주,2023
60대,5,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1542,광주,2023
60대,6,I20,협심증,1378,광주,2023
60대,7,R52,달리 분류되지 않은 통증,1371,광주,2023
60대,8,N18,만성 콩팥(신장)기능상실,1302,광주,2023
60대,9,K05,치은염(잇몸염)및 치주 질환,1244,광주,2023
60대,10,M17,윤충증,990,광주,2023
60대,11,M51,기타 추간판장애,930,광주,2023
60대,12,K21,위-식도역류병,762,광주,2023
60대,13,I63,뇌경색증,649,광주,2023
60대,14,M75,어깨병변,628,광주,2023
60대,15,F32,우울증 에피소드,624,광주,2023
60대,16,M79,달리 분류되지 않은 기타 연조직장애,619,광주,2023
60대,17,E78,지질단백질대사장애 및 기타 지질증,583,광주,2023
60대,18,H25,노인성 백내장,500,광주,2023
60대,19,G82,하반신마비 및 사지마비,487,광주,2023
60대,20,K29,위염 및 십이지장염,448,광주,2023
70대,1,N40,전립선증식증,15335,광주,2023
70대,2,I10,본태성(원발성) 고혈압,10215,광주,2023
70대,3,E11,인슐린-비의존 당뇨병,9555,광주,2023
70대,4,I20,협심증,9441,광주,2023
70대,5,M48,기타 척추병증,8768,광주,2023
70대,6,K05,치은염(잇몸염)및 치주 질환,6774,광주,2023
70대,7,M17,윤충증,6581,광주,2023
70대,8,H25,노인성 백내장,6179,광주,2023
70대,9,K21,위-식도역류병,4326,광주,2023
70대,10,I63,뇌경색증,4020,광주,2023
70대,11,N18,만성 콩팥(신장)기능상실,3914,광주,2023
70대,12,C61,전립선의 악성 신생물,3831,광주,2023
70대,13,M51,기타 추간판장애,3790,광주,2023
