년도,지역,구분,코드,상병명,연령별.합계,X59이하,X60.64,X65.69,X70.79,X80.89,X90이상
2021,대전,입원(실인원),I60~I69,대뇌혈관질환,156,8,3,4,103,29,9
2021,대전,입원(실인원),"G00~G37, G43~G83",신경계질환,65,14,5,4,36,6,
2021,대전,입원(실인원),"C00~C97, D00~D09",악성신생물,412,31,19,25,252,64,21
2021,대전,입원(실인원),E00~E07,갑상선의 장애,5,,,,5,,
2021,대전,입원(실인원),"B18, B19, K70~K77",간의 질환,64,4,1,5,48,6,
2021,대전,입원(실인원),N18,만성신부전증,91,3,4,5,68,7,4
2021,대전,입원(연인원),"I10~I13, I15",고혈압,563,,,16,458,26,63
2021,대전,입원(연인원),E10~E14,당뇨병,4824,261,122,404,3192,700,145
2021,대전,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,600,111,,,90,33,366
2021,대전,입원(연인원),"A15, A16, A19",호흡기결핵,24,24,,,,,
2021,대전,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,194,4,6,9,147,15,13
2021,대전,입원(연인원),I60~I69,대뇌혈관질환,6764,351,16,42,4356,1865,134
2021,대전,입원(연인원),"G00~G37, G43~G83",신경계질환,4035,785,72,283,2578,317,
2021,대전,입원(연인원),"C00~C97, D00~D09",악성신생물,8716,899,429,632,4504,1808,444
2021,대전,입원(연인원),E00~E07,갑상선의 장애,98,,,,98,,
2021,대전,입원(연인원),"B18, B19, K70~K77",간의 질환,782,77,7,43,609,46,
2021,대전,입원(연인원),N18,만성신부전증,830,5,4,28,695,69,29
2021,대전,외래,"I10~I13, I15",고혈압,15989,955,909,1464,10177,1810,674
2021,대전,외래,E10~E14,당뇨병,20590,1148,1139,1827,14064,2001,411
2021,대전,외래,"F00~F99, G40~G41",정신 및 행동장애,16200,1212,461,847,9412,3067,1201
2021,대전,외래,"A15, A16, A19",호흡기결핵,78,17,,9,29,18,5
2021,대전,외래,"I05~I09, I20~I27, I30~I52",심장질환,7420,206,173,444,5349,935,313
2021,대전,외래,I60~I69,대뇌혈관질환,14785,405,544,967,10175,2128,566
2021,대전,외래,"G00~G37, G43~G83",신경계질환,8780,998,405,586,5772,782,237
2021,대전,외래,"C00~C97, D00~D09",악성신생물,7076,319,259,290,4346,1467,395
2021,대전,외래,E00~E07,갑상선의 장애,1810,191,123,217,1122,147,10
2021,대전,외래,"B18, B19, K70~K77",간의 질환,3580,795,259,372,1879,240,35
2021,대전,외래,N18,만성신부전증,7234,744,481,195,4270,1071,473
2021,대구,입원(실인원),"I10~I13, I15",고혈압,47,4,,,26,14,3
2021,대구,입원(실인원),E10~E14,당뇨병,241,11,9,9,175,33,4
2021,대구,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,4,,,,4,,
2021,대구,입원(실인원),"A15, A16, A19",호흡기결핵,4,,,,,1,3
2021,대구,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,959,19,29,60,670,136,45
2021,대구,입원(실인원),I60~I69,대뇌혈관질환,79,4,2,5,35,21,12
2021,대구,입원(실인원),"G00~G37, G43~G83",신경계질환,54,1,2,2,42,7,
2021,대구,입원(실인원),"C00~C97, D00~D09",악성신생물,207,7,2,9,147,29,13
2021,대구,입원(실인원),E00~E07,갑상선의 장애,3,,,1,,1,1
2021,대구,입원(실인원),"B18, B19, K70~K77",간의 질환,19,1,1,1,7,8,1
2021,대구,입원(실인원),N18,만성신부전증,102,4,7,6,58,14,13
2021,대구,입원(연인원),"I10~I13, I15",고혈압,1657,10,,,1033,489,125
2021,대구,입원(연인원),E10~E14,당뇨병,11572,263,465,214,9318,961,351
2021,대구,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,102,,,,102,,
2021,대구,입원(연인원),"A15, A16, A19",호흡기결핵,139,,,,,27,112
2021,대구,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,13753,94,264,211,7801,3824,1559
2021,대구,입원(연인원),I60~I69,대뇌혈관질환,4409,148,11,188,3079,767,216
2021,대구,입원(연인원),"G00~G37, G43~G83",신경계질환,2889,261,80,68,1788,692,
2021,대구,입원(연인원),"C00~C97, D00~D09",악성신생물,4946,248,7,314,3412,616,349
2021,대구,입원(연인원),E00~E07,갑상선의 장애,175,,,35,,16,124
2021,대구,입원(연인원),"B18, B19, K70~K77",간의 질환,1349,49,40,12,418,796,34
2021,대구,입원(연인원),N18,만성신부전증,11137,154,307,2196,5601,2119,760
2021,대구,외래,"I10~I13, I15",고혈압,23194,1261,1386,2312,14212,3106,917
2021,대구,외래,E10~E14,당뇨병,24795,1416,1304,2229,16510,2767,569
2021,대구,외래,"F00~F99, G40~G41",정신 및 행동장애,15513,982,519,891,7362,4330,1429
2021,대구,외래,"A15, A16, A19",호흡기결핵,36,1,1,,19,3,12
2021,대구,외래,"I05~I09, I20~I27, I30~I52",심장질환,22880,675,678,1447,16162,3235,683
2021,대구,외래,I60~I69,대뇌혈관질환,13516,340,434,968,8738,2468,568
2021,대구,외래,"G00~G37, G43~G83",신경계질환,16721,1149,646,923,12383,1308,312
2021,대구,외래,"C00~C97, D00~D09",악성신생물,9770,245,142,345,6664,1873,501
2021,대구,외래,E00~E07,갑상선의 장애,5175,445,322,796,3106,431,75
2021,대구,외래,"B18, B19, K70~K77",간의 질환,3244,697,339,356,1695,143,14
2021,대구,외래,N18,만성신부전증,7971,802,508,282,4973,852,554
2022,광주,입원(실인원),"I10~I13, I15",고혈압,44,3,1,1,28,7,4
2022,광주,입원(실인원),E10~E14,당뇨병,449,3,5,359,4,2,76
2022,광주,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,60,4,0,0,30,18,8
2022,광주,입원(실인원),"A15, A16, A19",호흡기결핵,7,0,1,0,6,0,0
2022,광주,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,436,21,18,18,308,49,22
2022,광주,입원(실인원),I60~I69,대뇌혈관질환,314,25,14,22,189,45,19
2022,광주,입원(실인원),"G00~G37, G43~G83",신경계질환,214,57,16,15,100,23,3
2022,광주,입원(실인원),"C00~C97, D00~D09",악성신생물,902,65,34,45,568,151,39
2022,광주,입원(실인원),E00~E07,갑상선의 장애,6,0,0,1,5,0,0
2022,광주,입원(실인원),"B18, B19, K70~K77",간의 질환,45,7,5,4,23,5,1
2022,광주,입원(실인원),N18,만성신부전증,36,0,3,2,19,8,4
2022,광주,입원(연인원),"I10~I13, I15",고혈압,318,10,13,59,164,51,21
2022,광주,입원(연인원),E10~E14,당뇨병,1194,7,62,21,1025,54,25
2022,광주,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,1159,56,0,0,620,424,59
2022,광주,입원(연인원),"A15, A16, A19",호흡기결핵,177,0,14,0,163,0,0
2022,광주,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,3951,144,95,191,2350,648,523
2022,광주,입원(연인원),I60~I69,대뇌혈관질환,12947,954,638,858,8364,1638,495
2022,광주,입원(연인원),"G00~G37, G43~G83",신경계질환,8325,732,384,550,5407,1216,36
2022,광주,입원(연인원),"C00~C97, D00~D09",악성신생물,20699,1259,825,934,12151,4426,1104
2022,광주,입원(연인원),E00~E07,갑상선의 장애,81,0,0,7,74,0,0
2022,광주,입원(연인원),"B18, B19, K70~K77",간의 질환,600,100,77,75,291,53,4
2022,광주,입원(연인원),N18,만성신부전증,1833,0,486,27,604,631,85
2022,광주,외래,"I10~I13, I15",고혈압,18439,1552,1065,1906,11120,2074,722
2022,광주,외래,E10~E14,당뇨병,18647,1472,1060,1569,12448,1795,303
2022,광주,외래,"F00~F99, G40~G41",정신 및 행동장애,21266,3109,1083,1199,9408,4883,1584
2022,광주,외래,"A15, A16, A19",호흡기결핵,121,5,25,0,71,14,6
2022,광주,외래,"I05~I09, I20~I27, I30~I52",심장질환,21835,1134,1033,1503,14894,2577,694
2022,광주,외래,I60~I69,대뇌혈관질환,13685,1487,690,812,8115,1927,654
2022,광주,외래,"G00~G37, G43~G83",신경계질환,13873,1734,1269,1505,7752,1340,273
2022,광주,외래,"C00~C97, D00~D09",악성신생물,13222,655,451,574,9358,1773,411
2022,광주,외래,E00~E07,갑상선의 장애,2277,407,201,266,1160,210,33
2022,광주,외래,"B18, B19, K70~K77",간의 질환,3603,740,353,340,1945,181,44
2022,광주,외래,N18,만성신부전증,4475,640,72,239,2386,969,169
2022,서울,입원(실인원),,고혈압,5,2,0,0,2,1,0
2022,서울,입원(실인원),,당뇨병,180,17,10,2,118,25,8
2022,서울,입원(실인원),,정신 및 행동장애,207,83,24,20,62,17,1
2022,서울,입원(실인원),,호흡기결핵,23,1,0,0,8,7,7
2022,서울,입원(실인원),,심장질환,1229,25,23,48,822,217,94
2022,서울,입원(실인원),,대뇌혈관질환,781,24,22,53,546,107,29
2022,서울,입원(실인원),,신경계질환,257,21,12,18,170,32,4
2022,서울,입원(실인원),,악성신생물,1880,47,56,83,1373,233,88
2022,서울,입원(실인원),,갑상선의 장애,6,0,0,1,4,1,0
2022,서울,입원(실인원),,간의 질환,77,3,1,2,57,13,1
2022,서울,입원(실인원),,만성신부전증,204,11,9,6,131,39,8
2022,서울,입원(연인원),,고혈압,24,11,0,0,8,5,0
2022,서울,입원(연인원),,당뇨병,3170,286,164,47,2100,477,96
2022,서울,입원(연인원),,정신 및 행동장애,13522,5663,1650,1515,3762,914,18
2022,서울,입원(연인원),,호흡기결핵,414,7,0,0,151,110,146
2022,서울,입원(연인원),,심장질환,15514,257,179,305,9563,3460,1750
2022,서울,입원(연인원),,대뇌혈관질환,7280,99,160,262,4398,1460,901
2022,서울,입원(연인원),,신경계질환,12336,867,426,2202,7271,1384,186
2022,서울,입원(연인원),,악성신생물,27111,456,477,1154,19611,4271,1142
2022,서울,입원(연인원),,갑상선의 장애,57,0,0,14,40,3,0
2022,서울,입원(연인원),,간의 질환,1073,36,14,51,776,161,35
2022,서울,입원(연인원),,만성신부전증,4891,229,96,191,3943,367,65
2022,서울,외래,,고혈압,50398,2161,2110,4024,32513,7694,1896
2022,서울,외래,,당뇨병,62314,3275,2687,4650,42576,7772,1354
2022,서울,외래,,정신 및 행동장애,36990,4951,1399,2139,18869,7254,2378
2022,서울,외래,,호흡기결핵,462,30,2,0,214,93,123
2022,서울,외래,,심장질환,48243,1209,1199,2402,33548,7759,2126
2022,서울,외래,,대뇌혈관질환,34392,1198,862,2119,23055,5561,1597
2022,서울,외래,,신경계질환,54477,7316,2496,3491,34319,5315,1540
2022,서울,외래,,악성신생물,57108,1634,1419,2787,41932,7630,1706
2022,서울,외래,,갑상선의 장애,7422,712,423,880,4472,802,133
2022,서울,외래,,간의 질환,9788,1165,776,1010,6033,719,85
2022,서울,외래,,만성신부전증,20292,1044,697,869,12612,3907,1163
2022,인천,입원(실인원),"I10~I13, I15",고혈압,0,,,,,,
2022,인천,입원(실인원),E10~E14,당뇨병,0,,,,,,
2022,인천,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,0,,,,,,
2022,인천,입원(실인원),"A15, A16, A19",호흡기결핵,0,,,,,,
2022,인천,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,0,,,,,,
2022,인천,입원(실인원),I60~I69,대뇌혈관질환,0,,,,,,
2022,인천,입원(실인원),"G00~G37, G43~G83",신경계질환,0,,,,,,
2022,인천,입원(실인원),"C00~C97, D00~D09",악성신생물,0,,,,,,
2022,인천,입원(실인원),E00~E07,갑상선의 장애,0,,,,,,
2022,인천,입원(실인원),"B18, B19, K70~K77",간의 질환,0,,,,,,
2022,인천,입원(실인원),N18,만성신부전증,0,,,,,,
2022,인천,입원(연인원),"I10~I13, I15",고혈압,0,,,,,,
2022,인천,입원(연인원),E10~E14,당뇨병,0,,,,,,
2022,인천,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,0,,,,,,
2022,인천,입원(연인원),"A15, A16, A19",호흡기결핵,0,,,,,,
2022,인천,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,0,,,,,,
2022,인천,입원(연인원),I60~I69,대뇌혈관질환,0,,,,,,
2022,인천,입원(연인원),"G00~G37, G43~G83",신경계질환,0,,,,,,
2022,인천,입원(연인원),"C00~C97, D00~D09",악성신생물,0,,,,,,
2022,인천,입원(연인원),E00~E07,갑상선의 장애,0,,,,,,
2022,인천,입원(연인원),"B18, B19, K70~K77",간의 질환,0,,,,,,
2022,인천,입원(연인원),N18,만성신부전증,0,,,,,,
2022,인천,외래,"I10~I13, I15",고혈압,0,,,,,,
2022,인천,외래,E10~E14,당뇨병,0,,,,,,
2022,인천,외래,"F00~F99, G40~G41",정신 및 행동장애,0,,,,,,
2022,인천,외래,"A15, A16, A19",호흡기결핵,0,,,,,,
2022,인천,외래,"I05~I09, I20~I27, I30~I52",심장질환,0,,,,,,
2022,인천,외래,I60~I69,대뇌혈관질환,0,,,,,,
2022,인천,외래,"G00~G37, G43~G83",신경계질환,0,,,,,,
2022,인천,외래,"C00~C97, D00~D09",악성신생물,0,,,,,,
2022,인천,외래,E00~E07,갑상선의 장애,0,,,,,,
2022,인천,외래,"B18, B19, K70~K77",간의 질환,0,,,,,,
2022,인천,외래,N18,만성신부전증,0,,,,,,
2022,부산,입원(실인원),"I10~I13, I15",고혈압,53,5,2,2,31,12,1
2022,부산,입원(실인원),E10~E14,당뇨병,83,2,2,1,70,8,
2022,부산,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,7,,,,3,3,1
2022,부산,입원(실인원),"A15, A16, A19",호흡기결핵,4,,1,,3,,
2022,부산,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,884,18,11,38,669,107,41
2022,부산,입원(실인원),I60~I69,대뇌혈관질환,134,5,5,3,99,18,4
2022,부산,입원(실인원),"G00~G37, G43~G83",신경계질환,121,6,2,7,99,6,1
2022,부산,입원(실인원),"C00~C97, D00~D09",악성신생물,445,28,14,17,288,74,24
2022,부산,입원(실인원),E00~E07,갑상선의 장애,2,,,,1,1,
2022,부산,입원(실인원),"B18, B19, K70~K77",간의 질환,53,4,2,6,37,4,
2022,부산,입원(실인원),N18,만성신부전증,47,1,,1,34,6,5
2022,부산,입원(연인원),"I10~I13, I15",고혈압,326,16,4,15,186,100,5
2022,부산,입원(연인원),E10~E14,당뇨병,3677,72,18,13,3354,220,
2022,부산,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,250,,,,113,136,1
2022,부산,입원(연인원),"A15, A16, A19",호흡기결핵,56,,13,,43,,
2022,부산,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,6306,76,34,158,4566,1023,449
2022,부산,입원(연인원),I60~I69,대뇌혈관질환,7480,439,205,102,5506,1140,88
2022,부산,입원(연인원),"G00~G37, G43~G83",신경계질환,6252,444,67,236,5117,324,64
2022,부산,입원(연인원),"C00~C97, D00~D09",악성신생물,11058,405,229,446,7441,1877,660
2022,부산,입원(연인원),E00~E07,갑상선의 장애,15,,,,1,14,
2022,부산,입원(연인원),"B18, B19, K70~K77",간의 질환,1667,215,40,262,999,151,
2022,부산,입원(연인원),N18,만성신부전증,1879,53,,3,1538,145,140
2022,부산,외래,"I10~I13, I15",고혈압,15548,738,576,1108,10978,1742,406
2022,부산,외래,E10~E14,당뇨병,23815,899,850,1507,17862,2339,358
2022,부산,외래,"F00~F99, G40~G41",정신 및 행동장애,19675,1431,580,1090,13003,2789,782
2022,부산,외래,"A15, A16, A19",호흡기결핵,137,15,13,14,78,17,
2022,부산,외래,"I05~I09, I20~I27, I30~I52",심장질환,19703,361,438,971,15037,2334,562
2022,부산,외래,I60~I69,대뇌혈관질환,11910,534,379,360,8946,1382,309
2022,부산,외래,"G00~G37, G43~G83",신경계질환,8482,566,359,427,6361,642,127
2022,부산,외래,"C00~C97, D00~D09",악성신생물,12971,187,144,368,10550,1481,241
2022,부산,외래,E00~E07,갑상선의 장애,2806,253,177,279,1823,230,44
2022,부산,외래,"B18, B19, K70~K77",간의 질환,3766,474,250,368,2386,269,19
2022,부산,외래,N18,만성신부전증,12812,716,466,589,8872,1635,534
2022,대전,입원(실인원),"I10~I13, I15",고혈압,49,1,1,1,39,4,3
2022,대전,입원(실인원),E10~E14,당뇨병,221,10,3,11,172,23,2
2022,대전,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,5,0,0,0,3,1,1
2022,대전,입원(실인원),"A15, A16, A19",호흡기결핵,0,0,0,0,0,0,0
2022,대전,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,158,7,3,8,110,24,6
2022,대전,입원(실인원),I60~I69,대뇌혈관질환,115,3,4,3,73,22,10
2022,대전,입원(실인원),"G00~G37, G43~G83",신경계질환,66,12,2,2,42,7,1
2022,대전,입원(실인원),"C00~C97, D00~D09",악성신생물,370,47,21,23,180,79,20
2022,대전,입원(실인원),E00~E07,갑상선의 장애,2,0,0,0,1,1,0
2022,대전,입원(실인원),"B18, B19, K70~K77",간의 질환,44,4,2,4,27,5,2
2022,대전,입원(실인원),N18,만성신부전증,126,2,3,1,82,23,15
2022,대전,입원(연인원),"I10~I13, I15",고혈압,410,1,3,9,334,37,26
2022,대전,입원(연인원),E10~E14,당뇨병,4212,149,44,177,3153,671,18
2022,대전,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,323,0,0,0,90,18,215
2022,대전,입원(연인원),"A15, A16, A19",호흡기결핵,0,0,0,0,0,0,0
2022,대전,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,574,24,3,32,346,115,54
2022,대전,입원(연인원),I60~I69,대뇌혈관질환,5109,375,35,127,3027,1225,320
2022,대전,입원(연인원),"G00~G37, G43~G83",신경계질환,3984,802,72,12,2897,195,6
2022,대전,입원(연인원),"C00~C97, D00~D09",악성신생물,7956,964,364,437,3490,1960,741
2022,대전,입원(연인원),E00~E07,갑상선의 장애,19,0,0,0,7,12,0
2022,대전,입원(연인원),"B18, B19, K70~K77",간의 질환,475,22,18,10,329,88,8
2022,대전,입원(연인원),N18,만성신부전증,1979,2,3,1,1183,343,447
2022,대전,외래,"I10~I13, I15",고혈압,15385,934,749,1368,9840,1768,726
2022,대전,외래,E10~E14,당뇨병,20318,1090,1039,1515,14335,1869,470
2022,대전,외래,"F00~F99, G40~G41",정신 및 행동장애,14549,990,382,760,8567,2816,1034
2022,대전,외래,"A15, A16, A19",호흡기결핵,59,0,1,3,42,11,2
2022,대전,외래,"I05~I09, I20~I27, I30~I52",심장질환,8785,191,175,443,6409,1165,402
2022,대전,외래,I60~I69,대뇌혈관질환,14400,379,422,840,10085,2112,562
