연도,병원,진료과,전체환자수
2016,부산,외과,8690
2016,부산,정형외과,42248
2016,부산,신경외과,27401
2016,부산,산부인과,2371
2016,부산,안과,32913
2016,부산,이비인후과,14512
2016,부산,피부과,35915
2016,부산,비뇨기과,51738
2016,부산,치과,38488
2016,부산,재활의학과,24509
2016,부산,가정의학과,17248
2016,부산,한방진료과,7492
2016,부산,건강관리과,9899
2016,부산,향정신과,386
2019,대전,내과,24388
2019,대전,소화기내과,29669
2019,대전,심장내과,24498
2019,대전,호흡기내과,18024
2019,대전,류마티스내과,8912
2019,대전,신장내과,9621
2019,대전,소아청소년과,402
2019,대전,신경과,33755
2019,대전,정신건강의학과,8966
2019,대전,피부과,20591
2019,대전,재활의학과,24522
2019,대전,가정의학과,27929
2019,대전,외과,9258
2019,대전,정형외과,38269
2019,대전,신경외과,7317
2019,대전,산부인과,1361
2019,대전,안과,15424
2019,대전,이비인후과,13319
2019,대전,비뇨의학과,33039
2019,대전,치과,34255
2019,대전,마취통증의학과,0
2019,대전,한방진료과,7634
2019,대전,건강검진센터,7972
2022,대구,내과,8729
2022,대구,소화기내과,42949
2022,대구,내분비내과,16709
2022,대구,순환기내과,42290
2022,대구,호흡기내과,0
2022,대구,신장내과,21602
2022,대구,감염내과,16062
2022,대구,신경과,30958
2022,대구,정신건강의학과,11799
2022,대구,외과,9186
2022,대구,흉부외과,0
2022,대구,정형외과,25564
2022,대구,신경외과,24187
2022,대구,마취통증의학과,2641
2022,대구,산부인과,6472
2022,대구,소아청소년과,1204
2022,대구,안과,23210
2022,대구,이비인후과,17740
2022,대구,피부과,20109
2022,대구,비뇨의학과,41432
2022,대구,재활의학과,37586
2022,대구,가정의학과,7700
2022,대구,치과,25953
2022,대구,건강관리과,7621
2022,대구,핵의학과,4946
2020,중앙,일반내과,2
2020,중앙,순환기내과,101047
2020,중앙,호흡기내과,35798
2020,중앙,내분비내과,56988
2020,중앙,감염내과,9285
2020,중앙,소화기내과,60959
2020,중앙,혈액종양내과,24331
2020,중앙,신장내과,35718
2020,중앙,류마티스내과,13131
2020,중앙,소아청소년과,2482
2020,중앙,신경과,85181
2020,중앙,정신건강의학과,34473
2020,중앙,피부과,50645
2020,중앙,재활의학과,91824
2020,중앙,가정의학과,62279
2020,중앙,외과,16223
2020,중앙,흉부외과,10391
2020,중앙,정형외과,66984
2020,중앙,신경외과,29047
2020,중앙,성형외과,946
2020,중앙,산부인과,17998
2020,중앙,안과,75380
2020,중앙,이비인후과,34439
2020,중앙,비뇨의학과,88922
2020,중앙,치과,125613
2020,중앙,한의과,7875
2020,중앙,통증클리닉,15859
2020,중앙,방사선종양학과,9269
2020,중앙,완화의료사업실,1713
2020,중앙,욕창성형클리닉,1713
2020,중앙,건강관리과,6817
2020,중앙,기타,2522
2015,부산,구분,0
2015,부산,일반내과,39005
2015,부산,순환기내과,29392
2015,부산,호흡기내과,10880
2015,부산,내분비내과,21854
2015,부산,소화기내과,39184
2015,부산,신장내과,18154
2015,부산,소아청소년과,6384
2015,부산,신경과,21132
2015,부산,정신건강의학과,15770
2015,부산,외과,7976
2015,부산,정형외과,42085
2015,부산,신경외과,27648
2015,부산,산부인과,2368
2015,부산,안과,35024
2015,부산,이비인후과,15103
2015,부산,피부과,35961
2015,부산,비뇨기과,44225
2015,부산,치과,34258
2015,부산,재활의학과,24082
2015,부산,가정의학과,17295
2015,부산,한방진료과,7041
2015,부산,건강관리과,8869
2015,부산,향정신과,553
2023,인천,내과,16135
2023,인천,호흡기내과,5765
2023,인천,신경과,6754
2023,인천,피부과,9042
2023,인천,재활의학과,17721
2023,인천,가정의학과,17802
2023,인천,외과,3106
2023,인천,정형외과,15551
2023,인천,신경외과,2882
2023,인천,안과,7621
2023,인천,이비인후과,9389
2023,인천,비뇨의학과,23216
2023,인천,치과,10415
2023,인천,영상의학과,108
2023,인천,마취통증의학과,1343
2023,인천,응급의학과,564
2018,대구,내과,139058
2018,대구,신경과,28986
2018,대구,정신건강의학과,11829
2018,대구,외과,9153
2018,대구,흉부외과,1165
2018,대구,정형외과,28175
2018,대구,신경외과,24014
2018,대구,마취통증의학과,2921
2018,대구,산부인과,5417
2018,대구,소아청소년과,2026
2018,대구,안과,23402
2018,대구,이비인후과,19303
2018,대구,피부과,23370
2018,대구,비뇨의학과,49857
2018,대구,재활의학과,49799
2018,대구,가정의학과,10559
2018,대구,치과,29070
2018,대구,응급의학과,13314
2018,대구,핵의학과,4085
2023,중앙,일반내과,0
2023,중앙,순환기내과,98161
2023,중앙,호흡기내과,38869
2023,중앙,내분비내과,54513
2023,중앙,감염내과,15579
2023,중앙,소화기내과,42727
2023,중앙,혈액종양내과,21916
2023,중앙,신장내과,34190
2023,중앙,류마티스내과,13136
2023,중앙,소아청소년과,1416
2023,중앙,신경과,81432
2023,중앙,정신건강의학과,30386
2023,중앙,피부과,34641
2023,중앙,재활의학과,85376
2023,중앙,가정의학과,54756
2023,중앙,외과,15345
2023,중앙,흉부외과,10271
2023,중앙,정형외과,67021
2023,중앙,신경외과,27955
2023,중앙,성형외과,3547
2023,중앙,산부인과,16984
2023,중앙,안과,71070
2023,중앙,이비인후과,34504
2023,중앙,비뇨의학과,87737
2023,중앙,치과,141752
2023,중앙,한의과,8437
2023,중앙,통증클리닉,13072
2023,중앙,방사선종양학과,7860
2023,중앙,호스피스완화의료센터,1689
2023,중앙,건강관리과,6688
2023,중앙,기타,1951
2013,대전,내과,68819
2013,대전,소아청소년과,448
2013,대전,신경과,24530
2013,대전,정신건강의학과,8475
2013,대전,외과,8586
2013,대전,정형외과,40484
2013,대전,신경외과,5349
2013,대전,산부인과,1185
2013,대전,안과,13862
2013,대전,이비인후과,11615
2013,대전,피부과,19707
2013,대전,비뇨기과,24546
2013,대전,치과,21266
2013,대전,재활의학과,15829
2013,대전,통증크리닉,59
2013,대전,가정의학과,25323
2013,대전,한방내과,7794
2013,대전,건강관리과,4765
2013,대전,응급실,5703
2018,대전,내과,40567
2018,대전,소화기내과,26481
2018,대전,심장내과,22151
2018,대전,호흡기내과,10228
2018,대전,류마티스내과,972
2018,대전,신장내과,4636
2018,대전,소아청소년과,341
2018,대전,신경과,34725
2018,대전,정신건강의학과,9207
2018,대전,피부과,21745
2018,대전,재활의학과,20819
2018,대전,가정의학과,27555
2018,대전,외과,8203
2018,대전,정형외과,38239
2018,대전,신경외과,7070
2018,대전,산부인과,1096
2018,대전,안과,14250
2018,대전,이비인후과,12762
2018,대전,비뇨의학과,32328
2018,대전,치과,24072
2018,대전,마취통증의학과,0
2018,대전,한방진료과,6853
2018,대전,건강검진센터,7713
2018,대전,응급의학과,6064
2016,광주,구분,0
2016,광주,내과,159255
2016,광주,신경과,32375
2016,광주,소아청소년과,30533
2016,광주,외과,12691
2016,광주,정신건강의학과,0
2016,광주,정형외과,44507
2016,광주,신경외과,23481
2016,광주,산부인과,1412
2016,광주,안과,22579
2016,광주,피부과,12569
2016,광주,이비인후과,12433
2016,광주,비뇨의학과,34508
2016,광주,치과,29286
2016,광주,재활의학과,34149
2016,광주,가정의학과,40035
2016,광주,알레르기내과,433
2016,광주,핵의학과,179
2016,광주,건강관리과,11534
2016,광주,한의과,0
2015,대전,내과,47483
2015,대전,소화기내과,11577
2015,대전,심장내과,5682
2015,대전,호흡기내과,8929
2015,대전,소아청소년과,343
2015,대전,신경과,26207
2015,대전,정신건강의학과,9229
2015,대전,외과,8039
2015,대전,정형외과,40692
2015,대전,신경외과,4367
2015,대전,산부인과,1272
2015,대전,안과,14481
2015,대전,이비인후과,11692
2015,대전,피부과,19177
2015,대전,비뇨기과,25434
2015,대전,치과,22420
2015,대전,재활의학과,15246
2015,대전,통증크리닉,283
2015,대전,가정의학과,26910
2015,대전,한방내과,6999
2015,대전,건강관리과,5147
2015,대전,응급실,5293
2013,부산,구분,0
2013,부산,일반내과,30818
2013,부산,순환기내과,25473
2013,부산,호흡기내과,10136
2013,부산,내분비내과,21655
2013,부산,소화기내과,31150
2013,부산,신장내과,16608
2013,부산,소아청소년과,7012
2013,부산,신경과,21026
2013,부산,정신건강의학과,12351
2013,부산,외과,7997
2013,부산,정형외과,37688
2013,부산,신경외과,28608
2013,부산,산부인과,2559
2013,부산,안과,34946
2013,부산,이비인후과,16815
2013,부산,피부과,34823
2013,부산,비뇨기과,42562
2013,부산,치과,26148
2013,부산,재활의학과,27837
2013,부산,가정의학과,19897
2013,부산,한방진료과,7566
2013,부산,건강관리과,8025
2013,부산,향정신과,1280
2018,중앙,일반내과,1
2018,중앙,순환기내과,104291
2018,중앙,호흡기내과,35036
2018,중앙,내분비내과,58182
2018,중앙,감염내과,29053
2018,중앙,소화기내과,60361
2018,중앙,혈액종양내과,26502
2018,중앙,신장내과,37811
2018,중앙,류마티스내과,11079
2018,중앙,소아청소년과,3355
2018,중앙,신경과,85006
2018,중앙,정신건강의학과,32267
2018,중앙,피부과,46910
2018,중앙,재활의학과,98268
2018,중앙,재활센터신경과,2596
2018,중앙,가정의학과,54382
2018,중앙,외과,18017
2018,중앙,흉부외과,9555
2018,중앙,정형외과,74125
2018,중앙,신경외과,29480
2018,중앙,성형외과,0
2018,중앙,산부인과,20749
2018,중앙,안과,72675
2018,중앙,이비인후과,41823
2018,중앙,비뇨기과,89030
2018,중앙,치과,139898
2018,중앙,한의과,8062
2018,중앙,통증클리닉,14340
2018,중앙,방사선종양학과,8088
2018,중앙,완화의료사업실,1208
2018,중앙,욕창성형클리닉,1463
2018,중앙,건강관리과,8007
2018,중앙,기타,2478
2023,대전,내과,6960
2023,대전,소화기내과,38090
2023,대전,심장내과,17999
2023,대전,호흡기내과,15532
2023,대전,내분비내과,9150
2023,대전,류마티스내과,4701
2023,대전,신장내과,13411
2023,대전,혈액종양내과,9340
2023,대전,소아청소년과,150
2023,대전,신경과,32424
2023,대전,정신건강의학과,7885
2023,대전,피부과,12291
2023,대전,재활의학과,23074
2023,대전,가정의학과,35219
2023,대전,외과,8795
2023,대전,정형외과,39621
2023,대전,신경외과,5661
2023,대전,산부인과,1907
2023,대전,안과,11721
2023,대전,이비인후과,12637
2023,대전,비뇨의학과,33413
2023,대전,치과,24153
2023,대전,마취통증의학과,3519
2023,대전,한방진료과,6496
2023,대전,응급의학과,4760
2023,대전,건강검진센터,8086
2021,부산,일반내과,23295
2021,부산,순환기내과,30759
2021,부산,호흡기내과,16231
2021,부산,내분비내과,23334
2021,부산,소화기내과,43448
2021,부산,혈액종양내과,1705
2021,부산,신장내과,22595
2021,부산,류마티스내과,4403
2021,부산,소아청소년과,28920
2021,부산,신경과,20633
2021,부산,정신건강의학과,16094
2021,부산,피부과,31898
2021,부산,재활의학과,29529
2021,부산,가정의학과,20711
2021,부산,외과,7554
2021,부산,정형외과,40835
2021,부산,신경외과,25107
2021,부산,산부인과,4639
2021,부산,안과,34558
2021,부산,이비인후과,13104
2021,부산,비뇨의학과,56417
2021,부산,치과,34675
2021,부산,한방과,7227
2021,부산,건강관리과,8265
2021,부산,향정신과,245
2021,대구,내과,26168
2021,대구,소화기내과,34485
2021,대구,내분비내과,17198
2021,대구,순환기내과,39805
2021,대구,호흡기내과,0
2021,대구,신장내과,19488
2021,대구,감염내과,9953
2021,대구,신경과,31684
2021,대구,정신건강의학과,11906
2021,대구,외과,8692
2021,대구,흉부외과,0
2021,대구,정형외과,28311
2021,대구,신경외과,24894
2021,대구,마취통증의학과,3038
2021,대구,산부인과,4533
2021,대구,소아청소년과,888
2021,대구,안과,23092
2021,대구,이비인후과,17308
2021,대구,피부과,21633
2021,대구,비뇨의학과,44497
2021,대구,재활의학과,35472
2021,대구,가정의학과,12380
2021,대구,치과,26040
2021,대구,건강관리과,8453
2021,대구,핵의학과,4909
2021,광주,순환기내과,51115
2021,광주,호흡기내과,18553
2021,광주,내분비내과,17665
2021,광주,감염내과,5275
2021,광주,소화기내과,29441
2021,광주,혈액종양내과,7439
2021,광주,신장내과,15521
2021,광주,일반내과,9023
2021,광주,신경과,38928
2021,광주,소아청소년과,22943
2021,광주,정신건강의학과,13927
2021,광주,외과,9343
2021,광주,정형외과,35370
2021,광주,신경외과,25457
2021,광주,산부인과,6883
2021,광주,안과,21016
2021,광주,피부과,20985
2021,광주,이비인후과,11501
2021,광주,비뇨의학과,36948
2021,광주,치과,25185
2021,광주,재활의학과,32962
2021,광주,가정의학과,22422
2021,광주,마취과,793
2021,광주,핵의학과,162
2021,광주,건강관리과,7667
2021,광주,응급의학과,206
2021,광주,한의과,6005
2021,인천,내과,16287
2021,인천,소화기내과,11245
2021,인천,순환기내과,2168
2021,인천,신경과,3901
2021,인천,외과,3433
2021,인천,정형외과,9533
2021,인천,신경외과,5614
2021,인천,안과,9115
2021,인천,이비인후과,7419
2021,인천,피부과,7715
2021,인천,비뇨의학과,23134
2021,인천,가정의학과,16377
2021,인천,재활의학과,8246
2021,인천,치과,14443
2021,인천,마취통증의학과,913
2021,인천,진단검사의학과,142
2016,대전,내과,38756
2016,대전,소화기내과,20012
2016,대전,심장내과,16951
2016,대전,호흡기내과,10551
2016,대전,소아청소년과,583
2016,대전,신경과,30338
2016,대전,정신건강의학과,9305
2016,대전,피부과,20178
2016,대전,재활의학과,18726
2016,대전,가정의학과,29455
2016,대전,외과,7824
2016,대전,정형외과,40281
2016,대전,신경외과,6278
2016,대전,산부인과,1253
2016,대전,안과,14931
2016,대전,이비인후과,11886
2016,대전,비뇨기과,28123
2016,대전,치과,24636
2016,대전,마취통증의학과,242
2016,대전,한방진료과,6281
2016,대전,건강검진센터,5620
2016,대전,응급의학과,6061
2015,광주,구분,0
2015,광주,내과,156216
2015,광주,신경과,32954
2015,광주,소아청소년과,28428
2015,광주,외과,12477
2015,광주,정신건강의학과,857
2015,광주,정형외과,45398
2015,광주,신경외과,19095
2015,광주,산부인과,2667
2015,광주,안과,22819
2015,광주,피부과,15151
2015,광주,이비인후과,13732
2015,광주,비뇨의학과,32394
2015,광주,치과,29745
2015,광주,재활의학과,35251
2015,광주,가정의학과,40550
2015,광주,알레르기내과,371
2015,광주,핵의학과,140
2015,광주,건강관리과,11216
2015,광주,한의과,0
2021,대전,내과,5228
2021,대전,소화기내과,39456
2021,대전,심장내과,16202
2021,대전,호흡기내과,15917
2021,대전,내분비내과,5500
2021,대전,류마티스내과,10796
2021,대전,신장내과,10262
2021,대전,혈액종양내과,10550
2021,대전,소아청소년과,2753
2021,대전,신경과,32258
2021,대전,정신건강의학과,8384
2021,대전,피부과,16231
2021,대전,재활의학과,21701
2021,대전,가정의학과,32429
2021,대전,외과,8630
2021,대전,정형외과,36572
2021,대전,신경외과,6521
2021,대전,산부인과,13289
2021,대전,안과,13453
2021,대전,이비인후과,11303
2021,대전,비뇨의학과,31646
2021,대전,치과,27205
2021,대전,마취통증의학과,2987
2021,대전,한방진료과,6057
2021,대전,건강검진센터,8856
2021,중앙,일반내과,6
2021,중앙,순환기내과,95202
2021,중앙,호흡기내과,29817
2021,중앙,내분비내과,50809
2021,중앙,감염내과,14636
2021,중앙,소화기내과,54285
2021,중앙,혈액종양내과,22710
2021,중앙,신장내과,32137
2021,중앙,류마티스내과,12803
2021,중앙,소아청소년과,3438
2021,중앙,신경과,84797
2021,중앙,정신건강의학과,35774
2021,중앙,피부과,50485
2021,중앙,재활의학과,91471
2021,중앙,가정의학과,65917
2021,중앙,외과,17645
2021,중앙,흉부외과,10881
2021,중앙,정형외과,70373
2021,중앙,신경외과,28033
2021,중앙,성형외과,5131
2021,중앙,산부인과,18614
2021,중앙,안과,75818
2021,중앙,이비인후과,36288
2021,중앙,비뇨의학과,91342
2021,중앙,치과,133292
2021,중앙,한의과,7881
2021,중앙,통증클리닉,14904
2021,중앙,방사선종양학과,8686
2021,중앙,완화의료사업실,1599
2021,중앙,욕창성형클리닉,0
2021,중앙,건강관리과,8423
2021,중앙,기타,1711
2018,인천,일반내과,998
2018,인천,소화기내과,3324
2018,인천,호흡기내과,0
2018,인천,순환기내과,0
2018,인천,내분비내과,0
2018,인천,신경과,2195
2018,인천,외과,1148
2018,인천,정형외과,638
2018,인천,신경외과,171
2018,인천,안과,600
2018,인천,이비인후과,167
2018,인천,피부과,212
2018,인천,비뇨의학과,4888
2018,인천,재활의학과,2568
2018,인천,가정의학과,2532
2018,인천,치과,2359
2018,인천,마취통증의학과,65
2017,대구,구분,0
2017,대구,내과,135397
2017,대구,신경과,29620
2017,대구,정신건강의학과,11326
2017,대구,외과,10450
2017,대구,흉부외과,0
2017,대구,정형외과,30435
2017,대구,신경외과,24626
2017,대구,마취과,2652
2017,대구,산부인과,5625
2017,대구,소아청소년과,2194
2017,대구,안과,24214
2017,대구,이비인후과,18788
2017,대구,피부과,24653
2017,대구,비뇨의학과,48736
2017,대구,재활의학과,49571
2017,대구,가정의학과,12187
2017,대구,치과,26466
2017,대구,건강관리과,12289
2017,대구,핵의학과,4177
2019,대구,내과,142072
2019,대구,신경과,26301
2019,대구,정신건강의학과,12065
2019,대구,외과,7761
2019,대구,흉부외과,0
2019,대구,정형외과,40260
2019,대구,신경외과,28395
2019,대구,마취통증의학과,3203
2019,대구,산부인과,5270
2019,대구,소아청소년과,1592
2019,대구,안과,23582
2019,대구,이비인후과,19449
2019,대구,피부과,23193
2019,대구,비뇨의학과,50435
2019,대구,재활의학과,12646
2019,대구,가정의학과,10433
2019,대구,치과,29395
2019,대구,건강관리과,10085
2019,대구,핵의학과,4502
2020,인천,내과,13359
2020,인천,소화기내과,10344
2020,인천,순환기내과,748
2020,인천,신경과,1342
2020,인천,외과,1201
2020,인천,정형외과,12974
2020,인천,신경외과,13372
2020,인천,마취통증의학과,668
2020,인천,안과,8069
2020,인천,이비인후과,7447
2020,인천,피부과,7846
2020,인천,비뇨의학과,20656
2020,인천,재활의학과,755
2020,인천,치과,14317
2020,인천,가정의학과,15677
2020,인천,진단검사의학과,183
2017,대전,구분,0
2017,대전,내과,42389
2017,대전,소화기내과,21937
2017,대전,심장내과,19384
2017,대전,호흡기내과,5784
2017,대전,소아청소년과,518
2017,대전,신경과,31937
2017,대전,정신건강의학과,8776
2017,대전,피부과,20555
2017,대전,재활의학과,19052
2017,대전,가정의학과,28772
2017,대전,외과,7360
2017,대전,정형외과,36996
2017,대전,신경외과,6548
2017,대전,산부인과,1009
2017,대전,안과,13662
2017,대전,이비인후과,11598
2017,대전,비뇨기과,29514
2017,대전,치과,23809
2017,대전,마취통증의학과,0
2017,대전,한방진료과,7110
2017,대전,건강검진센터,6417
2017,대전,응급의학과,5397
2014,광주,구분,0
2014,광주,내과,152566
2014,광주,신경과,30857
2014,광주,소아청소년과,31373
2014,광주,정신과,9070
2014,광주,외과,13209
2014,광주,흉부외과,1992
2014,광주,정형외과,46964
2014,광주,신경외과,19439
2014,광주,산부인과,1507
2014,광주,안과,22946
2014,광주,피부과,25485
2014,광주,이비인후과,15153
2014,광주,비뇨기과,32068
2014,광주,치과,29723
2014,광주,재활의학과,33334
2014,광주,가정의학과,33707
2014,광주,마취과,471
2014,광주,핵의학과,211
2014,광주,건강관리과,9851
2017,광주,내과,160836
2017,광주,신경과,31298
2017,광주,소아청소년과,29622
2017,광주,정신과,12485
2017,광주,외과,12331
2017,광주,흉부외과,0
2017,광주,정형외과,41878
2017,광주,신경외과,26345
2017,광주,산부인과,1309
2017,광주,안과,23069
2017,광주,피부과,23444
2017,광주,이비인후과,16241
2017,광주,비뇨기과,35831
2017,광주,치과,29562
2017,광주,재활의학과,33968
2017,광주,가정의학과,34094
2017,광주,마취과,563
2017,광주,핵의학과,198
2017,광주,건강관리과,10697
2016,대구,내과,130824
2016,대구,신경과,28552
2016,대구,정신건강의학과,10732
2016,대구,외과,10477
2016,대구,흉부외과,0
2016,대구,정형외과,29524
2016,대구,신경외과,24853
2016,대구,마취과,2570
2016,대구,산부인과,5843
2016,대구,소아청소년과,2661
2016,대구,안과,23636
2016,대구,이비인후과,18096
2016,대구,피부과,24523
2016,대구,비뇨기과,47665
2016,대구,재활의학과,49345
2016,대구,가정의학과,16155
2016,대구,치과,29801
2016,대구,건강관리과,12173
2016,대구,핵의학과,5473
2014,대전,내과,47483
2014,대전,소화기내과,11577
2014,대전,심장내과,5682
2014,대전,호흡기내과,8929
2014,대전,소아청소년과,343
2014,대전,신경과,26207
2014,대전,정신건강의학과,9229
2014,대전,외과,8039
2014,대전,정형외과,40692
2014,대전,신경외과,4367
2014,대전,산부인과,1272
2014,대전,안과,14481
2014,대전,이비인후과,11692
2014,대전,피부과,19177
2014,대전,비뇨기과,25434
2014,대전,치과,22420
2014,대전,재활의학과,15246
2014,대전,통증크리닉,283
2014,대전,가정의학과,26910
2014,대전,한방내과,6999
2014,대전,건강관리과,5147
2014,대전,응급실,5293
2018,부산,일반내과,43945
2018,부산,순환기내과,27473
2018,부산,호흡기내과,11528
2018,부산,내분비내과,20062
2018,부산,소화기내과,37871
2018,부산,신장내과,22725
2018,부산,소아청소년과,5856
2018,부산,신경과,20889
2018,부산,정신건강의학과,16677
2018,부산,외과,8138
2018,부산,정형외과,46448
2018,부산,신경외과,27184
2018,부산,산부인과,2276
2018,부산,안과,32469
2018,부산,이비인후과,14297
2018,부산,피부과,35806
2018,부산,비뇨의학과,56376
2018,부산,치과,35123
2018,부산,재활의학과,27809
2018,부산,가정의학과,17542
2018,부산,한방진료과,7085
2018,부산,건강관리과,10386
2018,부산,향정신과,242
2023,대구,소화기내과,0
2023,대구,내분비내과,35314
2023,대구,순환기내과,10578
2023,대구,호흡기내과,43820
2023,대구,신장내과,0
2023,대구,감염내과,26347
2023,대구,신경과,1958
2023,대구,정신건강의학과,28090
2023,대구,외과,11994
2023,대구,흉부외과,9722
2023,대구,정형외과,0
2023,대구,신경외과,24870
2023,대구,마취통증의학과,24670
2023,대구,산부인과,2736
2023,대구,소아청소년과,5099
2023,대구,안과,1431
2023,대구,이비인후과,23670
2023,대구,피부과,18453
2023,대구,비뇨의학과,19713
2023,대구,재활의학과,40879
2023,대구,가정의학과,43168
2023,대구,치과,10563
2023,대구,건강관리과,25885
2023,대구,핵의학과,7353
2023,대구,핵의학과,4790
2018,광주,순환기내과,59201
2018,광주,호흡기내과,23006
2018,광주,내분비내과,24612
2018,광주,소화기내과,35544
2018,광주,혈액종양내과,2364
2018,광주,신장내과,15314
2018,광주,일반내과,9915
2018,광주,신경과,31956
2018,광주,소아청소년과,27425
2018,광주,정신건강의학과,14256
2018,광주,외과,11948
2018,광주,정형외과,43420
2018,광주,신경외과,25549
2018,광주,산부인과,1666
2018,광주,안과,23348
2018,광주,피부과,26870
2018,광주,이비인후과,15337
2018,광주,비뇨의학과,40134
2018,광주,치과,27049
2018,광주,재활의학과,36253
2018,광주,가정의학과,30656
2018,광주,마취과,1020
2018,광주,핵의학과,147
2018,광주,건강관리과,11766
2018,광주,한의과,8209
2013,대구,내과,130018
2013,대구,신경과,27523
2013,대구,정신건강의학과,8881
2013,대구,외과,12418
2013,대구,흉부외과,0
2013,대구,정형외과,30637
2013,대구,신경외과,26387
2013,대구,마취과,2623
2013,대구,산부인과,6188
2013,대구,소아청소년과,3676
2013,대구,안과,23861
2013,대구,이비인후과,18981
2013,대구,피부과,24325
2013,대구,비뇨기과,45555
2013,대구,재활의학과,38062
2013,대구,가정의학과,9823
2013,대구,치과,28206
2013,대구,건강관리과,10763
2013,대구,핵의학과,4642
2023,광주,순환기내과,47452
2023,광주,호흡기내과,2191
2023,광주,내분비내과,15166
2023,광주,감염내과,2098
2023,광주,소화기내과,26662
2023,광주,혈액종양내과,5559
2023,광주,신장내과,15833
2023,광주,일반내과,10781
2023,광주,신경과,39239
2023,광주,소아청소년과,23493
2023,광주,정신건강의학과,12050
2023,광주,외과,8456
2023,광주,정형외과,27225
2023,광주,신경외과,7849
2023,광주,산부인과,3880
2023,광주,안과,18748
2023,광주,피부과,16289
2023,광주,이비인후과,14348
2023,광주,비뇨의학과,37182
2023,광주,치과,21737
2023,광주,재활의학과,39583
2023,광주,가정의학과,19311
2023,광주,마취과,726
2023,광주,핵의학과,228
2023,광주,건강관리과,7077
2023,광주,응급의학과,14808
2023,광주,영상의학과,331
2023,광주,한의과,6094
2023,부산,일반내과,13379
2023,부산,순환기내과,37541
2023,부산,호흡기·알레르기내과,15816
2023,부산,내분비내과,15804
2023,부산,소화기내과,40001
2023,부산,혈액종양내과,2685
2023,부산,신장내과,20271
2023,부산,류마티스내과,4939
2023,부산,소아청소년과,11366
2023,부산,신경과,18092
2023,부산,정신건강의학과,18507
2023,부산,피부과,29657
2023,부산,재활의학과,38735
2023,부산,가정의학과,23514
2023,부산,외과,6595
2023,부산,정형외과,36326
2023,부산,신경외과,24220
2023,부산,산부인과,2357
2023,부산,안과,30584
2023,부산,이비인후과,13029
2023,부산,비뇨의학과,54045
2023,부산,치과,33818
2023,부산,한방과,5632
2023,부산,마취통증의학과,0
2023,부산,건강관리과,6585
2023,부산,향정신과,141
2022,중앙,일반내과,2
2022,중앙,순환기내과,96951
2022,중앙,호흡기·알레르기내과,32432
2022,중앙,내분비내과,53347
2022,중앙,감염내과,19550
2022,중앙,소화기내과,48033
2022,중앙,혈액종양내과,20725
2022,중앙,신장내과,31907
2022,중앙,류마티스내과,13152
2022,중앙,소아청소년과,2090
2022,중앙,신경과,80683
2022,중앙,정신건강의학과,32415
2022,중앙,피부과,38847
2022,중앙,재활의학과,84356
2022,중앙,가정의학과,57744
2022,중앙,외과,15787
2022,중앙,흉부외과,10315
2022,중앙,정형외과,68222
2022,중앙,신경외과,27665
2022,중앙,성형외과,6767
2022,중앙,산부인과,16987
