상병코드,상병명,국비,사비,년도,지역,구분,합계
C321,Malignant neoplasm of supraglottis,1.0,0.0,2019,광주,질병,1.0
C3401,"Malignant neoplasm of main bronchus, left",1.0,0.0,2019,광주,질병,1.0
C3410,"Malignant neoplasm of upper lobe, bronchus or lung, right",1.0,2.0,2019,광주,질병,3.0
C3411,"Malignant neoplasm of upper lobe, bronchus or lung, left",1.0,4.0,2019,광주,질병,5.0
C3419,"Malignant neoplasm of upper lobe, bronchus or lung, unspecified side",4.0,1.0,2019,광주,질병,5.0
C3430,"Malignant neoplasm of lower lobe, bronchus or lung, right",1.0,2.0,2019,광주,질병,3.0
C3439,"Malignant neoplasm of lower lobe, bronchus or lung, unspecified side",0.0,4.0,2019,광주,질병,4.0
C3489,"Malignant neoplasm of overlapping lesion of bronchus and lung, unspecified side",3.0,0.0,2019,광주,질병,3.0
C3490,"Malignant neoplasm of bronchus or lung, unspecified, right",9.0,7.0,2019,광주,질병,16.0
C3491,"Malignant neoplasm of bronchus or lung, unspecified, left",10.0,2.0,2019,광주,질병,12.0
C3499,"Malignant neoplasm of bronchus or lung, unspecified, unspecified side",59.0,59.0,2019,광주,질병,118.0
C37,Malignant neoplasm of thymus,0.0,1.0,2019,광주,질병,1.0
C381,Malignant neoplasm of anterior mediastinum,0.0,1.0,2019,광주,질병,1.0
C419,"Malignant neoplasm of bone and articular cartilage, unspecified",1.0,0.0,2019,광주,질병,1.0
C437,"Malignant melanoma of lower limb, including hip",0.0,1.0,2019,광주,질병,1.0
C439,"Malignant melanoma of skin, unspecified",0.0,2.0,2019,광주,질병,2.0
C459,"Mesothelioma, unspecified",1.0,1.0,2019,광주,질병,2.0
C488,Malignant neoplasm of overlapping lesion of retroperitoneum and peritoneum,1.0,0.0,2019,광주,질병,1.0
C499,"Malignant neoplasm of connective and soft tissue, unspecified",3.0,1.0,2019,광주,질병,4.0
C5089,"Malignant neoplasm of overlapping lesion of breast, unspecified side",1.0,0.0,2019,광주,질병,1.0
C5090,"Malignant neoplasm of breast unspecified, right",0.0,2.0,2019,광주,질병,2.0
C5091,"Malignant neoplasm of breast unspecified, left",0.0,5.0,2019,광주,질병,5.0
C5099,"Malignant neoplasm of breast unspecified, unspecified side",0.0,3.0,2019,광주,질병,3.0
C530,Malignant neoplasm of endocervix,0.0,1.0,2019,광주,질병,1.0
C539,"Malignant neoplasm of cervix uteri, unspecified",0.0,1.0,2019,광주,질병,1.0
C541,Malignant neoplasm of endometrium,0.0,2.0,2019,광주,질병,2.0
C561,"Malignant neoplasm of ovary, left",0.0,1.0,2019,광주,질병,1.0
C569,"Malignant neoplasm of ovary, unspecified side",0.0,7.0,2019,광주,질병,7.0
C61,Malignant neoplasm of prostate,36.0,16.0,2019,광주,질병,52.0
C640,"Malignant neoplasm of kidney, except renal pelvis, right",0.0,1.0,2019,광주,질병,1.0
C641,"Malignant neoplasm of kidney, except renal pelvis, left",0.0,1.0,2019,광주,질병,1.0
C649,"Malignant neoplasm of kidney, except renal pelvis, unspecified side",2.0,3.0,2019,광주,질병,5.0
C650,"Malignant neoplasm of renal pelvis, right",0.0,2.0,2019,광주,질병,2.0
C669,"Malignant neoplasm of ureter, unspecified side",0.0,1.0,2019,광주,질병,1.0
C674,Malignant neoplasm of posterior wall of bladder,1.0,0.0,2019,광주,질병,1.0
C679,"Malignant neoplasm of bladder, unspecified",49.0,18.0,2019,광주,질병,67.0
C696,Malignant neoplasm of orbit,2.0,0.0,2019,광주,질병,2.0
C710,"Malignant neoplasm of cerebrum, except lobes and ventricles",0.0,3.0,2019,광주,질병,3.0
C713,Malignant neoplasm of parietal lobe,1.0,0.0,2019,광주,질병,1.0
C718,Malignant neoplasm of overlapping lesion of brain,0.0,1.0,2019,광주,질병,1.0
C719,"Malignant neoplasm of brain, unspecified",2.0,3.0,2019,광주,질병,5.0
C73,Malignant neoplasm of thyroid gland,5.0,8.0,2019,광주,질병,13.0
C749,"Malignant neoplasm of adrenal gland, unspecified",0.0,1.0,2019,광주,질병,1.0
C753,Malignant neoplasm of pineal gland,0.0,1.0,2019,광주,질병,1.0
C779,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",1.0,0.0,2019,광주,질병,1.0
C7809,"Secondary malignant neoplasm of lung, unspecified side",1.0,0.0,2019,광주,질병,1.0
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,0.0,1.0,2019,광주,질병,1.0
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,1.0,0.0,2019,광주,질병,1.0
C788,Secondary malignant neoplasm of other and unspecified digestive organs,1.0,1.0,2019,광주,질병,2.0
C7950,Secondary malignant neoplasm of bone,3.0,4.0,2019,광주,질병,7.0
C7951,Secondary malignant neoplasm of bone marrow,0.0,1.0,2019,광주,질병,1.0
C800,"Malignant neoplasm, primary site unknown, so stated",4.0,1.0,2019,광주,질병,5.0
C8338,Other and unspecified diffuse large B-cell lymphoma,0.0,1.0,2019,광주,질병,1.0
C839,"Non-follicular(diffuse) lymphoma, unspecified",0.0,1.0,2019,광주,질병,1.0
C859,"Non-Hodgkin lymphoma, unspecified",13.0,3.0,2019,광주,질병,16.0
C865,Angioimmunoblastic T-cell lymphoma,0.0,1.0,2019,광주,질병,1.0
C880,Waldenstrom macroglobulinaemia,1.0,4.0,2019,광주,질병,5.0
C900,Multiple myeloma,11.0,6.0,2019,광주,질병,17.0
C911,Chronic lymphocytic leukaemia of B-cell type,0.0,1.0,2019,광주,질병,1.0
C9208,Other and unspecified acute myeloblastic leukaemia,0.0,2.0,2019,광주,질병,2.0
C921,"Chronic myeloid leukaemia[CML], BCR/ABL-positive",1.0,0.0,2019,광주,질병,1.0
C929,"Myeloid leukaemia, unspecified",1.0,0.0,2019,광주,질병,1.0
C946,"Myelodysplastic and myeloproliferative disease, not classified",2.0,0.0,2019,광주,질병,2.0
D002,Carcinoma in situ of stomach,1.0,1.0,2019,광주,질병,2.0
D010,Carcinoma in situ of colon,1.0,0.0,2019,광주,질병,1.0
D091,Carcinoma in situ of other and unspecified urinary organs,0.0,3.0,2019,광주,질병,3.0
D110,Benign neoplasm of parotid gland,0.0,2.0,2019,광주,질병,2.0
D121,Benign neoplasm of appendix,0.0,1.0,2019,광주,질병,1.0
D122,Benign neoplasm of ascending colon,1.0,0.0,2019,광주,질병,1.0
D125,Benign neoplasm of sigmoid colon,3.0,0.0,2019,광주,질병,3.0
D127,Benign neoplasm of rectosigmoid junction,6.0,6.0,2019,광주,질병,12.0
D128,Benign neoplasm of rectum,1.0,0.0,2019,광주,질병,1.0
D131,Benign neoplasm of stomach,20.0,20.0,2019,광주,질병,40.0
D132,Benign neoplasm of duodenum,0.0,3.0,2019,광주,질병,3.0
D135,Benign neoplasm of extrahepatic bile ducts,4.0,2.0,2019,광주,질병,6.0
D136,Benign neoplasm of pancreas,0.0,1.0,2019,광주,질병,1.0
D139,Benign neoplasm of ill-defined sites within the digestive system,2.0,0.0,2019,광주,질병,2.0
D151,Benign neoplasm of heart,1.0,0.0,2019,광주,질병,1.0
D170,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",0.0,1.0,2019,광주,질병,1.0
D179,"Benign lipomatous neoplasm, unspecified",5.0,5.0,2019,광주,질병,10.0
D1802,Hemangioma of hepatobiliary system,1.0,0.0,2019,광주,질병,1.0
D1808,Hemangioma of other sites,0.0,2.0,2019,광주,질병,2.0
D215,Other benign neoplasms of connective and other soft tissue of pelvis,0.0,1.0,2019,광주,질병,1.0
D219,"Other benign neoplasms of connective and other soft tissue, unspecified",0.0,2.0,2019,광주,질병,2.0
D2490,"Benign neoplasm of breast, unspecifiedt, right",0.0,2.0,2019,광주,질병,2.0
D2491,"Benign neoplasm of breast, unspecified, left",0.0,1.0,2019,광주,질병,1.0
D269,"Other benign neoplasms of uterus, unspecified",0.0,1.0,2019,광주,질병,1.0
D303,Benign neoplasm of bladder,0.0,1.0,2019,광주,질병,1.0
D329,"Benign neoplasm of meninges, unspecified",0.0,3.0,2019,광주,질병,3.0
D352,Benign neoplasm of pituitary gland,1.0,0.0,2019,광주,질병,1.0
D369,Benign neoplasm of unspecified site,1.0,1.0,2019,광주,질병,2.0
D370,"Neoplasm of uncertain or unknown behavior of lip, oral cavity and pharynx",0.0,1.0,2019,광주,질병,1.0
D371,Neoplasm of uncertain or unknown behavior of stomach,3.0,0.0,2019,광주,질병,3.0
D374,Neoplasm of uncertain or unknown behavior of colon,3.0,1.0,2019,광주,질병,4.0
D375,Neoplasm of uncertain or unknown behavior of rectum,1.0,0.0,2019,광주,질병,1.0
D376,"Neoplasm of uncertain or unknown behavior of liver, gallbladder and bile ducts",0.0,1.0,2019,광주,질병,1.0
D381,"Neoplasm of uncertain or unknown behavior of trachea, bronchus and lung",0.0,1.0,2019,광주,질병,1.0
D400,Neoplasm of uncertain or unknown behavior of prostate,3.0,0.0,2019,광주,질병,3.0
D439,"Neoplasm of uncertain or unknown behavior of central nervous system, unspecified",0.0,1.0,2019,광주,질병,1.0
D449,"Neoplasm of uncertain or unknwon behavior of endocrine gland, unspecified",0.0,1.0,2019,광주,질병,1.0
D467,Other myelodysplastic syndromes,0.0,3.0,2019,광주,질병,3.0
D469,"Myelodysplastic syndrome, unspecified",28.0,16.0,2019,광주,질병,44.0
D471,Chronic myeloproliferative disease,13.0,5.0,2019,광주,질병,18.0
D472,Monoclonal gammopathy of undetermined significance (MGUS),1.0,0.0,2019,광주,질병,1.0
D481,Neoplasm of uncertain or unknown behavior of connective and other soft tissue,1.0,1.0,2019,광주,질병,2.0
D487,Neoplasm of uncertain or unknown behavior of other specified sites,0.0,1.0,2019,광주,질병,1.0
D500,Iron deficiency anaemia secondary to blood loss (chronic),3.0,1.0,2019,광주,질병,4.0
D508,Other iron deficiency anaemias,6.0,1.0,2019,광주,질병,7.0
D509,"Iron deficiency anaemia, unspecified",0.0,3.0,2019,광주,질병,3.0
D531,"Other megaloblastic anaemias, NEC",1.0,1.0,2019,광주,질병,2.0
D591,Other autoimmune haemolytic anaemias,0.0,1.0,2019,광주,질병,1.0
D599,"Acquired haemolytic anaemia, unspecified",1.0,0.0,2019,광주,질병,1.0
D619,"Aplastic anaemia, unspecified",0.0,3.0,2019,광주,질병,3.0
D638,Anaemia in other chronic diseases classified elsewhere,1.0,0.0,2019,광주,질병,1.0
D649,"Anaemia, unspecified",7.0,8.0,2019,광주,질병,15.0
D690,Allergic purpura,0.0,1.0,2019,광주,질병,1.0
D696,"Thrombocytopenia, unspecified",1.0,1.0,2019,광주,질병,2.0
D700,Neutropenic fever,1.0,0.0,2019,광주,질병,1.0
D721,Eosinophilia,3.0,3.0,2019,광주,질병,6.0
D728,Other specified disorders of white blood cells,2.0,2.0,2019,광주,질병,4.0
D729,"Disorder of white blood cells, unspecified",2.0,1.0,2019,광주,질병,3.0
D739,"Disease of spleen, unspecified",0.0,1.0,2019,광주,질병,1.0
D869,"Sarcoidosis, unspecified",1.0,1.0,2019,광주,질병,2.0
D892,"Hypergammaglobulinemia, unspecified",0.0,1.0,2019,광주,질병,1.0
E038,Other specified hypothyroidism,0.0,1.0,2019,광주,질병,1.0
E039,"Hypothyroidism, unspecified",0.0,1.0,2019,광주,질병,1.0
E041,Nontoxic single thyroid nodule,0.0,2.0,2019,광주,질병,2.0
E050,Thyrotoxicosis with diffuse goitre,1.0,0.0,2019,광주,질병,1.0
E069,"Thyroiditis, unspecified",0.0,1.0,2019,광주,질병,1.0
E1008,"Type 1 diabetes mellitus, with coma, other and unspecified",0.0,1.0,2019,광주,질병,1.0
E1058,"Type 1 diabetes mellitus, with other and unspecified certain circulatory complications",3.0,1.0,2019,광주,질병,4.0
E1063,"Type 1 diabetes mellitus, with hypoglycemia",0.0,1.0,2019,광주,질병,1.0
E1068,"Type 1 diabetes mellitus, with other specified complication, not elsewhere classified",0.0,1.0,2019,광주,질병,1.0
E108,"Type 1 diabetes mellitus, with unspecified complications",0.0,1.0,2019,광주,질병,1.0
E109,"Type 1 diabetes mellitus, without complications",0.0,1.0,2019,광주,질병,1.0
E1100,"Type 2 diabetes mellitus, with coma, with hyperosmolarity",1.0,0.0,2019,광주,질병,1.0
E1101,"Type 2 diabetes mellitus, with coma, with ketoacidosis",2.0,0.0,2019,광주,질병,2.0
E1102,"Type 2 diabetes mellitus, with coma, with lactic acidosis",1.0,0.0,2019,광주,질병,1.0
E1121,"Type 2 diabetes mellitus, with established diabetic nephropathy(N083*)",0.0,1.0,2019,광주,질병,1.0
E1128,"Type 2 diabetes mellitus, with other and unspecified renal complication(N083*)",3.0,2.0,2019,광주,질병,5.0
E1141,"Type 2 diabetes mellitus, with diabetic polyneuropathy(G632*)",1.0,0.0,2019,광주,질병,1.0
E1158,"Type 2 diabetes mellitus, with other and unspecified certain circulatory complications",2.0,0.0,2019,광주,질병,2.0
E118,"Type 2 diabetes mellitus, with unspecified complications",80.0,48.0,2019,광주,질병,128.0
E119,"Type 2 diabetes mellitus, without complications",25.0,7.0,2019,광주,질병,32.0
E139,"Other specified diabetes mellitus, without complications",1.0,0.0,2019,광주,질병,1.0
E1408,"Unspecified diabetes mellitus, with coma, other and unspecified",1.0,1.0,2019,광주,질병,2.0
E1458,"Unspecified diabetes mellitus, with other and unspecified certain circulatory complications",0.0,2.0,2019,광주,질병,2.0
E148,"Unspecified diabetes mellitus, with unspecified complications",6.0,5.0,2019,광주,질병,11.0
E149,"Unspecified diabetes mellitus, without complications",0.0,1.0,2019,광주,질병,1.0
E15,Nondiabetic hypoglycaemic coma,0.0,1.0,2019,광주,질병,1.0
E1618,Other hypoglycaemia,0.0,1.0,2019,광주,질병,1.0
E222,Syndrome of inappropriate secretion of antidiuretic hormone,0.0,1.0,2019,광주,질병,1.0
E230,Hypopituitarism,1.0,1.0,2019,광주,질병,2.0
E232,Diabetes insipidus,1.0,0.0,2019,광주,질병,1.0
E242,Drug-induced Cushing’s syndrome,1.0,0.0,2019,광주,질병,1.0
E260,Primary hyperaldosteronism,2.0,0.0,2019,광주,질병,2.0
E274,Other and unspecified adrenocortical insufficiency,2.0,0.0,2019,광주,질병,2.0
E301,Precocious puberty,0.0,122.0,2019,광주,질병,122.0
E343,"Short stature, NEC",0.0,14.0,2019,광주,질병,14.0
E512,Wernicke’s encephalopathy,0.0,1.0,2019,광주,질병,1.0
E668,Other obesity,1.0,0.0,2019,광주,질병,1.0
E785,"Hyperlipidaemia, unspecified",0.0,1.0,2019,광주,질병,1.0
E806,Other disorders of bilirubin metabolism,0.0,1.0,2019,광주,질병,1.0
E835,Disorders of calcium metabolism,0.0,1.0,2019,광주,질병,1.0
E854,Organ-limited amyloidosis,0.0,1.0,2019,광주,질병,1.0
E870,Hyperosmolality and hypernatraemia,1.0,1.0,2019,광주,질병,2.0
E871,Hypo-osmolality and hyponatraemia,14.0,10.0,2019,광주,질병,24.0
E875,Hyperkalaemia,1.0,2.0,2019,광주,질병,3.0
E880,"Disorders of plasma-protein metabolism, NEC",1.0,0.0,2019,광주,질병,1.0
F001,Dementia in Alzheimer’s disease with late onset(G301†),3.0,3.0,2019,광주,질병,6.0
F009,"Dementia in Alzheimer´s disease, unspecified(G309†)",5.0,5.0,2019,광주,질병,10.0
F019,"Vascular dementia, unspecified",0.0,1.0,2019,광주,질병,1.0
F03,Unspecified dementia,1.0,0.0,2019,광주,질병,1.0
F059,"Delirium, unspecified",0.0,1.0,2019,광주,질병,1.0
F068,Other specified mental disorders due to brain damage and dysfunction and to physical disease,0.0,1.0,2019,광주,질병,1.0
F109,Unspecified mental and behavioural disorder due to use of alcohol,1.0,0.0,2019,광주,질병,1.0
F130,Acute intoxication due to use of sedatives or hypnotics,1.0,0.0,2019,광주,질병,1.0
F329,"Depressive episode, unspecified",0.0,4.0,2019,광주,질병,4.0
F419,"Anxiety disorder, unspecified",0.0,3.0,2019,광주,질병,3.0
F431,Post-traumatic stress disorder,2.0,0.0,2019,광주,질병,2.0
G031,Chronic meningitis,1.0,0.0,2019,광주,질병,1.0
G039,"Meningitis, unspecified",0.0,6.0,2019,광주,질병,6.0
G049,"Encephalitis, myelitis and encephalomyelitis, unspecified",1.0,0.0,2019,광주,질병,1.0
G061,Intraspinal abscess and granuloma,1.0,0.0,2019,광주,질병,1.0
G121,Other inherited spinal muscular atrophy,1.0,2.0,2019,광주,질병,3.0
G1221,Sporadic amyotrophic lateral sclerosis,1.0,1.0,2019,광주,질병,2.0
G20,Parkinson’s disease,24.0,14.0,2019,광주,질병,38.0
G214,Vascular parkinsonism,2.0,0.0,2019,광주,질병,2.0
G218,Other secondary parkinsonism,3.0,0.0,2019,광주,질병,3.0
G219,"Secondary parkinsonism, unspecified",1.0,0.0,2019,광주,질병,1.0
G22,Parkinsonism in diseases classified elsewhere,1.0,0.0,2019,광주,질병,1.0
G245,Blepharospasm,0.0,1.0,2019,광주,질병,1.0
G250,Essential tremor,0.0,2.0,2019,광주,질병,2.0
G251,Drug-induced tremor,0.0,1.0,2019,광주,질병,1.0
G253,Myoclonus,1.0,1.0,2019,광주,질병,2.0
G301,Alzheimer’s disease with late onset,2.0,1.0,2019,광주,질병,3.0
G3188,Other specified degenerative diseases of  nervous system,0.0,1.0,2019,광주,질병,1.0
G35,Multiple sclerosis,0.0,2.0,2019,광주,질병,2.0
G360,Neuromyelitis optica[Devic],1.0,1.0,2019,광주,질병,2.0
G4010,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures without intractable epilepsy,0.0,1.0,2019,광주,질병,1.0
G4021,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures with intractable epilepsy,2.0,3.0,2019,광주,질병,5.0
G4030,Generalized idiopathic epilepsy and epileptic syndromes without intractable epilepsy,0.0,1.0,2019,광주,질병,1.0
G4031,Generalized idiopathic epilepsy and epileptic syndromes with intractable epilepsy,0.0,1.0,2019,광주,질병,1.0
G4090,"Epilepsy, unspecified without intractable epilepsy",1.0,1.0,2019,광주,질병,2.0
G419,"Status epilepticus, unspecified",2.0,0.0,2019,광주,질병,2.0
G430,Migraine without aura [common migraine],6.0,64.0,2019,광주,질병,70.0
G431,Migraine with aura [classical migraine],0.0,1.0,2019,광주,질병,1.0
G439,"Migraine, unspecified",1.0,15.0,2019,광주,질병,16.0
G441,"Vascular headache, NEC",2.0,2.0,2019,광주,질병,4.0
G442,Tension-type headache,2.0,9.0,2019,광주,질병,11.0
G450,Vertebro-basilar artery syndrome,0.0,1.0,2019,광주,질병,1.0
G458,Other transient cerebral ischaemic attacks and related syndromes,0.0,1.0,2019,광주,질병,1.0
G459,"Transient cerebral ischaemic attack, unspecified",5.0,6.0,2019,광주,질병,11.0
G463,Brain stem stroke syndrome(I60-I67†),1.0,0.0,2019,광주,질병,1.0
G470,Disorders of initiating and maintaining sleep [insomnias],0.0,1.0,2019,광주,질병,1.0
G500,Trigeminal neuralgia,0.0,1.0,2019,광주,질병,1.0
G509,"Disorder of trigeminal nerve, unspecified",0.0,1.0,2019,광주,질병,1.0
G510,Bell’s palsy,4.0,10.0,2019,광주,질병,14.0
G513,Clonic hemifacial spasm,0.0,1.0,2019,광주,질병,1.0
G530,Postzoster neuralgia(B022†),0.0,2.0,2019,광주,질병,2.0
G542,"Cervical root disorders, NEC",1.0,1.0,2019,광주,질병,2.0
G544,"Lumbosacral root disorders, NEC",5.0,1.0,2019,광주,질병,6.0
G560,Carpal tunnel syndrome,5.0,2.0,2019,광주,질병,7.0
G568,Other mononeuropathies of upper limb,2.0,3.0,2019,광주,질병,5.0
G569,"Mononeuropathy of upper limb, unspecified",0.0,1.0,2019,광주,질병,1.0
G570,Lesion of sciatic nerve,0.0,1.0,2019,광주,질병,1.0
G573,Lesion of lateral popliteal nerve,1.0,1.0,2019,광주,질병,2.0
G580,Intercostal neuropathy,0.0,1.0,2019,광주,질병,1.0
