병상 구분,병동 구분,병상 합계,병실 합계,1인실 병상,1인실 병실,2인실 병상,2인실 병실,4인실 병상,4인실 병실,5인실 병상,5인실 병실,6인실 병상,6인실 병실,기타 병상,기타 병실,년도,지역,3인실 병상,3인실 병실,7인실 병상,7인실 병실,8인실 병상,8인실 병실,9인실 병상,9인실 병실,특실 병상,특실 병실,격리실 병상,격리실 병실,국비 병상,국비 병실,사비 병상,사비 병실
기타병상,인공신장실,31,1,0,0,0,0,0,0,0,0,0,0,31,1,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,물리치료실,23,3,0,0,0,0,0,0,0,0,0,0,23,3,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,7,1,0,0,0,0,0,0,0,0,0,0,7,1,2020,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,473,122,15,15,38,19,216,54,0,0,204,34,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,29,8,1,1,0,0,28,7,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,26,2,1,1,0,0,0,0,0,0,0,0,25,1,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,33,13,7,7,0,0,16,4,10,2,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,물리치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,일반병동,388,106,14,14,34,17,220,55,0,0,120,20,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,간호간병병동,89,17,1,1,4,2,0,0,0,0,84,14,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,완화의료실,29,8,1,1,0,0,28,7,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,중환자실,26,3,1,1,2,1,0,0,0,0,0,0,23,1,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,격리병실,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,물리치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,일반병동,402,111,14,14,34,17,252,63,0,0,102,17,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,간호간병병동,89,17,1,1,4,2,0,0,0,0,84,14,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,완화의료실,29,8,1,1,0,0,28,7,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,중환자실,26,2,0,0,0,0,0,0,0,0,0,0,26,2,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,격리병실,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
허가병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,물리치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,광주,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,396,92,16,16,0,0,132,33,50,10,198,33,0,0,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,45,12,1,1,0,0,44,11,0,0,0,0,0,0,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,18,6,1,1,2,1,12,3,0,0,0,0,0,0,2019,대구,3,1,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,14,4,3,3,0,0,0,0,0,0,0,0,11,1,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,14,1,0,0,0,0,0,0,0,0,0,0,14,1,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,6,6,0,0,0,0,0,0,0,0,0,0,6,6,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,28,1,0,0,0,0,0,0,0,0,0,0,28,1,2019,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,일반병동,396,93,16,16,0,0,152,38,30,6,198,33,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,간호간병병동,45,12,1,1,0,0,44,11,0,0,0,0,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,완화의료실,18,6,1,1,2,1,12,3,0,0,0,0,0,0,2020,대구,3,1,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,14,4,3,3,0,0,0,0,0,0,0,0,11,1,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,14,3,2,2,0,0,0,0,0,0,0,0,12,1,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,6,6,0,0,0,0,0,0,0,0,0,0,6,6,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,29,1,0,0,0,0,0,0,0,0,0,0,29,1,2020,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,일반병동,302,72,16,16,0,0,92,23,20,4,174,29,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,간호간병병동,90,23,1,1,0,0,84,21,5,1,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,완화의료실,18,6,1,1,2,1,12,3,0,0,0,0,0,0,2021,대구,3,1,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,14,4,3,3,0,0,0,0,0,0,0,0,11,1,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,14,3,2,2,0,0,0,0,0,0,0,0,12,1,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,6,6,0,0,0,0,0,0,0,0,0,0,6,6,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,29,1,0,0,0,0,0,0,0,0,0,0,29,1,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,코로나전담병동,40,10,0,0,0,0,40,10,0,0,0,0,0,0,2021,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,일반병동,298,72,13,13,0,0,120,30,20,4,144,24,1,1,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,간호간병병동,120,30,1,1,0,0,104,26,15,3,0,0,0,0,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,완화의료실,18,6,1,1,2,1,12,3,0,0,0,0,0,0,2022,대구,3,1,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,14,4,0,0,0,0,0,0,0,0,0,0,14,4,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,14,3,0,0,0,0,0,0,0,0,0,0,14,3,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,6,6,0,0,0,0,0,0,0,0,0,0,6,6,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,29,1,0,0,0,0,0,0,0,0,0,0,29,1,2022,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,일반병동,298,72,13,13,0,0,120,30,20,4,144,24,1,1,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,간호간병병동,120,30,1,1,0,0,104,26,15,3,0,0,0,0,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,완화의료실,18,6,1,1,2,1,12,3,0,0,0,0,0,0,2023,대구,3,1,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,14,4,0,0,0,0,0,0,0,0,0,0,14,4,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,14,3,0,0,0,0,0,0,0,0,0,0,14,3,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,6,6,0,0,0,0,0,0,0,0,0,0,6,6,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,5,1,0,0,0,0,0,0,0,0,0,0,5,1,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,물리치료실,15,1,0,0,0,0,0,0,0,0,0,0,15,1,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,28,1,0,0,0,0,0,0,0,0,0,0,28,1,2023,대구,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,292,60,6,6,0,0,76,19,0,0,210,35,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,40,8,0,0,0,0,0,0,40,8,0,0,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,16,7,1,1,6,3,0,0,0,0,0,0,0,0,2019,대전,9,3,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,13,1,0,0,0,0,0,0,0,0,0,0,13,1,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,8,1,0,0,0,0,0,0,0,0,0,0,8,1,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,5,5,0,0,0,0,0,0,0,0,0,0,5,5,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,13,1,0,0,0,0,0,0,0,0,0,0,13,1,2019,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,211,44,4,4,0,0,56,14,0,0,150,25,0,0,2020,대전,0,0,0,0,0,0,0,0,1,1,0,0,,,,
운영병상(일반),간호간병병동,85,17,0,0,0,0,8,2,65,13,12,2,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,16,7,1,1,6,3,0,0,0,0,0,0,0,0,2020,대전,9,3,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,코로나전담병동,34,10,1,1,0,0,8,2,0,0,24,6,1,1,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,13,2,0,0,0,0,0,0,0,0,0,0,13,2,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,9,1,0,0,0,0,0,0,0,0,0,0,9,1,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,5,5,0,0,0,0,0,0,0,0,0,0,5,5,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,13,1,0,0,0,0,0,0,0,0,0,0,13,1,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,156,31,1,1,0,0,40,10,0,0,114,19,0,0,2021,대전,0,0,0,0,0,0,0,0,1,1,0,0,,,,
운영병상(일반),간호간병병동,85,17,0,0,0,0,8,2,65,13,12,2,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,16,7,1,1,6,3,0,0,0,0,0,0,0,0,2021,대전,9,3,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,코로나전담병동,64,19,3,3,0,0,52,13,0,0,0,0,0,0,2021,대전,9,3,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,13,2,1,1,0,0,0,0,0,0,0,0,12,1,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,9,1,0,0,0,0,0,0,0,0,0,0,9,1,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,5,5,0,0,0,0,0,0,0,0,0,0,5,5,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,13,1,0,0,0,0,0,0,0,0,0,0,13,1,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,220,49,4,4,0,0,108,27,0,0,108,18,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,85,19,0,0,0,0,40,10,45,9,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,16,7,1,1,6,3,0,0,0,0,0,0,0,0,2022,대전,9,3,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),정신과폐쇄병동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,중환자실,13,2,1,1,0,0,0,0,0,0,0,0,12,1,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,격리병실,14,5,2,2,0,0,12,3,0,0,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,응급실,9,1,0,0,0,0,0,0,0,0,0,0,9,1,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,수술실,5,5,0,0,0,0,0,0,0,0,0,0,5,5,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,인공신장실,13,1,0,0,0,0,0,0,0,0,0,0,13,1,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),일반병동,223,61,7,7,0,0,216,54,0,0,0,0,0,0,2023,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),간호간병병동,85,19,0,0,0,0,40,10,45,9,0,0,0,0,2023,대전,0,0,0,0,0,0,0,0,0,0,0,0,,,,
운영병상(일반),완화의료실,16,7,1,1,6,3,0,0,0,0,0,0,0,0,2023,대전,9,3,0,0,0,0,0,0,0,0,0,0,,,,
