년도,지역,분류,명칭,코드,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,특이사항,대분류,중분류,소분류
2019,서울,진단초음파-두경부,진단초음파-경부-갑상선·부갑상선,EB414,SEB414,97610.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-두경부,진단초음파-경부-갑상선·부갑상선 제외한 경부,EB415,SEB415,97610.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)견관절(편측)Shoulder,EB466010,SEB46601,104800.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)고관절(편측)Hip,EB465010,SEB46501,104800.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)류마티스성질환3부위이상관절종합,EB469010,SEB46901,162570.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)발가락(편측)Toe,EB462010,SEB46201,75960.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)발목관절(편측)Ankle,EB468010,SEB46801,104800.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)손가락(편측),EB461010,SEB46101,75960.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)손목관절(편측)Wrist,EB467010,SEB46701,104800.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)슬관절(편측)Knee,EB464010,SEB46401,83680.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-(도플러)주관절(편측)Elbow,EB463010,SEB46301,83680.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-견관절(편측)Shoulder,EB466,SEB466,95260.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-고관절(편측)Hip,EB465,SEB465,95260.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-류마티스성질환3부위이상관절종합,EB469,SEB469,147800.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-발가락(편측)Toe,EB462,SEB462,69060.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-발목관절(편측)Ankle,EB468,SEB468,95260.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-손가락(편측),EB461,SEB461,69060.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-손목관절(편측)Wrist,EB467,SEB467,95260.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-슬관절(편측)Knee,EB464,SEB464,76080.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-관절-주관절(편측)Elbow,EB463,SEB463,76080.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-(도플러)음경 Penis,EB453010,SEB45301,105630.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-(도플러)음낭 Scrotum,EB454010,SEB45401,105630.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-(도플러)전립선·정낭(경복부로 실시),EB452010,SEB45201,74760.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-(도플러)전립선·정낭(경직장으로 실시),EB451010,SEB45101,134430.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-음경 Penis,EB453,SEB453,96030.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-음낭 Scrotum,EB454,SEB454,96030.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-전립선·정낭(경복부로 실시),EB452,SEB452,67960.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-남성생식기-전립선·정낭(경직장으로 실시),EB451,SEB451,122220.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(도플러)(일반)간·담낭·담도·비장·췌장,EB441010,SEB44101,142490.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(도플러)(정밀)간·담낭·담도·비장·췌장,EB442010,SEB44201,211610.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(도플러)서혜부 Inguinal region,EB445010,SEB44501,89870.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(도플러)소장·대장 Small Bowel·Colon,EB444010,SEB44401,130160.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(도플러)직장·항문 Rectum·Anus,EB446010,SEB44601,153190.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(도플러)충수 Appendix,EB443010,SEB44301,130060.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(일반)간·담낭·담도·비장·췌장,EB441,SEB441,129540.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(정밀)간·담낭·담도·비장·췌장,EB442,SEB442,192380.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(조영)(일반)간·담낭·담도·비장·췌장,EB441020,SEB44102,168400.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-(조영)(정밀)간·담낭·담도·비장·췌장,EB442020,SEB44202,250080.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-서혜부 Inguinal region,EB445,SEB445,81700.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-소장·대장 Small Bowel·Colon,EB444,SEB444,118330.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-직장·항문 Rectum·Anus,EB446,SEB446,139260.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-충수 Appendix,EB443,SEB443,118240.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-복부-항문초음파만 시행한 경우,EB447,SEB447,116050.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-흉부,진단초음파-비·부비동 초음파,EB416,SEB416,64480.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-비뇨기계-(도플러)신장·부신,EB449010,SEB44901,103580.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-비뇨기계-(도플러)신장·부신·방광,EB448010,SEB44801,114630.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-비뇨기계-방광 Bladder,EB450010,SEB45001,93450.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-비뇨기계-방광 Bladder,EB450,SEB450,84950.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-비뇨기계-신장·부신,EB449,SEB449,94170.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-비뇨기계-신장·부신·방광,EB448,SEB448,104200.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-신경,진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계,EB501,SEB501,209710.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-신경,진단초음파-신경-(만1세미만소아 척수)중추신경계,EB502,SEB502,209710.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-신경,진단초음파-신경-(사지신경 종합검사)말초신경 초음파,EB504,SEB504,163160.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-신경,진단초음파-신경-말초신경 초음파(편측),EB503,SEB503,62550.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-(단순)경흉부심초음파,EB431,SEB431,118830.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파,EB430,SEB430,37510.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-(약물)부하심초음파,EB434,SEB434,325400.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-(운동)부하심초음파,EB435,SEB435,309390.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-(일반)경흉부심초음파,EB432,SEB432,187570.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-(전문)경흉부심초음파,EB433,SEB433,273480.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-심장,진단초음파-심장-태아정밀 심초음파,EB436,SEB436,410960.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-두경부,진단초음파-안-안구,EB411,SEB411,97240.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-두경부,진단초음파-안-안와,EB412,SEB412,97240.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-여성생식기-(도플러)일반,EB455010,SEB45501,120890.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-여성생식기-(도플러)정밀,EB457010,SEB45701,177130.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-여성생식기-일반,EB455,SEB455,109910.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우,EB456,SEB456,140590.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-복부,진단초음파-여성생식기-정밀,EB457,SEB457,161040.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-연부조직-(도플러)일반,EB470010,SEB47001,75960.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-연부조직-(도플러)정밀,EB471010,SEB47101,97580.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-연부조직-일반,EB470,SEB470,69060.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,"진단초음파-근골격,연부",진단초음파-연부조직-정밀,EB471,SEB471,88710.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,"진단초음파-임산부-(고위험임신)제2,3삼분기",EB516,SEB516,158360.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,진단초음파-임산부-(기형아정밀계측)제1삼분기,EB514,SEB514,196930.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,"진단초음파-임산부-(기형아정밀계측)제2,3삼분기",EB518,SEB518,305840.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,초음파 검사료,진단초음파-임산부-(도플러)(일반)제1삼분기,EB511010,SEB51103,94660.0,,,,,,,,
2019,서울,진단초음파-임산부,진단초음파-임산부-(일반)제1삼분기,EB511,SEB511,86060.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,"진단초음파-임산부-(일반)제2,3삼분기",EB515,SEB515,121820.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,진단초음파-임산부-(임신여부만 확인)제1삼분기,EB512,SEB512,58390.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,진단초음파-임산부-(정밀)제1삼분기,EB513,SEB513,153570.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-임산부,"진단초음파-임산부-(정밀)제2,3삼분기",EB517,SEB517,261060.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(경동맥)두개외 혈관 도플러,EB482,SEB482,117050.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(기타 동맥)두개외 혈관 도플러,EB483,SEB483,61430.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러,EB486,SEB486,48540.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(상지-동맥)사지혈관 도플러,EB484,SEB484,94300.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(상지-정맥)사지혈관 도플러,EB485,SEB485,94300.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러,EB489,SEB489,167710.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(하지-동맥)사지혈관 도플러,EB487,SEB487,149330.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-(하지-정맥)사지혈관 도플러,EB488,SEB488,149330.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-뇌혈류,EB481,SEB481,137110.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-혈관,진단초음파-혈관-대동맥 도플러,EB490,SEB490,90950.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-흉부,진단초음파-흉부-(도플러)유방·액와부 제외한 흉부 초음파,EB422010,SEB42201,100090.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-흉부,진단초음파-흉부-(도플러)유방·액와부 초음파,EB421010,SEB42101,144700.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-흉부,진단초음파-흉부-유방·액와부 제외한 흉부 초음파,EB422,SEB422,90990.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,진단초음파-흉부,진단초음파-흉부-유방·액와부 초음파,EB421,SEB421,131560.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,초음파 검사료,초음파영상-검사 유도목적 초음파하양수천자술,,SZ08200,90000.0,,,,,,,,
2019,서울,초음파 검사료,"초음파영상-검사 유도목적/근골격계초음파,간단",,SZ09301,30000.0,,,,,,,,
2019,서울,초음파 검사료,"초음파영상-검사 유도목적/근골격계초음파,복잡",,SZ09302,120000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-기관지내시경초음파/기관지내시경초음파검사,EZ991,SZ09401,300000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-기관지내시경초음파/기관지내시경초음파를 이용한 세침흡인술,EZ991,SZ09401,500000.0,,,N,,재료대별도산정,,,
2019,서울,초음파 검사료,특수초음파-내시경초음파/초음파 내시경검사,,SZ06201,200000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-내시경초음파/초음파 내시경검사 [Miniprobe 이용],,SZ06202,250000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-내시경초음파/초음파 내시경검사 직장 [상부],,SZ06301,100000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-내시경초음파/초음파 내시경검사 직장 [중부],,SZ06302,80000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-내시경초음파/초음파 내시경검사 직장 [하부],,SZ06303,60000.0,,,,,,,,
2019,서울,초음파 검사료,특수초음파-내시경초음파/초음파 내시경검사(항문),,SZ06304,40000.0,,,,,,,,
2019,서울,특수초음파-심장,특수초음파-심장-(선천성심질환에검사 별도산정)경식도 심초음파,EB610,SEB610,37510.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,특수초음파-심장,특수초음파-심장-경식도 심초음파,EB611,SEB611,307860.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,특수초음파-심장,특수초음파-심장-심장내 초음파,EB612,SEB612,338640.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,초음파 검사료,특수초음파-혈관내초음파,EZ994,RHZ00100,200000.0,,,,,,,,
2019,서울,검사료,CHROMOSOM(AF)양수검사,,LWZ0014,488377.0,,,,,,,,
2019,서울,"기능 검사료(외피, 근골 기능 검사)",관절계를 이용한 무릎관절인대검사,EZ775,HZOS00300,30000.0,,,,,,,,
2019,서울,기능검사료(시기능검사),눈의 계측검사[편측]-레이저 간섭계 이용,E7801,SE7801[국비정산EDI SZ04000A],50000.0,,,,,,,,
2019,서울,기능검사료(시기능검사),눈의 계측검사[편측]-초음파 이용 by Ultrasonography,E7800,SE7800 [국비정산EDI SZ04000A],50000.0,,,,,,,,
2019,서울,,다중수면잠복기검사,FZ702,SZ10806,330000.0,,,,,,,,
2019,서울,기능검사료(순환기 기능검사),동맥경화도검사(맥파전달속도측정)-동맥경화도검사(조기검진용),EZ868,SZ11100,10000.0,,,,,,,,
2019,서울,기능검사료(순환기 기능검사),동맥경화도검사(맥파전달속도측정)-초음파 동맥경화협착폐색검사 [1부위],EZ868,SZ07201,30000.0,,,,,,,,
2019,서울,기능검사료(순환기 기능검사),동맥경화도검사(맥파전달속도측정)-초음파 동맥경화협착폐색검사 [2부위],EZ868,SZ0098,50000.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),동적체평형검사,FZ731,FZ00300,30000.0,,,,,,,,
2019,서울,기능 검사료(신경계기능검사),발음 및 발성검사,FZ688,SZ10802,50000.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),비디오전기안진검사-비디오 전기 안진 안구 운동검사 [정밀],FZ733,SZ01503,100000.0,,,N,N,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),비디오전기안진검사-비디오 전기 안진 자발안진검사(Spontaneous Nystagmus),FZ733,SZ01601,50000.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),비디오전기안진검사-비디오 전기 안진검사 급속안구운동(단속운동검사:Saccade test),FZ733,SZ01602,50000.0,,,N,N,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),"비디오전기안진검사-비디오 전기 안진검사, 두진(두위안진검사 :Positional test)",FZ733,SZ01701,31010.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),"비디오전기안진검사-비디오 전기 안진검사, 시표추적 (시추적검:Smooth pursuit test)",FZ733,SZ01604,50000.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),"비디오전기안진검사-비디오 전기 안진검사, 주시 (주시안진검사:Gaze nystagmus)",FZ733,SZ01702,31010.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),"비디오전기안진검사-비디오 전기 안진검사, 진동 (진동유발 안진검사:Vibration induced nystagmus)",FZ733,SZ01703,31010.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),"비디오전기안진검사-비디오 전기 안진검사, 체위변환(체위변환 , 두위변환검사: Dix-Hallpike test , Positioning test)",FZ733,SZ01704,51800.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),비디오전기안진검사-비디오 전기 온도안진검사 (냉온교대 Caloric test),FZ733,SZ01707,31010.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),비디오전기안진검사-비디오 전기 온도안진검사 (단일:Caloric test),FZ733,SZ01708,27000.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),"비디오전기안진검사/비디오 전기 안진검사, 체위변환 및 이석 정복술(체(두)위변환 및 이석치환술 :Otolith-repositioning procedure)",FZ733,SZ01705,103500.0,,,,,,,,
2019,서울,기능 검사료(평형 및 청각 기능검사),비디오전기안진검사시운동성안진및운동후(시운동성안진 및 후안진 검사Optokinetic nystagmus and Optokinetic after-Nystgmus),FZ732,SZ01710,50000.0,,,,,,,,
2019,서울,기능검사료,비디오전기안진검사시운동성안진및운동후(시운동성안진 및 후안진 검사Optokinetic nystagmus and Optokinetic after-Nystgmus),FZ732,SZ01710,50000.0,,,,,,,,
2019,서울,,수면각성활동량검사,FZ701,SZ10807,110000.0,,,,,,,,
2019,서울,기능검사,수면다원검사,F6290,SF6290,629780.0,,,,,,,,
2019,서울,기능검사료(시기능검사),안구광학단층촬영OCT [편측],EZ796,SEZ796,50000.0,,,,,급여 인정기준 외 실시한 경우 비급여,,,
2019,서울,양수염색체검사,양수염색체검사료,3Z2610000(심평원코드),SZ03200/LWZ0014/SZ08200,927214.0,,,,,,,,
2019,서울,기능 검사료(신경계기능검사),언어전반진단검사,FZ689,SZ11500,45000.0,,,,,,,,
2019,서울,검체검사료,인플루엔자 A·B 바이러스항원검사 [현장검사],CZ394,LZ00900,25000.0,,,,,,,,
2019,서울,내시경 천자 및 생검료,입체적 유방절제생검술,CZ977,SCZ00200,1000000.0,,,N,,재료대별도산정,,,
2019,서울,,자궁경부확대촬영검사,EZ886,SZ04700,25000.0,,,,,,,,
2019,서울,기능 검사료(신경계기능검사),자율신경계이상검사(발살바법),SZ11201,SZ11201,30000.0,,,,,,,,
2019,서울,기능 검사료(신경계기능검사),자율신경계이상검사(심박변이도검사),SZ11200,SZ11200,30000.0,,,,,,,,
