년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료과,진료비(천원),log_cost,cost_bin
2021,부산,외래,M17,17668.0,627.0,757.0,1967.0,12373,1753.0,191.0,정형외과,2027268.0,14.522200125065265,6
2021,부산,외래,I20,15411.0,224.0,392.0,907.0,12155,1479.0,254.0,내과,1605526.0,14.288962609561205,6
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,내과,3125036.0,14.954956681082546,7
2021,부산,외래,K05,12109.0,643.0,427.0,954.0,9146,838.0,101.0,치과,1750215.0,14.375249766854447,6
2021,부산,외래,Z26,11370.0,6328.0,849.0,850.0,2987,294.0,62.0,내과,778061.0,13.564561491502038,4
2021,부산,외래,L29,10275.0,387.0,273.0,460.0,8055,933.0,167.0,피부과,337624.0,12.729691091094917,1
2021,부산,외래,K02,9685.0,661.0,297.0,727.0,7370,569.0,61.0,치과,1586334.0,14.276936882075477,6
2021,부산,외래,M54,9634.0,373.0,219.0,666.0,7716,646.0,14.0,재활의학과,571500.0,13.25602151199675,3
2021,부산,외래,L30,9239.0,518.0,268.0,630.0,6786,903.0,134.0,피부과,316325.0,12.664528606358086,1
2021,부산,외래,K08,8358.0,299.0,262.0,706.0,6401,571.0,119.0,치과,1737556.0,14.367990661638382,6
2021,부산,외래,Z00,8154.0,5735.0,409.0,516.0,1348,128.0,18.0,내과,428460.0,12.967954997708645,2
2021,부산,외래,I63,7725.0,308.0,128.0,257.0,5977,847.0,208.0,신경과,869314.0,13.67546082418114,4
2021,부산,외래,H25,7365.0,29.0,87.0,347.0,6052,736.0,114.0,안과,597724.0,13.300886060941135,3
2021,부산,외래,H04,6739.0,310.0,248.0,529.0,4962,540.0,150.0,안과,473048.0,13.066954256188913,2
2021,부산,외래,H35,6518.0,111.0,80.0,292.0,5362,543.0,130.0,안과,925464.0,13.738051592884592,4
2022,부산,입원(연인원),M48,12912.0,138.0,206.0,411.0,11414,646.0,97.0,정형외과,3794079.0,15.148952515179937,7
2022,부산,입원(연인원),M51,5938.0,486.0,,567.0,4509,376.0,,재활의학과,1812237.0,14.410073103538222,6
2022,부산,입원(연인원),M17,5203.0,,223.0,541.0,4150,219.0,70.0,정형외과,1782880.0,14.393741153170968,6
2022,부산,입원(연인원),I63,4759.0,348.0,32.0,12.0,3409,870.0,88.0,신경과,1325422.0,14.097242211737546,5
2022,부산,입원(연인원),U07,4730.0,724.0,306.0,356.0,2098,951.0,295.0,내과,1732179.0,14.364891288801573,6
2022,부산,입원(연인원),J18,4618.0,104.0,85.0,129.0,2746,889.0,665.0,내과,1683207.0,14.336212054365944,6
2022,부산,입원(연인원),M96,4452.0,174.0,17.0,81.0,3784,396.0,,신경외과,1255811.0,14.04329293327822,5
2022,부산,입원(연인원),S46,3441.0,166.0,75.0,142.0,3029,29.0,,정형외과,1248558.0,14.037500644293452,5
2022,부산,입원(연인원),I20,3032.0,29.0,24.0,122.0,2585,232.0,40.0,내과,2610095.0,14.774897560231645,7
2022,부산,입원(연인원),G81,2902.0,67.0,48.0,89.0,2466,168.0,64.0,재활의학과,823921.0,13.621831144216875,4
2022,부산,입원(연인원),E11,2497.0,,17.0,13.0,2365,102.0,,내과,545543.0,13.209538740947428,2
2022,부산,입원(연인원),C34,2329.0,56.0,40.0,139.0,1524,487.0,83.0,내과,1011117.0,13.826567207314463,4
2022,부산,입원(연인원),M75,2324.0,38.0,54.0,60.0,2172,,,정형외과,691320.0,13.446359539021513,3
2022,부산,입원(연인원),I50,2270.0,8.0,,18.0,1320,615.0,309.0,내과,793286.0,13.583940351912661,4
2022,부산,입원(연인원),C16,2235.0,51.0,83.0,75.0,1644,266.0,116.0,내과,703462.0,13.463770559981462,3
2022,부산,입원(연인원),I69,2017.0,,4.0,90.0,1660,263.0,,신경과,582828.0,13.275649111845581,3
2022,부산,입원(연인원),S32,1950.0,47.0,14.0,83.0,1385,302.0,119.0,신경외과,495413.0,13.113149055630016,2
2022,부산,입원(연인원),N18,1879.0,53.0,,3.0,1538,145.0,140.0,내과,588709.0,13.285688981452683,3
2022,부산,입원(연인원),S06,1777.0,353.0,104.0,,925,293.0,102.0,신경외과,505687.0,13.133675157302642,2
2022,부산,입원(연인원),M50,1519.0,121.0,,193.0,1093,112.0,,재활의학과,476027.0,13.073231955012933,2
2022,부산,외래,N40,28597.0,316.0,465.0,1040.0,22644,3109.0,1023.0,비뇨의학과,2331293.0,14.66193403619079,7
2022,부산,외래,E11,22845.0,861.0,817.0,1480.0,17080,2258.0,349.0,내과,2155582.0,14.583571778575049,6
2022,부산,외래,U07,22771.0,13578.0,2412.0,1666.0,3772,1150.0,193.0,내과,1711673.0,14.35298239699078,6
2022,부산,외래,L30,18226.0,763.0,472.0,895.0,13841,1864.0,391.0,피부과,707040.0,13.468843934710703,3
2022,부산,외래,M17,16286.0,490.0,598.0,1883.0,11565,1516.0,234.0,정형외과,2476727.0,14.72244889218757,7
2022,부산,외래,I20,14956.0,214.0,318.0,772.0,11939,1419.0,294.0,내과,1750251.0,14.375270335532692,6
2022,부산,외래,M48,14638.0,329.0,384.0,554.0,11520,1614.0,237.0,정형외과,3073947.0,14.938473286867334,7
2022,부산,외래,I10,14087.0,615.0,536.0,957.0,10024,1581.0,374.0,내과,825945.0,13.624284675063393,4
2022,부산,외래,N18,12812.0,716.0,466.0,589.0,8872,1635.0,534.0,내과,3035632.0,14.925930527450303,7
2022,부산,외래,K05,11608.0,607.0,383.0,833.0,8761,914.0,110.0,치과,1783414.0,14.394040623548072,6
2022,부산,외래,Z11,11209.0,5888.0,582.0,899.0,3380,386.0,74.0,내과,637376.0,13.365116596222704,3
2022,부산,외래,M54,8089.0,541.0,209.0,316.0,6116,875.0,32.0,재활의학과,625796.0,13.346781316341573,3
2022,부산,외래,K08,7767.0,214.0,159.0,510.0,6187,572.0,125.0,치과,1784340.0,14.394559717354259,6
2022,부산,외래,K02,7266.0,532.0,189.0,537.0,5346,577.0,85.0,치과,1252744.0,14.04084770159469,5
2022,부산,외래,I63,7054.0,175.0,212.0,170.0,5507,789.0,201.0,신경과,1044321.0,13.858878428989012,4
2022,부산,외래,K21,6533.0,323.0,208.0,445.0,4932,536.0,89.0,내과,866313.0,13.672002708431016,4
2022,부산,외래,N31,6417.0,285.0,147.0,284.0,4756,790.0,155.0,비뇨의학과,672652.0,13.418984873875496,3
2022,부산,외래,M75,5689.0,380.0,219.0,538.0,4231,277.0,44.0,정형외과,1046953.0,13.86139555383497,4
2022,부산,외래,R53,5331.0,282.0,131.0,349.0,3879,583.0,107.0,가정의학과,181796.0,12.110645958939196,1
2022,부산,외래,H25,5228.0,12.0,56.0,184.0,4252,610.0,114.0,안과,420786.0,12.9498820463923,2
2023,부산,입원(연인원),M48,15276.0,280.0,350.0,511.0,12557,1449.0,129.0,정형외과,4704472.0,15.364024316226603,7
2023,부산,입원(연인원),M51,8169.0,279.0,38.0,124.0,6732,996.0,,재활의학과,2593604.0,14.768559357784023,7
2023,부산,입원(연인원),J18,6182.0,108.0,21.0,343.0,3966,1210.0,534.0,내과,2261993.0,14.63175728313479,6
2023,부산,입원(연인원),M96,5683.0,279.0,198.0,330.0,3996,880.0,,신경외과,1623770.0,14.30026177990872,6
2023,부산,입원(연인원),I63,5281.0,430.0,,,2939,1801.0,111.0,신경과,1460683.0,14.194415377126552,5
2023,부산,입원(연인원),M17,5073.0,140.0,204.0,318.0,3656,509.0,246.0,정형외과,1811293.0,14.409552064937566,6
2023,부산,입원(연인원),G81,4895.0,,,410.0,4167,318.0,,재활의학과,1372684.0,14.132279233810628,5
2023,부산,입원(연인원),S46,4659.0,238.0,151.0,336.0,3433,501.0,,정형외과,1803782.0,14.405396684121158,6
2023,부산,입원(연인원),I20,4355.0,43.0,25.0,136.0,3736,393.0,22.0,내과,3343042.0,15.022392028017688,7
2023,부산,입원(연인원),M75,3312.0,308.0,90.0,147.0,2435,332.0,,정형외과,1124944.0,13.933244703536667,5
2023,부산,입원(연인원),N18,3059.0,29.0,,,2299,578.0,153.0,내과,1019435.0,13.834760091155635,4
2023,부산,입원(연인원),I69,3046.0,49.0,119.0,135.0,2476,267.0,,신경과,921669.0,13.73394252090045,4
2023,부산,입원(연인원),S32,2931.0,,,107.0,1959,737.0,128.0,신경외과,681850.0,13.43256643788313,3
2023,부산,입원(연인원),I50,2691.0,8.0,8.0,32.0,1141,983.0,519.0,내과,949228.0,13.763405355120868,4
2023,부산,입원(연인원),N40,2228.0,29.0,29.0,94.0,1645,427.0,4.0,비뇨의학과,826226.0,13.624624833149392,4
2023,부산,입원(연인원),M43,2089.0,,,162.0,1687,240.0,,정형외과,714753.0,13.479693706531263,3
2023,부산,입원(연인원),C34,2066.0,85.0,128.0,229.0,1010,442.0,172.0,내과,887463.0,13.69612323612871,4
2023,부산,입원(연인원),G82,1960.0,478.0,,173.0,1309,,,재활의학과,553110.0,13.223313983689545,2
2023,부산,입원(연인원),M54,1956.0,,,,1716,240.0,,재활의학과,493166.0,13.108603138058085,2
2023,부산,입원(연인원),C16,1900.0,16.0,,74.0,1122,244.0,444.0,내과,724665.0,13.493466138031557,3
2023,부산,외래,N40,29435.0,323.0,448.0,1020.0,22297,4195.0,1152.0,비뇨의학과,2509272.0,14.735503627719522,7
2023,부산,외래,E11,22656.0,817.0,751.0,1207.0,16832,2671.0,378.0,내과,1980131.0,14.49867406711526,6
2023,부산,외래,L30,21747.0,920.0,550.0,878.0,16215,2765.0,419.0,피부과,897897.0,13.707811755086885,4
2023,부산,외래,M17,17450.0,463.0,543.0,1582.0,12662,1987.0,213.0,정형외과,2991075.0,14.911143746851288,7
2023,부산,외래,I20,17077.0,268.0,315.0,710.0,13309,2086.0,389.0,내과,2205978.0,14.60668195925798,6
2023,부산,외래,M48,16763.0,272.0,558.0,647.0,12806,2200.0,280.0,정형외과,3479842.0,15.06249773579042,7
2023,부산,외래,N18,13928.0,768.0,393.0,217.0,10250,1746.0,554.0,내과,3119807.0,14.953282019430558,7
2023,부산,외래,K05,12407.0,655.0,431.0,784.0,9076,1266.0,195.0,치과,2191664.0,14.600172086903429,6
2023,부산,외래,I10,11643.0,490.0,388.0,694.0,8188,1515.0,368.0,내과,592413.0,13.291960993777154,3
2023,부산,외래,K08,8535.0,174.0,197.0,527.0,6480,891.0,266.0,치과,1899055.0,14.456867478564469,6
2023,부산,외래,M54,8504.0,294.0,381.0,245.0,6135,1369.0,80.0,재활의학과,674998.0,13.422466488372088,3
2023,부산,외래,K02,7810.0,485.0,241.0,455.0,5667,839.0,123.0,치과,1413117.0,14.161309168441731,5
2023,부산,외래,N31,7558.0,278.0,161.0,373.0,5471,1093.0,182.0,비뇨의학과,778712.0,13.565397835916544,4
2023,부산,외래,F06,7422.0,4.0,59.0,306.0,5900,1011.0,142.0,정신건강의학과,517768.0,13.15728447583221,2
2023,부산,외래,H35,7056.0,102.0,86.0,235.0,5497,941.0,195.0,안과,1027093.0,13.842244013446637,4
2023,부산,외래,I63,7001.0,138.0,136.0,175.0,5139,1168.0,245.0,신경과,1075103.0,13.88792795905053,5
2023,부산,외래,H36,6995.0,136.0,152.0,326.0,5497,771.0,113.0,안과,701233.0,13.460596919159459,3
2023,부산,외래,M75,6706.0,771.0,301.0,673.0,4522,394.0,45.0,정형외과,1422206.0,14.167720448371348,5
2023,부산,외래,C61,6406.0,8.0,12.0,34.0,5406,780.0,166.0,비뇨의학과,1190444.0,13.989837744765826,5
2023,부산,외래,K21,6301.0,313.0,186.0,391.0,4594,699.0,118.0,내과,782946.0,13.570820284303945,4
2021,인천,입원(연인원),E11,2993.0,157.0,29.0,281.0,1752,563.0,211.0,내과,723447.0,13.49178394963034,3
2021,인천,입원(연인원),N31,2443.0,0.0,0.0,0.0,1537,605.0,301.0,비뇨의학과,524355.0,13.169926121935712,2
2021,인천,입원(연인원),M17,2292.0,60.0,106.0,90.0,1754,256.0,26.0,정형외과,910136.0,13.72135041661215,4
2021,인천,입원(연인원),M48,1946.0,22.0,36.0,54.0,1198,583.0,53.0,정형외과,718612.0,13.485078244229898,3
2021,인천,입원(연인원),M19,1587.0,18.0,213.0,169.0,898,289.0,0.0,정형외과,515792.0,13.153460801185684,2
2021,인천,입원(연인원),J44,1424.0,127.0,0.0,133.0,749,14.0,401.0,내과,345166.0,12.751783636866245,2
2021,인천,입원(연인원),N40,1317.0,21.0,7.0,8.0,1093,82.0,106.0,비뇨의학과,306321.0,12.632392115249736,1
2021,인천,입원(연인원),C61,1013.0,0.0,0.0,0.0,470,470.0,73.0,비뇨의학과,240299.0,12.38964342172456,1
2021,인천,입원(연인원),M75,903.0,35.0,46.0,200.0,562,60.0,0.0,정형외과,370505.0,12.822624917919136,2
2021,인천,입원(연인원),I10,772.0,5.0,0.0,1.0,120,203.0,443.0,내과,161420.0,11.991771137878379,1
2021,인천,입원(연인원),C67,767.0,3.0,0.0,0.0,186,529.0,49.0,비뇨의학과,187054.0,12.139157970239667,1
2021,인천,입원(연인원),K56,602.0,23.0,0.0,0.0,175,172.0,232.0,외과,125347.0,11.738849148134062,0
2021,인천,입원(연인원),J45,549.0,0.0,0.0,7.0,455,0.0,87.0,내과,132476.0,11.79416432443515,0
2021,인천,입원(연인원),J21,526.0,7.0,0.0,0.0,201,261.0,57.0,내과,146585.0,11.895367565920854,1
2021,인천,입원(연인원),J18,518.0,0.0,0.0,0.0,251,214.0,53.0,내과,142812.0,11.869291361158623,0
2021,인천,입원(연인원),G81,506.0,0.0,44.0,0.0,304,142.0,16.0,재활의학과,101753.0,11.530313414571456,0
2021,인천,입원(연인원),M96,502.0,26.0,0.0,66.0,387,23.0,0.0,신경외과,135751.0,11.818584970652662,0
2021,인천,입원(연인원),H25,448.0,5.0,18.0,30.0,353,38.0,4.0,안과,544945.0,13.208441986167571,2
2021,인천,입원(연인원),K81,402.0,0.0,0.0,0.0,7,0.0,395.0,외과,112787.0,11.633265229408302,0
2021,인천,입원(연인원),K59,373.0,0.0,0.0,0.0,22,351.0,0.0,내과,99208.0,11.504984014964078,0
2021,인천,외래,N40,2172.0,160.0,100.0,169.0,1529,170.0,44.0,비뇨의학과,808529.0,13.602973063062288,4
2021,인천,외래,Z26,6555.0,478.0,341.0,638.0,4086,848.0,164.0,내과,421245.0,12.950972265054665,2
2021,인천,외래,I10,4035.0,303.0,226.0,308.0,2547,508.0,143.0,내과,734597.0,13.507078689793891,3
2021,인천,외래,K05,3138.0,68.0,142.0,281.0,2357,251.0,39.0,치과,1053060.0,13.867211719162848,5
2021,인천,외래,E11,1816.0,46.0,50.0,54.0,1241,347.0,78.0,내과,615718.0,13.330545969607835,3
2021,인천,외래,M48,10461.0,591.0,679.0,883.0,6153,1630.0,525.0,정형외과,660695.0,13.401049103814696,3
2021,인천,외래,H04,2096.0,13.0,43.0,74.0,1545,342.0,79.0,안과,261023.0,12.472367636100307,1
2021,인천,외래,M19,1942.0,218.0,30.0,88.0,1498,96.0,12.0,정형외과,577122.0,13.265810694349527,3
2021,인천,외래,H25,2422.0,189.0,109.0,144.0,1776,158.0,46.0,안과,264370.0,12.485108698644579,1
2021,인천,외래,M54,8292.0,667.0,386.0,675.0,5647,787.0,130.0,재활의학과,92629.0,11.436368342248073,0
2021,인천,외래,L24,1800.0,122.0,71.0,121.0,1283,173.0,30.0,피부과,61807.0,11.031788084906063,0
2021,인천,외래,K04,2077.0,180.0,130.0,177.0,1334,210.0,46.0,치과,459074.0,13.03696887438738,2
2021,인천,외래,B35,2517.0,197.0,95.0,153.0,1718,301.0,53.0,피부과,75233.0,11.228358535418593,0
2021,인천,외래,I63,3298.0,216.0,250.0,285.0,2139,331.0,77.0,신경과,303895.0,12.624440816593845,1
2021,인천,외래,K29,4512.0,153.0,122.0,362.0,3003,702.0,170.0,내과,197367.0,12.192825285444544,1
2021,인천,외래,R52,2984.0,151.0,218.0,167.0,2187,237.0,24.0,응급실,248360.0,12.422638611883993,1
2021,인천,외래,K02,1663.0,190.0,94.0,191.0,1066,117.0,5.0,치과,317502.0,12.668242546089141,1
2021,인천,외래,H90,16228.0,273.0,444.0,780.0,11694,2356.0,681.0,이비인후과,105192.0,11.563552037147913,0
2021,인천,외래,K21,1967.0,267.0,172.0,174.0,1101,198.0,55.0,내과,94475.0,11.456101112972467,0
2021,인천,외래,M75,12292.0,5154.0,1528.0,1347.0,3718,452.0,93.0,정형외과,134659.0,11.810508362099272,0
2022,인천,입원(연인원),N40,1584.0,0.0,1.0,18.0,976,423.0,166.0,비뇨의학과,382206.0,12.853717625638907,2
2022,인천,입원(연인원),N31,1243.0,7.0,0.0,9.0,656,501.0,70.0,비뇨의학과,290216.0,12.578384198005923,1
2022,인천,입원(연인원),E11,864.0,32.0,12.0,31.0,527,262.0,0.0,내과,201127.0,12.211696800280395,1
2022,인천,입원(연인원),M48,813.0,0.0,1.0,0.0,583,217.0,12.0,정형외과,267384.0,12.49644484633983,1
2022,인천,입원(연인원),C67,626.0,2.0,0.0,0.0,235,202.0,187.0,비뇨의학과,185275.0,12.129601884187263,1
2022,인천,입원(연인원),C61,534.0,0.0,0.0,0.0,141,158.0,235.0,비뇨의학과,143682.0,11.875364763050788,1
2022,인천,입원(연인원),U07,466.0,151.0,25.0,73.0,146,64.0,7.0,내과,137462.0,11.831110068968217,0
2022,인천,입원(연인원),G81,280.0,0.0,0.0,7.0,186,87.0,0.0,재활의학과,75110.0,11.226722298397847,0
2022,인천,입원(연인원),M54,267.0,0.0,36.0,0.0,56,175.0,0.0,재활의학과,57679.0,10.96266577195883,0
2022,인천,입원(연인원),M17,237.0,0.0,0.0,67.0,137,33.0,0.0,정형외과,92746.0,11.437630634933093,0
2022,인천,입원(연인원),M19,235.0,0.0,0.0,33.0,202,0.0,0.0,정형외과,93727.0,11.44815224962746,0
2022,인천,입원(연인원),E14,234.0,0.0,0.0,0.0,70,63.0,101.0,안과,51146.0,10.842459118633341,0
2022,인천,입원(연인원),M51,208.0,11.0,15.0,40.0,76,9.0,57.0,재활의학과,61251.0,11.022751780935097,0
2022,인천,입원(연인원),I63,197.0,0.0,0.0,13.0,157,7.0,20.0,신경과,56551.0,10.94291584785079,0
2022,인천,입원(연인원),G95,191.0,79.0,0.0,6.0,27,79.0,0.0,재활의학과,45630.0,10.72834258908784,0
2022,인천,입원(연인원),J44,185.0,14.0,75.0,0.0,79,17.0,0.0,내과,37132.0,10.522261341106239,0
2022,인천,입원(연인원),M50,184.0,0.0,0.0,0.0,31,0.0,153.0,재활의학과,38509.0,10.558673226808954,0
2022,인천,입원(연인원),C34,179.0,0.0,71.0,0.0,53,55.0,0.0,내과,47763.0,10.774027496653275,0
2022,인천,입원(연인원),I10,175.0,0.0,0.0,0.0,24,0.0,151.0,내과,37855.0,10.541544766778113,0
2022,인천,입원(연인원),S72,158.0,0.0,0.0,0.0,58,26.0,74.0,정형외과,42537.0,10.658153073074491,0
2022,인천,외래,N40,18383.0,265.0,504.0,791.0,13487,2374.0,962.0,비뇨의학과,984046.0,13.79942893912136,4
2022,인천,외래,I10,10702.0,517.0,608.0,866.0,6583,1530.0,598.0,내과,805298.0,13.598968916009612,4
2022,인천,외래,M54,9310.0,775.0,621.0,953.0,5736,910.0,315.0,재활의학과,241820.0,12.39595306202694,1
2022,인천,외래,K05,7591.0,563.0,300.0,516.0,5126,839.0,247.0,치과,1096520.0,13.90765299850347,5
2022,인천,외래,E11,6625.0,471.0,338.0,618.0,4198,802.0,198.0,내과,646091.0,13.378697187485386,3
2022,인천,외래,Z26,6359.0,2185.0,563.0,650.0,2540,373.0,48.0,내과,276561.0,12.530190306273147,1
2022,인천,외래,U07,6025.0,1187.0,1393.0,1109.0,1639,609.0,88.0,내과,409785.0,12.923390351197023,2
2022,인천,외래,M48,5575.0,128.0,182.0,327.0,3980,721.0,237.0,정형외과,677078.0,13.425543236371595,3
2022,인천,외래,M17,4225.0,228.0,223.0,343.0,3005,354.0,72.0,정형외과,229407.0,12.343257356652598,1
2022,인천,외래,M75,3737.0,434.0,236.0,343.0,2425,288.0,11.0,정형외과,172092.0,12.055790307345692,1
2022,인천,외래,M51,3326.0,419.0,248.0,364.0,2030,216.0,49.0,재활의학과,110107.0,11.609216981288148,0
2022,인천,외래,I63,2719.0,100.0,85.0,198.0,1670,551.0,115.0,신경과,290804.0,12.580408218441418,1
2022,인천,외래,H04,2706.0,156.0,145.0,182.0,1769,318.0,136.0,안과,173130.0,12.06180381236291,1
2022,인천,외래,K04,2605.0,163.0,71.0,132.0,1983,201.0,55.0,치과,482598.0,13.086941360061514,2
2022,인천,외래,M19,2526.0,64.0,116.0,205.0,1840,236.0,65.0,정형외과,292733.0,12.587019625824613,1
2022,인천,외래,B35,2457.0,163.0,138.0,161.0,1750,181.0,64.0,피부과,80236.0,11.292740034100383,0
2022,인천,외래,G81,2194.0,190.0,2.0,219.0,1656,105.0,22.0,재활의학과,143291.0,11.872639785321384,0
2022,인천,외래,L24,2119.0,116.0,89.0,89.0,1433,311.0,81.0,피부과,53596.0,10.889248375343252,0
2022,인천,외래,K29,1916.0,147.0,94.0,138.0,1285,192.0,60.0,내과,169060.0,12.038014875525167,1
2022,인천,외래,H25,1415.0,18.0,44.0,114.0,1066,149.0,24.0,안과,96176.0,11.47394552282928,0
2023,인천,입원(연인원),M48,1939.0,8.0,30.0,23.0,1268,482.0,128.0,정형외과,973729.965,13.788890327837388,4
2023,인천,입원(연인원),N40,3027.0,0.0,8.0,9.0,2403,126.0,481.0,비뇨의학과,857832.837,13.662165696544802,4
2023,인천,입원(연인원),M17,1723.0,56.0,54.0,254.0,1283,76.0,0.0,정형외과,742317.371,13.517533501553267,3
2023,인천,입원(연인원),M75,1723.0,56.0,54.0,254.0,1283,76.0,0.0,정형외과,638796.708,13.3673431073391,3
2023,인천,입원(연인원),C67,1366.0,0.0,3.0,0.0,442,193.0,728.0,비뇨의학과,417298.582,12.941559664901693,2
2023,인천,입원(연인원),C61,1406.0,0.0,5.0,173.0,671,229.0,328.0,비뇨의학과,369346.544,12.81949333341535,2
2023,인천,입원(연인원),E11,1406.0,0.0,5.0,173.0,671,229.0,328.0,내과,336459.804,12.726236939855983,1
2023,인천,입원(연인원),I63,1098.0,0.0,0.0,67.0,469,453.0,109.0,신경과,321773.812,12.68160723825822,1
2023,인천,입원(연인원),N31,1111.0,31.0,0.0,0.0,574,172.0,334.0,비뇨의학과,273214.609,12.518016539014479,1
2023,인천,입원(연인원),J18,778.0,18.0,0.0,38.0,243,234.0,245.0,내과,238309.359,12.381329132557465,1
2023,인천,입원(연인원),G81,859.0,0.0,0.0,0.0,445,353.0,61.0,재활의학과,213927.209,12.273395765758066,1
2023,인천,입원(연인원),F00,274.0,0.0,0.0,0.0,155,76.0,43.0,신경과,127217.849,11.753664102872264,0
2023,인천,입원(연인원),M51,385.0,19.0,0.0,0.0,319,35.0,12.0,재활의학과,124325.402,11.73066566041459,0
2023,인천,입원(연인원),I61,431.0,104.0,0.0,0.0,327,0.0,0.0,재활의학과,117652.579,11.675499814432289,0
2023,인천,입원(연인원),S72,420.0,0.0,0.0,0.0,231,57.0,132.0,정형외과,112976.226,11.63494153755959,0
2023,인천,입원(연인원),M54,412.0,0.0,0.0,0.0,95,185.0,132.0,재활의학과,101194.043,11.524805052422396,0
2023,인천,입원(연인원),S22,387.0,0.0,67.0,0.0,170,73.0,77.0,신경외과,101176.246,11.52462916865754,0
2023,인천,입원(연인원),S82,352.0,0.0,39.0,0.0,262,51.0,0.0,정형외과,91950.551,11.429017097753176,0
2023,인천,입원(연인원),S32,284.0,0.0,0.0,0.0,198,81.0,5.0,신경외과,72406.906,11.19007077130707,0
2023,인천,입원(연인원),N30,308.0,0.0,0.0,0.0,183,65.0,60.0,비뇨의학과,62798.684,11.047705320596496,0
2023,인천,외래,N40,18554.0,255.0,464.0,809.0,13304,2651.0,1071.0,비뇨의학과,1083800.054,13.89598491461783,5
2023,인천,외래,K05,5592.0,437.0,220.0,439.0,3582,697.0,217.0,치과,835414.156,13.63568407308797,4
2023,인천,외래,M48,4839.0,115.0,146.0,219.0,3372,766.0,221.0,정형외과,795123.902,13.586254490730036,4
2023,인천,외래,E11,7490.0,513.0,340.0,659.0,4730,983.0,265.0,내과,778950.128,13.565703586042742,4
2023,인천,외래,I10,10177.0,535.0,543.0,841.0,6172,1445.0,641.0,내과,724835.778,13.493701774697291,3
2023,인천,외래,M17,7013.0,420.0,320.0,674.0,4654,777.0,168.0,정형외과,614351.702,13.328324475430426,3
