구분,지역,상병코드,age_group,count,대표진료과
입원(연인원),인천,M17,59이하,56,정형외과
입원(연인원),인천,M75,59이하,56,정형외과
입원(연인원),인천,C67,59이하,0,비뇨의학과
입원(연인원),인천,C61,59이하,0,비뇨의학과
입원(연인원),인천,E11,59이하,0,내과
입원(연인원),인천,I63,59이하,0,신경과
입원(연인원),인천,N31,59이하,31,비뇨의학과
입원(연인원),인천,J18,59이하,18,내과
입원(연인원),인천,G81,59이하,0,재활의학과
입원(연인원),인천,F00,59이하,0,신경과
입원(연인원),인천,M51,59이하,19,재활의학과
입원(연인원),인천,I61,59이하,104,재활의학과
입원(연인원),인천,S72,59이하,0,정형외과
입원(연인원),인천,M54,59이하,0,재활의학과
입원(연인원),인천,S22,59이하,0,신경외과
입원(연인원),인천,S82,59이하,0,정형외과
입원(연인원),인천,S32,59이하,0,신경외과
입원(연인원),인천,N30,59이하,0,비뇨의학과
외래,인천,N40,59이하,255,비뇨의학과
외래,인천,K05,59이하,437,치과
외래,인천,M48,59이하,115,정형외과
외래,인천,E11,59이하,513,내과
외래,인천,I10,59이하,535,내과
외래,인천,M17,59이하,420,정형외과
외래,인천,M75,59이하,1272,정형외과
외래,인천,Z26,59이하,2141,내과
외래,인천,M54,59이하,978,재활의학과
외래,인천,K04,59이하,92,치과
외래,인천,J40,59이하,402,내과
외래,인천,H25,59이하,15,안과
외래,인천,I63,59이하,252,신경과
외래,인천,G81,59이하,281,재활의학과
외래,인천,H04,59이하,166,안과
외래,인천,M51,59이하,299,재활의학과
외래,인천,H90,59이하,50,이비인후과
외래,인천,M50,59이하,500,재활의학과
외래,인천,B35,59이하,202,피부과
외래,인천,L23,59이하,147,피부과
입원(연인원),대구, N18 ,59이하,154,
입원(연인원),대구, E11 ,59이하,250,
입원(연인원),대구, M48 ,59이하,0,
입원(연인원),대구, U07 ,59이하,6492,
입원(연인원),대구, J18 ,59이하,0,
입원(연인원),대구, I20 ,59이하,25,
입원(연인원),대구, M51 ,59이하,75,
입원(연인원),대구, Z51 ,59이하,483,
입원(연인원),대구, M17 ,59이하,114,
입원(연인원),대구, S32 ,59이하,75,
입원(연인원),대구, I50 ,59이하,6,
입원(연인원),대구, M75 ,59이하,72,
입원(연인원),대구, I63 ,59이하,86,
입원(연인원),대구, I48 ,59이하,7,
입원(연인원),대구, H25 ,59이하,10,
입원(연인원),대구, K80 ,59이하,36,
입원(연인원),대구, C61 ,59이하,2,
입원(연인원),대구, D13 ,59이하,4,
입원(연인원),대구, R07 ,59이하,22,
입원(연인원),대구, Z03 ,59이하,3,
외래,대구, N40 ,59이하,490,
외래,대구, E11 ,59이하,1370,
외래,대구, I10 ,59이하,1248,
외래,대구, M51 ,59이하,1086,
외래,대구, M48 ,59이하,246,
외래,대구, I20 ,59이하,321,
외래,대구, Z26 ,59이하,4095,
외래,대구, I63 ,59이하,225,
외래,대구, H25 ,59이하,84,
외래,대구, K08 ,59이하,278,
외래,대구, N18 ,59이하,802,
외래,대구, K05 ,59이하,649,
외래,대구, M17 ,59이하,285,
외래,대구, K21 ,59이하,421,
외래,대구, F00 ,59이하,10,
외래,대구, M75 ,59이하,366,
외래,대구, U07 ,59이하,3499,
외래,대구, C61 ,59이하,24,
외래,대구, B35 ,59이하,287,
외래,대구,I48,59이하,115,내과
입원(연인원),대구,U07,59이하,3557,내과
입원(연인원),대구,M51,59이하,340,재활의학과
입원(연인원),대구,E11,59이하,354,내과
입원(연인원),대구,M48,59이하,225,정형외과
입원(연인원),대구,N18,59이하,163,내과
입원(연인원),대구,I20,59이하,21,내과
입원(연인원),대구,Z51,59이하,596,응급실
입원(연인원),대구,M17,59이하,73,정형외과
입원(연인원),대구,Z50,59이하,1012,
입원(연인원),대구,J18,59이하,0,내과
입원(연인원),대구,S32,59이하,0,신경외과
입원(연인원),대구,M75,59이하,117,정형외과
입원(연인원),대구,I48,59이하,14,내과
입원(연인원),대구,H25,59이하,0,안과
입원(연인원),대구,R07,59이하,22,내과
입원(연인원),대구,A09,59이하,18,내과
입원(연인원),대구,K80,59이하,38,내과
입원(연인원),대구,K40,59이하,0,외과
입원(연인원),대구,C61,59이하,0,비뇨의학과
입원(연인원),대구,Z03,59이하,2,정신건강의학과
외래,대구,N40,59이하,430,비뇨의학과
외래,대구,E11,59이하,1358,내과
외래,대구,U07,59이하,8028,내과
외래,대구,I10,59이하,1061,내과
외래,대구,M51,59이하,1049,재활의학과
외래,대구,I20,59이하,378,내과
외래,대구,M48,59이하,216,정형외과
외래,대구,I63,59이하,179,신경과
외래,대구,N18,59이하,977,내과
외래,대구,K08,59이하,314,치과
외래,대구,Z26,59이하,2769,내과
외래,대구,H25,59이하,37,안과
외래,대구,K05,59이하,555,치과
외래,대구,M17,59이하,238,정형외과
외래,대구,K21,59이하,385,내과
외래,대구,F00,59이하,5,신경과
외래,대구,Z11,59이하,1815,내과
외래,대구,C61,59이하,18,비뇨의학과
외래,대구,K04,59이하,341,치과
외래,대구,G62,59이하,24,재활의학과
입원(연인원),대구, M51 ,59이하,247,
입원(연인원),대구, E11 ,59이하,508,
입원(연인원),대구, M48 ,59이하,69,
입원(연인원),대구, J18 ,59이하,0,
입원(연인원),대구, M17 ,59이하,64,
입원(연인원),대구, I20 ,59이하,10,
입원(연인원),대구, Z51 ,59이하,339,
입원(연인원),대구, N18 ,59이하,223,
입원(연인원),대구, Z50 ,59이하,461,
입원(연인원),대구, S32 ,59이하,132,
입원(연인원),대구, J44 ,59이하,0,
입원(연인원),대구, M75 ,59이하,52,
입원(연인원),대구, I48 ,59이하,19,
입원(연인원),대구, S22 ,59이하,0,
입원(연인원),대구, U07 ,59이하,5,
입원(연인원),대구, I70 ,59이하,10,
입원(연인원),대구, H25 ,59이하,4,
입원(연인원),대구, R07 ,59이하,8,
입원(연인원),대구, C61 ,59이하,0,
입원(연인원),대구, Z03 ,59이하,2,
외래,대구, N40 ,59이하,386,
외래,대구, M51 ,59이하,903,
외래,대구, E11 ,59이하,1162,
외래,대구, I10 ,59이하,1064,
외래,대구, I20 ,59이하,350,
외래,대구, M48 ,59이하,183,
외래,대구, N18 ,59이하,621,
외래,대구, I63 ,59이하,153,
외래,대구, K08 ,59이하,341,
외래,대구, Z26 ,59이하,2534,
외래,대구, H25 ,59이하,60,
외래,대구, M17 ,59이하,267,
외래,대구, K05 ,59이하,547,
외래,대구, F00 ,59이하,0,
외래,대구, G62 ,59이하,14,
외래,대구, K04 ,59이하,440,
외래,대구, C61 ,59이하,17,
외래,대구, M75 ,59이하,214,
외래,대구, B35 ,59이하,264,
외래,대구, I48 ,59이하,135,
입원(연인원),대전, U07 ,59이하,6472,
입원(연인원),대전, M48 ,59이하,59,
입원(연인원),대전, M17 ,59이하,43,
입원(연인원),대전, E11 ,59이하,255,
입원(연인원),대전, I69 ,59이하,335,
입원(연인원),대전, M75 ,59이하,111,
입원(연인원),대전, J18 ,59이하,60,
입원(연인원),대전, I61 ,59이하,0,
입원(연인원),대전, J98 ,59이하,21,
입원(연인원),대전, C16 ,59이하,222,
입원(연인원),대전, M51 ,59이하,89,
입원(연인원),대전, M96 ,59이하,3,
입원(연인원),대전, S32 ,59이하,58,
입원(연인원),대전, K63 ,59이하,12,
입원(연인원),대전, M54 ,59이하,17,
입원(연인원),대전, S06 ,59이하,0,
입원(연인원),대전, G82 ,59이하,552,
입원(연인원),대전, I63 ,59이하,10,
입원(연인원),대전, S72 ,59이하,0,
입원(연인원),대전, R42 ,59이하,18,
외래,대전, N40 ,59이하,277,
외래,대전, E11 ,59이하,1050,
외래,대전, I10 ,59이하,900,
외래,대전, U07 ,59이하,10929,
외래,대전, M48 ,59이하,262,
외래,대전, K05 ,59이하,1228,
외래,대전, M54 ,59이하,854,
외래,대전, K63 ,59이하,607,
외래,대전, K29 ,59이하,1467,
외래,대전, I69 ,59이하,269,
외래,대전, E86 ,59이하,273,
외래,대전, M17 ,59이하,323,
외래,대전, Z26 ,59이하,4714,
외래,대전, N18 ,59이하,744,
외래,대전, Z29 ,59이하,3784,
외래,대전, F03 ,59이하,0,
외래,대전, L29 ,59이하,249,
외래,대전, M75 ,59이하,479,
외래,대전, R42 ,59이하,194,
외래,대전,J44,59이하,23,내과
입원(연인원),대전,  M48  ,59이하,73,
입원(연인원),대전,  M17  ,59이하,296,
입원(연인원),대전,  U07  ,59이하,948,
입원(연인원),대전,  E11  ,59이하,64,
입원(연인원),대전,  I69  ,59이하,365,
입원(연인원),대전,  M75  ,59이하,36,
입원(연인원),대전,  G82  ,59이하,649,
입원(연인원),대전,  N18  ,59이하,2,
입원(연인원),대전,  S06  ,59이하,0,
입원(연인원),대전,  M96  ,59이하,5,
입원(연인원),대전,  S72  ,59이하,0,
입원(연인원),대전,  J18  ,59이하,5,
입원(연인원),대전,  I63  ,59이하,10,
입원(연인원),대전,  K63  ,59이하,18,
입원(연인원),대전,  M51  ,59이하,45,
입원(연인원),대전,  M54  ,59이하,5,
입원(연인원),대전,  C16  ,59이하,102,
입원(연인원),대전,  C34  ,59이하,124,
입원(연인원),대전,  S32  ,59이하,0,
입원(연인원),대전,  K80  ,59이하,28,
외래,대전,  N40  ,59이하,305,
외래,대전,  E11  ,59이하,1030,
외래,대전,  M48  ,59이하,286,
외래,대전,  I10  ,59이하,883,
외래,대전,  K05  ,59이하,1127,
외래,대전,  M54  ,59이하,960,
외래,대전,  U07  ,59이하,5317,
외래,대전,  K63  ,59이하,586,
외래,대전,  E86  ,59이하,264,
외래,대전,  Z29  ,59이하,4273,
외래,대전,  M17  ,59이하,395,
외래,대전,  I69  ,59이하,247,
외래,대전,  K29  ,59이하,1377,
외래,대전,  N18  ,59이하,794,
외래,대전,  F03  ,59이하,1,
외래,대전,  M75  ,59이하,505,
외래,대전,  R42  ,59이하,204,
외래,대전,  I20  ,59이하,92,
외래,대전,  L29  ,59이하,196,
외래,대전, Z26 ,59이하,1677,
입원(연인원),대전,M48,59이하,3,정형외과
입원(연인원),대전,M17,59이하,378,정형외과
입원(연인원),대전,M96,59이하,76,신경외과
입원(연인원),대전,M75,59이하,202,정형외과
입원(연인원),대전,E11,59이하,66,내과
입원(연인원),대전,I69,59이하,117,신경과
입원(연인원),대전,M54,59이하,32,재활의학과
입원(연인원),대전,G82,59이하,694,재활의학과
입원(연인원),대전,S72,59이하,0,정형외과
입원(연인원),대전,N18,59이하,10,내과
입원(연인원),대전,J18,59이하,29,내과
입원(연인원),대전,M51,59이하,118,재활의학과
입원(연인원),대전,S06,59이하,10,신경외과
입원(연인원),대전,K63,59이하,30,내과
입원(연인원),대전,I63,59이하,9,신경과
입원(연인원),대전,C16,59이하,127,내과
입원(연인원),대전,C34,59이하,47,내과
입원(연인원),대전,S22,59이하,42,신경외과
입원(연인원),대전,C25,59이하,105,내과
입원(연인원),대전,J98,59이하,4,내과
외래,대전,N40,59이하,269,비뇨의학과
외래,대전,E11,59이하,1104,내과
외래,대전,M48,59이하,242,정형외과
외래,대전,I10,59이하,866,내과
외래,대전,M54,59이하,1102,재활의학과
외래,대전,K05,59이하,1117,치과
외래,대전,E86,59이하,335,가정의학과
외래,대전,K63,59이하,677,내과
외래,대전,N18,59이하,884,내과
외래,대전,K29,59이하,1370,내과
외래,대전,M17,59이하,416,정형외과
외래,대전,I69,59이하,253,신경과
외래,대전,F03,59이하,2,신경과
외래,대전,M75,59이하,604,정형외과
외래,대전,Z29,59이하,1068,가정의학과
외래,대전,R42,59이하,203,신경과
외래,대전,Z26,59이하,1585,내과
외래,대전,L29,59이하,191,피부과
외래,대전,J98,59이하,324,내과
외래,대전,I20,59이하,110,내과
입원(연인원),광주,I63,59이하,288,신경과
입원(연인원),광주,M48,59이하,855,정형외과
입원(연인원),광주,Z49,59이하,814,내과
입원(연인원),광주,J69,59이하,29,내과
입원(연인원),광주,M17,59이하,63,정형외과
입원(연인원),광주,N18,59이하,46,내과
입원(연인원),광주,S72,59이하,94,정형외과
입원(연인원),광주,L89,59이하,184,외과
입원(연인원),광주,N40,59이하,27,비뇨의학과
입원(연인원),광주,M75,59이하,273,정형외과
입원(연인원),광주,J18,59이하,12,내과
입원(연인원),광주,C34,59이하,154,내과
입원(연인원),광주,C16,59이하,153,내과
입원(연인원),광주,C22,59이하,56,내과
입원(연인원),광주,C18,59이하,5,외과
입원(연인원),광주,M51,59이하,468,재활의학과
입원(연인원),광주,S32,59이하,89,신경외과
입원(연인원),광주,K80,59이하,192,내과
입원(연인원),광주,E11,59이하,169,내과
입원(연인원),광주,C61,59이하,0,비뇨의학과
외래,광주,N40,59이하,655,비뇨의학과
외래,광주,M48,59이하,1481,정형외과
외래,광주,I10,59이하,1861,내과
외래,광주,E11,59이하,1541,내과
외래,광주,I20,59이하,996,내과
외래,광주,E30,59이하,15380,소아청소년과
외래,광주,M17,59이하,732,정형외과
외래,광주,Z26,59이하,8308,내과
외래,광주,K05,59이하,1061,치과
외래,광주,H25,59이하,77,안과
외래,광주,K21,59이하,774,내과
외래,광주,I63,59이하,575,신경과
외래,광주,M75,59이하,893,정형외과
외래,광주,J44,59이하,162,내과
외래,광주,Z49,59이하,1169,내과
외래,광주,F00,59이하,21,신경과
외래,광주,K02,59이하,464,치과
외래,광주,B35,59이하,217,피부과
외래,광주,J30,59이하,636,이비인후과
외래,광주,J00,59이하,1691,가정의학과
입원(연인원),광주, I63 ,59이하,403,
입원(연인원),광주, M48 ,59이하,281,
입원(연인원),광주, Z49 ,59이하,317,
입원(연인원),광주, M17 ,59이하,35,
입원(연인원),광주, N40 ,59이하,74,
입원(연인원),광주, C61 ,59이하,4,
입원(연인원),광주, C16 ,59이하,277,
입원(연인원),광주, U07 ,59이하,1039,
입원(연인원),광주, L89 ,59이하,0,
입원(연인원),광주, G81 ,59이하,0,
입원(연인원),광주, C34 ,59이하,211,
입원(연인원),광주, C18 ,59이하,140,
입원(연인원),광주, G20 ,59이하,211,
입원(연인원),광주, J69 ,59이하,39,
입원(연인원),광주, M51 ,59이하,249,
입원(연인원),광주, K81 ,59이하,9,
입원(연인원),광주, N18 ,59이하,0,
입원(연인원),광주, S72 ,59이하,48,
입원(연인원),광주, C22 ,59이하,73,
입원(연인원),광주, C25 ,59이하,87,
외래,광주, N40 ,59이하,613,
외래,광주, I10 ,59이하,1537,
외래,광주, E11 ,59이하,1376,
외래,광주, M48 ,59이하,1062,
외래,광주, E30 ,59이하,16495,
외래,광주, I20 ,59이하,662,
외래,광주, M17 ,59이하,456,
외래,광주, K05 ,59이하,907,
외래,광주, Z26 ,59이하,5921,
외래,광주, I63 ,59이하,518,
외래,광주, K21 ,59이하,479,
외래,광주, H25 ,59이하,42,
외래,광주, F00 ,59이하,17,
외래,광주, M51 ,59이하,990,
외래,광주, M75 ,59이하,641,
외래,광주, Z49 ,59이하,1177,
