상명코드,최다진료과
Q82,피부과
R00,내과
R03,가정의학과
R04,이비인후과
R05,내과
R06,내과
R07,내과
R09,내과
R10,응급실
R11,응급실
R12,가정의학과
R13,재활의학과
R15,외과
R19,가정의학과
R22,성형외과
R25,신경과
R26,재활의학과
R29,신경과
R30,응급실
R31,비뇨의학과
R32,비뇨의학과
R33,비뇨의학과
R35,비뇨의학과
R39,응급실
R40,응급의학과
R41,신경과
R42,신경과
R44,신경과
R47,재활의학과
R50,응급실
R51,신경과
R52,응급실
R53,가정의학과
R55,내과
R56,신경과
R59,내과
R60,내과
R61,한의과
R62,소아청소년과
R63,가정의학과
R68,산부인과
R69,내과
R73,내과
R74,내과
R76,내과
R79,내과
R80,내과
R82,내과
R87,산부인과
R89,내과
R91,내과
R92,외과
R93,내과
R94,내과
S00,신경외과
S01,응급실
S02,치과
S03,치과
S05,안과
S06,신경외과
S09,외과
S13,신경외과
S14,마취통증의학과
S20,외과
S22,신경외과
S23,외과
S30,재활의학과
S32,신경외과
S33,신경외과
S34,재활의학과
S37,비뇨의학과
S42,정형외과
S43,정형외과
S44,마취통증의학과
S46,정형외과
S50,외과
S52,정형외과
S53,재활의학과
S61,응급실
S62,정형외과
S63,재활의학과
S69,응급실
S70,응급의학과
S72,정형외과
S73,재활의학과
S80,응급실
S81,성형외과
S82,정형외과
S83,정형외과
S88,정형외과
S92,정형외과
S93,재활의학과
S94,마취통증의학과
S98,마취통증의학과
S99,마취통증의학과
T00,외과
T14,응급실
T15,안과
T21,성형외과
T22,외과
T23,외과
T24,성형외과
T25,외과
T30,외과
T65,가정의학과
T81,응급실
T82,내과
T85,치과
T87,응급실
T88,응급실
T90,신경외과
T97,내과
U07,내과
U08,내과
U09,내과
U11,내과
U12,신경외과
U22,한의과
U23,한의과
U24,한의과
U28,가정의학과
U30,한의과
U60,한의과
U62,한의과
U66,한의과
U67,한의과
U68,한의과
U69,한의과
U71,한의과
U78,한의과
V83,핵의학과
Y59,내과
Y83,응급실
Z00,내과
Z01,산부인과
Z02,응급실
Z03,정신건강의학과
Z04,치과
Z08,내과
Z10,내과
Z11,내과
Z13,내과
Z20,내과
Z22,내과
Z23,소아청소년과
Z24,내과
Z25,소아청소년과
Z26,내과
Z27,소아청소년과
Z29,가정의학과
Z34,산부인과
Z38,소아청소년과
Z41,성형외과
Z46,치과
Z47,정형외과
Z48,응급실
Z49,내과
Z51,응급실
Z71,응급실
Z90,이비인후과
Z93,외과
Z94,내과
Z95,내과
Z96,안과
Z97,치과
