연도,병원,진료과,전체환자수_입원,전체환자수_외래,전체환자수_합계
2015,대구,정신건강의학과,0,10127,10127
2015,대구,정형외과,21284,28734,50018
2015,대구,치과,0,29249,29249
2015,대구,피부과,63,24516,24579
2015,대구,핵의학과,0,4939,4939
2015,대구,흉부외과,0,0,0
2015,대전,가정의학과,11413,26910,38323
2015,대전,건강관리과,0,5147,5147
2015,대전,내과,29172,47483,76655
2015,대전,비뇨기과,609,25434,26043
2015,대전,산부인과,0,1272,1272
2015,대전,소아청소년과,0,343,343
2015,대전,소화기내과,9881,11577,21458
2015,대전,순환기내과,1725,0,1725
2015,대전,신경과,11445,26207,37652
2015,대전,신경외과,5738,4367,10105
2015,대전,심장내과,0,5682,5682
2015,대전,안과,187,14481,14668
2015,대전,외과,5626,8039,13665
2015,대전,응급실,0,5293,5293
2015,대전,이비인후과,433,11692,12125
2015,대전,재활의학과,3831,15246,19077
2015,대전,정신건강의학과,0,9229,9229
2015,대전,정형외과,27860,40692,68552
2015,대전,치과,0,22420,22420
2015,대전,통증크리닉,0,283,283
2015,대전,피부과,0,19177,19177
2015,대전,한방내과,0,6999,6999
2015,대전,한방진료과,125,0,125
2015,대전,호흡기내과,5713,8929,14642
2015,부산,가정의학과,8672,17295,25967
2015,부산,건강관리과,0,8869,8869
2015,부산,구분,0,0,0
2015,부산,내분비내과,5718,21854,27572
2015,부산,비뇨기과,3345,44225,47570
2015,부산,산부인과,0,2368,2368
2015,부산,소아청소년과,0,6384,6384
2015,부산,소화기내과,33746,39184,72930
2015,부산,순환기내과,7407,29392,36799
2015,부산,신경과,6812,21132,27944
2015,부산,신경외과,32297,27648,59945
2015,부산,신장내과,5283,18154,23437
2015,부산,안과,406,35024,35430
2015,부산,외과,4630,7976,12606
2015,부산,이비인후과,815,15103,15918
2015,부산,일반내과,0,39005,39005
2015,부산,재활의학과,6558,24082,30640
2015,부산,정신건강의학과,0,15770,15770
2015,부산,정형외과,42420,42085,84505
2015,부산,치과,0,34258,34258
2015,부산,피부과,0,35961,35961
2015,부산,한방진료과,0,7041,7041
2015,부산,향정신과,0,553,553
2015,부산,호흡기내과,7441,10880,18321
2015,중앙,가정의학과,1953,61542,63495
2015,중앙,감염내과,1540,3979,5519
2015,중앙,건강관리과,0,4906,4906
2015,중앙,기타,0,1982,1982
2015,중앙,내분비내과,2809,48994,51803
2015,중앙,류마티스내과,564,10351,10915
2015,중앙,방사선종양학과,0,5507,5507
2015,중앙,비뇨기과,6221,83479,89700
2015,중앙,산부인과,1386,21033,22419
2015,중앙,성형외과,25,232,257
2015,중앙,소아청소년과,0,3461,3461
2015,중앙,소화기내과,15809,57903,73712
2015,중앙,순환기내과,19149,102482,121631
2015,중앙,신경과,9244,79056,88300
2015,중앙,신경외과,27274,29921,57195
2015,중앙,신장내과,14119,37040,51159
2015,중앙,안과,3513,63977,67490
2015,중앙,완화의료사업실,4788,232,5020
2015,중앙,외과,18240,16312,34552
2015,중앙,욕창진료센터,2331,196,2527
2015,중앙,응급의학과,0,0,0
2015,중앙,이비인후과,6818,43328,50146
2015,중앙,일반내과,0,14087,14087
2015,중앙,재활센터신경과,1236,4879,6115
2015,중앙,재활의학과,61190,93263,154453
2015,중앙,정신건강의학과,29230,37544,66774
2015,중앙,정형외과,43322,75043,118365
2015,중앙,치과,352,130383,130735
2015,중앙,통증클리닉,598,10152,10750
2015,중앙,피부과,556,51642,52198
2015,중앙,한의과,0,8239,8239
2015,중앙,혈액종양내과,27326,20425,47751
2015,중앙,호흡기내과,20245,27371,47616
2015,중앙,흉부외과,12545,9592,22137
2016,광주,가정의학과,18864,40035,58899
2016,광주,건강관리과,0,11534,11534
2016,광주,구분,0,0,0
2016,광주,내과,54951,159255,214206
2016,광주,비뇨의학과,4183,34508,38691
2016,광주,산부인과,10,1412,1422
2016,광주,소아청소년과,8839,30533,39372
2016,광주,신경과,7684,32375,40059
2016,광주,신경외과,14023,23481,37504
2016,광주,안과,209,22579,22788
2016,광주,알레르기내과,0,433,433
2016,광주,외과,18013,12691,30704
2016,광주,응급의학과,28,0,28
2016,광주,이비인후과,172,12433,12605
2016,광주,재활의학과,27356,34149,61505
2016,광주,정신건강의학과,0,0,0
2016,광주,정형외과,25776,44507,70283
2016,광주,치과,0,29286,29286
2016,광주,피부과,0,12569,12569
2016,광주,한의과,0,0,0
2016,광주,핵의학과,0,179,179
2016,대구,가정의학과,7563,16155,23718
2016,대구,건강관리과,0,12173,12173
2016,대구,내과,70442,130824,201266
2016,대구,마취과,0,2570,2570
2016,대구,비뇨기과,4723,47665,52388
2016,대구,산부인과,0,5843,5843
2016,대구,소아청소년과,396,2661,3057
2016,대구,신경과,2946,28552,31498
2016,대구,신경외과,21795,24853,46648
2016,대구,안과,357,23636,23993
2016,대구,외과,5881,10477,16358
2016,대구,응급의학과,0,0,0
2016,대구,이비인후과,283,18096,18379
2016,대구,재활의학과,25070,49345,74415
2016,대구,정신건강의학과,0,10732,10732
2016,대구,정형외과,23449,29524,52973
2016,대구,치과,0,29801,29801
2016,대구,피부과,111,24523,24634
2016,대구,핵의학과,0,5473,5473
2016,대구,흉부외과,0,0,0
2016,대전,가정의학과,7313,29455,36768
2016,대전,건강검진센터,0,5620,5620
2016,대전,내과,24807,38756,63563
2016,대전,마취통증의학과,0,242,242
2016,대전,비뇨기과,372,28123,28495
2016,대전,산부인과,0,1253,1253
2016,대전,소아청소년과,61,583,644
2016,대전,소화기내과,20365,20012,40377
2016,대전,신경과,13157,30338,43495
2016,대전,신경외과,9074,6278,15352
2016,대전,심장내과,5413,16951,22364
2016,대전,안과,208,14931,15139
2016,대전,외과,4328,7824,12152
2016,대전,응급의학과,0,6061,6061
2016,대전,이비인후과,550,11886,12436
2016,대전,재활의학과,6251,18726,24977
2016,대전,정신건강의학과,0,9305,9305
2016,대전,정형외과,30350,40281,70631
2016,대전,치과,0,24636,24636
2016,대전,피부과,0,20178,20178
2016,대전,한방진료과,253,6281,6534
2016,대전,호흡기내과,7287,10551,17838
2016,부산,가정의학과,9598,17248,26846
2016,부산,건강관리과,0,9899,9899
2016,부산,구분,0,0,0
2016,부산,내분비내과,5398,21621,27019
2016,부산,비뇨기과,6954,51738,58692
2016,부산,산부인과,0,2371,2371
2016,부산,소아청소년과,0,6463,6463
2016,부산,소화기내과,34662,38015,72677
2016,부산,순환기내과,7442,29829,37271
2016,부산,신경과,7413,21014,28427
2016,부산,신경외과,39076,27401,66477
2016,부산,신장내과,4360,18191,22551
2016,부산,안과,257,32913,33170
2016,부산,외과,3881,8690,12571
2016,부산,이비인후과,608,14512,15120
2016,부산,일반내과,0,43344,43344
2016,부산,재활의학과,9259,24509,33768
2016,부산,정신건강의학과,0,16890,16890
2016,부산,정형외과,43644,42248,85892
2016,부산,치과,0,38488,38488
2016,부산,피부과,0,35915,35915
2016,부산,한방진료과,0,7492,7492
2016,부산,향정신과,0,386,386
2016,부산,호흡기내과,8004,10740,18744
2016,중앙,가정의학과,1522,57113,58635
2016,중앙,감염내과,2438,10933,13371
2016,중앙,건강관리과,0,4990,4990
2016,중앙,기타,0,2041,2041
2016,중앙,내분비내과,2543,53534,56077
2016,중앙,류마티스내과,567,14198,14765
2016,중앙,방사선종양학과,0,5980,5980
2016,중앙,비뇨기과,7662,87178,94840
2016,중앙,산부인과,1438,21314,22752
2016,중앙,성형외과,0,0,0
2016,중앙,소아청소년과,4,3919,3923
2016,중앙,소화기내과,16784,61255,78039
2016,중앙,순환기내과,18363,104531,122894
2016,중앙,신경과,9083,82057,91140
2016,중앙,신경외과,27835,32399,60234
2016,중앙,신장내과,15319,36034,51353
2016,중앙,안과,3142,64671,67813
2016,중앙,완화의료사업실,9051,637,9688
2016,중앙,외과,16894,16885,33779
2016,중앙,욕창성형클리닉,2301,380,2681
2016,중앙,응급의학과,0,0,0
2016,중앙,이비인후과,7281,48110,55391
2016,중앙,일반내과,0,14600,14600
2016,중앙,재활센터신경과,1477,5235,6712
2016,중앙,재활의학과,61111,96414,157525
2016,중앙,정신건강의학과,28363,38738,67101
2016,중앙,정형외과,42998,75968,118966
2016,중앙,치과,435,142890,143325
2016,중앙,통증클리닉,520,11027,11547
2016,중앙,피부과,1000,51378,52378
2016,중앙,한의과,0,7967,7967
2016,중앙,혈액종양내과,24987,22921,47908
2016,중앙,호흡기내과,21075,34871,55946
2016,중앙,흉부외과,13810,9232,23042
2017,광주,가정의학과,17744,34094,51838
2017,광주,건강관리과,0,10697,10697
2017,광주,내과,52803,160836,213639
2017,광주,마취과,0,563,563
2017,광주,비뇨기과,4274,35831,40105
2017,광주,산부인과,36,1309,1345
2017,광주,소아청소년과,6289,29622,35911
2017,광주,신경과,7673,31298,38971
2017,광주,신경외과,14807,26345,41152
2017,광주,안과,210,23069,23279
2017,광주,외과,19275,12331,31606
2017,광주,이비인후과,467,16241,16708
2017,광주,재활의학과,27417,33968,61385
2017,광주,정신과,1,12485,12486
2017,광주,정형외과,27259,41878,69137
2017,광주,치과,0,29562,29562
2017,광주,피부과,546,23444,23990
2017,광주,핵의학과,0,198,198
2017,광주,흉부외과,0,0,0
2017,대구,가정의학과,7657,12187,19844
2017,대구,건강관리과,0,12289,12289
2017,대구,구분,0,0,0
2017,대구,내과,70516,135397,205913
2017,대구,마취과,0,2652,2652
2017,대구,비뇨의학과,4521,48736,53257
2017,대구,산부인과,0,5625,5625
2017,대구,소아청소년과,69,2194,2263
2017,대구,신경과,2201,29620,31821
2017,대구,신경외과,19627,24626,44253
2017,대구,안과,463,24214,24677
2017,대구,외과,4566,10450,15016
2017,대구,응급의학과,0,0,0
2017,대구,이비인후과,283,18788,19071
2017,대구,재활의학과,24442,49571,74013
2017,대구,정신건강의학과,0,11326,11326
2017,대구,정형외과,22285,30435,52720
2017,대구,치과,0,26466,26466
2017,대구,피부과,53,24653,24706
2017,대구,핵의학과,0,4177,4177
2017,대구,흉부외과,0,0,0
2017,대전,가정의학과,5779,28772,34551
2017,대전,건강검진센터,0,6417,6417
2017,대전,구분,0,0,0
2017,대전,내과,20968,42389,63357
2017,대전,마취통증의학과,0,0,0
2017,대전,비뇨기과,423,29514,29937
2017,대전,산부인과,0,1009,1009
2017,대전,소아청소년과,0,518,518
2017,대전,소화기내과,24609,21937,46546
2017,대전,신경과,10396,31937,42333
2017,대전,신경외과,8763,6548,15311
2017,대전,심장내과,4244,19384,23628
2017,대전,안과,183,13662,13845
2017,대전,외과,3785,7360,11145
2017,대전,응급의학과,0,5397,5397
2017,대전,이비인후과,497,11598,12095
2017,대전,재활의학과,7331,19052,26383
2017,대전,정신건강의학과,0,8776,8776
2017,대전,정형외과,33211,36996,70207
2017,대전,치과,0,23809,23809
2017,대전,피부과,0,20555,20555
2017,대전,한방진료과,114,7110,7224
2017,대전,호흡기내과,3618,5784,9402
2017,부산,가정의학과,9654,16165,25819
2017,부산,건강관리과,0,9562,9562
2017,부산,내분비내과,4690,20566,25256
2017,부산,비뇨의학과,7112,53860,60972
2017,부산,산부인과,0,2254,2254
2017,부산,소아청소년과,0,5694,5694
2017,부산,소화기내과,37532,37053,74585
2017,부산,순환기내과,6126,29403,35529
2017,부산,신경과,6033,20417,26450
2017,부산,신경외과,37618,26728,64346
2017,부산,신장내과,5213,19356,24569
2017,부산,안과,196,32746,32942
2017,부산,외과,3166,7894,11060
2017,부산,이비인후과,685,14278,14963
2017,부산,일반내과,0,44793,44793
2017,부산,재활의학과,7177,24982,32159
2017,부산,정신건강의학과,0,17613,17613
2017,부산,정형외과,40961,45127,86088
2017,부산,치과,0,34463,34463
2017,부산,피부과,0,35890,35890
2017,부산,한방진료과,0,6826,6826
2017,부산,향정신과,0,231,231
2017,부산,호흡기내과,6477,11075,17552
2017,중앙,가정의학과,1843,57393,59236
2017,중앙,감염내과,4294,15938,20232
2017,중앙,건강관리과,0,6094,6094
2017,중앙,구분,0,0,0
2017,중앙,기타,0,2550,2550
2017,중앙,내분비내과,1927,58359,60286
2017,중앙,류마티스내과,694,11044,11738
2017,중앙,방사선종양학과,0,7322,7322
2017,중앙,비뇨기과,8268,86744,95012
2017,중앙,산부인과,1164,21379,22543
2017,중앙,성형외과,0,0,0
2017,중앙,소아청소년과,0,3508,3508
2017,중앙,소화기내과,18885,63773,82658
2017,중앙,순환기내과,16138,102786,118924
2017,중앙,신경과,9099,81154,90253
2017,중앙,신경외과,25215,31402,56617
2017,중앙,신장내과,15906,38923,54829
2017,중앙,안과,3607,70240,73847
2017,중앙,완화의료사업실,9719,1142,10861
2017,중앙,외과,15512,16858,32370
2017,중앙,욕창성형클리닉,739,963,1702
2017,중앙,응급의학과,103,0,103
2017,중앙,이비인후과,6740,49420,56160
2017,중앙,일반내과,0,7384,7384
2017,중앙,재활센터신경과,1086,6080,7166
2017,중앙,재활의학과,62130,95771,157901
2017,중앙,정신건강의학과,20027,36451,56478
2017,중앙,정형외과,43119,73249,116368
2017,중앙,진료일수,0,0,0
2017,중앙,치과,285,142942,143227
2017,중앙,통증클리닉,992,11984,12976
2017,중앙,피부과,648,50623,51271
2017,중앙,한의과,0,8251,8251
2017,중앙,혈액종양내과,24496,25033,49529
2017,중앙,호흡기내과,20943,36806,57749
2017,중앙,흉부외과,15827,9380,25207
2018,광주,가정의학과,19468,30656,50124
2018,광주,건강관리과,0,11766,11766
2018,광주,내분비내과,3094,24612,27706
2018,광주,마취과,0,1020,1020
2018,광주,비뇨의학과,4241,40134,44375
2018,광주,산부인과,37,1666,1703
2018,광주,소아청소년과,6382,27425,33807
2018,광주,소화기내과,11419,35544,46963
2018,광주,순환기내과,11055,59201,70256
2018,광주,신경과,6270,31956,38226
2018,광주,신경외과,10844,25549,36393
2018,광주,신장내과,16453,15314,31767
2018,광주,안과,124,23348,23472
2018,광주,외과,15147,11948,27095
2018,광주,이비인후과,407,15337,15744
2018,광주,일반내과,0,9915,9915
2018,광주,재활의학과,28494,36253,64747
2018,광주,정신건강의학과,0,14256,14256
2018,광주,정형외과,27912,43420,71332
2018,광주,치과,0,27049,27049
2018,광주,피부과,277,26870,27147
2018,광주,한의과,0,8209,8209
2018,광주,핵의학과,0,147,147
2018,광주,혈액종양내과,3074,2364,5438
2018,광주,호흡기내과,14819,23006,37825
2018,대구,가정의학과,6622,10559,17181
2018,대구,내과,76977,139058,216035
2018,대구,마취통증의학과,0,2921,2921
2018,대구,비뇨의학과,4722,49857,54579
2018,대구,산부인과,0,5417,5417
2018,대구,소아청소년과,73,2026,2099
2018,대구,신경과,2057,28986,31043
2018,대구,신경외과,19612,24014,43626
2018,대구,안과,720,23402,24122
2018,대구,외과,2230,9153,11383
2018,대구,응급의학과,0,13314,13314
2018,대구,이비인후과,112,19303,19415
2018,대구,재활의학과,13265,49799,63064
2018,대구,정신건강의학과,0,11829,11829
2018,대구,정형외과,23718,28175,51893
2018,대구,치과,0,29070,29070
2018,대구,피부과,95,23370,23465
2018,대구,핵의학과,0,4085,4085
2018,대구,흉부외과,0,1165,1165
2018,대전,가정의학과,5281,27555,32836
2018,대전,건강검진센터,0,7713,7713
2018,대전,내과,20873,40567,61440
2018,대전,류마티스내과,216,972,1188
2018,대전,마취통증의학과,0,0,0
2018,대전,비뇨기과,640,0,640
2018,대전,비뇨의학과,0,32328,32328
2018,대전,산부인과,0,1096,1096
2018,대전,소아청소년과,49,341,390
2018,대전,소화기내과,17897,26481,44378
2018,대전,신경과,10385,34725,45110
2018,대전,신경외과,9719,7070,16789
2018,대전,신장내과,3508,4636,8144
2018,대전,심장내과,3432,22151,25583
2018,대전,안과,166,14250,14416
2018,대전,외과,4600,8203,12803
2018,대전,응급의학과,0,6064,6064
2018,대전,이비인후과,882,12762,13644
2018,대전,재활의학과,8272,20819,29091
2018,대전,정신건강의학과,0,9207,9207
2018,대전,정형외과,33662,38239,71901
2018,대전,치과,0,24072,24072
2018,대전,피부과,0,21745,21745
2018,대전,한방진료과,134,6853,6987
2018,대전,호흡기내과,6978,10228,17206
2018,부산,가정의학과,7782,17542,25324
2018,부산,건강관리과,0,10386,10386
2018,부산,내분비내과,2884,20062,22946
2018,부산,비뇨의학과,5807,56376,62183
2018,부산,산부인과,0,2276,2276
2018,부산,소아청소년과,0,5856,5856
2018,부산,소화기내과,36594,37871,74465
2018,부산,순환기내과,6311,27473,33784
2018,부산,신경과,3507,20889,24396
2018,부산,신경외과,35200,27184,62384
2018,부산,신장내과,7687,22725,30412
2018,부산,안과,180,32469,32649
2018,부산,외과,3124,8138,11262
2018,부산,이비인후과,911,14297,15208
2018,부산,일반내과,0,43945,43945
2018,부산,재활의학과,8435,27809,36244
2018,부산,정신건강의학과,0,16677,16677
2018,부산,정형외과,44088,46448,90536
2018,부산,치과,0,35123,35123
2018,부산,피부과,0,35806,35806
2018,부산,한방진료과,0,7085,7085
2018,부산,향정신과,0,242,242
2018,부산,호흡기내과,7000,11528,18528
2018,인천,가정의학과,357,2532,2889
2018,인천,내분비내과,0,0,0
2018,인천,마취통증의학과,0,65,65
2018,인천,비뇨의학과,272,4888,5160
2018,인천,소화기내과,535,3324,3859
