년도,지역,구분,순위,상병코드,상병명,실인원,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비(천원)
2023,서울,입원(실인원),18.0, I20 , Angina pectoris ,193,1146,7,2,9,115,58,2,
2023,서울,입원(실인원),19.0, C22 , Ruptured hepatocellular carcinoma ,186,2134,6,5,5,118,40,12,
2023,서울,입원(실인원),20.0, C16 , Malignant neoplasm of cardia of stomach ,183,3423,7,2,4,111,48,11,
2023,서울,입원(연인원),1.0, G81 , flaccid hemiplegia ,164,16944,1985,89,1499,8214,3792,1365,
2023,서울,입원(연인원),2.0, M17 ," Osteoarthritis of patellofemoral joint, both ",452,10614,320,256,808,7434,1757,39,
2023,서울,입원(연인원),3.0, G82 , flaccid paraplegia ,63,10571,2155,435,497,5324,1509,651,
2023,서울,입원(연인원),4.0, Z51 , therapeutic radiology ,864,10290,317,846,879,4611,2183,1454,
2023,서울,입원(연인원),5.0, F20 , Paranoid schizophrenia ,83,8577,3869,805,1668,1818,417,,
2023,서울,입원(연인원),6.0, C34 , lung cancer of hilus ,437,7619,146,169,150,5665,1224,265,
2023,서울,입원(연인원),7.0, I50 , Right heart failure ,277,5535,98,31,87,2198,1962,1159,
2023,서울,입원(연인원),8.0, M48 , spinal stenosis ,388,5351,78,148,296,3643,1037,149,
2023,서울,입원(연인원),9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,328,5294,206,230,147,3211,1011,489,
2023,서울,입원(연인원),10.0, C61 , Acinar Prostate Adenocarcinoma ,393,5286,11,39,119,4486,407,224,
2023,서울,입원(연인원),11.0, H25 ," Senile incipient cataract, ",1356,4893,50,159,223,3330,1020,111,
2023,서울,입원(연인원),12.0, I25 , Atherosclerotic cardiovascular disease ,534,4803,96,39,191,3465,839,173,
2023,서울,입원(연인원),13.0, S72 , femur neck fracture Garden type III ,124,4372,177,30,139,1628,1470,928,
2023,서울,입원(연인원),14.0, E11 , non-insulin-dependent diabetes mellitus with coma ,226,4152,259,173,36,2649,828,207,
2023,서울,입원(연인원),15.0, J18 , bronchopneumonia ,303,3926,30,36,91,1556,1071,1142,
2023,서울,입원(연인원),16.0, S06 ," Cerebral concussion, without open intracranial wound ",76,3714,,36,50,2445,836,347,
2023,서울,입원(연인원),17.0, N17 , acute tubular necrosis in septisemia ,139,3498,147,51,,1067,1441,792,
2023,서울,입원(연인원),18.0, M75 , periarthritis of shoulder ,254,3477,174,136,245,2683,239,,
2023,서울,입원(연인원),19.0, N18 ," Chronic kidney disease, stage 1 ",203,3431,190,112,170,2041,789,129,
2023,서울,입원(연인원),20.0, C16 , Malignant neoplasm of cardia of stomach ,183,3423,78,53,36,1801,1065,390,
2023,서울,외래,1.0, N40 , benign prostate of hyperplasia(BPH) ,57608,57608,541,1059,2316,39889,10595,3208,
2023,서울,외래,2.0, E11 , non-insulin-dependent diabetes mellitus with coma ,54235,54235,2549,2002,3703,35385,9034,1562,
2023,서울,외래,3.0, K05 , Acute gingivitis ,48156,48156,3411,2275,4527,30325,6657,961,
2023,서울,외래,4.0, K08 , Other disorders of teeth and supporting  structures ,48154,48154,2556,1458,3794,31979,7094,1273,
2023,서울,외래,5.0, M51 , Lumbar and other intervertebral disc disorders with myelopathy ,31729,31729,1759,600,1525,20442,6427,976,
2023,서울,외래,6.0, I20 , Angina pectoris ,29410,29410,396,469,1108,20181,5869,1387,
2023,서울,외래,7.0, L30 , Nummular dermatitis ,26145,26145,1299,704,1139,17909,4363,731,
2023,서울,외래,8.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,22266,22266,304,311,816,14263,4778,1794,
2023,서울,외래,9.0, N18 ," Chronic kidney disease, stage 1 ",22051,22051,1069,540,686,13008,5221,1527,
2023,서울,외래,10.0, I10 , essential hypertension ,21659,21659,956,785,1678,12978,4031,1231,
2023,서울,외래,11.0, R42 , psychophysiologic dizziness ,18831,18831,664,556,1083,11565,3791,1172,
2023,서울,외래,12.0, C61 , Acinar Prostate Adenocarcinoma ,18612,18612,40,76,340,13403,3943,810,
2023,서울,외래,13.0, G81 , flaccid hemiplegia ,18509,18509,2272,663,1184,11179,2656,555,
2023,서울,외래,14.0, H35 , radiation retinopathy ,17676,17676,131,223,593,11956,3708,1065,
2023,서울,외래,15.0, K02 , Caries limited to enamel ,16450,16450,1960,648,1205,10014,2280,343,
2023,서울,외래,16.0, I11 , Hypertensive heart disease ,15714,15714,736,637,1142,10142,2508,549,
2023,서울,외래,17.0, K04 , suppurative pulpitis ,15547,15547,1150,574,1090,10406,2131,196,
2023,서울,외래,18.0, R52 , acute pain ,15334,15334,2218,1094,770,8934,1697,621,
2023,서울,외래,19.0, M75 , periarthritis of shoulder ,14496,14496,904,694,1177,9335,2179,207,
2023,서울,외래,20.0,H42,"Glaucoma in endocrine, nutritional and metabolic diseases",13076,13076,291,308,696,8297,2799,685,
2021,부산,입원(실인원),1.0, I20 , 협심증 ,759,3598,10,19,43,633,46,8,3223656.0
2021,부산,입원(실인원),2.0, U07 , 코로나바이러스 질환 2019 ,473,3593,276,72,62,47,15,1,1132642.0
2021,부산,입원(실인원),3.0, M48 , 기타 척추병증 ,362,18220,9,8,17,298,29,1,4465311.0
2021,부산,입원(실인원),4.0, I50 , 심부전 ,189,2896,2,1,8,112,53,13,921568.0
2021,부산,입원(실인원),5.0, M51 , 기타 추간판장애 ,175,8332,14,4,10,143,4,0,2100664.0
2021,부산,입원(실인원),6.0, N40 , 전립선증식증 ,151,1178,0,0,11,131,8,1,263083.0
2021,부산,입원(실인원),7.0, M17 , 무릎관절증 ,142,6078,3,6,16,108,9,0,1832364.0
2021,부산,입원(실인원),8.0, K29 , 위염 및 십이지장염 ,111,2002,7,3,3,80,17,1,473587.0
2021,부산,입원(실인원),9.0, J18 , 상세불명 병원체의 폐렴 ,108,3336,1,1,2,63,28,13,1138563.0
2021,부산,입원(실인원),10.0, K63 , 장의 기타 질환 ,107,650,2,2,4,93,6,0,282629.0
2021,부산,입원(실인원),11.0, E11 , 2형 당뇨병 ,105,3531,5,1,3,89,7,0,634669.0
2021,부산,입원(실인원),12.0, H25 , 노년백내장 ,94,250,0,1,3,85,5,0,116370.0
2021,부산,입원(실인원),13.0, M75 , 어깨병변 ,91,4463,4,5,5,75,2,0,1170617.0
2021,부산,입원(실인원),14.0, C16 , 위의 악성 신생물 ,86,2299,5,3,6,63,7,2,641863.0
2021,부산,입원(실인원),15.0, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,82,4194,4,6,7,65,0,0,1363897.0
2021,부산,입원(실인원),16.0, I63 , 뇌경색증 ,74,3652,4,0,0,60,8,2,778332.0
2021,부산,입원(실인원),17.0, C34 , 기관지 및 폐의 악성 신생물 ,73,2173,4,6,4,37,21,1,859974.0
2021,부산,입원(실인원),18.0, I73 , 기타 말초혈관질환 ,66,690,0,0,0,58,8,0,534009.0
2021,부산,입원(실인원),19.0, K80 , 담석증 ,65,686,7,4,4,45,3,2,442942.0
2021,부산,입원(실인원),20.0, C22 , 간 및 간내 담관의 악성 신생물 ,64,2112,4,2,0,48,10,0,673988.0
2021,부산,입원(연인원),1.0, M48 , 기타 척추병증 ,362,18220,623,219,776,15301,1240,61,4465311.0
2021,부산,입원(연인원),2.0, M51 , 기타 추간판장애 ,175,8332,466,46,353,7187,280,0,2100664.0
2021,부산,입원(연인원),3.0, M17 , 무릎관절증 ,142,6078,101,177,559,4809,432,0,1832364.0
2021,부산,입원(연인원),4.0, M75 , 어깨병변 ,91,4463,83,146,147,3955,132,0,1170617.0
2021,부산,입원(연인원),5.0, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,82,4194,130,331,378,3355,0,0,1363897.0
2021,부산,입원(연인원),6.0, I63 , 뇌경색증 ,74,3652,233,0,0,2920,469,30,778332.0
2021,부산,입원(연인원),7.0, I20 , 협심증 ,759,3598,31,77,181,2986,270,53,3223656.0
2021,부산,입원(연인원),8.0, U07 , 코로나바이러스 질환 2019 ,473,3593,2048,540,466,367,162,10,1132642.0
2021,부산,입원(연인원),9.0, E11 , 2형 당뇨병 ,105,3531,213,5,74,3002,237,0,634669.0
2021,부산,입원(연인원),10.0, J18 , 상세불명 병원체의 폐렴 ,108,3336,103,15,16,2024,682,496,1138563.0
2021,부산,입원(연인원),11.0, I50 , 심부전 ,189,2896,13,12,83,1930,711,147,921568.0
2021,부산,입원(연인원),12.0, I69 , 뇌혈관질환의 후유증 ,50,2759,220,0,290,2148,10,91,600973.0
2021,부산,입원(연인원),13.0, M50 , 경추간판장애 ,49,2600,99,139,410,1793,93,66,731100.0
2021,부산,입원(연인원),14.0, M96 , 달리 분류되지 않은 처치후 근골격장애 ,46,2589,184,0,49,2333,23,0,544039.0
2021,부산,입원(연인원),15.0, M43 , 기타 변형성 등병증 ,38,2384,0,146,331,1880,27,0,618731.0
2021,부산,입원(연인원),16.0, C16 , 위의 악성 신생물 ,86,2299,75,21,146,1948,76,33,641863.0
2021,부산,입원(연인원),17.0, C34 , 기관지 및 폐의 악성 신생물 ,73,2173,52,145,107,1318,543,8,859974.0
2021,부산,입원(연인원),18.0, C22 , 간 및 간내 담관의 악성 신생물 ,64,2112,62,7,0,1677,366,0,673988.0
2021,부산,입원(연인원),19.0, S32 , 요추 및 골반의 골절 ,60,2040,102,13,35,963,727,200,432912.0
2021,부산,입원(연인원),20.0, G81 , 편마비 ,46,2028,60,0,182,1636,150,0,431461.0
2021,부산,외래,1.0,N40,전립선증식증,38146,38146,418,574,1723,30461,3974,996,2862117.0
2021,부산,외래,2.0,E11,2형 당뇨병,25010,25010,1058,1016,2026,18205,2381,324,2335613.0
2021,부산,외래,3.0,U07,코로나바이러스 질환 2019,22080,22080,15801,1290,1489,3128,332,40,1626120.0
2021,부산,외래,4.0,I10,본태성(원발성) 고혈압,19397,19397,794,739,1479,13795,2158,432,1222231.0
2021,부산,외래,5.0,M48,기타 척추병증,17974,17974,360,616,934,14226,1641,197,3357376.0
2021,부산,외래,6.0,M17,무릎관절증,17668,17668,627,757,1967,12373,1753,191,2027268.0
2021,부산,외래,7.0,I20,협심증,15411,15411,224,392,907,12155,1479,254,1605526.0
2021,부산,외래,8.0,N18,만성 신장병,14458,14458,709,558,880,10203,1667,441,3125036.0
2021,부산,외래,9.0,K05,치은염 및 치주질환,12109,12109,643,427,954,9146,838,101,1750215.0
2021,부산,외래,10.0,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,11370,11370,6328,849,850,2987,294,62,778061.0
2021,부산,외래,11.0,L29,가려움,10275,10275,387,273,460,8055,933,167,337624.0
2021,부산,외래,12.0,K02,치아우식,9685,9685,661,297,727,7370,569,61,1586334.0
2021,부산,외래,13.0,M54,등통증,9634,9634,373,219,666,7716,646,14,571500.0
2021,부산,외래,14.0,L30,기타 피부염,9239,9239,518,268,630,6786,903,134,316325.0
2021,부산,외래,15.0,K08,치아 및 지지구조의 기타 장애,8358,8358,299,262,706,6401,571,119,1737556.0
2021,부산,외래,16.0,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,8154,8154,5735,409,516,1348,128,18,428460.0
2021,부산,외래,17.0,I63,뇌경색증,7725,7725,308,128,257,5977,847,208,869314.0
2021,부산,외래,18.0,H25,노년백내장,7365,7365,29,87,347,6052,736,114,597724.0
2021,부산,외래,19.0,H04,눈물계통의 장애,6739,6739,310,248,529,4962,540,150,473048.0
2021,부산,외래,20.0,H35,기타 망막장애,6518,6518,111,80,292,5362,543,130,925464.0
2022,부산,입원(실인원),1.0, U07 , 코로나바이러스 질환 2019 ,654,4730,141,55,62,224,135,37,1732179.0
2022,부산,입원(실인원),2.0, I20 , 협심증 ,591,3032,10,9,34,488,43,7,2610095.0
2022,부산,입원(실인원),3.0, M48 , 기타 척추병증 ,267,12912,6,8,12,220,17,4,3794079.0
2022,부산,입원(실인원),4.0, N40 , 전립선증식증 ,259,1478,2,3,7,226,21,,534901.0
2022,부산,입원(실인원),5.0, J18 , 상세불명 병원체의 폐렴 ,181,4618,4,2,3,113,36,23,1683207.0
2022,부산,입원(실인원),6.0, I50 , 심부전 ,180,2270,2,,1,102,48,27,793286.0
2022,부산,입원(실인원),7.0, M51 , 기타 추간판장애 ,157,5938,14,,10,123,10,,1812237.0
2022,부산,입원(실인원),8.0, M17 , 무릎관절증 ,129,5203,,4,16,102,6,1,1782880.0
2022,부산,입원(실인원),9.0, C16 , 위의 악성 신생물 ,103,2235,5,4,4,77,10,3,703462.0
2022,부산,입원(실인원),10.0, M96 , 달리 분류되지 않은 처치후 근골격장애 ,90,4452,3,1,1,80,5,,1255811.0
