년도,지역,구분,코드,상병명,59세 이하,60-64세,65-69세,70-79세,80-89세,90세 이상,연령별_합계
2021,서울,입원(연인원),"C00~C97, D00~D09",악성신생물,999,744,1171,23534,5605,1411,33464
2021,서울,입원(연인원),E00~E07,갑상선의 장애,0,0,0,79,3,0,82
2021,서울,입원(연인원),"B18, B19, K70~K77",간의 질환,86,150,106,1017,138,182,1679
2021,서울,입원(연인원),N18,만성신부전증,113,83,123,3573,1471,20,5383
2021,서울,외래,"I10~I13, I15",고혈압,2493,2621,4663,34995,8550,1683,55005
2021,서울,외래,E10~E14,당뇨병,3309,2656,4872,39473,7225,1060,58595
2021,서울,외래,"F00~F99, G40~G41",정신 및 행동장애,5530,1729,2579,20778,7721,2141,40478
2021,서울,외래,"A15, A16, A19",호흡기결핵,30,17,9,199,126,96,477
2021,서울,외래,"I05~I09, I20~I27, I30~I52",심장질환,1226,1310,2579,31916,7221,1537,45789
2021,서울,외래,I60~I69,대뇌혈관질환,1320,1059,2306,23489,5781,1500,35455
2021,서울,외래,"G00~G37, G43~G83",신경계질환,7489,2558,3663,36350,5716,1028,56804
2021,서울,외래,"C00~C97, D00~D09",악성신생물,1775,1567,3063,45205,8125,1269,61004
2021,서울,외래,E00~E07,갑상선의 장애,896,562,1182,4582,797,120,8139
2021,서울,외래,"B18, B19, K70~K77",간의 질환,1458,889,1241,6595,743,81,11007
2021,서울,외래,N18,만성신부전증,1338,634,778,10792,3125,945,17612
2021,부산,입원(실인원),"I10~I13, I15",고혈압,3,2,6,32,10,1,54
2021,부산,입원(실인원),E10~E14,당뇨병,7,2,6,121,8,0,144
2021,부산,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,1,2,0,2,0,1,6
2021,부산,입원(실인원),"A15, A16, A19",호흡기결핵,0,1,1,7,4,0,13
2021,부산,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,15,22,54,845,125,27,1088
2021,부산,입원(실인원),I60~I69,대뇌혈관질환,10,3,3,106,10,5,137
2021,부산,입원(실인원),"G00~G37, G43~G83",신경계질환,5,2,5,57,2,1,72
2021,부산,입원(실인원),"C00~C97, D00~D09",악성신생물,28,21,25,358,82,11,525
2021,부산,입원(실인원),E00~E07,갑상선의 장애,0,0,0,1,2,0,3
2021,부산,입원(실인원),"B18, B19, K70~K77",간의 질환,6,7,5,53,7,1,79
2021,부산,입원(실인원),N18,만성신부전증,0,1,3,41,7,2,54
2021,부산,입원(연인원),"I10~I13, I15",고혈압,12,26,26,390,159,10,623
2021,부산,입원(연인원),E10~E14,당뇨병,276,48,144,4234,324,0,5026
2021,부산,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,16,91,0,17,0,48,172
2021,부산,입원(연인원),"A15, A16, A19",호흡기결핵,0,3,14,247,105,0,369
2021,부산,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,63,104,285,5768,1399,263,7882
2021,부산,입원(연인원),I60~I69,대뇌혈관질환,663,194,290,6014,513,147,7821
2021,부산,입원(연인원),"G00~G37, G43~G83",신경계질환,417,80,440,3379,150,14,4480
2021,부산,입원(연인원),"C00~C97, D00~D09",악성신생물,461,404,521,10156,2381,317,14240
2021,부산,입원(연인원),E00~E07,갑상선의 장애,0,0,0,16,48,0,64
2021,부산,입원(연인원),"B18, B19, K70~K77",간의 질환,310,278,130,1426,201,24,2369
2021,부산,입원(연인원),N18,만성신부전증,0,1,217,1496,78,21,1813
2021,부산,외래,"I10~I13, I15",고혈압,831,772,1533,14213,2255,438,20042
2021,부산,외래,E10~E14,당뇨병,1121,1072,2091,19059,2460,338,26141
2021,부산,외래,"F00~F99, G40~G41",정신 및 행동장애,1402,654,1199,12553,2830,703,19341
2021,부산,외래,"A15, A16, A19",호흡기결핵,0,18,29,125,20,5,197
2021,부산,외래,"I05~I09, I20~I27, I30~I52",심장질환,377,518,1133,15239,2338,451,20056
2021,부산,외래,I60~I69,대뇌혈관질환,700,308,538,9419,1446,305,12716
2021,부산,외래,"G00~G37, G43~G83",신경계질환,606,212,426,5219,676,88,7227
2021,부산,외래,"C00~C97, D00~D09",악성신생물,310,231,713,12276,1760,228,15518
2021,부산,외래,E00~E07,갑상선의 장애,318,194,314,1841,251,39,2957
2021,부산,외래,"B18, B19, K70~K77",간의 질환,557,306,390,3006,266,21,4546
2021,부산,외래,N18,만성신부전증,709,558,880,10203,1667,441,14458
2021,대전,입원(실인원),"I10~I13, I15",고혈압,0,0,7,21,3,3,34
2021,대전,입원(실인원),E10~E14,당뇨병,10,11,9,183,34,1,248
2021,대전,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,3,0,0,5,3,2,13
2021,대전,입원(실인원),"A15, A16, A19",호흡기결핵,1,0,0,0,0,0,1
2021,대전,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,2,3,5,70,8,2,90
2021,대전,입원(실인원),I60~I69,대뇌혈관질환,8,3,4,103,29,9,156
2021,대전,입원(실인원),"G00~G37, G43~G83",신경계질환,14,5,4,36,6,0,65
2021,대전,입원(실인원),"C00~C97, D00~D09",악성신생물,31,19,25,252,64,21,412
2021,대전,입원(실인원),E00~E07,갑상선의 장애,0,0,0,5,0,0,5
2021,대전,입원(실인원),"B18, B19, K70~K77",간의 질환,4,1,5,48,6,0,64
2021,대전,입원(실인원),N18,만성신부전증,3,4,5,68,7,4,91
2021,대전,입원(연인원),"I10~I13, I15",고혈압,0,0,16,458,26,63,563
2021,대전,입원(연인원),E10~E14,당뇨병,261,122,404,3192,700,145,4824
2021,대전,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,111,0,0,90,33,366,600
2021,대전,입원(연인원),"A15, A16, A19",호흡기결핵,24,0,0,0,0,0,24
2021,대전,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,4,6,9,147,15,13,194
2021,대전,입원(연인원),I60~I69,대뇌혈관질환,351,16,42,4356,1865,134,6764
2021,대전,입원(연인원),"G00~G37, G43~G83",신경계질환,785,72,283,2578,317,0,4035
2021,대전,입원(연인원),"C00~C97, D00~D09",악성신생물,899,429,632,4504,1808,444,8716
2021,대전,입원(연인원),E00~E07,갑상선의 장애,0,0,0,98,0,0,98
2021,대전,입원(연인원),"B18, B19, K70~K77",간의 질환,77,7,43,609,46,0,782
2021,대전,입원(연인원),N18,만성신부전증,5,4,28,695,69,29,830
2021,대전,외래,"I10~I13, I15",고혈압,955,909,1464,10177,1810,674,15989
2021,대전,외래,E10~E14,당뇨병,1148,1139,1827,14064,2001,411,20590
2021,대전,외래,"F00~F99, G40~G41",정신 및 행동장애,1212,461,847,9412,3067,1201,16200
2021,대전,외래,"A15, A16, A19",호흡기결핵,17,0,9,29,18,5,78
2021,대전,외래,"I05~I09, I20~I27, I30~I52",심장질환,206,173,444,5349,935,313,7420
2021,대전,외래,I60~I69,대뇌혈관질환,405,544,967,10175,2128,566,14785
2021,대전,외래,"G00~G37, G43~G83",신경계질환,998,405,586,5772,782,237,8780
2021,대전,외래,"C00~C97, D00~D09",악성신생물,319,259,290,4346,1467,395,7076
2021,대전,외래,E00~E07,갑상선의 장애,191,123,217,1122,147,10,1810
2021,대전,외래,"B18, B19, K70~K77",간의 질환,795,259,372,1879,240,35,3580
2021,대전,외래,N18,만성신부전증,744,481,195,4270,1071,473,7234
2021,대구,입원(실인원),"I10~I13, I15",고혈압,4,0,0,26,14,3,47
2021,대구,입원(실인원),E10~E14,당뇨병,11,9,9,175,33,4,241
2021,대구,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,4,0,0,4
2021,대구,입원(실인원),"A15, A16, A19",호흡기결핵,0,0,0,0,1,3,4
2021,대구,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,19,29,60,670,136,45,959
2021,대구,입원(실인원),I60~I69,대뇌혈관질환,4,2,5,35,21,12,79
2021,대구,입원(실인원),"G00~G37, G43~G83",신경계질환,1,2,2,42,7,0,54
2021,대구,입원(실인원),"C00~C97, D00~D09",악성신생물,7,2,9,147,29,13,207
2021,대구,입원(실인원),E00~E07,갑상선의 장애,0,0,1,0,1,1,3
2021,대구,입원(실인원),"B18, B19, K70~K77",간의 질환,1,1,1,7,8,1,19
2021,대구,입원(실인원),N18,만성신부전증,4,7,6,58,14,13,102
2021,대구,입원(연인원),"I10~I13, I15",고혈압,10,0,0,1033,489,125,1657
2021,대구,입원(연인원),E10~E14,당뇨병,263,465,214,9318,961,351,11572
2021,대구,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,102,0,0,102
2021,대구,입원(연인원),"A15, A16, A19",호흡기결핵,0,0,0,0,27,112,139
2021,대구,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,94,264,211,7801,3824,1559,13753
2021,대구,입원(연인원),I60~I69,대뇌혈관질환,148,11,188,3079,767,216,4409
2021,대구,입원(연인원),"G00~G37, G43~G83",신경계질환,261,80,68,1788,692,0,2889
2021,대구,입원(연인원),"C00~C97, D00~D09",악성신생물,248,7,314,3412,616,349,4946
2021,대구,입원(연인원),E00~E07,갑상선의 장애,0,0,35,0,16,124,175
2021,대구,입원(연인원),"B18, B19, K70~K77",간의 질환,49,40,12,418,796,34,1349
2021,대구,입원(연인원),N18,만성신부전증,154,307,2196,5601,2119,760,11137
2021,대구,외래,"I10~I13, I15",고혈압,1261,1386,2312,14212,3106,917,23194
2021,대구,외래,E10~E14,당뇨병,1416,1304,2229,16510,2767,569,24795
2021,대구,외래,"F00~F99, G40~G41",정신 및 행동장애,982,519,891,7362,4330,1429,15513
2021,대구,외래,"A15, A16, A19",호흡기결핵,1,1,0,19,3,12,36
2021,대구,외래,"I05~I09, I20~I27, I30~I52",심장질환,675,678,1447,16162,3235,683,22880
2021,대구,외래,I60~I69,대뇌혈관질환,340,434,968,8738,2468,568,13516
2021,대구,외래,"G00~G37, G43~G83",신경계질환,1149,646,923,12383,1308,312,16721
2021,대구,외래,"C00~C97, D00~D09",악성신생물,245,142,345,6664,1873,501,9770
2021,대구,외래,E00~E07,갑상선의 장애,445,322,796,3106,431,75,5175
2021,대구,외래,"B18, B19, K70~K77",간의 질환,697,339,356,1695,143,14,3244
2021,대구,외래,N18,만성신부전증,802,508,282,4973,852,554,7971
2022,광주,입원(실인원),"I10~I13, I15",고혈압,3,1,1,28,7,4,44
2022,광주,입원(실인원),E10~E14,당뇨병,3,5,359,4,2,76,449
2022,광주,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,4,0,0,30,18,8,60
2022,광주,입원(실인원),"A15, A16, A19",호흡기결핵,0,1,0,6,0,0,7
2022,광주,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,21,18,18,308,49,22,436
2022,광주,입원(실인원),I60~I69,대뇌혈관질환,25,14,22,189,45,19,314
2022,광주,입원(실인원),"G00~G37, G43~G83",신경계질환,57,16,15,100,23,3,214
2022,광주,입원(실인원),"C00~C97, D00~D09",악성신생물,65,34,45,568,151,39,902
2022,광주,입원(실인원),E00~E07,갑상선의 장애,0,0,1,5,0,0,6
2022,광주,입원(실인원),"B18, B19, K70~K77",간의 질환,7,5,4,23,5,1,45
2022,광주,입원(실인원),N18,만성신부전증,0,3,2,19,8,4,36
2022,광주,입원(연인원),"I10~I13, I15",고혈압,10,13,59,164,51,21,318
2022,광주,입원(연인원),E10~E14,당뇨병,7,62,21,1025,54,25,1194
2022,광주,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,56,0,0,620,424,59,1159
2022,광주,입원(연인원),"A15, A16, A19",호흡기결핵,0,14,0,163,0,0,177
2022,광주,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,144,95,191,2350,648,523,3951
2022,광주,입원(연인원),I60~I69,대뇌혈관질환,954,638,858,8364,1638,495,12947
2022,광주,입원(연인원),"G00~G37, G43~G83",신경계질환,732,384,550,5407,1216,36,8325
2022,광주,입원(연인원),"C00~C97, D00~D09",악성신생물,1259,825,934,12151,4426,1104,20699
2022,광주,입원(연인원),E00~E07,갑상선의 장애,0,0,7,74,0,0,81
2022,광주,입원(연인원),"B18, B19, K70~K77",간의 질환,100,77,75,291,53,4,600
2022,광주,입원(연인원),N18,만성신부전증,0,486,27,604,631,85,1833
2022,광주,외래,"I10~I13, I15",고혈압,1552,1065,1906,11120,2074,722,18439
2022,광주,외래,E10~E14,당뇨병,1472,1060,1569,12448,1795,303,18647
2022,광주,외래,"F00~F99, G40~G41",정신 및 행동장애,3109,1083,1199,9408,4883,1584,21266
2022,광주,외래,"A15, A16, A19",호흡기결핵,5,25,0,71,14,6,121
2022,광주,외래,"I05~I09, I20~I27, I30~I52",심장질환,1134,1033,1503,14894,2577,694,21835
2022,광주,외래,I60~I69,대뇌혈관질환,1487,690,812,8115,1927,654,13685
2022,광주,외래,"G00~G37, G43~G83",신경계질환,1734,1269,1505,7752,1340,273,13873
2022,광주,외래,"C00~C97, D00~D09",악성신생물,655,451,574,9358,1773,411,13222
2022,광주,외래,E00~E07,갑상선의 장애,407,201,266,1160,210,33,2277
2022,광주,외래,"B18, B19, K70~K77",간의 질환,740,353,340,1945,181,44,3603
2022,광주,외래,N18,만성신부전증,640,72,239,2386,969,169,4475
2022,서울,입원(실인원),,고혈압,2,0,0,2,1,0,5
2022,서울,입원(실인원),,당뇨병,17,10,2,118,25,8,180
2022,서울,입원(실인원),,정신 및 행동장애,83,24,20,62,17,1,207
2022,서울,입원(실인원),,호흡기결핵,1,0,0,8,7,7,23
2022,서울,입원(실인원),,심장질환,25,23,48,822,217,94,1229
2022,서울,입원(실인원),,대뇌혈관질환,24,22,53,546,107,29,781
2022,서울,입원(실인원),,신경계질환,21,12,18,170,32,4,257
2022,서울,입원(실인원),,악성신생물,47,56,83,1373,233,88,1880
2022,서울,입원(실인원),,갑상선의 장애,0,0,1,4,1,0,6
2022,서울,입원(실인원),,간의 질환,3,1,2,57,13,1,77
2022,서울,입원(실인원),,만성신부전증,11,9,6,131,39,8,204
2022,서울,입원(연인원),,고혈압,11,0,0,8,5,0,24
2022,서울,입원(연인원),,당뇨병,286,164,47,2100,477,96,3170
2022,서울,입원(연인원),,정신 및 행동장애,5663,1650,1515,3762,914,18,13522
2022,서울,입원(연인원),,호흡기결핵,7,0,0,151,110,146,414
2022,서울,입원(연인원),,심장질환,257,179,305,9563,3460,1750,15514
2022,서울,입원(연인원),,대뇌혈관질환,99,160,262,4398,1460,901,7280
2022,서울,입원(연인원),,신경계질환,867,426,2202,7271,1384,186,12336
2022,서울,입원(연인원),,악성신생물,456,477,1154,19611,4271,1142,27111
2022,서울,입원(연인원),,갑상선의 장애,0,0,14,40,3,0,57
2022,서울,입원(연인원),,간의 질환,36,14,51,776,161,35,1073
2022,서울,입원(연인원),,만성신부전증,229,96,191,3943,367,65,4891
2022,서울,외래,,고혈압,2161,2110,4024,32513,7694,1896,50398
2022,서울,외래,,당뇨병,3275,2687,4650,42576,7772,1354,62314
2022,서울,외래,,정신 및 행동장애,4951,1399,2139,18869,7254,2378,36990
2022,서울,외래,,호흡기결핵,30,2,0,214,93,123,462
2022,서울,외래,,심장질환,1209,1199,2402,33548,7759,2126,48243
2022,서울,외래,,대뇌혈관질환,1198,862,2119,23055,5561,1597,34392
2022,서울,외래,,신경계질환,7316,2496,3491,34319,5315,1540,54477
2022,서울,외래,,악성신생물,1634,1419,2787,41932,7630,1706,57108
2022,서울,외래,,갑상선의 장애,712,423,880,4472,802,133,7422
2022,서울,외래,,간의 질환,1165,776,1010,6033,719,85,9788
2022,서울,외래,,만성신부전증,1044,697,869,12612,3907,1163,20292
2022,부산,입원(실인원),"I10~I13, I15",고혈압,5,2,2,31,12,1,53
2022,부산,입원(실인원),E10~E14,당뇨병,2,2,1,70,8,0,83
2022,부산,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,3,3,1,7
2022,부산,입원(실인원),"A15, A16, A19",호흡기결핵,0,1,0,3,0,0,4
2022,부산,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,18,11,38,669,107,41,884
2022,부산,입원(실인원),I60~I69,대뇌혈관질환,5,5,3,99,18,4,134
2022,부산,입원(실인원),"G00~G37, G43~G83",신경계질환,6,2,7,99,6,1,121
2022,부산,입원(실인원),"C00~C97, D00~D09",악성신생물,28,14,17,288,74,24,445
2022,부산,입원(실인원),E00~E07,갑상선의 장애,0,0,0,1,1,0,2
2022,부산,입원(실인원),"B18, B19, K70~K77",간의 질환,4,2,6,37,4,0,53
2022,부산,입원(실인원),N18,만성신부전증,1,0,1,34,6,5,47
2022,부산,입원(연인원),"I10~I13, I15",고혈압,16,4,15,186,100,5,326
2022,부산,입원(연인원),E10~E14,당뇨병,72,18,13,3354,220,0,3677
2022,부산,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,113,136,1,250
2022,부산,입원(연인원),"A15, A16, A19",호흡기결핵,0,13,0,43,0,0,56
2022,부산,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,76,34,158,4566,1023,449,6306
2022,부산,입원(연인원),I60~I69,대뇌혈관질환,439,205,102,5506,1140,88,7480
2022,부산,입원(연인원),"G00~G37, G43~G83",신경계질환,444,67,236,5117,324,64,6252
2022,부산,입원(연인원),"C00~C97, D00~D09",악성신생물,405,229,446,7441,1877,660,11058
2022,부산,입원(연인원),E00~E07,갑상선의 장애,0,0,0,1,14,0,15
2022,부산,입원(연인원),"B18, B19, K70~K77",간의 질환,215,40,262,999,151,0,1667
2022,부산,입원(연인원),N18,만성신부전증,53,0,3,1538,145,140,1879
2022,부산,외래,"I10~I13, I15",고혈압,738,576,1108,10978,1742,406,15548
2022,부산,외래,E10~E14,당뇨병,899,850,1507,17862,2339,358,23815
2022,부산,외래,"F00~F99, G40~G41",정신 및 행동장애,1431,580,1090,13003,2789,782,19675
2022,부산,외래,"A15, A16, A19",호흡기결핵,15,13,14,78,17,0,137
2022,부산,외래,"I05~I09, I20~I27, I30~I52",심장질환,361,438,971,15037,2334,562,19703
2022,부산,외래,I60~I69,대뇌혈관질환,534,379,360,8946,1382,309,11910
2022,부산,외래,"G00~G37, G43~G83",신경계질환,566,359,427,6361,642,127,8482
2022,부산,외래,"C00~C97, D00~D09",악성신생물,187,144,368,10550,1481,241,12971
2022,부산,외래,E00~E07,갑상선의 장애,253,177,279,1823,230,44,2806
2022,부산,외래,"B18, B19, K70~K77",간의 질환,474,250,368,2386,269,19,3766
2022,부산,외래,N18,만성신부전증,716,466,589,8872,1635,534,12812
2022,대전,입원(실인원),"I10~I13, I15",고혈압,1,1,1,39,4,3,49
2022,대전,입원(실인원),E10~E14,당뇨병,10,3,11,172,23,2,221
2022,대전,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,3,1,1,5
2022,대전,입원(실인원),"A15, A16, A19",호흡기결핵,0,0,0,0,0,0,0
2022,대전,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,7,3,8,110,24,6,158
2022,대전,입원(실인원),I60~I69,대뇌혈관질환,3,4,3,73,22,10,115
2022,대전,입원(실인원),"G00~G37, G43~G83",신경계질환,12,2,2,42,7,1,66
2022,대전,입원(실인원),"C00~C97, D00~D09",악성신생물,47,21,23,180,79,20,370
2022,대전,입원(실인원),E00~E07,갑상선의 장애,0,0,0,1,1,0,2
2022,대전,입원(실인원),"B18, B19, K70~K77",간의 질환,4,2,4,27,5,2,44
2022,대전,입원(실인원),N18,만성신부전증,2,3,1,82,23,15,126
2022,대전,입원(연인원),"I10~I13, I15",고혈압,1,3,9,334,37,26,410
2022,대전,입원(연인원),E10~E14,당뇨병,149,44,177,3153,671,18,4212
2022,대전,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,90,18,215,323
2022,대전,입원(연인원),"A15, A16, A19",호흡기결핵,0,0,0,0,0,0,0
2022,대전,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,24,3,32,346,115,54,574
2022,대전,입원(연인원),I60~I69,대뇌혈관질환,375,35,127,3027,1225,320,5109
2022,대전,입원(연인원),"G00~G37, G43~G83",신경계질환,802,72,12,2897,195,6,3984
2022,대전,입원(연인원),"C00~C97, D00~D09",악성신생물,964,364,437,3490,1960,741,7956
2022,대전,입원(연인원),E00~E07,갑상선의 장애,0,0,0,7,12,0,19
2022,대전,입원(연인원),"B18, B19, K70~K77",간의 질환,22,18,10,329,88,8,475
2022,대전,입원(연인원),N18,만성신부전증,2,3,1,1183,343,447,1979
2022,대전,외래,"I10~I13, I15",고혈압,934,749,1368,9840,1768,726,15385
2022,대전,외래,E10~E14,당뇨병,1090,1039,1515,14335,1869,470,20318
2022,대전,외래,"F00~F99, G40~G41",정신 및 행동장애,990,382,760,8567,2816,1034,14549
2022,대전,외래,"A15, A16, A19",호흡기결핵,0,1,3,42,11,2,59
2022,대전,외래,"I05~I09, I20~I27, I30~I52",심장질환,191,175,443,6409,1165,402,8785
2022,대전,외래,I60~I69,대뇌혈관질환,379,422,840,10085,2112,562,14400
2022,대전,외래,"G00~G37, G43~G83",신경계질환,819,173,464,5638,788,251,8133
2022,대전,외래,"C00~C97, D00~D09",악성신생물,399,166,336,4186,1409,376,6872
2022,대전,외래,E00~E07,갑상선의 장애,293,130,248,1183,147,20,2021
2022,대전,외래,"B18, B19, K70~K77",간의 질환,746,240,386,1698,214,45,3329
2022,대전,외래,N18,만성신부전증,794,600,260,4510,1351,575,8090
2022,대구,입원(실인원),"I10~I13, I15",고혈압,2,0,4,18,8,4,36
2022,대구,입원(실인원),E10~E14,당뇨병,10,7,6,159,22,4,208
2022,대구,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,1,2,0,3
2022,대구,입원(실인원),"A15, A16, A19",호흡기결핵,0,0,0,3,0,4,7
2022,대구,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,30,30,53,683,131,58,985
2022,대구,입원(실인원),I60~I69,대뇌혈관질환,2,2,4,31,13,2,54
2022,대구,입원(실인원),"G00~G37, G43~G83",신경계질환,2,1,1,53,4,0,61
2022,대구,입원(실인원),"C00~C97, D00~D09",악성신생물,1,3,11,151,29,11,206
2022,대구,입원(실인원),E00~E07,갑상선의 장애,0,0,0,1,0,0,1
2022,대구,입원(실인원),"B18, B19, K70~K77",간의 질환,1,0,1,15,4,6,27
2022,대구,입원(실인원),N18,만성신부전증,2,1,9,47,20,6,85
2022,대구,입원(연인원),"I10~I13, I15",고혈압,4,0,35,720,261,116,1136
2022,대구,입원(연인원),E10~E14,당뇨병,354,332,89,6466,2167,64,9472
2022,대구,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,0,0,0,24,85,0,109
2022,대구,입원(연인원),"A15, A16, A19",호흡기결핵,0,0,0,75,0,167,242
2022,대구,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,80,171,187,7347,1848,1164,10797
2022,대구,입원(연인원),I60~I69,대뇌혈관질환,21,19,60,1476,325,60,1961
2022,대구,입원(연인원),"G00~G37, G43~G83",신경계질환,841,7,7,2519,316,0,3690
2022,대구,입원(연인원),"C00~C97, D00~D09",악성신생물,1,11,338,3580,996,296,5222
