년도,지역,순위,질병코드,상병명,실인원,진료과
2019,광주,4,N20,신장 및 요관의 결석,22,비뇨의학과
2019,광주,5,N39,비뇨계통의 기타 장애,14,비뇨의학과
2019,광주,6,N45,고환염 및 부고환염,8,비뇨의학과
2019,광주,7,N41,전립선의 염증성 질환,7,비뇨의학과
2019,광주,7,N21,하부요로의 결석,7,비뇨의학과
2019,광주,9,N43,음낭수종 및 정액류,6,비뇨의학과
2019,광주,9,N32,방광의 기타 장애,6,비뇨의학과
2019,광주,9,N10,급성 세뇨관-간질신장염,6,비뇨의학과
2019,광주,12,N31,달리 분류되지 않은 방광의 신경근육기능장애,5,비뇨의학과
2019,광주,13,N30,방광염,4,비뇨의학과
2019,광주,13,C64,신우를 제외한 신장의 악성 신생물,4,비뇨의학과
2019,광주,15,N13,폐색성 및 역류성 요로병증,3,비뇨의학과
2019,광주,15,N28,달리 분류되지 않은 신장 및 요관의 기타 장애,3,비뇨의학과
2019,광주,17,N35,요도협착,2,비뇨의학과
2019,광주,17,D09,기타 및 상세불명 부위의 제자리암종,2,비뇨의학과
2019,광주,17,N48,음경의 기타 장애,2,비뇨의학과
2019,광주,17,R31,상세불명의 혈뇨,2,비뇨의학과
2019,광주,1,N71,자궁경부를 제외한 자궁의 염증성 질환,1,산부인과
2019,광주,1,N30,방광염,1,산부인과
2019,광주,1,T81,달리 분류되지 않은 처치의 합병증,1,산부인과
2019,광주,1,J09,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,134,소아청소년과
2019,광주,2,E30,달리 분류되지 않은 사춘기의 장애,122,소아청소년과
2019,광주,3,J11,바이러스가 확인되지 않은 인플루엔자,114,소아청소년과
2019,광주,4,J15,달리 분류되지 않은 세균성 폐렴,106,소아청소년과
2019,광주,5,J21,급성 세기관지염,99,소아청소년과
2019,광주,6,B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,86,소아청소년과
2019,광주,7,J03,급성 편도염,71,소아청소년과
2019,광주,8,B34,상세불명 부위의 바이러스감염,62,소아청소년과
2019,광주,9,J18,상세불명 병원체의 폐렴,57,소아청소년과
2019,광주,10,J20,급성 기관지염,53,소아청소년과
2019,광주,11,J02,급성 인두염,50,소아청소년과
2019,광주,12,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,46,소아청소년과
2019,광주,13,R50,기타 및 원인미상의 열,25,소아청소년과
2019,광주,14,J12,달리 분류되지 않은 바이러스폐렴,21,소아청소년과
2019,광주,15,A08,바이러스성 및 기타 명시된 장감염,19,소아청소년과
2019,광주,16,K52,기타 비감염성 위장염 및 결장염,14,소아청소년과
2019,광주,16,E34,기타 내분비장애,14,소아청소년과
2019,광주,18,N39,비뇨계통의 기타 장애,13,소아청소년과
2019,광주,19,J05,급성 폐색성 후두염[크룹] 및 후두개염,10,소아청소년과
2019,광주,20,L50,두드러기,9,소아청소년과
2019,광주,1,K80,담석증,73,소화기내과
2019,광주,2,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,65,소화기내과
2019,광주,3,C22,간 및 간내 담관의 악성 신생물,58,소화기내과
2019,광주,4,D13,기타 및 부위불명의 소화계통의 양성 신생물,45,소화기내과
2019,광주,5,K63,장의 기타 질환,44,소화기내과
2019,광주,6,K31,위 및 십이지장의 기타 질환,28,소화기내과
2019,광주,7,K25,위궤양,25,소화기내과
2019,광주,8,K85,급성 췌장염,24,소화기내과
2019,광주,8,C16,위의 악성 신생물,24,소화기내과
2019,광주,10,K74,간의 섬유증 및 경변증,21,소화기내과
2019,광주,11,K21,위-식도역류병,19,소화기내과
2019,광주,12,K92,소화계통의 기타 질환,17,소화기내과
2019,광주,13,K75,기타 염증성 간질환,16,소화기내과
2019,광주,13,K83,담도의 기타 질환,16,소화기내과
2019,광주,15,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",12,소화기내과
2019,광주,16,K81,담낭염,11,소화기내과
2019,광주,16,K29,위염 및 십이지장염,11,소화기내과
2019,광주,18,K86,췌장의 기타 질환,10,소화기내과
2019,광주,18,K55,장의 혈관장애,10,소화기내과
2019,광주,20,K26,십이지장궤양,9,소화기내과
2019,광주,1,I20,협심증,440,순환기내과
2019,광주,2,I48,심방세동 및 조동,108,순환기내과
2019,광주,3,I50,심부전,75,순환기내과
2019,광주,4,I21,급성 심근경색증,63,순환기내과
2019,광주,5,I10,본태성(원발성) 고혈압,37,순환기내과
2019,광주,6,I70,죽상경화증,33,순환기내과
2019,광주,7,I42,심근병증,32,순환기내과
2019,광주,8,I25,만성 허혈심장병,30,순환기내과
2019,광주,9,E11,2형 당뇨병,28,순환기내과
2019,광주,10,I73,기타 말초혈관질환,16,순환기내과
2019,광주,11,I35,비류마티스성 대동맥판장애,14,순환기내과
2019,광주,12,R07,목구멍 및 가슴의 통증,11,순환기내과
2019,광주,13,I49,기타 심장부정맥,10,순환기내과
2019,광주,13,R55,실신 및 허탈,10,순환기내과
2019,광주,15,I80,정맥염 및 혈전정맥염,8,순환기내과
2019,광주,15,I44,방실차단 및 좌각차단,8,순환기내과
2019,광주,15,I26,폐색전증,8,순환기내과
2019,광주,18,I47,발작성 빈맥,6,순환기내과
2019,광주,18,J69,고체 및 액체에 의한 폐렴,6,순환기내과
2019,광주,20,K21,위-식도역류병,5,순환기내과
2019,광주,20,R00,심장박동의 이상,5,순환기내과
2019,광주,1,I63,뇌경색증,111,신경과
2019,광주,2,G43,편두통,87,신경과
2019,광주,3,R51,두통,66,신경과
2019,광주,4,R42,어지럼증 및 어지럼,47,신경과
2019,광주,5,I69,뇌혈관질환의 후유증,33,신경과
2019,광주,6,G20,파킨슨병,25,신경과
2019,광주,7,H81,전정기능의 장애,23,신경과
2019,광주,8,I65,뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,17,신경과
2019,광주,9,F00,알츠하이머병에서의 치매(G30-+),16,신경과
2019,광주,10,G45,일과성 뇌허혈발작 및 관련 증후군,12,신경과
2019,광주,10,I67,기타 뇌혈관질환,12,신경과
2019,광주,10,G44,기타 두통증후군,12,신경과
2019,광주,13,G40,뇌전증,9,신경과
2019,광주,14,G51,안면신경장애,8,신경과
2019,광주,15,R55,실신 및 허탈,7,신경과
2019,광주,16,G25,기타 추체외로 및 운동 장애,5,신경과
2019,광주,17,F32,우울에피소드,4,신경과
2019,광주,17,I95,저혈압,4,신경과
2019,광주,17,S06,두개내손상,4,신경과
2019,광주,17,R25,이상불수의운동,4,신경과
2019,광주,1,M48,기타 척추병증,235,신경외과
2019,광주,2,S32,요추 및 골반의 골절,73,신경외과
2019,광주,3,M51,기타 추간판장애,69,신경외과
2019,광주,4,S06,두개내손상,52,신경외과
2019,광주,5,M50,경추간판장애,33,신경외과
2019,광주,6,M47,척추증,31,신경외과
2019,광주,7,S22,"늑골, 흉골 및 흉추의 골절",30,신경외과
2019,광주,8,M96,달리 분류되지 않은 처치후 근골격장애,20,신경외과
2019,광주,9,M54,등통증,19,신경외과
2019,광주,10,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",13,신경외과
2019,광주,11,S13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",11,신경외과
2019,광주,12,M43,기타 변형성 등병증,9,신경외과
2019,광주,13,I61,뇌내출혈,8,신경외과
2019,광주,14,C79,기타 및 상세불명 부위의 이차성 악성 신생물,5,신경외과
2019,광주,15,G61,염증성 다발신경병증,4,신경외과
2019,광주,16,T08,척추의 상세불명 부위의 골절,3,신경외과
2019,광주,16,C71,뇌의 악성 신생물,3,신경외과
2019,광주,16,G95,척수의 기타 질환,3,신경외과
2019,광주,16,M46,기타 염증성 척추병증,3,신경외과
2019,광주,20,S12,목의 골절,2,신경외과
2019,광주,20,I67,기타 뇌혈관질환,2,신경외과
2019,광주,20,M80,병적 골절을 동반한 골다공증,2,신경외과
2019,광주,20,M81,병적 골절이 없는 골다공증,2,신경외과
2019,광주,20,I62,기타 비외상성 두개내출혈,2,신경외과
2019,광주,1,N18,만성 신장병,157,신장내과
2019,광주,2,N17,급성 신부전,37,신장내과
2019,광주,3,N10,급성 세뇨관-간질신장염,23,신장내과
2019,광주,3,E87,"수분, 전해질 및 산-염기균형의 기타 장애",23,신장내과
2019,광주,5,Z49,투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,16,신장내과
2019,광주,6,N39,비뇨계통의 기타 장애,13,신장내과
2019,광주,7,E11,2형 당뇨병,9,신장내과
2019,광주,7,A41,기타 패혈증,9,신장내과
2019,광주,9,J18,상세불명 병원체의 폐렴,4,신장내과
2019,광주,9,N05,상세불명의 신염증후군,4,신장내과
2019,광주,11,R60,달리 분류되지 않은 부종,3,신장내과
2019,광주,12,J69,고체 및 액체에 의한 폐렴,2,신장내과
2019,광주,12,E26,고알도스테론증,2,신장내과
2019,광주,12,K92,소화계통의 기타 질환,2,신장내과
2019,광주,12,N28,달리 분류되지 않은 신장 및 요관의 기타 장애,2,신장내과
2019,광주,12,I73,기타 말초혈관질환,2,신장내과
2019,광주,12,K66,복막의 기타 장애,2,신장내과
2019,광주,12,E27,부신의 기타 장애,2,신장내과
2019,광주,12,N30,방광염,2,신장내과
2019,광주,12,N04,신증후군,2,신장내과
2019,광주,1,H25,노년백내장,135,안과
2019,광주,2,H26,기타 백내장,1,안과
2019,광주,1,K35,급성 충수염,76,외과
2019,광주,2,K40,사타구니탈장,70,외과
2019,광주,3,K80,담석증,69,외과
2019,광주,4,K64,치핵 및 항문주위정맥혈전증,50,외과
2019,광주,5,I83,하지의 정맥류,48,외과
2019,광주,6,C16,위의 악성 신생물,44,외과
2019,광주,7,K81,담낭염,39,외과
2019,광주,8,S22,"늑골, 흉골 및 흉추의 골절",37,외과
2019,광주,9,C18,결장의 악성 신생물,28,외과
2019,광주,10,K56,탈장이 없는 마비성 장폐색증 및 장폐색,24,외과
2019,광주,11,C20,직장의 악성 신생물,23,외과
2019,광주,12,K60,항문 및 직장부의 열창 및 누공,15,외과
2019,광주,13,L89,욕창궤양 및 압박부위,13,외과
2019,광주,14,L03,연조직염,12,외과
2019,광주,15,K62,항문 및 직장의 기타 질환,11,외과
2019,광주,15,C73,갑상선의 악성 신생물,11,외과
2019,광주,17,D17,양성 지방종성 신생물,9,외과
2019,광주,17,R10,복부 및 골반 통증,9,외과
2019,광주,19,C25,췌장의 악성 신생물,8,외과
2019,광주,19,K57,장의 게실병,8,외과
2019,광주,1,J34,코 및 비동의 기타 장애,10,이비인후과
2019,광주,2,H91,기타 청력소실,8,이비인후과
2019,광주,3,H81,전정기능의 장애,7,이비인후과
2019,광주,4,J30,혈관운동성 및 앨러지성 비염,2,이비인후과
2019,광주,5,K11,침샘의 질환,1,이비인후과
2019,광주,5,J09,확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,1,이비인후과
2019,광주,5,J38,달리 분류되지 않은 성대 및 후두의 질환,1,이비인후과
2019,광주,5,D11,주침샘의 양성 신생물,1,이비인후과
2019,광주,5,J36,편도주위농양,1,이비인후과
2019,광주,5,H66,화농성 및 상세불명의 중이염,1,이비인후과
2019,광주,1,I63,뇌경색증,152,재활의학과
2019,광주,2,M48,기타 척추병증,71,재활의학과
2019,광주,3,I69,뇌혈관질환의 후유증,47,재활의학과
2019,광주,4,I61,뇌내출혈,30,재활의학과
2019,광주,5,M17,무릎관절증,29,재활의학과
2019,광주,6,M51,기타 추간판장애,28,재활의학과
2019,광주,7,M75,어깨병변,22,재활의학과
2019,광주,8,G95,척수의 기타 질환,14,재활의학과
2019,광주,9,G20,파킨슨병,13,재활의학과
2019,광주,10,M19,기타 관절증,12,재활의학과
2019,광주,11,S06,두개내손상,11,재활의학과
2019,광주,12,S72,대퇴골의 골절,10,재활의학과
2019,광주,13,I62,기타 비외상성 두개내출혈,9,재활의학과
2019,광주,14,S14,목부위의 신경 및 척수의 손상,8,재활의학과
2019,광주,14,G82,하반신마비 및 사지마비,8,재활의학과
2019,광주,16,G51,안면신경장애,6,재활의학과
2019,광주,16,I60,지주막하출혈,6,재활의학과
2019,광주,18,M96,달리 분류되지 않은 처치후 근골격장애,5,재활의학과
2019,광주,18,G21,이차성 파킨슨증,5,재활의학과
2019,광주,20,G54,신경근 및 신경총 장애,4,재활의학과
2019,광주,1,M17,무릎관절증,160,정형외과
2019,광주,2,S72,대퇴골의 골절,98,정형외과
2019,광주,3,M75,어깨병변,84,정형외과
2019,광주,4,S82,발목을 포함한 아래다리의 골절,64,정형외과
2019,광주,5,S52,아래팔의 골절,58,정형외과
2019,광주,6,S42,어깨 및 위팔의 골절,29,정형외과
2019,광주,7,L03,연조직염,27,정형외과
2019,광주,8,S92,발목을 제외한 발의 골절,23,정형외과
2019,광주,9,S46,어깨 및 위팔 부위의 근육 및 힘줄의 손상,18,정형외과
2019,광주,9,M20,손가락 및 발가락의 후천변형,18,정형외과
2019,광주,9,M48,기타 척추병증,18,정형외과
2019,광주,12,S83,"무릎의 관절 및 인대의 탈구, 염좌 및 긴장",16,정형외과
2019,광주,13,M23,무릎의 내부장애,15,정형외과
2019,광주,13,M13,기타 관절염,15,정형외과
2019,광주,15,S93,"발목 및 발 부위의 관절 및 인대의 탈구, 염좌 및 긴장",14,정형외과
2019,광주,16,I70,죽상경화증,13,정형외과
2019,광주,16,M00,화농성 관절염,13,정형외과
2019,광주,18,G56,팔의 단일신경병증,12,정형외과
2019,광주,18,S32,요추 및 골반의 골절,12,정형외과
2019,광주,20,T84,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증",11,정형외과
2019,광주,20,M67,윤활막 및 힘줄의 기타 장애,11,정형외과
2019,광주,20,S62,손목 및 손부위의 골절,11,정형외과
2019,광주,1,C16,위의 악성 신생물,49,혈액종양내과
2019,광주,2,D46,골수형성이상증후군,47,혈액종양내과
2019,광주,3,C18,결장의 악성 신생물,40,혈액종양내과
2019,광주,4,C22,간 및 간내 담관의 악성 신생물,30,혈액종양내과
2019,광주,5,C20,직장의 악성 신생물,24,혈액종양내과
2019,광주,6,D47,"림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물",19,혈액종양내과
2019,광주,7,C34,기관지 및 폐의 악성 신생물,18,혈액종양내과
2019,광주,8,C25,췌장의 악성 신생물,16,혈액종양내과
2019,광주,9,C90,다발골수종 및 악성 형질세포신생물,14,혈액종양내과
2019,광주,10,D72,백혈구의 기타 장애,13,혈액종양내과
2019,광주,11,D64,기타 빈혈,12,혈액종양내과
2019,광주,12,C85,기타 및 상세불명 유형의 비호지킨림프종,10,혈액종양내과
2019,광주,12,D50,철결핍빈혈,10,혈액종양내과
2019,광주,14,C67,방광의 악성 신생물,7,혈액종양내과
2019,광주,14,C61,전립선의 악성 신생물,7,혈액종양내과
2019,광주,16,K63,장의 기타 질환,6,혈액종양내과
2019,광주,16,C24,담도의 기타 및 상세불명 부분의 악성 신생물,6,혈액종양내과
2019,광주,18,C80,부위의 명시가 없는 악성 신생물,5,혈액종양내과
2019,광주,18,C88,악성 면역증식성 질환,5,혈액종양내과
2019,광주,20,C23,담낭의 악성 신생물,4,혈액종양내과
2019,광주,20,D37,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물,4,혈액종양내과
2019,광주,1,J18,상세불명 병원체의 폐렴,300,호흡기내과
2019,광주,2,J44,기타 만성 폐색성 폐질환,128,호흡기내과
2019,광주,3,J69,고체 및 액체에 의한 폐렴,105,호흡기내과
2019,광주,4,C34,기관지 및 폐의 악성 신생물,93,호흡기내과
2019,광주,5,J84,기타 간질성 폐질환,24,호흡기내과
2019,광주,6,J45,천식,20,호흡기내과
2019,광주,7,A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,16,호흡기내과
2019,광주,7,A15,세균학적 및 조직학적으로 확인된 호흡기결핵,16,호흡기내과
2019,광주,9,J90,달리 분류되지 않은 흉막삼출액,12,호흡기내과
2019,광주,10,A31,기타 형태의 마이코박테리아에 의한 감염,9,호흡기내과
2019,광주,11,J47,기관지확장증,8,호흡기내과
2019,광주,12,J86,농흉,7,호흡기내과
2019,광주,12,J40,급성인지 만성인지 명시되지 않은 기관지염,7,호흡기내과
2019,광주,12,J01,급성 부비동염,7,호흡기내과
2019,광주,15,A41,기타 패혈증,6,호흡기내과
2019,광주,16,J15,달리 분류되지 않은 세균성 폐렴,4,호흡기내과
2019,광주,16,J21,급성 세기관지염,4,호흡기내과
2019,광주,18,I50,심부전,3,호흡기내과
2019,광주,18,J96,달리 분류되지 않은 호흡부전,3,호흡기내과
2019,광주,18,J11,바이러스가 확인되지 않은 인플루엔자,3,호흡기내과
2019,광주,18,R04,기도출혈,3,호흡기내과
2019,광주,18,I26,폐색전증,3,호흡기내과
2019,대구,1,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,185,가정의학과
2019,대구,2,R10,복부 및 골반 통증,1,가정의학과
2019,대구,2,C43,피부의 악성 흑색종,1,가정의학과
2019,대구,2,N17,급성 신부전,1,가정의학과
2019,대구,2,J10,확인된 계절성 인플루엔자바이러스에 의한 인플루엔자,1,가정의학과
2019,대구,1,I20,협심증,534,내과
2019,대구,2,E11,2형 당뇨병,349,내과
2019,대구,3,J18,상세불명 병원체의 폐렴,160,내과
2019,대구,4,I48,심방세동 및 조동,147,내과
2019,대구,5,R07,목구멍 및 가슴의 통증,109,내과
2019,대구,6,I70,죽상경화증,87,내과
2019,대구,6,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,87,내과
2019,대구,8,N18,만성 신장병,86,내과
2019,대구,9,J44,기타 만성 폐색성 폐질환,64,내과
2019,대구,10,I50,심부전,54,내과
2019,대구,11,R53,병감 및 피로,40,내과
2019,대구,12,J15,달리 분류되지 않은 세균성 폐렴,39,내과
2019,대구,13,I21,급성 심근경색증,32,내과
2019,대구,14,I49,기타 심장부정맥,31,내과
2019,대구,14,I10,본태성(원발성) 고혈압,31,내과
2019,대구,16,I25,만성 허혈심장병,24,내과
2019,대구,17,D13,기타 및 부위불명의 소화계통의 양성 신생물,23,내과
2019,대구,18,J69,고체 및 액체에 의한 폐렴,22,내과
2019,대구,19,E10,1형 당뇨병,20,내과
2019,대구,20,C22,간 및 간내 담관의 악성 신생물,19,내과
2019,대구,1,Z03,의심되는 질병 및 병태를 위한 의학적 관찰 및 평가,145,비뇨의학과
2019,대구,2,N40,전립선증식증,115,비뇨의학과
2019,대구,3,C61,전립선의 악성 신생물,105,비뇨의학과
2019,대구,4,N39,비뇨계통의 기타 장애,89,비뇨의학과
2019,대구,5,C67,방광의 악성 신생물,33,비뇨의학과
2019,대구,6,D09,기타 및 상세불명 부위의 제자리암종,31,비뇨의학과
2019,대구,7,N10,급성 세뇨관-간질신장염,17,비뇨의학과
2019,대구,8,N43,음낭수종 및 정액류,9,비뇨의학과
2019,대구,9,N35,요도협착,7,비뇨의학과
2019,대구,10,N30,방광염,6,비뇨의학과
2019,대구,10,R31,상세불명의 혈뇨,6,비뇨의학과
2019,대구,10,N32,방광의 기타 장애,6,비뇨의학과
2019,대구,10,N45,고환염 및 부고환염,6,비뇨의학과
2019,대구,14,N21,하부요로의 결석,5,비뇨의학과
2019,대구,15,N20,신장 및 요관의 결석,4,비뇨의학과
2019,대구,15,R33,소변정체,4,비뇨의학과
2019,대구,15,Z54,회복기,4,비뇨의학과
2019,대구,18,D41,비뇨기관의 행동양식 불명 또는 미상의 신생물,3,비뇨의학과
2019,대구,19,Z48,기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,2,비뇨의학과
2019,대구,19,T88,달리 분류되지 않은 외과적 및 내과적 치료의 기타 합병증,2,비뇨의학과
2019,대구,1,J18,상세불명 병원체의 폐렴,2,소아청소년과
2019,대구,2,N39,비뇨계통의 기타 장애,1,소아청소년과
2019,대구,2,B02,대상포진,1,소아청소년과
2019,대구,2,J20,급성 기관지염,1,소아청소년과
2019,대구,2,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,1,소아청소년과
2019,대구,2,R50,기타 및 원인미상의 열,1,소아청소년과
2019,대구,2,D18,모든 부위의 혈관종 및 림프관종,1,소아청소년과
2019,대구,1,I63,뇌경색증,56,신경과
2019,대구,2,G81,편마비,5,신경과
2019,대구,3,R42,어지럼증 및 어지럼,3,신경과
2019,대구,3,H81,전정기능의 장애,3,신경과
2019,대구,3,R51,두통,3,신경과
2019,대구,6,G22,달리 분류된 질환에서의 파킨슨증,1,신경과
2019,대구,6,M54,등통증,1,신경과
2019,대구,6,G12,척수성 근위축 및 관련 증후군,1,신경과
2019,대구,6,G20,파킨슨병,1,신경과
2019,대구,6,A87,바이러스수막염,1,신경과
2019,대구,6,R55,실신 및 허탈,1,신경과
2019,대구,1,M48,기타 척추병증,241,신경외과
2019,대구,2,S32,요추 및 골반의 골절,97,신경외과
2019,대구,3,M51,기타 추간판장애,90,신경외과
2019,대구,4,S22,"늑골, 흉골 및 흉추의 골절",38,신경외과
2019,대구,5,S06,두개내손상,19,신경외과
2019,대구,5,M96,달리 분류되지 않은 처치후 근골격장애,19,신경외과
2019,대구,7,M43,기타 변형성 등병증,15,신경외과
2019,대구,8,M50,경추간판장애,10,신경외과
2019,대구,9,Z48,기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,8,신경외과
2019,대구,9,I62,기타 비외상성 두개내출혈,8,신경외과
2019,대구,11,G82,하반신마비 및 사지마비,6,신경외과
2019,대구,11,Z54,회복기,6,신경외과
2019,대구,11,M46,기타 염증성 척추병증,6,신경외과
2019,대구,14,I61,뇌내출혈,4,신경외과
2019,대구,14,S33,"요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",4,신경외과
2019,대구,14,I67,기타 뇌혈관질환,4,신경외과
2019,대구,14,G81,편마비,4,신경외과
2019,대구,14,D35,기타 및 상세불명의 내분비선의 양성 신생물,4,신경외과
2019,대구,19,D43,뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물,3,신경외과
2019,대구,20,G91,수두증,2,신경외과
2019,대구,20,C71,뇌의 악성 신생물,2,신경외과
2019,대구,20,I60,지주막하출혈,2,신경외과
2019,대구,20,C79,기타 및 상세불명 부위의 이차성 악성 신생물,2,신경외과
2019,대구,20,S01,머리의 열린상처,2,신경외과
2019,대구,1,H25,노년백내장,661,안과
2019,대구,2,H40,녹내장,13,안과
2019,대구,3,H11,결막의 기타 장애,9,안과
2019,대구,4,H02,눈꺼풀의 기타 장애,6,안과
2019,대구,5,H35,기타 망막장애,4,안과
2019,대구,6,H43,유리체의 장애,3,안과
2019,대구,7,H05,안와의 장애,2,안과
2019,대구,7,B00,헤르페스바이러스[단순헤르페스] 감염,2,안과
2019,대구,9,H50,기타 사시,1,안과
2019,대구,9,H04,눈물계통의 장애,1,안과
2019,대구,9,S01,머리의 열린상처,1,안과
2019,대구,9,D31,눈 및 부속기의 양성 신생물,1,안과
2019,대구,9,H27,수정체의 기타 장애,1,안과
2019,대구,1,K80,담석증,43,외과
2019,대구,2,K40,사타구니탈장,42,외과
2019,대구,3,S22,"늑골, 흉골 및 흉추의 골절",17,외과
2019,대구,4,I83,하지의 정맥류,12,외과
2019,대구,5,K35,급성 충수염,8,외과
