진료년도,진료과목,주상병코드,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,일반의,C64,3 ,22 ,29 ,3509420 ,3827570 
2023,일반의,C66,1 ,25 ,26 ,4990180 ,5558750 
2023,일반의,C67,6 ,90 ,100 ,9850640 ,11311240 
2023,일반의,C71,7 ,140 ,150 ,4025010 ,4416100 
2023,일반의,C72,1 ,15 ,15 ,57150 ,58650 
2023,일반의,C73,38 ,244 ,719 ,59738850 ,68822800 
2023,일반의,C76,1 ,1 ,1 ,15850 ,16650 
2023,일반의,C78,8 ,32 ,65 ,3081210 ,3409970 
2023,일반의,C79,3 ,16 ,177 ,18946470 ,21789230 
2023,일반의,C81,1 ,21 ,21 ,176200 ,184500 
2023,일반의,C82,2 ,12 ,22 ,2053870 ,2279670 
2023,일반의,C83,9 ,38 ,158 ,15586500 ,17527260 
2023,일반의,C84,1 ,1 ,3 ,302500 ,332560 
2023,일반의,C85,5 ,21 ,31 ,1917270 ,2258120 
2023,일반의,C88,2 ,2 ,23 ,1779830 ,2041110 
2023,일반의,C90,3 ,10 ,13 ,554220 ,613760 
2023,일반의,C96,1 ,2 ,2 ,40020 ,41220 
2023,일반의,D00,1 ,1 ,1 ,15850 ,16650 
2023,일반의,D01,3 ,50 ,94 ,4568240 ,4869120 
2023,일반의,D05,19 ,251 ,422 ,31841170 ,35071110 
2023,일반의,D06,2 ,9 ,9 ,2367920 ,2558220 
2023,일반의,D11,1 ,1 ,1 ,10050 ,16650 
2023,일반의,D12,1 ,1 ,1 ,41800 ,41800 
2023,일반의,D13,4 ,4 ,4 ,167200 ,167200 
2023,일반의,D16,1 ,1 ,1 ,0 ,0 
2023,일반의,D25,304 ,307 ,1300 ,752496780 ,1023883240 
2023,일반의,D26,1 ,1 ,3 ,1771020 ,2314830 
2023,일반의,D27,63 ,63 ,233 ,124498820 ,169469500 
2023,일반의,D28,1 ,1 ,4 ,2305110 ,3049070 
2023,일반의,D30,1 ,1 ,1 ,41800 ,41800 
2023,일반의,D32,4 ,9 ,167 ,16132640 ,19219920 
2023,일반의,D39,1 ,1 ,1 ,95390 ,172100 
2023,일반의,D47,1 ,5 ,99 ,6732130 ,7917820 
2023,일반의,D50,3 ,3 ,3 ,154200 ,208400 
2023,일반의,D59,1 ,2 ,19 ,1652480 ,2186800 
2023,일반의,D64,1 ,1 ,1 ,10050 ,16650 
2023,일반의,D66,1 ,1 ,1 ,3640 ,6040 
2023,일반의,D69,2 ,2 ,31 ,63693860 ,68661430 
2023,일반의,D70,1 ,1 ,31 ,1212260 ,2112960 
2023,일반의,D84,1 ,1 ,1 ,7260 ,12060 
2023,일반의,D89,1 ,7 ,7 ,47430 ,78430 
2023,일반의,E03,11 ,17 ,17 ,321920 ,535520 
2023,일반의,E05,3 ,3 ,3 ,175640 ,292540 
2023,일반의,E06,1 ,1 ,1 ,10050 ,16650 
2023,일반의,E07,2 ,2 ,2 ,100010 ,177230 
2023,일반의,E10,1 ,1 ,1 ,94730 ,157830 
2023,일반의,E11,82 ,179 ,725 ,40344140 ,51119870 
2023,일반의,E12,1 ,1 ,1 ,10050 ,16650 
2023,일반의,E14,23 ,30 ,29 ,506290 ,798600 
2023,일반의,E22,2 ,2 ,2 ,14520 ,24120 
2023,일반의,E28,2 ,2 ,2 ,93730 ,156030 
2023,일반의,E30,1 ,1 ,1 ,3310 ,5410 
2023,일반의,E35,1 ,1 ,1 ,12020 ,18810 
2023,일반의,E50,10 ,15 ,15 ,162020 ,269020 
2023,일반의,E55,5 ,6 ,6 ,83680 ,111280 
2023,일반의,E58,1 ,6 ,6 ,64570 ,116470 
2023,일반의,E78,129 ,164 ,164 ,3617720 ,4706920 
2023,일반의,E79,1 ,1 ,1 ,17320 ,28720 
2023,일반의,E83,1 ,1 ,1 ,63610 ,105910 
2023,일반의,E86,5 ,5 ,7 ,277610 ,397660 
2023,일반의,E87,1 ,1 ,0 ,0 ,0 
2023,일반의,F00,398 ,2263 ,56629 ,3546317110 ,4733611800 
2023,일반의,F01,11 ,34 ,784 ,51431600 ,67636880 
2023,일반의,F03,6 ,23 ,617 ,33569980 ,49979440 
2023,일반의,F05,1 ,2 ,59 ,2515440 ,4380440 
2023,일반의,F06,6 ,7 ,53 ,1928530 ,3360240 
2023,일반의,F10,3 ,4 ,60 ,3752440 ,5097560 
2023,일반의,F20,10 ,18 ,3 ,264400 ,296320 
2023,일반의,F32,3 ,9 ,9 ,233130 ,312300 
2023,일반의,F33,1 ,1 ,1 ,57140 ,71420 
2023,일반의,F34,1 ,1 ,1 ,38880 ,57580 
2023,일반의,F41,11 ,34 ,111 ,6028800 ,8506530 
2023,일반의,F45,1 ,1 ,1 ,11120 ,18520 
2023,일반의,F48,5 ,5 ,6 ,611000 ,878600 
2023,일반의,F51,2 ,2 ,2 ,14520 ,24120 
2023,일반의,F80,1 ,1 ,1 ,12610 ,17510 
2023,일반의,F84,2 ,32 ,32 ,98060 ,137860 
2023,일반의,F90,2 ,2 ,2 ,21610 ,28710 
2023,일반의,G03,2 ,2 ,2 ,127570 ,200870 
2023,일반의,G05,2 ,2 ,2 ,46180 ,70880 
2023,일반의,G11,1 ,12 ,328 ,24816260 ,30035860 
2023,일반의,G20,44 ,217 ,4756 ,366011100 ,451522520 
2023,일반의,G21,2 ,5 ,123 ,11275650 ,14930450 
2023,일반의,G25,3 ,10 ,10 ,73630 ,121030 
2023,일반의,G30,6 ,27 ,636 ,36781630 ,51663680 
2023,일반의,G31,1 ,6 ,182 ,11245640 ,15279390 
2023,일반의,G36,1 ,16 ,37 ,4201440 ,4938860 
2023,일반의,G43,6 ,6 ,6 ,69080 ,113480 
2023,일반의,G44,3 ,3 ,3 ,30970 ,50170 
2023,일반의,G45,2 ,3 ,19 ,1896720 ,3009220 
2023,일반의,G47,15 ,40 ,40 ,312470 ,517770 
2023,일반의,G53,1 ,1 ,1 ,10050 ,16650 
2023,일반의,G55,1 ,1 ,1 ,2970 ,27770 
2023,일반의,G57,1 ,1 ,1 ,7260 ,12060 
2023,일반의,G71,1 ,1 ,1 ,19910 ,22110 
2023,일반의,G80,1 ,2 ,2 ,29650 ,49350 
2023,일반의,G81,59 ,364 ,9150 ,619250990 ,829131410 
2023,일반의,G91,1 ,3 ,92 ,6465850 ,8597330 
2023,일반의,G93,3 ,14 ,310 ,26645030 ,34769860 
2023,일반의,H00,3 ,3 ,3 ,36150 ,56350 
2023,일반의,H04,102 ,139 ,139 ,2154780 ,3549360 
2023,일반의,H10,25 ,33 ,33 ,449160 ,708960 
2023,일반의,H11,1 ,1 ,1 ,11860 ,19660 
2023,일반의,H16,12 ,13 ,13 ,165130 ,274230 
2023,일반의,H25,19 ,22 ,23 ,14297440 ,17914820 
2023,일반의,H26,2 ,2 ,1 ,41800 ,41800 
2023,일반의,H28,1 ,1 ,1 ,902390 ,1127040 
2023,일반의,H35,14 ,14 ,43 ,2586230 ,3057300 
2023,일반의,H36,1 ,1 ,1 ,41800 ,41800 
2023,일반의,H40,3 ,4 ,4 ,53770 ,72310 
2023,일반의,H52,63 ,95 ,95 ,2889290 ,4809190 
2023,일반의,H57,2 ,2 ,2 ,51090 ,84990 
2023,일반의,H60,1 ,1 ,1 ,13710 ,21010 
2023,일반의,H65,5 ,5 ,5 ,121160 ,137160 
2023,일반의,H66,11 ,11 ,11 ,590180 ,738750 
2023,일반의,H71,1 ,1 ,1 ,41800 ,41800 
2023,일반의,H81,4 ,5 ,5 ,58030 ,92830 
2023,일반의,H90,1 ,1 ,1 ,8330 ,10530 
2023,일반의,H93,1 ,1 ,1 ,101320 ,168820 
2023,일반의,I10,154 ,315 ,835 ,39043140 ,55239120 
2023,일반의,I11,8 ,14 ,12 ,310740 ,448870 
2023,일반의,I15,1 ,1 ,1 ,7260 ,12060 
2023,일반의,I20,26 ,34 ,30 ,1196010 ,1348540 
2023,일반의,I21,3 ,23 ,23 ,51860 ,84560 
2023,일반의,I25,4 ,6 ,46 ,1898640 ,3262730 
2023,일반의,I48,8 ,10 ,10 ,1059590 ,1273450 
2023,일반의,I49,2 ,2 ,8 ,439240 ,592820 
2023,일반의,I50,1 ,2 ,17 ,1165220 ,1547470 
2023,일반의,I51,1 ,1 ,1 ,41800 ,41800 
2023,일반의,I60,3 ,21 ,404 ,36277810 ,47579030 
2023,일반의,I61,15 ,78 ,1897 ,169289260 ,223290640 
2023,일반의,I62,1 ,10 ,285 ,22375690 ,29913020 
2023,일반의,I63,33 ,168 ,3632 ,350887200 ,461939150 
2023,일반의,I64,1 ,2 ,61 ,5924230 ,7744970 
2023,일반의,I65,1 ,1 ,1 ,17300 ,28700 
2023,일반의,I67,2 ,2 ,2 ,74960 ,86260 
2023,일반의,I69,8 ,12 ,267 ,18401650 ,24926630 
2023,일반의,I71,1 ,1 ,1 ,144030 ,239930 
2023,일반의,I73,2 ,2 ,23 ,3864520 ,5049430 
2023,일반의,I89,1 ,1 ,1 ,10050 ,16650 
2023,일반의,I95,2 ,2 ,32 ,2332430 ,3170690 
2023,일반의,J00,535 ,603 ,603 ,9351450 ,14272770 
2023,일반의,J01,44 ,45 ,45 ,559230 ,849530 
2023,일반의,J02,86 ,91 ,91 ,2369480 ,3800250 
2023,일반의,J03,35 ,38 ,38 ,905590 ,1324340 
2023,일반의,J04,20 ,20 ,20 ,272950 ,401250 
2023,일반의,J06,197 ,231 ,231 ,4966440 ,7731510 
2023,일반의,J10,59 ,60 ,60 ,1142660 ,1689550 
2023,일반의,J11,54 ,59 ,59 ,1907360 ,2928100 
2023,일반의,J14,1 ,1 ,4 ,497790 ,539970 
2023,일반의,J15,7 ,9 ,72 ,7550990 ,9825440 
2023,일반의,J18,52 ,66 ,518 ,61629850 ,77878710 
2023,일반의,J20,144 ,149 ,149 ,2162210 ,3228680 
2023,일반의,J21,10 ,11 ,11 ,118040 ,177440 
2023,일반의,J22,6 ,6 ,6 ,77100 ,131760 
2023,일반의,J30,96 ,112 ,112 ,1629940 ,2532090 
2023,일반의,J31,2 ,3 ,3 ,66710 ,109410 
2023,일반의,J32,3 ,3 ,3 ,67670 ,84770 
2023,일반의,J35,6 ,6 ,15 ,2996110 ,4521030 
2023,일반의,J36,6 ,8 ,8 ,113590 ,188790 
2023,일반의,J37,1 ,1 ,0 ,19040 ,23800 
2023,일반의,J39,36 ,36 ,36 ,381440 ,632540 
2023,일반의,J40,38 ,40 ,40 ,861070 ,1326940 
2023,일반의,J41,11 ,12 ,12 ,265960 ,523240 
2023,일반의,J42,8 ,9 ,9 ,105610 ,175410 
2023,일반의,J43,1 ,2 ,61 ,2373750 ,4138320 
2023,일반의,J44,6 ,15 ,319 ,21410280 ,28514780 
2023,일반의,J45,15 ,33 ,496 ,30007190 ,40851670 
2023,일반의,J69,4 ,4 ,18 ,1836490 ,2267730 
2023,일반의,J81,1 ,1 ,9 ,630230 ,837900 
2023,일반의,J94,1 ,1 ,5 ,452750 ,595030 
2023,일반의,J96,4 ,6 ,121 ,8332910 ,11177630 
2023,일반의,J98,1 ,1 ,1 ,70350 ,117150 
2023,일반의,K00,2 ,2 ,2 ,54540 ,83040 
2023,일반의,K02,252 ,256 ,256 ,4671560 ,7747360 
2023,일반의,K03,3 ,3 ,3 ,66190 ,82290 
2023,일반의,K04,22 ,23 ,23 ,933650 ,1526650 
2023,일반의,K05,6 ,6 ,5 ,219250 ,349310 
2023,일반의,K08,15 ,20 ,7 ,9053000 ,12936980 
2023,일반의,K11,1 ,1 ,1 ,23130 ,35530 
2023,일반의,K12,2 ,2 ,2 ,19160 ,29260 
2023,일반의,K14,2 ,2 ,2 ,41370 ,72220 
2023,일반의,K21,67 ,88 ,117 ,3153540 ,5314480 
2023,일반의,K22,1 ,1 ,1 ,41800 ,41800 
2023,일반의,K25,7 ,13 ,121 ,5757440 ,9958250 
2023,일반의,K26,2 ,3 ,3 ,115540 ,192440 
2023,일반의,K29,61 ,71 ,71 ,1566470 ,2050030 
2023,일반의,K30,2 ,2 ,3 ,330210 ,427500 
2023,일반의,K31,1 ,1 ,1 ,79720 ,132820 
2023,일반의,K35,16 ,16 ,62 ,36356930 ,51078270 
2023,일반의,K40,7 ,7 ,22 ,14427530 ,20178600 
2023,일반의,K52,7 ,8 ,9 ,235800 ,351120 
2023,일반의,K58,51 ,55 ,55 ,2225830 ,3719450 
2023,일반의,K59,15 ,18 ,18 ,192890 ,322050 
2023,일반의,K60,3 ,3 ,9 ,3365890 ,4398460 
2023,일반의,K61,2 ,2 ,6 ,2127970 ,2869740 
2023,일반의,K62,2 ,2 ,2 ,453650 ,628760 
2023,일반의,K63,15 ,15 ,20 ,2444330 ,3360760 
2023,일반의,K64,3 ,3 ,12 ,3825340 ,5089780 
2023,일반의,K70,1 ,2 ,2 ,20100 ,33300 
2023,일반의,K71,2 ,4 ,9 ,882100 ,1044710 
2023,일반의,K72,1 ,1 ,1 ,11130 ,18430 
2023,일반의,K73,2 ,2 ,2 ,54220 ,90120 
2023,일반의,K74,5 ,16 ,211 ,9441010 ,15634280 
2023,일반의,K75,3 ,3 ,3 ,46980 ,76680 
2023,일반의,K76,11 ,14 ,14 ,489920 ,681820 
2023,일반의,K80,3 ,4 ,4 ,111850 ,138440 
2023,일반의,K81,1 ,1 ,1 ,41800 ,41800 
2023,일반의,K86,1 ,1 ,1 ,41800 ,41800 
2023,일반의,K92,2 ,2 ,23 ,1500100 ,1848800 
2023,일반의,L02,4 ,7 ,7 ,114930 ,196050 
2023,일반의,L03,9 ,12 ,12 ,281100 ,480480 
2023,일반의,L04,4 ,4 ,4 ,44500 ,71600 
2023,일반의,L12,1 ,1 ,1 ,41800 ,41800 
2023,일반의,L13,1 ,1 ,1 ,19450 ,32350 
2023,일반의,L20,3 ,3 ,3 ,224010 ,266110 
2023,일반의,L21,4 ,4 ,4 ,105080 ,141950 
2023,일반의,L22,2 ,2 ,2 ,17310 ,28710 
2023,일반의,L23,6 ,6 ,6 ,58090 ,91990 
2023,일반의,L25,3 ,5 ,5 ,40180 ,65580 
2023,일반의,L28,1 ,1 ,1 ,10050 ,16650 
2023,일반의,L29,3 ,3 ,3 ,34960 ,57960 
2023,일반의,L30,9 ,9 ,9 ,82480 ,135080 
2023,일반의,L40,1 ,1 ,1 ,9530 ,14530 
2023,일반의,L50,22 ,24 ,24 ,249450 ,402150 
2023,일반의,L64,1 ,1 ,1 ,8710 ,14410 
2023,일반의,L82,1 ,1 ,1 ,41800 ,41800 
2023,일반의,L89,6 ,7 ,91 ,7435980 ,9101000 
2023,일반의,M05,1 ,1 ,1 ,15050 ,16650 
2023,일반의,M06,1 ,2 ,2 ,20100 ,33300 
2023,일반의,M10,13 ,36 ,36 ,476000 ,793550 
2023,일반의,M12,1 ,1 ,1 ,8400 ,13900 
2023,일반의,M13,17 ,33 ,33 ,307490 ,495210 
2023,일반의,M15,3 ,3 ,3 ,32610 ,92610 
2023,일반의,M16,3 ,3 ,5 ,253010 ,409080 
2023,일반의,M17,26 ,86 ,86 ,905470 ,1497570 
2023,일반의,M18,1 ,1 ,1 ,19030 ,31630 
2023,일반의,M19,28 ,34 ,34 ,500780 ,832480 
2023,일반의,M21,1 ,1 ,1 ,10050 ,16650 
2023,일반의,M22,2 ,5 ,5 ,53600 ,89000 
2023,일반의,M23,1 ,1 ,1 ,18640 ,31040 
2023,일반의,M24,1 ,2 ,2 ,42690 ,47290 
2023,일반의,M25,22 ,30 ,30 ,345530 ,547130 
2023,일반의,M35,1 ,6 ,6 ,43560 ,72360 
2023,일반의,M41,1 ,1 ,1 ,10940 ,47640 
2023,일반의,M43,7 ,8 ,47 ,1927410 ,3336930 
2023,일반의,M45,2 ,2 ,2 ,45960 ,50960 
2023,일반의,M46,1 ,1 ,1 ,2990 ,23190 
2023,일반의,M47,22 ,27 ,27 ,197990 ,733790 
2023,일반의,M48,21 ,45 ,100 ,3791480 ,5668470 
2023,일반의,M49,1 ,1 ,1 ,13970 ,71430 
2023,일반의,M50,49 ,139 ,140 ,2096530 ,4768280 
2023,일반의,M51,108 ,269 ,269 ,2466120 ,6104850 
2023,일반의,M54,81 ,222 ,222 ,1820110 ,3722210 
2023,일반의,M62,7 ,7 ,7 ,119510 ,191410 
2023,일반의,M65,4 ,56 ,56 ,626020 ,1034920 
2023,일반의,M70,1 ,2 ,2 ,19140 ,31740 
2023,일반의,M71,1 ,1 ,1 ,10050 ,16650 
2023,일반의,M72,4 ,7 ,7 ,198270 ,331400 
2023,일반의,M75,44 ,146 ,146 ,1534240 ,2567140 
2023,일반의,M76,2 ,3 ,3 ,60180 ,95280 
2023,일반의,M77,11 ,20 ,20 ,443420 ,735020 
2023,일반의,M79,40 ,56 ,409 ,14161390 ,24672380 
2023,일반의,M80,2 ,3 ,3 ,16650 ,50450 
2023,일반의,M81,19 ,20 ,20 ,506030 ,758730 
2023,일반의,M89,1 ,1 ,1 ,5710 ,30120 
2023,일반의,M92,1 ,1 ,1 ,17810 ,29610 
2023,일반의,M94,1 ,1 ,1 ,22510 ,34610 
2023,일반의,M99,2 ,2 ,2 ,19680 ,62080 
2023,일반의,N04,1 ,2 ,2 ,29040 ,58200 
2023,일반의,N17,1 ,1 ,6 ,371600 ,500400 
2023,일반의,N18,35 ,2972 ,2972 ,511848970 ,568584480 
2023,일반의,N19,1 ,1 ,1 ,10860 ,12060 
2023,일반의,N21,1 ,1 ,1 ,975060 ,1218820 
2023,일반의,N28,1 ,1 ,1 ,19020 ,34420 
2023,일반의,N30,25 ,33 ,33 ,1065980 ,1742660 
2023,일반의,N31,5 ,8 ,8 ,598160 ,772070 
2023,일반의,N32,1 ,1 ,1 ,7260 ,12060 
2023,일반의,N39,10 ,11 ,11 ,442730 ,712330 
2023,일반의,N40,9 ,17 ,17 ,1613530 ,2045140 
2023,일반의,N48,1 ,1 ,0 ,20140 ,25170 
2023,일반의,N60,1 ,1 ,0 ,41800 ,41800 
2023,일반의,N61,1 ,1 ,1 ,20960 ,67950 
2023,일반의,N64,1 ,1 ,1 ,94540 ,157540 
2023,일반의,N70,1 ,1 ,9 ,3592260 ,5042760 
2023,일반의,N72,17 ,17 ,17 ,772150 ,1306360 
2023,일반의,N73,1 ,1 ,7 ,1986130 ,2762760 
2023,일반의,N75,1 ,1 ,1 ,38340 ,63740 
2023,일반의,N76,10 ,12 ,12 ,330250 ,570650 
2023,일반의,N80,27 ,27 ,108 ,63767200 ,87503450 
2023,일반의,N81,12 ,12 ,57 ,26094870 ,33506140 
2023,일반의,N83,24 ,24 ,122 ,52785690 ,71998430 
2023,일반의,N84,2 ,2 ,2 ,144130 ,240130 
2023,일반의,N85,3 ,3 ,6 ,3742350 ,5045670 
2023,일반의,N86,1 ,1 ,1 ,120330 ,200530 
2023,일반의,N87,2 ,2 ,2 ,52190 ,91010 
2023,일반의,N91,1 ,1 ,1 ,11030 ,18330 
2023,일반의,N92,8 ,8 ,8 ,402270 ,673990 
2023,일반의,N93,14 ,14 ,14 ,942240 ,1553370 
2023,일반의,N94,7 ,7 ,7 ,474380 ,849500 
2023,일반의,N95,20 ,28 ,28 ,526550 ,875750 
2023,일반의,O00,2 ,2 ,2 ,45360 ,103110 
2023,일반의,O13,7 ,7 ,44 ,14438990 ,16811800 
2023,일반의,O16,3 ,3 ,18 ,6718030 ,8083430 
2023,일반의,O20,2 ,3 ,3 ,198180 ,247480 
2023,일반의,O23,1 ,1 ,1 ,12190 ,15190 
2023,일반의,O30,4 ,4 ,19 ,6219890 ,7077710 
2023,일반의,O32,46 ,46 ,278 ,97608970 ,114288820 
2023,일반의,O33,480 ,480 ,2737 ,995990520 ,1136979230 
2023,일반의,O34,300 ,300 ,1705 ,625279580 ,723267820 
2023,일반의,O41,5 ,5 ,31 ,11664460 ,13404140 
2023,일반의,O42,7 ,7 ,50 ,17099310 ,19185890 
2023,일반의,O43,1 ,1 ,6 ,2308890 ,2471370 
2023,일반의,O44,18 ,18 ,113 ,40738560 ,47392000 
2023,일반의,O45,4 ,4 ,29 ,9531880 ,11122920 
2023,일반의,O47,1 ,1 ,1 ,122930 ,153630 
2023,일반의,O60,7 ,7 ,72 ,18372140 ,21073210 
2023,일반의,O61,21 ,21 ,122 ,42244970 ,49800790 
2023,일반의,O62,2 ,2 ,11 ,4220550 ,5171440 
2023,일반의,O64,7 ,7 ,42 ,15581760 ,17804340 
2023,일반의,O65,78 ,78 ,536 ,174132650 ,202523020 
2023,일반의,O68,30 ,30 ,193 ,67927820 ,78978550 
2023,일반의,O82,262 ,262 ,1531 ,597209600 ,680225520 
2023,일반의,O83,1 ,1 ,6 ,1956990 ,2176110 
2023,일반의,O84,2 ,2 ,12 ,4542500 ,5006160 
2023,일반의,O86,2 ,2 ,2 ,22060 ,36660 
2023,일반의,P28,1 ,1 ,7 ,419830 ,562840 
2023,일반의,P59,1 ,1 ,1 ,0 ,0 
2023,일반의,Q22,1 ,1 ,1 ,11800 ,13100 
2023,일반의,R00,4 ,4 ,3 ,191580 ,314200 
2023,일반의,R03,4 ,4 ,4 ,40200 ,66600 
2023,일반의,R05,113 ,116 ,116 ,2098630 ,3333730 
2023,일반의,R06,3 ,3 ,4 ,405260 ,557410 
2023,일반의,R07,14 ,14 ,14 ,653110 ,859990 
2023,일반의,R09,1 ,1 ,1 ,37070 ,51470 
2023,일반의,R10,21 ,22 ,33 ,2017590 ,3111780 
2023,일반의,R11,8 ,9 ,9 ,130150 ,205750 
2023,일반의,R12,1 ,2 ,2 ,49650 ,82650 
2023,일반의,R13,3 ,3 ,3 ,125400 ,125400 
2023,일반의,R19,1 ,1 ,1 ,71150 ,118550 
2023,일반의,R20,2 ,2 ,2 ,17310 ,28710 
2023,일반의,R21,2 ,2 ,2 ,31990 ,53190 
2023,일반의,R22,1 ,1 ,1 ,5410 ,8910 
2023,일반의,R25,2 ,3 ,3 ,65400 ,108700 
2023,일반의,R26,1 ,1 ,1 ,10050 ,16650 
2023,일반의,R31,2 ,2 ,2 ,21960 ,36460 
2023,일반의,R35,1 ,1 ,1 ,6640 ,10940 
2023,일반의,R40,4 ,4 ,14 ,1094130 ,1323010 
2023,일반의,R42,34 ,53 ,53 ,541740 ,899040 
2023,일반의,R43,1 ,1 ,1 ,10850 ,16650 
2023,일반의,R45,1 ,1 ,1 ,18520 ,25720 
2023,일반의,R46,4 ,6 ,6 ,176360 ,288360 
2023,일반의,R47,20 ,112 ,112 ,926200 ,1196100 
2023,일반의,R50,55 ,61 ,61 ,2245300 ,3529660 
2023,일반의,R51,21 ,22 ,22 ,451350 ,748150 
2023,일반의,R52,5 ,6 ,6 ,113880 ,224580 
2023,일반의,R53,2 ,2 ,32 ,1236330 ,2150630 
2023,일반의,R55,1 ,1 ,1 ,40770 ,67870 
2023,일반의,R57,1 ,1 ,1 ,7260 ,12060 
2023,일반의,R59,1 ,1 ,1 ,10050 ,16650 
2023,일반의,R60,2 ,2 ,2 ,19160 ,29260 
2023,일반의,R61,1 ,1 ,1 ,10050 ,16650 
2023,일반의,R62,46 ,200 ,200 ,5118480 ,6773880 
2023,일반의,R68,5 ,5 ,5 ,40870 ,67670 
2023,일반의,R73,1 ,1 ,1 ,201740 ,339590 
2023,일반의,R80,1 ,1 ,1 ,41800 ,41800 
2023,일반의,R82,2 ,3 ,3 ,27360 ,45360 
2023,일반의,R87,5 ,5 ,5 ,273440 ,371940 
2023,일반의,R91,5 ,5 ,5 ,105890 ,115190 
2023,일반의,R92,3 ,3 ,3 ,240250 ,374510 
2023,일반의,R93,1 ,1 ,1 ,41800 ,41800 
2023,일반의,R94,3 ,3 ,3 ,39630 ,65830 
2023,일반의,S00,5 ,5 ,5 ,76690 ,127390 
2023,일반의,S01,2 ,4 ,4 ,99850 ,171180 
2023,일반의,S02,15 ,15 ,15 ,360150 ,598950 
2023,일반의,S05,2 ,2 ,2 ,92400 ,142000 
2023,일반의,S06,2 ,8 ,245 ,26855550 ,35173500 
2023,일반의,S10,2 ,2 ,2 ,5940 ,55540 
2023,일반의,S11,1 ,1 ,1 ,14950 ,23550 
2023,일반의,S13,15 ,22 ,22 ,338840 ,716610 
2023,일반의,S14,1 ,1 ,9 ,786590 ,1041440 
2023,일반의,S20,6 ,7 ,7 ,105550 ,167050 
