"연령대","순위","상병코드","상병명","건수","癤우뿰"
"60대","17","M79","달리 분류되지 않은 기타 연조직장애","834",NA
"60대","18","H25","노인성 백내장","810",NA
"60대","19","M51","기타 추간판장애","807",NA
"60대","20","I63","뇌경색증","759",NA
"70대","1","N40","전립선증식증","21003",NA
"70대","2","E11","인슐린-비의존 당뇨병","16144",NA
"70대","3","M48","기타 척추병증","15947",NA
"70대","4","I20","협심증","13593",NA
"70대","5","I10","본태성(원발성) 고혈압","13486",NA
"70대","6","K05","치은염(잇몸염)및 치주 질환","9863",NA
"70대","7","M17","윤충증","8834",NA
"70대","8","H25","노인성 백내장","8410",NA
"70대","9","K21","위-식도역류병","5545",NA
"70대","10","L23","앨러지성 접촉피부염","5047",NA
"70대","11","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","4660",NA
"70대","12","J44","기타 만성 폐쇄성 폐질환","4605",NA
"70대","13","N18","만성 콩팥(신장)기능상실","4513",NA
"70대","14","M75","어깨병변","4445",NA
"70대","15","B35","피부사상균증","4322",NA
"70대","16","I63","뇌경색증","4118",NA
"70대","17","J30","혈관운동성 및 앨러지성 비염","4077",NA
"70대","18","R53","병감 및 피로","4056",NA
"70대","19","K02","치아우식증","3942",NA
"70대","20","K04","치수 및 치근단주위조직의 질환","3396",NA
"80대","1","N40","전립선증식증","3882",NA
"80대","2","I10","본태성(원발성) 고혈압","3299",NA
"80대","3","M48","기타 척추병증","2816",NA
"80대","4","F00","알츠하이머병에서의 치매(G30.-+)","2731",NA
"80대","5","E11","인슐린-비의존 당뇨병","2326",NA
"80대","6","I20","협심증","2225",NA
"80대","7","M17","윤충증","1659",NA
"80대","8","R53","병감 및 피로","1464",NA
"80대","9","N18","만성 콩팥(신장)기능상실","1347",NA
"80대","10","I63","뇌경색증","1253",NA
"80대","11","J44","기타 만성 폐쇄성 폐질환","1177",NA
"80대","12","K05","치은염(잇몸염)및 치주 질환","1018",NA
"80대","13","H25","노인성 백내장","999",NA
"80대","14","K21","위-식도역류병","894",NA
"80대","15","C61","전립선의 악성 신생물","757",NA
"80대","16","I48","심방세동 및 조동","736",NA
"80대","17","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","713",NA
"80대","18","R41","인지기능 및 자각에 관한 기타 증상 및 징후","696",NA
"80대","19","J00","급성 코인두염 [감기]","692",NA
"80대","20","F32","우울증 에피소드","676",NA
"90세 이상","1","N40","전립선증식증","1490",NA
"90세 이상","2","I10","본태성(원발성) 고혈압","767",NA
"90세 이상","3","F00","알츠하이머병에서의 치매(G30.-+)","755",NA
"90세 이상","4","M48","기타 척추병증","694",NA
"90세 이상","5","R53","병감 및 피로","418",NA
"90세 이상","6","E11","인슐린-비의존 당뇨병","416",NA
"90세 이상","7","J44","기타 만성 폐쇄성 폐질환","406",NA
"90세 이상","8","I20","협심증","398",NA
"90세 이상","9","M17","윤충증","365",NA
"90세 이상","10","N18","만성 콩팥(신장)기능상실","356",NA
"90세 이상","11","I69","대뇌혈관 질환의 후유증","330",NA
"90세 이상","12","I63","뇌경색증","313",NA
"90세 이상","13","M19","연기, 불 및 화염에 노출","256",NA
"90세 이상","14","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","224",NA
"90세 이상","15","H25","노인성 백내장","214",NA
"90세 이상","16","K05","치은염(잇몸염)및 치주 질환","214",NA
"90세 이상","17","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","207",NA
"90세 이상","18","J00","급성 코인두염 [감기]","193",NA
"90세 이상","19","I48","심방세동 및 조동","192",NA
"90세 이상","20","M51","기타 추간판장애","177",NA
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","12928",NA
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2211",NA
"59세 이하","3","J00","급성 코인두염 [감기]","1990",NA
"59세 이하","4","E34","기타 내분비장애","1920",NA
"59세 이하","5","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1739",NA
"59세 이하","6","I10","본태성(원발성) 고혈압","1607",NA
"59세 이하","7","E11","인슐린-비의존 당뇨병","1491",NA
"59세 이하","8","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1187",NA
"59세 이하","9","J20","급성 기관지염","1021",NA
"59세 이하","10","M48","기타 척추병증","930",NA
"59세 이하","11","K05","치은염(잇몸염)및 치주 질환","888",NA
"59세 이하","12","K21","위-식도역류병","795",NA
"59세 이하","13","I20","협심증","748",NA
"59세 이하","14","G56","팔의 단일신경병증","685",NA
"59세 이하","15","M75","어깨병변","672",NA
"59세 이하","16","J30","혈관운동성 및 앨러지성 비염","656",NA
"59세 이하","17","G43","편두통","586",NA
"59세 이하","18","F32","우울증 에피소드","576",NA
"59세 이하","19","F41","기타 불안장애","573",NA
"59세 이하","20","M51","기타 추간판장애","561",NA
"60대","1","I10","본태성(원발성) 고혈압","3093",NA
"60대","2","E11","인슐린-비의존 당뇨병","2757",NA
"60대","3","N40","전립선증식증","2071",NA
"60대","4","M17","윤충증","1903",NA
"60대","5","I20","협심증","1862",NA
"60대","6","M48","기타 척추병증","1833",NA
"60대","7","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1667",NA
"60대","8","K05","치은염(잇몸염)및 치주 질환","1353",NA
"60대","9","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1176",NA
"60대","10","K21","위-식도역류병","1125",NA
"60대","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","889",NA
"60대","12","M75","어깨병변","841",NA
"60대","13","E78","지질단백질대사장애 및 기타 지질증","821",NA
"60대","14","F32","우울증 에피소드","805",NA
"60대","15","M79","달리 분류되지 않은 기타 연조직장애","781",NA
"60대","16","H25","노인성 백내장","778",NA
"60대","17","I63","뇌경색증","750",NA
"60대","18","K29","위염 및 십이지장염","739",NA
"60대","19","M51","기타 추간판장애","704",NA
"60대","20","M47","척추증","701",NA
"70대","1","N40","전립선증식증","19596",NA
"70대","2","M48","기타 척추병증","13921",NA
"70대","3","E11","인슐린-비의존 당뇨병","13763",NA
"70대","4","I10","본태성(원발성) 고혈압","12515",NA
"70대","5","I20","협심증","11886",NA
"70대","6","H25","노인성 백내장","9708",NA
"70대","7","K05","치은염(잇몸염)및 치주 질환","8906",NA
"70대","8","M17","윤충증","8513",NA
"70대","9","K21","위-식도역류병","5664",NA
"70대","10","J44","기타 만성 폐쇄성 폐질환","4488",NA
"70대","11","B35","피부사상균증","3863",NA
"70대","12","K02","치아우식증","3838",NA
"70대","13","K04","치수 및 치근단주위조직의 질환","3705",NA
"70대","14","L23","앨러지성 접촉피부염","3679",NA
"70대","15","I63","뇌경색증","3664",NA
"70대","16","J30","혈관운동성 및 앨러지성 비염","3650",NA
"70대","17","M75","어깨병변","3474",NA
"70대","18","R41","인지기능 및 자각에 관한 기타 증상 및 징후","2972",NA
"70대","19","M54","배통","2815",NA
"70대","20","R53","병감 및 피로","2679",NA
"80대","1","N40","전립선증식증","3247",NA
"80대","2","I10","본태성(원발성) 고혈압","2672",NA
"80대","3","F00","알츠하이머병에서의 치매(G30.-+)","2481",NA
"80대","4","M48","기타 척추병증","2242",NA
"80대","5","E11","인슐린-비의존 당뇨병","2230",NA
"80대","6","I20","협심증","1960",NA
"80대","7","M17","윤충증","1568",NA
"80대","8","I63","뇌경색증","1096",NA
"80대","9","H25","노인성 백내장","1057",NA
"80대","10","R53","병감 및 피로","1022",NA
"80대","11","J44","기타 만성 폐쇄성 폐질환","968",NA
"80대","12","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","966",NA
"80대","13","K21","위-식도역류병","930",NA
"80대","14","K05","치은염(잇몸염)및 치주 질환","769",NA
"80대","15","R41","인지기능 및 자각에 관한 기타 증상 및 징후","718",NA
"80대","16","I48","심방세동 및 조동","693",NA
"80대","17","C61","전립선의 악성 신생물","676",NA
"80대","18","F32","우울증 에피소드","641",NA
"80대","19","N18","만성 콩팥(신장)기능상실","595",NA
"80대","20","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","583",NA
"90세 이상","1","N40","전립선증식증","1668",NA
"90세 이상","2","I10","본태성(원발성) 고혈압","957",NA
"90세 이상","3","F00","알츠하이머병에서의 치매(G30.-+)","925",NA
"90세 이상","4","M48","기타 척추병증","563",NA
"90세 이상","5","J44","기타 만성 폐쇄성 폐질환","493",NA
"90세 이상","6","E11","인슐린-비의존 당뇨병","472",NA
"90세 이상","7","N18","만성 콩팥(신장)기능상실","426",NA
"90세 이상","8","M17","윤충증","397",NA
"90세 이상","9","I20","협심증","384",NA
"90세 이상","10","I63","뇌경색증","365",NA
"90세 이상","11","R53","병감 및 피로","354",NA
"90세 이상","12","I69","대뇌혈관 질환의 후유증","331",NA
"90세 이상","13","H25","노인성 백내장","287",NA
"90세 이상","14","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","283",NA
"90세 이상","15","C61","전립선의 악성 신생물","274",NA
"90세 이상","16","I48","심방세동 및 조동","263",NA
"90세 이상","17","K05","치은염(잇몸염)및 치주 질환","223",NA
"90세 이상","18","J18","상세불명 병원체의 폐렴","182",NA
"90세 이상","19","K59","기타 기능적 창자 장애","178",NA
"90세 이상","20","R41","인지기능 및 자각에 관한 기타 증상 및 징후","177",NA
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","15370",NA
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","7993",NA
"59세 이하","3","U11","코로나-19에 대한 예방접종의 필요","4490",NA
"59세 이하","4","E34","기타 내분비장애","2038",NA
"59세 이하","5","J00","급성 코인두염 [감기]","1660",NA
"59세 이하","6","I10","본태성(원발성) 고혈압","1608",NA
"59세 이하","7","E11","인슐린-비의존 당뇨병","1304",NA
"59세 이하","8","M48","기타 척추병증","1217",NA
"59세 이하","9","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1010",NA
"59세 이하","10","R52","달리 분류되지 않은 통증","984",NA
"59세 이하","11","K05","치은염(잇몸염)및 치주 질환","877",NA
"59세 이하","12","M75","어깨병변","833",NA
"59세 이하","13","M51","기타 추간판장애","805",NA
"59세 이하","14","I20","협심증","801",NA
"59세 이하","15","F32","우울증 에피소드","797",NA
"59세 이하","16","E23","뇌하수체의 기능저하증 및 기타 장애","725",NA
"59세 이하","17","K21","위-식도역류병","687",NA
"59세 이하","18","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","643",NA
"59세 이하","19","F41","기타 불안장애","628",NA
"59세 이하","20","R51","두통","621",NA
"60대","1","I10","본태성(원발성) 고혈압","2774",NA
"60대","2","M48","기타 척추병증","2628",NA
"60대","3","E11","인슐린-비의존 당뇨병","2366",NA
"60대","4","M17","윤충증","2206",NA
"60대","5","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2137",NA
"60대","6","N40","전립선증식증","2136",NA
"60대","7","U11","코로나-19에 대한 예방접종의 필요","1960",NA
"60대","8","I20","협심증","1748",NA
"60대","9","K05","치은염(잇몸염)및 치주 질환","1500",NA
"60대","10","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1082",NA
"60대","11","K21","위-식도역류병","1054",NA
"60대","12","M79","달리 분류되지 않은 기타 연조직장애","879",NA
"60대","13","I63","뇌경색증","871",NA
"60대","14","M75","어깨병변","820",NA
"60대","15","E78","지질단백질대사장애 및 기타 지질증","787",NA
"60대","16","F32","우울증 에피소드","778",NA
"60대","17","K29","위염 및 십이지장염","746",NA
"60대","18","H25","노인성 백내장","620",NA
"60대","19","R51","두통","616",NA
"60대","20","M51","기타 추간판장애","589",NA
"70대","1","N40","전립선증식증","18535",NA
"70대","2","M48","기타 척추병증","14940",NA
"70대","3","E11","인슐린-비의존 당뇨병","12397",NA
"70대","4","I10","본태성(원발성) 고혈압","12185",NA
"70대","5","I20","협심증","11454",NA
"70대","6","M17","윤충증","9448",NA
"70대","7","K05","치은염(잇몸염)및 치주 질환","9153",NA
"70대","8","H25","노인성 백내장","9116",NA
"70대","9","K21","위-식도역류병","5848",NA
"70대","10","I63","뇌경색증","4540",NA
"70대","11","J44","기타 만성 폐쇄성 폐질환","4238",NA
"70대","12","K04","치수 및 치근단주위조직의 질환","3875",NA
"70대","13","M75","어깨병변","3850",NA
"70대","14","B35","피부사상균증","3667",NA
"70대","15","K02","치아우식증","3576",NA
"70대","16","R41","인지기능 및 자각에 관한 기타 증상 및 징후","3520",NA
"70대","17","R63","음식 및 수액섭취에 관계된 증상 및 징후","3455",NA
"70대","18","M51","기타 추간판장애","3036",NA
"70대","19","C61","전립선의 악성 신생물","3024",NA
"70대","20","D75","혈액 및 조혈기관의 기타 질환","3021",NA
"80대","1","N40","전립선증식증","3336",NA
"80대","2","M48","기타 척추병증","3002",NA
"80대","3","I10","본태성(원발성) 고혈압","2643",NA
"80대","4","F00","알츠하이머병에서의 치매(G30.-+)","2451",NA
"80대","5","E11","인슐린-비의존 당뇨병","2116",NA
"80대","6","I20","협심증","1980",NA
"80대","7","M17","윤충증","1679",NA
"80대","8","I63","뇌경색증","1244",NA
"80대","9","K21","위-식도역류병","1187",NA
"80대","10","H25","노인성 백내장","1187",NA
"80대","11","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1128",NA
"80대","12","K05","치은염(잇몸염)및 치주 질환","1109",NA
"80대","13","R41","인지기능 및 자각에 관한 기타 증상 및 징후","949",NA
"80대","14","J44","기타 만성 폐쇄성 폐질환","908",NA
"80대","15","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","874",NA
"80대","16","C61","전립선의 악성 신생물","746",NA
"80대","17","R63","음식 및 수액섭취에 관계된 증상 및 징후","730",NA
"80대","18","N18","만성 콩팥(신장)기능상실","729",NA
"80대","19","I48","심방세동 및 조동","721",NA
"80대","20","F32","우울증 에피소드","683",NA
"90세 이상","1","N40","전립선증식증","1822",NA
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1232",NA
"90세 이상","3","I10","본태성(원발성) 고혈압","954",NA
"90세 이상","4","M48","기타 척추병증","776",NA
"90세 이상","5","I63","뇌경색증","586",NA
"90세 이상","6","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","525",NA
"90세 이상","7","I20","협심증","514",NA
"90세 이상","8","M17","윤충증","511",NA
"90세 이상","9","E11","인슐린-비의존 당뇨병","482",NA
"90세 이상","10","J44","기타 만성 폐쇄성 폐질환","452",NA
"90세 이상","11","N18","만성 콩팥(신장)기능상실","404",NA
"90세 이상","12","K05","치은염(잇몸염)및 치주 질환","340",NA
"90세 이상","13","C61","전립선의 악성 신생물","318",NA
"90세 이상","14","H25","노인성 백내장","295",NA
"90세 이상","15","K21","위-식도역류병","288",NA
"90세 이상","16","R53","병감 및 피로","270",NA
"90세 이상","17","R63","음식 및 수액섭취에 관계된 증상 및 징후","269",NA
"90세 이상","18","M51","기타 추간판장애","266",NA
"90세 이상","19","R41","인지기능 및 자각에 관한 기타 증상 및 징후","262",NA
"90세 이상","20","I48","심방세동 및 조동","252",NA
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","16491",NA
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","5679",NA
"59세 이하","3","E34","기타 내분비장애","2132",NA
"59세 이하","4","R52","달리 분류되지 않은 통증","2023",NA
"59세 이하","5","J00","급성 코인두염 [감기]","1657",NA
"59세 이하","6","I10","본태성(원발성) 고혈압","1308",NA
"59세 이하","7","E11","인슐린-비의존 당뇨병","1127",NA
"59세 이하","8","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1070",NA
"59세 이하","9","M51","기타 추간판장애","960",NA
"59세 이하","10","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","935",NA
"59세 이하","11","E23","뇌하수체의 기능저하증 및 기타 장애","887",NA
"59세 이하","12","M48","기타 척추병증","851",NA
"59세 이하","13","K05","치은염(잇몸염)및 치주 질환","757",NA
"59세 이하","14","F32","우울증 에피소드","668",NA
"59세 이하","15","N18","만성 콩팥(신장)기능상실","637",NA
"59세 이하","16","J98","기타 호흡장애","627",NA
"59세 이하","17","F41","기타 불안장애","623",NA
"59세 이하","18","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","615",NA
"59세 이하","19","R51","두통","600",NA
"59세 이하","20","K29","위염 및 십이지장염","594",NA
"60대","1","I10","본태성(원발성) 고혈압","2318",NA
"60대","2","E11","인슐린-비의존 당뇨병","2211",NA
"60대","3","M48","기타 척추병증","2033",NA
"60대","4","N40","전립선증식증","1945",NA
"60대","5","M17","윤충증","1555",NA
"60대","6","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1503",NA
"60대","7","K05","치은염(잇몸염)및 치주 질환","1393",NA
"60대","8","I20","협심증","1359",NA
"60대","9","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","860",NA
"60대","10","K21","위-식도역류병","785",NA
"60대","11","I63","뇌경색증","731",NA
"60대","12","M75","어깨병변","713",NA
"60대","13","F32","우울증 에피소드","699",NA
"60대","14","M79","달리 분류되지 않은 기타 연조직장애","678",NA
"60대","15","E78","지질단백질대사장애 및 기타 지질증","653",NA
"60대","16","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","618",NA
"60대","17","M51","기타 추간판장애","529",NA
"60대","18","G82","하반신마비 및 사지마비","511",NA
"60대","19","R51","두통","494",NA
"60대","20","D75","혈액 및 조혈기관의 기타 질환","477",NA
"70대","1","N40","전립선증식증","16831",NA
"70대","2","E11","인슐린-비의존 당뇨병","10910",NA
"70대","3","M48","기타 척추병증","10906",NA
"70대","4","I10","본태성(원발성) 고혈압","10470",NA
"70대","5","I20","협심증","9495",NA
"70대","6","M17","윤충증","8994",NA
"70대","7","K05","치은염(잇몸염)및 치주 질환","7483",NA
"70대","8","K21","위-식도역류병","4733",NA
"70대","9","H25","노인성 백내장","4671",NA
"70대","10","I63","뇌경색증","4444",NA
"70대","11","M51","기타 추간판장애","3811",NA
"70대","12","M75","어깨병변","3744",NA
"70대","13","C61","전립선의 악성 신생물","3655",NA
"70대","14","R41","인지기능 및 자각에 관한 기타 증상 및 징후","3362",NA
"70대","15","K04","치수 및 치근단주위조직의 질환","3126",NA
"70대","16","B35","피부사상균증","3113",NA
"70대","17","R63","음식 및 수액섭취에 관계된 증상 및 징후","3091",NA
"70대","18","J44","기타 만성 폐쇄성 폐질환","2978",NA
"70대","19","D75","혈액 및 조혈기관의 기타 질환","2831",NA
"70대","20","K02","치아우식증","2765",NA
"80대","1","N40","전립선증식증","3579",NA
"80대","2","M48","기타 척추병증","2532",NA
"80대","3","F00","알츠하이머병에서의 치매(G30.-+)","2458",NA
"80대","4","I10","본태성(원발성) 고혈압","2446",NA
"80대","5","E11","인슐린-비의존 당뇨병","2264",NA
"80대","6","I20","협심증","2011",NA
"80대","7","M17","윤충증","1791",NA
"80대","8","I63","뇌경색증","1308",NA
"80대","9","K05","치은염(잇몸염)및 치주 질환","1285",NA
"80대","10","K21","위-식도역류병","1052",NA
"80대","11","R41","인지기능 및 자각에 관한 기타 증상 및 징후","1032",NA
"80대","12","N18","만성 콩팥(신장)기능상실","1010",NA
"80대","13","J44","기타 만성 폐쇄성 폐질환","967",NA
"80대","14","C61","전립선의 악성 신생물","959",NA
"80대","15","H25","노인성 백내장","832",NA
"80대","16","R63","음식 및 수액섭취에 관계된 증상 및 징후","820",NA
"80대","17","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","813",NA
"80대","18","M75","어깨병변","688",NA
"80대","19","R53","병감 및 피로","667",NA
"80대","20","I48","심방세동 및 조동","626",NA
"90세 이상","1","N40","전립선증식증","1678",NA
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1630",NA
"90세 이상","3","I10","본태성(원발성) 고혈압","962",NA
"90세 이상","4","I63","뇌경색증","816",NA
"90세 이상","5","M48","기타 척추병증","634",NA
"90세 이상","6","M17","윤충증","542",NA
"90세 이상","7","E11","인슐린-비의존 당뇨병","507",NA
"90세 이상","8","I20","협심증","437",NA
"90세 이상","9","J44","기타 만성 폐쇄성 폐질환","397",NA
"90세 이상","10","R53","병감 및 피로","323",NA
"90세 이상","11","C61","전립선의 악성 신생물","322",NA
"90세 이상","12","R63","음식 및 수액섭취에 관계된 증상 및 징후","291",NA
"90세 이상","13","N18","만성 콩팥(신장)기능상실","286",NA
"90세 이상","14","I48","심방세동 및 조동","276",NA
"90세 이상","15","R41","인지기능 및 자각에 관한 기타 증상 및 징후","264",NA
"90세 이상","16","F03","상세불명의 치매","263",NA
"90세 이상","17","F51","비기질적 수면 장애","254",NA
"90세 이상","18","R42","현기 및 어지러움","214",NA
"90세 이상","19","D75","혈액 및 조혈기관의 기타 질환","209",NA
"90세 이상","20","K21","위-식도역류병","200",NA
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","14933",NA
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","4708",NA
"59세 이하","3","E34","기타 내분비장애","2223",NA
"59세 이하","4","J00","급성 코인두염 [감기]","2154",NA
"59세 이하","5","E23","뇌하수체의 기능저하증 및 기타 장애","1484",NA
"59세 이하","6","I10","본태성(원발성) 고혈압","1434",NA
"59세 이하","7","N18","만성 콩팥(신장)기능상실","1434",NA
"59세 이하","8","J98","기타 호흡장애","1275",NA
"59세 이하","9","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","1183",NA
"59세 이하","10","E11","인슐린-비의존 당뇨병","1097",NA
"59세 이하","11","F32","우울증 에피소드","758",NA
"59세 이하","12","M48","기타 척추병증","625",NA
"59세 이하","13","K05","치은염(잇몸염)및 치주 질환","599",NA
"59세 이하","14","M51","기타 추간판장애","586",NA
"59세 이하","15","N40","전립선증식증","537",NA
"59세 이하","16","M75","어깨병변","531",NA
"59세 이하","17","F41","기타 불안장애","527",NA
"59세 이하","18","K29","위염 및 십이지장염","516",NA
"59세 이하","19","I20","협심증","503",NA
"59세 이하","20","I63","뇌경색증","451",NA
"60대","1","I10","본태성(원발성) 고혈압","2257",NA
"60대","2","N40","전립선증식증","2052",NA
"60대","3","E11","인슐린-비의존 당뇨병","2003",NA
"60대","4","M48","기타 척추병증","1543",NA
"60대","5","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1542",NA
"60대","6","I20","협심증","1378",NA
"60대","7","R52","달리 분류되지 않은 통증","1371",NA
"60대","8","N18","만성 콩팥(신장)기능상실","1302",NA
"60대","9","K05","치은염(잇몸염)및 치주 질환","1244",NA
"60대","10","M17","윤충증","990",NA
"60대","11","M51","기타 추간판장애","930",NA
"60대","12","K21","위-식도역류병","762",NA
"60대","13","I63","뇌경색증","649",NA
"60대","14","M75","어깨병변","628",NA
"60대","15","F32","우울증 에피소드","624",NA
"60대","16","M79","달리 분류되지 않은 기타 연조직장애","619",NA
"60대","17","E78","지질단백질대사장애 및 기타 지질증","583",NA
"60대","18","H25","노인성 백내장","500",NA
"60대","19","G82","하반신마비 및 사지마비","487",NA
"60대","20","K29","위염 및 십이지장염","448",NA
"70대","1","N40","전립선증식증","15335",NA
"70대","2","I10","본태성(원발성) 고혈압","10215",NA
"70대","3","E11","인슐린-비의존 당뇨병","9555",NA
"70대","4","I20","협심증","9441",NA
"70대","5","M48","기타 척추병증","8768",NA
"70대","6","K05","치은염(잇몸염)및 치주 질환","6774",NA
"70대","7","M17","윤충증","6581",NA
"70대","8","H25","노인성 백내장","6179",NA
"70대","9","K21","위-식도역류병","4326",NA
"70대","10","I63","뇌경색증","4020",NA
"70대","11","N18","만성 콩팥(신장)기능상실","3914",NA
"70대","12","C61","전립선의 악성 신생물","3831",NA
"70대","13","M51","기타 추간판장애","3790",NA
"70대","14","R41","인지기능 및 자각에 관한 기타 증상 및 징후","3315",NA
"70대","15","M75","어깨병변","3128",NA
"70대","16","B35","피부사상균증","2625",NA
"70대","17","K02","치아우식증","2578",NA
"70대","18","K04","치수 및 치근단주위조직의 질환","2577",NA
"70대","19","R63","음식 및 수액섭취에 관계된 증상 및 징후","2551",NA
"70대","20","J30","혈관운동성 및 앨러지성 비염","2242",NA
"80대","1","N40","전립선증식증","5084",NA
"80대","2","I10","본태성(원발성) 고혈압","3275",NA
"80대","3","M48","기타 척추병증","3268",NA
"80대","4","I20","협심증","3025",NA
"80대","5","E11","인슐린-비의존 당뇨병","2865",NA
"80대","6","F00","알츠하이머병에서의 치매(G30.-+)","2281",NA
"80대","7","M17","윤충증","2137",NA
"80대","8","I63","뇌경색증","1961",NA
"80대","9","N18","만성 콩팥(신장)기능상실","1910",NA
"80대","10","H25","노인성 백내장","1786",NA
"80대","11","K05","치은염(잇몸염)및 치주 질환","1774",NA
"80대","12","M75","어깨병변","1469",NA
"80대","13","C61","전립선의 악성 신생물","1459",NA
"80대","14","K21","위-식도역류병","1376",NA
"80대","15","R41","인지기능 및 자각에 관한 기타 증상 및 징후","1185",NA
"80대","16","R53","병감 및 피로","1057",NA
"80대","17","R63","음식 및 수액섭취에 관계된 증상 및 징후","1022",NA
"80대","18","J30","혈관운동성 및 앨러지성 비염","851",NA
"80대","19","I48","심방세동 및 조동","809",NA
"80대","20","J44","기타 만성 폐쇄성 폐질환","789",NA
"90세 이상","1","F00","알츠하이머병에서의 치매(G30.-+)","1914",NA
"90세 이상","2","N40","전립선증식증","1383",NA
"90세 이상","3","I10","본태성(원발성) 고혈압","926",NA
"90세 이상","4","I63","뇌경색증","570",NA
"90세 이상","5","M48","기타 척추병증","555",NA
