"구분","코드","상병명","연령별.합계","X59이하","X60.64","X65.69","X70.79","X80.89","X90이상","지역","년도","연령별.59이하.","연령별.60.64.","연령별.65.69.","연령별.70.79.","연령별.80.89.","연령별.90이상.","명칭","상병코드","상병명.명칭"
"입원 실인원","E10~E14","당뇨병","248","10","11","9","183","34","1","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","F00~F99, G40~G41","정신 및 행동장애","13","3","","","5","3","2","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","A15, A16, A19","호흡기결핵","1","1","","","","","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","I05~I09, I20~I27, I30~I52","심장질환","90","2","3","5","70","8","2","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","I60~I69","대뇌혈관질환","156","8","3","4","103","29","9","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","G00~G37, G43~G83","신경계질환","65","14","5","4","36","6","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","C00~C97, D00~D09","악성신생물","412","31","19","25","252","64","21","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","E00~E07","갑상선의 장애","5","","","","5","","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","B18, B19, K70~K77","간의 질환","64","4","1","5","48","6","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","N18","만성신부전증","91","3","4","5","68","7","4","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","I10~I13, I15","고혈압","563","","","16","458","26","63","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","E10~E14","당뇨병","4824","261","122","404","3192","700","145","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","F00~F99, G40~G41","정신 및 행동장애","600","111","","","90","33","366","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","A15, A16, A19","호흡기결핵","24","24","","","","","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","I05~I09, I20~I27, I30~I52","심장질환","194","4","6","9","147","15","13","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","I60~I69","대뇌혈관질환","6764","351","16","42","4356","1865","134","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","G00~G37, G43~G83","신경계질환","4035","785","72","283","2578","317","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","C00~C97, D00~D09","악성신생물","8716","899","429","632","4504","1808","444","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","E00~E07","갑상선의 장애","98","","","","98","","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","B18, B19, K70~K77","간의 질환","782","77","7","43","609","46","","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","N18","만성신부전증","830","5","4","28","695","69","29","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I10~I13, I15","고혈압","15989","955","909","1464","10177","1810","674","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E10~E14","당뇨병","20590","1148","1139","1827","14064","2001","411","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","F00~F99, G40~G41","정신 및 행동장애","16200","1212","461","847","9412","3067","1201","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","A15, A16, A19","호흡기결핵","78","17","","9","29","18","5","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I05~I09, I20~I27, I30~I52","심장질환","7420","206","173","444","5349","935","313","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I60~I69","대뇌혈관질환","14785","405","544","967","10175","2128","566","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","G00~G37, G43~G83","신경계질환","8780","998","405","586","5772","782","237","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","C00~C97, D00~D09","악성신생물","7076","319","259","290","4346","1467","395","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E00~E07","갑상선의 장애","1810","191","123","217","1122","147","10","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","B18, B19, K70~K77","간의 질환","3580","795","259","372","1879","240","35","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","N18","만성신부전증","7234","744","481","195","4270","1071","473","대전",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I10~I13, I15","고혈압","47","4","","","26","14","3","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E10~E14","당뇨병","241","11","9","9","175","33","4","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","4","","","","4","","","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","A15, A16, A19","호흡기결핵","4","","","","","1","3","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","959","19","29","60","670","136","45","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","I60~I69","대뇌혈관질환","79","4","2","5","35","21","12","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","G00~G37, G43~G83","신경계질환","54","1","2","2","42","7","","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","C00~C97, D00~D09","악성신생물","207","7","2","9","147","29","13","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","E00~E07","갑상선의 장애","3","","","1","","1","1","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","B18, B19, K70~K77","간의 질환","19","1","1","1","7","8","1","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(실인원)","N18","만성신부전증","102","4","7","6","58","14","13","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I10~I13, I15","고혈압","1657","10","","","1033","489","125","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","E10~E14","당뇨병","11572","263","465","214","9318","961","351","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","102","","","","102","","","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","A15, A16, A19","호흡기결핵","139","","","","","27","112","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","13753","94","264","211","7801","3824","1559","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","I60~I69","대뇌혈관질환","4409","148","11","188","3079","767","216","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","G00~G37, G43~G83","신경계질환","2889","261","80","68","1788","692","","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","C00~C97, D00~D09","악성신생물","4946","248","7","314","3412","616","349","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","E00~E07","갑상선의 장애","175","","","35","","16","124","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","B18, B19, K70~K77","간의 질환","1349","49","40","12","418","796","34","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원(연인원)","N18","만성신부전증","11137","154","307","2196","5601","2119","760","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I10~I13, I15","고혈압","23194","1261","1386","2312","14212","3106","917","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E10~E14","당뇨병","24795","1416","1304","2229","16510","2767","569","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","F00~F99, G40~G41","정신 및 행동장애","15513","982","519","891","7362","4330","1429","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","A15, A16, A19","호흡기결핵","36","1","1","","19","3","12","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I05~I09, I20~I27, I30~I52","심장질환","22880","675","678","1447","16162","3235","683","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I60~I69","대뇌혈관질환","13516","340","434","968","8738","2468","568","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","G00~G37, G43~G83","신경계질환","16721","1149","646","923","12383","1308","312","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","C00~C97, D00~D09","악성신생물","9770","245","142","345","6664","1873","501","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","E00~E07","갑상선의 장애","5175","445","322","796","3106","431","75","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","B18, B19, K70~K77","간의 질환","3244","697","339","356","1695","143","14","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","N18","만성신부전증","7971","802","508","282","4973","852","554","대구",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","I10~I13, I15","고혈압",NA,"3","1","1","28","7","4","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","E10~E14","당뇨병",NA,"3","5","359","4","2","76","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","F00~F99, G40~G41","정신 및 행동장애",NA,"4","0","0","30","18","8","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","A15, A16, A19","호흡기결핵",NA,"0","1","0","6","0","0","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","I05~I09, I20~I27, I30~I52","심장질환",NA,"21","18","18","308","49","22","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","I60~I69","대뇌혈관질환",NA,"25","14","22","189","45","19","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","G00~G37, G43~G83","신경계질환",NA,"57","16","15","100","23","3","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","C00~C97, D00~D09","악성신생물",NA,"65","34","45","568","151","39","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","E00~E07","갑상선의 장애",NA,"0","0","1","5","0","0","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","B18, B19, K70~K77","간의 질환",NA,"7","5","4","23","5","1","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 실인원","N18","만성신부전증",NA,"0","3","2","19","8","4","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","I10~I13, I15","고혈압",NA,"10","13","59","164","51","21","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","E10~E14","당뇨병",NA,"7","62","21","1025","54","25","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","F00~F99, G40~G41","정신 및 행동장애",NA,"56","0","0","620","424","59","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","A15, A16, A19","호흡기결핵",NA,"0","14","0","163","0","0","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","I05~I09, I20~I27, I30~I52","심장질환",NA,"144","95","191","2350","648","523","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","I60~I69","대뇌혈관질환",NA,"954","638","858","8364","1638","495","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","G00~G37, G43~G83","신경계질환",NA,"732","384","550","5407","1216","36","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","C00~C97, D00~D09","악성신생물",NA,"1259","825","934","12151","4426","1104","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","E00~E07","갑상선의 장애",NA,"0","0","7","74","0","0","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","B18, B19, K70~K77","간의 질환",NA,"100","77","75","291","53","4","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"입원 연인원","N18","만성신부전증",NA,"0","486","27","604","631","85","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"외래","I10~I13, I15","고혈압",NA,"1552","1065","1906","11120","2074","722","광주",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
