"구분","순위","상병코드","상병명","실인원","연인원","진료비.천원.","X59이하","X60.64","X65.69","X70.79","X80.89","X90이상","지역","년도"
"입원연인원","12","C34","기관지 및 폐의 악성 신생물","113","3094","1356648","154","27","55","1444","1220","194","광주",2021
"입원연인원","13","C16","위의 악성 신생물","120","2979","1058474","153","13","410","1541","554","308","광주",2021
"입원연인원","14","C22","간 및 간내담관의 악성 신생물","96","2399","896738","56","9","78","1674","504","78","광주",2021
"입원연인원","15","C18","결장의 악성 신생물","124","2198","738263","5","248","243","1252","338","112","광주",2021
"입원연인원","16","M51","기타 추간판장애","94","2180","540846","468","26","82","1527","77","0","광주",2021
"입원연인원","17","S32","허리뼈 및 골반의 골절","126","2120","465527","89","0","121","1250","502","158","광주",2021
"입원연인원","18","K80","담석증","110","1867","847848","192","65","12","1003","494","101","광주",2021
"입원연인원","19","E11","인슐린-비의존 당뇨병","97","1836","430425","169","93","26","1458","90","0","광주",2021
"입원연인원","20","C61","전립선의 악성 신생물","137","1816","1023876","0","74","54","1436","181","71","광주",2021
"외래","1","N40","전립선증식증","26623","","1940286","655","986","1491","19536","2946","1009","광주",2021
"외래","2","M48","기타 척추병증","22672","","2634838","1481","1338","1831","15448","2137","437","광주",2021
"외래","3","I10","본태성(원발성) 고혈압","20401","","1262057","1861","1274","2089","12218","2329","630","광주",2021
"외래","4","E11","인슐린-비의존 당뇨병","18786","","1767455","1541","1175","1607","12499","1707","257","광주",2021
"외래","5","I20","협심증","16599","","1544904","996","787","1336","11647","1559","274","광주",2021
"외래","6","E30","달리 분류되지 않은 사춘기의 장애","15383","","1427994","15380","3","0","0","0","0","광주",2021
"외래","7","M17","윤충증","14420","","1434680","732","953","1661","9394","1438","242","광주",2021
"외래","8","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","13744","","1178811","8308","1186","901","2090","914","345","광주",2021
"외래","9","K05","치은염(잇몸염)및 치주 질환","13270","","2912026","1061","771","993","9364","850","231","광주",2021
"외래","10","H25","노인성 백내장","11429","","892912","77","282","682","9375","837","176","광주",2021
"외래","11","K21","위-식도역류병","9135","","922242","774","547","712","6045","918","139","광주",2021
"외래","12","I63","뇌경색증","7870","","652287","575","428","460","4953","1239","215","광주",2021
"외래","13","M75","어깨병변","6108","","455196","893","359","617","3912","294","33","광주",2021
"외래","14","J44","기타 만성 폐쇄성 폐질환","6100","","565913","162","156","242","4556","724","260","광주",2021
"외래","15","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","5830","","1675571","1169","655","397","3009","589","11","광주",2021
"외래","16","F00","알츠하이머병에서의 치매(G30.-+)","5815","","321158","21","41","124","2314","2600","715","광주",2021
"외래","17","K02","치아우식증","5031","","1148098","464","228","240","3813","260","26","광주",2021
"외래","18","B35","피부사상균증","4792","","144668","217","193","270","3755","298","59","광주",2021
"외래","19","J30","혈관운동성 및 앨러지성 비염","3895","","199356","636","107","152","2604","288","108","광주",2021
"외래","20","J00","급성 코인두염 [감기]","3692","","224050","1691","117","231","1351","253","49","광주",2021
"입원실인원","1"," U07 "," 바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19] ","801","7164",NA,"729","12","20","26","14","","대구",2021
"입원실인원","2"," I20 "," 협심증 ","617","6529",NA,"9","17","46","468","62","15","대구",2021
"입원실인원","3"," H25 "," 노년백내장 ","554","723",NA,"9","11","44","437","42","11","대구",2021
"입원실인원","4"," M48 "," 기타 척추병증 ","255","9712",NA,"","9","12","183","35","16","대구",2021
"입원실인원","5"," E11 "," 2형 당뇨병 ","232","11123",NA,"10","9","8","170","31","4","대구",2021
"입원실인원","6"," Z51 "," 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ","190","5229",NA,"18","11","22","72","48","19","대구",2021
"입원실인원","7"," M51 "," 기타 추간판장애 ","188","5806",NA,"10","7","8","149","11","3","대구",2021
"입원실인원","8"," M17 "," 무릎관절증 ","154","4883",NA,"2","7","16","118","11","","대구",2021
"입원실인원","9"," I48 "," 심방세동 및 조동 ","137","1764",NA,"1","7","7","107","12","3","대구",2021
"입원실인원","10"," Z03 "," 의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된 ","122","151",NA,"3","10","9","88","12","","대구",2021
"입원실인원","11"," S32 "," 요추 및 골반의 골절 ","115","4033",NA,"3","2","5","62","33","10","대구",2021
"입원실인원","12"," R07 "," 목구멍 및 가슴의 통증 ","111","297",NA,"11","4","13","72","8","3","대구",2021
"입원실인원","13"," N18 "," 만성 신장병 ","102","11137",NA,"4","7","6","58","14","13","대구",2021
"입원실인원","14"," C61 "," 전립선의 악성 신생물 ","97","453",NA,"2","1","5","81","6","2","대구",2021
"입원실인원","15"," M75 "," 어깨병변 ","94","2159",NA,"4","5","8","74","3","","대구",2021
"입원실인원","16"," J18 "," 상세불명 병원체의 폐렴 ","91","7103",NA,"","","1","47","20","23","대구",2021
"입원실인원","17"," K80 "," 담석증 ","75","685",NA,"7","3","5","50","8","2","대구",2021
"입원실인원","18"," I50 "," 심부전 ","67","3022",NA,"2","","1","20","32","12","대구",2021
"입원실인원","19"," D13 "," 기타 및 부위불명의 소화계통의 양성 신생물 ","65","354",NA,"1","1","7","50","6","","대구",2021
"입원실인원","20"," I63 "," 뇌경색증 ","63","1770",NA,"3","2","2","27","19","10","대구",2021
"입원연인원","1"," N18 "," 만성 신장병 ","102","11137",NA,"154","307","2196","5601","2119","760","대구",2021
"입원연인원","2"," E11 "," 2형 당뇨병 ","232","11123",NA,"250","465","180","8998","879","351","대구",2021
"입원연인원","3"," M48 "," 기타 척추병증 ","255","9712",NA,"","159","290","6464","1806","993","대구",2021
"입원연인원","4"," U07 "," 바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19] ","801","7164",NA,"6492","99","214","232","127","","대구",2021
"입원연인원","5"," J18 "," 상세불명 병원체의 폐렴 ","91","7103",NA,"","","12","1938","4432","721","대구",2021
"입원연인원","6"," I20 "," 협심증 ","617","6529",NA,"25","202","128","4636","840","698","대구",2021
"입원연인원","7"," M51 "," 기타 추간판장애 ","188","5806",NA,"75","344","329","4527","463","68","대구",2021
"입원연인원","8"," Z51 "," 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ","190","5229",NA,"483","222","533","2031","1443","517","대구",2021
"입원연인원","9"," M17 "," 무릎관절증 ","154","4883",NA,"114","194","516","3805","254","","대구",2021
"입원연인원","10"," S32 "," 요추 및 골반의 골절 ","115","4033",NA,"75","39","190","2399","1019","311","대구",2021
"입원연인원","11"," I50 "," 심부전 ","67","3022",NA,"6","","14","676","2059","267","대구",2021
"입원연인원","12"," M75 "," 어깨병변 ","94","2159",NA,"72","87","158","1732","110","","대구",2021
"입원연인원","13"," I63 "," 뇌경색증 ","63","1770",NA,"86","11","21","795","667","190","대구",2021
"입원연인원","14"," I48 "," 심방세동 및 조동 ","137","1764",NA,"7","29","61","1254","288","125","대구",2021
"입원연인원","15"," H25 "," 노년백내장 ","554","723",NA,"10","13","58","577","51","14","대구",2021
"입원연인원","16"," K80 "," 담석증 ","75","685",NA,"36","15","26","365","163","80","대구",2021
"입원연인원","17"," C61 "," 전립선의 악성 신생물 ","97","453",NA,"2","1","28","405","15","2","대구",2021
"입원연인원","18"," D13 "," 기타 및 부위불명의 소화계통의 양성 신생물 ","65","354",NA,"4","2","20","285","43","","대구",2021
"입원연인원","19"," R07 "," 목구멍 및 가슴의 통증 ","111","297",NA,"22","4","28","200","22","21","대구",2021
"입원연인원","20"," Z03 "," 의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된 ","122","151",NA,"3","10","9","115","14","","대구",2021
"외래","1"," N40 ","전립선증식증","33289","33289",NA,"490","910","1675","24995","3900","1319","대구",2021
"외래","2"," E11 ","2형 당뇨병","23418","23418",NA,"1370","1266","2132","15483","2620","547","대구",2021
"외래","3"," I10 ","본태성(원발성) 고혈압","22925","22925",NA,"1248","1386","2295","14066","3038","892","대구",2021
"외래","4"," M51 ","기타 추간판장애","14974","14974",NA,"1086","645","1065","10960","1047","171","대구",2021
"외래","5"," M48 ","기타 척추병증","13584","13584",NA,"246","411","987","9523","2039","378","대구",2021
"외래","6"," I20 ","협심증","13018","13018",NA,"321","382","907","9703","1444","261","대구",2021
"외래","7"," Z26 ","기타 단일 감염성 질환에 대한 예방접종의 필요","10966","10966",NA,"4095","1363","1245","3802","374","87","대구",2021
"외래","8"," I63 ","뇌경색증","10346","10346",NA,"225","327","567","6600","2125","502","대구",2021
"외래","9"," H25 ","노년백내장","8992","8992",NA,"84","194","628","6995","883","208","대구",2021
"외래","10"," K08 ","치아 및 지지구조의 기타 장애","8964","8964",NA,"278","373","618","6710","770","215","대구",2021
"외래","11"," N18 ","만성 신장병","7971","7971",NA,"802","508","282","4973","852","554","대구",2021
"외래","12"," K05 ","치은염 및 치주질환","6765","6765",NA,"649","416","581","4626","436","57","대구",2021
"외래","13"," M17 ","무릎관절증","6313","6313",NA,"285","304","796","4090","724","114","대구",2021
"외래","14"," K21 ","위-식도역류병","5859","5859",NA,"421","305","680","3890","450","113","대구",2021
"외래","15"," F00 ","알츠하이머병에서의 치매(G30.-+)","5426","5426",NA,"10","23","90","1966","2444","893","대구",2021
"외래","16"," M75 ","어깨병변","5248","5248",NA,"366","292","510","3834","234","12","대구",2021
"외래","17"," U07 ","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","5044","5044",NA,"3499","215","284","900","123","23","대구",2021
"외래","18"," C61 ","전립선의 악성 신생물","5011","5011",NA,"24","25","120","3515","1131","196","대구",2021
"외래","19"," B35 ","백선증","4935","4935",NA,"287","232","349","3605","386","76","대구",2021
"외래","20","I48","심방세동 및 조동","4758","4758",NA,"115","159","247","3286","793","158","대구",2021
"입원실인원","1"," U07 "," 병인이 불확실한 신종질환의 임시적 지정이나 응급사용 ","1187","10091","3292668760","765","109","80","135","78","20","대전",2021
"입원실인원","2"," M48 "," 기타 척추병증 ","695","7404","3425873675","7","8","25","566","73","16","대전",2021
"입원실인원","3"," K63 "," 장의 기타 질환 ","321","1618","821314983","6","20","14","250","30","1","대전",2021
"입원실인원","4"," E11 "," 2형 당뇨병 ","233","4531","1437897562","9","11","8","172","32","1","대전",2021
"입원실인원","5"," H25 "," 노년백내장 ","205","205","246099209","1","","18","172","8","6","대전",2021
"입원실인원","6"," M17 "," 무릎관절증 ","149","5113","2226791763","4","5","11","109","19","1","대전",2021
"입원실인원","7"," K29 "," 위염 및 십이지장염 ","144","700","340894726","6","6","8","106","13","5","대전",2021
"입원실인원","8"," M51 "," 기타 추간판장애 ","137","1906","907398229","19","7","6","92","12","1","대전",2021
"입원실인원","9"," M75 "," 어깨병변 ","129","2763","1247912220","8","9","7","96","8","1","대전",2021
"입원실인원","10"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","111","1741","753812922","2","2","3","92","10","2","대전",2021
"입원실인원","11"," C16 "," 위의 악성 신생물 ","99","1907","800793397","10","2","3","62","22","","대전",2021
"입원실인원","12"," N18 "," 만성 신장병 ","91","830","480733528","3","4","5","68","7","4","대전",2021
"입원실인원","13"," C18 "," 결장의 악성 신생물 ","83","572","315155777","3","1","2","71","4","2","대전",2021
"입원실인원","14"," M43 "," 기타 변형성 등병증 ","83","649","398346748","1","2","7","61","7","5","대전",2021
"입원실인원","15"," I20 "," 협심증 ","73","138","282914408","2","2","3","60","6","","대전",2021
"입원실인원","16"," S32 "," 요추 및 골반의 골절 ","71","1702","522070416","2","1","4","28","20","16","대전",2021
"입원실인원","17"," I63 "," 뇌경색증 ","68","1352","587029532","3","2","2","41","14","6","대전",2021
"입원실인원","18"," K59 "," 기타 기능성 장장애 ","65","510","167107906","3","1","3","45","12","1","대전",2021
"입원실인원","19"," K40 "," 사타구니탈장 ","61","317","182698384","1","3","2","42","9","4","대전",2021
"입원실인원","20"," N40 "," 전립선증식증 ","61","132","51739256","1","3","2","51","4","","대전",2021
"입원연인원","1"," U07 "," 병인이 불확실한 신종질환의 임시적 지정이나 응급사용 ","1187","10091","3292668760","6472","909","639","1093","667","311","대전",2021
"입원연인원","2"," M48 "," 기타 척추병증 ","695","7404","3425873675","59","48","161","5558","1142","436","대전",2021
"입원연인원","3"," M17 "," 무릎관절증 ","149","5113","2226791763","43","377","341","3685","579","88","대전",2021
"입원연인원","4"," E11 "," 2형 당뇨병 ","233","4531","1437897562","255","122","402","2936","671","145","대전",2021
"입원연인원","5"," I69 "," 뇌혈관질환의 후유증 ","48","3035","968582336","335","","","2009","682","9","대전",2021
"입원연인원","6"," M75 "," 어깨병변 ","129","2763","1247912220","111","276","86","2170","81","39","대전",2021
"입원연인원","7"," J18 "," 상세불명 병원체의 폐렴 ","59","2433","1504793726","60","2","44","723","985","619","대전",2021
"입원연인원","8"," I61 "," 뇌내출혈 ","17","2171","666947017","","","","1230","867","74","대전",2021
"입원연인원","9"," J98 "," 기타 호흡장애 ","28","1930","507155072","21","","2","610","825","472","대전",2021
"입원연인원","10"," C16 "," 위의 악성 신생물 ","99","1907","800793397","222","28","70","1181","406","","대전",2021
"입원연인원","11"," M51 "," 기타 추간판장애 ","137","1906","907398229","89","96","134","1303","261","23","대전",2021
"입원연인원","12"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","111","1741","753812922","3","2","111","1489","108","28","대전",2021
"입원연인원","13"," S32 "," 요추 및 골반의 골절 ","71","1702","522070416","58","2","109","538","508","487","대전",2021
"입원연인원","14"," K63 "," 장의 기타 질환 ","321","1618","821314983","12","99","60","1287","159","1","대전",2021
"입원연인원","15"," M54 "," 등통증 ","54","1582","452495272","17","","36","1297","182","50","대전",2021
"입원연인원","16"," S06 "," 두개내손상 ","24","1565","637338529","","","5","1188","352","20","대전",2021
"입원연인원","17"," G82 "," 하반신마비 및 사지마비 ","14","1524","527428609","552","","11","961","","","대전",2021
"입원연인원","18"," I63 "," 뇌경색증 ","68","1352","587029532","10","14","38","930","309","51","대전",2021
"입원연인원","19"," S72 "," 대퇴골의 골절 ","30","1338","409013466","","","54","314","661","309","대전",2021
"입원연인원","20"," R42 "," 어지럼증 및 어지럼 ","54","1287","438415414","18","","2","1195","62","10","대전",2021
"외래","1"," N40 "," 전립선증식증 ","26092","26092","1989904946","277","663","1217","19621","3120","1194","대전",2021
"외래","2"," E11 "," 2형 당뇨병 ","20033","20033","1804203900","1050","1123","1797","13721","1931","411","대전",2021
"외래","3"," I10 "," 본태성(원발성) 고혈압 ","15111","15111","804352141","900","853","1400","9582","1724","652","대전",2021
"외래","4"," U07 "," 병인이 불확실한 신종질환의 임시적 지정이나 응급사용 ","14926","14926","712473139","10929","971","915","1647","356","108","대전",2021
"외래","5"," M48 "," 기타 척추병증 ","14728","14728","2357131111","262","397","838","11155","1667","409","대전",2021
"외래","6"," K05 "," 치은염 및 치주질환 ","13706","13706","4628677308","1228","746","1232","9419","899","182","대전",2021
"외래","7"," M54 "," 등통증 ","12608","12608","1378888162","854","605","798","8802","1289","260","대전",2021
"외래","8"," K63 "," 장의 기타 질환 ","9891","9891","1515660944","607","666","903","7106","580","29","대전",2021
"외래","9"," K29 "," 위염 및 십이지장염 ","9016","9016","780481753","1467","772","853","5010","748","166","대전",2021
"외래","10"," I69 "," 뇌혈관질환의 후유증 ","8957","8957","653983313","269","213","485","6231","1414","345","대전",2021
"외래","11"," E86 "," 용적고갈 ","8608","8608","232432365","273","441","883","5546","1167","298","대전",2021
"외래","12"," M17 "," 무릎관절증 ","7941","7941","1098509481","323","373","696","5346","1039","164","대전",2021
"외래","13"," Z26 "," 기타 단일 감염성 질환에 대한 예방접종의 필요 ","7365","7365","534524151","4714","697","418","1319","179","38","대전",2021
"외래","14"," N18 "," 만성 신장병 ","7234","7234","1106491836","744","481","195","4270","1071","473","대전",2021
"외래","15"," Z29 "," 기타 예방적 조치의 필요 ","6717","6717","431767624","3784","303","237","2068","261","64","대전",2021
"외래","16"," F03 "," 상세불명의 치매 ","6466","6466","546101493","","59","215","3497","1801","894","대전",2021
"외래","17"," L29 "," 가려움 ","5920","5920","187243188","249","160","295","4428","593","195","대전",2021
"외래","18"," M75 "," 어깨병변 ","5311","5311","833066549","479","419","485","3526","333","69","대전",2021
"외래","19"," R42 "," 어지럼증 및 어지럼 ","4951","4951","578007255","194","216","332","3227","701","281","대전",2021
"외래","20","J44","기타 만성 폐색성 폐질환","4729","4729","393856559","23","92","144","3666","576","228","대전",2021
"입원실인원","1"," I20 "," 협심증 ","759","3598","3223656","10","19","43","633","46","8","부산",2021
"입원실인원","2"," U07 "," 코로나바이러스 질환 2019 ","473","3593","1132642","276","72","62","47","15","1","부산",2021
"입원실인원","3"," M48 "," 기타 척추병증 ","362","18220","4465311","9","8","17","298","29","1","부산",2021
"입원실인원","4"," I50 "," 심부전 ","189","2896","921568","2","1","8","112","53","13","부산",2021
"입원실인원","5"," M51 "," 기타 추간판장애 ","175","8332","2100664","14","4","10","143","4","0","부산",2021
"입원실인원","6"," N40 "," 전립선증식증 ","151","1178","263083","0","0","11","131","8","1","부산",2021
"입원실인원","7"," M17 "," 무릎관절증 ","142","6078","1832364","3","6","16","108","9","0","부산",2021
"입원실인원","8"," K29 "," 위염 및 십이지장염 ","111","2002","473587","7","3","3","80","17","1","부산",2021
"입원실인원","9"," J18 "," 상세불명 병원체의 폐렴 ","108","3336","1138563","1","1","2","63","28","13","부산",2021
"입원실인원","10"," K63 "," 장의 기타 질환 ","107","650","282629","2","2","4","93","6","0","부산",2021
"입원실인원","11"," E11 "," 2형 당뇨병 ","105","3531","634669","5","1","3","89","7","0","부산",2021
"입원실인원","12"," H25 "," 노년백내장 ","94","250","116370","0","1","3","85","5","0","부산",2021
"입원실인원","13"," M75 "," 어깨병변 ","91","4463","1170617","4","5","5","75","2","0","부산",2021
"입원실인원","14"," C16 "," 위의 악성 신생물 ","86","2299","641863","5","3","6","63","7","2","부산",2021
"입원실인원","15"," S46 "," 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ","82","4194","1363897","4","6","7","65","0","0","부산",2021
"입원실인원","16"," I63 "," 뇌경색증 ","74","3652","778332","4","0","0","60","8","2","부산",2021
"입원실인원","17"," C34 "," 기관지 및 폐의 악성 신생물 ","73","2173","859974","4","6","4","37","21","1","부산",2021
"입원실인원","18"," I73 "," 기타 말초혈관질환 ","66","690","534009","0","0","0","58","8","0","부산",2021
"입원실인원","19"," K80 "," 담석증 ","65","686","442942","7","4","4","45","3","2","부산",2021
"입원실인원","20"," C22 "," 간 및 간내 담관의 악성 신생물 ","64","2112","673988","4","2","0","48","10","0","부산",2021
"입원연인원","1"," M48 "," 기타 척추병증 ","362","18220","4465311","623","219","776","15301","1240","61","부산",2021
"입원연인원","2"," M51 "," 기타 추간판장애 ","175","8332","2100664","466","46","353","7187","280","0","부산",2021
"입원연인원","3"," M17 "," 무릎관절증 ","142","6078","1832364","101","177","559","4809","432","0","부산",2021
"입원연인원","4"," M75 "," 어깨병변 ","91","4463","1170617","83","146","147","3955","132","0","부산",2021
"입원연인원","5"," S46 "," 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ","82","4194","1363897","130","331","378","3355","0","0","부산",2021
"입원연인원","6"," I63 "," 뇌경색증 ","74","3652","778332","233","0","0","2920","469","30","부산",2021
"입원연인원","7"," I20 "," 협심증 ","759","3598","3223656","31","77","181","2986","270","53","부산",2021
"입원연인원","8"," U07 "," 코로나바이러스 질환 2019 ","473","3593","1132642","2048","540","466","367","162","10","부산",2021
"입원연인원","9"," E11 "," 2형 당뇨병 ","105","3531","634669","213","5","74","3002","237","0","부산",2021
"입원연인원","10"," J18 "," 상세불명 병원체의 폐렴 ","108","3336","1138563","103","15","16","2024","682","496","부산",2021
"입원연인원","11"," I50 "," 심부전 ","189","2896","921568","13","12","83","1930","711","147","부산",2021
"입원연인원","12"," I69 "," 뇌혈관질환의 후유증 ","50","2759","600973","220","0","290","2148","10","91","부산",2021
"입원연인원","13"," M50 "," 경추간판장애 ","49","2600","731100","99","139","410","1793","93","66","부산",2021
"입원연인원","14"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","46","2589","544039","184","0","49","2333","23","0","부산",2021
"입원연인원","15"," M43 "," 기타 변형성 등병증 ","38","2384","618731","0","146","331","1880","27","0","부산",2021
"입원연인원","16"," C16 "," 위의 악성 신생물 ","86","2299","641863","75","21","146","1948","76","33","부산",2021
"입원연인원","17"," C34 "," 기관지 및 폐의 악성 신생물 ","73","2173","859974","52","145","107","1318","543","8","부산",2021
"입원연인원","18"," C22 "," 간 및 간내 담관의 악성 신생물 ","64","2112","673988","62","7","0","1677","366","0","부산",2021
"입원연인원","19"," S32 "," 요추 및 골반의 골절 ","60","2040","432912","102","13","35","963","727","200","부산",2021
"입원연인원","20"," G81 "," 편마비 ","46","2028","431461","60","0","182","1636","150","0","부산",2021
"외래","1","N40","전립선증식증","38146","38146","2862117","418","574","1723","30461","3974","996","부산",2021
"외래","2","E11","2형 당뇨병","25010","25010","2335613","1058","1016","2026","18205","2381","324","부산",2021
"외래","3","U07","코로나바이러스 질환 2019","22080","22080","1626120","15801","1290","1489","3128","332","40","부산",2021
"외래","4","I10","본태성(원발성) 고혈압","19397","19397","1222231","794","739","1479","13795","2158","432","부산",2021
"외래","5","M48","기타 척추병증","17974","17974","3357376","360","616","934","14226","1641","197","부산",2021
"외래","6","M17","무릎관절증","17668","17668","2027268","627","757","1967","12373","1753","191","부산",2021
"외래","7","I20","협심증","15411","15411","1605526","224","392","907","12155","1479","254","부산",2021
"외래","8","N18","만성 신장병","14458","14458","3125036","709","558","880","10203","1667","441","부산",2021
"외래","9","K05","치은염 및 치주질환","12109","12109","1750215","643","427","954","9146","838","101","부산",2021
"외래","10","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","11370","11370","778061","6328","849","850","2987","294","62","부산",2021
"외래","11","L29","가려움","10275","10275","337624","387","273","460","8055","933","167","부산",2021
"외래","12","K02","치아우식","9685","9685","1586334","661","297","727","7370","569","61","부산",2021
"외래","13","M54","등통증","9634","9634","571500","373","219","666","7716","646","14","부산",2021
"외래","14","L30","기타 피부염","9239","9239","316325","518","268","630","6786","903","134","부산",2021
"외래","15","K08","치아 및 지지구조의 기타 장애","8358","8358","1737556","299","262","706","6401","571","119","부산",2021
"외래","16","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","8154","8154","428460","5735","409","516","1348","128","18","부산",2021
"외래","17","I63","뇌경색증","7725","7725","869314","308","128","257","5977","847","208","부산",2021
"외래","18","H25","노년백내장","7365","7365","597724","29","87","347","6052","736","114","부산",2021
"외래","19","H04","눈물계통의 장애","6739","6739","473048","310","248","529","4962","540","150","부산",2021
"외래","20","H35","기타 망막장애","6518","6518","925464","111","80","292","5362","543","130","부산",2021
"입원(실인원)","1",NA," 노인성 백내장 ","264","448","544945","4","12","18","208","20","2","인천",2021
"입원(실인원)","2",NA," 인슐린-비의존 당뇨병 ","184","2993","723447","15","5","18","103","33","10","인천",2021
"입원(실인원)","3",NA," 기타 척추병증 ","138","1946","718612","4","2","9","90","27","6","인천",2021
"입원(실인원)","4",NA," 달리 분류되지 않은 방광의 신경근육기능장애 ","93","2443","524355","0","0","0","59","21","13","인천",2021
"입원(실인원)","5",NA," 전립선증식증 ","79","1317","306321","1","1","3","65","4","5","인천",2021
"입원(실인원)","6",NA," 치아 및 지지구조의 기타 장애 ","79","154","197132","3","2","3","70","1","0","인천",2021
"입원(실인원)","7",NA," 윤충증 ","64","2292","910136","2","3","3","48","7","1","인천",2021
"입원(실인원)","8",NA," 기타 만성 폐쇄성 폐질환 ","53","1424","345166","4","0","6","34","2","7","인천",2021
"입원(실인원)","9",NA," 어깨병변 ","46","903","370505","1","3","8","31","3","0","인천",2021
"입원(실인원)","10",NA," 기타관절증 ","46","1587","515792","1","8","4","25","8","0","인천",2021
"입원(실인원)","11",NA," 급성 세기관지염 ","41","526","146585","1","0","0","18","19","3","인천",2021
"입원(실인원)","12",NA," 본태성(일차성)고혈압 ","38","772","161420","2","0","1","7","12","16","인천",2021
"입원(실인원)","13",NA," 방광의 악성 신생물 ","36","767","187054","1","0","0","13","20","2","인천",2021
"입원(실인원)","14",NA," 전립선의 악성 신생물 ","30","1013","240299","0","0","0","16","11","3","인천",2021
"입원(실인원)","15",NA," 달리 분류되지 않은 처치후 근육골격 장애 ","27","502","135751","2","0","4","20","1","0","인천",2021
"입원(실인원)","16",NA," 천식 ","23","549","132476","0","0","1","19","0","3","인천",2021
