년도,지역,구분,순위,상병코드,상병명,실인원,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비(천원),진료과
2023,서울,입원(실인원),1.0, H25 ," Senile incipient cataract, ",1356.0,4893.0,15.0,44.0,62.0,920,282.0,33.0,,안과
2023,서울,입원(실인원),2.0, Z51 , therapeutic radiology ,864.0,10290.0,34.0,38.0,79.0,512,142.0,59.0,,내과
2023,서울,입원(실인원),3.0, I25 , Atherosclerotic cardiovascular disease ,534.0,4803.0,18.0,10.0,20.0,381,92.0,13.0,,내과
2023,서울,입원(실인원),4.0, M17 ," Osteoarthritis of patellofemoral joint, both ",452.0,10614.0,15.0,10.0,35.0,316,74.0,2.0,,정형외과
2023,서울,입원(실인원),5.0, C34 , lung cancer of hilus ,437.0,7619.0,11.0,5.0,12.0,319,68.0,22.0,,흉부외과
2023,서울,입원(실인원),6.0, C61 , Acinar Prostate Adenocarcinoma ,393.0,5286.0,1.0,4.0,12.0,324,37.0,15.0,,비뇨의학과
2023,서울,입원(실인원),7.0, M48 , spinal stenosis ,388.0,5351.0,8.0,9.0,19.0,267,75.0,10.0,,정형외과
2023,서울,입원(실인원),8.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,328.0,5294.0,9.0,14.0,12.0,193,67.0,33.0,,내과
2023,서울,입원(실인원),9.0, Z04 , Examination and observation following work accident ,326.0,1003.0,,,,259,66.0,1.0,,가정의학과
2023,서울,입원(실인원),10.0, J18 , bronchopneumonia ,303.0,3926.0,4.0,2.0,6.0,135,80.0,76.0,,내과
2023,서울,입원(실인원),11.0, K80 , gallstone(impacted) of cystic duct ,296.0,2981.0,12.0,11.0,15.0,163,68.0,27.0,,내과
2023,서울,입원(실인원),12.0, I50 , Right heart failure ,277.0,5535.0,4.0,3.0,5.0,115,92.0,58.0,,내과
2023,서울,입원(실인원),13.0, M75 , periarthritis of shoulder ,254.0,3477.0,14.0,12.0,14.0,200,14.0,,,정형외과
2023,서울,입원(실인원),14.0, I65 , Occlusion and stenosis of vertebral artery ,233.0,1441.0,1.0,1.0,4.0,183,42.0,2.0,,내과
2023,서울,입원(실인원),15.0, E11 , non-insulin-dependent diabetes mellitus with coma ,226.0,4152.0,12.0,5.0,3.0,158,34.0,14.0,,내과
2023,서울,입원(실인원),16.0, K40 ," Bilateral inguinal hernia, with obstruction, without gangrene ",225.0,793.0,4.0,4.0,6.0,149,50.0,12.0,,내과
2023,서울,입원(실인원),17.0, N18 ," Chronic kidney disease, stage 1 ",203.0,3431.0,13.0,7.0,3.0,122,43.0,15.0,,내과
2023,서울,입원(실인원),18.0, I20 , Angina pectoris ,193.0,1146.0,7.0,2.0,9.0,115,58.0,2.0,,내과
2023,서울,입원(실인원),19.0, C22 , Ruptured hepatocellular carcinoma ,186.0,2134.0,6.0,5.0,5.0,118,40.0,12.0,,"내과, 외과"
2023,서울,입원(실인원),20.0, C16 , Malignant neoplasm of cardia of stomach ,183.0,3423.0,7.0,2.0,4.0,111,48.0,11.0,,"내과, 외과"
2023,서울,입원(연인원),1.0, G81 , flaccid hemiplegia ,164.0,16944.0,1985.0,89.0,1499.0,8214,3792.0,1365.0,,신경과
2023,서울,입원(연인원),2.0, M17 ," Osteoarthritis of patellofemoral joint, both ",452.0,10614.0,320.0,256.0,808.0,7434,1757.0,39.0,,정형외과
2023,서울,입원(연인원),3.0, G82 , flaccid paraplegia ,63.0,10571.0,2155.0,435.0,497.0,5324,1509.0,651.0,,신경과
2023,서울,입원(연인원),4.0, Z51 , therapeutic radiology ,864.0,10290.0,317.0,846.0,879.0,4611,2183.0,1454.0,,내과
2023,서울,입원(연인원),5.0, F20 , Paranoid schizophrenia ,83.0,8577.0,3869.0,805.0,1668.0,1818,417.0,,,정신건강의학과
2023,서울,입원(연인원),6.0, C34 , lung cancer of hilus ,437.0,7619.0,146.0,169.0,150.0,5665,1224.0,265.0,,흉부외과
2023,서울,입원(연인원),7.0, I50 , Right heart failure ,277.0,5535.0,98.0,31.0,87.0,2198,1962.0,1159.0,,내과
2023,서울,입원(연인원),8.0, M48 , spinal stenosis ,388.0,5351.0,78.0,148.0,296.0,3643,1037.0,149.0,,정형외과
2023,서울,입원(연인원),9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,328.0,5294.0,206.0,230.0,147.0,3211,1011.0,489.0,,내과
2023,서울,입원(연인원),10.0, C61 , Acinar Prostate Adenocarcinoma ,393.0,5286.0,11.0,39.0,119.0,4486,407.0,224.0,,비뇨의학과
2023,서울,입원(연인원),11.0, H25 ," Senile incipient cataract, ",1356.0,4893.0,50.0,159.0,223.0,3330,1020.0,111.0,,안과
2023,서울,입원(연인원),12.0, I25 , Atherosclerotic cardiovascular disease ,534.0,4803.0,96.0,39.0,191.0,3465,839.0,173.0,,내과
2023,서울,입원(연인원),13.0, S72 , femur neck fracture Garden type III ,124.0,4372.0,177.0,30.0,139.0,1628,1470.0,928.0,,외과
2023,서울,입원(연인원),14.0, E11 , non-insulin-dependent diabetes mellitus with coma ,226.0,4152.0,259.0,173.0,36.0,2649,828.0,207.0,,내과
2023,서울,입원(연인원),15.0, J18 , bronchopneumonia ,303.0,3926.0,30.0,36.0,91.0,1556,1071.0,1142.0,,내과
2023,서울,입원(연인원),16.0, S06 ," Cerebral concussion, without open intracranial wound ",76.0,3714.0,,36.0,50.0,2445,836.0,347.0,,외과
2023,서울,입원(연인원),17.0, N17 , acute tubular necrosis in septisemia ,139.0,3498.0,147.0,51.0,,1067,1441.0,792.0,,내과
2023,서울,입원(연인원),18.0, M75 , periarthritis of shoulder ,254.0,3477.0,174.0,136.0,245.0,2683,239.0,,,정형외과
2023,서울,입원(연인원),19.0, N18 ," Chronic kidney disease, stage 1 ",203.0,3431.0,190.0,112.0,170.0,2041,789.0,129.0,,내과
2023,서울,입원(연인원),20.0, C16 , Malignant neoplasm of cardia of stomach ,183.0,3423.0,78.0,53.0,36.0,1801,1065.0,390.0,,"내과, 외과"
2023,서울,외래,1.0, N40 , benign prostate of hyperplasia(BPH) ,57608.0,57608.0,541.0,1059.0,2316.0,39889,10595.0,3208.0,,비뇨의학과
2023,서울,외래,2.0, E11 , non-insulin-dependent diabetes mellitus with coma ,54235.0,54235.0,2549.0,2002.0,3703.0,35385,9034.0,1562.0,,내과
2023,서울,외래,3.0, K05 , Acute gingivitis ,48156.0,48156.0,3411.0,2275.0,4527.0,30325,6657.0,961.0,,내과
2023,서울,외래,4.0, K08 , Other disorders of teeth and supporting  structures ,48154.0,48154.0,2556.0,1458.0,3794.0,31979,7094.0,1273.0,,내과
2023,서울,외래,5.0, M51 , Lumbar and other intervertebral disc disorders with myelopathy ,31729.0,31729.0,1759.0,600.0,1525.0,20442,6427.0,976.0,,정형외과
2023,서울,외래,6.0, I20 , Angina pectoris ,29410.0,29410.0,396.0,469.0,1108.0,20181,5869.0,1387.0,,내과
2023,서울,외래,7.0, L30 , Nummular dermatitis ,26145.0,26145.0,1299.0,704.0,1139.0,17909,4363.0,731.0,,피부과
2023,서울,외래,8.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,22266.0,22266.0,304.0,311.0,816.0,14263,4778.0,1794.0,,내과
2023,서울,외래,9.0, N18 ," Chronic kidney disease, stage 1 ",22051.0,22051.0,1069.0,540.0,686.0,13008,5221.0,1527.0,,내과
2023,서울,외래,10.0, I10 , essential hypertension ,21659.0,21659.0,956.0,785.0,1678.0,12978,4031.0,1231.0,,내과
2023,서울,외래,11.0, R42 , psychophysiologic dizziness ,18831.0,18831.0,664.0,556.0,1083.0,11565,3791.0,1172.0,,정신건강의학과
2023,서울,외래,12.0, C61 , Acinar Prostate Adenocarcinoma ,18612.0,18612.0,40.0,76.0,340.0,13403,3943.0,810.0,,비뇨의학과
2023,서울,외래,13.0, G81 , flaccid hemiplegia ,18509.0,18509.0,2272.0,663.0,1184.0,11179,2656.0,555.0,,신경과
2023,서울,외래,14.0, H35 , radiation retinopathy ,17676.0,17676.0,131.0,223.0,593.0,11956,3708.0,1065.0,,안과
2023,서울,외래,15.0, K02 , Caries limited to enamel ,16450.0,16450.0,1960.0,648.0,1205.0,10014,2280.0,343.0,,내과
2023,서울,외래,16.0, I11 , Hypertensive heart disease ,15714.0,15714.0,736.0,637.0,1142.0,10142,2508.0,549.0,,내과
2023,서울,외래,17.0, K04 , suppurative pulpitis ,15547.0,15547.0,1150.0,574.0,1090.0,10406,2131.0,196.0,,내과
2023,서울,외래,18.0, R52 , acute pain ,15334.0,15334.0,2218.0,1094.0,770.0,8934,1697.0,621.0,,내과
2023,서울,외래,19.0, M75 , periarthritis of shoulder ,14496.0,14496.0,904.0,694.0,1177.0,9335,2179.0,207.0,,정형외과
2023,서울,외래,20.0,H42,"Glaucoma in endocrine, nutritional and metabolic diseases",13076.0,13076.0,291.0,308.0,696.0,8297,2799.0,685.0,,안과
2021,부산,입원(실인원),1.0, I20 , 협심증 ,759.0,3598.0,10.0,19.0,43.0,633,46.0,8.0,3223656.0,내과
2021,부산,입원(실인원),2.0, U07 , 코로나바이러스 질환 2019 ,473.0,3593.0,276.0,72.0,62.0,47,15.0,1.0,1132642.0,내과
2021,부산,입원(실인원),3.0, M48 , 기타 척추병증 ,362.0,18220.0,9.0,8.0,17.0,298,29.0,1.0,4465311.0,정형외과
2021,부산,입원(실인원),4.0, I50 , 심부전 ,189.0,2896.0,2.0,1.0,8.0,112,53.0,13.0,921568.0,내과
2021,부산,입원(실인원),5.0, M51 , 기타 추간판장애 ,175.0,8332.0,14.0,4.0,10.0,143,4.0,0.0,2100664.0,정형외과
2021,부산,입원(실인원),6.0, N40 , 전립선증식증 ,151.0,1178.0,0.0,0.0,11.0,131,8.0,1.0,263083.0,비뇨의학과
2021,부산,입원(실인원),7.0, M17 , 무릎관절증 ,142.0,6078.0,3.0,6.0,16.0,108,9.0,0.0,1832364.0,정형외과
2021,부산,입원(실인원),8.0, K29 , 위염 및 십이지장염 ,111.0,2002.0,7.0,3.0,3.0,80,17.0,1.0,473587.0,내과
