"구분","분류","명칭","코드","비고","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 측두골 Temporal Bone 조영제 주입 전후 촬영료[테슬라3.0이상+품질관리적합]","RMHI20603","","613855","","","","Y","조영제포함(47,275원)"
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 측두골 Temporal Bone 일반 촬영료[테슬라3.0이상+품질관리적합]","RMHI10603","","426300","","","","N",""
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 측두하악관절 TM-Joint 조영제 주입 전후 촬영료[테슬라3.0이상+품질관리적합]","RMHI20703","","613855","","","","Y","조영제포함(47,275원)"
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 측두하악관절 TM-Joint 일반 촬영료[테슬라3.0이상+품질관리적합]","RMHI10703","","426300","","","","",""
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 안와 Orbit 조영제 주입 전후 촬영료[테슬라3.0이상+품질관리적합]","RMHI20503","","613855","","","","Y","조영제포함(47,275원)"
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 안와 Orbit 일반 촬영료[테슬라3.0이상+품질관리적합]","RMHI10503","","426300","","","","N",""
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 경부 Neck 조영제 주입 전후 촬영료[테슬라3.0이상+품질관리적합]","RMHI20803","","613855","","","","N","조영제포함(47,275원)"
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 경부 Neck 일반 촬영료[테슬라3.0이상+품질관리적합]","RMHI10803","","426300","","","","N",""
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 부비동 PNS　촬영료 [테슬라3.0이상+품질관리적합]","RMHI10403","","426300","","","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/흉부/심장","MRI 심장 Heart　일반촬영","RMHI124","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","601150","601150","636910","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/흉부/심장","MRI 심장 Heart 조영제사용","RMHI224","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","827795","827795","874295","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/흉부/흉부","MRI 흉부 Chest 일반촬영","RMHI125","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","581965","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/흉부/흉부","MRI 흉부 Chest 조영제사용","RMHI225","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581965","581965","613775","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/흉부/유방","MRI 유방 Breast 일반촬영","RMHI126","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/흉부/유방","MRI 유방 Breast 조영제사용","RMHI226","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581965","581965","613775","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/복부","MRI 복부 Abdomen 일반촬영","RMHI127","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/복부","MRI 복부 Abdomen 조영제사용","RMHI227","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","665745","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/골반","MRI 골반 Pelvis 일반촬영","RMHI128","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/골반","MRI 골반 Pelvis 조영제사용","RMHI228","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/췌장","MRI 췌장 Pancreas 일반촬영","RMHI129","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/췌장","MRI 췌장 Pancreas 조영제사용","RMHI229","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y","조영제-프로핸스주프리필드시린지(가도테리돌)"
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/췌장","MRI 췌장 Pancreas 조영제사용","RMHI229","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","665745","665745","697505","","Y","조영제-프리모비스트10ml"
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/신장 및 부신","MRI 신장 및 부신 Kidney and Adrenal 일반촬영","RMHI130","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/신장 및 부신","MRI 신장 및 부신 Kidney and Adrenal 조영제사용","RMHI130","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/음낭 및 음경","MRI 음낭 및 음경 Scrotum and Penile 일반촬영","RMHI131","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/음낭 및 음경","MRI 음낭 및 음경 Scrotum and Penile 조영제사용","RMHI231","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/간","MRI 간 Liver 일반촬영","RMHI132","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/간","MRI 간 Liver 조영제사용","RMHI232","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y","조영제-프로핸스주프리필드시린지(가도테리돌)"
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/간","MRI 간 Liver 조영제사용","RMHI232","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","665745","665745","697505","","Y","조영제-프리모비스트10ml"
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/담췌관","MRI 담췌관 Cholangiogram 일반촬영","RMHI133","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/담췌관","MRI 담췌관 Cholangiogram 조영제사용","RMHI233","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/전립선","MRI 전립선 Prostate 일반촬영","RMHI134","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","402430","402430","426300","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/복부/전립선","MRI 전립선 Prostate 조영제사용","RMHI234","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","581545","581545","613305","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/혈관 [동맥 또는 정맥]-흉부혈관","MRI 흉부혈관 Thoracic MRA 일반촬영","RMHI137","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","404380","404380","428330","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/혈관 [동맥 또는 정맥]-흉부혈관","MRI 흉부혈관 Thoracic MRA 조영제사용","RMHI237","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","584875","584875","616775","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/혈관 [동맥 또는 정맥]-복부혈관","MRI 복부혈관 Abdominal MRA 일반촬영","RMHI138","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","404380","404380","428330","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/혈관 [동맥 또는 정맥]-복부혈관","MRI 복부혈관 Abdominal MRA 조영제사용","RMHI238","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","584875","584875","616775","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/혈관 [동맥 또는 정맥]-심혈관","MRI 심혈관 Cardiovascular　MRA 일반촬영","RMHI240","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","404380","404380","428330","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/혈관 [동맥 또는 정맥]-심혈관","MRI 심혈관 Cardiovascular　MRA 조영제사용","RMHI240","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","584875","584875","616775","","Y",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/전신","MRI 전신 Whole body 일반촬영","RMHI141","일반촬영 1.5테슬라,3테슬라 장비 구분 (판독료포함)","700040","700040","741720","","N",""
"[행위]자기공명영상진단료(MRI)","MRI진단료/기본검사/전신","MRI 전신 Whole body 조영제사용","RMHI241","조영제사용 1.5테슬라,3.0테슬라 장비구분 (판독료포함)","979625","979625","1035215","","Y",""
"치료재료","치과임플란트","AnyOne internal Fixture","L7502018","","77995","","","","",""
"치료재료","치과임플란트","AnyOne internal Fixture","L7502019","","77995","","","","",""
"치료재료","치과임플란트","Ez post(Ezplusl,internal)지대주(메가젠)","L7552040","","41085","","","","",""
"치료재료","치과임플란트","Ez post(Exfeel,external)지대주(메가젠)","L7552035","","42749","","","","",""
"치료재료","치과임플란트","Angled Abutment지대주(메가젠)","L7553021","","49548","","","","",""
"치료재료","치과임플란트","Ez plus　Fixture고정체(메가젠)","L7501037","","57274","","","","",""
"치료재료","치과임플란트","Exfeel External Fixture고정체(메가젠)","L7501035","","57274","","","","",""
"치료재료","치과임플란트","Angnlated Abutment(int, Ext, Sub)지대주(덴티스)","L7553013","","47286","","","","",""
"치료재료","치과임플란트","Cemented Abutment(int, Ext, Sub)지대주(덴티스)","L7552029","","34262","","","","",""
"치료재료","치과임플란트","ONEQ REGULAR(SUB)-SLA 고정체(덴티스)","L7502010","","74202","","","","",""
"치료재료","치과임플란트","Augulated Abutment(지대주)","L7553013","","47286","","","","",""
"치료재료","치과임플란트","Cemented Abutment(지대주)","L7552029","","34262","","","","",""
"치료재료","치과임플란트","Ez plus　internal fixture(EZ) ( 고정체)","L7501037","","57274","","","","",""
"치료재료","치과임플란트","EXFEEL External Fixture( 고정체)","L7501035","","57274","","","","",""
"치료재료","치과임플란트","본탁스크류 10s","","","16735","","","","",""
"치료재료","치과임플란트","colla-tape","","","21902","","","","",""
"치료재료","기타","Bed Pan (대변기)","","","1366","","","","",""
"치료재료","경막외강 신경박리술 및 감압 신경성형술용","BIOVISION","BJ4804XU","","700000","","","","",""
"[행위]검사료","신경계기능검사","코골이검사(간이수면다원검사)","SF6290A","","100000","","","","","SF6290A (이동형)"
"[행위]정신요법료","정신요법료","바이오피드백","NZ008","","60000","","","","","GZ00800"
"치료재료","혈관중재적시술용","GuideLiner","BJ6090VE","","615000","","","","N",""
"치료재료","내시경적경막외강신경근성형술","비디오가이드카테터","BJ4802ZO","","1470000","","","","N",""
"[행위]처치 및 수술료 등","신경","경피적 경막외강 신경성형술","SZ634","","500000","","","","","재료비용 별도"
"[행위]처치 및 수술료 등","신경","내시경적 경막외강 신경근성형술","SZ631","","500000","","","","","재료비용별도"
"[행위]초음파 검사료","초음파검사료","초음파,근골격계,복잡","SZ09302","초음파검사료","80000","","","","",""
"[행위]초음파 검사료","초음파검사료","초음파,근골격계,간단","SZ09301","초음파검사료","50000","","","","",""
"[행위]초음파 검사료","초음파검사료","초음파 심장 [소아]","SZ08001","초음파 심장 [소아]","100000","","","","",""
"[행위]이학요법료(물리치료료)","물리치료료","증식치료(척추부위)","MY143","증식치료 [척추부위]","30000","","","","",""
"[행위]이학요법료(물리치료료)","물리치료료","증식치료(사지관절부위)","MY142","증식치료 [사지관절부위]","20000","","","","",""
"[행위]이학요법료(물리치료료)","물리치료료","도수치료 [1일당]","MX122","도수치료 [1일당]","40000","","","","",""
"[행위]검사료","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영OCT [편측]","50000","","","","","급여인정기준외 실시한경우 비급여"
"치료재료","기타","Cast Shoes","","대,중,소","1252","1171","1252","","",""
"[행위]이학요법료(물리치료료)","이학요법료","비침습적 무통증 신호요법","MZ012","비침습적 무통증 신호요법","100000","","","","","FZ02200"
"[행위]이학요법료(물리치료료)","이학요법료","신장분사치료[1일당]","MZ007","","18000","","","","","FZ02100"
"[행위]검사료","내시경 초음파","내시경 초음파를 이용한 세침 흡인 세포 검사","EZ992","내시경 초음파","800000","","","","",""
"치료재료","기타","Soft Collar Brace","","대,중,소","2087","1950","2087","","",""
"치료재료","배액관 고정용판","MULTIFIX L-1","BJ1009GA","","1950","","","","",""
"치료재료","압박고정용 (탄력반창고)","ELATEX","BK7005AR","","18630","","","","",""
"치료재료","불투명.투명멸균드레싱 재료(단순, 건조드레싱류)","Soft Cloth Tape 1m (10/1가격)","BM5101LX","","4635","","","","",""
"치료재료","배액관 고정용판","DRAIN KEEPER","BJ1001BL","","3520","","","","",""
"치료재료","기타","Velpo Band","","","3221","","","","",""
"치료재료","기타","Urine Bottle(소변기)","","","1170","","","","",""
"치료재료","기타","Crutch","","L.M,XL","8510","","","","",""
"치료재료","기타","Arm Sling","","","667","","","","",""
"치료재료","혈관중재적시술후지혈용","QUIKCLOT BANDAGE","BJ7001CH","","90000","","","N","N",""
"[행위]검사료","사람유전자 분자병리검사","사람유전자 분자병리검사-Russell-silver syndrome","LWCZ581","","355918","","","","",""
"제증명수수료","","소견서(노인장기요양보험)","AQA00200","노인장기요양보험 의사소견서","36530","","","","","20180101"
"[행위]검사료","위탁검사","SHOX gene mutation","LZW0052","","268158","","","","","저신장관련유전자검사"
"[행위]검사료","위탁검사","Wilsion disease선별검사","LZW0053","","81260","","","","","검사방법변경"
"[행위]검사료","위탁검사","니코틴","LZW0046","","8364","","","","",""
"[행위]검사료","위탁검사","당알부민","LWCZ241","","23240","","","","",""
"[행위]검사료","검체검사(기타)","당알부민","LZ1400","","12000","","","","","19.4.15부터 자체검사시행"
"[행위]기타","식대","보호자식대 (일반식,1식)","WZ00100","보호자식대 (일반식,1식)","6000","","","","",""
"[행위]자기공명영상진단료(MRI)","척추","척추강-경추, 흉추, 요천추와 동시 촬영-일반","HE114","MRI Spine Myelogram(경추, 흉추, 요천추 동시 촬영)","705000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","사지혈관-조영제 주입 전/후 촬영판독","HE239","MRI Extremity Angio 조영제사용","400000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"[행위]기타","식대","보호자식대(공기밥, 1개)","WZ00200","보호자식대(공기밥, 1개)","1000","","","","",""
"[행위]자기공명영상진단료(MRI)","MRI L-Spine(흉추 동시)","MRI L-Spine(흉추 동시)","HE113","MRI L-Spine(흉추 동시)","705000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]검사료","세포유전검사","cytogenomic　microarray","LZW0050","","594498","","","","",""
"[행위]검사료","평형 및 청각기능검사","비디오 전기 안진검사","FZ733","비디오 전기 안진검사,주시 (주시안진검사:Gaze nystagmus)","31010","","","","",""
"[행위]기타","임플란트 CT","IMPLANT DENTAL CT Cone Beam(3차원CT)","HA497","IMPLANT DENTAL CT Cone Beam(3차원CT)","70990","","","","",""
"[행위]기타","임플란트CT","안면및 두개기저 기타(3차원,혈관조영,이삼중시기)임플란트","HA415","안면및 두개기저 기타(3차원,혈관조영,이삼중시기)임플란트","164320","","","","",""
"[행위]기타","임플란트CT","IMPLANT DENTAL CT Cone Beam(일반)","HA496","IMPLANT DENTAL CT Cone Beam(일반)","55330","","","","",""
"[행위]기타","종합검진","종합검진(여자) 직원소개+위투시","AW901808G","종합검진(여자) 직원소개+위투시","243000","","","","",""
"[행위]기타","종합검진","종합검진(여자) 단체협약","AW901806G","종합검진(여자) 단체협약","216000","","","","",""
"[행위]기타","종합검진","VIP숙박형단체 종합검진(남자) -PET CT 제외","AW901801GC","VIP숙박형단체 종합검진(남자) -PET CT 제외","1200000","","","","",""
"[행위]기타","종합검진","VIP숙박형단체 종합검진(남자)","AW901801GB","VIP숙박형단체 종합검진(남자)","2000000","","","","",""
"[행위]기타","종합검진","종합검진(남자) 일반+위투시","AW901801G","종합검진(남자) 일반+위투시","250000","","","","",""
"[행위]기타","종합검진","종합검진(남자) 직원본인","AW901803G","종합검진(남자) 직원본인","175000","","","","",""
"[행위]기타","종합검진","종합검진(남자) 직원소개+위투시","","종합검진(남자) 직원소개+위투시","225000","","","","",""
"[행위]기타","종합검진","종합검진(남자) 단체협약","AW901802G","종합검진(남자) 단체협약","200000","","","","",""
"[행위]기타","종합검진","종합검진(여자) 일반+위투시","AW901805G","종합검진(여자) 일반+위투시","270000","","","","",""
"[행위]기타","종합검진","종합검진(여자) 직원본인","AW901807G","종합검진(여자) 직원본인","189000","","","","",""
"[행위]검사료","신경계기능검사","언어장애치료/기본30분까지","MZ006","언어장애치료/기본30분까지","25000","","","","",""
"[행위]검사료","신경계기능검사","언어장애치료/초과10분당","MZ006","언어장애치료/초과10분당","10000","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-홉킨스 언어학습검사","FZ414","홉킨스 언어학습검사","35000","","","","",""
"[행위]검사료","검체검사(위탁)","항뮬러관호르몬[불임,폐경]","LWCZ214","Anti-Mullerian Hormone, AMH","22266","","","","",""
"[행위]검사료","검체검사(위탁)","Amphetamine(나450가2)","LWC4502390","Amphetamine(나450가2)","8130","","","","",""
"[행위]검사료","신경계기능검사","신경인지기능검사-시각 학습 검사","FZ413","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-홉킨스 언어학습검사","FZ414","신경인지기능검사","35000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-연속수행력검사 [청각]","FZ402","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-감각운동협응검사-손가락 두드리기검사","FZ441","손가락 두드리기 검사","15000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-선로잇기검사(Trail Making)","FZ452","신경인지기능검사","20000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-단기기억력검사[청각]","FZ413","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-경계력검사[시각]","FZ401","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
"[행위]검사료","신경계기능검사","신경인지기능검사-연속수행력검사[시각]","FZ402","신경인지기능검사","30000","","","","","(별표)신경인지 기능검사 반영"
