"대분류","중분류","소분류","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-JAK2 유전자, V617F 돌연변이[대립유전자특이중합효소연쇄반응법]","CZ818","-","49278","","","","","-"
"행위","검사료","-","분자병리검사","유전자형 검사-F2(prothrombin) 유전자 다형성검사[중합효소연쇄반응-제한효소절편길이다형법]","CZ898","-","11804","","","","","-"
"행위","검사료","-","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","-","107800","","","","","-"
"행위","검사료","-","분자병리검사","기타 검사-인플루엔자바이러스 A & B [역전사이중중합효소연쇄반응]","CZ974","-","134225","","","","","-"
"행위","검사료","-","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","-","53467","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","신경인지기능검사-각성도 및 주의력검사-글자듣기에 의한 주의력검사 등 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","-","25000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","신경인지기능검사-각성도 및 주의력검사-CNT-선로잇기검사(Trail Making)","15000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","-","15000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각]","FZ031","신경인지기능검사-기억력검사-공간기억력검사(Visual Retention test) [시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-숫자대기검사 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-언어기억력검사(Verbal Memory Test) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-Ray(Auditory) Verbal Learning Test","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목학습(List Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목회상(List Recall)","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-CNT-언어기억검사(Verbal Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","신경인지기능검사-기억력검사-비엔나 system-시각재인검사(FVW)","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","신경인지기능검사-기억력검사-CNT-시각기억검사(Visual Learning)","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 언어능력검사","FZ038","신경인지기능검사-언어능력검사-Reading, Spelling, Writing 검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","신경인지기능검사-언어능력검사-Listening & Reading Comprehension","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","신경인지기능검사-언어능력검사-토큰검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","신경인지기능검사-언어능력검사-어휘력 검사","15000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-보스톤 사물이름대기검사","FZ041","신경인지기능검사-언어능력검사-Peabody 어휘선별검사","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[청각]","FZ052","신경인지기능검사-지각 및 시공간능력검사-Dichotic Listening[청각]","24500","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사","FZ044","-","30000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","신경인지기능검사-지각 및 시공간능력검사-손가락이름대기검사(Finger Naming Test)","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","신경인지기능검사-지각 및 시공간능력검사-신체부위가리키기검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","신경인지기능검사-지각 및 시공간능력검사-인지기능평가","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","신경인지기능검사-지각 및 시공간능력검사-시계그리기","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-손가락 두드리기검사","FZ048","신경인지기능검사-감각운동협응검사-CNT-수지력검사(Finger Tapping)","13000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-시청각-운동 협응검사","FZ054","신경인지기능검사-감각운동협응검사-비엔나 system-운동결정력검사(DG)","31025","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-스트룹검사","FZ060","신경인지기능검사-전두엽 및 고위인지기능검사-CNT-단어색채검사(Word-Color Test)","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-성인 진단적 계산력검사","FZ061","신경인지기능검사-전두엽 및 고위인지기능검사-비엔나 system-작업수행력검사(ALS)","22000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-보속성검사","FZ063","신경인지기능검사-전두엽 및 고위인지기능검사-비엔나 system-보속성검사(PERSEV)","18000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-실행증검사","FZ064","-","18000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","자발및 주시 안진검사","31010","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","두위 및 두위변환 안진검사","31010","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진후 안진검사","31010","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","시운동성 안진 및 시운동후 안진검사","50000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","급속안구 운동검사","50000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적검사","50000","","","","","-"
"행위","검사료","-","시기능검사","안구광학단층촬영","EZ796","각막 안구광화학단층촬영(편측)","100000","","","","","-"
"행위","검사료","-","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영(OCT)녹내장(시신경) 단순 단안","100000","","","","","-"
"행위","검사료","-","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영(OCT)망막(황반부) 단순 단안","100000","","","","","-"
"행위","검사료","-","시기능검사","눈의 계측검사 (레이저간섭계 이용)","EZ797","-","50000","","","","","-"
"행위","검사료","-","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","1부위,2부위","","30000","50000","","","-"
"행위","검사료","-","치아검사","구취측정","EZ917","-","30000","","","","","-"
"행위","검사료","-","바이러스성 간염 혈청검사","C형간염항체(정밀)","C4872","-","17825","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-경동맥혈관","E9411","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-뇌","E9412","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-안구[편측]","E9413","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-안와[편측]","E9414","-","70000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-안계측[편측]","E9415","-","16000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-경부","E9416","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-후두","E9417","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-비·부비동","E9418","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-흉부-흉막·폐","E9421","-","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-흉부-유방·액와부","E9422","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경식도심초음파-일반","E9431","-","170000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경식도심초음파-정밀","E9432","-","170000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경흉부심초음파-일반","E9433","-","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경흉부심초음파-정밀","E9434","-","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-부하심초음파-약물부하","E9435","-","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-심장내초음파","E9437","-","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-간·담낭·담도·비장·췌장","E9441","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-신장·부신·방광","E9442","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-충수돌기","E9443","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-소장·대장","E9444","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-직장","E9445","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-골반장기","E9446","-","60000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-남성생식기-전립선·정낭","E9447","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-남성생식기-음경","E9448","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-남성생식기-음낭","E9449","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-견관절,고관절,슬관절,주관절,완관절,족관절","E9451","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-수부관절,족부관절","E9452","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-말초신경[편측]","E9453","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-연부조직","E9454","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-상지혈관[편측]-동맥","E9461","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-상지혈관[편측]-정맥","E9462","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-하지혈관[편측]-동맥","E9463","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-하지혈관[편측]-정맥","E9464","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-복부혈관(대동맥·복부장기 혈관)","E9465","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-동정맥루-혈류 및 협착 측정","E9466","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-동정맥루-혈관지도검사","E9467","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-임산부-산모-임신 제1삼분기","E9471","-","60000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-임산부-산모-임신 제2,제3삼분기","E9472","-","40000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-임산부-태아정밀-임신 제1삼분기","E9473","-","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-임산부-태아정밀-임신 제2,제3삼분기","E9474","-","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","뇌[뇌, 해마]","뇌-일반","HE101","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","뇌[뇌, 해마]","뇌-조영제 주입 전후 촬영판독","HE201","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","뇌[뇌, 해마]","해마-일반","HE102","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","뇌[뇌, 해마]","해마-조영제 주입 전후 촬영판독","HE202","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","안면-일반","HE103","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","안면-조영제 주입 전후 촬영판독","HE203","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","부비동-일반","HE104","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","부비동-조영제 주입 전후 촬영판독","HE204","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","안와-일반","HE105","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","안와-조영제 주입 전후 촬영판독","HE205","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","측두골-일반","HE106","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","측두골-조영제 주입 전후 촬영판독","HE206","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","측두하악관절-일반","HE107","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","측두하악관절-조영제 주입 전후 촬영판독","HE207","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","경부-일반","HE108","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","두경부","경부-조영제 주입 전후 촬영판독","HE208","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","경추-일반","HE109","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","경추-조영제 주입 전후 촬영판독","HE209","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","흉추-일반","HE110","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","흉추-조영제 주입 전후 촬영판독","HE210","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","요천추-일반","HE111","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","요천추-조영제 주입 전후 촬영판독","HE211","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","요천추-흉추와 동시 촬영-일반","HE113","-","235000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","요천추-흉추와 동시 촬영-조영제 주입 전후 촬영판독","HE213","-","235000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","척추강-일반","HE112","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","척추강-조영제 주입 전후 촬영판독","HE212","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","척추강-경추, 흉추, 요천추와 동시 촬영-일반","HE114","-","705000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","척추","척추강-경추, 흉추, 요천추와 동시 촬영-조영제 주입 전후 촬영판독","HE214","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","견관절-일반","HE115","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","견관절-조영제 주입 전후 촬영판독","HE215","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","주관절-일반","HE116","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","주관절-조영제 주입 전후 촬영판독","HE216","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","수관절-일반","HE117","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","수관절-조영제 주입 전후 촬영판독","HE217","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","고관절-일반","HE118","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","고관절-조영제 주입 전후 촬영판독","HE218","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","천장골관절-일반","HE119","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","천장골관절-조영제 주입 전후 촬영판독","HE219","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","슬관절-일반","HE120","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","슬관절-조영제 주입 전후 촬영판독","HE220","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","발목관절-일반","HE121","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","발목관절-조영제 주입 전후 촬영판독","HE221","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","관절외 상지-일반","HE122","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","관절외 상지-조영제 주입 전후 촬영판독","HE222","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","관절외 하지-일반","HE123","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","근골격계","관절외 하지-조영제 주입 전후 촬영판독","HE223","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","흉부","심장-일반","HE124","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","흉부","심장-조영제 주입 전후 촬영판독","HE224","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","흉부","흉부-일반","HE125","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","흉부","흉부-조영제 주입 전후 촬영판독","HE225","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","흉부","유방-일반","HE126","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","흉부","유방-조영제 주입 전후 촬영판독","HE226","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","복부","복부-일반","HE127","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","복부","복부-조영제 주입 전후 촬영판독","HE227","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","복부","골반-일반","HE128","-","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","영상진단 및 방사선 치료료","자기공명영상진단료(MRI)","복부","골반-조영제 주입 전후 촬영판독","HE228","-","470000","","","","N","급여 인정기준 외 실시한 경우 비급여"
