"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","신경인지기능검사-각성도 및 주의력검사-연속수행과제검사 [시각]","30000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","신경인지기능검사-각성도 및 주의력검사-TOVA [청각]","30000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","신경인지기능검사-각성도 및 주의력검사-비엔나 system-경계심검사(VIGIL) [시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","신경인지기능검사-각성도 및 주의력검사-글자듣기에 의한 주의력검사 등 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","-","25000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","신경인지기능검사-각성도 및 주의력검사-CNT-선로잇기검사(Trail Making)","15000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","-","15000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각]","FZ031","신경인지기능검사-기억력검사-공간기억력검사(Visual Retention test) [시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-숫자대기검사 [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-Sentence Repetiotion [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-언어기억력검사(Verbal Memory Test) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","신경인지기능검사-기억력검사-CNT-숫자따라말하기검사(Digit Span) [청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-Ray(Auditory) Verbal Learning Test","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목학습(List Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-단어항목회상(List Recall)","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-홉킨스 언어학습검사","FZ034","-","35000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","신경인지기능검사-기억력검사-CNT-언어기억검사(Verbal Learning)","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-기억력검사-자서전적 기억평가면접","FZ036","-","30000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-기억력검사-웩슬러 기억 평정척도","FZ037","신경인지기능검사-기억력검사-웩슬러 기억 평정척도-MAS","45363","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","신경인지기능검사-언어능력검사-Listening & Reading Comprehension","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","신경인지기능검사-언어능력검사-어휘력 검사","15000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-언어능력검사-보스톤 사물이름대기검사","FZ041","신경인지기능검사-언어능력검사-Peabody 어휘선별검사","30000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","신경인지기능검사-지각 및 시공간능력검사보고그리기검사[시각]","22750","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사","FZ044","-","30000","","","","","-"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","신경인지기능검사-지각 및 시공간능력검사-손가락이름대기검사(Finger Naming Test)","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","신경인지기능검사-지각 및 시공간능력검사-신체부위가리키기검사","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","신경인지기능검사-지각 및 시공간능력검사-시계그리기","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","신경인지기능검사-지각 및 시공간능력검사-토막짜기","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-감각운동협응검사-손잡이검사","FZ055","신경인지기능검사-감각운동협응검사-각종손잡이검사","13000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-논리적 사고력검사","FZ056","신경인지기능검사-전두엽 및 고위인지기능검사-추상적 사고력검사","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-카테고리검사","FZ057","-","22675","","","","","-"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-스트룹검사","FZ060","신경인지기능검사-전두엽 및 고위인지기능검사-CNT-단어색채검사(Word-Color Test)","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-보속성검사","FZ063","신경인지기능검사-전두엽 및 고위인지기능검사-비엔나 system-보속성검사(PERSEV)","18000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-실행증검사","FZ064","-","18000","","","","","-"
"대전","신경계기능검사","증상 및 행동 평가 척도(불안척도)-신경증불안평가","FY705","-","35000","","","","","-"
"대전","신경계기능검사","증상 및 행동 평가 척도(우울척도)-신경증우울평가","FY713","-","35000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","자발및 주시 안진검사","50000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","두위 및 두위변환 안진검사","51800","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진후 안진검사","31010","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","온도안진검사-단일검사, 냉온교대검사","","27390","31010","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","시운동성 안진 및 시운동후 안진검사","50000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","급속안구 운동검사","50000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적검사","50000","","","","","-"
"대전","치아검사","인상채득 및 모형제작[1악당]","EX934","-","30000","","","","","-"
"대전","기타검사","구해면체 반사지연검사(비급여-BCRL Test)","SZ00800","-","100000","","","","","-"
"대전","기타검사","자궁암 조기검진(질세포진검사)(비급여)","SZ04800","-","10000","","","","","-"
"대전","기타검사","약물주입발기측정(비급여)","SZ03100","-","50000","","","","","-"
"대전","기타검사","소변임신반응검사","SZ04600","-","8000","","","","","-"
"대전","기타검사","흡인음경팽창도측정(비급여)","SZ09800","-","30000","","","","","-"
"대전","기타검사","시청각자극발기측정(비급여)","SZ02500","-","100000","","","","","-"
"대전","기타검사","야간음경발기력측정(비급여)","SZ02900","-","100000","","","","","-"
"대전","기타검사","반응결정력검사 RG","SZ10505","-","22675","","","","","-"
"대전","기타검사","MMPI(직원채용신검)","SJ09000","-","12000","","","","","-"
"대전","정신요법료","안구운동 민감소실및 재처리요법","NZ005","-","150000","","","","","-"
"대전","초음파 검사료","안과/인공수정체도수검사 IOL Master(편측)","SZ04000A","-","50000","","","","","-"
"대전","초음파 검사료","자궁경부촬영확대술","SZ04700","-","25000","","","","","-"
"대전","초음파 검사료","외과 초음파 (II)","SZ08701","-","30000","","","","","-"
"대전","초음파 검사료","정형외과 근골격계 초음파 간단","SZ09301","-","30000","","","","","-"
"대전","초음파 검사료","초음파잔뇨량측정Bladder scan","SZ08800","-","20000","","","","","-"
"대전","초음파 검사료","초음파 IVUS","RHZ00100","-","200000","","","","","-"
"대전","초음파 검사료","초음파 동맥경화도 검사 (맥파전달속도측정)","SZ07201","-","30000","","","","","-"
"대전","초음파 검사","기본초음파-단순초음파(Ⅰ) One Point Ultrasonography","SEB401","-","14770","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","기본초음파-단순초음파(Ⅱ) Simple Ultrasonography","SEB402","-","29540","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-안-안구 (양측)","SEB411","-","87120","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-안-안와 Orbit(양측)","SEB412","-","87120","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-안-계측 (양측)","SEB413","-","87120","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-경부- 갑상선·부갑상선","SEB414","-","87450","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-경부-갑상선·부갑상선 제외한 경부","SEB415","-","87460","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-비·부비동 초음파","SEB416","-","57780","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-흉부-유방·액와부 초음파","SEB421","-","117860","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-흉부-유방·액와부 제외한 흉부 초음파","SEB422","-","81520","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파","SEB430","-","33620","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-(단순)경흉부심초음파","SEB431","-","106460","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-(일반)경흉부심초음파","SEB432","-","168050","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-(전문)경흉부심초음파","SEB433","-","245020","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-(약물)부하심초음파","SEB434","-","291540","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-(운동)부하심초음파","SEB435","-","277180","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-심장-태아정밀 심초음파","SEB436","-","368190","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-(일반)간·담낭·담도·비장·췌장","SEB441","-","116060","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-(정밀)간·담낭·담도·비장·췌장","SEB442","-","172350","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-충수 Appendix","SEB443","-","105940","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-소장·대장 Small Bowel·Colon","SEB444","-","106020","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-서혜부 Inguinal region","SEB445","-","73200","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-직장·항문 Rectum·Anus","SEB446","-","124770","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-복부-항문초음파만 시행한 경우","SEB447","-","103970","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-비뇨기계-신장·부신·방광","SEB448","-","93360","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-비뇨기계-신장·부신","SEB449","-","84370","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-비뇨기계-(도플러)신장·부신","SEB44901","-","92800","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-비뇨기계-방광 Bladder","SEB450","-","76110","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","SEB451","-","109500","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-남성생식기-전립선·정낭(경복부로 실시)","SEB452","-","60880","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-남성생식기-음경 Penis","SEB453","-","86030","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-남성생식기-(도플러)음경 Penis","SEB45301","-","94640","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-남성생식기-음낭 Scrotum","SEB454","-","86030","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-여성생식기-일반","SEB455","-","98460","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우","SEB456","-","125950","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-여성생식기-정밀","SEB457","-","144270","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-손가락(편측)","SEB461","-","61870","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-발가락(편측)Toe","SEB462","-","61870","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-주관절(편측)Elbow","SEB463","-","68160","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-슬관절(편측)Knee","SEB464","-","68160","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-고관절(편측)Hip","SEB465","-","85360","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-견관절(편측)Shoulder","SEB466","-","85360","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-손목관절(편측)Wrist","SEB467","-","85360","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-발목관절(편측)Ankle","SEB468","-","85360","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-관절-류마티스성질환3부위이상관절종합","SEB469","-","132420","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-연부조직-일반","SEB470","-","61870","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-연부조직-정밀","SEB471","-","79470","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-뇌혈류","SEB481","-","122850","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(경동맥)두개외 혈관 도플러","SEB482","-","104860","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(기타 동맥)두개외 혈관 도플러","SEB483","-","55040","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(상지-동맥)사지혈관 도플러 (양측)","SEB484","-","84480","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(상지-정맥)사지혈관 도플러 (양측)","SEB485","-","84480","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러","SEB486","-","43490","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(하지-동맥)사지혈관 도플러 (양측)","SEB487","-","133790","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","종합검진","종합검진(남자)A급","AQH411","-","250000","","","","","-"
"대전","-","피마자유 cc 약전","0","-","2","","","","","-"
"대전","초음파 검사","진단초음파-혈관-(하지-정맥)사지혈관 도플러 (양측)","SEB488","-","133790","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러","SEB489","-","150260","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-혈관-대동맥 도플러","SEB490","-","81490","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계","SEB501","-","187890","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-신경-(만1세미만소아 척수)중추신경계","SEB502","-","187890","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-신경- 말초신경(편측)","SEB503","-","56030","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-신경-(사지신경 종합검사)말초신경 초음파","SEB504","-","146180","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(일반)제1삼분기","SEB511","-","77100","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(임신여부만 확인)제1삼분기","SEB512","-","52320","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(정밀)제1삼분기","SEB513","-","137580","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(기형아정밀계측)제1삼분기","SEB514","-","176450","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(일반)제2,3삼분기","SEB515","-","109140","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(고위험임신)제2,3삼분기","SEB516","-","141870","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(정밀)제2,3삼분기","SEB517","-","233890","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-임산부-(기형아정밀계측)제2,3삼분기","SEB518","-","274020","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-응급·중환자-(1부위)단일 표적 초음파(1일당)","SEB521","-","29540","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-응급·중환자-(2부위 이상)단일 표적 초음파(1일당)","SEB522","-","59070","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","진단초음파-응급·중환자-복합 표적 초음파","SEB523","-","152020","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","유도초음파-유도초음파(Ⅰ) : 천자, 배액 시 시술부위 확인","SEB561","-","50430","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","보조기류 (의치창 제작)","비데","QA67001","-","0","","","","","-"
"대전","초음파 검사","유도초음파-유도초음파(Ⅱ) : 조직생검, 새침흡인","SEB562","-","100850","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","유도초음파-유도초음파(Ⅲ)","SEB563","-","121020","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","유도초음파-유도초음파(Ⅳ)","SEB564","-","302560","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","특수초음파-심장-(선천성심질환에검사)경식도 심초음파","SEB610","-","33620","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","특수초음파-심장-경식도 심초음파","SEB611","-","275810","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","초음파 검사","특수초음파-심장-심장내 초음파","SEB612","-","303390","","","","","급여 인정기준 외 실시한경우 비급여"
"대전","종합검진","종합검진 (여자) A급","AQH412","-","270000","","","","","-"
"대전","뇌[뇌, 해마]","뇌-일반","HE101","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","뇌[뇌, 해마]","뇌-조영제 주입 전후 촬영판독","HE201","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","뇌[뇌, 해마]","해마-일반","HE102","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","뇌[뇌, 해마]","해마-조영제 주입 전후 촬영판독","HE202","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안면-일반","HE103","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안면-조영제 주입 전후 촬영판독","HE203","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","부비동-일반","HE104","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","부비동-조영제 주입 전후 촬영판독","HE204","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안와-일반","HE105","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안와-조영제 주입 전후 촬영판독","HE205","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두골-일반","HE106","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두골-조영제 주입 전후 촬영판독","HE206","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두하악관절-일반","HE107","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두하악관절-조영제 주입 전후 촬영판독","HE207","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","경부-일반","HE108","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","경부-조영제 주입 전후 촬영판독","HE208","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","경추-일반","HE109","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","경추-조영제 주입 전후 촬영판독","HE209","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","흉추-일반","HE110","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","흉추-조영제 주입 전후 촬영판독","HE210","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-일반","HE111","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-조영제 주입 전후 촬영판독","HE211","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-흉추와 동시 촬영-일반","HE113","-","225000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-흉추와 동시 촬영-조영제 주입 전후 촬영판독","HE213","-","235000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-일반","HE112","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-조영제 주입 전후 촬영판독","HE212","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-경추, 흉추, 요천추와 동시 촬영-일반","HE114","-","675000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-경추, 흉추, 요천추와 동시 촬영-조영제 주입 전후 촬영판독","HE214","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","관절조영 자기공명영상진단","HE142","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","견관절-일반","HE115","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","견관절-조영제 주입 전후 촬영판독","HE215","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","주관절-일반","HE116","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","주관절-조영제 주입 전후 촬영판독","HE216","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","수관절-일반","HE117","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","수관절-조영제 주입 전후 촬영판독","HE217","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","고관절-일반","HE118","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","천장골관절-일반","HE119","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","보조기류 (의치창 제작)","맹인용시계(음성)","QA63002","-","0","","","","","-"
"대전","보조기류 (의치창 제작)","인공후두","QA64001","-","0","","","","","-"
"대전","보조기류 (의치창 제작)","인공뇨장","QA64002","-","0","","","","","-"
