"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"광주","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","단어유창성검사","15000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-언어능력검사-보스톤 사물이름대기검사","FZ041","보스톤사물이름 대기검사","30000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-언어능력검사-웨스턴 실어증검사","FZ042","웨스턴 실어증검사","70000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사","FZ044","레이 복합도형검사","30000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","좌-우 구분검사","20000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","구성능력검사","20000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-후퍼 시각조직화검사","FZ047","후퍼 시각조직화검사","16263","","","","","-"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-손가락 두드리기검사","FZ048","손가락 두드리기 검사","13000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","인식력검사[시각]","22750","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","인식력검사 COG(Cognitrone)","22750","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[청각]","FZ052","인식력검사[청각]","24500","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-페그보드검사","FZ053","페그보드검사","13713","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-페그보드검사","FZ053","운동수행력검사 MLS","13713","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-시청각-운동 협응검사","FZ054","운동결정력검사 DG","31025","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-시청각-운동 협응검사","FZ054","시청각-운동 협응검사","31025","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-손잡이검사","FZ055","손잡이 검사","13000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-논리적 사고력검사","FZ056","논리적 사고력 검사","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-논리적 사고력검사","FZ056","가설형성검사 HYPO","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-카테고리검사","FZ057","카테고리검사","22675","","","","","-"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-레이븐 메트릭스검사","FZ058","레이븐 매트릭스검사","18700","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-레이븐 메트릭스검사","FZ058","표준도형검사 SPM","18700","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-위스콘신 카드분류검사","FZ059","위스콘신 카드분류검사","19413","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-스트룹검사","FZ060","스트룹검사","20000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-성인 진단적 계산력검사","FZ061","성인 진단적 계산력 검사","22000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-성인 진단적 계산력검사","FZ061","작업수행력검사 WPS/ALS","22675","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-표정인식력(재인)검사","FZ062","표정인식력(재인)검사","22675","","","","","-"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-보속성검사","FZ063","보속성 검사PERSEV","18000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-실행증검사","FZ064","실행증검사","18000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[시각]","FZ071","지각및집중력검사(시각변별력검사)FLIM","22675","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[시각]","FZ071","반응결정력검사 RG","22675","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[청각]","FZ072","교차현상검사(시청각자극반응검사) CROSS","24500","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[청각]","FZ072","반응시간검사[청각]","24500","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","한국판 K-SADS-PL(선별면담)","FZ111","한국판 K-SADS-PL (선별면담)","40000","","","","","-"
"광주","신경계기능검사","한국판 K-SADS-PL(행동장애 부록)","FZ112","한국판 K-SADS-PL (행동장애부록)","30000","","","","","-"
"광주","신경계기능검사","한국판 K-SADS-PL(정동장애 부록)","FZ113","한국판 K-SADS-PL (정동장애부록)","30000","","","","","-"
"광주","신경계기능검사","한국판 K-SADS-PL(불안장애 부록)","FZ114","한국판 K-SADS-PL (불안장애부록)","33000","","","","","-"
"광주","신경계기능검사","발음 및 발성검사","FZ688","발음 및 발성검사","70000","","","","","-"
"광주","신경계기능검사","언어전반진단검사","FZ689","언어전반진단검사","45000","","","","","-"
"광주","신경계기능검사","수면각성활동량검사","FZ701","수면 각성 활동량검사","110000","","","","","-"
"광주","신경계기능검사","다중수면잠복기검사","FZ702","다중 수면 잠복기검사","330000","","","","","-"
"광주","신경계기능검사","수면 무호흡 증후군 진단을 위한 수면다원검사","FZ703","수면다원검사(야간) (Polysomnography)","500000","","","","","-"
"광주","약물 및 독물검사","약물동력학적 해석 및 보고","CZ371","약물 동력학적해석및보고Therapeutic Drug Monitoring TDM","20000","","","","","-"
"광주","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산검사  정성","10596","","","","","-"
"광주","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산 정량(24시간 소변)","21193","","","","","-"
"광주","일반생검","입체적 유방절제생검술","CZ977","입체적 유방절제 생검술","950000","","","N","","재료대별도산정"
"광주","자가면역질환검사","항GM1항체 [IgG]","CZ261","Anti GM1 Ab IgG","19170","","","","","위탁검사"
"광주","자가면역질환검사","항GM1항체 [IgM]","CZ262","Anti GM1 Ab IgM","19170","","","","","위탁검사"
"광주","자가면역질환검사","항신경핵항체 1형","CZ422","-","17724","","","","","-"
"광주","자가면역질환검사","항신경핵항체 2형","CZ423","-","17723","","","","","-"
"광주","자가면역질환검사","항퍼킨제세포세질항체","CZ424","-","17723","","","","","-"
"광주","자가면역질환검사","항GD1b항체 [IgG]","CZ425","Anti GD1b Ab IgG","14134","","","","","위탁검사"
"광주","자가면역질환검사","항GD1b항체 [IgM]","CZ425","Anti GD1b Ab IgM","19708","","","","","위탁검사"
"광주","자가면역질환검사","항MAG항체","CZ427","Anti MAG Ab","24182","","","","","-"
"광주","자가면역질환검사","항CCP항체[IgG]","CZ432","항CCP항체[IgG]","14147","","","","","위탁검사"
"광주","종양표지자검사","Cyfra 21-1(혈액)","CZ285","-","10616","","","","","-"
"광주","지질, 영양 관련검사","호모시스테인검사","CZ133","-","24000","","","","","-"
"광주","출혈, 혈전 검사","혈소판 약물 반응검사 (아스피린) [현장검사]","BZ071","-","80000","","","","","-"
"광주","출혈, 혈전 검사","혈소판 약물 반응검사 (P2Y12) [현장검사]","BZ072","-","120000","","","","","-"
"광주","치아검사","타액검사[분비율, 점조도, PH, 완충기능검사]","EZ919","타액검사[분비율,점조도,PH,완충기능검사]","10000","","","","","-"
"광주","평형 및 청각기능검사","동적체평형검사","FZ731","Balance Traninig","5000","","","","","-"
"광주","평형 및 청각기능검사","회전검사","FZ732","회전의자검사(정현파회전 및 등속회전검사,Rotatory Chair Test)","50000","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오 전기 온도안진검사 (단일:Caloric test)","27000","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사,체위변환,두위변환검사","51800","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진(두위안진검사 :Positional test)","31010","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","온도안진검사(냉온교대Caloric test)","31010","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","운동성안진및운동후(시운동성안진 및 후안진 검사)","50000","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사 급속안구운동","50000","","","","","-"
"광주","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적 (시추적검사:Smooth pursuit test)","50000","","","","","-"
"광주","평형 및 청각기능검사","전정유발근전위검사","FZ734","전정유발근전위검사(VEMP Test)","60000","","","","","-"
"광주","혈장단백검사","Phadiatop(알러지검사)","CZ113","-","","17725","19520","","","-"
"광주","혈장단백검사","프로칼시토닌 정량검사","CZ115","-","23608","","","","","위탁검사"
"광주","혈장단백검사","프로칼시토닌 정량검사","CZ115","-","38597","","","","","-"
"광주","호흡기능검사","후각기능(인지 및 역치)검사","FZ671","후각기능검사(인지및역치)","20000","","","","","-"
"광주","초음파 검사료","초음파검사-두경부-경동맥혈관","E9411","초음파검사-두경부-경동맥혈관","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-뇌","E9412","초음파검사-두경부-뇌","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-안구[편측]","E9413","초음파검사-두경부-안구[편측]","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-안와[편측]","E9414","초음파검사-두경부-안와[편측]","","50000","70000","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-안계측[편측]","E9415","초음파검사-두경부-계측[편측]","16000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-경부","E9416","초음파검사-두경부-경부","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-후두","E9417","초음파검사-두경부-후두","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-두경부-비·부비동","E9418","초음파검사-두경부-비·부비동","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-흉부-흉막·폐","E9421","초음파검사-흉부-흉막·폐","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-흉부-유방·액와부","E9422","초음파검사-흉부-유방·액와부","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-심장-경식도심초음파-일반","E9431","초음파검사-심장-경식도심초음파-일반","170000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-심장-경식도심초음파-정밀","E9432","초음파검사-심장-경식도심초음파-정밀","170000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-심장-경흉부심초음파-일반","E9433","초음파검사-심장-경흉부심초음파-일반","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-심장-경흉부심초음파-정밀","E9434","초음파검사-심장-경흉부심초음파-정밀(strain)","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-심장-부하심초음파-약물부하","E9435","초음파검사-심장-부하심초음파-약물부하","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-심장-부하심초음파-운동부하","E9436","초음파검사-심장-부하심초음파-운동부하","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-복부-간·담낭·담도·비장·췌장","E9441","초음파검사-복부,골반-복부-간·담낭·담도·비장·췌장","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-복부-신장·부신·방광","E9442","초음파검사-복부,골반-복부-신장·부신·방광","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-복부-충수돌기","E9443","초음파검사-복부,골반-복부-충수돌기","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-복부-소장·대장","E9444","초음파검사-복부,골반-복부-소장·대장","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-복부-직장","E9445","초음파검사-복부,골반-복부-직장","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-복부-골반장기","E9446","초음파검사-복부,골반-복부-골반장기","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-남성생식기-전립선·정낭","E9447","초음파검사-복부,골반-남성생식기-전립선·정낭","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-남성생식기-음경","E9448","초음파검사-복부,골반-남성생식기-음경","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-복부,골반-남성생식기-음낭","E9449","초음파검사-복부,골반-남성생식기-음낭","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-견관절,고관절,슬관절,주관절,완관절,족관절","E9451","초음파검사-근골격,연부-사지관절[편측]-견,고,슬,주,완,족관절","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-수부관절,족부관절","E9452","초음파검사-근골격,연부-사지관절[편측]-수부,족부관절","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-근골격,연부-말초신경[편측]","E9453","초음파검사-근골격,연부-말초신경[편측]","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-근골격,연부-연부조직","E9454","초음파검사-근골격,연부-연부조직","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-상지혈관[편측]-동맥","E9461","초음파검사-혈관-상지혈관[편측]-동맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-상지혈관[편측]-정맥","E9462","초음파검사-혈관-상지혈관[편측]-정맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-하지혈관[편측]-동맥","E9463","초음파검사-혈관-하지혈관[편측]-동맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-하지혈관[편측]-정맥","E9464","초음파검사-혈관-하지혈관[편측]-정맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-복부혈관(대동맥·복부장기 혈관)","E9465","초음파검사-혈관-복부혈관(대동맥·복부장기 혈관)","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-동정맥루-혈류 및 협착 측정","E9466","초음파검사-혈관-동정맥루-혈류 및 협착 측정","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-혈관-동정맥루-혈관지도검사","E9467","초음파검사-혈관-동정맥루-혈관지도검사","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-임산부-산모-임신 제1삼분기","E9471","초음파검사-임산부-산모-임신 제1삼분기","20000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파 검사료","초음파검사-임산부-산모-임신 제2,제3삼분기","E9472","초음파검사-임산부-산모-임신 제2,제3삼분기","15000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파하양수천자술","90000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 내시경검사","200000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파잔뇨량측정Bladder scan","20000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 IVUS","200000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 심장 [이동]","50000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 심장이외 [이동]","30000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 도플러 혈관","7000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 도플러 두개강내 뇌혈류검사 [기본]","150000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 동맥경화협착폐색검사 [1부위]","30000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 천자 [Specify area in Comment]","130000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 생검 [Specify area in Comment]","150000","","","","","-"
"광주","초음파영상료","초음파영상-검사 유도목적","HZ161","초음파 Abscess Drainage","300000","","","","","-"
"광주","뇌[뇌, 해마]","뇌-일반","HE101","MRI Brain","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","뇌[뇌, 해마]","뇌-조영제 주입 전후 촬영판독","HE201","MRI Brain 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"광주","뇌[뇌, 해마]","해마-일반","HE102","MRI Hippocampus","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","뇌[뇌, 해마]","해마-조영제 주입 전후 촬영판독","HE202","MRI Hippocampus 조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
"광주","두경부","안면-일반","HE103","MRI Face","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","두경부","안면-조영제 주입 전후 촬영판독","HE203","MRI Face 조영제사용 |조영제사용","470000","","","","N","조영제 별도산정/급여 인정기준 외 실시한 경우 비급여"
