"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비포함여부"
"부산","보조기류","ARM SLING","VM060","소아/성인","1006","","","",""
"부산","보조기류","CAST 신발","VM070","중/대","1900","","","",""
"부산","보조기류","CRUTCH(목발)","20330","대/중","8234","","","",""
"부산","치과용재료류(조직유도재생막)","BIO-GIDE(25*25)","L7414221","-","206000","","","",""
"부산","치과용재료류(조직유도재생막)","BIO-GIDE(13*25)","L7414220","-","161450","","","",""
"부산","치과용재료류(골이식재)","CANCELLOUS BIO-OSS(0.25)","L7401220","-","73854","","","",""
"부산","치과용재료류(골이식재)","CANCELLOUS BIO-OSS(0.5)","L7401221","-","113300","","","",""
"부산","-","액티피드정(삼일)","643900900","-","11","","","",""
"부산","-","삐콤정(유한)","642100700","-","5","","","",""
"부산","-","타스나정((주)넥스팜코리아)","662501680","-","19","","","",""
"부산","-","비사코딜정(신일)","653801170","-","3","","","",""
"부산","-","가스피로캅셀(한화)","651600020","-","46","","","",""
"부산","-","농글리세린","648300040","-","2","","","",""
"부산","-","미리보란정(셀트리온)","658000470","-","69","","","",""
"부산","-","마이드린캅셀(녹십자)","643601020","-","72","","","",""
"부산","-","오스테민캅셀250mg/C(삼진)","647801830","-","1","","","",""
"부산","-","바네포연고 5g/통(대한약품)","645101440","-","20","","","",""
"부산","-","프록토세딜연고 15G/tube(한독약품)","652101560","-","300","","","",""
"부산","-","페라세이프 (나노팜)","658900290","-","7017","","","",""
"부산","-","파자임95이중정(부광)","642202760","-","44","","","",""
"부산","-","로와콜연질캅셀(한국팜비오)","659900050","-","438","","","",""
"부산","-","설간구구좌제(환인제약)","657200370","-","152","","","",""
"부산","-","유락신연고 100mg 50g/tub(녹십자)","643601400","-","1050","","","",""
"부산","-","이소바이드액 500ml/B(근화제약(주))","652602860","-","36029","","","",""
"부산","-","진크피현탁액 90ml/btl(나노팜)","658900250","-","3510","","","",""
"부산","-","카바젝트주","648901020","-","3331","","","",""
"부산","-","말린다주(히알우로니다제)((주)비씨월드제약)","653102550","-","11074","","","",""
"부산","-","포스테오주/pen (한국릴리(유))","670800290","-","558000","","","",""
"부산","-","아바스틴주 100mg (한국로슈)","645000360","-","345088","","","",""
"부산","-","카르민주0.8%(한국유나이티드)","644303850","-","2464","","","",""
"부산","-","소노뷰주","655400790","-","90089","","","",""
"부산","-","경피용건조BCG Vaccine-예방접종","686500010","-","60000","","","",""
"부산","-","하브릭스주성인용-A형간염백신(예방접종)","650001800","-","70000","","","",""
"부산","-","헤파빅주200단위/ml(근주용)-예방접종","643601900","-","34000","","","",""
"부산","-","헤파빅주100단위/0.5ml(녹십자)-예방접종","643601890","-","22000","","","",""
"부산","-","유박스비주 1ml(LG생명과학)-B형간염예방접종(성인용)","668900920","-","23000","","","",""
"부산","-","유박스비주 0.5ml(LG생명)-예방접종(소아용)","668900910","-","18000","","","",""
"부산","-","신종플루접종비-예방접종","-","-","15000","","","",""
"부산","-","로타릭스((주)글락소스미스클라인)-예방접종","650001810","-","130000","","","",""
"부산","-","로타텍액(한국MSD)-예방접종","655500030","-","100000","","","",""
"부산","-","가다실주(머크)-예방접종","655500020","-","200000","","","",""
"부산","-","박씨그라프(사노피-아벤티스코리아)-예방접종","665900100","-","25000","","","",""
"부산","-","[성인]폐렴구균(프리베나 13주:와이어스)-예방접종","-","-","100000","","","",""
"부산","-","[소아]폐렴구균(프리베나 13주:와이어스)-예방접종","646500430","-","150000","","","",""
"부산","-","에스케이디피티트리백신주(DPT)-예방접종","644701250","-","22510","","","",""
"부산","-","PDT:인판릭스(그락소스미스클라인)-예방접종","650002730","-","32000","","","",""
"부산","-","티디퓨어백신주(프리필드)-예방접종","653602350","-","30000","","","",""
"부산","-","일본뇌염(사백신)-예방접종","643603520","-","20000","","","",""
"부산","-","씨디제박스일본뇌염주(한국백신)-예방접종","666700010","-","35000","","","",""
"부산","-","폐렴구균(뉴모-23:제일제당)-예방접종","665900010","-","40000","","","",""
"부산","-","이모박스폴리오주(씨제이)-예방접종","665900050","-","25000","","","",""
"부산","-","인판릭스-IPV 0.5ML(글락소스미스클라인)-예방접종","650002730","-","47000","","","",""
"부산","-","녹십자수두백신(녹십자PBM)-예방접종","643601160","-","29000","","","",""
"부산","-","테트락심주 0.5ML(한독약품)-예방접종","665900120","-","47000","","","",""
"부산","-","엠엠알-투(SK케미칼)-예방접종","655500270","-","26000","","","",""
"부산","-","아다셀주 0.5ML(Tdap:한독약품)-예방접종","665900110","-","40000","","","",""
"부산","-","조스타박스주(한국엠에스디(주))_예방접종","655500900","-","190000","","","",""
"부산","-","멘비오(수막구균)-예방접종","653602320","-","150000","","","",""
"부산","-","덱사가글솔루션100ml","-","-","735","","","",""
"부산","-","진단서(일반진단서)","PDZ01","-","10000","","","",""
"부산","-","상해진단서","PDZ02","전치 3주이상","100000","","","",""
"부산","-","상해진단서","PDZ02","전치 3주미만","50000","","","",""
"부산","-","사망진단서","PDZ03","-","10000","","","",""
"부산","-","사체검안서","PDZ04","-","30000","","","",""
"부산","-","출생증명서","PDZ06","퇴원후, 1부","3000","","","",""
"부산","-","장애진단서","PDZ07","일반장애","15000","","","",""
"부산","-","장애진단서","PDZ07","정신지체 및 발달장애","40000","","","",""
"부산","-","병사용진단서","PDZ08","-","15000","","","",""
"부산","-","국민연금 장해진단서","PDZ10","-","3000","","","",""
"부산","-","사체부검료(재발행)","PDZ11","-","2000","","","",""
"부산","-","영문진단서(재발행)","PDZ11","-","1500","","","",""
"부산","-","(영문)출생증명서,퇴원후(재발행)","PDZ11","-","1500","","","",""
"부산","-","사본(재발행)","PDZ11","-","1000","","","",""
"부산","-","근로능력평가용진단서","-","-","10000","","","",""
"부산","-","노인장기요양소견서","-","-","31960","","","",""
"부산","-","노인장기요양소견서[치매용]","-","-","47500","","","",""
"부산","-","보장구검진소견서","-","-","10000","","","",""
"부산","-","사망진단서 [영문 1부]","-","-","15000","","","",""
"부산","-","사망진단서(출장료)","-","-","20000","","","",""
"부산","-","사체부검료(1부)","-","-","20000","","","",""
"부산","-","수술확인서(1부)","-","-","10000","","","",""
"부산","-","신체감정료(과목당)","-","-","150000","","","",""
"부산","-","영문진단서(1부)","-","-","15000","","","",""
"부산","-","소견서(보험회사제출용)","PDZ12","-","10000","","","",""
"부산","-","입,퇴원확인서","-","퇴원후, 1부","1000","","","",""
"부산","-","입원사실증명서(1부)","-","-","3000","","","",""
"부산","-","장애 진단서 (1부)","-","-","100000","","","",""
"부산","-","장애자증명서(1부)","-","-","20000","","","",""
"부산","-","정신감정서 (1부)","-","-","100000","","","",""
"부산","-","진료비추정서<천만원미만> (1부)","-","-","50000","","","",""
"부산","-","진료비추정서<천만원이상> (1부)","-","-","100000","","","",""
"부산","-","진료확인서(1부)","-","-","10000","","","",""
"부산","-","후유장애 진단서 (1부)","-","-","100000","","","",""
"부산","-","(영문)일반소견서(1부)","-","-","15000","","","",""
"부산","-","(영문)출생증명서","-","퇴원후, 1부","4500","","","",""
"부산","-","통원사실증명서","-","병명기재","3000","","","",""
"부산","-","-","-","병명미기재","1000","","","",""
"부산","-","노인장기요양방문간호지시서","-","-","17000","","","",""
"부산","-","의무기록지 COPY","-","기본 5부","2000","","","",""
"부산","-","-","-","기본5부초과 매당","200","","","",""
"부산","-","심혈관 PACS 영상비용/CD Copy","-","-","5000","","","",""
"부산","-","뇌파영상 CD COPY","-","-","5000","","","",""
"부산","-","내시경 PACS영상 CD Copy(장당)","-","-","5000","","","",""
"부산","-","PACS 영상비용/CD(X-Ray Film Copy)/개당","-","-","5000","","","",""
"부산","-","건강진단 및 신체검사(마약검사확인서,E-9,비전문취업)","AW402200","-","50000","","","",""
"부산","-","채용신체검사","AW400601","-","40000","","","",""
"부산","내분비검사","갑상선자극면역글로불린[생물발광법]","CZ213","-","31591","","","",""
"부산","보철","매식술, 혼합형틀니 ,Titanium,Fixture 6ea","-","-","2100000","","","Y",""
"부산","보철","매식술, 헤더바,Fixture 2ea","-","-","1200000","","","Y",""
"부산","보철","코누스 텔레스코픽 내,외관 귀금속","-","-","650000","","","Y",""
"부산","보철","매식술, 헤더바,Fixture 3ea","-","-","1500000","","","Y",""
"부산","보철","매식술, 헤더바,Fixture 4ea","-","-","1800000","","","Y",""
"부산","보철","매식술, 밀드바,Gold,Fixture 3ea","-","-","1500000","","","Y",""
"부산","보철","도재소부전장관, 무깃, 귀금속","-","-","520000","","","Y",""
"부산","보철","전부도재관, 전세라믹","-","-","470000","","","Y",""
"부산","보철","주조관, 메리랜드, 비귀금속","-","-","290000","","","Y",""
"부산","보철","금주조관, 메리랜드, 귀금속","-","-","370000","","","Y",""
"부산","보철","인레이, 포세라인 or  레진, 단순","-","-","270000","","","Y",""
"부산","보철","매식치 귀금속 도재관","-","-","800000","","","Y",""
"부산","보철","매식술, 밀드바,Titanium,Fixture 6ea","-","-","1800000","","","Y",""
"부산","보철","매식치  A-gold 도재관","-","-","570000","","","Y",""
"부산","보철","ERA,1ea","-","-","280000","","","Y",""
"부산","보철","Magnetic,1ea","-","-","350000","","","Y",""
"부산","보철","인레이, 귀금속, 복잡","-","-","350000","","","Y",""
"부산","보철","매식술, 밀드바,Gold,Fixture 4ea","-","-","1900000","","","Y",""
"부산","보철","매식치 비귀금속 도재관","-","-","600000","","","Y",""
"부산","보철","매식술, 혼합형틀니","-","-","2500000","","","Y",""
"부산","보철","매식술, 헤더바","-","-","1150000","","","Y",""
"부산","보철","임시 가철성 국소의치","-","-","430000","","","Y",""
"부산","보철","어태치먼트 국소 의치, 간단","-","-","1400000","","","Y",""
"부산","보철","어태치먼트 국소 의치, 복잡","-","-","1600000","","","Y",""
"부산","보철","매식술, 밀드바,Titanium,Fixture 5ea","-","-","1600000","","","Y",""
"부산","보철","캐드캠 세라믹 크라운,임플란트용(복잡)","-","-","800000","","","Y",""
"부산","보철","Locator","-","-","400000","","","Y",""
"부산","보철","Spark elosin","-","-","160000","","","Y",""
"부산","보철","매식술, 혼합형틀니,Titanium,Fixture 4ea","-","-","1500000","","","Y",""
"부산","보철","포스트관, 그래스화이버","-","-","220000","","","Y",""
"부산","보철","편측 가철성국소의치, 비귀금속","-","-","600000","","","Y",""
"부산","보철","도재소부전장관, 귀금속, B","-","-","450000","","","Y",""
"부산","보철","도재소부전장관, 무깃, 비귀금속","-","-","380000","","","Y",""
"부산","보철","치아지지가철성의치, 간단","-","-","1600000","","","Y",""
"부산","보철","주조관, N-C 합금","-","-","250000","","","Y",""
"부산","보철","캐드캠 세라믹 크라운,임플란트용(단순)","-","-","700000","","","Y",""
"부산","보철","인레이, 귀금속, 단순","-","-","300000","","","Y",""
"부산","보철","전부도재관, 순면버니어","-","-","400000","","","Y",""
"부산","보철","주조금관, Pd 합금","-","-","350000","","","Y",""
"부산","보철","도재소부전장관, 귀금속, A","-","-","520000","","","Y",""
"부산","보철","임플란트 지지의치, 단순","-","-","1500000","","","Y",""
"부산","보철","테레스코픽 국소 의치, 간단","-","-","880000","","","Y",""
"부산","보철","테레스코픽 국소 의치, 복잡","-","-","1100000","","","Y",""
"부산","보철","의치 이장술, 간접법, 단순","-","-","190000","","","Y",""
"부산","보철","부착장치, 단순","-","-","300000","","","Y",""
"부산","보철","로케이터,G","-","-","500000","","","Y",""
"부산","보철","부착장치, 복잡","-","-","440000","","","Y",""
"부산","보철","포스트관, 귀금속, 복잡","-","-","260000","","","Y",""
"부산","보철","포스트관, 파라 포스트","-","-","180000","","","Y",""
"부산","보철","Flexible denture (비귀금속),복잡","-","-","900000","","","Y",""
"부산","보철","부착장치, 보통","-","-","350000","","","Y",""
"부산","보철","F.D. Temporary","-","-","350000","","","Y",""
"부산","보철","즉시 or 임시폐쇄장치","-","-","400000","","","Y",""
"부산","보철","자석장치","-","-","340000","","","Y",""
"부산","보철","가철성 국소의치, 비귀금속","-","-","1200000","","","Y",""
"부산","보철","가철성 국소의치, 고주파 비귀금속","-","-","1400000","","","Y",""
"부산","보철","총의치, 비귀금속편, 망사","-","-","1400000","","","Y",""
"부산","보철","총의치, 귀금속편","-","-","1600000","","","Y",""
"부산","보철","총의치, 레진상","-","-","1200000","","","Y",""
"부산","보철","즉시총의치,망사","-","-","600000","","","Y",""
"부산","보철","즉치총의치,레진상","-","-","500000","","","Y",""
"부산","보철","의치 이장술, 간접법, 복잡","-","-","300000","","","Y",""
"부산","보철","매식술, 밀드바,Gold,Fixture 5ea","-","-","2300000","","","Y",""
"부산","보철","매식술, 밀드바,Gold,Fixture 6ea","-","-","2700000","","","Y",""
"부산","보철","매식술, 밀드바,Titanium,Fixture 3ea","-","-","1200000","","","Y",""
"부산","보철","매식술, 밀드바,Titanium,Fixture 4ea","-","-","1400000","","","Y",""
"부산","보철","매식술, 자성체","-","-","500000","","","Y",""
"부산","보철","매식술, 오-링, E.R.A.,","-","-","450000","","","Y",""
"부산","보철","매식술, MDI","-","-","460000","","","Y",""
"부산","보철","매식술, 임시 MDI","-","-","230000","","","Y",""
"부산","보철","치아 매식술, 복잡, NOBEL","-","-","1500000","","","Y",""
"부산","보철","치아 매식술, 복잡, ASTRA","-","-","1450000","","","Y",""
"부산","보철","치아 매식술, 단순","-","-","1350000","","","Y",""
"부산","보철","캐드캠 세라믹 크라운","-","-","550000","","","Y",""
"부산","보철","교합안정장치, 복잡","-","-","600000","","","Y",""
"부산","보철","매식술,국산,G","-","-","1000000","","","Y",""
"부산","보철","주조금관, 백금합금","-","-","460000","","","Y",""
"부산","보철","인레이, 포세라인 or  레진, 복잡","-","-","280000","","","Y",""
"부산","피부봉합용 봉합기","PROXIMATE PLUS MULTI- DIRECTIONAL SKIN STAPLER","BB3102EE","35Wide /tyco","12218","","","",""
"부산","인체조직유래 2차 가공뼈","RAFUGEN DBM GEL","BC0101BU","1CC/3CC/5CC","","404019","1618627","",""
"부산","내분비검사","항뮬러관호르몬[불임,폐경]","CZ214","-","23111","","","",""
"부산","분자병리검사","기타 검사-아데노바이러스 [실시간 중합효소연쇄반응]","CZ994","-","58331","","","",""
"부산","비뇨기","요실금수술-질강을 통한 수술-자가근막을 이용한 경우[근막채취료포함]","R3564","추가","296650","","","N",""
"부산","흡수성 PLATE 고정용 SCREW","INION S-1 SCREW 해당수술시 1EA 산정","BF0801BP","추가","320000","","","",""
"부산","-","박타프리필드0.5ml-A형간염백신(소아용)-예방접종","655501730","-","40000","","","",""
"부산","흡수성 PLATE 고정용 SCREW","INION S-1 PLATE 해당수술시 1EA 산정","BF0701BP","추가","920000","","","",""
"부산","-","브리디온 2ml","655501750","-","69073","","","",""
"부산","기타","정관절제술(결찰술)","-","-","200000","","","",""
"부산","기타","포경수술(배면절개)","-","-","150000","","","",""
"부산","기타","포경수술(환상절개)","-","-","200000","","","",""
"부산","기타","비만치료(주사)","-","-","8000","","","",""
"부산","치아질환 처치","보철물 장착을 위한 전단계로 실시하는 Post Core","UZ001","포스트코아 (기성품)","100000","","","",""
"부산","치아질환 처치","보철물 장착을 위한 전단계로 실시하는 Post Core","UZ001","주조포스트 (금)","100000","","","",""
"부산","치아질환 처치","인레이(Inlay) 및 온레이(Onlay) 간접충전(금 등을 사용한 충전치료)","UZ004","인레이 간접충전 1)금 - 1면, 2면, 3면","250000","","","",""
"부산","치아질환 처치","광중합형 복합레진충전","UZ005","-","80000","","","",""
"부산","치아질환 처치","광중합형 글래스 아이오노머 시멘트충전","UZ006","-","80000","","","",""
"부산","치아질환 처치","의치수리","-","-","","50000","100000","",""
"부산","치아질환 처치","포세린관 수리","-","-","","100000","200000","",""
"부산","치아질환 처치","나선형 합정","-","-","70000","","","",""
"부산","치아질환 처치","의치 직접 이장술, 복잡","-","-","150000","","","",""
"부산","치아질환 처치","탄성 의치상 이장술","-","-","50000","","","",""
"부산","치아질환 처치","임시 의치, 단순","-","-","50000","","","",""
"부산","치아질환 처치","레진 가공 의치 (1치당)","-","-","30000","","","",""
"부산","치아질환 처치","치태조절 및 예방술식","-","-","","10000","30000","",""
"부산","치아질환 처치","잇솔질 교습, 회당","-","-","30000","","","",""
"부산","치아질환 처치","치아 표백술","-","-","","30000","50000","",""
"부산","치아질환 처치","모형 분석용 인상/1악당","-","-","30000","","","",""
"부산","치아질환 처치","교합안정장치(1악당), 단순","-","-","30000","","","",""
"부산","치아질환 처치","교합안정장치 관리","-","-","30000","","","",""
"부산","치아질환 처치","불소 도포 (1악당)","-","-","100000","","","",""
"부산","치아질환 처치","Resin facing 수리 (1치당)","-","-","50000","","","",""
"부산","치아질환 처치","치아 매식 진단료  Dx of implant","-","-","","50000","100000","",""
"부산","치아질환 처치","피.알.피","-","-","100000","","","",""
"부산","치아질환 처치","치아지지 가철성 의치 클립 교환","-","-","50000","","","",""
"부산","치아질환 처치","치아지지 가철성 의치 오-링&이알에이 교환","-","-","50000","","","",""
"부산","치아질환 처치","치아지지 가철성 의치 자석체 교환","-","-","200000","","","",""
"부산","치아질환 처치","처치 치아매식, 자석체 교환","-","-","300000","","","",""
"부산","치아질환 처치","치아매식, 지대체 교환","-","-","300000","","","",""
"부산","치아질환 처치","치아매식, 코핑 스크류 교환","-","-","50000","","","",""
"부산","치아질환 처치","치아매식, 유씨엘에이 스크류 교환","-","-","100000","","","",""
"부산","치아질환 처치","치아매식 수리","-","-","","50000","100000","",""
"부산","치아질환 처치","치아매식, 임시 레진치","-","-","","50000","200000","",""
"부산","치아질환 처치","골 이식술","-","-","","200000","1000000","",""
"부산","치아질환 처치","치면 열구 전색","-","-","30000","","","",""
"부산","치아질환 처치","Scaling 치석제거","-","-","80000","","","",""
"부산","치아질환 처치","Cornus Denture(내관 & 외관)","-","-","500000","","","",""
"부산","치아질환 처치","Milling 비","-","-","100000","","","",""
"부산","치아질환 처치","임플란트목적/상악동거상술,측방접근","-","-","","1000000","1500000","",""
"부산","치아질환 처치","레이져 솔더","-","-","60000","","","",""
"부산","치아질환 처치","임플란트 주위염 치료","-","-","100000","","","",""
"부산","치아질환 처치","임플란트 2차 수술, 간단","-","-","100000","","","",""
"부산","치아질환 처치","치주 테스트(인공치아 개당)","-","-","50000","","","",""
"부산","치아질환 처치","서지컬 스텐트(수술용 스텐트)","-","-","","50000","100000","",""
"부산","치아질환 처치","임플란트목적/상악동거상술(편측)","-","-","300000","","","",""
"부산","치아질환 처치","임플란트목적/하치조측방전위술(편측)","-","-","1000000","","","",""
"부산","치아질환 처치","임플란트목적/하치조측방전위술(양측)","-","-","1500000","","","",""
"부산","치아질환 처치","골증대술","-","-","500000","","","",""
"부산","치아질환 처치","보격장치(고정식)","-","-","50000","","","",""
"부산","치아질환 처치","보격장치(가철식)","-","-","100000","","","",""
"부산","구강외과 수술","치관노출술 [1치당]","UX041","-","100000","","","",""
"부산","시술료","약침술","49010","-","15000","","","","Y"
"부산","한방 정신요법료","자율훈련법","59104","-","30000","","","",""
"부산","보철","주조금관, 금합금","-","인상","420000","","","Y",""
"부산","보철","가철성 의치용 금속 교합면 인공치 (S-gold)","-","-","250000","","","Y",""
"부산","보철","도재소부전장관, 비귀금속, A","-","-","370000","","","Y",""
"부산","보철","도재소부전장관, 비귀금속, B","-","-","350000","","","Y",""
"부산","보철","편측 가철성국소의치, 고주파비귀금속","-","-","700000","","","Y",""
"부산","보철","포스트관, 귀금속, 단순","-","-","230000","","","Y",""
"부산","보철","치아지지가철성의치, 복잡","-","-","1800000","","","Y",""
"부산","보철","임플란트 지지의치, 복잡","-","-","1800000","","","Y",""
"부산","보철","코누스 텔레스코픽 내,외관 금합금","-","-","600000","","","Y",""
"부산","보철","코누스 텔레스코픽 내,외관 PD합금","-","-","500000","","","Y",""
"부산","보철","매식치금관, 슈퍼골드","-","-","620000","","","Y",""
"부산","보철","매식치금관, 백금가공","-","-","660000","","","Y",""
"부산","보철","임시치, 복잡","-","-","150000","","","Y",""
"부산","보철","코누스 텔레스코픽 내,외관 백금합금","-","-","700000","","","Y",""
"부산","보철","코누스 텔레스코픽 내,외관 비귀금속","-","-","550000","","","Y",""
"부산","보철","세미리지드 연결체","-","-","150000","","","Y",""
"부산","보철","매식술, 혼합형틀니,Titanium,Fixture 5ea,","-","-","1800000","","","Y",""
"부산","일반화학검사","당알부민","CZ241","-","12000","","","",""
"부산","유전성대사질환검사","알파갈락토시다제","CZ329","추가","52677","","","",""
"부산","유전성대사질환검사","옥살산검사","CZ339","-","19061","","","",""
"부산","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산검사","10596","","","",""
"부산","유전성대사질환검사","메틸말론산검사","CZ340","메틸말론산 정량(24시간 소변)","21193","","","",""
"부산","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","-","25000","","","",""
"부산","자가면역질환검사","항신경핵항체 1형","CZ422","-","46986","","","",""
"부산","자가면역질환검사","항신경핵항체 2형","CZ423","-","46986","","","",""
"부산","자가면역질환검사","항GD1b항체 [IgM]","CZ425","-","42866","","","",""
"부산","자가면역질환검사","항MAG항체","CZ427","-","21086","","","",""
"부산","자가면역질환검사","항CCP항체[IgG]","CZ432","-","25300","","","",""
"부산","자가면역질환검사","ASCA검사-igA [효소면역측정법]","CZ434","-","52677","","","",""
"부산","자가면역질환검사","항GM1항체 [IgG]","CZ261","-","19170","","","",""
"부산","자가면역질환검사","항GM1항체 [IgM]","CZ262","-","19170","","","",""
"부산","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-LDLR 유전자","CZ622","-","194438","","","",""
"부산","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-TP53 유전자, 이형접합체소실","CZ804","-","42134","","","",""
"부산","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-Real Time PCR bcr/abl","CZ809","추가","61387","","","",""
"부산","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-BRAF 유전자, 돌연변이[실시간 중합효소연쇄반응]","CZ854","-","36863","","","",""
"부산","분자병리검사","유전자형 검사-F2(prothrombin) 유전자 다형성검사[중합효소연쇄반응-제한효소절편길이다형법]","CZ898","-","12147","","","",""
"부산","분자병리검사","기타 검사-인플루엔자바이러스 A & B [역전사이중중합효소연쇄반응]","CZ974","-","134225","","","",""
"부산","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","-","53467","","","",""
"부산","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","-","25000","","","",""
"부산","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","-","25000","","","",""
"부산","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","-","15000","","","",""
"부산","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","-","15000","","","",""
"부산","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사(Visua Retention Test)[시각]","FZ031","-","25000","","","",""
"부산","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사(Auditory Retention Test)[청각]","FZ032","-","25000","","","",""
"부산","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사 (Auditory Verbal Learning Test)","FZ033","-","25000","","","",""
"부산","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사(Visual Learning  Test)","FZ035","-","30000","","","",""
"부산","신경계기능검사","신경인지기능검사-기억력검사-자서전적 기억평가면접","FZ036","-","30000","","","",""
"부산","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 언어능력검사","FZ038","-","20000","","","",""
"부산","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사(Listening & Reading Comprehension test)","FZ039","-","20000","","","",""
"부산","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","-","15000","","","",""
"부산","신경계기능검사","신경인지기능검사-언어능력검사-보스톤 사물이름대기검사","FZ041","-","30000","","","",""
"부산","신경계기능검사","신경인지기능검사-언어능력검사-웨스턴 실어증검사","FZ042","추가","70000","","","",""
"부산","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사","FZ044","신규","30000","","","",""
"부산","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사(Right-Left Test)","FZ045","신규","20000","","","",""
