"대분류","중분류","소분류","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함여부","약제비포함여부","특이사항"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-PMP22 유전자","CZ616","PMP22 유전자","99320","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-FLT3  유전자, ITD","CZ634","유전자 돌연변이검사 -FLT3  유전자, ITD","29796","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-PKD2 유전자","CZ659","[유전자 염기서열검사]-PKD2 유전자","188937","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-AR 유전자","CZ663","[유전자 염기서열검사]-AR 유전자","164260","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-BRAF 유전자","CZ684","BRAF 유전자돌연변이검사","46604","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-NPM1 유전자","CZ707","유전자 돌연변이검사 -NPM1 유전자","55008","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-MGMT 유전자 [메틸화특이중합효소연쇄반응]","CZ815","MGMT 유전자[메틸화특이중합효소연쇄반응]","176844","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-JAK2 유전자, V617F 돌연변이[대립유전자특이중합효소연쇄반응법]","CZ818","PCR of JAK2 mutation","19900","","","","","위탁검사"
"행위","검사료","-","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-PMP22 유전자,엑손결실/중복[MLPA법]","CZ827","PMP22 유전자,엑손결실/중복[MLPA법]","95500","","","","","위탁검사"
"행위","검사료","-","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","ALK gene FISH","428194","","","","","위탁검사"
"행위","검사료","-","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","MDM2 FISH","118038","","","","","위탁검사"
"행위","검사료","-","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","BCL2  FISH gene","91451","","","","","위탁검사"
"행위","검사료","-","분자병리검사","기타 검사-아데노바이러스 [다중역전사중합효소연쇄반응법]","CZ981","호흡기바이러스 PCR 14종","63030","","","","","위탁검사"
"행위","검사료","-","분자병리검사","기타 검사-아데노바이러스 [다중역전사중합효소연쇄반응법]","CZ981","호흡기바이러스 PCR 9종","55008","","","","","위탁검사"
"행위","검사료","-","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","Real-Time RT-PCR [Influenza Virus A]","134225","","","","","-"
"행위","검사료","-","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","Real-Time RT-PCR [Influenza Virus A]","53242","","","","","위탁검사"
"행위","검사료","-","호흡기능검사","후각기능(인지 및 역치)검사","FZ671","후각기능검사(인지및역치)","20000","","","","","-"
"행위","검사료","-","신경계기능검사","발음 및 발성검사","FZ688","발음 및 발성검사","70000","","","","","-"
"행위","검사료","-","신경계기능검사","언어전반진단검사","FZ689","언어전반진단검사","45000","","","","","-"
"행위","검사료","-","신경계기능검사","수면각성활동량검사","FZ701","수면 각성 활동량검사","110000","","","","","-"
"행위","검사료","-","신경계기능검사","다중수면잠복기검사","FZ702","다중 수면 잠복기검사","330000","","","","","-"
"행위","검사료","-","신경계기능검사","수면 무호흡 증후군 진단을 위한 수면다원검사","FZ703","수면다원검사(야간) (Polysomnography)","500000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","연속수행력검사[시각]","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","신호탐지 SIGNAL/SD","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","연속수행력검사[청각]","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","지속력 주의력검사 DAUF","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","경계력검사 VIGIL","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","경계력검사[시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","경계력검사[청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","무시증후군검사","25000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","기호잇기검사","15000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","숫자-기호바꾸기검사","15000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각]","FZ031","단기기억력검사[시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각","FZ031","토막두드리기검사(단기기억력검사)CORSI","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","단기기억력검사[청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","캘리포니아 언어학습검사","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-홉킨스 언어학습검사","FZ034","홉킨스 언어학습검사","35000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","시각재인검사 FVW","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","시각 학습 검사","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-자서전적 기억평가면접","FZ036","자서전적 기억평가면접","30000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-기억력검사-웩슬러 기억 평정척도","FZ037","웨슬러 기억 평정척도","45363","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 언어능력검사","FZ038","언어능력평가/기본30분까지","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","성인 진단적 이해력 검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","단어유창성검사","15000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-보스톤 사물이름대기검사","FZ041","보스톤사물이름 대기검사","30000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-언어능력검사-웨스턴 실어증검사","FZ042","웨스턴 실어증검사","70000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","인식력검사[시각]","22750","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[시각]","FZ051","인식력검사 COG(Cognitrone)","22750","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-인식력검사[청각]","FZ052","인식력검사[청각]","24500","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-레이 복합도형검사","FZ044","레이 복합도형검사","30000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-좌-우 구분검사","FZ045","좌-우 구분검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","구성능력검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-후퍼 시각조직화검사","FZ047","후퍼 시각조직화검사","16263","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-손가락 두드리기검사","FZ048","손가락 두드리기 검사","13000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[시각]","FZ071","지각및집중력검사(시각변별력검사)FLIM","22675","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[시각]","FZ071","반응결정력검사 RG","22675","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[청각]","FZ072","교차현상검사(시청각자극반응검사) CROSS","24500","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-반응시간검사[청각]","FZ072","반응시간검사[청각]","24500","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-페그보드검사","FZ053","페그보드검사","13713","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-페그보드검사","FZ053","운동수행력검사 MLS","13713","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-시청각-운동 협응검사","FZ054","운동결정력검사 DG","31025","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-시청각-운동 협응검사","FZ054","시청각-운동 협응검사","31025","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-감각운동협응검사-손잡이검사","FZ055","손잡이 검사","13000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-논리적 사고력검사","FZ056","논리적 사고력 검사","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-논리적 사고력검사","FZ056","가설형성검사 HYPO","25000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-카테고리검사","FZ057","카테고리검사","22675","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-레이븐 메트릭스검사","FZ058","레이븐 매트릭스검사","18700","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-레이븐 메트릭스검사","FZ058","표준도형검사 SPM","18700","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-위스콘신 카드분류검사","FZ059","위스콘신 카드분류검사","19413","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-스트룹검사","FZ060","스트룹검사","20000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-성인 진단적 계산력검사","FZ061","성인 진단적 계산력 검사","22000","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-성인 진단적 계산력검사","FZ061","작업수행력검사 WPS/ALS","22675","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-표정인식력(재인)검사","FZ062","표정인식력(재인)검사","22675","","","","","-"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-보속성검사","FZ063","보속성 검사PERSEV","18000","","","","","(별표)신경인지 기능검사 반영"
"행위","검사료","-","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-실행증검사","FZ064","실행증검사","18000","","","","","-"
"행위","검사료","-","신경계기능검사","한국판 K-SADS-PL(선별면담)","FZ111","한국판 K-SADS-PL (선별면담)","40000","","","","","-"
"행위","검사료","-","신경계기능검사","한국판 K-SADS-PL(행동장애 부록)","FZ112","한국판 K-SADS-PL (행동장애부록)","30000","","","","","-"
"행위","검사료","-","신경계기능검사","한국판 K-SADS-PL(정동장애 부록)","FZ113","한국판 K-SADS-PL (정동장애부록)","30000","","","","","-"
"행위","검사료","-","신경계기능검사","한국판 K-SADS-PL(불안장애 부록)","FZ114","한국판 K-SADS-PL (불안장애부록)","33000","","","","","-"
"행위","검사료","-","신경계기능검사","정량적감각기능검사(전류인지역치)","FY883","정량적감각기능검사(전류인지역치)Current Perception Threshold","30000","","","","","-"
"행위","검사료","-","신경계기능검사","자율신경계이상검사(심박변이도검사)","FY894","자율신경계이상검사(심박변이도검사-Heart Rate Variability Test)","10000","","","","","-"
"행위","검사료","-","신경계기능검사","증상 및 행동 평가 척도(불안척도)-신경증불안평가","FY705","신경증 불안평가","35000","","","","","-"
"행위","검사료","-","신경계기능검사","증상 및 행동 평가 척도(우울척도)-신경증우울평가","FY713","신경증 우울평가","35000","","","","","-"
"행위","검사료","-","신경계기능검사","증상 및 행동 평가 척도(기타)-한국판성격평가척도(KPAI)","FY739","한국판 성격평가척도","30000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","동적체평형검사","FZ731","Balance Traninig","5000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","회전검사","FZ732","회전의자검사(정현파회전 및 등속회전검사,Rotatory Chair Test)","50000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오 전기 온도안진검사 (단일:Caloric test)","27000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사,체위변환,두위변환검사","51800","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진(두위안진검사 :Positional test)","31010","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","온도안진검사(냉온교대Caloric test)","31010","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","운동성안진및운동후(시운동성안진 및 후안진 검사)","50000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","비디오전기안진검사 급속안구운동","50000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적 (시추적검사:Smooth pursuit test)","50000","","","","","-"
"행위","검사료","-","평형 및 청각기능검사","전정유발근전위검사","FZ734","전정유발근전위검사(VEMP Test)","60000","","","","","-"
"행위","검사료","-","시기능검사","전산화각막형태검사[편측]","EZ791","각막형태(지형도)검사 [편측]","40000","","","","","-"
"행위","검사료","-","시기능검사","인도시아닌안저혈관조영술[편측]","EZ795","인도시아닌안저혈관조영술 [편측]","120000","","","","","-"
"행위","검사료","-","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영OCT [편측]","100000","","","","","-"
"행위","검사료","-","시기능검사","눈의 계측검사 (레이저간섭계 이용)","EZ797","인공수정체도수검사 IOL Master [편측]","50000","","","","","-"
"행위","검사료","-","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","동맥경화도검사(조기검진용)","10000","","","","","-"
"행위","검사료","-","생식, 임신 및 분만","자궁경부확대촬영검사","EZ886","자궁경부촬영확대술","30000","","","","","-"
"행위","검사료","-","치아검사","타액검사[분비율, 점조도, PH, 완충기능검사]","EZ919","타액검사[분비율,점조도,PH,완충기능검사]","10000","","","","","-"
"행위","검사료","-","일반생검","심근생검 검사","CZ976","심근생검 검사","600000","","","","","-"
"행위","검사료","-","일반생검","입체적 유방절제생검술","CZ977","입체적 유방절제 생검술","1000000","","","N","","재료대별도산정"
"행위","검사료","-","바이러스성 간염 혈청검사","C형간염항체(정밀)","C4872","C형간염 항체","17825","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","-","바이러스성 간염 혈청검사","C형간염항체(정밀)-핵의학적방법","C7487","C형간염항체(정밀)-핵의학적방법","17900","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-경동맥혈관","E9411","초음파검사-두경부-경동맥혈관","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-뇌","E9412","초음파검사-두경부-뇌","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-안구[편측]","E9413","초음파검사-두경부-안구[편측]","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-안와[편측]","E9414","초음파검사-두경부-안와[편측]","70000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-안계측[편측]","E9415","초음파검사-두경부-계측[편측]","16000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-경부","E9416","초음파검사-두경부-경부","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-후두","E9417","초음파검사-두경부-후두","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-두경부-비·부비동","E9418","초음파검사-두경부-비·부비동","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-흉부-흉막·폐","E9421","초음파검사-흉부-흉막·폐","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-흉부-유방·액와부","E9422","초음파검사-흉부-유방·액와부","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경식도심초음파-일반","E9431","초음파검사-심장-경식도심초음파-일반","170000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경식도심초음파-정밀","E9432","초음파검사-심장-경식도심초음파-정밀","170000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경흉부심초음파-일반","E9433","초음파검사-심장-경흉부심초음파-일반","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-경흉부심초음파-정밀","E9434","초음파검사-심장-경흉부심초음파-정밀(strain)","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-부하심초음파-약물부하","E9435","초음파검사-심장-부하심초음파-약물부하","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-부하심초음파-운동부하","E9436","초음파검사-심장-부하심초음파-운동부하","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-심장내초음파","E9437","초음파검사-심장-심장내초음파","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-태아정밀","E9438","초음파검사-심장-태아정밀","113120","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-심장-심근조영","E9439","초음파검사-심장-심근조영","80510","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-간·담낭·담도·비장·췌장","E9441","초음파검사-복부,골반-복부-간·담낭·담도·비장·췌장","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-신장·부신·방광","E9442","초음파검사-복부,골반-복부-신장·부신·방광","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-충수돌기","E9443","초음파검사-복부,골반-복부-충수돌기","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-소장·대장","E9444","초음파검사-복부,골반-복부-소장·대장","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-직장","E9445","초음파검사-복부,골반-복부-직장","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-복부-골반장기","E9446","초음파검사-복부,골반-복부-골반장기","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-남성생식기-전립선·정낭","E9447","초음파검사-복부,골반-남성생식기-전립선·정낭","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-남성생식기-음경","E9448","초음파검사-복부,골반-남성생식기-음경","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-복부,골반-남성생식기-음낭","E9449","초음파검사-복부,골반-남성생식기-음낭","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-견관절,고관절,슬관절,주관절,완관절,족관절","E9451","초음파검사-근골격,연부-사지관절[편측]-견,고,슬,주,완,족관절","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-수부관절,족부관절","E9452","초음파검사-근골격,연부-사지관절[편측]-수부,족부관절","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-말초신경[편측]","E9453","초음파검사-근골격,연부-말초신경[편측]","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-근골격,연부-연부조직","E9454","초음파검사-근골격,연부-연부조직","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-상지혈관[편측]-동맥","E9461","초음파검사-혈관-상지혈관[편측]-동맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-상지혈관[편측]-정맥","E9462","초음파검사-혈관-상지혈관[편측]-정맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-하지혈관[편측]-동맥","E9463","초음파검사-혈관-하지혈관[편측]-동맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-하지혈관[편측]-정맥","E9464","초음파검사-혈관-하지혈관[편측]-정맥","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-복부혈관(대동맥·복부장기 혈관)","E9465","초음파검사-혈관-복부혈관(대동맥·복부장기 혈관)","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-동정맥루-혈류 및 협착 측정","E9466","초음파검사-혈관-동정맥루-혈류 및 협착 측정","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-혈관-동정맥루-혈관지도검사","E9467","초음파검사-혈관-동정맥루-혈관지도검사","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"행위","검사료","초음파 검사료","초음파 검사료","초음파검사-임산부-산모-임신 제1삼분기","E9471","초음파검사-임산부-산모-임신 제1삼분기","60000","","","","","급여 인정기준 외 실시한 경우 비급여"
