"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항","최종변경일"
"19","[행위]처치 및 수술료 등","처치 및 수술료","복강경 보조하 경항문 접근 직장 및 에스장 절제술","HZGS00200","HZGS00200","3600000","","","X","X","","2021-11-10"
"20","[행위]검사료","기능검사료(소화기 기능검사)","간섬유화검사(Liver Fibroscan)","EZ829","SZ11600","90000","","","","","","2021-03-25"
"21","[행위]검사료","기능 검사료(호흡기 기능검사)","호기 산화질소 측정","FZ672","SZ09701","50000","","","","","","2021-05-26"
"22","[행위]검사료","내분비검사","항뮬러관호르몬[정밀면역검사]","D3730","LWD3730","52833","","","","","","2023-01-01"
"23","[행위]검사료","병리검사료-사람유전자분리병리검사","사람유전자 분자병리검사-비유전성 유전자검사-메틸화특이중합효소연쇄반응","CZ5840000","PWCZ815","86910","","","X","X","","2021-06-03"
"24","[행위]검사료","내분비검사","성호르몬결합글로불린","CZ202","LWCZ202","23499","","","","","","2021-05-26"
"25","[행위]초음파 검사료","기본초음파-단순초음파","기본초음파-단순초음파(Ⅰ)","EB401","SEB401","17240","","","","","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"26","[행위]초음파 검사료","기본초음파-단순초음파","기본초음파-단순초음파(Ⅱ)","EB402","SEB402","34480","","","","","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"27","[행위]초음파 검사료","초음파 검사료","내시경 초음파를 이용한 세침 흡인 세포 검사","EZ992","SEZ992","800000","","","","","","2020-01-31"
"28","[행위]초음파 검사료","초음파 검사료","복부-소아 복부 초음파(만8세 미만)","EB458","SEB458","246620","","","","","","2023-01-01"
"29","[행위]초음파 검사료","초음파 검사료","진공보조 유방 생검시 유도 초음파","EZ9870000","HZGT00700","800000","","","X","X","","2023-01-01"
"30","[행위]초음파 검사료","초음파 검사료","유도초음파-(조영)유도초음파(Ⅳ)","EB564020","SEB564020","459180","","","","","","2023-01-01"
"31","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅰ)","EB561","SEB561","58870","","","","","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"32","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅱ)","EB562","SEB562","117740","","","","","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"33","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅲ)","EB563","SEB563","141290","","","","","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"34","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅳ)","EB564","SEB564","353220","","","","","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"35","[행위]초음파 검사료","기능 검사료(호흡기기능검사)","정량적감각기능검사","FY883","SZ10900","30000","","","","","","2020-01-31"
"36","[행위]초음파 검사료","진단초음파-복부","진단초음파-(도플러)복부-항문초음파만 시행한 경우","EB447010","SEB44701","133520","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"37","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(고위험임신)제2,3삼분기","EB516","SEB51601","229335","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"38","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(기형아정밀계측)제1삼분기","EB514","SEB51401","308985","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"39","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB51801","479835","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"40","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(일반)제1삼분기","EB511","SEB51101","135015","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"41","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(일반)제2,3삼분기","EB515","SEB51501","191115","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"42","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(임신여부만 확인)제1삼분기","EB512","SEB51201","91635","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"43","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(정밀)제1삼분기","EB513","SEB51301","240915","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"44","[행위]초음파 검사료","진단초음파-임산부","진단초음파-2태아임산부-(정밀)제2,3삼분기","EB517","SEB51701","409590","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"45","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(고위험임신)제2,3삼분기","EB516","SEB51602","293040","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"46","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(기형아정밀계측)제1삼분기","EB514","SEB51402","411980","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"47","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB51802","639780","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"48","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(일반)제1삼분기","EB511","SEB51102","180020","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"49","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(일반)제2,3삼분기","EB515","SEB51502","254820","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"50","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(임신여부만 확인)제1삼분기","EB512","SEB51202","122180","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"51","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(정밀)제1삼분기","EB513","SEB51302","321220","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"52","[행위]초음파 검사료","진단초음파-임산부","진단초음파-3태아임산부-(정밀)제2,3삼분기","EB517","SEB51702","546120","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"53","[행위]초음파 검사료","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선","EB414","SEB414","102100","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"54","[행위]초음파영상료","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선","EB414","SEB41402","102100","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"55","[행위]초음파영상료","진단초음파/두경부-경부 초음파","진단초음파-(제한적)경부-갑상선·부갑상선","EB414001","SEB41403","51050","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"56","[행위]초음파 검사료","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선 제외한 경부","EB415","SEB415","102100","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"57","[행위]초음파영상료","진단초음파-두경부","진단초음파-경부-갑상선·부갑상선 제외한 경부","EB415","SEB41502","102100","","","X","X","건강보험 기준외 비급여","2023-01-01"
"58","[행위]초음파영상료","진단초음파-두경부초음파","진단초음파-경부-(제한적)갑상선·부갑상선 제외한 경부","EB415001","SEB41503","51050","","","X","X","건강보험 기준외 비급여","2023-01-01"
"59","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)견관절(편측)Shoulder","EB466010","SEB46601","109610","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"60","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)고관절(편측)Hip","EB465010","SEB46501","109610","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"61","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)류마티스성질환3부위이상관절종합","EB469010","SEB46901","170040","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"62","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)발가락(편측)Toe","EB462010","SEB46201","79460","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"63","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)발목관절(편측)Ankle","EB468010","SEB46801","109610","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"64","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)손가락(편측)","EB461010","SEB46101","79460","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"65","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)손목관절(편측)Wrist","EB467010","SEB46701","109610","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"66","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)슬관절(편측)Knee","EB464010","SEB46401","87530","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"67","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-(도플러)주관절(편측)Elbow","EB463010","SEB46301","87530","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"68","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-견관절(편측)Shoulder","EB466","SEB466","99640","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"69","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-고관절(편측)Hip","EB465","SEB465","99640","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"70","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-류마티스성질환3부위이상관절종합","EB469","SEB469","154590","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"71","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-발가락(편측)Toe","EB462","SEB462","72230","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"72","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-발목관절(편측)Ankle","EB468","SEB468","99640","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"73","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-손가락(편측)","EB461","SEB461","72230","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"74","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-손목관절(편측)Wrist","EB467","SEB467","99640","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"75","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-슬관절(편측)Knee","EB464","SEB464","79570","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"76","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-관절-주관절(편측)Elbow","EB463","SEB463","79570","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"77","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)음경 Penis","EB453010","SEB45301","110490","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"78","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)음낭 Scrotum","EB454010","SEB45401","110490","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"79","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)전립선·정낭(경복부로 실시)","EB452010","SEB45201","78190","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"80","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-(도플러)전립선·정낭(경직장으로 실시)","EB451010","SEB45101","140610","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"81","[행위]초음파영상료","진단초음파-복부","(건강검진 목적 비급여)진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","EB451","SEB45102","127830","","","X","X","건강보험 기준외 비급여","2023-01-01"
"82","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-음경 Penis","EB453","SEB453","100440","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"83","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-음낭 Scrotum","EB454","SEB454","100440","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"84","[행위]초음파영상료","진단초음파-복부","(건강검진 목적 비급여)진단초음파-남성생식기-음낭 Scrotum","EB454","SEB45402","100440","","","X","X","건강보험 기준외 실시한경우 비급여","2023-01-01"
"85","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-전립선·정낭(경복부로 실시)","EB452","SEB452","71090","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"86","[행위]초음파영상료","진단초음파-복부","(건강검진 목적 비급여)진단초음파-남성생식기-전립선·정낭(경복부로 실시)","EB452","SEB45202","71090","","","X","X","건강보험 기준외 비급여","2023-01-01"
"87","[행위]초음파 검사료","진단초음파-복부","진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","EB451","SEB451","127830","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"88","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)(일반)간·담낭·담도·비장·췌장","EB441010","SEB44101","149040","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"89","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)(정밀)간·담낭·담도·비장·췌장","EB442010","SEB44201","221330","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"90","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)서혜부 Inguinal region","EB445010","SEB44501","94000","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"91","[행위]초음파영상료","진단초음파-복부","(건강검진 목적 비급여) 진단초음파-복부-서혜부 Inguinal region","EB445","SEB44502","85450","","","X","X","건강보험기준외 비급여","2023-01-01"
"92","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)소장·대장 Small Bowel·Colon","EB444010","SEB44401","136130","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"93","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)직장·항문 Rectum·Anus","EB446010","SEB44601","160210","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"94","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(도플러)충수 Appendix","EB443010","SEB44301","136030","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"95","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(일반)간·담낭·담도·비장·췌장","EB441","SEB441","135480","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"96","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(정밀)간·담낭·담도·비장·췌장","EB442","SEB442","201210","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"97","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(조영)(일반)간·담낭·담도·비장·췌장","EB441020","SEB44102","176130","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"98","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-(조영)(정밀)간·담낭·담도·비장·췌장","EB442020","SEB44202","261560","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"99","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-서혜부 Inguinal region","EB445","SEB445","85450","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"100","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-소장·대장 Small Bowel·Colon","EB444","SEB444","123770","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"101","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-직장·항문 Rectum·Anus","EB446","SEB446","145650","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"102","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-충수 Appendix","EB443","SEB443","123670","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"103","[행위]초음파 검사료","진단초음파-복부","진단초음파-복부-항문초음파만 시행한 경우","EB447","SEB447","121370","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"104","[행위]초음파 검사료","진단초음파-흉부","진단초음파-비·부비동 초음파","EB416","SEB416","67440","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"105","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-(도플러)신장·부신","EB449010","SEB44901","108340","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"106","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-(도플러)신장·부신·방광","EB448010","SEB44801","119890","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"107","[행위]초음파영상료","진단초음파-복부","(건강검진 목적 비급여) 진단초음파-비뇨기계-신장·부신·방광","EB448","SEB44802","108990","","","X","X","건강보험 기준외 비급여","2023-01-01"
"108","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-방광 Bladder","EB450010","SEB45001","97740","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"109","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-방광 Bladder","EB450","SEB450","88860","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"110","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-신장·부신","EB449","SEB449","98490","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"111","[행위]초음파 검사료","진단초음파-복부","진단초음파-비뇨기계-신장·부신·방광","EB448","SEB448","108990","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"112","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계","EB501","SEB501","219350","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"113","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-(만1세미만소아 척수)중추신경계","EB502","SEB502","219350","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"114","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-(사지신경 종합검사)말초신경 초음파","EB504","SEB504","170660","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"115","[행위]초음파 검사료","진단초음파-신경","진단초음파-신경-말초신경 초음파(편측)","EB503","SEB503","65410","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"116","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(단순)경흉부심초음파","EB431","SEB431","124280","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"117","[행위]초음파 검사료","진단초음파-심장-경흉부 심초음파","진단초음파-심장-(단순)경흉부심초음파","EB431","SEB43101","124280","","","X","X","건강보험 기준외 비급여","2023-01-01"
"118","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파","EB430","SEB430","117710","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"119","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(약물)부하심초음파","EB434","SEB434","578590","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"120","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(운동)부하심초음파","EB435","SEB435","550140","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"121","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(일반)경흉부심초음파","EB432","SEB432","196170","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"122","[행위]초음파영상료","진단초음파-심장-경흉부 심초음파","진단초음파-심장-(일반)경흉부심초음파","EB432","SEB43201","196170","","","X","X","건강보험기준외 비급여","2023-01-01"
"123","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-(전문)경흉부심초음파","EB433","SEB433","286040","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"124","[행위]초음파 검사료","진단초음파-심장","진단초음파-심장-태아정밀 심초음파","EB436","SEB436","429830","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"125","[행위]초음파 검사료","진단초음파-두경부","진단초음파-안-안구","EB411","SEB411","101720","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"126","[행위]초음파 검사료","진단초음파-두경부","진단초음파-안-안와","EB412","SEB412","101720","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"127","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-(도플러)일반","EB455010","SEB45501","126450","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"128","[행위]초음파영상료","진단초음파-복부","(건강검진 목적 비급여) 진단초음파-여성생식기-일반","EB455","SEB45502","114950","","","X","X","급여인정기준 외 실시한경우 비급여","2023-01-01"
"129","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-(도플러)정밀","EB457010","SEB45701","185270","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"130","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-일반","EB455","SEB455","114950","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"131","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우","EB456","SEB456","147050","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"132","[행위]초음파 검사료","진단초음파-복부","진단초음파-여성생식기-정밀","EB457","SEB457","168430","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"133","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-(도플러)일반","EB470010","SEB47001","79460","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"134","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-(도플러)정밀","EB471010","SEB47101","102050","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"135","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-일반","EB470","SEB470","72230","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"136","[행위]초음파 검사료","진단초음파-근골격,연부","진단초음파-연부조직-정밀","EB471","SEB471","92770","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"137","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(고위험임신)제2,3삼분기","EB516","SEB516","165630","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"138","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(기형아정밀계측)제1삼분기","EB514","SEB514","205990","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"139","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(기형아정밀계측)제2,3삼분기","EB518","SEB518","319890","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"140","[행위]초음파 검사료","초음파 검사료","진단초음파-임산부-(도플러)(일반)제1삼분기","EB511010","SEB51103","99010","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"141","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(일반)제1삼분기","EB511","SEB511","90010","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"142","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(일반)제2,3삼분기","EB515","SEB515","127410","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"143","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(임신여부만 확인)제1삼분기","EB512","SEB512","61090","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
"144","[행위]초음파 검사료","진단초음파-임산부","진단초음파-임산부-(정밀)제1삼분기","EB513","SEB513","160610","","","X","X","급여 인정기준 외 실시한 경우 비급여","2023-01-01"
