대분류,중분류,소분류,EDI코드,EDI명칭,수가코드,수가명칭,구분,비용,최저비용,최고비용,치료재료대 포함여부,약제비포함여부,특이사항
행위료,자기공명영상진단료(MRI),두경부,,,HI203/HJ203,MRI 안면 Face  조영제 사용,,,528780,560220,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3288원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI204/HJ204,MRI 부비동 PNS 조영제 사용,,,528780,560220,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3289원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI205/HJ205,MRI 안와 Orbi조영제 사용,,,528780,560220,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3290원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI206/HJ206,MRI 측두골 Temporal Bone  조영제 사용,,,528780,560220,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3291원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI207/HJ207,MRI 측두하악관절 TM-Joint  조영제 사용,,,528780,560220,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3292원) 포함
행위료,자기공명영상진단료(MRI),두경부,,,HI208/HJ208,MRI 경부 Neck  조영제 사용,,,528780,560220,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3293원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF101,확산,,228350,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3294원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF102,관류 [3차원자기공명영상 포함],,348140,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3295원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF103,분광영상,,229310,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3296원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF104,영화 [3차원자기공명영상 포함],,509810,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3297원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF105,Dynamic,,401180,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3298원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF107,기능적 [3차원자기공명영상 포함],,584050,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3299원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF201,확산-기본검사 동시,,128190,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3300원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF202,관류 [3차원자기공명영상 포함]-기본검사 동시,,197790,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3301원) 포함
행위료,자기공명영상진단료(MRI),특수검사,,,RMHF203,분광영상-기본검사 동시,,136800,,,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3302원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI135/HJ135,MRI뇌혈관Brain MRA,,,399830,423540,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3303원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI136/HJ136,MRI뇌혈관Brain MRA,,,399830,423540,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3304원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI235/HJ235,뇌혈관Brain MRA  조영제 사용,,,530330,561870,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3305원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI236/HJ236,MRI 경부혈관 Neck MRA  조영제 사용,,,530330,561870,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3306원) 포함
행위료,검사료,내시경,,,SEA001,진정내시경 환자관리료　Ⅰ,,54740,,,N,N,
행위료,검사료,내시경,,,SEA002,진정내시경 환자관리료 Ⅱ,,79410,,,N,N,
행위료,검사료,내시경,,,SEA003,진정내시경 환자관리료 Ⅲ,,121700,,,N,N,
행위료,검사료,내시경,,,SEA004,진정내시경 환자관리료 Ⅳ,,168300,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB401,기본초음파-단순초음파(Ⅰ),,15860,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB402,기본초음파-단순초음파(Ⅱ),,31700,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB412,(양측) 진단초음파-안-안와,,93500,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB414,진단초음파-경부-갑상선·부갑상선,,93860,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB415,진단초음파-경부-갑상선·부갑상선 제외한 경부,,93860,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB416,진단초음파-비·부비동 초음파,,62000,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB421,진단초음파-흉부-유방·액와부 초음파,,126500,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB422,진단초음파-흉부-유방·액와부 제외한 흉부 초음파,,87490,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB430,진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파,,36060,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB431,진단초음파-심장-(단순)경흉부심초음파,,114260,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB432,진단초음파-심장-(일반)경흉부심초음파,,180350,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB433,진단초음파-심장-(전문)경흉부심초음파,,262960,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB434,진단초음파-심장-(약물)부하심초음파,,312880,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB435,진단초음파-심장-(운동)부하심초음파,,297490,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB436,진단초음파-심장-태아정밀 심초음파,,395150,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB441,진단초음파-복부-(일반)간·담낭·담도·비장·췌장,,124560,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB442,진단초음파-복부-(정밀)간·담낭·담도·비장·췌장,,184980,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB443,진단초음파-복부-충수 Appendix,,113700,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB444,진단초음파-복부-소장·대장 Small Bowel·Colon,,113780,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB445,진단초음파-복부-서혜부 Inguinal region,,78560,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB446,진단초음파-복부-직장·항문 Rectum·Anus,,133900,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB447,진단초음파-복부-항문초음파만 시행한 경우,,111580,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB448,진단초음파-비뇨기계-신장·부신·방광,,100190,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB449,진단초음파-비뇨기계-신장·부신,,90540,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB450,진단초음파-비뇨기계-방광 Bladder,,81680,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB451,진단초음파-남성생식기-전립선·정낭(경직장으로 실시),,117520,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB452,진단초음파-남성생식기-전립선·정낭(경복부로 실시),,65340,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB453,진단초음파-남성생식기-음경 Penis,,92340,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB454,진단초음파-남성생식기-음낭 Scrotum,,92340,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB455,진단초음파-여성생식기-일반,,105680,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB456,진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우,,135180,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB457,진단초음파-여성생식기-정밀,,154850,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB461,진단초음파-관절-손가락(편측),,66400,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB462,진단초음파-관절-발가락(편측)Toe,,66400,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB463,진단초음파-관절-주관절(편측)Elbow,,73150,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB464,진단초음파-관절-슬관절(편측)Knee,,73150,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB465,진단초음파-관절-고관절(편측)Hip,,91600,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB466,진단초음파-관절-견관절(편측)Shoulder,,91600,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB467,진단초음파-관절-손목관절(편측)Wrist,,91600,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB468,진단초음파-관절-발목관절(편측)Ankle,,91600,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB470,진단초음파-연부조직-일반,,66400,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB471,진단초음파-연부조직-정밀,,85300,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB481,진단초음파-혈관-뇌혈류,,131840,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB482,진단초음파-혈관-(경동맥)두개외 혈관 도플러,,112540,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB483,진단초음파-혈관-(기타 동맥)두개외 혈관 도플러,,59070,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB484,(양측) 진단초음파-혈관-(상지-동맥)사지혈관 도플러,,90670,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB485,(양측) 진단초음파-혈관-(상지-정맥)사지혈관 도플러,,90670,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB486,(양측) 진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러,,46670,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB487,(양측) 진단초음파-혈관-(하지-동맥)사지혈관 도플러,,143580,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB488,(양측) 진단초음파-혈관-(하지-정맥)사지혈관 도플러,,143580,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB489,진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러,,161260,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB490,진단초음파-혈관-대동맥 도플러,,87460,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB501,진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계,,201650,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB502,진단초음파-신경-(만1세미만소아 척수)중추신경계,,201650,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB503,진단초음파-신경-말초신경 초음파(편측),,60140,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB504,진단초음파-신경-(사지신경 종합검사)말초신경 초음파,,156880,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB511,진단초음파-임산부-(일반)제1삼분기,,82750,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB512,진단초음파-임산부-(임신여부만 확인)제1삼분기,,56140,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB513,진단초음파-임산부-(정밀)제1삼분기,,147660,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB514,진단초음파-임산부-(기형아정밀계측)제1삼분기,,189360,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB515,"진단초음파-임산부-(일반)제2,3삼분기",,117140,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB516,"진단초음파-임산부-(고위험임신)제2,3삼분기",,152270,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB517,"진단초음파-임산부-(정밀)제2,3삼분기",,251020,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB518,"진단초음파-임산부-(기형아정밀계측)제2,3삼분기",,294080,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB561,유도초음파-유도초음파(Ⅰ),,54130,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB562,유도초음파-유도초음파(Ⅱ),,108240,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB563,유도초음파-유도초음파(Ⅲ),,129890,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB564,유도초음파-유도초음파(Ⅳ),,324720,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB610,특수초음파-심장-(선천성심질환에검사)경식도 심초음파,,36060,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB611,특수초음파-심장-경식도 심초음파,,296020,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB612,특수초음파-심장-심장내 초음파,,325620,,,N,N,
행위료,초음파 검사료,초음파 검사료,,,SEB469,진단초음파-관절-류마티스성질환3부위이상관절종합,,142110,,,N,N,
행위료,자기공명영상진단료(MRI),흉부,,,HI125/HJ125,MRI 흉부 Chest 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3280원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI127/HJ127,MRI 복부 Abdomen 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3281원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI128/HJ128,MRI 골반 Pelvis,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3282원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI129/HJ129,MRI 췌장 Pancreas 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3283원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI130/HJ130,MRI 신장및부신 Kidney & Adrenal 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3284원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI132/HJ132,MRI 간  Liver 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3285원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI133/HJ133,MRI 담췌관 Cholangiogrem 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3286원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI134/HJ134,MRI 전립선 Prostate 일반,,,398740,422400,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3287원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI137/HJ137,MRI 흉부혈관 Thoracic MRA,,,399830,423540,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3288원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI138/HJ138,MR 복부혈관 Abdominal MRA 일반,,,399830,423540,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3289원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI140/HJ140,MR 심혈관   Cardiovascular MRA  일반,,,399830,423540,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3290원) 포함
행위료,자기공명영상진단료(MRI),흉부,,,HI225/HJ225,MRI 흉부 Chest 조영제사용,,,443190,466850,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3291원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI227/HJ227,MRI 복부 Abdomen 조영제 사용,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3292원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI228/HJ228,MRI 골반 Pelvis 조영제 사용,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3293원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI229/HJ229,MRI 췌장 Pancreas 조영제 사용,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3294원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI230/HJ230,MRI  신장및 부신  Kidney &Adrenal,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3295원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI232/HJ232,MRI  간 Liver  조영제사용,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3296원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI233/HJ233,MRI  담췌관 Cholangiogram  조영제 사용,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3297원) 포함
행위료,자기공명영상진단료(MRI),복부,,,HI234/HJ234,MRI  전립선 Prostate  조영제 사용,,,528740,560180,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3298원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI237/HJ237,MRI 흉부혈관 Thoracic MRA(조영제 사용),,,530330,561870,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3299원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI238/HJ238,MRI 복부혈관 Abdominal MRA 조영제사용,,,530330,561870,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3300원) 포함
행위료,자기공명영상진단료(MRI),혈관[동맥 또는 정맥],,,HI240/HJ240,MRI  심혈관 Cardiovascular MRA 조영제 사용,,,530330,561870,N,N,장비별(테슬라)금액상이 PACS영상저장및 전송비용(3301원) 포함
행위료,주사료,예방접종,,,MFLU05,독감 백신 0.5ml,,25000,,,N,N,
행위료,주사료,예방접종,,,MBCGP,경피용건조 BCG 백신 [결핵예방],,40000,,,N,N,
행위료,주사료,예방접종,,,MBIKEN,수두 백신,,30000,,,N,N,
행위료,주사료,예방접종,,,MGDS,"가다실 [인유두종바이러스 4가(6,11,16,18형) 백신]",,80000,,,N,N,
행위료,주사료,예방접종,,,MHAV,A형간염 백신-0.5ml,,30000,,,N,N,
