"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대포함","약제비포함여부","특이사항"
"서울","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","Real-Time RT-PCR [Influenza Virus A]","53242","","","","","위탁검사"
"서울","호흡기능검사","후각기능(인지 및 역치)검사","FZ671","후각기능검사(인지및역치)","20000","","","","","-"
"서울","신경계기능검사","발음 및 발성검사","FZ688","발음 및 발성검사","70000","","","","","-"
"서울","신경계기능검사","언어전반진단검사","FZ689","언어전반진단검사","45000","","","","","-"
"서울","신경계기능검사","수면각성활동량검사","FZ701","수면 각성 활동량검사","110000","","","","","-"
"서울","신경계기능검사","다중수면잠복기검사","FZ702","다중 수면 잠복기검사","330000","","","","","-"
"서울","신경계기능검사","수면 무호흡 증후군 진단을 위한 수면다원검사","FZ703","수면다원검사(야간) (Polysomnography)","500000","","","","","-"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","연속수행력검사[시각]","30000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","신호탐지 SIGNAL/SD","20000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","연속수행력검사[청각]","30000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","지속력 주의력검사 DAUF","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","경계력검사 VIGIL","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","경계력검사[시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","경계력검사[청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","무시증후군검사","25000","","","","","-"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","기호잇기검사","15000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","숫자-기호바꾸기검사","15000","","","","","-"
"서울","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각]","FZ031","단기기억력검사[시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각","FZ031","토막두드리기검사(단기기억력검사)CORSI","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","단기기억력검사[청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","캘리포니아 언어학습검사","25000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-기억력검사-홉킨스 언어학습검사","FZ034","홉킨스 언어학습검사","35000","","","","","-"
"서울","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","시각재인검사 FVW","30000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","시각 학습 검사","30000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-기억력검사-자서전적 기억평가면접","FZ036","자서전적 기억평가면접","30000","","","","","-"
"서울","신경계기능검사","신경인지기능검사-기억력검사-웩슬러 기억 평정척도","FZ037","웨슬러 기억 평정척도","45363","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 언어능력검사","FZ038","언어능력평가/기본30분까지","20000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","성인 진단적 이해력 검사","20000","","","","","(별표)신경인지 기능검사 반영"
"서울","신경계기능검사","신경인지기능검사-언어능력검사-단어 유창성검사","FZ040","단어유창성검사","15000","","","","","(별표)신경인지 기능검사 반영"
"서울","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영OCT [편측]","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","시기능검사","눈의 계측검사 (레이저간섭계 이용)","EZ797","인공수정체도수검사 IOL Master [편측]","50000","","","","","-"
"서울","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","초음파 동맥경화협착폐색검사 [1부위]","30000","","","","","-"
"서울","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","동맥경화도검사(조기검진용)","10000","","","","","-"
"서울","신장및 비뇨기검사","Bladder scan을 이용한 방광 잔뇨량 측정검사","EZ754","초음파잔뇨량측정Bladder scan","20000","","","","","-"
"서울","신장및 비뇨기검사","(BCM)다주파수 바이오임피던스 분석법을 이용한 체수분 상태 측정","신의료기술","(BCM)다주파수 바이오임피던스 분석법을 이용한 체수분 상태 측정","15000","","","","","재료대별도산정"
"서울","생식, 임신 및 분만","자궁경부확대촬영검사","EZ886","자궁경부촬영확대술","25000","","","","","-"
"서울","치아검사","타액검사[분비율, 점조도, PH, 완충기능검사]","EZ919","타액검사[분비율,점조도,PH,완충기능검사]","10000","","","","","-"
"서울","일반생검","입체적 유방절제생검술","CZ977","입체적 유방절제 생검술","1000000","","","X","","재료대별도산정"
"서울","위탁검사","CHROMOSOM(AF)양수검사","-","CHROMOSOM(AF)양수검사","127157","","","","","-"
"서울","초음파 검사료","기본초음파-단순초음파","EB401","기본초음파-단순초음파(Ⅰ)","15360","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","기본초음파-단순초음파","EB402","기본초음파-단순초음파(Ⅱ)","30720","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB411","진단초음파-안-안구","90600","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB412","진단초음파-안-안와","90600","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB413","진단초음파-안-계측","90600","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB414","진단초음파-경부-갑상선·부갑상선","90950","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB414010","진단초음파-경부-(도플러)갑상선·부갑상선","100040","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB415","진단초음파-경부-갑상선·부갑상선 제외한 경부","90950","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-두경부","EB415010","진단초음파-경부-(도플러)갑상선·부갑상선 제외한 경부","100040","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-흉부","EB416","진단초음파-비·부비동 초음파","60090","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-흉부","EB421","진단초음파-흉부-유방·액와부 초음파","122570","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-흉부","EB421010","진단초음파-흉부-(도플러)유방·액와부 초음파","134830","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-흉부","EB422","진단초음파-흉부-유방·액와부 제외한 흉부 초음파","84780","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-흉부","EB422010","진단초음파-흉부-(도플러)유방·액와부 제외한 흉부 초음파","93250","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB430","진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파","34960","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB431","진단초음파-심장-(단순)경흉부심초음파","110720","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB432","진단초음파-심장-(일반)경흉부심초음파","174770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB433","진단초음파-심장-(전문)경흉부심초음파","254820","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB434","진단초음파-심장-(약물)부하심초음파","303200","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB435","진단초음파-심장-(운동)부하심초음파","288270","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-심장","EB436","진단초음파-심장-태아정밀 심초음파","382920","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB441","진단초음파-복부-(일반)간·담낭·담도·비장·췌장","120710","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB441010","진단초음파-복부-(도플러)(일반)간·담낭·담도·비장·췌장","132770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB441020","진단초음파-복부-(조영)(일반)간·담낭·담도·비장·췌장","156920","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB442","진단초음파-복부-(정밀)간·담낭·담도·비장·췌장","179250","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB442010","진단초음파-복부-(도플러)(정밀)간·담낭·담도·비장·췌장","197170","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB442020","진단초음파-복부-(조영)(정밀)간·담낭·담도·비장·췌장","233010","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB443","진단초음파-복부-충수 Appendix","110170","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB443010","진단초음파-복부-(도플러)충수 Appendix","121190","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB444","진단초음파-복부-소장·대장 Small Bowel·Colon","110260","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB444010","진단초음파-복부-(도플러)소장·대장 Small Bowel·Colon","121270","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB445","진단초음파-복부-서혜부 Inguinal region","76130","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB445010","진단초음파-복부-(도플러)서혜부 Inguinal region","83730","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB446","진단초음파-복부-직장·항문 Rectum·Anus","129760","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB446010","진단초음파-복부-(도플러)직장·항문 Rectum·Anus","142720","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB447","진단초음파-복부-항문초음파만 시행한 경우","108130","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB447010","진단초음파-복부-항문초음파만 시행한 경우","118940","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB448","진단초음파-비뇨기계-신장·부신·방광","97090","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB448010","진단초음파-비뇨기계-(도플러)신장·부신·방광","106800","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB449","진단초음파-비뇨기계-신장·부신","87740","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB449010","진단초음파-비뇨기계-(도플러)신장·부신","96510","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB450","진단초음파-비뇨기계-방광 Bladder","79160","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB450010","진단초음파-비뇨기계-방광 Bladder","87060","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB451","진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","113880","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB451010","진단초음파-남성생식기-(도플러)전립선·정낭(경직장으로 실시)","125270","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB452","진단초음파-남성생식기-전립선·정낭(경복부로 실시)","63320","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB452010","진단초음파-남성생식기-(도플러)전립선·정낭(경복부로 실시)","69660","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB453","진단초음파-남성생식기-음경 Penis","89470","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB453010","진단초음파-남성생식기-(도플러)음경 Penis","98430","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB454","진단초음파-남성생식기-음낭 Scrotum","89470","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB454010","진단초음파-남성생식기-(도플러)음낭 Scrotum","98430","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB455","진단초음파-여성생식기-일반","102400","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB455010","진단초음파-여성생식기-(도플러)일반","112640","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB456","진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우","130990","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB457","진단초음파-여성생식기-정밀","150040","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-복부","EB457010","진단초음파-여성생식기-(도플러)정밀","165050","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB461","진단초음파-관절-손가락(편측)","64350","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB461010","진단초음파-관절-(도플러)손가락(편측)","70770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB462","진단초음파-관절-발가락(편측)Toe","64350","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB462010","진단초음파-관절-(도플러)발가락(편측)Toe","70770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB463","진단초음파-관절-주관절(편측)Elbow","70890","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB463010","진단초음파-관절-(도플러)주관절(편측)Elbow","77980","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB464","진단초음파-관절-슬관절(편측)Knee","70890","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB464010","진단초음파-관절-(도플러)슬관절(편측)Knee","77980","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB465","진단초음파-관절-고관절(편측)Hip","88770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB465010","진단초음파-관절-(도플러)고관절(편측)Hip","97640","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB466","진단초음파-관절-견관절(편측)Shoulder","88770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB466010","진단초음파-관절-(도플러)견관절(편측)Shoulder","97640","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB467","진단초음파-관절-손목관절(편측)Wrist","88780","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB467010","진단초음파-관절-(도플러)손목관절(편측)Wrist","97640","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB468","진단초음파-관절-발목관절(편측)Ankle","88770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB468010","진단초음파-관절-(도플러)발목관절(편측)Ankle","97640","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB469","진단초음파-관절-류마티스성질환3부위이상관절종합","137710","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB469010","진단초음파-관절-(도플러)류마티스성질환3부위이상관절종합","151470","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB470","진단초음파-연부조직-일반","64350","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB470010","진단초음파-연부조직-(도플러)일반","70770","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB471","진단초음파-연부조직-정밀","82650","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-근골격,연부","EB471010","진단초음파-연부조직-(도플러)정밀","90920","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB481","진단초음파-혈관-뇌혈류","127760","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB482","진단초음파-혈관-(경동맥)두개외 혈관 도플러","109060","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB483","진단초음파-혈관-(기타 동맥)두개외 혈관 도플러","57240","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB484","진단초음파-혈관-(상지-동맥)사지혈관 도플러","87860","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB485","진단초음파-혈관-(상지-정맥)사지혈관 도플러","87860","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB486","진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러","45230","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB487","진단초음파-혈관-(하지-동맥)사지혈관 도플러","139140","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB488","진단초음파-혈관-(하지-정맥)사지혈관 도플러","139140","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB489","진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러","156270","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-혈관","EB490","진단초음파-혈관-대동맥 도플러","84750","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-신경","EB501","진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계","195400","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-신경","EB502","진단초음파-신경-(만1세미만소아 척수)중추신경계","195400","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-신경","EB503","진단초음파-신경-말초신경 초음파(편측)","58270","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-신경","EB504","진단초음파-신경-(사지신경 종합검사)말초신경 초음파","152020","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB511","진단초음파-임산부-(일반)제1삼분기","80190","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB511","진단초음파-2태아임산부-(일반)제1삼분기","160380","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB511","진단초음파-3태아임산부-(일반)제1삼분기","240570","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB512","진단초음파-임산부-(임신여부만 확인)제1삼분기","54410","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB512","진단초음파-2태아임산부-(임신여부만 확인)제1삼분기","108820","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB512","진단초음파-3태아임산부-(임신여부만 확인)제1삼분기","163230","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB513","진단초음파-임산부-(정밀)제1삼분기","143090","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB513","진단초음파-2태아임산부-(정밀)제1삼분기","286180","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB513","진단초음파-3태아임산부-(정밀)제1삼분기","429270","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB514","진단초음파-임산부-(기형아정밀계측)제1삼분기","183510","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB514","진단초음파-2태아임산부-(기형아정밀계측)제1삼분기","367020","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB514","진단초음파-3태아임산부-(기형아정밀계측)제1삼분기","550530","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB515","진단초음파-임산부-(일반)제2,3삼분기","113500","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB515","진단초음파-2태아임산부-(일반)제2,3삼분기","227000","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB515","진단초음파-3태아임산부-(일반)제2,3삼분기","340500","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB516","진단초음파-임산부-(고위험임신)제2,3삼분기","147550","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB516","진단초음파-2태아임산부-(고위험임신)제2,3삼분기","295100","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB516","진단초음파-3태아임산부-(고위험임신)제2,3삼분기","442650","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB517","진단초음파-임산부-(정밀)제2,3삼분기","243240","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB517","진단초음파-2태아임산부-(정밀)제2,3삼분기","486480","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB517","진단초음파-3태아임산부-(정밀)제2,3삼분기","729720","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB518","진단초음파-임산부-(기형아정밀계측)제2,3삼분기","284980","","","","","급여 인정기준 외 실시한 경우 비급여"
"서울","초음파 검사료","진단초음파-임산부","EB518","진단초음파-2태아임산부-(기형아정밀계측)제2,3삼분기","569960","","","","","급여 인정기준 외 실시한 경우 비급여"
