"대분류","EDI코드","EDI명칭","원내코드","원내명칭","비용"
"치료재료대","BJ4503BM","OPTICROSS CORONARY IMAGING CATHETER","5419900041","OPTICROSS CORONARY IMAGING CATHETER","1090400"
"치료재료대","BJ4504BM","OPTICROSS 18 PERIPHERAL IMAGING CATHETER","5420100024","OPTICROSS 18 PERIPHERAL IMAGING CATHETER","1160000"
"치료재료대","BJ4504JT","EAGLE EYE IVUS CATHETER","5411400002","EAGLE EYE IVUS CATHETER","1419835"
"치료재료대","BJ4801CD","NT EPIDURAL CATHETER","4011500109","NT EPIDURAL CATHETER","520000"
"치료재료대","BJ4801GV","EDEN EPIDURAL CATHETER","4011500094","EDEN EPIDURAL CATHETER","419990"
"치료재료대","BJ4801GZ","ABEL EPIDURAL CATHETER","4011500104","ABEL EPIDURAL CATHETER","509976"
"치료재료대","BJ4801NX","ASAN-ZINEU BALLOON CATHETER","4011500125","ASAN-ZINEU BALLOON CATHETER","792000"
"치료재료대","BJ4801RA","ST REED","4011500097","ST REED","489832"
"치료재료대","BK7101EA","3M COBAN SELF-ADHERENT WRAP","4020900186","3M COBAN SELF-ADHERENT WRAP","1290"
"치료재료대","BK7101EA","3M COBAN SELF-ADHERENT WRAP","4020900170","3M COBAN SELF-ADHERENT WRAP","1290"
"치료재료대","BK7101EA","3M COBAN SELF-ADHERENT WRAP","3011000001","3M COBAN SELF-ADHERENT WRAP","1290"
"치료재료대","BK7111DQ","PEHAHAFT LATEX FREE","3011000013","PEHAHAFT LATEX FREE","18000"
"치료재료대","BK7111DQ","PEHAHAFT LATEX FREE","3011000012","PEHAHAFT LATEX 4*20","12000"
"치료재료대","BTS01314","SUREDERM","4011400094","SUREDERM","1320000"
"행위료","E7800","눈의 계측검사[편측]-초음파 이용","SE7800","눈의 계측검사[편측]-초음파 이용","50000"
"행위료","E7801","눈의 계측검사[편측]-레이저 간섭계 이용","SE7801","눈의 계측검사[편측]-레이저 간섭계 이용","50000"
"행위료","FB030","신경인지기능검사-개별검사-유형Ⅲ","SFB030","신경인지기능검사-개별검사-유형Ⅲ-레이복합도형검사","29940"
"행위료","FB030","신경인지기능검사-개별검사-유형Ⅲ","SFB03002","신경인지기능검사-개별검사-유형Ⅲ-보스톤사물이름대기검사-60문항","29940"
"행위료","OZ303","시아노아크릴레이트를 이용한 복재정맥 폐색술[유도료 포함]","HZOZ00303","시아노아크릴레이트를 이용한 복재정맥 폐색술[유도료 포함]","700000"
"제증명수수료","PDE010001","영문 일반진단서","AQA02201","영문진단서-일반","15000"
"제증명수수료","PDZ010000","일반진단서","AQA01601","진단서-일반","10000"
"제증명수수료","PDZ010001","건강진단서","AW400101","진단서-건강","20000"
"제증명수수료","PDZ010002","근로능력평가용진단서","AQA02801","진단서-근로능력평가용","10000"
"제증명수수료","PDZ010003","채용신체 검사서-공무원","AW400601","채용신체검사서(공무원)","40000"
"제증명수수료","PDZ010004","채용신체 검사서-일반","AW400602","채용신체검사서(일반)","30000"
"제증명수수료","PDZ020001","상해진단서-3주미만","AQA01003","상해진단서-3주미만","100000"
"제증명수수료","PDZ020002","상해진단서-3주이상","AQA01001","상해진단서-3주이상","50000"
"제증명수수료","PDZ030000","사망진단서","AQA00501","사망진단서","10000"
"제증명수수료","PDZ030000","사망진단서","AQA00503","사망진단서","15000"
"제증명수수료","PDZ040000","시체검안서","AQA00801","시체검안서","30000"
"제증명수수료","PDZ050000","사산(사태)증명서","AQA00701","사산(사태)증명서","2000"
"제증명수수료","PDZ060000","출생증명서","AQA02501","출생증명서","3000"
"제증명수수료","PDZ070001","장애 정도 심사용 진단서-신체적장애","AQA02002","장애진단서(간단)","15000"
"제증명수수료","PDZ070002","장애 정도 심사용 진단서-정신적장애","AQA01304","장애진단서(정신적 장애)","40000"
"제증명수수료","PDZ070003","후유장애진단서","AQA02001","장애진단서-후유장애","100000"
"제증명수수료","PDZ080000","병무용진단서","AQA00301","병무용진단서","20000"
"제증명수수료","PDZ090002","입퇴원확인서","AQA01701","확인서-입퇴원","3000"
"제증명수수료","PDZ090004","통원확인서","AQA02601","확인서-통원","1000"
"제증명수수료","PDZ090004","통원확인서","AQA02602","확인서-통원","3000"
"제증명수수료","PDZ090007","진료확인서","AQA02401","진료확인서","3000"
"제증명수수료","PDZ100000","국민연금 장애심사용진단서","AQA00101","국민연금 장애심사용진단서","6000"
"제증명수수료","PDZ110004","진료기록(영상)-CD","AQF00501","진료기록영상(CD)-핵의학PACS영상","5000"
"제증명수수료","PDZ110004","진료기록(영상)-CD","AQF00601","진료기록영상(CD)-EEG영상","5000"
"제증명수수료","PDZ110004","진료기록(영상)-CD","AQF00101","진료기록(영상)-CD","5000"
"제증명수수료","PDZ110004","진료기록(영상)-CD","AQF00301","진료기록영상(CD)-뇌파영상","5000"
"제증명수수료","PDZ110004","진료기록(영상)-CD","AQF00201","진료기록영상(CD)-내시경PACS영상","5000"
"제증명수수료","PDZ110004","진료기록(영상)-CD","AQF00401","진료기록영상(CD)-심혈관PACS영상","5000"
"제증명수수료","PDZ110101","진료기록사본-1~5매","AQB00101","진료기록사본-1~5매","1000"
"제증명수수료","PDZ110102","진료기록사본-6매 이상","AQB00102","진료기록사본-6매 이상","100"
"제증명수수료","PDZ140001","향후진료비추정서-천만원미만","AQA02303","향후진료비추정서-천만원미만","100000"
"제증명수수료","PDZ140002","향후진료비추정서-천만원이상","AQA02301","향후진료비추정서-천만원이상","50000"
"제증명수수료","PDZ160000","제증명서사본","AQW01200","제증명서사본","1000"
"제증명수수료","PDZ170000","장애인증명서","AQA01901","장애인증명서","1000"
"행위료","-","-","HZGT00100","만성신부전증환자교육","100000"
"행위료","-","-","HZGT00102","교육 및 상담료[당뇨병 교육]","20000"
"행위료","-","-","A2Z00102,A2Z0010201","입원료(1인실:병실차액)-일반과 입원료","145050"
"행위료","-","-","A2Z0010207","입원료(1인실:병실차액)-기본외박관리료(병원관리료)","87160"
"행위료","-","-","A2Z00102","입원료(1인실:병실차액)-기존 병실차액","70000"
"행위료","-","-","A2Z00102,A2Z0010202","입원료(1인실:병실차액)-내소정 입원료","159750"
"행위료","-","-","A2Z00201A2Z0010203~4","입원료(1인실:병실차액)-간호간병 일반과","263280"
"행위료","-","-","A2Z00102A2Z0010105~6","입원료(1인실:병실차액)-간호간병 내소정","278840"
"행위료","-","-","A2Z0010108","입원료(1인실:병실차액)-간호간병/기본외박관리료(병원관리료)","99160"
"행위료","-","-","LW9185","니코틴 정량-nicotine metabolite","19463"
"행위료","-","-","LW91344","TBPE검사","2301"
"행위료","-","-","LWCY344","SLX","61807"
"행위료","-","-","LWC4504010","Primidone","10697"
"행위료","-","-","SFB001","신경인지기능검사-종합검사-서울신경심리검사(SNSB)","315380"
"행위료","-","-","SFB002","신경인지기능검사-종합검사-한국판 CERAD 평가집(CERAD-K)","138080"
"행위료","-","-","SZ10406","신경인지기능검사-지각 및 시공간 능력검사-구성능력검사","20000"
"행위료","-","-","SZ10607","신경인지기능검사-전두엽 및 고위인지기능검사-단어색채검사","20000"
"행위료","-","-","SZ11304","증상 및 행동 평가 척도(기타)-이화방어기제 검사","20000"
"행위료","-","-","SZ11500","언어전반진단검사","25000"
"행위료","-","-","SZ10303","신경인지기능검사-언어능력검사-어휘력검사","15000"
"행위료","-","-","SZ10208","신경인지기능검사-기억력검사-자서전적 기억평가면접","30000"
"행위료","-","-","SZ10204","신경인지기능검사-기억력 검사-캘리포니아언어학습검사","30000"
"행위료","-","-","SZ10201","신경인지기능검사-기억력 검사-Corsi 단기기억력검사","30000"
"행위료","-","-","SFB06001","신경인지기능검사-개별검사-유형Ⅵ-웨스턴 실어증 검사","83820"
"행위료","-","-","SZ10802","발음 및 발성검사","50000"
"행위료","-","-","SFB021","신경인지기능검사 - 개별검사 유형2 (1 ~3개 검사)","29100"
"행위료","-","-","SFB022","신경인지기능검사 - 개별검사 유형2 (4개 이상 검사)","70290"
"행위료","-","-","SFB012","신경인지기능검사 -개별검사 유형1 (6-8개 검사)","49680"
"행위료","-","-","SFB011","신경인지기능검사- 개별검사 유형1 (3 ~5개 검사)","29090"
"행위료","-","-","SFB013","신경인지기능검사- 개별검사 유형1 (9개 이상 검사)","87420"
"행위료","-","-","SZ10109","신경인지기능검사-각성도 및 주의력 검사-선로잇기검사","20000"
"행위료","-","-","SFB03003","신경인지기능검사-개별검사-유형Ⅲ-위스콘신카드분류검사","29940"
"행위료","-","-","SFB03004","신경인지기능검사-개별검사-유형Ⅲ-표정인식력(재인)검사","29940"
"행위료","-","-","SFB04002","신경인지기능검사-개별검사-유형Ⅳ-벤톤 신경심리검사","51330"
"행위료","-","-","SFB04001","신경인지기능검사-개별검사-유형Ⅳ-서울언어학습검사","51330"
"행위료","-","-","SEZ796","안구광학단층촬영","50000"
"행위료","-","-","SZ05400","미세전위 T 교대파 검사  Microvolt T-wave Alternans","50000"
"행위료","-","-","SZ07202","동맥경화협착폐색검사[2부위]","50000"
"행위료","-","-","SZ07201","동맥경화협착폐색검사[1부위]","30000"
"행위료","-","-","SZ04600","임신반응검사(정성)","8000"
"행위료","-","-","SEA001","진정내시경 환자관리료　Ⅰ","55520"
"행위료","-","-","SEA004","진정내시경 환자관리료 Ⅳ","170740"
"행위료","-","-","SEA003","진정내시경 환자관리료 Ⅲ","123460"
"행위료","-","-","SEA002","진정내시경 환자관리료 Ⅱ","80560"
"행위료","-","-","LZ00900","인플루엔자 A·B 바이러스항원검사 [현장검사]","25000"
"행위료","-","-","LWCZ261","항GM1항체 [IgG]","21365"
"행위료","-","-","LWCZ262","항GM1항체 [IgM]","21365"
"행위료","-","-","SEB441","진단초음파-복부-(일반)간·담낭·담도·비장·췌장","126350"
"행위료","-","-","SEB442","진단초음파-복부-(정밀)간·담낭·담도·비장·췌장","187650"
"행위료","-","-","SEB445","진단초음파-복부-서혜부 Inguinal region","79700"
"행위료","-","-","SEB444","진단초음파-복부-소장·대장 Small Bowel·Colon","115420"
"행위료","-","-","SEB446","진단초음파-복부-직장·항문 Rectum·Anus","135840"
"행위료","-","-","SEB443","진단초음파-복부-충수 Appendix","115330"
"행위료","-","-","SEB447","진단초음파-복부-항문초음파만 시행한 경우","113200"
"행위료","-","-","SEB416","진단초음파-비·부비동 초음파","62900"
"행위료","-","-","SEB450","진단초음파-비뇨기계-방광 Bladder","82860"
"행위료","-","-","SEB449","진단초음파-비뇨기계-신장·부신","91860"
"행위료","-","-","SEB448","진단초음파-비뇨기계-신장·부신·방광","101650"
"행위료","-","-","SEB501","진단초음파-신경-(만1세미만소아 경천문 뇌)중추신경계","204560"
"행위료","-","-","SEB502","진단초음파-신경-(만1세미만소아 척수)중추신경계","204560"
"행위료","-","-","SEB504","진단초음파-신경-(사지신경 종합검사)말초신경 초음파","159150"
"행위료","-","-","SEB503","진단초음파-신경-말초신경 초음파(편측)","61010"
"행위료","-","-","SEB431","진단초음파-심장-(단순)경흉부심초음파","115900"
"행위료","-","-","SEB430","진단초음파-심장-(선천성심질환에검사별도산정)경흉부심초음파","36590"
"행위료","-","-","SEB434","진단초음파-심장-(약물)부하심초음파","317410"
"행위료","-","-","SEB435","진단초음파-심장-(운동)부하심초음파","301790"
"행위료","-","-","SEB432","진단초음파-심장-(일반)경흉부심초음파","182940"
"행위료","-","-","SEB433","진단초음파-심장-(전문)경흉부심초음파","266770"
"행위료","-","-","SEB436","진단초음파-심장-태아정밀 심초음파","400850"
"행위료","-","-","SEB411","진단초음파-안-안구","94860"
"행위료","-","-","SEB455","진단초음파-여성생식기-일반","107200"
"행위료","-","-","SEB456","진단초음파-여성생식기-자궁내생리식염수를 주입하여 검사한 경우","137120"
"행위료","-","-","SEB457","진단초음파-여성생식기-정밀","157070"
"행위료","-","-","SEB470","진단초음파-연부조직-일반","67360"
"행위료","-","-","SEB471","진단초음파-연부조직-정밀","86530"
"행위료","-","-","SEB516","진단초음파-임산부-(고위험임신)제2,3삼분기","154460"
"행위료","-","-","SEB514","진단초음파-임산부-(기형아정밀계측)제1삼분기","192100"
"행위료","-","-","SEB518","진단초음파-임산부-(기형아정밀계측)제2,3삼분기","298320"
"행위료","-","-","SEB511","진단초음파-임산부-(일반)제1삼분기","83940"
"행위료","-","-","SEB515","진단초음파-임산부-(일반)제2,3삼분기","118820"
"행위료","-","-","SEB512","진단초음파-임산부-(임신여부만 확인)제1삼분기","56960"
"행위료","-","-","SEB513","진단초음파-임산부-(정밀)제1삼분기","149790"
"행위료","-","-","SEB517","진단초음파-임산부-(정밀)제2,3삼분기","254660"
"행위료","-","-","SEB482","진단초음파-혈관-(경동맥)두개외 혈관 도플러","114160"
"행위료","-","-","SEB483","진단초음파-혈관-(기타 동맥)두개외 혈관 도플러","59920"
"행위료","-","-","SEB489","진단초음파-혈관-(하지 정맥류 검사를 실시)사지혈관 도플러","163580"
"행위료","-","-","SEB481","진단초음파-혈관-뇌혈류","133740"
"행위료","-","-","SEB490","진단초음파-혈관-대동맥 도플러","88720"
"행위료","-","-","SEB422","진단초음파-흉부-유방·액와부 제외한 흉부 초음파","88750"
"행위료","-","-","SEB421","진단초음파-흉부-유방·액와부 초음파","128320"
"행위료","-","-","SEB423","진단초음파-흉부-유방·액와부 초음파 (정밀)","179650"
"행위료","-","-","SEB610","특수초음파-심장-(선천성심질환에검사)경식도 심초음파","36590"
"행위료","-","-","SEB611","특수초음파-심장-경식도 심초음파","300290"
"행위료","-","-","SEB612","특수초음파-심장-심장내 초음파","330320"
"행위료","-","-","SEB412","(양측) 진단초음파-안-안와","94860"
"행위료","-","-","SEB486","(양측) 진단초음파-혈관-(동정맥루의 혈류 및 협착 측정)사지혈관 도플러","47340"
"행위료","-","-","SEB484","(양측) 진단초음파-혈관-(상지-동맥)사지혈관 도플러","91980"
"행위료","-","-","SEB485","(양측) 진단초음파-혈관-(상지-정맥)사지혈관 도플러","91980"
"행위료","-","-","SEB487","(양측) 진단초음파-혈관-(하지-동맥)사지혈관 도플러","145660"
"행위료","-","-","SEB488","(양측) 진단초음파-혈관-(하지-정맥)사지혈관 도플러","145660"
"행위료","-","-","SEB401","기본초음파-단순초음파(Ⅰ)","16080"
"행위료","-","-","SEB402","기본초음파-단순초음파(Ⅱ)","32160"
"행위료","-","-","SEB458","소아 복부 초음파 (만8세 미만)","230000"
"행위료","-","-","SEB561","유도초음파-유도초음파(Ⅰ)","54900"
"행위료","-","-","SEB562","유도초음파-유도초음파(Ⅱ)","109810"
"행위료","-","-","SEB563","유도초음파-유도초음파(Ⅲ)","131760"
"행위료","-","-","SEB564","유도초음파-유도초음파(Ⅳ)","329410"
"행위료","-","-","SEB414","진단초음파-경부-갑상선·부갑상선","95220"
"행위료","-","-","SEB415","진단초음파-경부-갑상선·부갑상선 제외한 경부","95220"
"행위료","-","-","SEB466","진단초음파-관절-견관절(편측)Shoulder","92930"
"행위료","-","-","SEB465","진단초음파-관절-고관절(편측)Hip","92930"
"행위료","-","-","SEB469","진단초음파-관절-류마티스성질환3부위이상관절종합","144160"
"행위료","-","-","SEB462","진단초음파-관절-발가락(편측)Toe","67360"
"행위료","-","-","SEB468","진단초음파-관절-발목관절(편측)Ankle","92930"
"행위료","-","-","SEB461","진단초음파-관절-손가락(편측)","67360"
"행위료","-","-","SEB467","진단초음파-관절-손목관절(편측)Wrist","92930"
"행위료","-","-","SEB464","진단초음파-관절-슬관절(편측)Knee","74210"
"행위료","-","-","SEB463","진단초음파-관절-주관절(편측)Elbow","74210"
"행위료","-","-","SEB453","진단초음파-남성생식기-음경 Penis","93660"
"행위료","-","-","SEB454","진단초음파-남성생식기-음낭 Scrotum","93660"
"행위료","-","-","SEB452","진단초음파-남성생식기-전립선·정낭(경복부로 실시)","66290"
"행위료","-","-","SEB451","진단초음파-남성생식기-전립선·정낭(경직장으로 실시)","119220"
"행위료","-","-","RPHZ336C","토르소+뇌 PET-CT 촬영(종합검진용)","906000"
"행위료","-","-","RPHZ3341B","전신(PET)종합검진용(직원추천)","795810"
"행위료","-","-","RPHZ3341C","전신(PET)종합검진용(KBS 방송국용)","784000"
"행위료","-","-","RPHZ334C","전신(PET)종합검진용","946000"
"행위료","-","-","RPHZ331B","Toros(PET)종합검진용(직원추천)","534190"
"행위료","-","-","RPHZ336B","Toros+brain (PET)종합검진용(직원추천)","758370"
"행위료","-","-","RMHE109","경추-일반","470000"
"행위료","-","-","RMHE210","흉추-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE209","경추-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE110","흉추-일반","470000"
"행위료","-","-","RMHE114","척추강-경추, 흉추, 요천추와 동시 촬영-일반","705000"
"행위료","-","-","RMHE111","요천추-일반","470000"
"행위료","-","-","RMHE212","척추강-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE112","척추강-일반","470000"
"행위료","-","-","RMHE211","요천추-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE219","천장골관절-조영제 주입 전?후 촬영판독","470000"
"행위료","-","-","RMHE119","천장골관절-일반","470000"
"행위료","-","-","RMHE216","주관절-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE116","주관절-일반","470000"
"행위료","-","-","RMHE220","슬관절-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE120","슬관절-일반","470000"
"행위료","-","-","RMHE221","발목관절-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE117","수관절-일반","470000"
"행위료","-","-","RMHE217","수관절-조영제 주입 전?후 촬영판독","470000"
"행위료","-","-","RMHE121","발목관절-일반","470000"
"행위료","-","-","RMHE223","관절외 하지-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE123","관절외 하지-일반","470000"
"행위료","-","-","RMHE222","관절외 상지-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE122","관절외 상지-일반","470000"
"행위료","-","-","RMHE218","고관절-조영제 주입 전?후 촬영판독","470000"
"행위료","-","-","RMHE118","고관절-일반","470000"
"행위료","-","-","RMHE115","견관절-일반","470000"
"행위료","-","-","RMHE215","견관절-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE124","심장-일반","470000"
"행위료","-","-","RMHE224","심장-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE126","유방-일반","470000"
"행위료","-","-","RMHE226","유방-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE125","흉부-일반","470000"
"행위료","-","-","RMHE225","흉부-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE127","복부-일반","470000"
"행위료","-","-","RMHE227","복부-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE130","신장 및 부신-일반","470000"
"행위료","-","-","RMHE230","신장 및 부신-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE131","음낭 및 음경-일반","470000"
"행위료","-","-","RMHE231","음낭 및 음경-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE134","전립선-일반","470000"
"행위료","-","-","RMHE234","전립선-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE129","췌장-일반","470000"
"행위료","-","-","RMHE229","췌장-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE132","간-일반","470000"
"행위료","-","-","RMHE232","간-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE128","골반-일반","470000"
"행위료","-","-","RMHE228","골반-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE133","담췌관-일반","470000"
"행위료","-","-","RMHE233","담췌관-조영제 주입 전,후 촬영판독","470000"
"행위료","-","-","RMHE240","심혈관-조영제 주입 전,후 촬영판독","400000"
"행위료","-","-","RMHE239","사지혈관-조영제 주입 전,후 촬영판독","400000"
"행위료","-","-","RMHE138","복부혈관-일반","400000"
"행위료","-","-","RMHE238","복부혈관-조영제 주입 전,후 촬영판독","400000"
"행위료","-","-","RMHE139","사지혈관-일반","400000"
"행위료","-","-","RMHE137","흉부혈관-일반","470000"
"행위료","-","-","RMHE237","흉부혈관-조영제 주입 전?후 촬영판독","470000"
"행위료","-","-","RMHE140","심혈관-일반","400000"
"행위료","-","-","RMHF107","기능적 [3차원자기공명영상 포함]","592480"
"행위료","-","-","RMHF202","관류 [3차원자기공명영상 포함]-기본검사 동시","200660"
"행위료","-","-","RMHF102","관류 [3차원자기공명영상 포함]","353170"
"행위료","-","-","RMHF201","확산-기본검사 동시","130030"
"행위료","-","-","RMHF101","확산","231650"
"행위료","-","-","RMHF104","영화 [3차원자기공명영상 포함]","517170"
"행위료","-","-","RMHF203","분광영상-기본검사 동시","138770"
"행위료","-","-","RMHF103","분광영상","232630"
"행위료","-","-","RMHF105","Dynamic","406980"
"행위료","-","-","MFLU4-A","4가 인플루엔자(독감) 백신 [성인]","30000"
"행위료","-","-","MMMR2","홍역, 볼거리, 풍진 백신 II","30000"
"행위료","-","-","MHAV1","A형간염 백신 -1ml","70000"
"행위료","-","-","MHAV","A형간염 백신-0.5ml","30000"
"행위료","-","-","MHBV","B형간염 백신 유박스비주1ml [성인]","40000"
"행위료","-","-","MHBVC","B형간염 백신 헤파박스 0.5ml [소아]","20000"
"행위료","-","-","MHBIG","B형간염 백신 헤파빅 1ml","22631"
"행위료","-","-","MPVENAR-A","[성인용]폐렴구균 백신-프리베나 13주","90000"
"행위료","-","-","MGDS9","가다실 9주","180000"
"행위료","-","-","MGDS","가다실 [인유두종바이러스 4가(6,11,16,18형) 백신]","120000"
"행위료","-","-","MBCGP","경피용건조 BCG 백신 [결핵예방]","40000"
"행위료","-","-","MHPIB","뇌수막염 백신","30000"
"행위료","-","-","MPNEUMO","뉴모-23 폐렴구균백신주사(정제폐렴구균협막다당류)","50000"
"행위료","-","-","MFLU25","독감 백신 0.25ml","25000"
"행위료","-","-","MFLU05","독감 백신 0.5ml","30000"
"행위료","-","-","MTD","디프테리아, 파상풍 백신","30000"
"행위료","-","-","DROTAV","로타텍(로타바이러스)","80000"
"행위료","-","-","MMENVEO","멘비오(수막구균 A,C,W135 & Y-CRM197 단백 접합백신)","130000"
"행위료","-","-","MJBEC","보령세포배양일본뇌염백신주 0.7ml(보령바이오파마)","40000"
"행위료","-","-","MADAC","부스트릭스프리필드시린지(DPT 백신)11세이상[지원]","40000"
"행위료","-","-","MBRID2","브리디온주 2ml","106713"
"행위료","-","-","MIMOPV","소아마비 백신(폴리오)","30000"
"행위료","-","-","MBIKEN","수두 백신","30000"
"행위료","-","-","MSKYFLU4","스카이셀플루4가 프리필드S","30000"
"행위료","-","-","MSIVM","신종인플루엔자접종비(백신비 제외)","19220"
"행위료","-","-","MTESTOE","예나스테론주250mg 비급여","5477"
"행위료","-","-","MPDT05","인판릭스백신 0.5ml(DTAP) (디프테리아,파상풍,백일해)","30000"
"행위료","-","-","MPDTIPV","인판릭스주(DTAP- IPV )0.5ml 콤보백신 (디프테리아,파상풍,백일해,소아마비)","50000"
"행위료","-","-","MJBE","일본뇌염 백신1ml","30000"
"행위료","-","-","MJBEC04","일본뇌염 보령(베로세포유래)배양일본뇌염백신주","30000"
"행위료","-","-","MJEVAX05","일본뇌염 생백신 0.5ml","50000"
"행위료","-","-","MZOSTA","조스타박스주(대상포진생바이러스백신)","140000"
"행위료","-","-","MCVJ2","카버젝트(업죤)","15109"
"행위료","-","-","MALP20","카버젝트주사20mcg(국비1급1항및2항 지원대상자용)","15109"
"행위료","-","-","MTETRA","테트락심 백신 (디프테리아,파상풍,백일해,소아마비)","50000"
"행위료","-","-","MTROMBO3","트롬보젝 3%주(유신)","26000"
"행위료","-","-","MTROMBO1","파이브로베인주1%(금청약품)","25800"
"행위료","-","-","MPENTAXIM","펜탁심주","70000"
"행위료","-","-","MPVENAR13","프리베나 13주 소아용 ( 폐렴구균 백신)","90000"
"행위료","-","-","MHLASE-L","하이랙스주(히알루로니다제)","16920"
"행위료","-","-","MHLASE","하이알라제주(히알우로니다제)(휴온스)","5471"
"행위료","-","-","MFLU4","4가 인플루엔자(독감) 백신 [소아]","30000"
"행위료","-","-","FZ00200","균형훈련","8000"
"행위료","-","-","FZ00400","도수치료 [1일당]","40000"
"행위료","-","-","FZ01302","증식치료 [척추부위]","30000"
"행위료","-","-","SZ03401","언어장애치료 [기본30분까지]","25000"
"행위료","-","-","FZ01600","전산화인지 재활치료","35000"
"행위료","-","-","FZ01301","증식치료 [사지관절부위]","20000"
"행위료","-","-","SZ03402","언어장애치료 [기본 30분 초과10분당]1일1시간초과안됨","10000"
"행위료","-","-","HZOS00200","추간판내고주파열치료술 [IDET] ","700000"
"행위료","-","-","HZDE02301","여드름 치료 [대]","10000"
"행위료","-","-","HZDE01903","박피술 [화학] [소]","30000"
"행위료","-","-","HZDE00102","기미,주근깨,점 제거술 [중]","20000"
"행위료","-","-","HZDE00103","기미,주근깨,점 제거술 [소]","10000"
"행위료","-","-","HZDE02303","여드름 치료 [소]","3000"
"행위료","-","-","HZDE02202","사마귀제거 [소]","5000"
"행위료","-","-","HZDE00101","기미,주근깨,점 제거술 [대]","30000"
"행위료","-","-","HZDE01901","박피술 [화학] [대]","100000"
"행위료","-","-","HZDE02201","사마귀제거 [대]","10000"
"행위료","-","-","HZDE01902","박피술 [화학] [중]","50000"
"행위료","-","-","HZDE02101","병변내주입요법,A","5000"
"행위료","-","-","HZDE02102","병변내주입요법,B","10000"
"행위료","-","-","HZDE02302","여드름 치료 [중]","5000"
"행위료","-","-","HZRM00200","체외충격파치료 [근골격계질환]","50000"
"행위료","-","-","HZNS00700","풍선확장기능을 포함한 경막외강내 유착부위 박리시술","300000"
