"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","신경인지기능검사-지각 및 시공간능력검사-시계그리기","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-지각 및 시공간능력검사-구성능력검사","FZ046","신경인지기능검사-지각 및 시공간능력검사-토막짜기","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-감각운동협응검사-손잡이검사","FZ055","신경인지기능검사-감각운동협응검사-각종손잡이검사","13000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-논리적 사고력검사","FZ056","신경인지기능검사-전두엽 및 고위인지기능검사-추상적 사고력검사","25000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-카테고리검사","FZ057","-","22675","","","","","-"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-스트룹검사","FZ060","신경인지기능검사-전두엽 및 고위인지기능검사-CNT-단어색채검사(Word-Color Test)","20000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-보속성검사","FZ063","신경인지기능검사-전두엽 및 고위인지기능검사-비엔나 system-보속성검사(PERSEV)","18000","","","","","(별표)신경인지 기능검사 반영"
"대전","신경계기능검사","신경인지기능검사-전두엽 및 고위인지기능검사-실행증검사","FZ064","-","18000","","","","","-"
"대전","신경계기능검사","증상 및 행동 평가 척도(불안척도)-신경증불안평가","FY705","-","35000","","","","","-"
"대전","신경계기능검사","증상 및 행동 평가 척도(우울척도)-신경증우울평가","FY713","-","35000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","자발및 주시 안진검사","50000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","두위 및 두위변환 안진검사","51800","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","두진후 안진검사","30010","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","온도안진검사-단일검사, 냉온교대검사","","27000","31010","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","시운동성 안진 및 시운동후 안진검사","50000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","급속안구 운동검사","50000","","","","","-"
"대전","평형 및 청각기능검사","비디오전기안진검사","FZ733","시표추적검사","50000","","","","","-"
"대전","치아검사","인상채득 및 모형제작[1악당]","EX934","-","30000","","","","","-"
"대전","바이러스성 간염 혈청검사","C형간염항체(정밀)","C4872","-","18138","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","기타검사","구해면체 반사지연검사(비급여-BCRL Test)","SZ00800","-","100000","","","","","-"
"대전","기타검사","자궁암 조기검진(질세포진검사)(비급여)","SZ04800","-","10000","","","","","-"
"대전","기타검사","약물주입발기측정(비급여)","SZ03100","-","50000","","","","","-"
"대전","기타검사","소변임신반응검사","SZ04600","-","8000","","","","","-"
"대전","기타검사","흡인음경팽창도측정(비급여)","SZ09800","-","30000","","","","","-"
"대전","기타검사","시청각자극발기측정(비급여)","SZ02500","-","100000","","","","","-"
"대전","기타검사","야간음경발기력측정(비급여)","SZ02900","-","100000","","","","","-"
"대전","기타검사","반응결정력검사 RG","SZ10505","-","22675","","","","","-"
"대전","기타검사","MMPI(직원채용신검)","SJ09000","-","12000","","","","","-"
"대전","정신요법료","안구운동 민감소실및 재처리요법","NZ005","-","150000","","","","","-"
"대전","초음파 검사료","초음파검사-두경부-경동맥혈관","E9411","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-두경부-경부","E9416","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-두경부-후두","E9417","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-심장-경흉부심초음파-일반","E9433","-","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-복부-간·담낭·담도·비장·췌장","E9441","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-복부-신장·부신·방광","E9442","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-복부-충수돌기","E9443","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-복부-소장·대장","E9444","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-복부-직장","E9445","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-복부-골반장기","E9446","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-남성생식기-전립선·정낭","E9447","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-남성생식기-음경","E9448","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-복부,골반-남성생식기-음낭","E9449","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-견관절,고관절,슬관절,주관절,완관절,족관절","E9451","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-근골격,연부-사지관절[편측]-수부관절,족부관절","E9452","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-근골격,연부-연부조직","E9454","-","80000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-혈관-상지혈관[편측]-동맥","E9461","-","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-혈관-상지혈관[편측]-정맥","E9462","-","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-혈관-하지혈관[편측]-동맥","E9463","-","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-혈관-하지혈관[편측]-정맥","E9464","-","120000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-임산부-산모-임신 제1삼분기","E9471","-","60000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-임산부-산모-임신 제2,제3삼분기","E9472","-","40000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-임산부-태아정밀-임신 제1삼분기","E9473","-","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","초음파검사-임산부-태아정밀-임신 제2,제3삼분기","E9474","-","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","초음파 검사료","안과/A-SCAN","SZ09101","-","70000","","","","","-"
"대전","초음파 검사료","안과/인공수정체도수검사 IOL Master(편측)","SZ04000A","-","50000","","","","","-"
"대전","초음파 검사료","자궁경부촬영확대술","SZ04700","-","30000","","","","","-"
"대전","초음파 검사료","VAGINAL SONO(소)","SZ09002","-","20000","","","","","-"
"대전","초음파 검사료","VAGINAL SONO(대)","SZ09001","-","30000","","","","","-"
"대전","초음파 검사료","초음파 도플러 Test [맥동파분석]","SZ07100","-","120000","","","","","-"
"대전","초음파 검사료","초음파 도플러 두개강내 뇌혈류검사 [기본]","SZ06501","-","150000","","","","","-"
"대전","초음파 검사료","초음파 도플러 두개강내 뇌혈류검사 [추적조사촬영]","SZ06502","-","90000","","","","","-"
"대전","초음파 검사료","초음파 도플러 혈관 (외래)","SZ07000","-","7000","","","","","-"
"대전","초음파 검사료","3D 칼라초음파","SZ05400","-","30000","","","","","-"
"대전","초음파 검사료","외과 초음파 (II)","SZ08701","-","30000","","","","","-"
"대전","초음파 검사료","정형외과 근골격계 초음파  간단","SZ09301","-","30000","","","","","-"
"대전","초음파 검사료","초음파잔뇨량측정Bladder scan","SZ08800","-","20000","","","","","-"
"대전","초음파 검사료","초음파 IVUS","RHZ00100","-","200000","","","","","-"
"대전","초음파 검사료","초음파 동맥경화도 검사  (맥파전달속도측정)","SZ07201","-","30000","","","","","-"
"대전","초음파영상료","초음파영상-검사 유도목적-두경부","HZ161","갑상샘 생검 유도","","80000","150000","","","-"
"대전","초음파영상료","초음파영상-시술 유도목적-체간","HZ161","유방조직 생검 유도","","80000","150000","","","-"
"대전","초음파영상료","초음파영상-검사 유도목적-체간","HZ161","전립선샘 생검 유도","150000","","","","","-"
"대전","뇌[뇌, 해마]","뇌-일반","HE101","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","뇌[뇌, 해마]","뇌-조영제 주입 전후 촬영판독","HE201","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","뇌[뇌, 해마]","해마-일반","HE102","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","뇌[뇌, 해마]","해마-조영제 주입 전후 촬영판독","HE202","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안면-일반","HE103","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안면-조영제 주입 전후 촬영판독","HE203","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","부비동-일반","HE104","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","부비동-조영제 주입 전후 촬영판독","HE204","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안와-일반","HE105","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","안와-조영제 주입 전후 촬영판독","HE205","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두골-일반","HE106","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두골-조영제 주입 전후 촬영판독","HE206","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두하악관절-일반","HE107","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","측두하악관절-조영제 주입 전후 촬영판독","HE207","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","경부-일반","HE108","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","두경부","경부-조영제 주입 전후 촬영판독","HE208","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","경추-일반","HE109","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","경추-조영제 주입 전후 촬영판독","HE209","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","흉추-일반","HE110","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","흉추-조영제 주입 전후 촬영판독","HE210","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-일반","HE111","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-조영제 주입 전후 촬영판독","HE211","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-흉추와 동시 촬영-일반","HE113","-","225000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","요천추-흉추와 동시 촬영-조영제 주입 전후 촬영판독","HE213","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-일반","HE112","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-조영제 주입 전후 촬영판독","HE212","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-경추, 흉추, 요천추와 동시 촬영-일반","HE114","-","675000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","척추","척추강-경추, 흉추, 요천추와 동시 촬영-조영제 주입 전후 촬영판독","HE214","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","관절조영 자기공명영상진단","HE142","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","견관절-일반","HE115","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","견관절-조영제 주입 전후 촬영판독","HE215","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","주관절-일반","HE116","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","주관절-조영제 주입 전후 촬영판독","HE216","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","수관절-일반","HE117","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","수관절-조영제 주입 전후 촬영판독","HE217","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","고관절-일반","HE118","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","고관절-조영제 주입 전후 촬영판독","HE218","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","천장골관절-일반","HE119","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","천장골관절-조영제 주입 전후 촬영판독","HE219","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","슬관절-일반","HE120","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","슬관절-조영제 주입 전후 촬영판독","HE220","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","발목관절-일반","HE121","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","발목관절-조영제 주입 전후 촬영판독","HE221","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","관절외 상지-일반","HE122","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","관절외 상지-조영제 주입 전후 촬영판독","HE222","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","관절외 하지-일반","HE123","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","근골격계","관절외 하지-조영제 주입 전후 촬영판독","HE223","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","흉부","심장-일반","HE124","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","흉부","심장-조영제 주입 전후 촬영판독","HE224","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","흉부","흉부-일반","HE125","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","흉부","흉부-조영제 주입 전후 촬영판독","HE225","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","흉부","유방-일반","HE126","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","흉부","유방-조영제 주입 전후 촬영판독","HE226","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","복부-일반","HE127","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","복부-조영제 주입 전후 촬영판독","HE227","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","골반-일반","HE128","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","골반-조영제 주입 전후 촬영판독","HE228","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","췌장-일반","HE129","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","췌장-조영제 주입 전후 촬영판독","HE229","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","신장 및 부신-일반","HE130","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","신장 및 부신-조영제 주입 전후 촬영판독","HE230","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","음낭 및 음경-일반","HE131","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","음낭 및 음경-조영제 주입 전후 촬영판독","HE231","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","간-일반","HE132","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","간-조영제 주입 전후 촬영판독","HE232","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","담췌관-일반","HE133","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","담췌관-조영제 주입 전후 촬영판독","HE233","-","450000","","","","N","조영제 별도산정 급여 인정기준 외 실시한 경우 비급여"
"대전","복부","전립선-일반","HE134","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","복부","전립선-조영제 주입 전후 촬영판독","HE234","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","뇌혈관-일반","HE135","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","뇌혈관-조영제 주입 전후 촬영판독","HE235","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","경부혈관-일반","HE136","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","경부혈관-조영제 주입 전후 촬영판독","HE236","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","흉부혈관-일반","HE137","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","흉부혈관-조영제 주입 전후 촬영판독","HE237","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","복부혈관-일반","HE138","-","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","복부혈관-조영제 주입 전후 촬영판독","HE238","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","사지혈관-일반","HE139","-","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","사지혈관-조영제 주입 전후 촬영판독","HE239","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","심혈관-일반","HE140","-","400000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관","심혈관-조영제 주입 전후 촬영판독","HE240","-","450000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","전신","일반","HE141","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","전신","조영제 주입 전후 촬영판독","HE241","-","705000","","","","N","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","확산","HF101","-","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","확산-기본검사 동시","HF201","-","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","관류 [3차원자기공명영상 포함]","HF102","-","300000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","관류 [3차원자기공명영상 포함]-기본검사 동시","HF202","-","150000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","분광영상","HF103","-","200000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","분광영상-기본검사 동시","HF203","-","100000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","영화 [3차원자기공명영상 포함]","HF104","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","Dynamic","HF105","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","이중조영","HF106","-","450000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","특수검사","기능적 [3차원자기공명영상 포함]","HF107","-","500000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","기타","자기공명영상-외부필름판독","-","-","50000","","","","","급여 인정기준 외 실시한 경우 비급여"
"대전","물리치료료","기립경사훈련","MZ002","-","6000","","","","","-"
"대전","물리치료료","연하재활 기능적전기자극치료","MZ008","-","50000","","","","","-"
