"상병코드"," 상병명 ","국비","사비"
"A4150"," 대장균에 의한 패혈증 ","26","20"
"A4151"," 슈도모나스에 의한 패혈증 ","5","4"
"A4153"," 아시네토박터에 의한 패혈증 ","7","5"
"A4158"," 기타 명시된 그람음성균에 의한 패혈증 ","9","12"
"A4159"," 상세불명의 그람음성균에 의한 패혈증 ","1","4"
"A4180"," 장구균에 의한 패혈증 ","9","5"
"A4188"," 기타 명시된 패혈증 ","12","6"
"A419"," 상세불명의 패혈증 ","54","39"
"A420"," 폐방선균증 ","1","1"
"A421"," 복부방선균증 ","","1"
"A46"," 단독(丹毒) ","","2"
"A490"," 상세불명 부위의 포도구균감염 ","67","39"
"A491"," 상세불명 부위의 연쇄구균 및 장내구균 감염 ","108","81"
"A498"," 상세불명 부위의 기타 세균감염 ","113","85"
"A499"," 상세불명의 세균감염 ","3","3"
"A528"," 잠복성 만기매독 ","2",""
"A530"," 조기인지 만기인지 상세불명의 잠복매독 ","","1"
"A630"," 항문생식기의(성병성) 사마귀 ","","1"
"A86"," 상세불명의 바이러스뇌염 ","1",""
"B000"," 헤르페스습진 ","","1"
"B001"," 헤르페스바이러스 소수포피부염 ","11","3"
"B002"," 헤르페스바이러스 치은구내염 및 인두편도염 ","3","1"
"B0051"," 각막염(H191*) ","1",""
"B0058"," 눈의 기타 헤르페스바이러스병 ","1",""
"B0059"," 눈의 상세불명의 헤르페스바이러스병 ","","1"
"B0088"," 기타 헤르페스바이러스감염 ","","3"
"B009"," 상세불명의 헤르페스바이러스감염 ","9","12"
"B022"," 기타 신경계통 침범을 동반한 대상포진 ","13","11"
"B027"," 파종성 대상포진 ","1",""
"B028"," 기타 합병증을 동반한 대상포진 ","","1"
"B029"," 합병증이 없는 대상포진 ","14","4"
"B159"," 간성 혼수가 없는 A형간염 ","","2"
"B178"," 기타 명시된 급성 바이러스간염 ","","1"
"B179"," 상세불명의 급성 바이러스간염 ","4","7"
"B180"," 델타-병원체가 있는 만성 바이러스B형간염 ","","1"
"B1810"," 델타-병원체가 없는 만성 바이러스B형간염 ","55","42"
"B1818"," 만성 바이러스B형간염 면역관용기 ","125","88"
"B182"," 만성 바이러스C형간염 ","58","21"
"B189"," 상세불명의 만성 바이러스간염 ","","1"
"B202"," 거대세포바이러스병을 유발한 인체면역결핍바이러스병 ","1",""
"B24"," 상세불명의 사람면역결핍바이러스병 ","2","3"
"B258"," 기타 거대세포바이러스병 ","6","3"
"B259"," 상세불명의 거대세포바이러스병 ","2","1"
"B338"," 기타 명시된 바이러스질환 ","","1"
"B349"," 상세불명의 바이러스감염 ","1","2"
"B350"," 수염 및 두피 백선 ","2",""
"B351"," 손발톱백선 ","24","9"
"B352"," 손백선 ","1","1"
"B353"," 발백선 ","48","28"
"B354"," 체부백선 ","13","10"
"B355"," 와상백선 ","1","2"
"B356"," 사타구니백선 ","5","5"
"B358"," 기타 피부백선증 ","1",""
"B359"," 상세불명의 백선증 ","1","2"
"B369"," 상세불명의 표재성 진균증 ","","1"
"B370"," 칸디다구내염 ","19","9"
"B371"," 폐칸디다증 ","1","1"
"B373"," 외음 및 질의 칸디다증(N771*) ","","3"
"B3740"," 칸디다 방광염 및 요도염(N370*) ","3","3"
"B3748"," 기타 비뇨생식기 부위의 칸디다증 ","5","4"
"B376"," 칸디다심내막염(I398*) ","2",""
"B377"," 칸디다패혈증 ","2",""
"B3780"," 칸디다식도염 ","6","4"
"B3781"," 칸디다장염 ","","1"
"B3782"," 칸디다구순염 ","1",""
"B3783"," 칸디다외이도염 ","1","1"
"B3788"," 기타 부위의 칸디다증 ","12","8"
"B379"," 상세불명의 칸디다증 ","5","2"
"B440"," 침습성 폐아스페르길루스증 ","1","1"
"B441"," 기타 폐아스페르길루스증 ","2","3"
"B448"," 기타 형태의 아스페르길루스증 ","1",""
"B449"," 상세불명의 아스페르길루스증 ","2",""
"B488"," 기타 명시된 진균증 ","","1"
"B49"," 상세불명의 진균증 ","6","2"
"B59"," 폐포자충증(J173*) ","2","1"
"B661"," 간흡충증 ","2","3"
"B690"," 중추신경계통의 낭미충증 ","","1"
"B701"," 고충증 ","1",""
"B75"," 선모충증 ","","1"
"B8300"," 톡소카라증 ","1",""
"B86"," 옴 ","6","4"
"B89"," 상세불명의 기생충병 ","","1"
"B902"," 골 및 관절 결핵의 후유증 ","","2"
"B909"," 호흡기 및 상세불명 결핵의 후유증 ","3","3"
"B950"," 다른 장에서 분류된 질환의 원인으로서의 A군연쇄구균 ","1",""
"B951"," 다른 장에서 분류된 질환의 원인으로서의 B군연쇄구균 ","9","3"
"B952"," 다른 장에서 분류된 질환의 원인으로서의 D군연쇄구균 및 장내구균 ","60","74"
"B953"," 다른 장에서 분류된 질환의 원인으로서의 폐렴연쇄구균 ","","1"
"B954"," 다른 장에서 분류된 질환의 원인으로서의 기타 연쇄구균 ","10","7"
"B955"," 다른 장에서 분류된 질환의 원인으로서의 상세불명의 연쇄구균 ","4","7"
"B956"," 다른 장에서 분류된 질환의 원인으로서의 황색포도구균 ","68","30"
"B957"," 다른 장에서 분류된 질환의 원인으로서의 기타 포도구균 ","31","15"
"B958"," 다른 장에서 분류된 질환의 원인으로서의 상세불명의 포도구균 ","14","6"
"B961"," 다른 장에서 분류된 질환의 원인으로서의 폐렴막대균 ","75","74"
"B962"," 다른 장에서 분류된 질환의 원인으로서의 대장균 ","128","142"
"B963"," 다른 장에서 분류된 질환의 원인으로서의 인플루엔자균 ","","1"
"B964"," 다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니) ","13","21"
"B965"," 다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사) ","51","39"
"B9680"," 다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니 ","35","27"
"B9681"," 다른 장에서 분류된 질환의 원인으로서의 장내세균속균 ","81","72"
"B9688"," 다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균 감염체 ","43","24"
"B972"," 다른 장에서 분류된 질환의 원인으로서의 코로나바이러스 ","1",""
"B974"," 다른 장에서 분류된 질환의 원인으로서의 호흡기세포융합바이러스 ","","1"
"B980"," 다른 장에서 분류된 질환의 원인으로서의 헬리코박터 파일로리균 ","18","20"
"C01","혓바닥의 악성 신생물","5","1"
"C021","혀 가장자리의 악성 신생물","","1"
"C022","혀 배쪽면의 악성 신생물","2","1"
"C029","상세불명의 혀의 악성 신생물","2",""
"C041","옆쪽 입바닥의 악성 신생물","3",""
"C051","연구개의 악성 신생물","1",""
"C060","볼점막의 악성 신생물","","1"
"C062","구치후부의 악성 신생물","1",""
"C080","턱밑샘의 악성 신생물","","3"
"C099","상세불명의 편도의 악성 신생물","8","5"
"C109","상세불명의 입인두의 악성 신생물","4","3"
"C119","상세불명의 비인두의 악성 신생물","1","1"
"C12","이상동(梨狀洞)의 악성 신생물","4",""
"C132","하인두의 후벽의 악성 신생물","1","1"
"C139","상세불명의 하인두의 악성 신생물","8","3"
"C150","경부식도의 악성 신생물","7",""
"C151","흉부식도의 악성 신생물","12","8"
"C153","식도의 상부 3분의1의 악성 신생물","1",""
"C154","식도의 중간 3분의1의 악성 신생물","8","9"
"C155","식도의 하부 3분의1의 악성 신생물","14","8"
"C159","상세불명의 식도의 악성 신생물","2","1"
"C1600","분문의 악성 신생물, 조기","6","12"
"C1601","분문의 악성 신생물, 진행형","8","4"
"C1609","분문의 악성 신생물, 상세불명","4","1"
"C1619","위의 저부의 악성 신생물, 상세불명","","1"
"C1620","위의 체부의 악성 신생물, 조기","26","19"
"C1621","위의 체부의 악성 신생물, 진행형","35","19"
"C1629","위의 체부의 악성 신생물, 상세불명","1","4"
"C163","유문동의 악성 신생물","","1"
"C1630","유문동의 악성 신생물, 조기","38","30"
"C1631","유문동의 악성 신생물, 진행형","15","11"
"C1639","유문동의 악성 신생물, 상세불명","3","5"
"C1640","유문의 악성 신생물, 조기","2",""
"C1680","위의 중복병변의 악성 신생물, 조기","1","1"
"C1681","위의 중복병변의 악성 신생물, 진행형","7","3"
"C1690","상세불명의 위의 악성 신생물, 조기","1",""
"C1691","상세불명의 위의 악성 신생물, 진행형","5","8"
"C1699","상세불명의 위의 악성 신생물, 상세불명","9","5"
"C170","십이지장의 악성 신생물","9","3"
"C171","공장의 악성 신생물","","1"
"C179","상세불명의 소장의 악성 신생물","","1"
"C18","결장의 악성 신생물","","1"
"C180","맹장의 악성 신생물","16","24"
"C181","충수의 악성 신생물","","1"
"C182","상행결장의 악성 신생물","39","36"
"C183","간굴곡의 악성 신생물","5","7"
"C184","횡행결장의 악성 신생물","8","23"
"C185","비장굴곡의 악성 신생물","29","5"
"C186","하행결장의 악성 신생물","12","7"
"C187","구불결장의 악성 신생물","129","77"
"C189","상세불명의 결장의 악성 신생물","1","3"
"C19","직장구불결장접합부의 악성 신생물","25","20"
"C20","직장의 악성 신생물","122","131"
"C210","상세불명의 항문의 악성 신생물","","1"
"C211","항문관의 악성 신생물","1","2"
"C220","간세포암종의 악성 신생물","270","80"
"C221","간내담관암종의 악성 신생물","25","40"
"C223","간의 혈관육종의 악성 신생물","","1"
"C227","기타 명시된 간의 암종의 악성 신생물","1","1"
"C23","담낭의 악성 신생물","21","12"
"C240","간외담관의 악성 신생물","52","37"
"C241","파터팽대의 악성 신생물","1","18"
"C250","췌장의 두부의 악성 신생물","41","21"
"C251","췌장의 체부의 악성 신생물","19","8"
"C252","췌장의 꼬리의 악성 신생물","21","2"
"C257","췌장의 기타 부분의 악성 신생물","1",""
"C258","췌장의 중복병변 의 악성 신생물","10","5"
"C259","상세불명의 췌장의 악성 신생물","2","7"
"C300","비강의 악성 신생물","1",""
"C310","상악동의 악성 신생물","1",""
"C320","성문의 악성 신생물","10","3"
"C321","성문상의 악성 신생물","5","5"
"C322","성문하의 악성 신생물","3",""
"C328","후두의 중복병변 의 악성 신생물","","1"
"C329","상세불명의 후두의 악성 신생물","1","1"
"C3401","주기관지의 악성 신생물, 왼쪽","2",""
"C3410","상엽, 기관지 또는 폐의 악성 신생물, 오른쪽","134","71"
"C3411","상엽, 기관지 또는 폐의 악성 신생물, 왼쪽","66","54"
"C342","중엽, 기관지 또는 폐의 악성 신생물","25","11"
"C3430","하엽, 기관지 또는 폐의 악성 신생물, 오른쪽","102","38"
"C3431","하엽, 기관지 또는 폐의 악성 신생물, 왼쪽","62","45"
"C3480","기관지 및 폐의 중복병변의 악성 신생물, 오른쪽","5","3"
"C3481","기관지 및 폐의 중복병변의 악성 신생물, 왼쪽","","1"
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","10","7"
"C3491","상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽","1","3"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","1","7"
"C37","흉선의 악성 신생물","10","2"
"C380","심장의 악성 신생물","","1"
"C384","흉막의 악성 신생물","1",""
"C400","견갑골 및 팔의 긴뼈의 악성 신생물","","2"
"C409","상세불명 사지의 골 및 관절연골의 악성 신생물","","1"
"C419","상세불명의 골 및 관절연골의 악성 신생물","","1"
"C432","귀 및 외이도의 악성 흑색종","1",""
"C436","어깨를 포함한 팔의 악성 흑색종","1",""
"C437","엉덩이를 포함한 다리의 악성 흑색종","2","1"
"C439","상세불명의 피부의 악성 흑색종","3",""
"C440","입술의 피부의 악성 신생물","1",""
"C441","안각을 포함한 눈꺼풀의 피부의 악성 신생물","2",""
"C442","귀 및 외이도의 피부의 악성 신생물","2",""
"C443","얼굴의 기타 및 상세불명 부분의 피부의 악성 신생물","2","3"
"C444","두피 및 목의 피부의 악성 신생물","1","1"
"C445","몸통의 피부의 악성 신생물","","4"
"C447","엉덩이를 포함한 다리의 피부의 악성 신생물","4",""
"C450","흉막의 중피종","","1"
"C459","상세불명의 중피종","1",""
"C460","피부의 카포시육종","2",""
"C481","복막의 명시된 부분의 악성 신생물","","1"
"C491","어깨를 포함한 팔의 결합조직 및 연조직의 악성 신생물","2","2"
"C492","엉덩이를 포함한 다리의 결합조직 및 연조직의 악성 신생물","2",""
"C493","흉부의 결합조직 및 연조직의 악성 신생물","2","4"
"C494","복부의 결합조직 및 연조직의 악성 신생물","","1"
"C495","골반의 결합조직 및 연조직의 악성 신생물","2",""
"C496","상세불명의 몸통의 결합조직 및 연조직의 악성 신생물","","1"
"C499","상세불명의 결합조직 및 연조직의 악성 신생물","","3"
"C5010","유방의 중앙부의 악성 신생물, 오른쪽","","3"
"C5011","유방의 중앙부의 악성 신생물, 왼쪽","","2"
"C5020","유방의 상내사분의 악성 신생물, 오른쪽","","4"
"C5021","유방의 상내사분의 악성 신생물, 왼쪽","","5"
"C5031","유방의 하내사분의 악성 신생물, 왼쪽","","1"
"C5040","유방의 상외사분의 악성 신생물, 오른쪽","","3"
"C5041","유방의 상외사분의 악성 신생물, 왼쪽","","11"
"C5050","유방의 하외사분의 악성 신생물, 오른쪽","","4"
"C5051","유방의 하외사분의 악성 신생물, 왼쪽","","3"
"C5080","유방의 중복병변의 악성 신생물, 오른쪽","","3"
"C5081","유방의 중복병변의 악성 신생물, 왼쪽","","3"
"C5090","상세불명의 유방의 악성 신생물, 오른쪽","","4"
"C5091","상세불명의 유방의 악성 신생물, 왼쪽","","7"
"C531","외자궁경부의 악성 신생물","","1"
"C539","상세불명의 자궁경부의 악성 신생물","","4"
"C541","자궁내막의 악성 신생물","","24"
"C549","상세불명의 자궁체부의 악성 신생물","","20"
"C55","자궁의 상세불명 부분의 악성 신생물","","1"
"C560","난소의 악성 신생물, 오른쪽","","11"
"C561","난소의 악성 신생물, 왼쪽","","29"
"C569","난소의 악성 신생물, 상세불명 쪽","","2"
"C570","난관의 악성 신생물","","15"
"C609","상세불명의 음경의 악성 신생물","","1"
"C61","전립선의 악성 신생물","175","125"
"C629","상세불명의 고환의 악성 신생물","2","1"
"C632","음낭의 악성 신생물","5","1"
"C640","신우를 제외한 신장의 악성 신생물, 오른쪽","22","12"
"C641","신우를 제외한 신장의 악성 신생물, 왼쪽","20","18"
"C649","신우를 제외한 신장의 악성 신생물, 상세불명 쪽","1","2"
"C650","신우의 악성 신생물, 오른쪽","3","4"
"C651","신우의 악성 신생물, 왼쪽","4","2"
"C660","요관의 악성 신생물, 오른쪽","5","4"
"C661","요관의 악성 신생물, 왼쪽","8","8"
"C669","요관의 악성 신생물, 상세불명 쪽","1","1"
"C671","방광의 둥근천장부의 악성 신생물","","2"
"C672","방광의 측벽의 악성 신생물","7","3"
"C674","방광의 후벽의 악성 신생물","9","1"
"C675","방광경부의 악성 신생물","1",""
"C676","요관구의 악성 신생물","","2"
"C677","요막관의 악성 신생물","1","2"
"C678","방광의 중복병변 의 악성 신생물","1",""
"C679","상세불명의 방광의 악성 신생물","83","60"
"C680","요도의 악성 신생물","2","1"
"C688","비뇨기관의 중복병변 의 악성 신생물","5","2"
"C689","상세불명의 비뇨기관의 악성 신생물","4",""
"C700","뇌막의 악성 신생물","2",""
"C710","뇌엽 및 뇌실을 제외한 대뇌의 악성 신생물","","1"
"C711","전두엽의 악성 신생물","","1"
"C712","측두엽의 악성 신생물","2",""
"C713","두정엽의 악성 신생물","7",""
"C715","뇌실의 악성 신생물","1",""
"C716","소뇌의 악성 신생물","","1"
"C718","뇌의 중복병변 의 악성 신생물","","1"
"C719","상세불명의 뇌의 악성 신생물","1","2"
"C73","갑상선의 악성 신생물","18","26"
"C741","부신수질의 악성 신생물","","1"
"C750","부갑상선의 악성 신생물","1",""
"C760","머리, 얼굴 및 목의 악성 신생물","","2"
"C770","머리, 얼굴 및 목의 림프절의 이차성 및 상세불명의 악성신생물","169","119"
"C771","흉곽내림프절의 이차성 및 상세불명의 악성신생물","285","163"
"C772","복강내림프절의 이차성 및 상세불명의 악성신생물","416","264"
"C773","겨드랑 및 팔 림프절의 이차성 및 상세불명의 악성신생물","24","27"
"C774","사타구니 및 다리 림프절의 이차성 및 상세불명의 악성신생물","26","3"
"C775","골반내 림프절의 이차성 및 상세불명의 악성신생물","175","200"
"C778","여러 부위의 림프절의 이차성 및 상세불명의 악성신생물","1","1"
"C779","상세불명의 림프절의 이차성 및 상세불명의 악성신생물","1","7"
"C7800","폐의 이차성 악성 신생물, 오른쪽","225","163"
"C7801","폐의 이차성 악성 신생물, 왼쪽","196","144"
"C7809","폐의 이차성 악성 신생물, 상세불명 쪽","2","19"
"C781","종격의 이차성 악성 신생물","","1"
"C782","흉막의 이차성 악성 신생물","95","64"
"C784","소장의 이차성 악성 신생물","4","2"
"C785","대장 및 직장의 이차성 악성 신생물","8","32"
"C786","후복막 및 복막의 이차성 악성 신생물","186","160"
"C787","간 및 간내 담관의 이차성 악성 신생물","349","180"
"C788","기타 및 상세불명의 소화기관의 이차성 악성 신생물","30","33"
"C7900","신장 및 신우의 이차성 악성 신생물, 오른쪽","","1"
"C7901","신장 및 신우의 이차성 악성 신생물, 왼쪽","1","1"
"C7910","방광의 이차성 악성 신생물","1","5"
"C7918","기타 및 상세불명 비뇨기관의 이차성 악성 신생물","2","4"
"C792","피부의 이차성 악성 신생물","13","2"
"C7930","뇌의 이차성 악성 신생물","54","30"
"C794","신경계통의 기타 및 상세불명 부분의 이차성 악성 신생물","2","1"
"C7950","골의 이차성 악성 신생물","181","106"
"C7951","골수의 이차성 악성 신생물","1",""
"C7960","난소의 이차성 악성 신생물, 오른쪽","","20"
"C797","부신의 이차성 악성 신생물","49","40"
"C7980","유방의 이차성 악성 신생물","","1"
"C7981","생식기관의 이차성 악성 신생물","1","10"
"C7988","기타 명시된 부위의 이차성 악성 신생물","70","70"
"C800","원발부위 미상으로 언급된 악성 신생물","","1"
"C809","원발부위 상세불명인 악성 신생물","4","4"
"C811","결절성 경화성 (고전적) 호지킨림프종","2",""
"C821","소포성 림프종 등급 II","","2"
"C823","소포성 림프종 등급 IIIa","","2"
"C829","상세불명의 소포성 림프종","1","1"
"C830","소세포B-세포림프종","1","2"
"C831","외투세포림프종","5","3"
"C8338","기타 및 상세불명의 미만성 대B-세포림프종","30","8"
"C837","버킷림프종","","1"
"C840","마이코시스 풍고이데스","1",""
"C844","분류되지 않은, 말초성 T-세포림프종","1","5"
"C847","역형성 대세포림프종, ALK(-)","","1"
"C851","상세불명의 B-세포림프종","12","1"
"C859","상세불명의 비호지킨림프종","6","7"
"C860","림프절외 NK/T-세포림프종, 비강형태","","1"
"C880","왈덴스트룀 마크로클로불린혈증","","1"
"C884","점막 관련 림프모양조직의 림프절외 변연부 B-세포림프종[MALT-lymphoma]","5","1"
"C900","다발골수종","36","9"
"C9108","기타 및 상세불명의 급성 림프모구성 백혈병","1",""
"C911","B-세포형 만성 림프구성 백혈병","4","2"
"C913","B-세포형의 전림프구성 백혈병","4",""
"C918","성숙 B-세포백혈병, 버킷형","1",""
"C9208","기타 및 상세불명의 급성 골수모구성 백혈병","35","14"
"C921","만성 골수성 백혈병, BCR/ABL-양성","6","1"
"C931","만성 골수단핵구성 백혈병","2","3"
"C97","독립된(원발성) 여러 부위의 악성 신생물","90","40"
"D001","식도의 제자리암종","1",""
"D002","위의 제자리암종","8","8"
"D010","결장의 제자리암종","20","15"
"D011","직장구불결장접합부의 제자리암종","2",""
"D012","직장의 제자리암종","7","6"
"D0151","담낭의 제자리암종","2","2"
"D0152","담관의 제자리암종","1","2"
"D0153","파터팽대의 제자리암종","1",""
"D017","기타 명시된 소화기관의 제자리암종","","1"
"D0170","췌장의 제자리암종","4","3"
"D020","후두의 제자리암종","2","1"
"D0220","기관지 및 폐의 제자리암종, 오른쪽","1",""
"D0221","기관지 및 폐의 제자리암종, 왼쪽","1",""
"D031","안각을 포함한 눈꺼풀의 제자리흑색종","1",""
"D045","몸통의 피부의 제자리암종","2",""
"D047","엉덩이를 포함한 다리의 피부의 제자리암종","1",""
"D0500","유방의 소엽 제자리암종, 오른쪽","","1"
"D0501","유방의 소엽 제자리암종, 왼쪽","","1"
"D0510","유방의 관내 제자리암종, 오른쪽","","2"
"D0511","유방의 관내 제자리암종, 왼쪽","","3"
"D0591","상세불명의 유방의 제자리암종, 왼쪽","","2"
"D069","상세불명의 자궁경부의 제자리암종","","6"
"D070","자궁내막의 제자리암종","","1"
"D073","기타 및 상세불명의 여성생식기관의 제자리 암종","","1"
"D075","전립선의 제자리암종","35","25"
"D090","방광의 제자리암종","81","28"
"D091","기타 및 상세불명의 비뇨기관의 제자리암종","12","7"
"D101","혀의 양성 신생물","3","6"
"D103","기타 및 상세불명 입 부분의 양성 신생물","2",""
"D104","편도 양성 신생물","3","2"
"D105","입인두의 기타 부분의 양성 신생물","4",""
"D109","상세불명의 인두의 양성 신생물","","2"
"D110","귀밑샘의 양성 신생물","9","7"
"D117","기타 주침샘의 양성 신생물","","1"
"D120","맹장의 양성 신생물","27","17"
"D122","상행결장의 양성 신생물","72","67"
"D123","횡행결장의 양성 신생물","80","64"
"D124","하행결장의 양성 신생물","41","34"
"D125","구불결장의 양성 신생물","62","53"
"D126","상세불명의 결장의 양성 신생물","19","11"
"D127","직장구불결장접합부의 양성 신생물","5","6"
"D128","직장의 양성 신생물","21","22"
"D130","식도의 양성 신생물","1",""
"D131","위의 양성 신생물","51","35"
"D132","십이지장의 양성 신생물","3","3"
"D134","간의 양성 신생물","1","3"
"D135","간외담관의 양성 신생물","9","5"
"D136","췌장의 양성 신생물","8","4"
"D140","중이, 비강 및 부비동의 양성 신생물","3","9"
"D141","후두의 양성 신생물","2","2"
"D1431","기관지 및 폐의 양성 신생물, 왼쪽","1",""
"D162","다리의 긴뼈의 양성 신생물","","2"
"D166","척주의 양성 신생물","","2"
"D169","상세불명의 뼈 및 관절연골의 양성 신생물","1",""
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","11","12"
"D171","몸통의 피부 및 피하조직의 양성 지방종성 신생물","4","10"
"D1720","팔의 피부 및 피하조직의 양성 지방종성 신생물","8","4"
"D1721","다리의 피부 및 피하조직의 양성 지방종성 신생물","1","2"
"D173","기타 및 상세불명 부위의 피부 및 피하조직의 양성 지방종성 신생물","1","1"
"D175","복강내기관의 양성 지방종성 신생물","2",""
"D176","정삭의 양성 지방종성 신생물","","1"
"D179","상세불명의 양성 지방종성 신생물","","1"
"D1800","피부 및 피하조직의 혈관종","2","2"
"D1802","간담도계의 혈관종","4","4"
"D1804","귀, 코, 입 및 목구멍의 혈관종","3","1"
"D1808","기타 부위의 혈관종","2","3"
"D1809","상세불명 부위의 혈관종","","2"
"D181","림프관종, 모든 부위","1","1"
"D200","후복막의 양성 신생물","2",""
"D211","어깨를 포함한 팔의 결합조직 및 기타 연조직의 양성 신생물","","1"
"D212","엉덩이를 포함한 다리의 결합조직 및 기타 연조직의 양성 신생물","","2"
"D215","골반의 결합조직 및 기타 연조직의 기타 양성 신생물","","1"
"D216","상세불명의 몸통의 결합조직 및 기타 연조직의 기타 양성 신생물 ","","1"
"D221","안각을 포함한 눈꺼풀의 멜라닌세포모반","","1"
"D234","두피 및 목의 피부의 양성 신생물","1",""
"D235","몸통의 피부의 양성 신생물","1",""
"D236","어깨를 포함한 팔의 피부의 양성 신생물","1",""
"D237","엉덩이를 포함한 다리의 피부의 양성 신생물","1",""
"D2420","유방의 단발 양성 신생물, 오른쪽","","3"
"D2421","유방의 단발 양성 신생물, 왼쪽","","8"
"D2490","상세불명 유방의 양성 신생물, 오른쪽","","2"
"D2491","상세불명 유방의 양성 신생물, 왼쪽","","1"
"D250","자궁의 점막하 평활근종","1","12"
"D251","자궁의 벽내 평활근종","1","45"
"D252","자궁의 장막하 평활근종","1","18"
"D259","상세불명의 자궁의 평활근종","","9"
"D261","자궁체부의 기타 양성 신생물","1",""
"D269","상세불명의 자궁의 기타 양성 신생물","","1"
"D270","난소의 양성 신생물, 오른쪽","","10"
"D271","난소의 양성 신생물, 왼쪽","","13"
"D280","외음의 양성 신생물","","1"
"D3009","신장의 양성 신생물, 상세불명 쪽","","1"
"D302","요관의 양성 신생물","1","1"
"D303","방광의 양성 신생물","3","1"
"D310","결막의 양성 신생물","1",""
"D320","뇌막의 양성 신생물","10","4"
"D321","척수막의 양성 신생물","1",""
"D329","상세불명의 수막의 양성 신생물","1","3"
"D333","뇌신경의 양성 신생물","1","1"
"D334","척수의 양성 신생물","2","1"
"D34","갑상선의 양성 신생물","6","9"
"D350","부신의 양성 신생물","19","4"
"D351","부갑상선의 양성 신생물","1","2"
"D352","뇌하수체의 양성 신생물","10","13"
"D360","림프절의 양성 신생물 ","1",""
"D361","말초신경 및 자율신경계통의 양성 신생물","9","5"
"D367","기타 명시된 부위의 양성 신생물","","2"
"D371","위의 행동양식 불명 또는 미상의 신생물","3","3"
"D372","소장의 행동양식 불명 또는 미상의 신생물","2","2"
"D373","충수의 행동양식 불명 또는 미상의 신생물","","4"
"D375","직장의 행동양식 불명 또는 미상의 신생물","","1"
"D377","기타 소화기관의 행동양식 불명 또는 미상의 신생물","5","3"
"D381","기관, 기관지 및 폐의 행동양식 불명 또는 미상의 신생물","2",""
