"상병코드","상병명","국비","사비","계"
"C12","이상동(梨狀洞)의 악성 신생물","6","2","8"
"C139","상세불명의 하인두의 악성 신생물","10","2","12"
"C140","상세불명의 인두의 악성 신생물","1","0","1"
"C150","경부식도의 악성 신생물","1","0","1"
"C151","흉부식도의 악성 신생물","11","7","18"
"C152","복부식도의 악성 신생물","0","1","1"
"C154","식도의 중간 3분의1의 악성 신생물","4","6","10"
"C155","식도의 하부 3분의1의 악성 신생물","8","1","9"
"C159","상세불명의 식도의 악성 신생물","4","4","8"
"C160","분문의 악성 신생물","0","1","1"
"C1600","분문의 악성 신생물, 조기","3","3","6"
"C1601","분문의 악성 신생물, 진행형","12","1","13"
"C1609","분문의 악성 신생물, 상세불명","2","4","6"
"C1611","위의 저부의 악성 신생물, 진행형","5","0","5"
"C1620","위의 체부의 악성 신생물, 조기","23","14","37"
"C1621","위의 체부의 악성 신생물, 진행형","36","13","49"
"C1629","위의 체부의 악성 신생물, 상세불명","1","2","3"
"C1630","유문동의 악성 신생물, 조기","38","24","62"
"C1631","유문동의 악성 신생물, 진행형","24","22","46"
"C1639","유문동의 악성 신생물, 상세불명","7","3","10"
"C1640","유문의 악성 신생물, 조기","2","0","2"
"C1641","유문의 악성 신생물, 진행형","1","1","2"
"C1650","상세불명의 위의 소만부의 악성 신생물, 조기","1","0","1"
"C1680","위의 중복병변의 악성 신생물, 조기","1","1","2"
"C1681","위의 중복병변의 악성 신생물, 진행형","8","11","19"
"C1690","상세불명의 위의 악성 신생물, 조기","2","0","2"
"C1691","상세불명의 위의 악성 신생물, 진행형","16","15","31"
"C1699","상세불명의 위의 악성 신생물, 상세불명","8","4","12"
"C170","십이지장의 악성 신생물","5","3","8"
"C172","회장의 악성 신생물","1","1","2"
"C179","상세불명의 소장의 악성 신생물","2","0","2"
"C180","맹장의 악성 신생물","2","14","16"
"C182","상행결장의 악성 신생물","64","25","89"
"C183","간굴곡의 악성 신생물","14","7","21"
"C184","횡행결장의 악성 신생물","26","8","34"
"C185","비장굴곡의 악성 신생물","33","4","37"
"C186","하행결장의 악성 신생물","19","10","29"
"C187","구불결장의 악성 신생물","114","58","172"
"C188","결장의 중복병변의 악성 신생물","0","1","1"
"C189","상세불명의 결장의 악성 신생물","2","3","5"
"C19","직장구불결장접합부의 악성 신생물","11","14","25"
"C20","직장의 악성 신생물","162","154","316"
"C218","직장, 항문 및 항문관의 중복병변의 악성 신생물","0","1","1"
"C220","간세포암종의 악성 신생물","280","90","370"
"C221","간내담관암종의 악성 신생물","24","23","47"
"C227","기타 명시된 간의 암종의 악성 신생물","1","3","4"
"C23","담낭의 악성 신생물","15","25","40"
"C240","간외담관의 악성 신생물","48","28","76"
"C241","파터팽대의 악성 신생물","2","7","9"
"C249","상세불명의 담도의 악성 신생물","3","0","3"
"C250","췌장의 두부의 악성 신생물","43","24","67"
"C251","췌장의 체부의 악성 신생물","16","18","34"
"C252","췌장의 꼬리의 악성 신생물","9","18","27"
"C253","췌관의 악성 신생물","0","1","1"
"C257","췌장의 기타 부분의 악성 신생물","3","0","3"
"C258","췌장의 중복병변 의 악성 신생물","4","8","12"
"C259","상세불명의 췌장의 악성 신생물","1","5","6"
"C300","비강의 악성 신생물","2","1","3"
"C310","상악동의 악성 신생물","4","0","4"
"C320","성문의 악성 신생물","9","1","10"
"C321","성문상의 악성 신생물","9","1","10"
"C322","성문하의 악성 신생물","2","0","2"
"C328","후두의 중복병변 의 악성 신생물","0","1","1"
"C329","상세불명의 후두의 악성 신생물","2","1","3"
"C33","기관의 악성 신생물","1","0","1"
"C3400","주기관지의 악성 신생물, 오른쪽","0","1","1"
"C3401","주기관지의 악성 신생물, 왼쪽","5","0","5"
"C3409","주기관지의 악성 신생물, 상세불명 쪽","0","1","1"
"C3410","상엽, 기관지 또는 폐의 악성 신생물, 오른쪽","133","72","205"
"C3411","상엽, 기관지 또는 폐의 악성 신생물, 왼쪽","136","49","185"
"C342","중엽, 기관지 또는 폐의 악성 신생물","41","6","47"
"C3430","하엽, 기관지 또는 폐의 악성 신생물, 오른쪽","144","90","234"
"C3431","하엽, 기관지 또는 폐의 악성 신생물, 왼쪽","72","54","126"
"C3439","하엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽","0","1","1"
"C3480","기관지 및 폐의 중복병변의 악성 신생물, 오른쪽","6","1","7"
"C3481","기관지 및 폐의 중복병변의 악성 신생물, 왼쪽","2","0","2"
"C3489","기관지 및 폐의 중복병변의 악성 신생물, 상세불명 쪽","1","0","1"
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","12","8","20"
"C3491","상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽","4","10","14"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","8","8","16"
"C37","흉선의 악성 신생물","15","0","15"
"C381","전종격의 악성 신생물","1","0","1"
"C409","상세불명 사지의 골 및 관절연골의 악성 신생물","1","1","2"
"C4101","상악안면골의 악성 신생물","0","1","1"
"C412","척주의 악성 신생물","2","0","2"
"C414","골반골, 천골(薦骨) 및 미추의 악성 신생물","0","1","1"
"C435","몸통의 악성 흑색종","2","0","2"
"C436","어깨를 포함한 팔의 악성 흑색종","0","1","1"
"C437","엉덩이를 포함한 다리의 악성 흑색종","1","2","3"
"C439","상세불명의 피부의 악성 흑색종","1","1","2"
"C440","입술의 피부의 악성 신생물","1","0","1"
"C441","안각을 포함한 눈꺼풀의 피부의 악성 신생물","5","0","5"
"C443","얼굴의 기타 및 상세불명 부분의 피부의 악성 신생물","7","2","9"
"C444","두피 및 목의 피부의 악성 신생물","0","4","4"
"C445","몸통의 피부의 악성 신생물","0","2","2"
"C446","어깨를 포함한 팔의 피부의 악성 신생물","0","1","1"
"C447","엉덩이를 포함한 다리의 피부의 악성 신생물","1","0","1"
"C450","흉막의 중피종","2","0","2"
"C457","기타 부위의 중피종","0","2","2"
"C460","피부의 카포시육종","1","0","1"
"C470","머리, 얼굴 및 목의 말초신경의 악성 신생물","1","0","1"
"C480","후복막의 악성 신생물","3","0","3"
"C490","머리, 얼굴 및 목의 결합조직 및 연조직의 악성 신생물","0","1","1"
"C492","엉덩이를 포함한 다리의 결합조직 및 연조직의 악성 신생물","6","1","7"
"C493","흉부의 결합조직 및 연조직의 악성 신생물","13","7","20"
"C495","골반의 결합조직 및 연조직의 악성 신생물","1","0","1"
"C496","상세불명의 몸통의 결합조직 및 연조직의 악성 신생물","0","1","1"
"C498","결합조직 및 연조직의 중복병변 [188쪽 주5 참조]의 악성 신생물","4","0","4"
"C499","상세불명의 결합조직 및 연조직의 악성 신생물","1","2","3"
"C5001","유두 및 유륜의 악성 신생물, 왼쪽","0","1","1"
"C5010","유방의 중앙부의 악성 신생물, 오른쪽","0","3","3"
"C5011","유방의 중앙부의 악성 신생물, 왼쪽","1","4","5"
"C5020","유방의 상내사분의 악성 신생물, 오른쪽","0","2","2"
"C5021","유방의 상내사분의 악성 신생물, 왼쪽","0","1","1"
"C5031","유방의 하내사분의 악성 신생물, 왼쪽","0","3","3"
"C5040","유방의 상외사분의 악성 신생물, 오른쪽","0","5","5"
"C5041","유방의 상외사분의 악성 신생물, 왼쪽","1","9","10"
"C5050","유방의 하외사분의 악성 신생물, 오른쪽","0","2","2"
"C5051","유방의 하외사분의 악성 신생물, 왼쪽","0","3","3"
"C5080","유방의 중복병변의 악성 신생물, 오른쪽","0","1","1"
"C5081","유방의 중복병변의 악성 신생물, 왼쪽","0","1","1"
"C5090","상세불명의 유방의 악성 신생물, 오른쪽","0","8","8"
"C5091","상세불명의 유방의 악성 신생물, 왼쪽","0","3","3"
"C539","상세불명의 자궁경부의 악성 신생물","0","11","11"
"C541","자궁내막의 악성 신생물","0","18","18"
"C549","상세불명의 자궁체부의 악성 신생물","0","7","7"
"C55","자궁의 상세불명 부분의 악성 신생물","0","5","5"
"C560","난소의 악성 신생물, 오른쪽","0","22","22"
"C561","난소의 악성 신생물, 왼쪽","0","15","15"
"C569","난소의 악성 신생물, 상세불명 쪽","0","4","4"
"C570","난관의 악성 신생물","0","9","9"
"C609","상세불명의 음경의 악성 신생물","0","1","1"
"C61","전립선의 악성 신생물","236","192","428"
"C629","상세불명의 고환의 악성 신생물","6","0","6"
"C632","음낭의 악성 신생물","1","1","2"
"C640","신우를 제외한 신장의 악성 신생물, 오른쪽","39","17","56"
"C641","신우를 제외한 신장의 악성 신생물, 왼쪽","17","6","23"
"C649","신우를 제외한 신장의 악성 신생물, 상세불명 쪽","0","1","1"
"C650","신우의 악성 신생물, 오른쪽","6","3","9"
"C651","신우의 악성 신생물, 왼쪽","5","1","6"
"C660","요관의 악성 신생물, 오른쪽","15","4","19"
"C661","요관의 악성 신생물, 왼쪽","6","9","15"
"C672","방광의 측벽의 악성 신생물","5","0","5"
"C674","방광의 후벽의 악성 신생물","4","2","6"
"C675","방광경부의 악성 신생물","1","0","1"
"C676","요관구의 악성 신생물","0","1","1"
"C677","요막관의 악성 신생물","1","0","1"
"C679","상세불명의 방광의 악성 신생물","74","44","118"
"C688","비뇨기관의 중복병변 의 악성 신생물","0","1","1"
"C689","상세불명의 비뇨기관의 악성 신생물","3","0","3"
"C693","맥락막의 악성 신생물","0","1","1"
"C700","뇌막의 악성 신생물","2","0","2"
"C710","뇌엽 및 뇌실을 제외한 대뇌의 악성 신생물","2","1","3"
"C711","전두엽의 악성 신생물","5","9","14"
"C713","두정엽의 악성 신생물","1","0","1"
"C716","소뇌의 악성 신생물","2","0","2"
"C717","뇌간의 악성 신생물","1","1","2"
"C718","뇌의 중복병변 의 악성 신생물","3","0","3"
"C719","상세불명의 뇌의 악성 신생물","0","5","5"
"C73","갑상선의 악성 신생물","19","31","50"
"C770","머리, 얼굴 및 목의 림프절의 이차성 및 상세불명의 악성신생물","240","115","355"
"C771","흉곽내림프절의 이차성 및 상세불명의 악성신생물","377","190","567"
"C772","복강내림프절의 이차성 및 상세불명의 악성신생물","424","242","666"
"C773","겨드랑 및 팔 림프절의 이차성 및 상세불명의 악성신생물","36","24","60"
"C774","사타구니 및 다리 림프절의 이차성 및 상세불명의 악성신생물","16","2","18"
"C775","골반내 림프절의 이차성 및 상세불명의 악성신생물","175","155","330"
"C778","여러 부위의 림프절의 이차성 및 상세불명의 악성신생물","4","8","12"
"C779","상세불명의 림프절의 이차성 및 상세불명의 악성신생물","5","1","6"
"C7800","폐의 이차성 악성 신생물, 오른쪽","241","141","382"
"C7801","폐의 이차성 악성 신생물, 왼쪽","224","113","337"
"C7809","폐의 이차성 악성 신생물, 상세불명 쪽","1","17","18"
"C781","종격의 이차성 악성 신생물","2","0","2"
"C782","흉막의 이차성 악성 신생물","128","86","214"
"C783","기타 및 상세불명의 호흡기관의 이차성 악성 신생물","0","1","1"
"C784","소장의 이차성 악성 신생물","8","12","20"
"C785","대장 및 직장의 이차성 악성 신생물","7","27","34"
"C786","후복막 및 복막의 이차성 악성 신생물","210","135","345"
"C787","간 및 간내 담관의 이차성 악성 신생물","399","257","656"
"C788","기타 및 상세불명의 소화기관의 이차성 악성 신생물","49","25","74"
"C7900","신장 및 신우의 이차성 악성 신생물, 오른쪽","1","4","5"
"C7901","신장 및 신우의 이차성 악성 신생물, 왼쪽","11","9","20"
"C7910","방광의 이차성 악성 신생물","3","4","7"
"C7918","기타 및 상세불명 비뇨기관의 이차성 악성 신생물","5","4","9"
"C792","피부의 이차성 악성 신생물","5","8","13"
"C7930","뇌의 이차성 악성 신생물","80","33","113"
"C7931","뇌막의 이차성 악성 신생물","1","2","3"
"C794","신경계통의 기타 및 상세불명 부분의 이차성 악성 신생물","0","1","1"
"C795","골 및 골수의 이차성 악성 신생물","2","0","2"
"C7950","골의 이차성 악성 신생물","222","167","389"
"C7951","골수의 이차성 악성 신생물","1","0","1"
"C7960","난소의 이차성 악성 신생물, 오른쪽","0","8","8"
"C7961","난소의 이차성 악성 신생물, 왼쪽","0","5","5"
"C797","부신의 이차성 악성 신생물","74","27","101"
"C7980","유방의 이차성 악성 신생물","0","1","1"
"C7981","생식기관의 이차성 악성 신생물","1","17","18"
"C7988","기타 명시된 부위의 이차성 악성 신생물","114","49","163"
"C809","원발부위 상세불명인 악성 신생물","7","8","15"
"C819","상세불명의 호지킨림프종","2","0","2"
"C821","소포성 림프종 등급 II","7","0","7"
"C823","소포성 림프종 등급 IIIa","4","0","4"
"C829","상세불명의 소포성 림프종","3","0","3"
"C830","소세포B-세포림프종","1","0","1"
"C831","외투세포림프종","8","0","8"
"C8338","기타 및 상세불명의 미만성 대B-세포림프종","36","35","71"
"C837","버킷림프종","0","2","2"
"C838","기타 비소포성 림프종","1","0","1"
"C851","상세불명의 B-세포림프종","6","10","16"
"C857","기타 명시된 유형의 비호지킨림프종","1","0","1"
"C859","상세불명의 비호지킨림프종","2","4","6"
"C860","림프절외 NK/T-세포림프종, 비강형태","1","0","1"
"C865","혈관면역모세포성 T-세포림프종","2","3","5"
"C866","원발 피부성 CD30-양성 T-세포증식","1","0","1"
"C880","왈덴스트룀 마크로클로불린혈증","1","0","1"
"C884","점막 관련 림프모양조직의 림프절외 변연부 B-세포림프종[MALT-lymphoma]","2","3","5"
"C900","다발골수종","31","12","43"
"C901","형질세포백혈병","1","0","1"
"C9108","기타 및 상세불명의 급성 림프모구성 백혈병","0","5","5"
"C911","B-세포형 만성 림프구성 백혈병","3","1","4"
"C9208","기타 및 상세불명의 급성 골수모구성 백혈병","20","18","38"
"C921","만성 골수성 백혈병, BCR/ABL-양성","9","5","14"
"C922","비정형적 만성 골수성 백혈병, BCR/ABL 음성","1","0","1"
"C924","급성 전골수구성 백혈병[PML]","1","0","1"
"C925","급성 골수단핵구성 백혈병","2","0","2"
"C931","만성 골수단핵구성 백혈병","0","1","1"
"C959","상세불명의 백혈병","0","1","1"
"C966","단초점 랑게르한스세포 조직구증","1","0","1"
"C97","독립된(원발성) 여러 부위의 악성 신생물","60","23","83"
"D001","식도의 제자리암종","4","0","4"
"D002","위의 제자리암종","12","8","20"
"D010","결장의 제자리암종","12","26","38"
"D011","직장구불결장접합부의 제자리암종","2","1","3"
"D012","직장의 제자리암종","4","11","15"
"D0150","간의 제자리암종","0","1","1"
"D0151","담낭의 제자리암종","1","0","1"
"D0152","담관의 제자리암종","8","2","10"
"D0153","파터팽대의 제자리암종","0","1","1"
"D0170","췌장의 제자리암종","3","0","3"
"D020","후두의 제자리암종","2","6","8"
"D0220","기관지 및 폐의 제자리암종, 오른쪽","2","1","3"
"D0221","기관지 및 폐의 제자리암종, 왼쪽","0","1","1"
"D023","호흡계통 기타 부분의 제자리암종","1","0","1"
"D033","얼굴의 기타 및 상세불명 부분의 제자리흑색종","0","1","1"
"D037","엉덩이를 포함한 다리의 제자리흑색종","1","1","2"
"D043","얼굴의 기타 및 상세불명 부분의 피부의 제자리암종","1","0","1"
"D044","두피 및 목 피부의 제자리암종","0","1","1"
"D045","몸통의 피부의 제자리암종","0","3","3"
"D046","어깨를 포함한 팔의 피부의 제자리암종","1","1","2"
"D047","엉덩이를 포함한 다리의 피부의 제자리암종","0","1","1"
"D0501","유방의 소엽 제자리암종, 왼쪽","0","1","1"
"D0510","유방의 관내 제자리암종, 오른쪽","0","2","2"
"D0511","유방의 관내 제자리암종, 왼쪽","0","6","6"
"D0591","상세불명의 유방의 제자리암종, 왼쪽","0","2","2"
"D069","상세불명의 자궁경부의 제자리암종","0","13","13"
"D070","자궁내막의 제자리암종","0","3","3"
"D090","방광의 제자리암종","67","19","86"
"D091","기타 및 상세불명의 비뇨기관의 제자리암종","4","6","10"
"D101","혀의 양성 신생물","2","0","2"
"D103","기타 및 상세불명 입 부분의 양성 신생물","3","2","5"
"D104","편도 양성 신생물","2","1","3"
"D105","입인두의 기타 부분의 양성 신생물","2","0","2"
"D106","비인두의 양성 신생물","0","1","1"
"D107","하인두의 양성 신생물","1","1","2"
"D110","귀밑샘의 양성 신생물","15","10","25"
"D117","기타 주침샘의 양성 신생물","0","2","2"
"D120","맹장의 양성 신생물","12","18","30"
"D121","충수의 양성 신생물","0","1","1"
"D122","상행결장의 양성 신생물","68","63","131"
"D123","횡행결장의 양성 신생물","73","54","127"
"D124","하행결장의 양성 신생물","40","22","62"
"D125","구불결장의 양성 신생물","47","59","106"
"D126","상세불명의 결장의 양성 신생물","53","43","96"
"D127","직장구불결장접합부의 양성 신생물","9","10","19"
"D128","직장의 양성 신생물","23","18","41"
"D129","항문 및 항문관의 양성 신생물","0","1","1"
"D130","식도의 양성 신생물","0","2","2"
"D131","위의 양성 신생물","63","53","116"
"D132","십이지장의 양성 신생물","0","2","2"
"D134","간의 양성 신생물","2","1","3"
"D135","간외담관의 양성 신생물","5","4","9"
"D136","췌장의 양성 신생물","5","2","7"
"D140","중이, 비강 및 부비동의 양성 신생물","10","7","17"
"D141","후두의 양성 신생물","6","1","7"
"D1430","기관지 및 폐의 양성 신생물, 오른쪽","1","0","1"
"D1431","기관지 및 폐의 양성 신생물, 왼쪽","2","0","2"
"D151","심장의 양성 신생물","0","1","1"
"D160","견갑골 및 팔의 긴뼈의 양성 신생물","0","2","2"
"D165","아래턱뼈의 양성 신생물","1","0","1"
"D168","골반골, 천골(薦骨) 및 미추의 양성 신생물","0","1","1"
"D169","상세불명의 뼈 및 관절연골의 양성 신생물","1","0","1"
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","11","8","19"
"D171","몸통의 피부 및 피하조직의 양성 지방종성 신생물","7","14","21"
"D1720","팔의 피부 및 피하조직의 양성 지방종성 신생물","4","11","15"
"D1721","다리의 피부 및 피하조직의 양성 지방종성 신생물","3","6","9"
"D173","기타 및 상세불명 부위의 피부 및 피하조직의 양성 지방종성 신생물","0","1","1"
"D175","복강내기관의 양성 지방종성 신생물","0","1","1"
"D177","기타 부위의 양성 지방종성 신생물","1","1","2"
"D179","상세불명의 양성 지방종성 신생물","6","8","14"
"D1800","피부 및 피하조직의 혈관종","0","1","1"
"D1802","간담도계의 혈관종","1","4","5"
"D1803","소화계의 혈관종","0","2","2"
"D1804","귀, 코, 입 및 목구멍의 혈관종","3","1","4"
"D1808","기타 부위의 혈관종","2","3","5"
"D1809","상세불명 부위의 혈관종","1","0","1"
"D200","후복막의 양성 신생물","2","0","2"
