"구분","코드","명 ","국비","사비","계"
"질병","A499"," 상세불명의 세균감염 ","5","6","11"
"질병","A528"," 잠복성 만기매독 ","2","1","3"
"질병","A529"," 상세불명의 만기매독 ","1","","1"
"질병","A530"," 조기인지 만기인지 상세불명의 잠복매독 ","3","2","5"
"질병","A539"," 상세불명의 매독 ","1","1","2"
"질병","A548"," 기타 임균감염 ","","1","1"
"질병","A6001"," 남성 비뇨생식기관의 헤르페스바이러스감염(N51.-*) ","1","","1"
"질병","A601"," 항문주위피부 및 직장의 헤르페스바이러스감염 ","1","","1"
"질병","A753"," 리케차 쯔쯔가무시에 의한 발진티푸스 ","","1","1"
"질병","A879"," 상세불명의 바이러스수막염 ","","1","1"
"질병","A9380"," 중증열성혈소판감소증후군 [SFTS] ","1","","1"
"질병","B000"," 헤르페스습진 ","3","","3"
"질병","B001"," 헤르페스바이러스 소수포피부염 ","12","6","18"
"질병","B004"," 헤르페스바이러스뇌염(G05.1*) ","","1","1"
"질병","B0051"," 각막염(H19.1*) ","4","1","5"
"질병","B007"," 파종성 헤르페스바이러스병 ","1","","1"
"질병","B009"," 상세불명의 헤르페스바이러스감염 ","11","16","27"
"질병","B022"," 기타 신경계통 침범을 동반한 대상포진 ","3","6","9"
"질병","B027"," 파종성 대상포진 ","2","1","3"
"질병","B029"," 합병증이 없는 대상포진 ","7","9","16"
"질병","B07"," 바이러스사마귀 ","8","5","13"
"질병","B084"," 발진을 동반한 엔테로바이러스소수포구내염 ","2","1","3"
"질병","B159"," 간성 혼수가 없는 A형간염 ","1","3","4"
"질병","B169"," 간성 혼수가 없고 델타-병원체도 없는 급성 B형간염 ","","1","1"
"질병","B172"," 급성 E형간염 ","1","","1"
"질병","B179"," 상세불명의 급성 바이러스간염 ","","3","3"
"질병","B1810"," 델타-병원체가 없는 만성 바이러스B형간염, 면역관용기 ","19","23","42"
"질병","B1819"," 델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간 ","118","90","208"
"질병","B182"," 만성 바이러스C형간염 ","45","14","59"
"질병","B206"," 폐포자충폐렴을 유발한 사람면역결핍바이러스병 ","1","","1"
"질병","B24"," 상세불명의 사람면역결핍바이러스병 ","2","","2"
"질병","B250"," 거대세포바이러스폐렴(J17.1*) ","2","","2"
"질병","B258"," 기타 거대세포바이러스병 ","8","3","11"
"질병","B259"," 상세불명의 거대세포바이러스병 ","3","2","5"
"질병","B279"," 상세불명의 감염성 단핵구증 ","1","","1"
"질병","B300"," 아데노바이러스에 의한 각막결막염(H19.2*) ","","1","1"
"질병","B3480"," 상세불명 부위의 엡스타인-바 바이러스 감염 ","","1","1"
"질병","B349"," 상세불명의 바이러스감염 ","2","1","3"
"질병","B350"," 수염 및 두피 백선 ","","1","1"
"질병","B351"," 손발톱백선 ","40","28","68"
"질병","B352"," 손백선 ","8","4","12"
"질병","B353"," 발백선 ","80","46","126"
"질병","B354"," 체부백선 ","34","21","55"
"질병","B356"," 사타구니백선 ","31","18","49"
"질병","B359"," 상세불명의 백선증 ","1","","1"
"질병","B360"," 어루러기 ","4","","4"
"질병","B368"," 기타 명시된 표재성 진균증 ","1","","1"
"질병","B369"," 상세불명의 표재성 진균증 ","3","","3"
"질병","B370"," 칸디다구내염 ","14","2","16"
"질병","B373"," 외음 및 질의 칸디다증(N77.1*) ","","4","4"
"질병","B3740"," 칸디다 방광염 및 요도염(N37.0*) ","3","2","5"
"질병","B3748"," 기타 비뇨생식기 부위의 칸디다증 ","8","8","16"
"질병","B377"," 칸디다패혈증 ","13","7","20"
"질병","B3780"," 칸디다식도염 ","10","","10"
"질병","B3788"," 기타 부위의 칸디다증 ","9","6","15"
"질병","B379"," 상세불명의 칸디다증 ","","1","1"
"질병","B403"," 피부분아균증 ","","1","1"
"질병","B408"," 기타 형태의 분아균증 ","","1","1"
"질병","B440"," 침습성 폐아스페르길루스증 ","7","2","9"
"질병","B441"," 기타 폐아스페르길루스증 ","3","1","4"
"질병","B448"," 기타 형태의 아스페르길루스증 ","4","8","12"
"질병","B449"," 상세불명의 아스페르길루스증 ","3","3","6"
"질병","B462"," 위장털곰팡이증 ","","1","1"
"질병","B485"," 폐포자충증(J17.2*) ","4","3","7"
"질병","B49"," 상세불명의 진균증 ","8","6","14"
"질병","B540"," 상세불명의 말라리아, 재발성으로 명시되어 있지 않은 ","","1","1"
"질병","B664"," 폐흡충증 ","1","","1"
"질병","B8300"," 톡소카라증 ","3","","3"
"질병","B86"," 옴 ","7","7","14"
"질병","B880"," 기타 진드기증 ","","1","1"
"질병","B889"," 상세불명의 감염 ","1","","1"
"질병","B909"," 호흡기 및 상세불명 결핵의 후유증 ","5","3","8"
"질병","B951"," 다른 장에서 분류된 질환의 원인으로서의 B군연쇄알균 ","5","8","13"
"질병","B952"," 다른 장에서 분류된 질환의 원인으로서의 D군연쇄알균 및 장내알균 ","87","48","135"
"질병","B953"," 다른 장에서 분류된 질환의 원인으로서의 폐렴연쇄알균 ","3","4","7"
"질병","B954"," 다른 장에서 분류된 질환의 원인으로서의 기타 연쇄알균 ","18","12","30"
"질병","B955"," 다른 장에서 분류된 질환의 원인으로서의 상세불명의 연쇄알균 ","1","","1"
"질병","B956"," 다른 장에서 분류된 질환의 원인으로서의 황색포도알균 ","57","37","94"
"질병","B957"," 다른 장에서 분류된 질환의 원인으로서의 기타 포도알균 ","39","16","55"
"질병","B958"," 다른 장에서 분류된 질환의 원인으로서의 상세불명의 포도알균 ","4","2","6"
"질병","B960"," 다른 장에서 분류된 질환의 원인으로서의 폐렴마이코플라스마 ","1","","1"
"질병","B961"," 다른 장에서 분류된 질환의 원인으로서의 폐렴막대균 ","72","62","134"
"질병","B962"," 다른 장에서 분류된 질환의 원인으로서의 대장균 ","109","163","272"
"질병","B964"," 다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니) ","15","19","34"
"질병","B965"," 다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사) ","65","45","110"
"질병","B966"," 다른 장에서 분류된 질환의 원인으로서의 바실루스 프라질리스 ","1","","1"
"질병","B967"," 다른 장에서 분류된 질환의 원인으로서의 클로스트리듐 퍼프린젠스 ","1","3","4"
"질병","B9680"," 다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니 ","21","11","32"
"질병","B9681"," 다른 장에서 분류된 질환의 원인으로서의 장내세균속균 ","34","34","68"
"질병","B9688"," 다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균 감염체 ","59","28","87"
"질병","B980"," 다른 장에서 분류된 질환의 원인으로서의 헬리코박터 파일로리균 ","13","22","35"
"질병","C000"," 외부 윗입술의 악성 신생물 ","1","","1"
"질병","C01"," 혓바닥의 악성 신생물 ","1","","1"
"질병","C022"," 혀 배쪽면의 악성 신생물 ","1","","1"
"질병","C049"," 상세불명의 입바닥의 악성 신생물 ","1","1","2"
"질병","C050"," 경구개의 악성 신생물 ","1","","1"
"질병","C060"," 볼점막의 악성 신생물 ","1","2","3"
"질병","C069"," 상세불명의 입의 악성 신생물 ","1","1","2"
"질병","C07"," 귀밑샘의 악성 신생물 ","4","","4"
"질병","C080"," 턱밑샘의 악성 신생물 ","7","","7"
"질병","C099"," 상세불명의 편도의 악성 신생물 ","1","4","5"
"질병","C119"," 상세불명의 비인두의 악성 신생물 ","2","4","6"
"질병","C12"," 이상동(梨狀洞)의 악성 신생물 ","2","1","3"
"질병","C139"," 상세불명의 하인두의 악성 신생물 ","1","1","2"
"질병","C150"," 경부식도의 악성 신생물 ","1","","1"
"질병","C151"," 흉부식도의 악성 신생물 ","2","","2"
"질병","C153"," 식도의 상부 3분의1의 악성 신생물 ","1","9","10"
"질병","C154"," 식도의 중간 3분의1의 악성 신생물 ","6","1","7"
"질병","C155"," 식도의 하부 3분의1의 악성 신생물 ","21","4","25"
"질병","C159"," 상세불명의 식도의 악성 신생물 ","1","1","2"
"질병","C1600"," 분문의 악성 신생물, 조기 ","4","","4"
"질병","C1601"," 분문의 악성 신생물, 진행형 ","11","2","13"
"질병","C1609"," 분문의 악성 신생물, 상세불명 ","4","1","5"
"질병","C1619"," 위의 저부의 악성 신생물, 상세불명 ","5","","5"
"질병","C1620"," 위의 체부의 악성 신생물, 조기 ","28","18","46"
"질병","C1621"," 위의 체부의 악성 신생물, 진행형 ","23","17","40"
"질병","C1629"," 위의 체부의 악성 신생물, 상세불명 ","5","6","11"
"질병","C1630"," 유문동의 악성 신생물, 조기 ","31","24","55"
"질병","C1631"," 유문동의 악성 신생물, 진행형 ","29","23","52"
"질병","C1639"," 유문동의 악성 신생물, 상세불명 ","2","3","5"
"질병","C1640"," 유문의 악성 신생물, 조기 ","7","","7"
"질병","C1641"," 유문의 악성 신생물, 진행형 ","1","2","3"
"질병","C1650"," 상세불명의 위의 소만부의 악성 신생물, 조기 ","1","","1"
"질병","C168"," 위의 중복병변의 악성 신생물 ","","1","1"
"질병","C1680"," 위의 중복병변의 악성 신생물, 조기 ","1","1","2"
"질병","C1681"," 위의 중복병변의 악성 신생물, 진행형 ","23","2","25"
"질병","C1689"," 위의 중복병변의 악성 신생물, 상세불명 ","1","2","3"
"질병","C1690"," 상세불명의 위의 악성 신생물, 조기 ","2","1","3"
"질병","C1691"," 상세불명의 위의 악성 신생물, 진행형 ","5","12","17"
"질병","C1699"," 상세불명의 위의 악성 신생물, 상세불명 ","8","3","11"
"질병","C170"," 십이지장의 악성 신생물 ","","2","2"
"질병","C172"," 회장의 악성 신생물 ","3","","3"
"질병","C179"," 상세불명의 소장의 악성 신생물 ","4","","4"
"질병","C180"," 맹장의 악성 신생물 ","29","17","46"
"질병","C181"," 충수의 악성 신생물 ","1","7","8"
"질병","C182"," 상행결장의 악성 신생물 ","17","24","41"
"질병","C183"," 간굴곡의 악성 신생물 ","","11","11"
"질병","C184"," 횡행결장의 악성 신생물 ","19","27","46"
"질병","C185"," 비장굴곡의 악성 신생물 ","1","11","12"
"질병","C186"," 하행결장의 악성 신생물 ","14","7","21"
"질병","C187"," 구불결장의 악성 신생물 ","84","68","152"
"질병","C189"," 상세불명의 결장의 악성 신생물 ","3","1","4"
"질병","C19"," 직장구불결장접합부의 악성 신생물 ","19","22","41"
"질병","C20"," 직장의 악성 신생물 ","100","44","144"
"질병","C220"," 간세포암종의 악성 신생물 ","167","66","233"
"질병","C221"," 간내담관암종의 악성 신생물 ","41","26","67"
"질병","C23"," 담낭의 악성 신생물 ","5","13","18"
"질병","C240"," 간외담관의 악성 신생물 ","41","27","68"
"질병","C241"," 파터팽대의 악성 신생물 ","6","","6"
"질병","C250"," 췌장의 두부의 악성 신생물 ","69","56","125"
"질병","C251"," 췌장의 체부의 악성 신생물 ","22","7","29"
"질병","C252"," 췌장의 꼬리의 악성 신생물 ","16","15","31"
"질병","C258"," 췌장의 중복병변의 악성 신생물 ","5","6","11"
"질병","C259"," 상세불명의 췌장의 악성 신생물 ","","6","6"
"질병","C300"," 비강의 악성 신생물 ","5","1","6"
"질병","C320"," 성문의 악성 신생물 ","6","5","11"
"질병","C321"," 성문상의 악성 신생물 ","7","","7"
"질병","C328"," 후두의 중복병변의 악성 신생물 ","1","","1"
"질병","C3400"," 주기관지의 악성 신생물, 오른쪽 ","","1","1"
"질병","C3401"," 주기관지의 악성 신생물, 왼쪽 ","","3","3"
"질병","C3410"," 상엽, 기관지 또는 폐의 악성 신생물, 오른쪽 ","139","73","212"
"질병","C3411"," 상엽, 기관지 또는 폐의 악성 신생물, 왼쪽 ","157","52","209"
"질병","C342"," 중엽, 기관지 또는 폐의 악성 신생물 ","18","23","41"
"질병","C3430"," 하엽, 기관지 또는 폐의 악성 신생물, 오른쪽 ","159","34","193"
"질병","C3431"," 하엽, 기관지 또는 폐의 악성 신생물, 왼쪽 ","111","50","161"
"질병","C3439"," 하엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽 ","2","2","4"
"질병","C3480"," 기관지 및 폐의 중복병변의 악성 신생물, 오른쪽 ","1","1","2"
"질병","C3490"," 상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽 ","","3","3"
"질병","C3491"," 상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽 ","","2","2"
"질병","C3499"," 상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽 ","11","7","18"
"질병","C37"," 흉선의 악성 신생물 ","4","1","5"
"질병","C430"," 입술의 악성 흑색종 ","1","","1"
"질병","C432"," 귀 및 외이도의 악성 흑색종 ","2","","2"
"질병","C435"," 몸통의 악성 흑색종 ","3","","3"
"질병","C437"," 엉덩이를 포함한 다리의 악성 흑색종 ","2","1","3"
"질병","C439"," 상세불명의 피부의 악성 흑색종 ","2","","2"
"질병","C442"," 귀 및 외이도의 피부의 악성 신생물 ","2","","2"
"질병","C443"," 얼굴의 기타 및 상세불명 부분의 피부의 악성 신생물 ","6","","6"
"질병","C444"," 두피 및 목의 피부의 악성 신생물 ","3","1","4"
"질병","C445"," 몸통의 피부의 악성 신생물 ","3","2","5"
"질병","C447"," 엉덩이를 포함한 다리의 피부의 악성 신생물 ","4","1","5"
"질병","C450"," 흉막의 중피종 ","4","2","6"
"질병","C460"," 피부의 카포시육종 ","3","","3"
"질병","C481"," 복막의 명시된 부분의 악성 신생물 ","2","2","4"
"질병","C482"," 상세불명의 복막의 악성 신생물 ","1","1","2"
"질병","C491"," 어깨를 포함한 팔의 결합조직 및 연조직의 악성 신생물 ","","1","1"
"질병","C492"," 엉덩이를 포함한 다리의 결합조직 및 연조직의 악성 신생물 ","1","1","2"
"질병","C493"," 흉부의 결합조직 및 연조직의 악성 신생물 ","2","1","3"
"질병","C494"," 복부의 결합조직 및 연조직의 악성 신생물 ","1","2","3"
"질병","C495"," 골반의 결합조직 및 연조직의 악성 신생물 ","2","1","3"
"질병","C499"," 상세불명의 결합조직 및 연조직의 악성 신생물 ","","2","2"
"질병","C5001"," 유두 및 유륜의 악성 신생물, 왼쪽  ","1","","1"
"질병","C5010"," 유방의 중앙부의 악성 신생물, 오른쪽 ","","2","2"
"질병","C5011"," 유방의 중앙부의 악성 신생물, 왼쪽  ","4","3","7"
"질병","C5020"," 유방의 상내사분의 악성 신생물, 오른쪽  ","","8","8"
"질병","C5021"," 유방의 상내사분의 악성 신생물, 왼쪽  ","","2","2"
"질병","C5040"," 유방의 상외사분의 악성 신생물, 오른쪽  ","","6","6"
"질병","C5041"," 유방의 상외사분의 악성 신생물, 왼쪽  ","","13","13"
"질병","C5050"," 유방의 하외사분의 악성 신생물, 오른쪽  ","","9","9"
"질병","C5051"," 유방의 하외사분의 악성 신생물, 왼쪽  ","","4","4"
"질병","C5080"," 유방의 중복병변의 악성 신생물, 오른쪽  ","","4","4"
"질병","C5081"," 유방의 중복병변의 악성 신생물, 왼쪽  ","","3","3"
"질병","C509"," 상세불명의 유방의 악성 신생물 ","","1","1"
"질병","C5090"," 상세불명의 유방의 악성 신생물, 오른쪽  ","","6","6"
"질병","C5091"," 상세불명의 유방의 악성 신생물, 왼쪽  ","","9","9"
"질병","C5099"," 상세불명의 유방의 악성 신생물, 상세불명 쪽  ","","1","1"
"질병","C519"," 상세불명의 외음의 악성 신생물 ","","1","1"
"질병","C539"," 상세불명의 자궁경부의 악성 신생물 ","","9","9"
"질병","C541"," 자궁내막의 악성 신생물 ","","16","16"
"질병","C560"," 난소의 악성 신생물, 오른쪽 ","","2","2"
"질병","C561"," 난소의 악성 신생물, 왼쪽 ","","22","22"
"질병","C569"," 난소의 악성 신생물, 상세불명 쪽 ","2","9","11"
"질병","C61"," 전립선의 악성 신생물 ","465","218","683"
"질병","C640"," 신우를 제외한 신장의 악성 신생물, 오른쪽 ","18","13","31"
"질병","C641"," 신우를 제외한 신장의 악성 신생물, 왼쪽 ","31","9","40"
"질병","C649"," 신우를 제외한 신장의 악성 신생물, 상세불명 쪽 ","1","","1"
"질병","C650"," 신우의 악성 신생물, 오른쪽 ","2","3","5"
"질병","C651"," 신우의 악성 신생물, 왼쪽 ","3","2","5"
"질병","C659"," 신우의 악성 신생물, 상세불명 쪽 ","","3","3"
"질병","C660"," 요관의 악성 신생물, 오른쪽 ","6","8","14"
"질병","C661"," 요관의 악성 신생물, 왼쪽 ","5","6","11"
"질병","C670"," 방광삼각부의 악성 신생물 ","1","","1"
"질병","C671"," 방광의 둥근천장부의 악성 신생물 ","","3","3"
"질병","C672"," 방광의 측벽의 악성 신생물 ","7","9","16"
"질병","C673"," 방광의 전벽의 악성 신생물 ","3","2","5"
"질병","C674"," 방광의 후벽의 악성 신생물 ","5","2","7"
"질병","C676"," 요관구의 악성 신생물 ","5","","5"
"질병","C678"," 방광의 중복병변의 악성 신생물 ","2","","2"
"질병","C679"," 상세불명의 방광의 악성 신생물 ","97","41","138"
"질병","C688"," 비뇨기관의 중복병변의 악성 신생물 ","3","2","5"
"질병","C689"," 상세불명의 비뇨기관의 악성 신생물 ","","1","1"
"질병","C693"," 맥락막의 악성 신생물 ","1","","1"
"질병","C698"," 눈 및 부속기의 중복병변의 악성 신생물 ","1","","1"
"질병","C710"," 뇌엽 및 뇌실을 제외한 대뇌의 악성 신생물 ","","1","1"
"질병","C711"," 전두엽의 악성 신생물 ","5","","5"
"질병","C712"," 측두엽의 악성 신생물 ","","1","1"
"질병","C715"," 뇌실의 악성 신생물 ","","1","1"
"질병","C718"," 뇌의 중복병변의 악성 신생물 ","1","1","2"
"질병","C719"," 상세불명의 뇌의 악성 신생물 ","1","7","8"
"질병","C73"," 갑상선의 악성 신생물 ","16","17","33"
"질병","C741"," 부신수질의 악성 신생물 ","1","","1"
"질병","C750"," 부갑상선의 악성 신생물 ","1","","1"
"질병","C770"," 머리, 얼굴 및 목의 림프절의 이차성 및 상세불명의 악성신생물 ","197","83","280"
"질병","C771"," 흉곽내림프절의 이차성 및 상세불명의 악성신생물 ","392","171","563"
"질병","C772"," 복강내림프절의 이차성 및 상세불명의 악성신생물 ","388","218","606"
"질병","C773"," 겨드랑 및 팔 림프절의 이차성 및 상세불명의 악성신생물 ","26","33","59"
"질병","C774"," 사타구니 및 다리 림프절의 이차성 및 상세불명의 악성신생물 ","18","10","28"
"질병","C775"," 골반내 림프절의 이차성 및 상세불명의 악성신생물 ","138","63","201"
"질병","C778"," 여러 부위의 림프절의 이차성 및 상세불명의 악성신생물 ","","4","4"
"질병","C779"," 상세불명의 림프절의 이차성 및 상세불명의 악성신생물 ","2","13","15"
"질병","C7800"," 폐의 이차성 악성 신생물, 오른쪽 ","299","127","426"
"질병","C7801"," 폐의 이차성 악성 신생물, 왼쪽 ","253","118","371"
"질병","C7809"," 폐의 이차성 악성 신생물, 상세불명 쪽 ","","15","15"
"질병","C782"," 흉막의 이차성 악성 신생물 ","128","90","218"
"질병","C783"," 기타 및 상세불명의 호흡기관의 이차성 악성 신생물 ","2","1","3"
"질병","C784"," 소장의 이차성 악성 신생물 ","9","8","17"
"질병","C785"," 대장 및 직장의 이차성 악성 신생물 ","6","4","10"
"질병","C786"," 후복막 및 복막의 이차성 악성 신생물 ","167","149","316"
"질병","C787"," 간 및 간내 담관의 이차성 악성 신생물 ","288","239","527"
"질병","C7880"," 위의 이차성 악성 신생물 ","5","3","8"
"질병","C7881"," 췌장의 이차성 악성 신생물 ","14","9","23"
"질병","C7882"," 비장의 이차성 악성 신생물 ","3","3","6"
"질병","C7888"," 기타 소화기관의 이차성 악성 신생물 ","1","4","5"
"질병","C7900"," 신장 및 신우의 이차성 악성 신생물, 오른쪽 ","1","13","14"
"질병","C7901"," 신장 및 신우의 이차성 악성 신생물, 왼쪽 ","2","3","5"
"질병","C7909"," 신장 및 신우의 이차성 악성 신생물, 상세불명 쪽 ","1","","1"
"질병","C7910"," 방광의 이차성 악성 신생물 ","4","4","8"
"질병","C7918"," 기타 및 상세불명 비뇨기관의 이차성 악성 신생물 ","1","2","3"
"질병","C792"," 피부의 이차성 악성 신생물 ","8","5","13"
"질병","C7930"," 뇌의 이차성 악성 신생물 ","66","44","110"
"질병","C7931"," 뇌막의 이차성 악성 신생물 ","9","8","17"
"질병","C794"," 신경계통의 기타 및 상세불명 부분의 이차성 악성 신생물 ","","1","1"
"질병","C795"," 골 및 골수의 이차성 악성 신생물 ","240","117","357"
"질병","C797"," 부신의 이차성 악성 신생물 ","44","33","77"
"질병","C7980"," 유방의 이차성 악성 신생물 ","","1","1"
"질병","C7981"," 생식기관의 이차성 악성 신생물 ","","1","1"
"질병","C7988"," 기타 명시된 부위의 이차성 악성 신생물 ","102","24","126"
"질병","C799"," 상세불명 부위의 이차성 악성 신생물 ","","2","2"
"질병","C800"," 원발부위 미상으로 언급된 악성 신생물 ","","1","1"
"질병","C809"," 원발부위 상세불명인 악성 신생물 ","5","5","10"
"질병","C811"," 결절성 경화성 (고전적) 호지킨림프종 ","1","1","2"
"질병","C812"," 혼합 세포충실성 (고전적) 호지킨림프종 ","1","","1"
"질병","C820"," 소포성 림프종 등급 I ","3","","3"
"질병","C821"," 소포성 림프종 등급 II ","4","","4"
"질병","C822"," 소포성 림프종 등급 III, 상세불명 ","","1","1"
"질병","C823"," 소포성 림프종 등급 IIIa ","3","","3"
"질병","C824"," 소포성 림프종 등급 IIIb ","","2","2"
"질병","C830"," 소세포B-세포림프종 ","3","3","6"
"질병","C831"," 외투세포림프종 ","","1","1"
"질병","C833"," 미만성 대B-세포림프종 ","25","11","36"
"질병","C837"," 버킷림프종 ","1","","1"
"질병","C844"," 분류되지 않은, 말초성 T-세포림프종 ","1","2","3"
"질병","C851"," 상세불명의 B-세포림프종 ","1","1","2"
"질병","C859"," 상세불명의 비호지킨림프종 ","1","2","3"
"질병","C865"," 혈관면역모세포성 T-세포림프종 ","2","4","6"
"질병","C880"," 왈덴스트룀 마크로클로불린혈증 ","1","","1"
"질병","C884"," 점막 관련 림프모양조직의 림프절외 변연부 B-세포림프종[MALT-lymphoma] ","7","","7"
"질병","C900"," 다발골수종 ","14","9","23"
"질병","C910"," 급성 림프모구성 백혈병 [ALL] ","","1","1"
"질병","C911"," B-세포형 만성 림프구성 백혈병 ","3","2","5"
"질병","C920"," 급성 골수모구성 백혈병 ","10","4","14"
"질병","C921"," 만성 골수성 백혈병, BCR/ABL-양성 ","4","2","6"
"질병","C922"," 비정형적 만성 골수성 백혈병, BCR/ABL 음성 ","2","","2"
"질병","C923"," 골수성 육종 ","","1","1"
"질병","C925"," 급성 골수단핵구성 백혈병 ","","3","3"
"질병","C930"," 급성 단핵모구성/단핵구성 백혈병 ","1","","1"
"질병","C931"," 만성 골수단핵구성 백혈병 ","2","1","3"
"질병","C950"," 상세불명 세포형의 급성 백혈병 ","1","","1"
"질병","C966"," 단초점 랑게르한스세포 조직구증 ","","2","2"
"질병","C968"," 조직구성 육종 ","1","","1"
"질병","C97"," 독립된(원발성) 여러 부위의 악성 신생물 ","142","64","206"
"질병","D001"," 식도의 제자리암종  ","2","1","3"
"질병","D002"," 위의 제자리암종  ","4","2","6"
"질병","D010"," 결장의 제자리암종 ","16","10","26"
"질병","D011"," 직장구불결장접합부의 제자리암종 ","","1","1"
"질병","D012"," 직장의 제자리암종  ","2","6","8"
"질병","D0151"," 담낭의 제자리암종 ","1","","1"
"질병","D0152"," 담관의 제자리암종 ","3","2","5"
"질병","D0170"," 췌장의 제자리암종 ","2","","2"
"질병","D020"," 후두의 제자리암종 ","8","6","14"
"질병","D043"," 얼굴의 기타 및 상세불명 부분의 피부의 제자리암종 ","1","","1"
"질병","D047"," 엉덩이를 포함한 다리의 피부의 제자리암종 ","2","2","4"
"질병","D0500"," 유방의 소엽 제자리암종, 오른쪽 ","","2","2"
"질병","D0510"," 유방의 관내 제자리암종, 오른쪽 ","","4","4"
"질병","D0511"," 유방의 관내 제자리암종, 왼쪽 ","","11","11"
"질병","D069"," 상세불명의 자궁경부의 제자리암종 ","","2","2"
"질병","D070"," 자궁내막의 제자리암종  ","","1","1"
"질병","D075"," 전립선의 제자리암종 ","50","34","84"
"질병","D090"," 방광의 제자리암종  ","132","42","174"
