"상병코드","상병명","국비","사비",""
"B948","기타 명시된 감염성 및 기생충성 질환의 후유증","2","0",""
"B952","다른 장에서 분류된 질환의 원인으로서의 D군연쇄알균 및 장내알균","12","2",""
"B956","다른 장에서 분류된 질환의 원인으로서의 황색포도알균","13","2",""
"B957","다른 장에서 분류된 질환의 원인으로서의 기타 포도알균","2","0",""
"B961","다른 장에서 분류된 질환의 원인으로서의 폐렴막대균","18","8",""
"B962","다른 장에서 분류된 질환의 원인으로서의 대장균","16","19",""
"B964","다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니)","1","0",""
"B965","다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사)","9","1",""
"B9680","다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니","4","1",""
"B9681","다른 장에서 분류된 질환의 원인으로서의 장내세균속균","2","1",""
"B9688","다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균 감염체","1","0",""
"C029","상세불명의 혀의 악성 신생물","1","0",""
"C069","상세불명의 입의 악성 신생물","1","0",""
"C109","상세불명의 입인두의 악성 신생물","2","1",""
"C119","상세불명의 비인두의 악성 신생물","1","0",""
"C12","이상동(梨狀洞)의 악성 신생물","2","0",""
"C150","경부식도의 악성 신생물","2","0",""
"C159","상세불명의 식도의 악성 신생물","2","2",""
"C1600","분문의 악성 신생물, 조기","1","0",""
"C1601","분문의 악성 신생물, 진행형","1","1",""
"C1610","위의 저부의 악성 신생물, 조기","1","0",""
"C1620","위의 체부의 악성 신생물, 조기","1","1",""
"C1621","위의 체부의 악성 신생물, 진행형","1","1",""
"C1629","위의 체부의 악성 신생물, 상세불명","1","1",""
"C1630","유문동의 악성 신생물, 조기","9","3",""
"C1631","유문동의 악성 신생물, 진행형","1","1",""
"C1639","유문동의 악성 신생물, 상세불명","2","2",""
"C1691","상세불명의 위의 악성 신생물, 진행형","8","4",""
"C1699","상세불명의 위의 악성 신생물, 상세불명","7","7",""
"C171","공장의 악성 신생물","1","0",""
"C180","맹장의 악성 신생물","1","0",""
"C182","상행결장의 악성 신생물","2","0",""
"C183","간굴곡의 악성 신생물","1","0",""
"C184","횡행결장의 악성 신생물","1","2",""
"C186","하행결장의 악성 신생물","1","0",""
"C187","구불결장의 악성 신생물","4","9",""
"C189","상세불명의 결장의 악성 신생물","2","7",""
"C19","직장구불결장접합부의 악성 신생물","5","0",""
"C20","직장의 악성 신생물","4","6",""
"C220","간세포암종의 악성 신생물","23","14",""
"C221","간내담관암종의 악성 신생물","11","9",""
"C229","상세불명의 간의 악성 신생물","1","0",""
"C23","담낭의 악성 신생물","4","4",""
"C240","간외담관의 악성 신생물","3","5",""
"C241","파터팽대의 악성 신생물","3","0",""
"C248","담도의 중복병변의 악성 신생물","1","0",""
"C249","상세불명의 담도의 악성 신생물","1","0",""
"C250","췌장의 두부의 악성 신생물","1","0",""
"C252","췌장의 꼬리의 악성 신생물","1","0",""
"C259","상세불명의 췌장의 악성 신생물","5","12",""
"C300","비강의 악성 신생물","1","0",""
"C320","성문의 악성 신생물","1","0",""
"C321","성문상의 악성 신생물","1","0",""
"C3410","상엽, 기관지 또는 폐의 악성 신생물, 오른쪽","3","0",""
"C3411","상엽, 기관지 또는 폐의 악성 신생물, 왼쪽","5","0",""
"C3430","하엽, 기관지 또는 폐의 악성 신생물, 오른쪽","1","2",""
"C3439","하엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽","1","0",""
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","6","8",""
"C3491","상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽","4","1",""
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","36","26",""
"C37","흉선의 악성 신생물","1","0",""
"C480","후복막의 악성 신생물","2","0",""
"C5090","상세불명의 유방의 악성 신생물, 오른쪽","1","0",""
"C5099","상세불명의 유방의 악성 신생물, 상세불명 쪽","2","0",""
"C539","상세불명의 자궁경부의 악성 신생물","1","0",""
"C542","자궁근의 악성 신생물","1","0",""
"C569","난소의 악성 신생물, 상세불명 쪽","7","0",""
"C61","전립선의 악성 신생물","65","20",""
"C640","신우를 제외한 신장의 악성 신생물, 오른쪽","2","2",""
"C649","신우를 제외한 신장의 악성 신생물, 상세불명 쪽","1","2",""
"C660","요관의 악성 신생물, 오른쪽","2","1",""
"C672","방광의 측벽의 악성 신생물","1","0",""
"C674","방광의 후벽의 악성 신생물","1","0",""
"C679","상세불명의 방광의 악성 신생물","4","4",""
"C718","뇌의 중복병변의 악성 신생물","1","0",""
"C719","상세불명의 뇌의 악성 신생물","4","0",""
"C770","머리, 얼굴 및 목의 림프절의 이차성 및 상세불명의 악성신생물","1","0",""
"C778","여러 부위의 림프절의 이차성 및 상세불명의 악성신생물","1","0",""
"C779","상세불명의 림프절의 이차성 및 상세불명의 악성신생물","5","2",""
"C7800","폐의 이차성 악성 신생물, 오른쪽","2","0",""
"C7809","폐의 이차성 악성 신생물, 상세불명 쪽","4","2",""
"C781","종격의 이차성 악성 신생물","1","0",""
"C782","흉막의 이차성 악성 신생물","1","0",""
"C786","후복막 및 복막의 이차성 악성 신생물","4","6",""
"C787","간 및 간내 담관의 이차성 악성 신생물","12","12",""
"C7881","췌장의 이차성 악성 신생물","1","0",""
"C7888","기타 소화기관의 이차성 악성 신생물","2","0",""
"C7910","방광의 이차성 악성 신생물","1","0",""
"C792","피부의 이차성 악성 신생물","2","1",""
"C7930","뇌의 이차성 악성 신생물","5","7",""
"C795","골 및 골수의 이차성 악성 신생물","10","7",""
"C797","부신의 이차성 악성 신생물","2","0",""
"C7988","기타 명시된 부위의 이차성 악성 신생물","5","1",""
"C799","상세불명 부위의 이차성 악성 신생물","6","0",""
"C809","원발부위 상세불명인 악성 신생물","1","2",""
"C829","상세불명의 소포성 림프종","1","0",""
"C833","미만성 대B0세포림프종","2","0",""
"C859","상세불명의 비호지킨림프종","2","0",""
"C900","다발골수종","2","1",""
"C929","상세불명의 골수성 백혈병","1","0",""
"D002","위의 제자리암종","1","0",""
"D090","방광의 제자리암종","17","3",""
"D091","기타 및 상세불명의 비뇨기관의 제자리암종","1","0",""
"D120","맹장의 양성 신생물","12","2",""
"D122","상행결장의 양성 신생물","18","1",""
"D123","횡행결장의 양성 신생물","21","0",""
"D124","하행결장의 양성 신생물","18","1",""
"D125","구불결장의 양성 신생물","21","0",""
"D126","상세불명의 결장의 양성 신생물","10","5",""
"D128","직장의 양성 신생물","2","0",""
"D131","위의 양성 신생물","26","21",""
"D135","간외담관의 양성 신생물","2","1",""
"D162","다리의 긴뼈의 양성 신생물","1","0",""
"D169","상세불명의 뼈 및 관절연골의 양성 신생물","1","0",""
"D1720","팔의 피부 및 피하조직의 양성 지방종성 신생물","2","0",""
"D179","상세불명의 양성 지방종성 신생물","3","1",""
"D215","골반의 결합조직 및 기타 연조직의 기타 양성 신생물","1","0",""
"D231","안각을 포함한 눈꺼풀의 피부의 양성 신생물","2","1",""
"D351","부갑상선의 양성 신생물","1","0",""
"D352","뇌하수체의 양성 신생물","1","0",""
"D376","간, 담낭 및 담관의 행동양식 불명 또는 미상의 신생물","1","1",""
"D377","기타 소화기관의 행동양식 불명 또는 미상의 신생물","1","0",""
"D390","자궁의 행동양식 불명 및 미상의 신생물","1","0",""
"D414","방광의 행동양식 불명 또는 미상의 신생물","2","0",""
"D469","상세불명의 골수형성이상증후군","2","0",""
"D471","만성 골수증식질환","1","0",""
"D480","뼈 및 관절연골의 행동양식 불명 또는 미상의 신생물","1","0",""
"D481","결합조직 및 기타 연조직의 행동양식 불명 또는 미상의 신생물","1","0",""
"D508","기타 철결핍빈혈","14","6",""
"D509","상세불명의 철결핍빈혈","2","3",""
"D528","기타 엽산결핍빈혈","1","0",""
"D649","상세불명의 빈혈","28","12",""
"D65","파종성 혈관내응고[탈피브린증후군]","2","0",""
"D695","이차성 혈소판감소증","1","0",""
"D696","상세불명의 혈소판감소증","2","2",""
"D70","무과립구증","1","0",""
"D721","호산구증가","1","0",""
"D728","기타 명시된 백혈구의 장애","1","0",""
"E039","상세불명의 갑상선기능저하증","8","2",""
"E041","비독성 단순갑상선 결절","1","0",""
"E049","상세불명의 비독성 고이터","1","0",""
"E059","상세불명의 갑상선독증","2","1",""
"E1051","당뇨병성 말초혈관병증을 동반한, 괴저를 동반한 1형 당뇨병(I79.2*)","1","0",""
"E1064","혈당조절이 되지 않은 1형 당뇨병","1","0",""
"E1078","기타 다발성 합병증을 동반한 1형 당뇨병","3","0",""
"E109","합병증을 동반하지 않은 1형 당뇨병","1","0",""
"E1100","고삼투압과 혼수를 동반한 2형 당뇨병","2","0",""
"E1110","케토산증을 동반한 2형 당뇨병","1","1",""
"E1121","확정된 당뇨병성 신장병증을 동반한 2형 당뇨병(N08.3*)","1","0",""
"E1122","말기신장병을 동반한 2형 당뇨병(N08.3*)","10","1",""
"E1128","기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N08.3*)","12","1",""
"E1131","당뇨병성 비증식성 망막병증을 동반한 2형 당뇨병(H36.0*)","1","0",""
"E1132","당뇨병성 증식성 망막병증을 동반한 2형 당뇨병(H36.0*)","4","1",""
"E1133","기타 및 상세불명의 망막병증을 동반한 2형 당뇨병(H36.0*)","2","1",""
"E1141","당뇨병성 다발신경병증을 동반한 2형 당뇨병(G63.2*)","40","3",""
"E1150","당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 2형 당뇨병(I79.2*)","3","0",""
"E1151","당뇨병성 말초혈관병증을 동반한, 괴저를 동반한 2형 당뇨병(I79.2*)","1","0",""
"E1163","저혈당을 동반한 2형 당뇨병","1","0",""
"E1164","혈당조절이 되지 않은 2형 당뇨병","39","18",""
"E1164","혈당조절이 되지 않은 2형 당뇨병","18","0",""
"E1171","당뇨병성 족부궤양 및 괴저를 동반한 2형 당뇨병","1","1",""
"E1178","기타 다발성 합병증을 동반한 2형 당뇨병","7","4",""
"E118","상세불명의 합병증을 동반한 2형 당뇨병","41","9",""
"E119","합병증을 동반하지 않은 2형 당뇨병","156","55",""
"E1408","기타 및 상세불명의 혼수를 동반한 상세불명의 당뇨병","1","0",""
"E1410","케토산증을 동반한 상세불명의 당뇨병","1","0",""
"E1422","말기신장병을 동반한 상세불명의 당뇨병(N08.3*)","1","0",""
"E1441","당뇨병성 다발신경병증을 동반한 상세불명의 당뇨병(G63.2*)","1","1",""
"E1463","저혈당을 동반한 상세불명의 당뇨병","1","0",""
"E1470","당뇨병성 족부궤양을 동반한 상세불명의 당뇨병","1","0",""
"E1471","당뇨병성 족부궤양 및 괴저를 동반한 상세불명의 당뇨병","1","0",""
"E1478","기타 다발성 합병증을 동반한 상세불명의 당뇨병","1","3",""
"E149","합병증을 동반하지 않은 상세불명의 당뇨병","1","1",""
"E162","상세불명의 저혈당","1","0",""
"E209","상세불명의 부갑상선기능저하증","4","0",""
"E222","부적절항이뇨호르몬분비증후군","1","1",""
"E249","상세불명의 쿠싱증후군","1","0",""
"E278","부신의 기타 명시된 장애","3","0",""
"E279","부신의 상세불명 장애","1","0",""
"E350","달리 분류된 질환에서의 갑상선 장애","1","0",""
"E781","순수 고글리세라이드혈증","1","1",""
"E782","혼합성 고지질혈증","32","13",""
"E784","기타 고지질혈증","1","0",""
"E785","상세불명의 고지질혈증","38","25",""
"E835","칼슘대사장애","2","0",""
"E870","고오스몰랄농도 및 고나트륨혈증","1","0",""
"E871","저오스몰랄농도 및 저나트륨혈증","16","11",""
"E872","산증","1","0",""
"E875","고칼륨혈증","1","8",""
"E876","저칼륨혈증","5","3",""
"F000","조기발병 알츠하이머병에서의 치매(G30.0†)","1","3",""
"F001","만기발병 알츠하이머병에서의 치매(G30.1†)","1","1",""
"F009","상세불명의 알츠하이머병에서의 치매(G30.9†)","3","3",""
"F03","상세불명의 치매","4","3",""
"F059","상세불명의 섬망","4","7",""
"F067","경도 인지장애","2","0",""
"F206","단순형조현병","3","0",""
"F29","상세불명의 비기질성 정신병","1","0",""
"F320","경도 우울에피소드","4","2",""
"F328","기타 우울에피소드","1","0",""
"F329","상세불명의 우울에피소드","4","4",""
"F401","사회공포증","1","3",""
"F410","공황장애[우발적 발작성 불안]","2","0",""
"F419","상세불명의 불안장애","2","1",""
"F510","비기질성 불면증","15","5",""
"G049","상세불명의 뇌염, 척수염 및 뇌척수염","2","0",""
"G060","두개내 농양 및 육아종","1","0",""
"G061","척추내 농양 및 육아종","1","0",""
"G1221","산발형 근위축측삭경화증","1","0",""
"G20","파킨슨병","4","5",""
"G214","혈관성 파킨슨증","1","0",""
"G219","상세불명의 이차성 파킨슨증","3","0",""
"G22","달리 분류된 질환에서의 파킨슨증","1","0",""
"G249","상세불명의 근긴장이상","1","0",""
"G250","본태성 떨림","1","0",""
"G300","조기발병을 수반한 알츠하이머병","3","0",""
"G301","만기발병을 수반한 알츠하이머병","1","0",""
"G309","상세불명의 알츠하이머병","1","2",""
"G4051","난치성 뇌전증을 동반한 특별뇌전증증후군","1","0",""
"G4090","난치성 뇌전증을 동반하지 않은 상세불명의 뇌전증","1","0",""
"G418","기타 뇌전증지속상태","1","0",""
"G419","상세불명의 뇌전증지속상태","1","0",""
"G443","만성 외상후 두통","1","0",""
"G470","수면 개시 및 유지 장애[불면증]","5","6",""
"G510","벨마비","1","0",""
"G530","대상포진후신경통(B02.2†)","2","2",""
"G551","추간판 장애에서의 신경근 및 신경총 압박(M500M51†)","150","20",""
"G560","손목터널증후군","4","1",""
"G562","척골신경의 병변","3","0",""
"G568","팔의 기타 단일신경병증","1","0",""
"G609","상세불명의 유전성 및 특발성 신경병증","6","0",""
"G610","길랭0바레증후군","4","1",""
"G622","기타 독성물질에 의한 다발신경병증","1","0",""
"G629","상세불명의 다발신경병증","25","0",""
"G632","당뇨병성 다발신경병증(4단위 및 5단위 숫자 .41에 해당되는 E100E14†)","37","4",""
"G803","운동장애성 뇌성마비","1","0",""
"G811","강직성 편마비","10","3",""
"G819","상세불명의 편마비","40","6",""
"G822","상세불명의 하반신마비","1","0",""
"G825","상세불명의 사지마비","10","2",""
"G839","상세불명의 마비증후군","5","3",""
"G904","자율신경성 반사이상","1","0",""
"G912","정상뇌압 수두증","1","0",""
"G919","상세불명의 수두증","1","0",""
"G931","달리 분류되지 않은 무산소성 뇌손상","2","1",""
"G958","척수의 기타 명시된 질환","1","0",""
"G959","척수의 상세불명 질환","7","0",""
"G992","달리 분류된 질환에서의 척수병증","1","0",""
"H011","눈꺼풀의 비감염성 피부병","1","0",""
"H0202","노년성 안검내반","11","5",""
"H0204","안검내반이 없는 속눈썹증","1","0",""
"H0212","노년성 안검외반","1","0",""
"H0240","기계적 안검하수","1","0",""
"H0241","근원성 안검하수","2","0",""
"H0248","기타 및 상세불명의 안검하수","9","1",""
"H0282","눈꺼풀의 피부이완증","2","0",""
"H0411","건성안증후군","3","1",""
"H0453","누소관협착","1","0",""
"H0454","비루관의 후천적 협착","5","1",""
"H1101","눈의 중심성 군날개","2","0",""
"H1105","눈의 재발성 군날개","2","0",""
"H1108","눈의 기타 및 상세불명의 군날개","2","1",""
"H1121","결막육아종","1","0",""
"H1181","결막이완","1","1",""
"H160","각막궤양","1","0",""
"H1618","기타 및 상세불명의 표재성 각막염","1","0",""
"H2500","노년성 초기백내장, 오른쪽","2","0",""
"H2501","노년성 초기백내장, 왼쪽","1","0",""
"H2502","노년성 초기백내장, 양쪽","2","1",""
"H2510","노년성 핵백내장, 오른쪽","17","6",""
"H2511","노년성 핵백내장, 왼쪽","25","11",""
"H2512","노년성 핵백내장, 양쪽","57","45",""
"H2581","기타 노년백내장, 왼쪽","1","0",""
"H2590","상세불명의 노년백내장, 오른쪽","71","43",""
"H2591","상세불명의 노년백내장, 왼쪽","92","51",""
"H2592","상세불명의 노년백내장, 양쪽","64","54",""
"H2610","외상성 백내장, 오른쪽","1","0",""
"H2611","외상성 백내장, 왼쪽","1","0",""
"H26280","기타 합병백내장, 오른쪽","3","1",""
"H26281","기타 합병백내장, 왼쪽","4","2",""
"H270","무수정체","1","0",""
"H271","수정체의 탈구","6","2",""
"H348","기타 망막혈관폐쇄","2","0",""
"H349","상세불명의 망막혈관폐쇄","2","0",""
"H3531","연령과 관련된 삼출성 황반변성","2","0",""
"H3539","상세불명의 황반변성","40","14",""
"H3580","망막부종","3","1",""
"H359","상세불명의 망막장애","1","1",""
"H360","당뇨병성 망막병증(4단위 및 5단위 숫자 .30, .31, .32, .33에 해당되는 E100E14+)","8","2",""
"H4019","상세불명의 원발성 개방우각녹내장","22","11",""
"H405","기타 눈장애에 따른 이차성 녹내장","1","0",""
"H409","상세불명의 녹내장","3","1",""
"H430","유리체탈출","1","0",""
"H431","유리체출혈","4","0",""
"H432","유리체내 결정침착물","1","0",""
"H500","수렴공동사시","1","0",""
"H532","복시(複視)","1","0",""
"H570","동공기능의 이상","1","0",""
"H6088","기타 외이도염","1","0",""
"H812","전정신경세포염","1","0",""
"H905","상세불명의 감각신경성 청력소실","1","0",""
"I051","류마티스성 승모판기능부전","1","0",""
"I101","악성 고혈압","2","3",""
"I109","기타 및 상세불명의 원발성 고혈압","116","76",""
"I110","(울혈성) 심부전을 동반한 고혈압성 심장병","11","5",""
"I159","상세불명의 이차성 고혈압","1","0",""
"I200","불안정협심증","76","34",""
"I201","연축의 기재가 있는 협심증","36","23",""
"I2080","비정형협심증","3","3",""
"I2088","기타 형태의 협심증","503","145",""
"I209","상세불명의 협심증","33","23",""
"I214","급성 심내막하심근경색증","8","10",""
"I219","상세불명의 급성 심근경색증","3","7",""
"I251","죽상경화성 심장병","5","0",""
"I252","오래된 심근경색증","24","8",""
"I255","허혈심근병증","5","7",""
"I258","기타 형태의 만성 허혈심장병","1","0",""
"I269","급성 폐심장증에 대한 언급이 없는 폐색전증","6","4",""
"I272","기타 이차성 폐동맥고혈압","1","0",""
"I309","상세불명의 급성 심장막염","2","0",""
"I313","심낭삼출액(비염증성)","9","1",""
"I319","심장막의 상세불명의 질환","2","0",""
"I340","승모판기능부전","1","0",""
"I350","대동맥판협착","7","4",""
"I351","대동맥판기능부전","2","0",""
"I352","기능부전을 동반한 대동맥판협착","3","0",""
"I38","상세불명 판막의 심내막염","2","0",""
"I420","확장성 심근병증","2","3",""
"I421","폐색성 비대성 심근병증","1","0",""
"I4220","비폐색성 비대성 심근병증","1","0",""
"I4228","기타 비대성 심근병증","2","3",""
"I429","상세불명의 심근병증","1","3",""
"I441","방실차단, 2도","1","0",""
"I442","완전방실차단","6","5",""
"I443","기타 및 상세불명의 심방실차단","2","3",""
"I450","우섬유속차단","1","0",""
"I452","이중섬유속차단","1","0",""
"I460","인공소생에 성공한 심장정지","1","0",""
"I469","상세불명의 심장정지","1","0",""
"I470","회귀성 심실성 부정맥","1","0",""
"I471","상심실성 빈맥","6","9",""
"I472","심실성 빈맥","1","0",""
"I480","발작성 심방세동","51","24",""
"I481","지속성 심방세동","43","31",""
"I483","전형적 심방조동","1","1",""
"I484","비전형심방조동","1","0",""
"I489","상세불명의 심방세동 및 심방조동","1","0",""
"I4890","상세불명의 심방세동","26","10",""
"I4891","상세불명의 심방조동","11","2",""
"I493","심실조기탈분극","5","0",""
"I495","동기능부전증후군","11","10",""
"I499","상세불명의 심장부정맥","2","2",""
"I5003","우심부전","1","1",""
"I5004","수축기능부전을 동반한 울혈성 심부전","8","5",""
"I5005","수축기능이 정상인 울혈성 심부전","4","10",""
"I5008","기타 및 상세불명의 울혈성 심부전","4","2",""
"I501","좌심실부전","3","3",""
"I509","상세불명의 심부전","27","21",""
"I515","심근변성","2","1",""
"I609","상세불명의 거미막하출혈","1","2",""
"I612","상세불명 대뇌반구의 뇌내출혈","2","0",""
"I615","뇌실내 뇌내출혈","1","0",""
"I619","상세불명의 뇌내출혈","5","4",""
"I620","비외상성 경막하출혈","4","0",""
"I6322","경동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증","1","0",""
"I6339","상세불명의 대뇌동맥의 혈전증에 의한 뇌경색증","1","0",""
"I6352","후대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증","2","0",""
"I638","기타 뇌경색증","20","7",""
"I639","상세불명의 뇌경색증","10","5",""
"I652","경동맥의 폐쇄 및 협착","3","1",""
"I658","기타 뇌전동맥의 폐쇄 및 협착","1","0",""
"I660","중대뇌동맥의 폐쇄 및 협착","1","0",""
"I663","소뇌동맥의 폐쇄 및 협착","1","0",""
"I671","파열되지 않은 대뇌동맥류","1","0",""
"I679","상세불명의 뇌혈관질환","2","1",""
"I691","뇌내출혈의 후유증","3","1",""
"I693","뇌경색증의 후유증","51","10",""
"I694","출혈 또는 경색증으로 명시되지 않은 뇌졸중의 후유증","2","2",""
"I7001","괴저를 동반한 대동맥의 죽상경화증","1","0",""
"I7022","간헐성 파행을 동반한 사지동맥의 죽상경화증","10","1",""
"I7025","괴저를 동반한 사지동맥의 죽상경화증","1","0",""
"I7029","사지동맥의 상세불명 죽상경화증","35","8",""
"I70991","괴저를 동반한 상세불명의 죽상경화증","1","0",""
"I713","파열된 복부대동맥동맥류","1","1",""
"I714","파열에 대한 언급이 없는 복부대동맥동맥류","5","2",""
"I716","파열에 대한 언급이 없는 흉복부대동맥동맥류","3","0",""
"I718","파열된 상세불명 부위의 대동맥동맥류","1","0",""
"I719","파열에 대한 언급이 없는 상세불명 부위의 대동맥동맥류","1","2",""
"I723","장골동맥의 동맥류 및 박리","1","1",""
"I731","폐색혈전혈관염[버거병]","7","0",""
"I738","기타 명시된 말초혈관질환","1","0",""
"I739","상세불명의 말초혈관병","1","1",""
"I7430","무릎아래 색전증 및 혈전증","1","0",""
"I744","상세불명의 사지동맥의 색전증 및 혈전증","1","0",""
"I745","장골동맥의 색전증 및 혈전증","2","0",""
"I770","후천성 동정맥루","1","0",""
"I7781","투석용동정맥루를 침범한 말초동맥폐쇄질환","1","0",""
"I7782","하지를 침범한 말초동맥폐쇄질환","49","18",""
"I792","달리 분류된 질환에서의 말초맥관병증","5","0",""
"I802","하지의 기타 심부혈관의 정맥염 및 혈전정맥염","8","3",""
"I809","상세불명 부위의 정맥염 및 혈전정맥염","1","0",""
"I829","상세불명 정맥의 색전증 및 혈전증","1","0",""
"I839","궤양 또는 염증이 없는 하지의 정맥류","12","11",""
"I850","출혈이 있는 식도정맥류","1","1",""
"I859","출혈이 없는 식도정맥류","3","0",""
"I872","정맥기능부전(만성)(말초성)","3","0",""
"I878","정맥의 기타 명시된 장애","1","0",""
"I879","정맥의 상세불명 장애","1","0",""
"I880","비특이성 장간막림프절염","2","0",""
"I951","기립성 저혈압","8","1",""
"I959","상세불명의 저혈압","5","0",""
"I983","달리 분류된 질환에서의 출혈을 동반한 식도정맥류","1","0",""
"J00","급성 비인두염[감기]","5","0",""
"J020","연쇄알균인두염","1","0",""
"J040","급성 후두염","3","0",""
"J069","상세불명의 급성 상기도감염","3","0",""
"J128","기타 바이러스폐렴","1","0",""
"J1288","기타 바이러스폐렴","19","35",""
"J129","상세불명의 바이러스폐렴","3","1",""
"J129","상세불명의 바이러스폐렴","1","0",""
"J150","폐렴간균에 의한 폐렴","15","3",""
"J151","슈도모나스에 의한 폐렴","1","1",""
"J155","대장균에 의한 폐렴","3","1",""
"J158","기타 세균성 폐렴","3","1",""
"J159","상세불명의 세균성 폐렴","2","0",""
"J180","상세불명의 기관지폐렴","1","0",""
"J181","상세불명의 대엽성 폐렴","1","1",""
"J188","상세불명 병원체의 기타 폐렴","1","0",""
"J189","상세불명의 폐렴","115","73",""
"J209","상세불명의 급성 기관지염","7","1",""
"J219","상세불명의 급성 세기관지염","3","1",""
"J300","혈관운동성 비염","1","0",""
"J301","화분에 의한 알레르기비염","9","1",""
"J302","기타 계절성 알레르기비염","1","0",""
"J303","기타 알레르기비염","2","0",""
"J304","상세불명의 알레르기비염","5","0",""
"J329","상세불명의 만성 부비동염","1","0",""
"J390","인두뒤 및 인두옆 농양","1","0",""
"J40","급성인지 만성인지 명시되지 않은 기관지염","12","3",""
"J410","단순 만성 기관지염","7","0",""
"J42","상세불명의 만성 기관지염","6","2",""
"J439","상세불명의 폐기종","1","0",""
"J4400","급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 경도","8","0",""
"J4402","급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 중증","3","1",""
"J4410","급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 경도","5","1",""
"J4411","급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 중등도","1","0",""
"J4412","급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 중증","5","0",""
"J4419","급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 상세불명","3","0",""
"J4481","기타 명시된 만성 폐쇄성 폐질환, 중등도","1","0",""
"J4482","기타 명시된 만성 폐쇄성 폐질환, 중증","3","0",""
"J4489","기타 명시된 만성 폐쇄성 폐질환, 상세불명","6","0",""
"J4490","상세불명의 만성 폐쇄성 폐질환, 경도","2","1",""
"J4491","상세불명의 만성 폐쇄성 폐질환, 중등도","12","3",""
"J4492","상세불명의 만성 폐쇄성 폐질환, 중증","3","0",""
"J4499","상세불명의 만성 폐쇄성 폐질환, 상세불명","33","4",""
"J4500","기침(이)형천식","1","0",""
"J459","상세불명의 천식","4","3",""
"J47","기관지확장증","3","0",""
"J679","상세불명의 유기물먼지에 의한 과민성 폐렴","1","1",""
"J690","음식 또는 구토물에 의한 폐렴","32","14",""
"J841","섬유증을 동반한 기타 간질성 폐질환","3","1",""
"J848","기타 명시된 간질성 폐질환","1","0",""
