"수술코드","수술 및 처치명","국비","사비"
"80.89","Other local excision or destruction of lesion of joint, other specified sites,Spine","1",""
"80.96","Other excision of joint, knee","1",""
"81.02","Other cervical fusion, anterior technique, Arthrodesis of C2 level or below","11",""
"81.08","Lumbar and lumbosacral fusion, posterior technique, Arthrodesis of lumbar or lumbosacral region","38","14"
"81.45","Other repair of the cruciate ligaments","6",""
"81.51","Total hip replacement","4","2"
"81.52","Partial hip replacement,Bipolar endoprosthesis","3",""
"81.53","Revision of hip replacement ( Partial. Total)","","1"
"81.54","Total knee replacement","36","49"
"81.96","Other repair of joint","1",""
"82.01","Exploration of tendon sheath of hand","4",""
"82.21","Excision of lesion of tendon sheath of hand","1",""
"82.35","Other fasciectomy of hand","1","1"
"83.14","Fasciotomy","2",""
"83.31","Excision of lesion of tendon sheath","","1"
"83.45","Other myectomy","","1"
"83.49","Other excision of soft tissue","2",""
"83.63","Rotator cuff repair","111","17"
"83.75","Tendon transfer or transplantation","17",""
"83.88","Other plastic operations on tendon","1",""
"84.11","Amputation of toe","3","1"
"84.15","Other amputation below knee","1",""
"84.3","Revision of amputation stump","1",""
"86.09","Other incision of skin and subcutaneous tissue","","2"
"86.23","Removal of nail, nail bed, or nail fold","6",""
"86.28","Nonexcisional debridement of wound, infection or burn","5","2"
"86.3","Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue","11",""
"86.59","Closure of skin and subcutaneous tissue of other sites","1","1"
"86.99","Other","1",""
"88.57","Other and unspecified coronary arteriography","1",""
"93.26","Manual rupture of joint adhesions","11",""
"93.29","Other forcible correction of deformity","1","1"
"97.65","Removal of urethral stent","1",""
"98.2","Removal of foreign body, not otherwise specified","","3"
"98.27","Removal of foreign body without incision from upper limb, except hand","1",""
"99.25","Injection or infusion of cancer chemotherapeutic substance","1",""
