상병코드,상    병    명,국비,사비
D123 ,Benign neoplasm of transverse colon,1,
D125 ,Benign neoplasm of sigmoid colon,1,
D126 ,"Benign neoplasm of colon, unspecified",2,2
D127 ,Benign neoplasm of rectosigmoid junction,5,5
D131 ,Benign neoplasm of stomach,14,4
D133 ,Benign neoplasm of other and unspecified parts of small intestine,1,
D135 ,Benign neoplasm of extrahepatic bile ducts,2,2
D136 ,Benign neoplasm of pancreas,3,
D169 ,"Benign neoplasm of bone and articular cartilage, unspecified",1,
D171 ,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,1,
D1721 ,Benign lipomatous neoplasm of skin and subcutaneous tissue of lower limb,1,
D179 ,"Benign lipomatous neoplasm, unspecified",2,
D181 ,"Lymphangioma, any site",1,
D210 ,"Other benign neoplasms of connective and other soft tissue of head, face and neck",,1
D219 ,"Other benign neoplasms of connective and other soft tissue, unspecified",2,3
D232 ,Other benign neoplasms of skin of ear and external auricular canal,,1
D2430 ,"Multiple benign neoplasm of breast, right",,1
D303 ,Benign neoplasm of bladder,1,1
D329 ,"Benign neoplasm of meninges, unspecified",,3
D34 ,Benign neoplasm of thyroid gland,,1
D350 ,Benign neoplasm of adrenal gland,8,9
D352 ,Benign neoplasm of pituitary gland,2,
D371 ,Neoplasm of uncertain or unknown behavior of stomach,,1
D373 ,Neoplasm of uncertain or unknown behavior of appendix,,1
D374 ,Neoplasm of uncertain or unknown behavior of colon,2,
D377 ,Neoplasm of uncertain or unknown behavior of other digestive organs,1,1
D430 ,"Neoplasm of uncertain or unknown behavior of brain, supratentorial",,1
D432 ,"Neoplasm of uncertain or unknown behavior of brain, unspecified",,1
D469 ,"Myelodysplastic syndrome, unspecified",2,
D471 ,Chronic myeloproliferative disease,6,
D474 ,Osteomyelofibrosis,3,
D480 ,Neoplasm of uncertain or unknown behavior of bone and articular cartilage,1,
D508 ,Other iron deficiency anaemias,1,2
D509 ,"Iron deficiency anaemia, unspecified",1,8
D539 ,"Nutritional anaemia, unspecified",1,
D649 ,"Anaemia, unspecified",8,14
D694 ,Other primary thrombocytopenia,1,
D728 ,Other specified disorders of white blood cells,1,
D758 ,Other specified diseases of blood and blood-forming organs,21,8
E039 ,"Hypothyroidism, unspecified",1,1
E041 ,Nontoxic single thyroid nodule,3,1
E050 ,Thyrotoxicosis with diffuse goitre,,1
E1058 ,"Type 1 diabetes mellitus, with other and unspecified peripheral circulatory complications",6,2
E1063 ,"Type 1 diabetes mellitus, with hypoglycemia",,1
E1070 ,"Type 1 diabetes mellitus, with diabetic foot ulcer",,1
E1128 ,"Type 2 diabetes mellitus, with other and unspecified renal complication(N08.3*)",4,
E1142 ,"Type 2 diabetes mellitus, with diabetic autonomic neuropathy(G99.0*)",2,1
E1148 ,"Type 2 diabetes mellitus, with other and unspecified neurological complication",1,
E1158 ,"Type 2 diabetes mellitus, with other and unspecified peripheral circulatory complications",2,1
E1168 ,"Type 2 diabetes mellitus, with other specified complication, not elsewhere classified",,1
E1170 ,"Type 2 diabetes mellitus, with diabetic foot ulcer",,2
E1171 ,"Type 2 diabetes mellitus, with diabetic foot ulcer and gangrene",1,
E118 ,"Type 2 diabetes mellitus, with unspecified complications",65,25
E119 ,"Type 2 diabetes mellitus, without complications",14,1
E1408 ,"Unspecified diabetes mellitus, with coma, other and unspecified",1,2
E148 ,"Unspecified diabetes mellitus, with unspecified complications",5,1
E149 ,"Unspecified diabetes mellitus, without complications",1,
E230 ,Hypopituitarism,1,41
E232 ,Diabetes insipidus,1,
E260 ,Primary hyperaldosteronism,1,1
E274 ,Other and unspecified adrenocortical insufficiency,,3
E279 ,"Disorder of adrenal gland, unspecified",1,1
E301 ,Precocious puberty,,14
E343 ,"Short stature, NEC",,43
E785 ,"Hyperlipidaemia, unspecified",4,2
E871 ,Hypo-osmolality and hyponatraemia,4,9
E872 ,Acidosis,1,
E875 ,Hyperkalaemia,,1
E880 ,"Disorders of plasma-protein metabolism, NEC",1,1
F009 ,"Dementia in Alzheimer´s disease, unspecified(G30.9†)",9,7
F010 ,Vascular dementia of acute onset,2,
F013 ,Mixed cortical and subcortical vascular dementia,,1
F018 ,Other vascular dementia,1,
F019 ,"Vascular dementia, unspecified",1,
F023 ,Dementia in Parkinson’s disease(G20†),1,
F03 ,Unspecified dementia,4,8
F058 ,Other delirium,,2
F059 ,"Delirium, unspecified",,1
F072 ,Postconcussional syndrome,1,
F320 ,Mild depressive episode,1,
F329 ,"Depressive episode, unspecified",,1
F431 ,Post-traumatic stress disorder,1,
G039 ,"Meningitis, unspecified",,1
G048 ,"Other encephalitis, myelitis and encephalomyelitis",,1
G214 ,Vascular parkinsonism,7,2
G218 ,Other secondary parkinsonism,4,
G219 ,"Secondary parkinsonism, unspecified",2,
G22 ,Parkinsonism in diseases classified elsewhere,2,1
G233 ,"Multiple system atrophy, cerebellar type [MSA-C]",1,
G249 ,"Dystonia, unspecified",1,
G253 ,Myoclonus,1,1
G373 ,Acute transverse myelitis in demyelinating disease of central nervous system,,2
G4011 ,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures with intractable epilepsy,1,
G4021 ,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures with intractable epilepsy,1,
G4030 ,Generalized idiopathic epilepsy and epileptic syndromes without intractable epilepsy,,1
G4031 ,Generalized idiopathic epilepsy and epileptic syndromes with intractable epilepsy,2,
G4040 ,Other generalized epilepsy and epileptic syndromes without intractable epilepsy,1,
G4090 ,"Epilepsy, unspecified without intractable epilepsy",,1
G418 ,Other status epilepticus,,1
G439 ,"Migraine, unspecified",2,3
G442 ,Tension-type headache,2,10
G448 ,Other specified headache syndromes,,1
G454 ,Transient global amnesia,,1
G459 ,"Transient cerebral ischaemic attack, unspecified",8,3
G467 ,Other lacunar syndromes(I60-I67†),,1
G470 ,Disorders of initiating and maintaining sleep [insomnias],,1
G500 ,Trigeminal neuralgia,,2
G501 ,Atypical facial pain,,1
G510 ,Bell’s palsy,6,1
G518 ,Other disorders of facial nerve,,1
G529 ,"Cranial nerve disorder, unspecified",,1
G530 ,Postzoster neuralgia(B02.2†),1,3
G542 ,"Cervical root disorders, NEC",4,3
G544 ,"Lumbosacral root disorders, NEC",9,1
G560 ,Carpal tunnel syndrome,,1
G562 ,Lesion of ulnar nerve,1,1
G573 ,Lesion of lateral popliteal nerve,,1
G576 ,Lesion of plantar nerve,1,
G580 ,Intercostal neuropathy,1,
G589 ,"Mononeuropathy, unspecified",2,
G609 ,"Hereditary and idiopathic neuropathy, unspecified",4,
G610 ,Guillain-Barre syndrome,2,
G629 ,"Polyneuropathy, unspecified",12,
G724 ,"Inflammatory myopathy, NEC",,1
G730 ,Myasthenic syndromes in endocrine diseases,1,
G731 ,Lambert-Eaton syndrome(C00-D48†),3,
G809 ,"Cerebral palsy, unspecified",1,
G810 ,Flaccid hemiplegia,,2
G811 ,Spastic hemiplegia,3,1
G819 ,"Hemiplegia, unspecified",10,6
G820 ,Flaccid paraplegia,,2
G822 ,"Paraplegia, unspecified",1,
G825 ,"Tetraplegia, unspecified",4,3
G834 ,Cauda equina syndrome,4,3
G839 ,"Paralytic syndrome, unspecified",,2
G905 ,Complex regional pain syndrome type I,3,
G906 ,Complex regional pain syndrome type II,,1
G919 ,"Hydrocephalus, unspecified",,1
G943 ,Encephalopathy in diseases classified elsewhere,2,
G951 ,Vascular myelopathies,2,
G959 ,"Disease of spinal cord, unspecified",24,6
G992 ,Myelopathy in diseases classified elsewhere,1,
H0202 ,Senile entropion of eyelid,1,
H0208 ,Other and unspecified entropion of eyelid,6,2
H0248 ,Other and unspecified ptosis of eyelid,1,
H1101 ,Central pterygium of eye,1,
H1108 ,Other and unspecified pterygium of eye,1,
H2500 ,"Senile incipient cataract, right",5,1
H2501 ,"Senile incipient cataract, left",3,1
H2502 ,"Senile incipient cataract, bilateral",8,1
H2510 ,"Senile nuclear cataract, right",148,86
H2511 ,"Senile nuclear cataract, left",141,99
H2512 ,"Senile nuclear cataract, bilateral",52,40
H2580 ,"Other senile cataract, right",,1
H26021 ,"Presenile cataract, left",1,
H26022 ,"Presenile cataract, bilateral",,1
H270 ,Aphakia,,1
H470 ,"Disorders of optic nerve, NEC",1,
H490 ,Third[oculomotor] nerve palsy,2,1
H532 ,Diplopia,1,
H539 ,"Visual disturbance, unspecified",,1
H604 ,Cholesteatoma of external ear,,2
H6531 ,Bilateral chronic mucoid otitis media,,1
H65480 ,"Other chronic nonsuppurative otitis media, unilateral or unspecified",14,27
H65481 ,"Other chronic nonsuppurative otitis media, bilateral",,2
H6620 ,"Chronic atticoantral suppurative otitis media, unilateral or unspecified",2,1
H6621 ,"Chronic atticoantral suppurative otitis media, bilateral",2,1
H690 ,Patulous Eustachian tube,6,10
H711 ,Acquired Cholesteatoma of middle ear,1,3
H811 ,Benign paroxysmal vertigo,16,16
H812 ,Vestibular neuronitis,5,2
H814 ,Vertigo of central origin,1,1
H818 ,Other disorders of vestibular function,,1
H819 ,"Disorder of vestibular function, unspecified",2,2
H830 ,Labyrinthitis,,1
H831 ,Labyrinthine fistula,,1
H903 ,"Sensorineural hearing loss, bilateral",12,1
H904 ,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",13,6
H905 ,"Sensorineural hearing loss, unspecified",2,3
H9129 ,"Sudden idiopathic hearing loss, unspecified side",,1
H9199 ,"Hearing loss, unspecified, unspecified side",1,
I050 ,Mitral stenosis,2,3
I101 ,Malignant hypertension,,1
I109 ,Other and unspecified primary hypertension,73,44
I110 ,Hypertensive heart disease with (congestive) heart failure,1,2
I200 ,Unstable angina,123,57
I201 ,Angina pectoris with documented spasm,24,3
I2080 ,Atypical angina,2,1
I2088 ,Other forms of angina pectoris,171,50
I209 ,"Angina pectoris, unspecified",223,80
I214 ,Acute subendocardial myocardial infarction,3,2
I219 ,"Acute myocardial infarction, unspecified",10,17
I249 ,"Acute ischaemic heart disease, unspecified",2,
I251 ,Atherosclerotic heart disease,2,
I252 ,Old myocardial infarction,15,2
I255 ,Ischaemic cardiomyopathy,3,
I258 ,Other forms of chronic ischaemic heart disease,4,
I259 ,"Chronic ischaemic heart disease, unspecified",5,3
I269 ,Pulmonary embolism without mention of acute cor pulmonale,4,6
I313 ,Pericardial effusion(noninflammatory),,2
I319 ,"Disease of pericardium, unspecified",1,
I330 ,Acute and subacute infective endocarditis,1,
I340 ,Mitral(valve) insufficiency,1,1
I348 ,Other nonrheumatic mitral valve disorders,,1
I350 ,Aortic(valve) stenosis,3,7
I352 ,Aortic(valve) stenosis with insufficiency,,1
I359 ,"Aortic valve disorder, unspecified",2,
I371 ,Pulmonary valve insufficiency,1,
I420 ,Dilated cardiomyopathy,,3
I4221 ,Apical hypertrophic cardiomyopathy,2,
I4228 ,Other hypertrophic cardiomyopathy,,1
I4280 ,Stress induced cardiomyopathy,,1
I429 ,"Cardiomyopathy, unspecified",,1
I442 ,"Atrioventricular block, complete",8,5
I443 ,Other and unspecified atrioventricular block,,1
I455 ,Other specified heart block,1,2
I469 ,"Cardiac arrest, unspecified",,1
I471 ,Supraventricular tachycardia,2,3
I472 ,Ventricular tachycardia ,2,
I480 ,Paroxysmal atrial fibrillation,52,44
I482 ,Chronic atrial fibrillation,,2
I4890 ,"Atrial fibrillation, unspecified",5,3
I495 ,Sick sinus syndrome,3,1
I5003 ,Right heart failure,4,
I5005 ,Congestive heart failure with preserved systolic function,4,2
I5008 ,Other and unspecified congestive heart failure,12,15
I501 ,Left ventricular failure,10,20
I509 ,"Heart failure, unspecified",1,5
I515 ,Myocardial degeneration,,1
I609 ,"Subarachnoid haemorrhage, unspecified",5,1
I610 ,"Intracerebral haemorrhage in hemisphere, subcortical",,4
I614 ,Intracerebral haemorrhage in cerebellum,,1
I615 ,"Intracerebral haemorrhage, intraventricular",1,
I618 ,Other intracerebral haemorrhage,1,
I619 ,"Intracerebral haemorrhage, unspecified",18,11
I620 ,Nontraumatic subdural haemorrhage,6,5
I629 ,"Intracranial haemorrhage(nontraumatic), unspecified",5,9
I6308 ,Cerebral infarction due to thrombosis of other precerebral artery,,1
I6312 ,Cerebral infarction due to embolism of carotid artery,,1
I6318 ,Cerebral infarction due to embolism of other precerebral artery,1,
I6319 ,Cerebral infarction due to embolism of unspecified precerebral artery,,1
I6320 ,Cerebral infarction due to unspecified occlusion or stenosis of vertebral artery,1,
I6330 ,Cerebral infarction due to thrombosis of middle cerebral artery,1,3
I6332 ,Cerebral infarction due to thrombosis of posterior cerebral artery,1,
I6339 ,Cerebral infarction due to thrombosis of unspecified cerebral arteries,12,12
I6340 ,Cerebral infarction due to embolism of middle cerebral artery,,2
I6349 ,Cerebral infarction due to embolism of unspecified cerebral arteries,3,4
I6350 ,Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery,8,6
I6352 ,Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery,2,1
I6359 ,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral arteries,3,4
I638 ,Other cerebral infarction,61,24
I639 ,"Cerebral infarction, unspecified",58,33
I651 ,Occlusion and stenosis of basilar artery,,1
I652 ,Occlusion and stenosis of carotid artery,5,3
I659 ,Occlusion and stenosis of unspecified precerebral artery,6,
I660 ,Occlusion and stenosis of middle cerebral artery,,2
I663 ,Occlusion and stenosis of cerebellar arteries,1,
I671 ,"Cerebral aneurysm, nonruptured",2,2
I672 ,Cerebral atherosclerosis,3,
I678 ,Other specified cerebrovascular diseases,1,4
I679 ,"Cerebrovascular disease, unspecified",1,
I7022 ,Atherosclerosis of arteries of extremities with intermittent claudication,,2
I7025 ,Atherosclerosis of arteries of extremities  with gangrene,,1
I7029 ,"Atherosclerosis of arteries of extremities, unspecified",15,4
I70920 ,"Generalized atherosclerosis, without gangrene",3,1
I7109 ,Dissection of unspecified site,6,
I714 ,"Abdominal aortic aneurysm, without mention of rupture",5,1
I716 ,"Thoracoabdominal aortic aneurysm, without mention of rupture",1,
I719 ,"Aortic aneurysm of unspecified site, without mention of rupture",1,2
I729 ,Aneurysm and dissection of unspecified site,1,
I739 ,"Peripheral vascular disease, unspecified",8,4
I749 ,Embolism and thrombosis of unspecified artery,1,
I770 ,"Arteriovenous fistula, acquired",1,
I771 ,Stricture of artery,1,
I7782 ,Peripheral artery occlusive disease involving arteries of lower extremities,21,10
I792 ,Peripheral angiopathy in diseases classified elsewhere,1,
I802 ,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,,7
I809 ,Phlebitis and thrombophlebitis of unspecified site,1,
I839 ,Varicose veins of lower extremities without ulcer or inflammation,22,13
I861 ,Scrotal varices,,5
I872 ,Venous insufficiency (chronic)(peripheral),1,
I890 ,"Lymphoedema, NEC",1,
I951 ,Orthostatic hypotension,2,2
I952 ,Hypotension due to drugs,1,
I959 ,"Hypotension, unspecified",3,2
I982 ,Oesophageal varices without bleeding in diseases classified elsewhere,4,1
I983 ,Oesophageal varices with bleeding in diseases classified elsewhere,4,
J00 ,Acute nasopharyngitis[common cold],1,
J0390 ,"Acute tonsillitis, unspecified, not specified as recurrent ",,1
J0391 ,"Acute tonsillitis, unspecified, recurrent",,1
J069 ,"Acute upper respiratory infection, unspecified",,1
J09 ,Influenza due to identified zoonotic or pandemic influenza virus,2,
J111 ,"Influenza with other respiratory manifestations, virus not identified",5,3
J1288 ,Other viral pneumonia,1,2
J129 ,"Viral pneumonia, unspecified",,1
J152 ,Pneumonia due to staphylococcus,1,
J158 ,Other bacterial pneumonia,1,
J159 ,"Bacterial pneumonia, unspecified",6,10
J168 ,Pneumonia due to other specified infectious organisms,,1
J180 ,"Bronchopneumonia, unspecified",4,10
J181 ,"Lobar pneumonia, unspecified",,1
J188 ,"Other pneumonia, organism unspecified",1,
J189 ,"Pneumonia, unspecified",32,32
J209 ,"Acute bronchitis, unspecified",1,
J219 ,"Acute bronchiolitis, unspecified",2,1
J300 ,Vasomotor rhinitis,4,
J301 ,Allergic rhinitis due to pollen,1,
J302 ,Other seasonal allergic rhinitis,1,
J310 ,Chronic rhinitis,28,8
J320 ,Chronic maxillary sinusitis,3,8
J322 ,Chronic ethmoidal sinusitis,1,
J323 ,Chronic sphenoidal sinusitis,1,
J329 ,"Chronic sinusitis, unspecified",5,
J341 ,Cyst and mucocele of nose and nasal sinus,1,
J342 ,Deviated nasal septum,3,
J343 ,Hypertrophy of nasal turbinates,4,1
J40 ,"Bronchitis, not specified as acute or chronic",1,1
J42 ,Unspecified chronic bronchitis,,1
J4419 ,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified, unspecified",1,
J4481 ,"Other specified chronic obstructive pulmonary disease, moderate",1,1
J4491 ,"Chronic obstructive pulmonary disease, unspecified, moderate",3,
J4492 ,"Chronic obstructive pulmonary disease, unspecified, severe",2,1
J4499 ,"Chronic obstructive pulmonary disease, unspecified, unspecified",9,4
J4500 ,Cough variant asthma,,1
J4503 ,"Other allergic asthma, severe persistent",1,
J4519 ,Unspecified nonallergic asthma,,1
J690 ,Pneumonitis due to food and vomit,,1
J698 ,Pneumonitis due to other solids and liquids,12,8
J80 ,Adult respiratory distress syndrome,,2
J81 ,Pulmonary oedema,,1
J841 ,Other interstitial pulmonary diseases with fibrosis,,1
J849 ,"Interstitial pulmonary disease, unspecified",5,3
J852 ,Abscess of lung without pneumonia,1,
J869 ,Pyothorax without fistula,2,
J90 ,"Pleural effusion, NEC",2,1
J91 ,Pleural effusion in conditions classified elsewhere,,2
J931 ,Other spontaneous pneumothorax,,1
J939 ,"Pneumothorax, unspecified",4,1
J942 ,Haemothorax,,1
J9609 ,"Acute respiratory failure, type unspecified",,1
J9611 ,"Chronic respiratory failure, type II [hypercapnic]",1,
J9810 ,Atelectasis,,1
J982 ,Interstitial emphysema,1,
K1120 ,Acute sialoadenitis,1,
K208 ,Other and unspecified oesophagitis,,1
K210 ,Gastro-oesophageal reflux disease with oesophagitis,10,11
K219 ,Gastro-oesophageal reflux disease without oesophagitis,7,2
K2210 ,Ulcer of oesophagus without bleeding,,2
K222 ,Oesophageal obstruction,2,1
K2501 ,Acute gastric ulcer with hemorrhage,3,3
K2511 ,Acute gastric ulcer with perforation,2,
K2531 ,Acute gastric ulcer without hemorrhage or perforation,3,1
K2551 ,Chronic or unspecified gastric ulcer with perforation,,1
K2591 ,Unspecified as acute or chronic gastric ulcer without hemorrhage or perforation,2,1
K260 ,Acute duodenal ulcer with hemorrhage,1,
K261 ,Acute duodenal ulcer with perforation,,2
K269 ,Unspecified as acute or chronic duodenal ulcer without hemorrhage or perforation,1,2
K290 ,Acute haemorrhagic gastritis,,1
K291 ,Other acute gastritis,,1
K294 ,Chronic atrophic gastritis,3,2
K295 ,"Chronic gastritis, unspecified",1,1
K296 ,Other gastritis,,1
K297 ,"Gastritis, unspecified",10,7
K298 ,Duodenitis,,1
K30 ,Functional dyspepsia,4,17
K311 ,Adult hypertrophic pyloric stenosis,2,
K317 ,Polyp of stomach and duodenum,,1
K3188 ,Other specified diseases of stomach and  duodenum,,1
K352 ,Acute appendicitis with generalized peritonitis,1,
K353 ,Acute appendicitis with localized peritonitis,12,27
K358 ,"Acute appendicitis, other and unspecified",4,13
K36 ,Other appendicitis,2,7
K388 ,Other specified diseases of appendix,,2
K4000 ,"Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",,1
K4020 ,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",3,1
K4021 ,"Bilateral inguinal hernia, without obstruction or gangrene, recurrent",,1
K4090 ,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene, not specified as recurrent",23,20
K419 ,"Unilateral or unspecified femoral hernia, without obstruction or gangrene",,2
K429 ,Umbilical hernia without obstruction or gangrene,2,1
K432 ,Incisional hernia without obstruction or gangrene,4,1
K435 ,Parastomal hernia without obstruction or gangrene,1,
K449 ,Diaphragmatic hernia without obstruction or gangrene,,1
K469 ,Unspecified abdominal hernia without obstruction or gangrene,2,1
K510 ,Ulcerative (chronic) pancolitis,1,
K515 ,Left side colitis,,1
K518 ,Other ulcerative colitis,1,
K519 ,"Ulcerative colitis, unspecified",1,1
K529 ,"Noninfective gastroenteritis and colitis, unspecified",4,3
K559 ,"Vascular disorder of intestine, unspecified",1,6
K561 ,Intussusception,2,1
K566 ,Other and unspecified intestinal obstruction,10,7
