"상병코드","상  병  명","국비","사비"
"B91","회색질척수염의 후유증","0","1"
"B962","다른 장에서 분류된 질환의 원인으로서의 대장균","0","1"
"B980","다른 장에서 분류된 질환의 원인으로서의 헬리코박터 파일로리균","2","0"
"C060","볼점막의 악성 신생물","0","1"
"C099","상세불명의 편도의 악성 신생물","0","2"
"C12","이상동(梨狀洞)의 악성 신생물","1","0"
"C159","상세불명의 식도의 악성 신생물","7","2"
"C1601","분문의 악성 신생물, 진행형","3","0"
"C1611","위의 저부의 악성 신생물, 진행형","0","2"
"C1619","위의 저부의 악성 신생물, 상세불명","1","0"
"C1620","위의 체부의 악성 신생물, 조기","0","2"
"C1621","위의 체부의 악성 신생물, 진행형","0","5"
"C1629","위의 체부의 악성 신생물, 상세불명","5","3"
"C1630","유문동의 악성 신생물, 조기","1","0"
"C1631","유문동의 악성 신생물, 진행형","1","0"
"C1639","유문동의 악성 신생물, 상세불명","29","6"
"C1649","유문의 악성 신생물, 상세불명","0","2"
"C1651","상세불명의 위의 소만부의 악성 신생물, 진행형","0","2"
"C1690","상세불명의 위의 악성 신생물, 조기","1","0"
"C1691","상세불명의 위의 악성 신생물, 진행형","2","11"
"C1699","상세불명의 위의 악성 신생물, 상세불명","8","21"
"C179","상세불명의 소장의 악성 신생물","0","1"
"C180","맹장의 악성 신생물","0","2"
"C182","상행결장의 악성 신생물","18","3"
"C183","간굴곡의 악성 신생물","0","1"
"C184","횡행결장의 악성 신생물","1","6"
"C186","하행결장의 악성 신생물","0","1"
"C187","구불결장의 악성 신생물","10","17"
"C189","상세불명의 결장의 악성 신생물","6","4"
"C19","직장구불결장접합부의 악성 신생물","3","2"
"C20","직장의 악성 신생물","5","7"
"C210","상세불명의 항문의 악성 신생물","1","0"
"C218","직장, 항문 및 항문관의 중복병변의 악성 신생물","0","1"
"C220","간세포암종의 악성 신생물","18","12"
"C221","간내담관암종의 악성 신생물","8","11"
"C229","상세불명의 간의 악성 신생물","0","1"
"C23","담낭의 악성 신생물","1","7"
"C240","간외담관의 악성 신생물","2","3"
"C241","파터팽대의 악성 신생물","0","1"
"C249","상세불명의 담도의 악성 신생물","1","0"
"C250","췌장의 두부의 악성 신생물","2","8"
"C251","췌장의 체부의 악성 신생물","0","2"
"C252","췌장의 꼬리의 악성 신생물","0","7"
"C257","췌장의 기타 부분의 악성 신생물","0","1"
"C259","상세불명의 췌장의 악성 신생물","2","2"
"C310","상악동의 악성 신생물","0","1"
"C329","상세불명의 후두의 악성 신생물","0","1"
"C3401","주기관지의 악성 신생물, 왼쪽","0","1"
"C3410","상엽, 기관지 또는 폐의 악성 신생물, 오른쪽","1","4"
"C3411","상엽, 기관지 또는 폐의 악성 신생물, 왼쪽","4","5"
"C3430","하엽, 기관지 또는 폐의 악성 신생물, 오른쪽","6","6"
"C3431","하엽, 기관지 또는 폐의 악성 신생물, 왼쪽","2","2"
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","4","4"
"C3491","상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽","2","4"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","14","19"
"C437","엉덩이를 포함한 다리의 악성 흑색종","0","2"
"C442","귀 및 외이도의 피부의 악성 신생물","0","1"
"C444","두피 및 목의 피부의 악성 신생물","0","2"
"C460","피부의 카포시육종","0","1"
"C491","어깨를 포함한 팔의 결합조직 및 연조직의 악성 신생물","1","0"
"C494","복부의 결합조직 및 연조직의 악성 신생물","0","1"
"C495","골반의 결합조직 및 연조직의 악성 신생물","0","1"
"C5091","상세불명의 유방의 악성 신생물, 왼쪽","0","2"
"C538","자궁경부의 중복병변 의 악성 신생물","0","1"
"C539","상세불명의 자궁경부의 악성 신생물","0","2"
"C541","자궁내막의 악성 신생물","0","1"
"C569","난소의 악성 신생물, 상세불명 쪽","0","2"
"C61","전립선의 악성 신생물","48","26"
"C640","신우를 제외한 신장의 악성 신생물, 오른쪽","0","2"
"C649","신우를 제외한 신장의 악성 신생물, 상세불명 쪽","0","1"
"C651","신우의 악성 신생물, 왼쪽","0","1"
"C660","요관의 악성 신생물, 오른쪽","0","1"
"C672","방광의 측벽의 악성 신생물","3","0"
"C679","상세불명의 방광의 악성 신생물","0","4"
"C710","뇌엽 및 뇌실을 제외한 대뇌의 악성 신생물","1","0"
"C711","전두엽의 악성 신생물","0","1"
"C719","상세불명의 뇌의 악성 신생물","4","2"
"C73","갑상선의 악성 신생물","2","3"
"C778","여러 부위의 림프절의 이차성 및 상세불명의 악성신생물","0","1"
"C7800","폐의 이차성 악성 신생물, 오른쪽","1","0"
"C7809","폐의 이차성 악성 신생물, 상세불명 쪽","2","12"
"C785","대장 및 직장의 이차성 악성 신생물","0","1"
"C786","후복막 및 복막의 이차성 악성 신생물","2","2"
"C787","간 및 간내 담관의 이차성 악성 신생물","6","32"
"C788","기타 및 상세불명의 소화기관의 이차성 악성 신생물","0","1"
"C7930","뇌의 이차성 악성 신생물","4","8"
"C7950","골의 이차성 악성 신생물","3","11"
"C7969","난소의 이차성 악성 신생물, 상세불명 쪽","0","1"
"C797","부신의 이차성 악성 신생물","0","1"
"C7988","기타 명시된 부위의 이차성 악성 신생물","1","0"
"C799","상세불명 부위의 이차성 악성 신생물","0","2"
"C800","원발부위 미상으로 언급된 악성 신생물","0","1"
"C809","원발부위 상세불명인 악성 신생물","2","3"
"C8338","기타 및 상세불명의 미만성 대B-세포림프종","4","0"
"C900","다발골수종","2","1"
"C9208","기타 및 상세불명의 급성 골수모구성 백혈병","1","1"
"C969","상세불명의 림프, 조혈 및 관련 조직의 악성 신생물","0","1"
"D002","위의 제자리암종","1","0"
"D010","결장의 제자리암종","5","3"
"D090","방광의 제자리암종","2","1"
"D103","기타 및 상세불명 입 부분의 양성 신생물","1","0"
"D105","입인두의 기타 부분의 양성 신생물","2","0"
"D106","비인두의 양성 신생물","1","0"
"D120","맹장의 양성 신생물","27","13"
"D121","충수의 양성 신생물","1","0"
"D122","상행결장의 양성 신생물","114","24"
"D123","횡행결장의 양성 신생물","112","25"
"D124","하행결장의 양성 신생물","26","5"
"D125","구불결장의 양성 신생물","60","20"
"D126","상세불명의 결장의 양성 신생물","65","45"
"D127","직장구불결장접합부의 양성 신생물","15","9"
"D128","직장의 양성 신생물","19","7"
"D129","항문 및 항문관의 양성 신생물","1","0"
"D131","위의 양성 신생물","3","0"
"D134","간의 양성 신생물","2","0"
"D135","간외담관의 양성 신생물","2","1"
"D136","췌장의 양성 신생물","1","3"
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","0","1"
"D179","상세불명의 양성 지방종성 신생물","1","0"
"D1800","피부 및 피하조직의 혈관종","1","0"
"D1801","두개내 구조물의 혈관종","1","0"
"D181","림프관종, 모든 부위","2","0"
"D212","엉덩이를 포함한 다리의 결합조직 및 기타 연조직의 양성 신생물","1","0"
"D234","두피 및 목의 피부의 양성 신생물","1","0"
"D2439","유방의 다발 양성 신생물, 상세불명 쪽","0","1"
"D330","천막상 뇌의 양성 신생물","1","0"
"D333","뇌신경의 양성 신생물","1","0"
"D34","갑상선의 양성 신생물","1","0"
"D350","부신의 양성 신생물","3","0"
"D361","말초신경 및 자율신경계통의 양성 신생물","1","0"
"D371","위의 행동양식 불명 또는 미상의 신생물","4","0"
"D373","충수의 행동양식 불명 또는 미상의 신생물","0","1"
"D377","기타 소화기관의 행동양식 불명 또는 미상의 신생물","1","0"
"D414","방광의 행동양식 불명 또는 미상의 신생물","0","1"
"D432","상세불명의 뇌의 행동양식 불명 또는 미상의 신생물","0","1"
"D469","상세불명의 골수형성이상증후군","0","3"
"D473","본태성(출혈성) 혈소판혈증","0","1"
"D500","(만성) 실혈에 따른 이차성 철겹핍빈혈","2","2"
"D508","기타 철결핍빈혈","1","1"
"D509","상세불명의 철결핍빈혈","20","21"
"D619","상세불명의 무형성빈혈","2","0"
"D638","달리 분류된 기타 만성 질환에서의 빈혈","3","0"
"D649","상세불명의 빈혈","15","11"
"D686","기타 혈전성향","1","0"
"D696","상세불명의 혈소판감소증","0","3"
"D700","호중구감소성 발열","0","1"
"E039","상세불명의 갑상선기능저하증","8","1"
"E041","비독성 단순갑상선 결절","3","0"
"E042","비독성 다결절성 고이터","1","0"
"E059","상세불명의 갑상선독증","2","0"
"E079","상세불명의 갑상선의 장애","2","1"
"E1000","고삼투압과 혼수를 동반한 1형 당뇨병","1","2"
"E1033","기타 및 상세불명의 망막병증을 동반한 1형 당뇨병(H360*)","1","0"
"E1040","당뇨병성 단일신경병증을 동반한 1형 당뇨병","2","0"
"E1041","당뇨병성 다발신경병증을 동반한 1형 당뇨병(G632*)","3","2"
"E1048","기타 및 상세불명의 신경학적 합병증을 동반한 1형 당뇨병","1","0"
"E1050","당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 1형 당뇨병(I792*)","4","0"
"E1058","기타 및 상세불명의 순환계 합병증을 동반한 1형 당뇨병","3","1"
"E108","상세불명의 합병증을 동반한 1형 당뇨병","3","0"
"E109","합병증을 동반하지 않은 1형 당뇨병","4","3"
"E1100","고삼투압과 혼수를 동반한 2형 당뇨병","4","0"
"E1108","기타 및 상세불명의 혼수를 동반한 2형 당뇨병","1","0"
"E1118","기타 및 상세불명의 산증을 동반한 2형 당뇨병","1","0"
"E1121","확정된 당뇨병성 신장병증을 동반한 2형 당뇨병(N083*)","5","0"
"E1122","말기신장병을 동반한 2형 당뇨병(N083*)","9","4"
"E1128","기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N083*)","37","9"
"E1131","당뇨병성 비증식성 망막병증을 동반한 2형 당뇨병(H360*)","0","1"
"E1133","기타 및 상세불명의 망막병증을 동반한 2형 당뇨병(H360*)","1","0"
"E1141","당뇨병성 다발신경병증을 동반한 2형 당뇨병(G632*)","35","3"
"E1142","당뇨병성 자율신경병증을 동반한 2형 당뇨병(G990*)","2","0"
"E1148","기타 및 상세불명의 신경학적 합병증을 동반한 2형 당뇨병","7","1"
"E1150","당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 2형 당뇨병(I792*)","2","0"
"E1158","기타 및 상세불명의 순환계 합병증을 동반한 2형 당뇨병","7","0"
"E1163","저혈당을 동반한 2형 당뇨병","2","1"
"E1164","혈당조절이 되지 않은 2형 당뇨병","6","0"
"E1170","당뇨병성 족부궤양을 동반한 2형 당뇨병","2","0"
"E1171","당뇨병성 족부궤양 및 괴저를 동반한 2형 당뇨병","2","0"
"E1172","기타 및 상세불명의 당뇨병성 족부합병증을 동반한 2형 당뇨병","8","3"
"E1178","기타 다발성 합병증을 동반한 2형 당뇨병","25","7"
"E118","상세불명의 합병증을 동반한 2형 당뇨병","43","25"
"E119","합병증을 동반하지 않은 2형 당뇨병","219","90"
"E1308","기타 및 상세불명의 혼수를 동반한 기타 명시된 당뇨병","1","0"
"E1370","당뇨병성 족부궤양을 동반한 기타 명시된 당뇨병","1","0"
"E138","상세불명의 합병증을 동반한 기타 명시된 당뇨병","3","0"
"E139","합병증을 동반하지 않은 기타 명시된 당뇨병","0","1"
"E1431","당뇨병성 비증식성 망막병증을 동반한 상세불명의 당뇨병(H360*)","1","0"
"E1433","기타 및 상세불명의 망막병증을 동반한 상세불명의 당뇨병(H360*)","1","0"
"E1438","기타 및 상세불명의 눈합병증을 동반한 상세불명의 당뇨병","1","0"
"E1448","기타 및 상세불명의 신경학적 합병증을 동반한 상세불명의 당뇨병","4","1"
"E1450","당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 상세불명의 당뇨병(I792*)","1","1"
"E1470","당뇨병성 족부궤양을 동반한 상세불명의 당뇨병","1","0"
"E1471","당뇨병성 족부궤양 및 괴저를 동반한 상세불명의 당뇨병","1","0"
"E1472","기타 및 상세불명의 당뇨병성 족부합병증을 동반한 상세불명의 당뇨병","1","0"
"E149","합병증을 동반하지 않은 상세불명의 당뇨병","4","3"
"E162","상세불명의 저혈당","2","0"
"E200","특발성 부갑상선기능저하증","1","0"
"E215","상세불명의 부갑상선의 장애","1","0"
"E220","말단비대증 및 뇌하수체거인증","1","0"
"E274","기타 및 상세불명의 부신피질부전","1","1"
"E559","상세불명의 비타민D결핍","0","1"
"E780","순수 고콜레스테롤혈증","3","0"
"E782","혼합성 고지질혈증","5","0"
"E784","기타 고지질혈증","17","5"
"E785","상세불명의 고지질혈증","51","11"
"E790","염증성 관절염 및 통풍성 질환의 징후가 없는 고뇨산혈증","1","0"
"E860","탈수","2","3"
"E870","고오스몰랄농도 및 고나트륨혈증","2","1"
"E871","저오스몰랄농도 및 저나트륨혈증","10","16"
"E875","고칼륨혈증","6","2"
"E876","저칼륨혈증","0","5"
"E878","달리 분류되지 않는 전해질균형 및 체액균형의 기타 장애","0","1"
"F000","조기발병 알츠하이머병에서의 치매(G300†)","1","0"
"F001","만기발병 알츠하이머병에서의 치매(G301†)","1","1"
"F009","상세불명의 알츠하이머병에서의 치매(G309†)","5","0"
"F010","급성 발병의 혈관성 치매","1","0"
"F019","상세불명의 혈관성 치매","1","0"
"F03","상세불명의 치매","17","7"
"F059","상세불명의 섬망","2","0"
"F067","경도 인지장애","1","0"
"F069","뇌손상, 뇌기능이상 및 신체질환에 의한 상세불명의 정신장애","0","1"
"F102","알콜의 의존증후군","1","5"
"F208","기타 조현병","1","1"
"F229","상세불명의 지속적 망상장애","2","0"
"F29","상세불명의 비기질성 정신병","7","0"
"F300","경조증","1","0"
"F310","양극성 정동장애, 현존 경조증","1","0"
"F319","상세불명의 양극성 정동장애","3","0"
"F320","경도 우울에피소드","20","0"
"F329","상세불명의 우울에피소드","9","2"
"F331","재발성 우울장애, 현존 중등도","2","0"
"F419","상세불명의 불안장애","3","1"
"F432","적응장애","4","0"
"F510","비기질성 불면증","4","0"
"F900","활동성 및 주의력 장애","3","0"
"G009","상세불명의 세균성 수막염","1","0"
"G039","상세불명의 수막염","1","0"
"G1221","산발형 근위축측삭경화증","1","0"
"G20","파킨슨병","13","8"
"G22","달리 분류된 질환에서의 파킨슨증","7","2"
"G258","기타 명시된 추체외로 및 운동 장애","1","1"
"G301","만기발병을 수반한 알츠하이머병","0","1"
"G309","상세불명의 알츠하이머병","7","0"
"G320","달리 분류된 질환에서의 척수의 아급성 연합변성","1","0"
"G4010","난치성 뇌전증을 동반하지 않은 단순부분발작을 동반한 국소화-관련 (초점성)(부분적) 증상성 뇌전증 및  뇌전증증후군","3","1"
"G4090","난치성 뇌전증을 동반하지 않은 상세불명의 뇌전증","2","2"
"G442","긴장형두통","0","1"
"G450","척추-뇌기저동맥증후군","1","0"
"G454","일과성 완전기억상실","1","1"
"G459","상세불명의 일과성 뇌허혈발작","8","1"
"G470","수면 개시 및 유지 장애[불면증]","10","0"
"G471","과다수면장애[과다수면]","1","0"
"G479","상세불명의 수면장애","1","2"
"G500","삼차신경통","0","1"
"G510","벨마비","3","3"
"G530","대상포진후신경통(B022†)","2","0"
"G546","통증을 동반한 환상지증후군","3","0"
"G551","추간판 장애에서의 신경근 및 신경총 압박(M50-M51†)","63","11"
"G560","손목터널증후군","2","3"
"G562","척골신경의 병변","0","1"
"G563","요골신경의 병변","0","1"
"G564","복합부위통증증후군 Ⅱ형","3","0"
"G568","팔의 기타 단일신경병증","4","3"
"G571","이상감각성 대퇴신경통","3","0"
"G619","상세불명의 염증성 다발신경병증","1","0"
"G629","상세불명의 다발신경병증","15","0"
"G632","당뇨병성 다발신경병증(4단위 및 5단위 숫자 41에 해당되는 E10-E14†)","60","5"
"G811","강직성 편마비","7","1"
"G819","상세불명의 편마비","17","2"
"G821","강직성 하반신마비","1","0"
"G822","상세불명의 하반신마비","10","0"
"G824","강직성 사지마비","7","0"
"G825","상세불명의 사지마비","3","0"
"G831","다리의 단일마비","2","0"
"G832","팔의 단일마비","0","1"
"G834","말총증후군","3","1"
"G919","상세불명의 수두증","2","0"
"G931","달리 분류되지 않은 무산소성 뇌손상","0","2"
"G959","척수의 상세불명 질환","10","4"
"G990","내분비 및 대사성 질환에서의 자율신경병증","2","0"
"G992","달리 분류된 질환에서의 척수병증","1","1"
"H0001","내맥립종","1","1"
"H0109","상세불명의 안검염","20","12"
"H0204","안검내반이 없는 속눈썹증","1","0"
"H0209","상세불명의 안검내반","5","2"
"H0411","건성안증후군","34","7"
"H101","급성 아토피결막염","2","0"
"H105","안검결막염","0","1"
"H109","상세불명의 결막염","0","3"
"H1108","눈의 기타 및 상세불명의 군날개","1","0"
"H1111","결막결석","1","0"
"H113","결막출혈","0","2"
"H1509","상세불명의 공막염","1","0"
"H169","상세불명의 각막염","1","0"
"H2500","노년성 초기백내장, 오른쪽","1","0"
"H2501","노년성 초기백내장, 왼쪽","1","0"
"H2502","노년성 초기백내장, 양쪽","1","1"
"H2509","노년성 초기백내장, 상세불명의 부위","1","0"
"H2580","기타 노년백내장, 오른쪽","35","20"
"H2581","기타 노년백내장, 왼쪽","38","17"
"H2582","기타 노년백내장, 양쪽","34","21"
"H2590","상세불명의 노년백내장, 오른쪽","1","0"
"H2591","상세불명의 노년성 백내장, 왼쪽","4","0"
"H2592","상세불명의 노년백내장, 양쪽","0","1"
"H2691","상세불명의 백내장, 왼쪽","1","0"
"H270","무수정체","1","0"
"H3539","상세불명의 황반변성(연령과 관계된)","0","1"
"H360","당뇨병성 망막병증(4단위 및 5단위 숫자 30, 31, 32, 33에 해당되는 E10-E14+)","4","1"
"H400","녹내장 의심","1","0"
"H490","제3뇌[동안]신경마비","1","0"
"H492","제6뇌[외전]신경마비","2","1"
"H5019","상세불명의 외사시","0","1"
"H5222","상세불명의 난시","1","0"
"H612","귀지떡","2","0"
"H6691","상세불명의 중이염, 양쪽","4","1"
"H810","메니에르병","1","0"
"H811","양성 발작성 현기증","2","0"
"H814","중추기원의 현기증","4","1"
"H905","상세불명의 감각신경성 청력소실","4","6"
"H9119","노년난청, 상세불명 쪽","0","2"
"I101","악성 고혈압","28","10"
"I109","기타 및 상세불명의 원발성 고혈압","111","93"
"I119","(울혈성) 심부전이 없는 고혈압성 심장병","4","3"
"I129","신부전이 없는 고혈압성 신장병","8","1"
"I159","상세불명의 이차성 고혈압","2","1"
"I200","불안정협심증","17","11"
"I201","연축의 기재가 있는 협심증","5","4"
"I2080","비정형협심증","28","19"
"I2088","기타 형태의 협심증","56","23"
"I209","상세불명의 협심증","48","8"
"I210","전벽의 급성 전층심근경색증","1","0"
"I214","급성 심내막하심근경색증","0","2"
"I219","상세불명의 급성 심근경색증","2","1"
"I252","오래된 심근경색증","1","0"
"I254","관상동맥류 및 박리","0","1"
"I259","상세불명의 만성 허혈심장병","25","2"
"I269","급성 폐심장증에 대한 언급이 없는 폐색전증","5","1"
"I313","심낭삼출액(비염증성)","0","1"
"I350","대동맥판협착","2","1"
"I38","상세불명 판막의 심내막염","1","0"
"I447","상세불명의 좌각차단","1","0"
"I469","상세불명의 심장정지","1","2"
"I472","심실성 빈맥","0","1"
"I480","발작성 심방세동","29","18"
"I481","지속성 심방세동","2","0"
"I489","상세불명의 심방세동 및 심방조동","7","3"
"I498","기타 명시된 심장부정맥","1","0"
"I499","상세불명의 심장부정맥","1","1"
"I5003","우심부전","0","1"
"I5004","수축기능부전을 동반한 울혈성 심부전","1","3"
"I5008","기타 및 상세불명의 울혈성 심부전","2","0"
"I501","좌심실부전","4","1"
"I509","상세불명의 심부전","15","14"
"I519","상세불명의 심장병","1","0"
"I608","기타 지주막하출혈","0","1"
"I609","상세불명의 지주막하출혈","0","2"
"I610","대뇌반구 피질하의 뇌내출혈","1","2"
"I612","상세불명 대뇌반구의 뇌내출혈","2","0"
"I614","소뇌의 뇌내출혈","1","1"
"I615","뇌실내 뇌내출혈","1","1"
"I619","상세불명의 뇌내출혈","9","6"
"I620","경막하출혈(급성)(비외상성)","11","1"
"I6330","중대뇌동맥의 혈전증에 의한 뇌경색증","0","2"
"I6341","전대뇌동맥의 색전증에 의한 뇌경색증","1","0"
"I638","기타 뇌경색증","6","9"
"I639","상세불명의 뇌경색증","89","74"
"I652","경동맥의 폐쇄 및 협착","7","1"
"I660","중대뇌동맥의 폐쇄 및 협착","0","1"
"I679","상세불명의 뇌혈관질환","3","1"
"I690","지주막하출혈의 후유증","1","0"
"I691","뇌내출혈의 후유증","11","2"
"I693","뇌경색증의 후유증","65","15"
"I694","출혈 또는 경색증으로 명시되지 않은 뇌졸중의 후유증","4","0"
"I7001","괴저를 동반한 대동맥의 죽상경화증","1","0"
"I7023","휴식통을 동반한 사지동맥의 죽상경화증","1","0"
"I7029","사지동맥의 상세불명 죽상경화증","14","4"
"I70920","괴저를 동반하지 않은 전신죽상경화증","3","0"
"I714","파열에 대한 언급이 없는 복부대동맥동맥류","0","3"
"I719","파열에 대한 언급이 없는 상세불명 부위의 대동맥동맥류","1","0"
"I723","장골동맥의 동맥류 및 박리","2","0"
"I739","상세불명의 말초혈관병","3","0"
"I7430","무릎아래 색전증 및 혈전증","0","1"
"I7431","무릎위 색전증 및 혈전증","1","0"
"I744","상세불명의 사지동맥의 색전증 및 혈전증","0","1"
"I792","달리 분류된 질환에서의 말초맥관병증","6","0"
"I802","하지의 기타 심부혈관의 정맥염 및 혈전정맥염","1","2"
"I831","염증을 동반한 하지의 정맥류","15","25"
"I832","궤양과 염증을 동반한 하지의 정맥류","0","1"
"I839","궤양 또는 염증이 없는 하지의 정맥류","16","24"
"I8591","출혈이 없는 식도정맥류, 이차성","4","0"
"I861","음낭정맥류","1","0"
"I864","위정맥류","2","0"
"I868","기타 명시된 부위의 정맥류","0","2"
"I872","정맥기능부전(만성)(말초성)","1","0"
"I880","비특이성 장간막림프절염","1","2"
"I889","상세불명의 비특이성 림프절염","1","0"
"I890","달리 분류되지 않은 림프부종","15","3"
"I951","기립성 저혈압","2","0"
"I959","상세불명의 저혈압","2","1"
"I982","달리 분류된 질환에서의 출혈을 동반하지 않은 식도정맥류","1","0"
"J00","급성 비인두염[감기]","4","3"
"J0191","재발성 상세불명의 급성 부비동염","1","0"
"J029","상세불명의 급성 인두염","3","3"
"J0390","재발성으로 명시되어 있지 않은 상세불명의 급성 편도염","0","1"
"J0391","재발성 상세불명의 급성 편도염","1","3"
"J040","급성 후두염","1","0"
"J068","여러 부위의 기타 급성 상기도감염","0","1"
"J069","상세불명의 급성 상기도감염","5","4"
"J09","확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자","5","2"
"J101","계절성 인플루엔자바이러스가 확인된, 기타 호흡기 증상을 동반한 인플루엔자","2","1"
"J118","바이러스가 확인되지 않은, 기타 증상을 동반한 인플루엔자","2","0"
"J150","폐렴간균에 의한 폐렴","2","1"
"J151","슈도모나스에 의한 폐렴","0","1"
"J158","기타 세균성 폐렴","2","1"
"J159","상세불명의 세균성 폐렴","11","3"
"J170","달리 분류된 세균성 질환에서의 폐렴","1","0"
"J180","상세불명의 기관지폐렴","2","1"
"J188","상세불명 병원체의 기타 폐렴","1","0"
"J189","상세불명의 폐렴","190","162"
"J209","상세불명의 급성 기관지염","9","9"
"J219","상세불명의 급성 세기관지염","2","1"
"J300","혈관운동성 비염","2","1"
"J301","화분에 의한 앨러지비염","5","0"
"J302","기타 계절성 앨러지비염","5","0"
"J303","기타 앨러지비염","2","0"
"J304","상세불명의 앨러지비염","7","4"
"J310","만성 비염","1","0"
"J320","만성 상악동염","13","10"
"J321","만성 전두동염","3","1"
"J323","만성 접형동염","3","3"
"J324","만성 범부비동염","9","5"
"J329","상세불명의 만성 부비동염","1","4"
"J339","상세불명의 코폴립","1","0"
"J342","편위된 비중격","20","3"
"J350","만성 편도염","1","0"
"J353","아데노이드의 비대를 동반한 편도의 비대","0","1"
"J36","편도주위농양","0","1"
"J370","만성 후두염","2","0"
"J3801","성대 및 후두의 마비, 양쪽","0","1"
"J383","성대의 기타 질환","7","0"
"J387","후두의 기타 질환","0","1"
"J392","인두의 기타 질환","1","0"
"J398","상기도의 기타 명시된 질환","1","0"
"J40","급성인지 만성인지 명시되지 않은 기관지염","9","5"
"J410","단순 만성 기관지염","3","2"
"J411","점액화농성 만성 기관지염","0","1"
"J42","상세불명의 만성 기관지염","2","0"
"J4400","급성 하기도감염을 동반한 만성 폐색성 폐질환, 경도","0","1"
"J4401","급성 하기도감염을 동반한 만성 폐색성 폐질환, 중등도","1","1"
"J4409","급성 하기도감염을 동반한 만성 폐색성 폐질환, 상세불명","0","2"
"J4412","급성 악화를 동반한 상세불명의 만성 폐색성 폐질환, 중증","0","2"
"J4419","급성 악화를 동반한 상세불명의 만성 폐색성 폐질환, 상세불명","2","2"
"J4480","기타 명시된 만성 폐색성 폐질환, 경도","1","0"
"J4489","기타 명시된 만성 폐색성 폐질환, 상세불명","1","1"
"J4491","상세불명의 만성 폐색성 폐질환, 중등도","3","0"
