상병코드,상병명,국비,사비,계
D329,상세불명의 수막의 양성 신생물 ,0,2,2
D333,뇌신경의 양성 신생물 ,1,0,1
D34,갑상선의 양성 신생물,0,1,1
D350,부신의 양성 신생물 ,6,1,7
D352,뇌하수체의 양성 신생물,6,0,6
D361,말초신경 및 자율신경계통의 양성 신생물,3,0,3
D369,상세불명 부위의 양성 신생물,2,0,2
D371,위의 행동양식 불명 또는 미상의 신생물,1,0,1
D373,충수의 행동양식 불명 또는 미상의 신생물,0,1,1
D374,결장의 행동양식 불명 또는 미상의 신생물,1,0,1
D376,"간, 담낭 및 담관의 행동양식 불명 또는 미상의 신생물",5,0,5
D377,기타 소화기관의 행동양식 불명 또는 미상의 신생물,3,0,3
D379,상세불명의 소화기관의 행동양식 불명 또는 미상의 신생물,1,0,1
D380,후두의 행동양식 불명 또는 미상의 신생물,0,1,1
D381,"기관, 기관지 및 폐의 행동양식 불명 또는 미상의 신생물",1,1,2
D414,방광의 행동양식 불명 또는 미상의 신생물 ,10,0,10
D434,척수의 행동양식 불명 또는 미상의 신생물,1,0,1
D45,진성 적혈구증가증,2,3,5
D469,상세불명의 골수형성이상증후군,2,0,2
D473,본태성(출혈성) 혈소판혈증,4,1,5
D479,"림프, 조혈 및 관련 조직의 행동양식 불명 또는 미상의 상세불명 신생물",1,0,1
D481,결합조직 및 기타 연조직의 행동양식 불명 또는 미상의 신생물,7,0,7
D508,기타 철결핍빈혈,7,0,7
D510,내인인자 결핍에 의한 비타민B12결핍빈혈,0,1,1
D613,특발성 무형성빈혈,1,0,1
D619,상세불명의 무형성빈혈,1,0,1
D649,상세불명의 빈혈,16,8,24
D688,기타 명시된 응고결함,1,0,1
D696,상세불명의 혈소판감소증,1,0,1
D728,기타 명시된 백혈구의 장애,1,0,1
E039,상세불명의 갑상선기능저하증,6,0,6
E041,비독성 단순갑상선 결절,0,1,1
E1031,당뇨병성 비증식성 망막병증을 동반한 1형 당뇨병(H36.0*),1,0,1
E1040,당뇨병성 단일신경병증을 동반한 1형 당뇨병,1,0,1
E1078,기타 다발성 합병증을 동반한 1형 당뇨병,0,4,4
E108,상세불명의 합병증을 동반한 1형 당뇨병,2,0,2
E1100,고삼투압과 혼수를 동반한 2형 당뇨병,4,0,4
E1120,초기 당뇨병성 신장병증을 동반한 2형 당뇨병(N08.3*),2,0,2
E1121,확정된 당뇨병성 신장병증을 동반한 2형 당뇨병(N08.3*),2,0,2
E1128,기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N08.3*),4,0,4
E1131,당뇨병성 비증식성 망막병증을 동반한 2형 당뇨병(H36.0*),1,0,1
E1141,당뇨병성 다발신경병증을 동반한 2형 당뇨병(G63.2*),7,0,7
E1148,기타 및 상세불명의 신경학적 합병증을 동반한 2형 당뇨병,7,0,7
E1150,"당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 2형 당뇨병(I79.2*)",2,0,2
E1158,기타 및 상세불명의 말초순환계 합병증을 동반한 2형 당뇨병,4,1,5
E1168,달리 분류되지 않은 기타 명시된 합병증을 동반한 2형 당뇨병,2,0,2
E1171,당뇨병성 족부궤양 및 괴저를 동반한 2형 당뇨병,2,0,2
E1178,기타 다발성 합병증을 동반한 2형 당뇨병,1,0,1
E118,상세불명의 합병증을 동반한 2형 당뇨병,38,3,41
E119,합병증을 동반하지 않은 2형 당뇨병,51,11,62
E1370,당뇨병성 족부궤양을 동반한 기타 명시된 당뇨병,1,0,1
E1372,기타 및 상세불명의 당뇨병성 족부합병증을 동반한 기타 명시된 당뇨병,2,0,2
E1408,기타 및 상세불명의 혼수를 동반한 상세불명의 당뇨병,4,0,4
E1448,기타 및 상세불명의 신경학적 합병증을 동반한 상세불명의 당뇨병,3,0,3
E1458,기타 및 상세불명의 말초순환계 합병증을 동반한 상세불명의 당뇨병,2,1,3
E1471,당뇨병성 족부궤양 및 괴저를 동반한 상세불명의 당뇨병,11,1,12
E148,상세불명의 합병증을 동반한 상세불명의 당뇨병,11,1,12
E149,합병증을 동반하지 않은 상세불명의 당뇨병,1,1,2
E222,부적절항이뇨호르몬분비증후군,1,0,1
E242,약물유발 쿠싱증후군,0,3,3
E780,순수 고콜레스테롤혈증,6,0,6
E781,순수 고글리세라이드혈증,1,0,1
E782,혼합성 고지질혈증,4,0,4
E784,기타 고지질혈증,9,0,9
E785,상세불명의 고지질혈증,11,4,15
E835,칼슘대사장애,1,0,1
E870,고오스몰랄농도 및 고나트륨혈증,0,1,1
E871,저오스몰랄농도 및 저나트륨혈증,17,5,22
E875,고칼륨혈증,2,2,4
F000,조기발병 알츠하이머병에서의 치매(G30.0†),1,0,1
F001,만기발병 알츠하이머병에서의 치매(G30.1†),1,0,1
F009,상세불명의 알츠하이머병에서의 치매(G30.9†),4,2,6
F011,다발-경색치매,1,0,1
F013,혼합형 피질 및 피질하 혈관성 치매,1,0,1
F03,상세불명의 치매,1,0,1
F102,알코올의 의존증후군,1,0,1
F328,기타 우울에피소드,1,0,1
F329,상세불명의 우울에피소드,7,0,7
F339,상세불명의 재발성 우울장애,1,0,1
F489,상세불명의 신경증성 장애,1,0,1
F510,비기질성 불면증,10,0,10
G060,두개내 농양 및 육아종,0,3,3
G1221,산발형 근위축측삭경화증,2,0,2
G20,파킨슨병,5,1,6
G231,진행성 핵상안근마비 [스틸-리차드슨-올스제위스키],1,0,1
G250,본태성 떨림,2,0,2
G258,기타 명시된 추체외로 및 운동 장애,3,0,3
G319,신경계통의 상세불명 퇴행성 질환,12,4,16
G4001,난치성 뇌전증을 동반한 국소발병의 발작을 동반한 국소화-관련 (초점성)(부분적) 특발성 뇌전증 및 뇌전증증후군,2,0,2
G4080,난치성 뇌전증을 동반하지 않은 기타 뇌전증,2,0,2
G4081,난치성 뇌전증을 동반한 기타 뇌전증,3,1,4
G4090,난치성 뇌전증을 동반하지 않은 상세불명의 뇌전증,2,1,3
G4091,난치성 뇌전증을 동반한 상세불명의 뇌전증,0,3,3
G419,상세불명의 뇌전증지속상태,1,0,1
G439,상세불명의 편두통,1,1,2
G442,긴장형두통,0,2,2
G448,기타 명시된 두통증후군,2,1,3
G459,상세불명의 일과성 뇌허혈발작,8,0,8
G470,수면 개시 및 유지 장애[불면증],7,1,8
G500,삼차신경통,1,0,1
G513,간대성 반쪽얼굴연축,1,0,1
G530,대상포진후신경통(B02.2†),1,0,1
G544,달리 분류되지 않은 요천수신경뿌리장애,6,0,6
G560,손목터널증후군,8,2,10
G561,정중신경의 기타 병변,1,0,1
G562,척골신경의 병변,4,0,4
G568,팔의 기타 단일신경병증,10,0,10
G575,발목터널증후군,2,0,2
G589,상세불명의 단일신경병증,17,1,18
G609,상세불명의 유전성 및 특발성 신경병증,3,0,3
G619,상세불명의 염증성 다발신경병증,1,0,1
G629,상세불명의 다발신경병증,4,0,4
G632,당뇨병성 다발신경병증(4단위 및 5단위 숫자 .41에 해당되는 E10-E14†),4,0,4
G810,이완성 편마비,1,0,1
G819,상세불명의 편마비,24,1,25
G822,상세불명의 하반신마비,4,2,6
G825,상세불명의 사지마비,8,0,8
G834,말총증후군,16,0,16
G906,복합부위통증증후군 II형,4,0,4
G907,기타 및 상세불명 유형의 복합부위통증증후군,2,0,2
G912,정상뇌압 수두증,7,0,7
G919,상세불명의 수두증,2,0,2
G952,상세불명의 척수압박,3,0,3
G959,척수의 상세불명 질환,4,0,4
H0202,노년성 안검내반,2,0,2
H0212,노년성 안검외반,1,0,1
H0242,마비성 안검하수,2,0,2
H0248,기타 및 상세불명의 안검하수,0,3,3
H0282,눈꺼풀의 피부이완증,5,3,8
H0411,건성안증후군,4,0,4
H058,안와의 기타 장애,2,0,2
H2500,"노년성 초기백내장, 오른쪽",0,1,1
H2502,"노년성 초기백내장, 양쪽",2,0,2
H2509,"노년성 초기백내장, 상세불명의 부위",1,0,1
H2511,"노년성 핵백내장, 왼쪽",0,1,1
H2512,"노년성 핵백내장, 양쪽",1,0,1
H2519,"노년성 핵백내장, 상세불명 쪽",10,2,12
H2582,"기타 노년백내장, 양쪽",3,0,3
H2589,"기타 노년백내장, 상세불명 쪽",1,0,1
H2590,"상세불명의 노년백내장, 오른쪽",26,4,30
H2591,"상세불명의 노년백내장, 왼쪽",30,8,38
H2592,"상세불명의 노년백내장, 양쪽",9,0,9
H26282,"기타 합병백내장, 양쪽",0,2,2
H2699,"상세불명의 백내장, 상세불명 쪽",1,0,1
H328,달리 분류된 질환에서의 기타 맥락망막장애,3,0,3
H3338,기타 및 상세불명의 망막열공,1,0,1
H360,"당뇨병성 망막병증(4단위 및 5단위 숫자 .30, .31, .32, .33에 해당되는 E10-E14+)",1,0,1
H4019,상세불명의 원발성 개방우각녹내장,0,1,1
H431,유리체출혈,3,3,6
H6611,"만성 이관고실의 화농성 중이염, 양쪽",0,1,1
H6690,"상세불명의 중이염, 한쪽 또는 상세불명",0,1,1
H811,양성 발작성 현기증,5,1,6
H812,전정신경세포염,1,3,4
H814,중추기원의 현기증,5,0,5
H905,상세불명의 감각신경성 청력소실,2,0,2
H9120,"돌발성 특발성 청력소실, 한쪽",2,0,2
H9129,"돌발성 특발성 청력소실, 상세불명 쪽",8,2,10
H931,이명,5,0,5
I050,승모판협착,2,0,2
I059,상세불명의 승모판질환,2,0,2
I082,대동맥판 및 삼첨판의 장애,1,0,1
I101,악성 고혈압,4,3,7
I109,기타 및 상세불명의 원발성 고혈압,45,28,73
I110,(울혈성) 심부전을 동반한 고혈압성 심장병,7,0,7
I119,(울혈성) 심부전이 없는 고혈압성 심장병,1,0,1
I159,상세불명의 이차성 고혈압,2,0,2
I200,불안정협심증,15,4,19
I201,연축의 기재가 있는 협심증,28,10,38
I2080,비정형협심증,8,3,11
I2088,기타 형태의 협심증,82,19,101
I209,상세불명의 협심증,457,141,598
I219,상세불명의 급성 심근경색증,14,5,19
I240,심근경색증을 유발하지 않은 관상동맥혈전증,1,0,1
I252,오래된 심근경색증,2,0,2
I253,심장의 동맥류,1,0,1
I269,급성 폐심장증에 대한 언급이 없는 폐색전증,6,6,12
I279,상세불명의 폐성 심장병,1,0,1
I309,상세불명의 급성 심장막염,1,1,2
I313,심낭삼출액(비염증성),3,0,3
I319,심장막의 상세불명의 질환,1,0,1
I350,대동맥판협착,3,4,7
I420,확장성 심근병증,3,0,3
I421,폐색성 비대성 심근병증,0,1,1
I4220,비폐색성 비대성 심근병증,1,0,1
I4228,기타 비대성 심근병증,1,0,1
I426,알코올성 심근병증,1,0,1
I440,"방실차단, 1도",1,0,1
I442,완전방실차단,9,5,14
I460,인공소생에 성공한 심장정지,4,0,4
I469,상세불명의 심장정지,0,1,1
I471,상심실성 빈맥,2,1,3
I472,심실성 빈맥 ,3,0,3
I480,발작성 심방세동,29,9,38
I481,지속성 심방세동,5,2,7
I4890,상세불명의 심장세동,7,1,8
I4891,상세불명의 심장조동,0,1,1
I493,심실조기탈분극,2,0,2
I495,동기능부전증후군,1,2,3
I499,상세불명의 심장부정맥,2,2,4
I5004,수축기능부전을 동반한 울혈성 심부전,6,0,6
I5005,수축기능이 정상인 울혈성 심부전,4,0,4
I5008,기타 및 상세불명의 울혈성 심부전,108,56,164
I501,좌심실부전,5,1,6
I509,상세불명의 심부전,7,1,8
I602,전교통동맥에서 기원한 거미막하출혈,1,0,1
I609,상세불명의 거미막하출혈,1,2,3
I610,대뇌반구 피질하의 뇌내출혈,2,1,3
I615,뇌실내 뇌내출혈,1,1,2
I619,상세불명의 뇌내출혈,14,5,19
I629,상세불명의 두개내출혈(비외상성),3,0,3
I6349,상세불명의 대뇌동맥의 색전증에 의한 뇌경색증,0,2,2
I6351,전대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증,1,0,1
I6352,후대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증,0,1,1
I6358,기타 대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증,1,0,1
I6359,상세불명의 대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증,2,0,2
I636,대뇌정맥 혈전증에 의한 비화농성 뇌경색증,1,0,1
I638,기타 뇌경색증,70,12,82
I639,상세불명의 뇌경색증,36,10,46
I650,척추동맥의 폐쇄 및 협착,1,0,1
I652,경동맥의 폐쇄 및 협착,11,0,11
I660,중대뇌동맥의 폐쇄 및 협착,4,0,4
I668,기타 대뇌동맥의 폐쇄 및 협착,1,0,1
I670,파열되지 않은 대뇌동맥의 박리,4,0,4
I671,파열되지 않은 대뇌동맥류,8,3,11
I678,기타 명시된 뇌혈관질환,4,4,8
I679,상세불명의 뇌혈관질환,2,0,2
I691,뇌내출혈의 후유증,11,0,11
I693,뇌경색증의 후유증,21,7,28
I7010,괴저를 동반하지 않은 신장동맥의 죽상경화증,2,0,2
I7022,간헐성 파행을 동반한 사지동맥의 죽상경화증,1,0,1
I7029,사지동맥의 상세불명 죽상경화증,2,1,3
I70830,괴저를 동반하지 않은 쇄골하동맥의 죽상경화증,3,0,3
I70920,괴저를 동반하지 않은 전신죽상경화증,6,0,6
I719,파열에 대한 언급이 없는 상세불명 부위의 대동맥동맥류,7,3,10
I7241,무릎위 동맥류 및 박리,1,0,1
I731,폐색혈전혈관염[버거병],2,0,2
I738,기타 명시된 말초혈관질환,8,2,10
I739,상세불명의 말초혈관병,53,8,61
I745,장골동맥의 색전증 및 혈전증,0,1,1
I771,동맥의 협착,0,2,2
I776,상세불명의 동맥염,0,1,1
I7782,하지를 침범한 말초동맥폐쇄질환,9,4,13
I788,기타 모세혈관질환,1,0,1
I802,하지의 기타 심부혈관의 정맥염 및 혈전정맥염,3,2,5
I839,궤양 또는 염증이 없는 하지의 정맥류,5,5,10
I868,기타 명시된 부위의 정맥류,6,2,8
I890,달리 분류되지 않은 림프부종,2,0,2
I950,특발성 저혈압,1,0,1
I951,기립성 저혈압,5,0,5
I958,기타 저혈압,2,0,2
I959,상세불명의 저혈압,4,0,4
I99,순환계통의 기타 및 상세불명의 장애,1,0,1
J00,급성 비인두염[감기],12,1,13
J029,상세불명의 급성 인두염,1,0,1
J040,급성 후두염,2,0,2
J041,급성 기관염,3,0,3
J0510,폐색을 동반하지 않은 급성 후두개염,0,1,1
J0511,폐색을 동반한 급성 후두개염,1,0,1
J069,상세불명의 급성 상기도감염,1,0,1
J159,상세불명의 세균성 폐렴,1,1,2
J188,상세불명 병원체의 기타 폐렴,1,0,1
J189,상세불명의 폐렴,96,31,127
J209,상세불명의 급성 기관지염,2,1,3
J304,상세불명의 알레르기비염,14,7,21
J310,만성 비염,1,0,1
J320,만성 상악동염,0,1,1
J329,상세불명의 만성 부비동염,15,3,18
J330,비강의 폴립,1,1,2
J339,상세불명의 코폴립,10,3,13
J342,편위된 비중격,14,5,19
J343,코선반의 비대,14,4,18
J348,코 및 비동의 기타 명시된 장애,1,0,1
J36,편도주위농양,1,0,1
J40,급성인지 만성인지 명시되지 않은 기관지염,8,1,9
J42,상세불명의 만성 기관지염,0,1,1
J439,상세불명의 폐기종,7,0,7
J4400,"급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 경도",1,0,1
J4489,"기타 명시된 만성 폐쇄성 폐질환, 상세불명",2,0,2
J4490,"상세불명의 만성 폐쇄성 폐질환, 경도",1,0,1
J4491,"상세불명의 만성 폐쇄성 폐질환, 중등도",2,1,3
J4492,"상세불명의 만성 폐쇄성 폐질환, 중증",3,0,3
J4499,"상세불명의 만성 폐쇄성 폐질환, 상세불명",8,8,16
J459,상세불명의 천식,7,3,10
J47,기관지확장증,2,4,6
J698,기타 고체 및 액체에 의한 폐렴,2,0,2
J841,섬유증을 동반한 기타 간질성 폐질환,3,2,5
J849,상세불명의 간질성 폐질환,1,0,1
J852,폐렴을 동반하지 않은 폐의 농양,1,2,3
J90,달리 분류되지 않은 흉막삼출액,9,3,12
J91,달리 분류된 병태에서의 흉막삼출액,1,1,2
J939,상세불명의 기흉,1,0,1
J942,혈흉,2,0,2
J9691,"상세불명의 호흡부전, II형[고탄산성]",1,0,1
J9810,무기폐,1,0,1
J989,상세불명의 호흡장애,1,0,1
K0532,만성 치관주위염,2,0,2
K089,치아 및 지지구조의 상세불명 장애,3,0,3
K210,식도염을 동반한 위-식도역류병,36,10,46
K219,식도염을 동반하지 않은 위-식도역류병,16,0,16
K2210,출혈을 동반하지 않은 식도의 궤양,1,0,1
K226,위-식도열상-출혈증후군,1,1,2
K227,바렛식도,1,1,2
K2501,출혈이 있는 급성 위궤양,1,2,3
K2531,출혈 또는 천공이 없는 급성 위궤양,7,0,7
K2541,출혈이 있는 만성 또는 상세불명 위궤양,1,0,1
K2591,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위궤양,5,1,6
K260,출혈이 있는 급성 십이지장궤양,0,1,1
K264,출혈이 있는 만성 또는 상세불명 십이지장궤양,0,1,1
K269,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 십이지장궤양,4,0,4
K279,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 상세불명 부위의 소화성 궤양,2,0,2
K291,기타 급성 위염,14,2,16
K293,만성 표재성 위염,2,0,2
K294,만성 위축성 위염,14,3,17
K295,상세불명의 만성 위염,26,8,34
K296,기타 위염,12,0,12
K297,상세불명의 위염,108,21,129
K298,십이지장염,2,0,2
K299,상세불명의 위십이지장염,1,0,1
K30,기능성 소화불량,25,6,31
K317,위 및 십이지장의 폴립,14,5,19
K3188,위 및 십이지장의 기타 명시된 질환,4,2,6
K319,위 및 십이지장의 상세불명 질환,1,0,1
K353,국소복막염을 동반한 급성 충수염,4,4,8
K358,기타 및 상세불명의 급성 충수염,5,7,12
K4020,"재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 양쪽 사타구니탈장",1,1,2
K4090,"재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장",24,18,42
K429,폐색 또는 괴저가 없는 배꼽탈장,3,0,3
K439,폐색 또는 괴저가 없는 기타 및 상세불명의 복벽탈장,0,1,1
K5009,"소장의 크론병, 상세불명",1,0,1
K515,좌측 결장염,0,1,1
K529,상세불명의 비감염성 위장염 및 결장염,7,4,11
K559,장의 상세불명의 혈관장애,7,0,7
K560,마비성 장폐색증,5,0,5
K561,중첩,0,1,1
K565,폐색을 동반한 장유착[띠],1,0,1
K566,기타 및 상세불명의 장폐색,5,3,8
K567,상세불명의 장폐색증,8,1,9
K5730,"출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실증",1,1,2
K5792,"출혈을 동반하지 않은 천공 또는 농양이 없는 상세불명 부분의 장의 게실병, 게실염",0,1,1
K581,설사 위주의 과민대장증후군 [IBS-D]  ,6,5,11
K583,혼합형 과민대장증후군 [IBS-M] ,3,1,4
K588,기타 및 상세불명 유형의 과민대장 증후군 ,14,4,18
K5900,서행성 변비,4,1,5
K5909,기타 및 상세불명 변비,23,5,28
K591,기능성 설사,0,1,1
K599,상세불명의 기능성 장장애,20,10,30
K602,상세불명의 항문열창,1,0,1
K603,항문루,2,0,2
K604,직장루,1,0,1
K610,항문농양,2,0,2
K612,항문직장농양,1,0,1
K613,좌골직장농양,1,0,1
K620,항문폴립,2,0,2
K628,항문 및 직장의 기타 명시된 질환,1,0,1
K629,항문 및 직장의 상세불명 질환,0,1,1
K6329,상세불명의 장의 누공,1,0,1
K635,결장의 폴립,77,22,99
K638,장의 기타 명시된 질환,2,0,2
K639,장의 상세불명 질환,1,0,1
K641,2도 치핵,4,1,5
K642,3도 치핵,6,2,8
K643,4도 치핵,2,6,8
K649,상세불명의 치핵,1,0,1
K658,기타 복막염,0,2,2
K659,상세불명의 복막염,0,1,1
K7010,복수를 동반하지 않은 알코올성 간염,6,3,9
K7030,복수를 동반하지 않은 알코올성 간경변증,0,1,1
K709,상세불명의 알코올성 간질환,11,5,16
K7200,혼수를 동반하지 않은 급성 및 아급성 간부전,0,1,1
K7201,혼수를 동반한 급성 및 아급성 간부전,1,0,1
K7290,혼수를 동반하지 않은 상세불명의 간부전,3,0,3
K739,상세불명의 만성 간염,15,3,18
K740,간섬유증,2,0,2
K7414,"간경화증, 비대상성",0,1,1
K7464,"간의 기타 및 상세불명의 경변증, 비대상성",0,1,1
K7469,"간의 기타 및 상세불명의 경변증,상세불명",8,3,11
K750,간의 농양,3,0,3
K752,비특이성 반응성 간염,1,0,1
K759,상세불명의 염증성 간질환,1,3,4
K760,달리 분류되지 않은 지방(변화성)간,3,3,6
K769,상세불명의 간질환,7,1,8
K8000,폐색의 언급이 없는 급성 담낭염을 동반한 담낭의 결석,7,3,10
K8001,폐색을 동반한 급성 담낭염을 동반한 담낭의 결석,7,7,14
K8010,폐색의 언급이 없는 기타 담낭염을 동반한 담낭의 결석,13,14,27
K8020,폐색의 언급이 없는 담낭염이 없는 담낭의 결석,5,1,6
K8030,폐색의 언급이 없는 담관염을 동반한 담관 결석,1,2,3
K8031,폐색을 동반한 담관염을 동반한 담관 결석,1,0,1
K8050,폐색의 언급이 없는 담관염 또는 담낭염이 없는 담관결석,4,5,9
