상병코드,상병명,국비,사비
C3491,"상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽",,3
C3499,"상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽",7,16
C37,흉선의 악성 신생물,2,
C383,상세불명 부분의 종격의 악성 신생물,,2
C409,상세불명 사지의 골 및 관절연골의 악성 신생물,,1
C414,"골반골, 천골(薦骨) 및 미추의 악성 신생물",,2
C439,상세불명의 피부의 악성 흑색종,,1
C443,얼굴의 기타 및 상세불명 부분의 피부의 악성 신생물,1,
C447,엉덩이를 포함한 다리의 피부의 악성 신생물,,2
C480,후복막의 악성 신생물,1,1
C493,흉부의 결합조직 및 연조직의 악성 신생물,1,
C5091,"상세불명의 유방의 악성 신생물, 왼쪽",,1
C539,상세불명의 자궁경부의 악성 신생물,,3
C541,자궁내막의 악성 신생물,,2
C55,자궁의 상세불명 부분의 악성 신생물,,1
C569,"난소의 악성 신생물, 상세불명 쪽",,4
C61,전립선의 악성 신생물,20,19
C640,"신우를 제외한 신장의 악성 신생물, 오른쪽",1,1
C641,"신우를 제외한 신장의 악성 신생물, 왼쪽",,1
C649,"신우를 제외한 신장의 악성 신생물, 상세불명 쪽",1,1
C660,"요관의 악성 신생물, 오른쪽",,1
C679,상세불명의 방광의 악성 신생물,9,6
C719,상세불명의 뇌의 악성 신생물,,2
C73,갑상선의 악성 신생물,1,3
C778,여러 부위의 림프절의 이차성 및 상세불명의 악성신생물,,1
C7800,"폐의 이차성 악성 신생물, 오른쪽",1,1
C7801,"폐의 이차성 악성 신생물, 왼쪽",,2
C7809,"폐의 이차성 악성 신생물, 상세불명 쪽",8,17
C782,흉막의 이차성 악성 신생물,,1
C784,소장의 이차성 악성 신생물,,3
C785,대장 및 직장의 이차성 악성 신생물,1,
C786,후복막 및 복막의 이차성 악성 신생물,2,9
C787,간 및 간내 담관의 이차성 악성 신생물,10,26
C7880,위의 이차성 악성 신생물,,1
C7882,비장의 이차성 악성 신생물,,1
C7910,방광의 이차성 악성 신생물,,3
C7930,뇌의 이차성 악성 신생물,,12
C795,골 및 골수의 이차성 악성 신생물,5,21
C809,원발부위 상세불명인 악성 신생물,,1
C833,미만성 대B-세포림프종,,1
C859,상세불명의 비호지킨림프종,2,1
C900,다발골수종,3,1
D002,위의 제자리암종,,1
D010,결장의 제자리암종,2,1
D090,방광의 제자리암종,1,1
D103,기타 및 상세불명 입 부분의 양성 신생물,1,
D105,입인두의 기타 부분의 양성 신생물,,1
D120,맹장의 양성 신생물,42,22
D121,충수의 양성 신생물,,1
D122,상행결장의 양성 신생물,80,38
D123,횡행결장의 양성 신생물,90,32
D124,하행결장의 양성 신생물,26,7
D125,구불결장의 양성 신생물,55,19
D126,상세불명의 결장의 양성 신생물,243,96
D127,직장구불결장접합부의 양성 신생물,9,2
D128,직장의 양성 신생물,9,5
D131,위의 양성 신생물,2,
D135,간외담관의 양성 신생물,1,2
D170,"머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물",2,
D1720,팔의 피부 및 피하조직의 양성 지방종성 신생물,1,
D1721,다리의 피부 및 피하조직의 양성 지방종성 신생물,1,1
D175,복강내기관의 양성 지방종성 신생물,,1
D177,기타 부위의 양성 지방종성 신생물,1,
D1800,피부 및 피하조직의 혈관종,1,
D1802,간담도계의 혈관종,1,
D212,엉덩이를 포함한 다리의 결합조직 및 기타 연조직의 양성 신생물,1,
D234,두피 및 목의 피부의 양성 신생물,1,
D235,몸통의 피부의 양성 신생물,,1
D303,방광의 양성 신생물,1,
D371,위의 행동양식 불명 또는 미상의 신생물,1,
D373,충수의 행동양식 불명 또는 미상의 신생물,1,
D377,기타 소화기관의 행동양식 불명 또는 미상의 신생물,2,1
D4100,"신장의 행동양식 불명 또는 미상의 신생물, 오른쪽",,1
D429,상세불명의 수막의 행동양식 불명 또는 미상의 신생물,,1
D469,상세불명의 골수형성이상증후군,1,1
D480,뼈 및 관절연골의 행동양식 불명 또는 미상의 신생물,,1
D500,(만성) 실혈에 따른 이차성 철겹핍빈혈,3,1
D508,기타 철결핍빈혈,1,
D509,상세불명의 철결핍빈혈,14,13
D648,기타 명시된 빈혈,1,
D649,상세불명의 빈혈,20,15
D696,상세불명의 혈소판감소증,,1
E039,상세불명의 갑상선기능저하증,11,1
E040,비독성 미만성 고이터,,1
E041,비독성 단순갑상선 결절,1,
E049,상세불명의 비독성 고이터,,1
E079,상세불명의 갑상선의 장애,3,
E1000,고삼투압과 혼수를 동반한 1형 당뇨병,2,
E1033,기타 및 상세불명의 망막병증을 동반한 1형 당뇨병(H36.0*),1,
E1040,당뇨병성 단일신경병증을 동반한 1형 당뇨병,3,
E1041,당뇨병성 다발신경병증을 동반한 1형 당뇨병(G63.2*),2,
E1050,"당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 1형 당뇨병(I79.2*)",4,
E1058,기타 및 상세불명의 말초순환계 합병증을 동반한 1형 당뇨병,1,2
E109,합병증을 동반하지 않은 1형 당뇨병,9,2
E1100,고삼투압과 혼수를 동반한 2형 당뇨병,1,1
E1110,케토산증을 동반한 2형 당뇨병,1,
E1120,초기 당뇨병성 신장병증을 동반한 2형 당뇨병(N08.3*),1,
E1121,확정된 당뇨병성 신장병증을 동반한 2형 당뇨병(N08.3*),1,
E1122,말기신장병을 동반한 2형 당뇨병(N08.3*),7,1
E1128,기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N08.3*),12,1
E1141,당뇨병성 다발신경병증을 동반한 2형 당뇨병(G63.2*),13,2
E1142,당뇨병성 자율신경병증을 동반한 2형 당뇨병(G99.0*),2,
E1148,기타 및 상세불명의 신경학적 합병증을 동반한 2형 당뇨병,3,
E1150,"당뇨병성 말초혈관병증을 동반한, 괴저를 동반하지 않는 2형 당뇨병(I79.2*)",3,
E1158,기타 및 상세불명의 말초순환계 합병증을 동반한 2형 당뇨병,2,
E1163,저혈당을 동반한 2형 당뇨병,2,2
E1164,혈당조절이 되지 않은 2형 당뇨병,1,
E1168,달리 분류되지 않은 기타 명시된 합병증을 동반한 2형 당뇨병,1,
E1171,당뇨병성 족부궤양 및 괴저를 동반한 2형 당뇨병,4,1
E1172,기타 및 상세불명의 당뇨병성 족부합병증을 동반한 2형 당뇨병,11,2
E1178,기타 다발성 합병증을 동반한 2형 당뇨병,31,3
E118,상세불명의 합병증을 동반한 2형 당뇨병,66,33
E119,합병증을 동반하지 않은 2형 당뇨병,301,92
E138,상세불명의 합병증을 동반한 기타 명시된 당뇨병,4,
E139,합병증을 동반하지 않은 기타 명시된 당뇨병,,1
E1438,기타 및 상세불명의 눈합병증을 동반한 상세불명의 당뇨병,1,
E1448,기타 및 상세불명의 신경학적 합병증을 동반한 상세불명의 당뇨병,11,
E1471,당뇨병성 족부궤양 및 괴저를 동반한 상세불명의 당뇨병,1,
E1472,기타 및 상세불명의 당뇨병성 족부합병증을 동반한 상세불명의 당뇨병,1,3
E148,상세불명의 합병증을 동반한 상세불명의 당뇨병,3,
E149,합병증을 동반하지 않은 상세불명의 당뇨병,10,4
E160,혼수를 동반하지 않은 약물유발 저혈당,2,
E162,상세불명의 저혈당,1,1
E200,특발성 부갑상선기능저하증,1,
E274,기타 및 상세불명의 부신피질부전,,1
E46,상세불명의 단백질-에너지영양실조,2,
E512,베르니케뇌병증,,1
E538,기타 명시된 비타민 B군의 결핍증,,1
E638,기타 명시된 영양결핍,1,
E639,상세불명의 영양결핍,7,5
E781,순수 고글리세라이드혈증,1,
E782,혼합성 고지질혈증,7,
E784,기타 고지질혈증,24,3
E785,상세불명의 고지질혈증,31,12
E790,염증성 관절염 및 통풍성 질환의 징후가 없는 고뇨산혈증,3,
E806,빌리루빈대사의 기타 장애,,1
E860,탈수,1,1
E870,고오스몰랄농도 및 고나트륨혈증,1,2
E871,저오스몰랄농도 및 저나트륨혈증,10,10
E875,고칼륨혈증,11,10
E876,저칼륨혈증,3,3
F019,상세불명의 혈관성 치매,2,
F03,상세불명의 치매,4,4
F059,상세불명의 섬망,3,2
F069,"뇌손상, 뇌기능이상 및 신체질환에 의한 상세불명의 정신장애",1,
F102,알코올의 의존증후군,1,
F180,휘발용제 사용에 의한 급성 중독,1,
F29,상세불명의 비기질성 정신병,5,
F319,상세불명의 양극성 정동장애,3,
F320,경도 우울에피소드,13,1
F329,상세불명의 우울에피소드,6,2
F331,"재발성 우울장애, 현존 중등도",2,
F410,공황장애[우발적 발작성 불안],4,
F412,혼합형 불안 및 우울장애,1,
F419,상세불명의 불안장애,1,2
F430,급성 스트레스반응,1,
F432,적응장애,1,
F459,상세불명의 신체형장애,,3
F510,비기질성 불면증,3,
G113,DNA복구결손을 수반한 소뇌성 운동실조,,1
G1221,산발형 근위축측삭경화증,1,
G20,파킨슨병,3,3
G22,달리 분류된 질환에서의 파킨슨증,4,
G301,만기발병을 수반한 알츠하이머병,,1
G309,상세불명의 알츠하이머병,6,3
G4010,난치성 뇌전증을 동반하지 않은 단순부분발작을 동반한 국소화-관련 (초점성)(부분적) 증상성 뇌전증 및 뇌전증증후군,,1
G4090,난치성 뇌전증을 동반하지 않은 상세불명의 뇌전증,5,3
G419,상세불명의 뇌전증지속상태,1,
G442,긴장형두통,,1
G450,척추-뇌기저동맥증후군,2,
G459,상세불명의 일과성 뇌허혈발작,4,3
G470,수면 개시 및 유지 장애[불면증],15,
G510,벨마비,4,
G530,대상포진후신경통(B02.2†),3,2
G546,통증을 동반한 환상지증후군,4,
G551,추간판 장애에서의 신경근 및 신경총 압박(M50-M51†),48,6
G552,척추증에서의 신경근 및 신경총 압박(M47.-†),1,
G553,"기타 등병증에서의 신경근 및 신경총 압박(M45-M46†, M48.-†, M53-M54†)",,1
G560,손목터널증후군,4,2
G568,팔의 기타 단일신경병증,6,2
G571,이상감각성 대퇴신경통,3,
G573,외측오금신경의 병변,,1
G609,상세불명의 유전성 및 특발성 신경병증,2,
G629,상세불명의 다발신경병증,9,
G632,당뇨병성 다발신경병증(4단위 및 5단위 숫자 .41에 해당되는 E10-E14†),35,3
G811,강직성 편마비,9,1
G819,상세불명의 편마비,15,2
G822,상세불명의 하반신마비,8,
G824,강직성 사지마비,4,2
G825,상세불명의 사지마비,6,1
G831,다리의 단일마비,3,
G834,말총증후군,2,1
G905,복합부위통증증후군 I형,2,
G919,상세불명의 수두증,2,
G931,달리 분류되지 않은 무산소성 뇌손상,1,
G959,척수의 상세불명 질환,9,4
G990,내분비 및 대사성 질환에서의 자율신경병증,2,
G992,달리 분류된 질환에서의 척수병증,1,
H010,안검염,18,9
H019,눈꺼풀의 상세불명 염증,2,
H0411,건성안증후군,18,10
H101,급성 아토피결막염,1,
H108,기타 결막염,,2
H109,상세불명의 결막염,1,
H1108,눈의 기타 및 상세불명의 군날개,2,
H113,결막출혈,3,
H220,달리 분류된 감염성 및 기생충성 질환에서의 홍채섬모체염,,1
H2580,"기타 노년백내장, 오른쪽",39,17
H2581,"기타 노년백내장, 왼쪽",45,19
H2582,"기타 노년백내장, 양쪽",79,29
H2590,"상세불명의 노년백내장, 오른쪽",2,
H2591,"상세불명의 노년백내장, 왼쪽",2,
H2592,"상세불명의 노년백내장, 양쪽",2,
H360,"당뇨병성 망막병증(4단위 및 5단위 숫자 .30, .31, .32, .33에 해당되는 E10-E14+)",3,
H400,녹내장 의심,3,
H403,눈외상에 따른 이차성 녹내장,1,
H409,상세불명의 녹내장,,1
H512,핵간안근마비,1,
H612,귀지떡,3,
H6691,"상세불명의 중이염, 양쪽",1,
H810,메니에르병,3,
H811,양성 발작성 현기증,,1
H8138,기타 말초성 현기증,3,1
H814,중추기원의 현기증,3,
H905,상세불명의 감각신경성 청력소실,,1
H9129,"돌발성 특발성 청력소실, 상세불명 쪽",1,1
I101,악성 고혈압,18,10
I109,기타 및 상세불명의 원발성 고혈압,237,167
I110,(울혈성) 심부전을 동반한 고혈압성 심장병,3,1
I119,(울혈성) 심부전이 없는 고혈압성 심장병,4,3
I129,신부전이 없는 고혈압성 신장병,11,4
I159,상세불명의 이차성 고혈압,4,
I200,불안정협심증,4,2
I201,연축의 기재가 있는 협심증,5,1
I2080,비정형협심증,6,3
I2088,기타 형태의 협심증,34,14
I209,상세불명의 협심증,35,13
I219,상세불명의 급성 심근경색증,3,1
I255,허혈심근병증,1,
I258,기타 형태의 만성 허혈심장병,,1
I259,상세불명의 만성 허혈심장병,12,3
I269,급성 폐심장증에 대한 언급이 없는 폐색전증,,1
I420,확장성 심근병증,1,
I441,"방실차단, 2도",1,
I451,기타 및 상세불명의 우각차단,1,
I471,상심실성 빈맥,,2
I480,발작성 심방세동,4,2
I4890,상세불명의 심방세동,3,
I4891,상세불명의 심방조동,,3
I5004,수축기능부전을 동반한 울혈성 심부전,1,
I509,상세불명의 심부전,3,4
I610,대뇌반구 피질하의 뇌내출혈,1,3
I612,상세불명 대뇌반구의 뇌내출혈,3,
I614,소뇌의 뇌내출혈,2,
I615,뇌실내 뇌내출혈,2,1
I619,상세불명의 뇌내출혈,5,4
I620,비외상성 경막하출혈,2,2
I6352,후대뇌동맥의 상세불명 폐쇄 또는 협착에 의한 뇌경색증,,1
I638,기타 뇌경색증,10,8
I639,상세불명의 뇌경색증,45,41
I650,척추동맥의 폐쇄 및 협착,1,
I652,경동맥의 폐쇄 및 협착,5,1
I671,파열되지 않은 대뇌동맥류,8,13
I678,기타 명시된 뇌혈관질환,1,
I679,상세불명의 뇌혈관질환,5,
I691,뇌내출혈의 후유증,9,
I693,뇌경색증의 후유증,47,8
I694,출혈 또는 경색증으로 명시되지 않은 뇌졸중의 후유증,3,
I7022,간헐성 파행을 동반한 사지동맥의 죽상경화증,4,1
I7024,궤양을 동반한 사지동맥의 죽상경화증,3,
I7029,사지동맥의 상세불명 죽상경화증,12,
I713,파열된 복부대동맥동맥류,1,
I716,파열에 대한 언급이 없는 흉복부대동맥동맥류,,1
I719,파열에 대한 언급이 없는 상세불명 부위의 대동맥동맥류,1,
I723,장골동맥의 동맥류 및 박리,1,
I731,폐색혈전혈관염[버거병],1,
I744,상세불명의 사지동맥의 색전증 및 혈전증,,3
I776,상세불명의 동맥염,1,
I788,기타 모세혈관질환,1,1
I792,달리 분류된 질환에서의 말초맥관병증,6,
I802,하지의 기타 심부혈관의 정맥염 및 혈전정맥염,2,1
I829,상세불명 정맥의 색전증 및 혈전증,,1
I831,염증을 동반한 하지의 정맥류,6,21
I839,궤양 또는 염증이 없는 하지의 정맥류,10,13
I8649,출혈이 없는 위정맥류,3,
I868,기타 명시된 부위의 정맥류,1,
I880,비특이성 장간막림프절염,1,1
I889,상세불명의 비특이성 림프절염,,1
I890,달리 분류되지 않은 림프부종,13,3
I951,기립성 저혈압,1,
I958,기타 저혈압,1,
I959,상세불명의 저혈압,2,
J00,급성 비인두염[감기],1,1
J0110,재발성으로 명시되어 있지 않은 급성 전두동염,,1
J029,상세불명의 급성 인두염,1,1
J0391,재발성 상세불명의 급성 편도염,,3
J069,상세불명의 급성 상기도감염,3,
J122,파라인플루엔자바이러스폐렴,,1
J129,상세불명의 바이러스폐렴,1,
J150,폐렴간균에 의한 폐렴,1,1
J158,기타 세균성 폐렴,1,1
J159,상세불명의 세균성 폐렴,14,3
J180,상세불명의 기관지폐렴,1,1
J188,상세불명 병원체의 기타 폐렴,1,1
J189,상세불명의 폐렴,81,83
J209,상세불명의 급성 기관지염,1,2
J219,상세불명의 급성 세기관지염,1,2
J300,혈관운동성 비염,2,
J301,화분에 의한 알레르기비염,5,
J302,기타 계절성 알레르기비염,1,
J303,기타 알레르기비염,3,
J304,상세불명의 알레르기비염,6,
J310,만성 비염,1,
J320,만성 상악동염,1,4
J324,만성 범부비동염,1,2
J329,상세불명의 만성 부비동염,2,
J341,코 및 비동의 낭 및 점액류,1,1
J342,편위된 비중격,5,
J343,코선반의 비대,1,
J350,만성 편도염,1,1
J36,편도주위농양,2,1
J383,성대의 기타 질환,7,
J387,후두의 기타 질환,3,1
J40,급성인지 만성인지 명시되지 않은 기관지염,,1
J410,단순 만성 기관지염,2,1
J42,상세불명의 만성 기관지염,3,
J4400,"급성 하기도감염을 동반한 만성 폐쇄성 폐질환, 경도",3,
J4419,"급성 악화를 동반한 상세불명의 만성 폐쇄성 폐질환, 상세불명",1,1
J4480,"기타 명시된 만성 폐쇄성 폐질환, 경도",,2
J4481,"기타 명시된 만성 폐쇄성 폐질환, 중등도",1,
J4492,"상세불명의 만성 폐쇄성 폐질환, 중증",2,
J4499,"상세불명의 만성 폐쇄성 폐질환, 상세불명",27,10
J4500,기침(이)형천식,4,
J4519,상세불명의 비알레르기천식,,2
J459,상세불명의 천식,3,2
J47,기관지확장증,1,1
J690,음식 또는 구토물에 의한 폐렴,6,4
J698,기타 고체 및 액체에 의한 폐렴,2,2
J80,성인호흡곤란증후군,1,
J841,섬유증을 동반한 기타 간질성 폐질환,1,
J849,상세불명의 간질성 폐질환,1,1
J90,달리 분류되지 않은 흉막삼출액,10,8
J931,기타 자발성 기흉,6,2
J939,상세불명의 기흉,1,1
J9601,"급성 호흡부전, II형[고탄산성]",1,
J9609,"급성 호흡부전, 상세불명형",1,
J9840,고립성 폐결절,,2
J9848,폐의 기타 장애,5,4
K081,"사고, 추출 또는 국한성 치주병에 의한 치아상실",,1
K1120,급성 타액선염,,1
K115,타석증,,1
K123,구강점막염(궤양성),1,
K208,기타 및 상세불명 식도염,,1
K210,식도염을 동반한 위-식도역류병,83,17
K219,식도염을 동반하지 않은 위-식도역류병,1,1
K226,위-식도열상-출혈증후군,6,3
K227,바렛식도,,1
K2500,출혈이 있는 급성 위미란,2,
K2501,출혈이 있는 급성 위궤양,6,2
K2531,출혈 또는 천공이 없는 급성 위궤양,7,4
K2541,출혈이 있는 만성 또는 상세불명 위궤양,1,
K2571,출혈 또는 천공이없는 만성 위궤양,28,8
K2591,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위궤양,13,6
K260,출혈이 있는 급성 십이지장궤양,1,1
K263,출혈 또는 천공이 없는 급성 십이지장궤양,4,
K264,출혈이 있는 만성 또는 상세불명 십이지장궤양,,2
K269,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 십이지장궤양,6,3
K275,천공이 있는 만성 또는 상세불명 부위의 소화성 궤양,1,
K291,기타 급성 위염,20,3
K293,만성 표재성 위염,8,
K294,만성 위축성 위염,15,1
K295,상세불명의 만성 위염,278,103
K296,기타 위염,9,6
K297,상세불명의 위염,105,27
K30,기능성 소화불량,17,8
K311,성인 비대성 유문협착,1,1
K315,십이지장의 폐색,1,
K317,위 및 십이지장의 폴립,39,17
K3181,출혈을 동반한 위 및 십이지장의 혈관형성이상,2,
K352,범복막염을 동반한 급성 충수염,1,
K353,국소복막염을 동반한 급성 충수염,4,2
K358,기타 및 상세불명의 급성 충수염,1,9
K388,충수의 기타 명시된 질환,1,
K4020,"재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 양쪽 사타구니탈장",1,1
K4090,"재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장",28,31
K4091,"재발성, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장",1,
K439,폐색 또는 괴저가 없는 기타 및 상세불명의 복벽탈장,,1
K449,폐색 또는 괴저가 없는 횡격막탈장,1,
K5099,"상세불명의 크론병, 상세불명",,1
K519,상세불명의 궤양성 대장염,3,2
K529,상세불명의 비감염성 위장염 및 결장염,9,2
K559,장의 상세불명의 혈관장애,2,1
K560,마비성 장폐색증,7,3
K562,장염전,1,
K566,기타 및 상세불명의 장폐색,10,7
K567,상세불명의 장폐색증,7,1
K5730,"출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실증",1,
K5732,"출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실염",1,1
K5733,"출혈을 동반한 천공 또는 농양이 없는 대장의 게실병, 게실염",1,
K581,설사 위주의 과민대장증후군 [IBS-D],10,6
K588,기타 및 상세불명 유형의 과민대장 증후군,19,2
K5900,서행성 변비,7,5
K5901,출구기능장애변비,1,
K5909,기타 및 상세불명 변비,39,17
K591,기능성 설사,1,2
K592,달리 분류되지 않은 신경성 장,1,1
K599,상세불명의 기능성 장장애,45,20
K601,만성 항문열창,2,
K602,상세불명의 항문열창,1,1
K603,항문루,4,4
K605,항문직장루,,2
K610,항문농양,4,2
K620,항문폴립,,2
K621,직장폴립,8,4
K623,직장탈출,1,1
K624,항문 및 직장의 협착,2,
K626,항문 및 직장의 궤양,1,1
K628,항문 및 직장의 기타 명시된 질환,7,1
K629,항문 및 직장의 상세불명 질환,3,
K631,장의 천공(비외상성),,1
K635,결장의 폴립,266,100
K639,장의 상세불명 질환,2,
K640,1도 치핵,3,2
K641,2도 치핵,1,
K642,3도 치핵,8,14
K643,4도 치핵,1,
K644,잔류치핵성 쥐젖,1,
K649,상세불명의 치핵,2,
K650,급성 복막염,2,2
K659,상세불명의 복막염,1,1
K668,복막의 기타 명시된 장애,,1
K700,알코올성 지방간,2,
K7010,복수를 동반하지 않은 알코올성 간염,7,4
K7030,복수를 동반하지 않은 알코올성 간경변증,6,1
K7031,복수를 동반한 알코올성 간경변증,1,
K709,상세불명의 알코올성 간질환,4,2
K712,급성 간염을 동반한 독성간질환,,1
K716,달리 분류되지 않은 간염을 동반한 독성간질환,2,2
K719,상세불명의 독성간질환,1,1
K7200,혼수를 동반하지 않은 급성 및 아급성 간부전,2,
K7290,혼수를 동반하지 않은 상세불명의 간부전,4,1
K7291,혼수를 동반한 상세불명의 간부전,1,2
K739,상세불명의 만성 간염,2,
K7419,"간경화증,상세불명",5,
K7464,"간의 기타 및 상세불명의 경변증, 비대상성",,1
K7469,"간의 기타 및 상세불명의 경변증,상세불명",1,2
K750,간의 농양,1,3
K752,비특이성 반응성 간염,3,1
K759,상세불명의 염증성 간질환,3,2
K760,달리 분류되지 않은 지방(변화성)간,5,3
K767,간신증후군,1,
K7688,기타 명시된 간질환,,1
K769,상세불명의 간질환,7,
K8000,폐색의 언급이 없는 급성 담낭염을 동반한 담낭의 결석,2,2
K8001,폐색을 동반한 급성 담낭염을 동반한 담낭의 결석,,1
K8010,폐색의 언급이 없는 기타 담낭염을 동반한 담낭의 결석,9,21
K8020,폐색의 언급이 없는 담낭염이 없는 담낭의 결석,3,2
K8030,폐색의 언급이 없는 담관염을 동반한 담관 결석,3,
K8031,폐색을 동반한 담관염을 동반한 담관 결석,1,
K8050,폐색의 언급이 없는 담관염 또는 담낭염이 없는 담관결석,1,
K8080,폐색의 언급이 없는 기타 담석증,,1
K810,급성 담낭염,18,9
K811,만성 담낭염,6,6
K819,상세불명의 담낭염,2,2
K8280,담낭 또는 담낭관의 폴립,1,1
K830,담관염,1,
K831,담관의 폐색,1,
K838,담도의 기타 명시된 질환,,1
K839,담도의 상세불명의 질환,2,
K8529,"알코올유발 급성 췌장염, 상세불명",,1
K8589,"기타 급성 췌장염, 상세불명",1,
K8591,"상세불명의 급성 췌장염, 중도 중증",,1
K8592,"상세불명의 급성 췌장염, 중증",3,
K8599,"상세불명의 급성 췌장염, 상세불명",1,2
K861,기타 만성 췌장염,1,
K868,췌장의 기타 명시된 질환,1,
K869,췌장의 상세불명의 질환,1,1
K911,위수술후증후군,1,
K913,수술후 장폐색,5,1
K921,흑색변,3,3
K922,상세불명의 위장출혈,9,4
L0240,사지의 피부농양,1,
L0290,상세불명의 피부농양,2,4
L0310,팔의 연조직염,3,4
L0311,다리의 연조직염,11,5
L032,얼굴의 연조직염,2,
L039,상세불명의 연조직염,1,2
L120,수포성 유사천포창,,2
L210,두피지루,4,
L218,기타 지루피부염,18,4
L219,상세불명의 지루피부염,4,
L22,기저귀[냅킨]피부염,1,6
L238,기타 요인에 의한 알레르기성 접촉피부염,2,2
L239,상세불명 원인의 알레르기성 접촉피부염,9,8
L280,만성 단순태선,4,
L298,기타 가려움,91,24
