"진료과","순위","질병코드","상병명","실인원"
"이비인후과","8","L03","연조직염","2"
"이비인후과","9","R50","기타 및 원인미상의 열","1"
"이비인후과","10","D37","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물","1"
"이비인후과","11","S01","머리의 열린상처","1"
"이비인후과","12","J03","급성 편도염","1"
"이비인후과","13","D31","눈 및 부속기의 양성 신생물","1"
"재활의학과","1","G81","편마비","10"
"재활의학과","2","M54","등통증","6"
"재활의학과","3","G82","하반신마비 및 사지마비","6"
"재활의학과","4","G20","파킨슨병","4"
"재활의학과","5","R26","보행과 이동의 이상","3"
"재활의학과","6","M48","기타 척추병증","2"
"재활의학과","7","I63","뇌경색증","2"
"재활의학과","8","M47","척추증","2"
"재활의학과","9","M43","기타 변형성 등병증","2"
"재활의학과","10","M19","기타 관절증","1"
"재활의학과","11","Z89","후천성 사지결여","1"
"재활의학과","12","S22","늑골, 흉골 및 흉추의 골절","1"
"재활의학과","13","D42","수막의 행동양식 불명 또는 미상의 신생물","1"
"재활의학과","14","M75","어깨병변","1"
"재활의학과","15","G55","달리 분류된 질환에서의 신경근 및 신경총 압박","1"
"재활의학과","16","S06","두개내손상","1"
"재활의학과","17","I62","기타 비외상성 두개내출혈","1"
"재활의학과","18","T93","다리손상의 후유증","1"
"재활의학과","19","M50","경추간판장애","1"
"재활의학과","20","M25","달리 분류되지 않은 기타 관절장애","1"
"치과","1","K08","치아 및 지지구조의 기타 장애","79"
"치과","2","K04","치수 및 근단주위조직의 질환","3"
"치과","3","L03","연조직염","2"
"치과","4","K02","치아우식","2"
"치과","5","K05","치은염 및 치주질환","2"
"치과","6","E11","인슐린-비의존 당뇨병","1"
"치과","7","K12","구내염 및 관련 병변","1"
"신경외과","1","M48","기타 척추병증","41"
"신경외과","2","M96","달리 분류되지 않은 처치후 근골격장애","22"
"신경외과","3","I67","기타 뇌혈관질환","14"
"신경외과","4","S22","늑골, 흉골 및 흉추의 골절","8"
"신경외과","5","M54","등통증","7"
"신경외과","6","S32","요추 및 골반의 골절","7"
"신경외과","7","I69","뇌혈관질환의 후유증","7"
"신경외과","8","M50","경추간판장애","7"
"신경외과","9","M51","기타 추간판장애","4"
"신경외과","10","S33","요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장","4"
"신경외과","11","S06","두개내손상","3"
"신경외과","12","M47","척추증","3"
"신경외과","13","G55","달리 분류된 질환에서의 신경근 및 신경총 압박","3"
"신경외과","14","T91","목 및 몸통 손상의 후유증","3"
"신경외과","15","G06","두개내 및 척추내 농양 및 육아종","2"
"신경외과","16","M46","기타 염증성 척추병증","1"
"신경외과","17","R42","어지럼증 및 어지럼","1"
"신경외과","18","G44","기타 두통증후군","1"
"신경외과","19","G54","신경근 및 신경총 장애","1"
"신경외과","20","M79","달리 분류되지 않은 기타 연조직장애","1"
"외과","1","K40","사타구니탈장","11"
"외과","2","D17","양성 지방종성 신생물","11"
"외과","3","K64","치핵 및 항문주위정맥혈전증","7"
"외과","4","L72","피부 및 피하조직의 모낭낭","7"
"외과","5","K60","항문 및 직장부의 열창 및 누공","4"
"외과","6","L89","욕창궤양 및 압박부위","3"
"외과","7","R22","피부 및 피하조직의 국소적 부기, 종괴 및 덩이","3"
"외과","8","K62","항문 및 직장의 기타 질환","3"
"외과","9","L02","피부의 농양, 종기 및 큰종기","2"
"외과","10","K43","복벽탈장","2"
"외과","11","C18","결장의 악성 신생물","2"
"외과","12","D21","결합조직 및 기타 연조직의 기타 양성 신생물","2"
"외과","13","K80","담석증","2"
"외과","14","S86","아래다리 부위의 근육 및 힘줄의 손상","1"
"외과","15","L98","달리 분류되지 않은 피부 및 피하조직의 기타 장애","1"
"외과","16","D37","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물","1"
"외과","17","T25","발목 및 발의 화상 및 부식","1"
"외과","18","C19","직장구불결장접합부의 악성 신생물","1"
"외과","19","B07","바이러스사마귀","1"
"외과","20","K57","장의 게실병","1"
"비뇨의학과","1","N31","달리 분류되지 않은 방광의 신경근육기능장애","93"
"비뇨의학과","2","N40","전립선증식증","79"
"비뇨의학과","3","C67","방광의 악성 신생물","36"
"비뇨의학과","4","C61","전립선의 악성 신생물","30"
"비뇨의학과","5","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","19"
"비뇨의학과","6","N30","방광염","14"
"비뇨의학과","7","N45","고환염 및 부고환염","5"
"비뇨의학과","8","N21","하부요로의 결석","4"
"비뇨의학과","9","N43","음낭수종 및 정액류","3"
"비뇨의학과","10","C66","요관의 악성 신생물","3"
"비뇨의학과","11","D09","기타 및 상세불명 부위의 제자리암종","2"
"비뇨의학과","12","R31","상세불명의 혈뇨","2"
"비뇨의학과","13","J18","상세불명 병원체의 폐렴","2"
"비뇨의학과","14","I25","만성 허혈심장병","1"
"비뇨의학과","15","N20","신장 및 요관의 결석","1"
"비뇨의학과","16","C34","기관지 및 폐의 악성 신생물","1"
"비뇨의학과","17","I50","심부전","1"
"비뇨의학과","18","B02","대상포진","1"
"비뇨의학과","19","N10","급성 세뇨관-간질신장염","1"
"비뇨의학과","20","C22","간 및 간내 담관의 악성 신생물","1"
"정형외과","1","M48","기타 척추병증","92"
"정형외과","2","M17","무릎관절증","65"
"정형외과","3","M19","기타 관절증","46"
"정형외과","4","M75","어깨병변","45"
"정형외과","5","S32","요추 및 골반의 골절","7"
"정형외과","6","Z47","기타 정형외과적 추적치료","6"
"정형외과","7","G90","자율신경계통의 장애","5"
"정형외과","8","M96","달리 분류되지 않은 처치후 근골격장애","5"
"정형외과","9","T93","다리손상의 후유증","5"
"정형외과","10","S42","어깨 및 위팔의 골절","5"
"정형외과","11","M00","화농성 관절염","4"
"정형외과","12","S72","대퇴골의 골절","4"
"정형외과","13","S82","발목을 포함한 아래다리의 골절","4"
"정형외과","14","S52","아래팔의 골절","3"
"정형외과","15","M20","손가락 및 발가락의 후천변형","3"
"정형외과","16","M87","골괴사","3"
"정형외과","17","M77","기타 골부착부병증","3"
"정형외과","18","G56","팔의 단일신경병증","2"
"정형외과","19","T84","내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증","2"
"정형외과","20","S86","아래다리 부위의 근육 및 힘줄의 손상","2"
