진료과,순위,질병코드,주진단명,실인원
호흡기내과,18,J69,고체 및 액체에 의한 폐렴,1
호흡기내과,19,K25,위궤양,1
호흡기내과,20,K31,위 및 십이지장의 기타 질환,1
내분비내과,1,E11,2형 당뇨병,34
내분비내과,2,E10,1형 당뇨병,1
내분비내과,3,K52,기타 비감염성 위장염 및 결장염,1
내분비내과,4,K80,담석증,1
내분비내과,5,N10,급성 세뇨관-간질신장염,1
내분비내과,6,N15,기타 신세뇨관-간질질환,1
내분비내과,7,N18,만성 신장병,1
내분비내과,8,R06,호흡의 이상,1
내분비내과,9,R50,기타 및 원인미상의 열,1
류마티스내과,1,U07,U07의 응급사용,114
류마티스내과,2,E11,2형 당뇨병,29
류마티스내과,3,J18,상세불명 병원체의 폐렴,8
류마티스내과,4,M05,혈청검사양성 류마티스관절염,5
류마티스내과,5,E87,"수분, 전해질 및 산-염기균형의 기타 장애",2
류마티스내과,6,A41,기타 패혈증,1
류마티스내과,7,E14,상세불명의 당뇨병,1
류마티스내과,8,K80,담석증,1
류마티스내과,9,M10,통풍,1
류마티스내과,10,M15,다발관절증,1
류마티스내과,11,M35,결합조직의 기타 전신침범,1
류마티스내과,12,M45,강직척추염,1
류마티스내과,13,M54,등통증,1
류마티스내과,14,N17,급성 신부전,1
류마티스내과,15,R06,호흡의 이상,1
신장내과,1,N18,만성 신장병,16
신장내과,2,N17,급성 신부전,9
신장내과,3,E11,2형 당뇨병,8
신장내과,4,N10,급성 세뇨관-간질신장염,5
신장내과,5,N39,비뇨계통의 기타 장애,3
신장내과,6,E87,"수분, 전해질 및 산-염기균형의 기타 장애",2
신장내과,7,C34,기관지 및 폐의 악성 신생물,1
신장내과,8,J69,고체 및 액체에 의한 폐렴,1
신장내과,9,J90,달리 분류되지 않은 흉막삼출액,1
신장내과,10,K29,위염 및 십이지장염,1
신장내과,11,N12,급성 또는 만성으로 명시되지 않은 세뇨관-간질신장염,1
신장내과,12,R50,기타 및 원인미상의 열,1
신장내과,13,R60,달리 분류되지 않은 부종,1
혈액종양내과,1,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,144
혈액종양내과,2,E11,2형 당뇨병,51
혈액종양내과,3,C34,기관지 및 폐의 악성 신생물,11
혈액종양내과,4,C16,위의 악성 신생물,6
혈액종양내과,5,J18,상세불명 병원체의 폐렴,5
혈액종양내과,6,C15,식도의 악성 신생물,3
혈액종양내과,7,C67,방광의 악성 신생물,3
혈액종양내과,8,D50,철결핍빈혈,3
혈액종양내과,9,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,2
혈액종양내과,10,A41,기타 패혈증,2
혈액종양내과,11,C19,직장구불결장접합부의 악성 신생물,2
혈액종양내과,12,C20,직장의 악성 신생물,2
혈액종양내과,13,C37,흉선의 악성 신생물,2
혈액종양내과,14,C38,"심장, 종격 및 흉막의 악성 신생물",2
혈액종양내과,15,C85,기타 및 상세불명 유형의 비호지킨림프종,2
혈액종양내과,16,C90,다발골수종 및 악성 형질세포신생물,2
혈액종양내과,17,G60,유전성 및 특발성 신경병증,2
혈액종양내과,18,K72,달리 분류되지 않은 간부전,2
혈액종양내과,19,N10,급성 세뇨관-간질신장염,2
혈액종양내과,20,A02,기타 살모넬라감염,1
소아청소년과,1,U07,U07의 응급사용,161
신경과,3,I63,뇌경색증,74
신경과,2,R42,어지럼증 및 어지럼,48
신경과,3,I69,뇌혈관질환의 후유증,26
신경과,4,G45,일과성 뇌허혈발작 및 관련 증후군,6
신경과,5,R51,두통,6
신경과,6,G20,파킨슨병,3
신경과,7,G40,뇌전증,3
신경과,8,R55,실신 및 허탈,3
신경과,9,I65,뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,2
신경과,10,E51,티아민결핍,1
신경과,11,G22,달리 분류된 질환에서의 파킨슨증,1
신경과,12,G51,안면신경장애,1
신경과,13,H51,양안운동의 기타 장애,1
신경과,14,I67,기타 뇌혈관질환,1
신경과,15,J18,상세불명 병원체의 폐렴,1
재활의학과,1,M54,등통증,33
재활의학과,2,M51,기타 추간판장애,17
재활의학과,3,G81,편마비,12
재활의학과,4,M75,어깨병변,5
재활의학과,5,G54,신경근 및 신경총 장애,4
재활의학과,6,G63,달리 분류된 질환에서의 다발신경병증,4
재활의학과,7,G82,하반신마비 및 사지마비,4
재활의학과,8,I69,뇌혈관질환의 후유증,4
재활의학과,9,G62,기타 다발신경병증,3
재활의학과,10,M96,달리 분류되지 않은 처치후 근골격장애,3
재활의학과,11,M17,무릎관절증,2
재활의학과,12,M24,기타 특정 관절장애,2
재활의학과,13,M48,기타 척추병증,2
재활의학과,14,Z50,재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,2
재활의학과,15,G83,기타 마비증후군,1
재활의학과,16,M13,기타 관절염,1
재활의학과,17,M79,달리 분류되지 않은 기타 연조직장애,1
재활의학과,18,S34,"복부, 아래등 및 골반 부위의 신경 및 허리척수의 손상",1
가정의학과,1,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,22
가정의학과,2,I69,뇌혈관질환의 후유증,5
가정의학과,3,G82,하반신마비 및 사지마비,4
가정의학과,4,C56,난소의 악성 신생물,3
가정의학과,5,G81,편마비,3
가정의학과,6,C16,위의 악성 신생물,2
가정의학과,7,C22,간 및 간내 담관의 악성 신생물,2
가정의학과,8,C34,기관지 및 폐의 악성 신생물,2
가정의학과,9,E86,용적고갈,2
가정의학과,10,N39,비뇨계통의 기타 장애,2
가정의학과,11,C20,직장의 악성 신생물,1
가정의학과,12,C23,담낭의 악성 신생물,1
가정의학과,13,E11,2형 당뇨병,1
가정의학과,14,F06,"뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애",1
가정의학과,15,G63,달리 분류된 질환에서의 다발신경병증,1
가정의학과,16,I10,본태성(원발성) 고혈압,1
가정의학과,17,I63,뇌경색증,1
가정의학과,18,M05,혈청검사양성 류마티스관절염,1
가정의학과,19,M48,기타 척추병증,1
가정의학과,20,N18,만성 신장병,1
외과,1,N18,만성 신장병,61
외과,2,K40,사타구니탈장,60
외과,3,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,58
외과,4,I83,하지의 정맥류,48
외과,5,K80,담석증,34
외과,6,K81,담낭염,23
외과,7,K64,치핵 및 항문주위정맥혈전증,22
외과,8,K56,탈장이 없는 마비성 장폐색증 및 장폐색,18
외과,9,S22,"늑골, 흉골 및 흉추의 골절",18
외과,10,C18,결장의 악성 신생물,16
외과,11,I70,죽상경화증,16
외과,12,K35,급성 충수염,16
외과,13,C16,위의 악성 신생물,15
외과,14,K62,항문 및 직장의 기타 질환,13
외과,15,K60,항문 및 직장부의 열창 및 누공,11
외과,16,C20,직장의 악성 신생물,9
외과,17,L03,연조직염,7
외과,18,L89,욕창궤양 및 압박부위,7
외과,19,K61,항문 및 직장부의 농양,6
외과,20,L02,"피부의 농양, 종기 및 큰종기",5
정형외과,1,M48,기타 척추병증,654
정형외과,2,M17,무릎관절증,132
정형외과,3,M75,어깨병변,122
정형외과,4,M51,기타 추간판장애,121
정형외과,5,M96,달리 분류되지 않은 처치후 근골격장애,93
정형외과,6,M43,기타 변형성 등병증,87
정형외과,7,S32,요추 및 골반의 골절,63
정형외과,8,S72,대퇴골의 골절,33
정형외과,9,S22,"늑골, 흉골 및 흉추의 골절",32
정형외과,10,Z47,기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,26
정형외과,11,M23,무릎의 내부장애,20
정형외과,12,S52,아래팔의 골절,20
정형외과,13,M87,골괴사,18
정형외과,14,S82,발목을 포함한 아래다리의 골절,17
정형외과,15,M84,골연속성의 장애,16
정형외과,16,L03,연조직염,13
정형외과,17,S62,손목 및 손부위의 골절,13
정형외과,18,S42,어깨 및 위팔의 골절,12
정형외과,19,G56,팔의 단일신경병증,8
정형외과,20,M67,윤활막 및 힘줄의 기타 장애,8
신경외과,1,S06,두개내손상,19
신경외과,2,I61,뇌내출혈,16
신경외과,3,I67,기타 뇌혈관질환,16
신경외과,4,M48,기타 척추병증,16
신경외과,5,I69,뇌혈관질환의 후유증,6
신경외과,6,T90,머리손상의 후유증,5
신경외과,7,G95,척수의 기타 질환,3
신경외과,8,M96,달리 분류되지 않은 처치후 근골격장애,3
신경외과,9,S22,"늑골, 흉골 및 흉추의 골절",3
신경외과,10,I62,기타 비외상성 두개내출혈,2
신경외과,11,I65,뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,2
신경외과,12,M51,기타 추간판장애,2
신경외과,13,M54,등통증,2
신경외과,14,s13,"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",2
신경외과,15,S14,목부위의 신경 및 척수의 손상,2
신경외과,16,S32,요추 및 골반의 골절,2
신경외과,17,D17,양성 지방종성 신생물,1
신경외과,18,D42,수막의 행동양식 불명 또는 미상의 신생물,1
신경외과,19,I63,뇌경색증,1
신경외과,20,K75,기타 염증성 간질환,1
안과,1,H25,노년백내장,207
이비인후과,1,J32,만성 부비동염,8
이비인후과,2,J34,코 및 비동의 기타 장애,7
이비인후과,3,J38,달리 분류되지 않은 성대 및 후두의 질환,4
이비인후과,4,J36,편도주위농양,3
이비인후과,5,R04,기도출혈,3
이비인후과,6,H91,기타 청력소실,2
이비인후과,7,J03,급성 편도염,2
이비인후과,8,J35,편도 및 아데노이드의 만성 질환,2
이비인후과,9,K11,침샘의 질환,2
이비인후과,10,A42,방선균증,1
이비인후과,11,D10,입 및 인두의 양성 신생물,1
이비인후과,12,H90,전음성 및 감각신경성 청력소실,1
이비인후과,13,I88,비특이성 림프절염,1
이비인후과,14,R59,림프절비대,1
비뇨의학과,1,N40,전립선증식증,40
비뇨의학과,2,C61,전립선의 악성 신생물,21
비뇨의학과,3,D09,기타 및 상세불명 부위의 제자리암종,2
비뇨의학과,4,D30,비뇨기관의 양성 신생물,1
비뇨의학과,5,N10,급성 세뇨관-간질신장염,1
비뇨의학과,6,N31,달리 분류되지 않은 방광의 신경근육기능장애,1
비뇨의학과,7,N41,전립선의 염증성 질환,1
비뇨의학과,8,N45,고환염 및 부고환염,1
