상병코드,상병명,방문비율
M48, 기타 척추병증 ,50.331491712707184
C61,전립선의 악성 신생물,50.23076923076923
M96, 달리 분류되지 않은 처치후 근골격장애 ,49.46666666666667
M96, 달리 분류되지 않은 처치후 근골격장애 ,49.46666666666667
I63, 뇌경색증 ,49.351351351351354
I63, 뇌경색증 ,49.351351351351354
N18, 만성 신장병 ,49.33870967741935
N18, 만성 신장병 ,49.33870967741935
M75, 어깨병변 ,49.043956043956044
M75, 어깨병변 ,49.043956043956044
M48, 기타 척추병증 ,48.359550561797754
M48, 기타 척추병증 ,48.359550561797754
E11, 2형 당뇨병 ,47.94396551724138
E11, 2형 당뇨병 ,47.94396551724138
J44, 기타 만성 폐쇄성 폐질환 ,47.87096774193548
J44, 기타 만성 폐쇄성 폐질환 ,47.87096774193548
M51, 기타 추간판장애 ,47.61142857142857
M51, 기타 추간판장애 ,47.61142857142857
E11, 2형 당뇨병 ,47.02252252252252
E11, 2형 당뇨병 ,47.02252252252252
M48, 기타 척추병증 ,46.87162162162162
M48, 기타 척추병증 ,46.87162162162162
E11, 2형 당뇨병 ,45.4
E11, 2형 당뇨병 ,45.4
I50, 심부전 ,45.1044776119403
I50, 심부전 ,45.1044776119403
M17, 무릎관절증 ,44.89380530973451
M17, 무릎관절증 ,44.89380530973451
M50, 경추간판장애 ,44.6764705882353
M51, 기타 추간판장애 ,44.63934426229508
M51, 기타 추간판장애 ,44.63934426229508
G81, 편마비 ,44.08695652173913
E11,2형 당뇨병,43.23737373737374
E11,2형 당뇨병,43.23737373737374
M75, 어깨병변 ,43.03703703703704
M75, 어깨병변 ,43.03703703703704
M17,윤충증,42.86440677966102
M17, 무릎관절증 ,42.80281690140845
M17, 무릎관절증 ,42.80281690140845
M75, 어깨병변 ,40.390243902439025
M75, 어깨병변 ,40.390243902439025
M17, 무릎관절증 ,40.333333333333336
M17, 무릎관절증 ,40.333333333333336
N18, 만성 신장병 ,39.97872340425532
I63, 뇌경색증 ,39.47161572052402
I63, 뇌경색증 ,39.47161572052402
M51, 기타 추간판장애 ,39.41438356164384
M51, 기타 추간판장애 ,39.41438356164384
I63,뇌경색증,39.07380073800738
I63,뇌경색증,39.07380073800738
I63, 뇌경색증 ,38.96707818930041
I63, 뇌경색증 ,38.96707818930041
M48, 기타 척추병증 ,38.08627450980392
M48, 기타 척추병증 ,38.08627450980392
M51, 기타 추간판장애 ,37.82165605095541
M51, 기타 추간판장애 ,37.82165605095541
M50, 목뼈원판 장애 ,36.8
M51,기타 추간판장애,36.65079365079365
M51,기타 추간판장애,36.65079365079365
M17, 윤충증 ,35.8125
M17, 윤충증 ,35.8125
M17, 무릎관절증 ,35.10179640718563
M17, 무릎관절증 ,35.10179640718563
M19, 기타관절증 ,34.5
M19, 기타관절증 ,34.5
M17,무릎관절증,34.350746268656714
M17,무릎관절증,34.350746268656714
M17, 무릎관절증 ,34.31543624161074
M17, 무릎관절증 ,34.31543624161074
M54,   등통증   ,34.25
C61, 전립선의 악성 신생물 ,33.766666666666666
C61, 전립선의 악성 신생물 ,33.766666666666666
C34, 기관지 및 폐의 악성 신생물 ,33.7536231884058
C34, 기관지 및 폐의 악성 신생물 ,33.7536231884058
M48,기타 척추병증,33.685344827586206
M48,기타 척추병증,33.685344827586206
E11, 2형 당뇨병 ,33.628571428571426
E11, 2형 당뇨병 ,33.628571428571426
C16, 위의 악성 신생물 ,33.455555555555556
C16, 위의 악성 신생물 ,33.455555555555556
C34, 기관지 및 폐의 악성 신생물 ,33.32258064516129
C34, 기관지 및 폐의 악성 신생물 ,33.32258064516129
C22, 간 및 간내 담관의 악성 신생물 ,33.0
C22, 간 및 간내 담관의 악성 신생물 ,33.0
I50, Right heart failure ,31.79144385026738
I50, Right heart failure ,31.79144385026738
M17, 무릎관절증 ,31.707792207792206
M17, 무릎관절증 ,31.707792207792206
C61, 전립선의 악성 신생물 ,31.41176470588235
C61, 전립선의 악성 신생물 ,31.41176470588235
N18," Chronic kidney disease, stage 1 ",31.406779661016948
N18," Chronic kidney disease, stage 1 ",31.406779661016948
G81, 편마비 ,31.11111111111111
G81, 편마비 ,31.11111111111111
M51, 기타 추간판장애 ,30.882978723404257
M51, 기타 추간판장애 ,30.882978723404257
M17,윤충증,30.80536912751678
M17,윤충증,30.80536912751678
C34, 기관지 및 폐의 악성 신생물 ,29.767123287671232
C34, 기관지 및 폐의 악성 신생물 ,29.767123287671232
M51, 기타 추간판장애 ,29.714285714285715
C16, 위의 악성 신생물 ,29.59550561797753
C16, 위의 악성 신생물 ,29.59550561797753
K81, 담낭염 ,29.492753623188406
K81, 담낭염 ,29.492753623188406
M17, 윤충증 ,29.491525423728813
M54,배통,29.428571428571427
M54,배통,29.428571428571427
M54, 등통증 ,29.296296296296298
M17,윤충증,29.203389830508474
C34,   기관지 및 폐의 악성 신생물   ,28.675
M75,어깨병변,28.41592920353982
M75,어깨병변,28.41592920353982
C34, 기관지 및 폐의 악성 신생물 ,28.31645569620253
C34, 기관지 및 폐의 악성 신생물 ,28.31645569620253
M17,  무릎관절증  ,28.27956989247312
M17,   무릎관절증   ,28.27956989247312
I63,뇌경색증,28.153846153846153
I63,뇌경색증,28.153846153846153
I63, 뇌경색증 ,28.095238095238095
I63, 뇌경색증 ,28.095238095238095
M17, 윤충증 ,27.9672131147541
M17, 윤충증 ,27.9672131147541
C34, 기관지 및 폐의 악성 신생물 ,27.647727272727273
C34, 기관지 및 폐의 악성 신생물 ,27.647727272727273
C25, 췌장의 악성신생물 ,27.526315789473685
C25, 췌장의 악성신생물 ,27.526315789473685
Z51, 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ,27.521052631578947
Z51, 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ,27.521052631578947
C34,기관지 및 폐의 악성 신생물,27.38053097345133
C34,기관지 및 폐의 악성 신생물,27.38053097345133
M51, 기타 추간판장애 ,27.316239316239315
M51, 기타 추간판장애 ,27.316239316239315
N18, 만성 콩팥(신장)기능상실 ,27.080459770114942
N18, 만성 콩팥(신장)기능상실 ,27.080459770114942
M75, 어깨병변 ,27.017543859649123
J44, 기타 만성 폐쇄성 폐질환 ,26.867924528301888
J44, 기타 만성 폐쇄성 폐질환 ,26.867924528301888
E11, non-insulin-dependent diabetes mellitus with coma ,26.781954887218046
C16, 위의 악성 신생물 ,26.732558139534884
C16, 위의 악성 신생물 ,26.732558139534884
M75, 어깨병변 ,26.67391304347826
M75, 어깨병변 ,26.67391304347826
E14, 상세불명의 당뇨병 ,26.0
E14, 상세불명의 당뇨병 ,26.0
C18, 결장의 악성 신생물 ,25.967391304347824
C18, 결장의 악성 신생물 ,25.967391304347824
C22, 간 및 간내담관의 악성 신생물 ,25.712
C22, 간 및 간내담관의 악성 신생물 ,25.712
C18, 결장의 악성 신생물 ,25.392857142857142
C18, 결장의 악성 신생물 ,25.392857142857142
C34, lung cancer of hilus ,25.137614678899084
C34, lung cancer of hilus ,25.137614678899084
C22,간 및 간내담관의 악성 신생물,24.989583333333332
C22,간 및 간내담관의 악성 신생물,24.989583333333332
N18," Chronic kidney disease, stage 1 ",24.970588235294116
N18," Chronic kidney disease, stage 1 ",24.970588235294116
M75,어깨병변,24.925531914893618
M75,어깨병변,24.925531914893618
C16,위의 악성 신생물,24.825
C16,위의 악성 신생물,24.825
Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,24.770334928229666
Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,24.770334928229666
I63, 뇌경색증 ,24.625
I63, 뇌경색증 ,24.625
M54, 배통 ,24.272727272727273
M54, 배통 ,24.272727272727273
G95, 척수의 기타질환 ,23.875
G95, 척수의 기타질환 ,23.875
J45, 천식 ,23.869565217391305
J45, 천식 ,23.869565217391305
M17, 윤충증 ,23.7
M17, 윤충증 ,23.7
I63,   뇌경색증   ,23.523809523809526
I63,  뇌경색증  ,23.523809523809526
M19," 연기, 불 및 화염에 노출 ",23.5
M19," 연기, 불 및 화염에 노출 ",23.5
M17," Osteoarthritis of patellofemoral joint, both ",23.48230088495575
M17," Osteoarthritis of patellofemoral joint, both ",23.48230088495575
M75,어깨병변,23.283783783783782
M75,어깨병변,23.283783783783782
M51,기타 추간판장애,23.19148936170213
M51,기타 추간판장애,23.19148936170213
K81, 담낭염 ,23.027027027027028
M75, 어깨병변 ,22.96808510638298
M75, 어깨병변 ,22.96808510638298
M48, 기타 척추병증 ,22.79656160458453
M48, 기타 척추병증 ,22.79656160458453
C16, 위의 악성 신생물 ,22.61904761904762
C16, 위의 악성 신생물 ,22.61904761904762
Z51, 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ,22.466101694915253
Z51, 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ,22.466101694915253
I10, 본태성(일차성)고혈압 ,21.875
C16, 위의 악성 신생물 ,21.699029126213592
C16, 위의 악성 신생물 ,21.699029126213592
M17," Osteoarthritis of patellofemoral joint, both ",21.520169851380043
M17," Osteoarthritis of patellofemoral joint, both ",21.520169851380043
M75, 어깨병변 ,21.41860465116279
M75, 어깨병변 ,21.41860465116279
C67, 방광의 악성 신생물 ,21.305555555555557
C67, 방광의 악성 신생물 ,21.305555555555557
C25, 췌장의 악성신생물 ,21.25
C25, 췌장의 악성신생물 ,21.25
C22, 간 및 간내담관의 악성 신생물 ,20.71604938271605
C22, 간 및 간내담관의 악성 신생물 ,20.71604938271605
M17," Osteoarthritis of patellofemoral joint, both ",20.47887323943662
M17," Osteoarthritis of patellofemoral joint, both ",20.47887323943662
C61, 전립선의 악성 신생물 ,20.41269841269841
I10, 본태성(일차성)고혈압 ,20.31578947368421
I10, 본태성(일차성)고혈압 ,20.31578947368421
M75,  어깨병변  ,20.25
M75,   어깨병변   ,20.25
I50, Right heart failure ,19.981949458483754
I50, Right heart failure ,19.981949458483754
I63, 뇌경색증 ,19.88235294117647
I63, 뇌경색증 ,19.88235294117647
I50, Right heart failure ,19.860335195530727
I50, Right heart failure ,19.860335195530727
M75, 어깨병변 ,19.630434782608695
M75, 어깨병변 ,19.630434782608695
E11,인슐린-비의존 당뇨병,19.52777777777778
E11,인슐린-비의존 당뇨병,19.52777777777778
C67,방광의 악성 신생물,19.514285714285716
C67,방광의 악성 신생물,19.514285714285716
E11, 2형 당뇨병 ,19.446351931330472
E11, 2형 당뇨병 ,19.446351931330472
C16, 위의 악성 신생물 ,19.262626262626263
C16, 위의 악성 신생물 ,19.262626262626263
C16, Malignant neoplasm of cardia of stomach ,19.12154696132597
C16, Malignant neoplasm of cardia of stomach ,19.12154696132597
E11,인슐린-비의존 당뇨병,18.927835051546392
E11,인슐린-비의존 당뇨병,18.927835051546392
E11, non0insulin0dependent diabetes mellitus with coma ,18.92528735632184
C34, lung cancer of hilus ,18.898809523809526
C34, lung cancer of hilus ,18.898809523809526
C16, Malignant neoplasm of cardia of stomach ,18.704918032786885
C16, Malignant neoplasm of cardia of stomach ,18.704918032786885
M96, 달리 분류되지 않은 처치후 근육골격 장애 ,18.59259259259259
M96, 달리 분류되지 않은 처치후 근육골격 장애 ,18.59259259259259
E11,  2형 당뇨병  ,18.526315789473685
E11,   2형 당뇨병   ,18.526315789473685
J44, 기타 만성 폐쇄성 폐질환 ,18.5
J44, 기타 만성 폐쇄성 폐질환 ,18.5
E11, non-insulin-dependent diabetes mellitus with coma ,18.371681415929203
E11, non-insulin-dependent diabetes mellitus with coma ,18.371681415929203
M48, 기타 척추병증 ,18.284738041002278
M48, 기타 척추병증 ,18.284738041002278
K29, 위염 및 십이지장염 ,18.205882352941178
K80,   담석증   ,18.166666666666668
K29, 위염 및 십이지장염 ,18.036036036036037
M48,기타 척추병증,17.908629441624367
M48,기타 척추병증,17.908629441624367
C34, 기관지 및 폐의 악성 신생물 ,17.9
C34, 기관지 및 폐의 악성 신생물 ,17.9
C18,결장의 악성 신생물,17.725806451612904
C18,결장의 악성 신생물,17.725806451612904
K29, 위염 및 십이지장염 ,17.476190476190474
C34, lung cancer of hilus ,17.434782608695652
C34, lung cancer of hilus ,17.434782608695652
C61, 전립선의 악성 신생물 ,17.08888888888889
C61, 전립선의 악성 신생물 ,17.08888888888889
K80,담석증,16.972727272727273
K80,담석증,16.972727272727273
N18," Chronic kidney disease, stage 1 ",16.901477832512317
N18," Chronic kidney disease, stage 1 ",16.901477832512317
I48,심방세동 및 조동,16.789473684210527
I48,심방세동 및 조동,16.789473684210527
I63, cerebral infarction due to thrombosis of precerebral arteries ,16.75619834710744
I63, cerebral infarction due to thrombosis of precerebral arteries ,16.75619834710744
K80, 담석증 ,16.75
K80, 담석증 ,16.75
C16,   위의 악성 신생물   ,16.428571428571427
C16,  위의 악성 신생물  ,16.428571428571427
I48, 심방세동 및 조동 ,16.394160583941606
I48, 심방세동 및 조동 ,16.394160583941606
E11, 인슐린-비의존 당뇨병 ,16.291666666666668
E11, 인슐린-비의존 당뇨병 ,16.291666666666668
E11, 인슐린-비의존 당뇨병 ,16.266304347826086
E11, 인슐린-비의존 당뇨병 ,16.266304347826086
I63, cerebral infarction due to thrombosis of precerebral arteries ,16.140243902439025
I63, cerebral infarction due to thrombosis of precerebral arteries ,16.140243902439025
M48, spinal stenosis ,16.070063694267517
M48, spinal stenosis ,16.070063694267517
C61, 전립선의 악성 신생물 ,16.015873015873016
C61, 전립선의 악성 신생물 ,16.015873015873016
N18,   만성 신장병   ,15.706349206349206
N18,  만성 신장병  ,15.706349206349206
M96, 달리 분류되지 않은 처치후 근골격장애 ,15.684684684684685
M96, 달리 분류되지 않은 처치후 근골격장애 ,15.684684684684685
M48, spinal stenosis ,15.517133956386292
M48, spinal stenosis ,15.517133956386292
E11, 인슐린-비의존 당뇨병 ,15.428571428571429
E11, 인슐린-비의존 당뇨병 ,15.428571428571429
I50, 심부전 ,15.322751322751323
I50, 심부전 ,15.322751322751323
C67, 방광의 악성 신생물 ,15.268292682926829
C67, 방광의 악성 신생물 ,15.268292682926829
M51,기타 추간판장애,14.807692307692308
M51,기타 추간판장애,14.807692307692308
C61, Acinar Prostate Adenocarcinoma ,14.781818181818181
C61, Acinar Prostate Adenocarcinoma ,14.781818181818181
C67, 방광의 악성 신생물 ,14.386138613861386
I70, 죽상경화증 ,14.163636363636364
I70, 죽상경화증 ,14.163636363636364
M75, periarthritis of shoulder ,14.151515151515152
M75, periarthritis of shoulder ,14.151515151515152
M48, 기타 척추병증 ,14.101449275362318
M48, 기타 척추병증 ,14.101449275362318
M96,   달리 분류되지 않은 처치후 근골격장애   ,14.0
M96,  달리 분류되지 않은 처치후 근골격장애  ,14.0
C16, Malignant neoplasm of cardia of stomach ,13.983695652173912
K80, 담석증 ,13.9438202247191
M51, 기타 추간판장애 ,13.912408759124087
M51, 기타 추간판장애 ,13.912408759124087
I50, 심부전 ,13.871134020618557
I50, 심부전 ,13.871134020618557
M48, spinal stenosis ,13.791237113402062
M48, spinal stenosis ,13.791237113402062
M75, periarthritis of shoulder ,13.688976377952756
M75, periarthritis of shoulder ,13.688976377952756
C61, Acinar Prostate Adenocarcinoma ,13.462837837837839
C61, Acinar Prostate Adenocarcinoma ,13.462837837837839
C61, Acinar Prostate Adenocarcinoma ,13.450381679389313
C61, Acinar Prostate Adenocarcinoma ,13.450381679389313
I48, 심방세동 및 조동 ,13.264150943396226
C61,전립선의 악성 신생물,13.255474452554745
C61,전립선의 악성 신생물,13.255474452554745
M48, 기타 척추병증 ,13.112903225806452
M48, 기타 척추병증 ,13.112903225806452
M75, periarthritis of shoulder ,13.030042918454935
M75, periarthritis of shoulder ,13.030042918454935
Z51, therapeutic radiology ,12.915094339622641
Z51, therapeutic radiology ,12.915094339622641
I48, 심방세동 및 조동 ,12.875912408759124
I48, 심방세동 및 조동 ,12.875912408759124
I63, cerebral infarction due to thrombosis of precerebral arteries ,12.871794871794872
I63, cerebral infarction due to thrombosis of precerebral arteries ,12.871794871794872
I50, 심부전 ,12.61111111111111
I50, 심부전 ,12.61111111111111
E11, 인슐린-비의존 당뇨병 ,12.444444444444445
C22, Ruptured hepatocellular carcinoma ,12.053811659192824
Z51, therapeutic radiology ,11.98414985590778
Z51, therapeutic radiology ,11.98414985590778
K80, gallstone(impacted) of cystic duct ,11.941964285714286
K80, gallstone(impacted) of cystic duct ,11.941964285714286
Z51, therapeutic radiology ,11.909722222222221
Z51, therapeutic radiology ,11.909722222222221
I25, Atherosclerotic cardiovascular disease ,11.580327868852459
I25, Atherosclerotic cardiovascular disease ,11.580327868852459
C22, Ruptured hepatocellular carcinoma ,11.473118279569892
C22, Combined hepatocellular carcinoma and cholangiocarcinoma ,11.420634920634921
C22, Combined hepatocellular carcinoma and cholangiocarcinoma ,11.420634920634921
C18,  결장의 악성 신생물  ,11.32876712328767
M48, 기타 척추병증 ,10.653237410071942
M48, 기타 척추병증 ,10.653237410071942
I20, 협심증 ,10.581847649918963
I20, 협심증 ,10.581847649918963
K80, 담석증 ,10.553846153846154
K80, gallstone(impacted) of cystic duct ,10.070945945945946
C67, 방광의 악성 신생물 ,9.940298507462687
I25, Atherosclerotic cardiovascular disease ,9.712589073634204
I25, Atherosclerotic cardiovascular disease ,9.712589073634204
M51,  기타 추간판장애  ,9.680272108843537
M51,   기타 추간판장애   ,9.680272108843537
K63, 장의 기타 질환 ,9.656716417910447
K80, 담석증 ,9.133333333333333
K80, 담석증 ,9.133333333333333
N18, 만성 신장병 ,9.12087912087912
I20, 협심증 ,9.080536912751677
I20, 협심증 ,9.080536912751677
I10, 본태성(원발성) 고혈압 ,9.0
I25, Atherosclerotic cardiovascular disease ,8.99438202247191
I25, Atherosclerotic cardiovascular disease ,8.99438202247191
K80, gallstone(impacted) of cystic duct ,8.481308411214954
M48,   기타 척추병증   ,8.470326409495549
M48,  기타 척추병증  ,8.470326409495549
I20,협심증,8.17910447761194
I20,협심증,8.17910447761194
K29, 위염 및 십이지장염 ,7.875
M43, 기타 변형성 등병증 ,7.819277108433735
K80,담석증,7.73015873015873
K80,담석증,7.73015873015873
K29,  위염 및 십이지장염  ,7.711111111111111
M17,알츠하이머병에서의 치매(G30.-+),7.611111111111111
F00,알츠하이머병에서의 치매(G30.-+),7.611111111111111
M43,  기타 변형성 등병증  ,7.43
C18, 결장의 악성 신생물 ,6.891566265060241
I67, Dissection intracranial ,6.475
I20, 협심증 ,6.415531335149864
I20, 협심증 ,6.415531335149864
M48,기타 척추병증,6.275080906148867
M48,기타 척추병증,6.275080906148867
I20, 협심증 ,6.257183908045977
I20, 협심증 ,6.257183908045977
K63, 장의 기타 질환 ,6.074766355140187
I20, 협심증 ,5.948207171314741
I20, Angina pectoris ,5.937823834196891
K63, 장의 기타 질환 ,5.325581395348837
I67, Dissection intracranial ,5.233644859813084
I20,협심증,5.169871794871795
I20, 협심증 ,5.1302876480541455
I20, 협심증 ,5.1302876480541455
K63, 장의 기타 질환 ,5.040498442367602
K63, 장의 기타 질환 ,5.040498442367602
K29, 위염 및 십이지장염 ,4.861111111111111
I20, 협심증 ,4.740447957839262
I20, 협심증 ,4.740447957839262
C61, 전립선의 악성 신생물 ,4.670103092783505
C61, 전립선의 악성 신생물 ,4.670103092783505
C61, 전립선의 악성 신생물 ,4.424657534246576
C61, 전립선의 악성 신생물 ,4.424657534246576
K63,   장의 기타 질환   ,4.067605633802817
K63,  장의 기타 질환  ,4.067605633802817
H25," Senile incipient cataract, ",3.6084070796460175
H25," Senile incipient cataract, ",3.6084070796460175
H25," Senile incipient cataract, ",3.4619718309859153
H25," Senile incipient cataract, ",3.4619718309859153
H25," Senile incipient cataract, ",3.3730964467005076
H25," Senile incipient cataract, ",3.3730964467005076
H25, 노년백내장 ,2.6595744680851063
C61,전립선의 악성 신생물,2.6
C61,전립선의 악성 신생물,2.6
I20,  협심증  ,2.4356435643564356
I20, 협심증 ,1.8904109589041096
H25, 노인성 백내장 ,1.696969696969697
H25, 노인성 백내장 ,1.696969696969697
H25,노년백내장,1.3305613305613306
H25,노년백내장,1.3305613305613306
H25, 노년백내장 ,1.3050541516245486
H25, 노년백내장 ,1.3050541516245486
H25, 노인성 백내장 ,1.1877133105802047
H25,노인성 백내장,1.1645833333333333
H25, 노년백내장 ,1.1106719367588933
H25, 노년백내장 ,1.1106719367588933
C61, Acinar Prostate Adenocarcinoma ,1.0
I20, Angina pectoris ,1.0
N18," Chronic kidney disease, stage 1 ",1.0
I63, cerebral infarction due to thrombosis of precerebral arteries ,1.0
M17, 윤충증 ,1.0
G81, flaccid hemiplegia ,1.0
K05,치은염(잇몸염)및 치주 질환,1.0
E11, non-insulin-dependent diabetes mellitus with coma ,1.0
I63, cerebral infarction due to thrombosis of precerebral arteries ,1.0
L30, 기타 피부염 ,1.0
I10,본태성(원발성) 고혈압,1.0
I10, essential hypertension ,1.0
I63,뇌경색증,1.0
K05,치은염 및 치주질환,1.0
G62,기타 다발신경병증,1.0
C61,전립선의 악성 신생물,1.0
F00,알츠하이머병에서의 치매,1.0
M17,무릎관절증,1.0
H25,노인성 백내장,1.0
G81, flaccid hemiplegia ,1.0
I10,본태성(원발성) 고혈압,1.0
E11,2형 당뇨병,1.0
K05, Acute gingivitis ,1.0
E11, non0insulin0dependent diabetes mellitus with coma ,1.0
E11, 2형 당뇨병 ,1.0
I10, essential hypertension ,1.0
M48, spinal stenosis ,1.0
I20, Angina pectoris ,1.0
L30, Nummular dermatitis ,1.0
M51, 기타 추간판장애 ,1.0
E11, 2형 당뇨병 ,1.0
N18,만성 신장병,1.0
H25,노년백내장,1.0
I10, 본태성(원발성) 고혈압 ,1.0
I63, cerebral infarction due to thrombosis of precerebral arteries ,1.0
H25," Senile incipient cataract, ",1.0
M75, periarthritis of shoulder ,1.0
M48,기타 척추병증,1.0
C61,전립선의 악성 신생물,1.0
M75,어깨병변,1.0
F00,알츠하이머병에서의 치매(G30.-+),1.0
M51,기타 추간판장애,1.0
I20,협심증,1.0
I48,심방세동 및 조동,1.0
L30, Nummular dermatitis ,1.0
E11, non-insulin-dependent diabetes mellitus with coma ,1.0
K05, 치은염(잇몸염)및 치주 질환 ,1.0
M48,기타 척추병증,1.0
L30, Nummular dermatitis ,1.0
M48, spinal stenosis ,1.0
I10, 본태성(원발성) 고혈압 ,1.0
E11, 인슐린-비의존 당뇨병 ,1.0
I20, 협심증 ,1.0
M48, 기타 척추병증 ,1.0
N18, 만성 신장병 ,1.0
M17, 무릎관절증 ,1.0
I69, 뇌혈관질환의 후유증 ,1.0
K29, 위염 및 십이지장염 ,1.0
N18, 만성 신장병 ,1.0
M48, 기타 척추병증 ,1.0
I48, 심방세동 및 조동 ,1.0
M75, 어깨병변 ,1.0
H25, 노인성 백내장 ,1.0
K05, Acute gingivitis ,1.0
C61, 전립선의 악성 신생물 ,1.0
G62, 기타 다발신경병증 ,1.0
F00, 알츠하이머병에서의 치매 ,1.0
K05, 치은염 및 치주질환 ,1.0
M17, 무릎관절증 ,1.0
H25, 노년백내장 ,1.0
I63, 뇌경색증 ,1.0
N18, 만성 신장병 ,1.0
M48, 기타 척추병증 ,1.0
I20, 협심증 ,1.0
M17, 무릎관절증 ,1.0
I20, Angina pectoris ,1.0
G81,편마비,1.0
M51,기타 추간판장애,1.0
I63,뇌경색증,1.0
H25,노인성 백내장,1.0
M48,기타 척추병증,1.0
E11,인슐린-비의존 당뇨병,1.0
H25, 노년백내장 ,1.0
L29, 가려움 ,1.0
Z29, 기타 예방적 조치의 필요 ,1.0
F03, 상세불명의 치매 ,1.0
K05,치은염 및 치주질환,1.0
M17,무릎관절증,1.0
H25,노년백내장,1.0
N18,만성 신장병,1.0
I63,뇌경색증,1.0
I20,협심증,1.0
J44,기타 만성 폐색성 폐질환,1.0
M75, 어깨병변 ,1.0
H25,  노년백내장  ,1.0
E11, 2형 당뇨병 ,1.0
M48, 기타 척추병증 ,1.0
I10, 본태성(원발성) 고혈압 ,1.0
K05, 치은염 및 치주질환 ,1.0
H35,기타 망막장애,1.0
I20, 협심증 ,1.0
H35, radiation retinopathy ,1.0
M48,  기타 척추병증  ,1.0
E11,  2형 당뇨병  ,1.0
I10,  본태성(원발성) 고혈압  ,1.0
K05,  치은염 및 치주질환  ,1.0
M54,  등통증  ,1.0
K63,  장의 기타 질환  ,1.0
H90,전음성 및 감각신경성 청력소실,1.0
M50,목뼈원판 장애,1.0
