구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
신경과,863,"5,505","6,368",798,"5,296","6,094","1,082","7,010","8,092","1,087","6,155","7,242","1,003","5,646","6,649",994,"6,421","7,415","1,218","6,407","7,625","1,107","6,453","7,560",869,"6,100","6,969","1,024","5,986","7,010",912,"5,820","6,732","1,343","5,698","7,041","12,300","72,497","84,797"
정신건강의학과,258,"2,526","2,784",323,"2,432","2,755",316,"2,918","3,234",352,"2,656","3,008",246,"2,554","2,800",354,"2,742","3,096",394,"2,700","3,094",308,"2,665","2,973",374,"2,682","3,056",320,"2,625","2,945",247,"2,534","2,781",589,"2,659","3,248","4,081","31,693","35,774"
피부과,671,"3,165","3,836",740,"2,961","3,701",921,"3,374","4,295",842,"3,342","4,184",796,"3,132","3,928",898,"3,532","4,430","1,047","3,518","4,565",841,"3,345","4,186",947,"3,499","4,446",782,"3,471","4,253",914,"3,452","4,366",797,"3,498","4,295","10,196","40,289","50,485"
재활의학과,316,"6,751","7,067",280,"6,342","6,622",536,"7,710","8,246",511,"7,942","8,453",404,"6,845","7,249",633,"7,756","8,389",652,"7,734","8,386",636,"7,496","8,132",443,"6,860","7,303",367,"6,855","7,222",735,"6,412","7,147",871,"6,384","7,255","6,384","85,087","91,471"
가정의학과,739,"2,804","3,543",584,"2,527","3,111","1,938","3,159","5,097","1,935","2,961","4,896",927,"2,714","3,641","2,364","3,248","5,612","1,283","3,044","4,327","2,277","3,156","5,433","1,281","3,078","4,359","7,016","3,885","10,901","5,604","3,491","9,095","2,531","3,371","5,902","28,479","37,438","65,917"
외과,338,864,"1,202",378,908,"1,286",445,980,"1,425",549,972,"1,521",396,917,"1,313",585,998,"1,583",488,"1,018","1,506",530,"1,044","1,574",524,983,"1,507",565,977,"1,542",363,894,"1,257",783,"1,146","1,929","5,944","11,701","17,645"
흉부외과,146,678,824,123,641,764,150,788,938,231,685,916,164,651,815,237,790,"1,027",187,697,884,222,726,948,124,736,860,259,640,899,159,718,877,404,725,"1,129","2,406","8,475","10,881"
정형외과,"1,331","3,795","5,126","1,260","3,592","4,852","1,907","4,461","6,368","1,905","4,214","6,119","1,663","3,621","5,284","1,980","4,344","6,324","1,991","4,155","6,146","2,049","4,147","6,196","1,546","4,268","5,814","2,054","3,822","5,876","1,873","4,075","5,948","2,008","4,312","6,320","21,567","48,806","70,373"
신경외과,391,"1,763","2,154",426,"1,651","2,077",580,"2,020","2,600",563,"1,807","2,370",541,"1,534","2,075",686,"1,981","2,667",683,"1,877","2,560",516,"1,673","2,189",650,"1,764","2,414",502,"1,779","2,281",778,"1,672","2,450",424,"1,772","2,196","6,740","21,293","28,033"
성형외과,42,135,177,45,146,191,66,199,265,153,202,355,124,175,299,271,175,446,216,176,392,243,190,433,69,141,210,753,178,931,810,131,941,330,161,491,"3,122","2,009","5,131"
산부인과,307,"1,084","1,391",385,"1,148","1,533",471,"1,274","1,745",348,"1,222","1,570",302,"1,164","1,466",330,"1,321","1,651",465,"1,165","1,630",411,"1,238","1,649",272,"1,185","1,457",280,"1,149","1,429",391,"1,190","1,581",357,"1,155","1,512","4,319","14,295","18,614"
안과,"1,562","3,735","5,297","1,376","3,661","5,037","2,409","4,442","6,851","2,200","4,540","6,740","2,136","3,872","6,008","2,207","4,678","6,885","2,236","4,555","6,791","2,142","4,562","6,704","2,051","4,214","6,265","2,119","4,267","6,386","2,511","4,286","6,797","2,023","4,034","6,057","24,972","50,846","75,818"
이비인후과,799,"2,194","2,993",808,"1,910","2,718",950,"2,254","3,204","1,156","2,196","3,352",897,"1,929","2,826","1,030","2,148","3,178","1,011","2,182","3,193",848,"2,246","3,094",809,"2,115","2,924",711,"1,960","2,671",817,"2,075","2,892","1,062","2,181","3,243","10,898","25,390","36,288"
비뇨의학과,613,"6,197","6,810",539,"5,853","6,392",947,"6,917","7,864","1,228","5,963","7,191",981,"5,151","6,132","1,768","6,870","8,638","1,448","6,549","7,997","1,389","6,146","7,535","1,222","6,123","7,345","2,581","6,933","9,514","1,916","6,149","8,065","1,219","6,640","7,859","15,851","75,491","91,342"
치과,"1,506","8,797","10,303","1,425","8,083","9,508","1,839","10,401","12,240","1,827","10,464","12,291","1,606","8,919","10,525","1,836","10,492","12,328","1,774","10,122","11,896","1,688","10,230","11,918","1,562","9,298","10,860","1,677","8,947","10,624","1,578","8,564","10,142","1,553","9,104","10,657","19,871","113,421","133,292"
한의과,98,521,619,96,534,630,124,619,743,121,531,652,96,529,625,98,595,693,112,560,672,106,595,701,103,516,619,106,551,657,105,512,617,102,551,653,"1,267","6,614","7,881"
통증클리닉,80,991,"1,071",57,695,752,133,"1,168","1,301",117,"1,275","1,392",133,861,994,151,"1,165","1,316",194,"1,235","1,429",124,"1,218","1,342",155,"1,156","1,311",177,"1,144","1,321",176,"1,099","1,275",219,"1,181","1,400","1,716","13,188","14,904"
방사선종양학과,24,617,641,33,561,594,45,984,"1,029",34,765,799,25,511,536,23,531,554,28,548,576,109,805,914,37,586,623,70,652,722,34,813,847,94,757,851,556,"8,130","8,686"
완화의료사업실,30,62,92,29,64,93,29,84,113,32,105,137,42,89,131,39,95,134,45,112,157,39,104,143,41,102,143,25,110,135,44,122,166,38,117,155,433,"1,166","1,599"
욕창성형클리닉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
건강관리과,222,116,338,424,56,480,396,133,529,589,228,817,994,385,"1,379",511,166,677,406,188,594,403,153,556,591,174,765,912,220,"1,132",337,104,441,598,117,715,"6,383","2,040","8,423"
"기타(DM,EM)",,152,152,,130,130,,148,148,,143,143,,141,141,,144,144,,143,143,,134,134,,141,141,,144,144,,141,141,,150,150,,"1,711","1,711"
계,"13,835","74,159","87,994","13,206","68,774","81,980","19,898","84,542","104,440","20,576","80,550","101,126","17,207","71,247","88,454","22,792","84,047","106,839","20,576","81,125","101,701","20,369","80,177","100,546","18,241","74,903","93,144","29,922","76,422","106,344","26,044","76,137","102,181","22,746","77,413","100,159","245,412","929,496","1,174,908"
