구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
재활의학과,146,"1,601","1,747",127,"1,564","1,691",142,"1,464","1,606",138,"1,585","1,723",162,"1,521","1,683",181,"1,638","1,819",176,"1,733","1,909",148,"1,645","1,793",143,"1,694","1,837",187,"1,673","1,860",154,"1,746","1,900",157,"1,816","1,973","1,861","19,680","21,541"
가정의학과,809,"1,379","2,188",649,"1,057","1,706",558,933,"1,491",594,970,"1,564",749,893,"1,642","1,003","1,016","2,019",896,"1,060","1,956",855,"1,052","1,907",785,"1,096","1,881","3,000","1,279","4,279","1,581","1,092","2,673","1,345","1,099","2,444","12,824","12,926","25,750"
외과,231,473,704,200,454,654,237,445,682,222,404,626,242,433,675,282,518,800,275,478,753,251,445,696,235,470,705,223,398,621,246,411,657,258,459,717,"2,902","5,388","8,290"
정형외과,600,"2,307","2,907",477,"2,157","2,634",564,"2,345","2,909",592,"2,259","2,851",641,"2,194","2,835",622,"2,494","3,116",640,"2,520","3,160",577,"2,445","3,022",517,"2,581","3,098",570,"2,475","3,045",580,"2,513","3,093",508,"2,677","3,185","6,888","28,967","35,855"
신경외과,142,426,568,101,437,538,93,379,472,115,447,562,126,375,501,138,482,620,131,476,607,106,461,567,108,430,538,136,418,554,117,416,533,99,484,583,"1,412","5,231","6,643"
산부인과,57,31,88,36,26,62,41,34,75,56,31,87,52,34,86,47,38,85,69,20,89,55,38,93,57,28,85,72,42,114,70,32,102,81,36,117,693,390,"1,083"
안과,524,664,"1,188",471,548,"1,019",485,596,"1,081",559,604,"1,163",502,611,"1,113",537,692,"1,229",576,709,"1,285",374,572,946,503,660,"1,163",488,551,"1,039",517,669,"1,186",471,644,"1,115","6,007","7,520","13,527"
이비인후과,425,717,"1,142",402,737,"1,139",344,710,"1,054",360,779,"1,139",316,670,986,298,730,"1,028",357,700,"1,057",295,555,850,417,662,"1,079",423,670,"1,093",347,628,975,360,712,"1,072","4,344","8,270","12,614"
비뇨의학과,325,"2,394","2,719",278,"2,337","2,615",285,"2,318","2,603",315,"2,298","2,613",302,"2,219","2,521",307,"2,442","2,749",339,"2,375","2,714",274,"2,386","2,660",276,"2,336","2,612",297,"2,398","2,695",306,"2,245","2,551",317,"2,446","2,763","3,621","28,194","31,815"
치과,320,"2,391","2,711",235,"2,214","2,449",245,"2,400","2,645",298,"2,323","2,621",303,"2,146","2,449",324,"2,506","2,830",329,"2,376","2,705",291,"2,080","2,371",309,"2,072","2,381",299,"1,906","2,205",320,"1,947","2,267",301,"2,076","2,377","3,574","26,437","30,011"
마취통증의학과,-,-,-,-,-,-,-,-,-,-,-,-,24,13,37,36,61,97,46,111,157,35,125,160,38,145,183,40,132,172,34,155,189,32,164,196,285,906,"1,191"
한방진료과,84,496,580,74,424,498,76,358,434,84,418,502,82,426,508,84,523,607,79,566,645,80,526,606,61,516,577,75,439,514,73,448,521,73,474,547,925,"5,614","6,539"
건강검진센터,225,147,372,250,98,348,214,157,371,200,121,321,255,168,423,633,193,826,897,"1,158","2,055",484,175,659,432,226,658,453,245,698,540,325,865,479,199,678,"5,062","3,212","8,274"
응급의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
계,"6,684","23,880","30,564","5,627","22,201","27,828","6,173","22,651","28,824","6,621","22,430","29,051","6,733","21,787","28,520","7,819","24,596","32,415","7,965","25,611","33,576","6,856","23,196","30,052","6,640","24,183","30,823","9,322","23,664","32,986","7,673","23,354","31,027","8,374","24,999","33,373","86,487","282,552","369,039"
