구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
가정의학과,697,"1,497","2,194",725,"1,366","2,091",734,"1,267","2,001",796,"1,430","2,226",976,"1,536","2,512",709,"1,295","2,004",782,"1,429","2,211",851,"1,418","2,269",728,"1,285","2,013","1,310","1,419","2,729","1,455","1,374","2,829","1,422","1,428","2,850","11,185","16,744","27,929"
외과,276,570,846,227,398,625,282,432,714,276,493,769,260,470,730,260,503,763,290,638,928,288,537,825,276,493,769,261,546,807,223,501,724,272,486,758,"3,191","6,067","9,258"
정형외과,623,"2,692","3,315",598,"2,233","2,831",720,"2,540","3,260",745,"2,759","3,504",664,"2,598","3,262",607,"2,287","2,894",633,"2,813","3,446",643,"2,634","3,277",576,"2,527","3,103",659,"2,675","3,334",582,"2,420","3,002",597,"2,444","3,041","7,647","30,622","38,269"
신경외과,158,493,651,149,422,571,125,467,592,155,455,610,150,457,607,126,433,559,163,534,697,139,508,647,156,437,593,161,527,688,127,427,554,105,443,548,"1,714","5,603","7,317"
산부인과,40,36,76,64,30,94,57,40,97,248,43,291,68,35,103,54,29,83,99,49,148,74,33,107,59,38,97,56,26,82,62,37,99,59,25,84,940,421,"1,361"
안과,716,726,"1,442",552,649,"1,201",695,721,"1,416",562,745,"1,307",594,788,"1,382",572,637,"1,209",613,797,"1,410",568,679,"1,247",548,704,"1,252",605,670,"1,275",493,676,"1,169",474,640,"1,114","6,992","8,432","15,424"
이비인후과,475,735,"1,210",420,703,"1,123",369,669,"1,038",447,767,"1,214",428,706,"1,134",393,667,"1,060",381,611,992,416,665,"1,081",451,602,"1,053",435,661,"1,096",431,656,"1,087",476,755,"1,231","5,122","8,197","13,319"
비뇨의학과,387,"2,475","2,862",314,"2,177","2,491",333,"2,358","2,691",391,"2,378","2,769",313,"2,483","2,796",313,"2,304","2,617",347,"2,540","2,887",322,"2,397","2,719",322,"2,360","2,682",367,"2,515","2,882",330,"2,398","2,728",372,"2,543","2,915","4,111","28,928","33,039"
치과,390,"2,514","2,904",300,"1,938","2,238",373,"2,307","2,680",352,"2,878","3,230",295,"2,761","3,056",263,"2,293","2,556",377,"2,724","3,101",305,"2,484","2,789",297,"2,447","2,744",355,"2,680","3,035",300,"2,672","2,972",323,"2,627","2,950","3,930","30,325","34,255"
마취통증의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한방진료과,99,550,649,61,424,485,79,506,585,98,557,655,98,608,706,84,577,661,91,664,755,82,552,634,74,539,613,98,569,667,91,550,641,77,506,583,"1,032","6,602","7,634"
건강검진센터,157,88,245,263,129,392,361,229,590,321,207,528,327,215,542,359,205,564,837,232,"1,069",689,238,927,516,229,745,479,247,726,505,232,737,616,291,907,"5,430","2,542","7,972"
계,"7,295","26,729","34,024","6,229","22,558","28,787","6,988","24,686","31,674","7,923","26,383","34,306","7,146","26,451","33,597","6,477","23,947","30,424","8,093","27,335","35,428","7,569","25,550","33,119","6,938","24,374","31,312","11,070","29,719","40,789","7,528","24,388","31,916","8,041","25,708","33,749","91,297","307,828","399,125"
