구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
산부인과,429,195,624,678,178,856,728,190,918,305,218,523,202,201,403,225,203,428,179,198,377,303,179,482,245,171,416,370,174,544,292,194,486,245,170,415,"4,201","2,271","6,472"
소아청소년과,65,24,89,78,32,110,82,28,110,45,33,78,43,40,83,34,39,73,23,34,57,54,44,98,50,43,93,128,56,184,51,56,107,62,60,122,715,489,"1,204"
안과,732,"1,308","2,040",543,"1,232","1,775",567,"1,351","1,918",534,"1,252","1,786",598,"1,383","1,981",571,"1,341","1,912",677,"1,360","2,037",625,"1,316","1,941",585,"1,413","1,998",847,"1,296","2,143",568,"1,231","1,799",633,"1,247","1,880","7,480","15,730","23,210"
이비인후과,435,988,"1,423",419,930,"1,349",529,"1,136","1,665",436,"1,024","1,460",404,"1,113","1,517",407,934,"1,341",375,998,"1,373",502,"1,004","1,506",446,"1,080","1,526",589,951,"1,540",457,"1,065","1,522",501,"1,017","1,518","5,500","12,240","17,740"
피부과,664,989,"1,653",571,948,"1,519",651,"1,048","1,699",655,956,"1,611",657,"1,038","1,695",720,975,"1,695",759,"1,047","1,806",737,"1,017","1,754",682,"1,022","1,704",807,988,"1,795",628,942,"1,570",660,948,"1,608","8,191","11,918","20,109"
비뇨의학과,327,"3,313","3,640",284,"2,931","3,215",415,"3,172","3,587",388,"2,885","3,273",394,"3,175","3,569",390,"2,922","3,312",445,"3,012","3,457",424,"3,093","3,517",448,"3,038","3,486",515,"2,931","3,446",431,"3,067","3,498",442,"2,990","3,432","4,903","36,529","41,432"
재활의학과,147,"2,843","2,990",134,"2,462","2,596",151,"2,739","2,890",152,"2,828","2,980",169,"2,941","3,110",171,"2,997","3,168",181,"3,145","3,326",192,"3,229","3,421",142,"2,955","3,097",347,"2,901","3,248",180,"3,152","3,332",175,"3,253","3,428","2,141","35,445","37,586"
가정의학과,179,208,387,233,208,441,149,191,340,174,198,372,215,198,413,207,220,427,186,188,374,209,255,464,779,210,989,"2,210",232,"2,442",307,240,547,232,272,504,"5,080","2,620","7,700"
치과,573,"1,520","2,093",530,"1,343","1,873",625,"1,533","2,158",536,"1,519","2,055",648,"1,638","2,286",594,"1,565","2,159",643,"1,626","2,269",630,"1,613","2,243",599,"1,565","2,164",595,"1,542","2,137",562,"1,597","2,159",590,"1,767","2,357","7,125","18,828","25,953"
건강관리과,270,82,352,395,98,493,328,79,407,873,270,"1,143",562,175,737,671,201,872,330,100,430,442,97,539,421,123,544,481,145,626,479,143,622,654,202,856,"5,906","1,715","7,621"
핵의학과,60,318,378,65,289,354,61,345,406,87,316,403,80,329,409,79,326,405,80,370,450,76,325,401,58,370,428,160,307,467,83,354,437,65,343,408,954,"3,992","4,946"
계,"10,671","27,165","37,836","9,722","25,601","35,323","12,147","30,625","42,772","9,722","29,250","38,972","8,483","28,302","36,785","7,938","26,669","34,607","7,923","27,190","35,113","8,979","27,856","36,835","9,389","27,769","37,158","13,915","26,308","40,223","8,043","27,154","35,197","8,399","27,429","35,828","115,331","331,318","446,649"
