구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
피부과,707,365,"1,072",735,312,"1,047",725,354,"1,079",562,276,838,750,369,"1,119",810,325,"1,135",701,377,"1,078",569,305,874,690,341,"1,031",743,333,"1,076",635,334,969,645,328,973,"8,272","4,019","12,291"
재활의학과,143,"1,505","1,648",142,"1,581","1,723",158,"1,694","1,852",135,"1,693","1,828",131,"1,668","1,799",161,"1,765","1,926",157,"1,841","1,998",169,"2,162","2,331",146,"1,981","2,127",124,"1,593","1,717",153,"1,978","2,131",168,"1,826","1,994","1,787","21,287","23,074"
가정의학과,756,"1,152","1,908",749,"1,246","1,995",985,"1,741","2,726",715,"1,405","2,120",875,"1,361","2,236",906,"1,674","2,580",801,"1,556","2,357",834,"1,350","2,184",591,"1,353","1,944","7,085","2,740","9,825","1,274","1,564","2,838",817,"1,689","2,506","16,388","18,831","35,219"
외과,243,458,701,260,469,729,281,481,762,239,428,667,279,517,796,273,520,793,254,471,725,305,544,849,218,480,698,244,483,727,239,418,657,241,450,691,"3,076","5,719","8,795"
정형외과,492,"2,804","3,296",562,"2,849","3,411",630,"2,898","3,528",528,"2,753","3,281",538,"2,760","3,298",567,"2,798","3,365",527,"2,662","3,189",610,"2,865","3,475",509,"2,560","3,069",584,"2,636","3,220",577,"2,740","3,317",517,"2,655","3,172","6,641","32,980","39,621"
신경외과,114,331,445,101,394,495,132,382,514,110,375,485,121,371,492,119,366,485,119,342,461,110,415,525,72,324,396,103,362,465,116,366,482,106,310,416,"1,323","4,338","5,661"
산부인과,198,39,237,178,27,205,178,40,218,124,28,152,127,40,167,113,34,147,127,36,163,161,30,191,60,40,100,84,25,109,75,33,108,79,31,110,"1,504",403,"1,907"
안과,432,513,945,475,568,"1,043",454,558,"1,012",448,534,982,465,479,944,526,568,"1,094",357,383,740,564,557,"1,121",428,360,788,499,550,"1,049",538,504,"1,042",448,513,961,"5,634","6,087","11,721"
이비인후과,344,585,929,368,672,"1,040",453,707,"1,160",350,725,"1,075",393,699,"1,092",375,775,"1,150",330,730,"1,060",355,758,"1,113",255,569,824,405,741,"1,146",345,569,914,390,744,"1,134","4,363","8,274","12,637"
비뇨의학과,411,"2,271","2,682",432,"2,597","3,029",326,"2,459","2,785",263,"2,435","2,698",298,"2,513","2,811",319,"2,550","2,869",262,"2,398","2,660",300,"2,511","2,811",278,"2,358","2,636",298,"2,567","2,865",311,"2,404","2,715",292,"2,560","2,852","3,790","29,623","33,413"
치과,319,"1,598","1,917",356,"1,563","1,919",338,"1,737","2,075",292,"1,462","1,754",338,"1,836","2,174",362,"1,883","2,245",287,"1,751","2,038",356,"1,670","2,026",277,"1,615","1,892",351,"1,639","1,990",320,"1,833","2,153",337,"1,633","1,970","3,933","20,220","24,153"
마취통증의학과,36,257,293,41,263,304,66,289,355,34,274,308,57,261,318,50,293,343,48,291,339,36,279,315,28,211,239,37,172,209,36,234,270,33,193,226,502,"3,017","3,519"
한방진료과,81,485,566,89,416,505,75,440,515,76,455,531,98,419,517,84,480,564,72,472,544,79,459,538,81,464,545,76,482,558,83,495,578,71,464,535,965,"5,531","6,496"
응급의학과,262,133,395,202,94,296,264,106,370,289,106,395,348,113,461,278,82,360,279,114,393,360,138,498,312,127,439,277,158,435,228,111,339,246,133,379,"3,345","1,415","4,760"
건강검진센터,179,166,345,254,151,405,"1,181",337,"1,518",385,267,652,344,211,555,410,199,609,376,240,616,460,197,657,339,190,529,342,215,557,537,339,876,544,223,767,"5,351","2,735","8,086"
계,"6,738","23,412","30,150","7,104","24,294","31,398","8,539","26,040","34,579","6,719","23,855","30,574","7,273","24,689","31,962","7,647","25,631","33,278","6,795","24,126","30,921","7,537","25,165","32,702","6,305","23,053","29,358","13,377","24,959","38,336","7,798","24,495","32,293","7,016","24,428","31,444","92,848","294,147","386,995"
