구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
비뇨의학과,23,"2,873","2,896",22,"2,847","2,869",33,"3,243","3,276",30,"3,095","3,125",35,"2,944","2,979",29,"3,075","3,104",27,"3,159","3,186",38,"3,070","3,108",30,"3,071","3,101",31,"2,975","3,006",32,"2,966","2,998",32,"3,268","3,300",362,"36,586","36,948"
치과,1,"1,969","1,970",2,"1,848","1,850",10,"2,222","2,232",5,"2,129","2,134",6,"1,984","1,990",5,"2,254","2,259",6,"2,238","2,244",8,"2,045","2,053",7,"2,089","2,096",3,"1,965","1,968",3,"2,165","2,168",4,"2,217","2,221",60,"25,125","25,185"
재활의학과,5,"2,173","2,178",7,"1,940","1,947",7,"2,748","2,755",8,"2,964","2,972",7,"2,433","2,440",8,"2,790","2,798",71,"3,293","3,364",81,"3,225","3,306",200,"2,751","2,951",7,"2,513","2,520",13,"2,737","2,750",29,"2,952","2,981",443,"32,519","32,962"
가정의학과,55,"1,538","1,593",46,"1,437","1,483",47,"1,642","1,689",417,"1,846","2,263",93,"1,604","1,697",186,"1,916","2,102",159,"1,556","1,715",124,"1,729","1,853",131,"1,803","1,934",85,"2,066","2,151",81,"2,078","2,159",63,"1,720","1,783","1,487","20,935","22,422"
마취과,3,83,86,,70,70,2,93,95,2,76,78,,60,60,,63,63,,64,64,1,64,65,,48,48,1,45,46,,59,59,,59,59,9,784,793
핵의학과,3,12,15,4,7,11,5,12,17,5,5,10,1,12,13,1,11,12,5,8,13,4,8,12,1,9,10,2,12,14,2,13,15,6,14,20,39,123,162
건강관리과,348,,348,461,,461,394,,394,625,,625,854,,854,"1,387",,"1,387",451,,451,409,,409,556,,556,621,,621,822,,822,739,,739,"7,667",-,"7,667"
응급의학과,,,-,,,-,,,-,,1,1,16,41,57,57,90,147,,,-,,,-,,,-,,,-,,1,1,,,-,73,133,206
한의과,,488,488,,449,449,,576,576,1,493,494,,482,482,,491,491,,509,509,1,493,494,,497,497,,511,511,,534,534,,480,480,2,"6,003","6,005"
계,868,"35,705","36,573","1,116","34,052","35,168","1,733","41,944","43,677","2,116","40,030","42,146","2,007","36,824","38,831","2,850","41,052","43,902","2,041","40,597","42,638","1,818","39,964","41,782","2,199","37,940","40,139","1,730","41,208","42,938","1,949","40,618","42,567","1,772","40,602","42,374","22,199","470,536","492,735"
