구분,국비,사비,계,일평균환자
초진,재진,계,일반,건강보험,의료급여,산재,자보,계,초진,재진,계,초진,재진,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
정신건강의학과,157,626,783,100,577,677,133,691,824,102,623,725,94,528,622,122,617,739,105,583,688,93,527,620,111,571,682,127,512,639,131,574,705,117,563,680,"1,392","6,992","8,384"
피부과,733,588,"1,321",614,672,"1,286",728,741,"1,469",695,765,"1,460",641,725,"1,366",720,811,"1,531",818,735,"1,553",715,772,"1,487",460,583,"1,043",432,471,903,800,625,"1,425",802,585,"1,387","8,158","8,073","16,231"
재활의학과,139,"1,527","1,666",151,"1,517","1,668",174,"1,800","1,974",177,"1,779","1,956",168,"1,675","1,843",174,"1,727","1,901",158,"1,854","2,012",162,"1,794","1,956",115,"1,313","1,428",145,"1,658","1,803",150,"1,741","1,891",124,"1,479","1,603","1,837","19,864","21,701"
가정의학과,664,947,"1,611",853,"1,040","1,893","1,522","1,244","2,766","1,404","1,252","2,656",687,"1,187","1,874","1,186","1,257","2,443","1,183","1,372","2,555","1,316","1,339","2,655",741,"1,137","1,878","3,812","1,822","5,634","2,211","1,336","3,547","1,480","1,437","2,917","17,059","15,370","32,429"
외과,226,385,611,236,446,682,260,498,758,239,500,739,249,470,719,331,483,814,272,515,787,258,534,792,244,397,641,261,471,732,263,479,742,198,415,613,"3,037","5,593","8,630"
정형외과,436,"2,326","2,762",477,"2,246","2,723",622,"2,705","3,327",574,"2,641","3,215",480,"2,424","2,904",641,"2,546","3,187",546,"2,603","3,149",621,"2,679","3,300",482,"2,320","2,802",543,"2,531","3,074",522,"2,413","2,935",484,"2,710","3,194","6,428","30,144","36,572"
신경외과,104,379,483,98,361,459,135,473,608,120,446,566,109,466,575,194,441,635,121,433,554,109,390,499,85,364,449,100,433,533,132,370,502,205,453,658,"1,512","5,009","6,521"
산부인과,113,29,142,137,27,164,491,37,528,297,29,326,330,36,366,246,33,279,286,44,330,281,33,314,"2,572",789,"3,361",943,442,"1,385",832,828,"1,660","1,914","2,520","4,434","8,442","4,847","13,289"
안과,469,653,"1,122",456,614,"1,070",503,664,"1,167",511,704,"1,215",450,653,"1,103",456,680,"1,136",562,673,"1,235",506,719,"1,225",348,535,883,482,656,"1,138",511,558,"1,069",473,617,"1,090","5,727","7,726","13,453"
이비인후과,362,633,995,315,581,896,390,740,"1,130",367,661,"1,028",320,644,964,346,604,950,300,579,879,315,644,959,319,531,850,307,593,900,282,497,779,357,616,973,"3,980","7,323","11,303"
비뇨의학과,272,"2,157","2,429",286,"2,162","2,448",316,"2,346","2,662",303,"2,280","2,583",275,"2,266","2,541",462,"2,360","2,822",306,"2,321","2,627",319,"2,390","2,709",244,"2,188","2,432",339,"2,519","2,858",323,"2,177","2,500",335,"2,700","3,035","3,780","27,866","31,646"
치과,292,"1,860","2,152",311,"1,748","2,059",370,"2,160","2,530",328,"2,121","2,449",322,"1,883","2,205",340,"2,087","2,427",346,"2,032","2,378",298,"2,106","2,404",252,"1,413","1,665",343,"1,970","2,313",337,"2,104","2,441",295,"1,887","2,182","3,834","23,371","27,205"
마취통증의학과,40,139,179,28,144,172,37,175,212,49,195,244,38,193,231,102,208,310,41,222,263,153,207,360,24,202,226,30,199,229,46,226,272,49,240,289,637,"2,350","2,987"
한방진료과,71,398,469,77,387,464,75,473,548,52,383,435,84,415,499,77,479,556,68,524,592,81,535,616,51,342,393,68,432,500,57,386,443,79,463,542,840,"5,217","6,057"
건강검진센터,262,158,420,436,167,603,305,158,463,360,315,675,461,188,649,569,226,795,"1,024",585,"1,609",838,168,"1,006",282,100,382,466,181,647,542,256,798,565,244,809,"6,110","2,746","8,856"
계,"6,709","21,930","28,639","6,815","21,787","28,602","8,913","25,310","34,223","8,486","24,500","32,986","6,990","23,544","30,534","8,488","24,479","32,967","9,188","25,096","34,284","9,043","24,754","33,797","8,176","21,872","30,048","10,773","25,078","35,851","9,509","23,767","33,276","10,527","28,452","38,979","103,617","290,569","394,186"
