구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
정신건강의학과,91,"1,249","1,340",85,"1,011","1,096",89,"1,253","1,342",82,"1,108","1,190",67,"1,001","1,068",137,"1,247","1,384",139,"1,399","1,538",127,"1,345","1,472",130,"1,278","1,408",117,"1,278","1,395",126,"1,211","1,337",135,"1,389","1,524","1,325","14,769","16,094"
피부과,"1,043","1,532","2,575",891,"1,427","2,318","1,015","1,672","2,687","1,077","1,546","2,623",954,"1,512","2,466","1,067","1,603","2,670","1,133","1,652","2,785","1,119","1,582","2,701",975,"1,519","2,494","1,687","1,816","3,503","1,073","1,493","2,566",966,"1,544","2,510","13,000","18,898","31,898"
재활의학과,86,"2,279","2,365",110,"2,195","2,305",106,"2,716","2,822",89,"2,572","2,661",119,"2,147","2,266",98,"2,507","2,605",111,"2,693","2,804",113,"2,569","2,682",97,"2,309","2,406",77,"2,254","2,331",107,"2,431","2,538",70,"1,674","1,744","1,183","28,346","29,529"
가정의학과,295,977,"1,272",284,"1,015","1,299",418,"1,229","1,647",340,"1,081","1,421",373,"1,122","1,495",374,"1,246","1,620",320,"1,181","1,501",300,"1,234","1,534",332,"1,146","1,478","1,083","1,217","2,300",870,"1,173","2,043",685,"2,416","3,101","5,674","15,037","20,711"
외과,149,446,595,151,428,579,173,481,654,161,450,611,148,434,582,153,450,603,184,502,686,171,488,659,154,492,646,169,502,671,148,464,612,179,477,656,"1,940","5,614","7,554"
정형외과,494,"2,678","3,172",498,"2,405","2,903",697,"2,824","3,521",726,"2,951","3,677",457,"2,536","2,993",755,"2,954","3,709",670,"2,922","3,592",617,"2,948","3,565",651,"2,763","3,414",560,"2,774","3,334",644,"2,797","3,441",655,"2,859","3,514","7,424","33,411","40,835"
신경외과,549,"1,465","2,014",504,"1,402","1,906",611,"1,581","2,192",553,"1,556","2,109",529,"1,537","2,066",547,"1,551","2,098",593,"1,582","2,175",525,"1,570","2,095",642,"1,491","2,133",497,"1,510","2,007",544,"1,564","2,108",554,"1,650","2,204","6,648","18,459","25,107"
산부인과,319,69,388,441,67,508,876,76,952,292,55,347,334,66,400,274,58,332,267,69,336,229,61,290,245,56,301,228,53,281,194,59,253,186,65,251,"3,885",754,"4,639"
안과,399,"2,511","2,910",332,"2,182","2,514",523,"2,511","3,034",481,"2,677","3,158",357,"2,373","2,730",500,"2,515","3,015",484,"2,644","3,128",460,"2,381","2,841",354,"2,447","2,801",363,"2,483","2,846",412,"2,490","2,902",375,"2,304","2,679","5,040","29,518","34,558"
이비인후과,376,740,"1,116",329,690,"1,019",473,744,"1,217",405,765,"1,170",344,620,964,395,747,"1,142",356,746,"1,102",370,642,"1,012",338,660,998,319,718,"1,037",422,732,"1,154",432,741,"1,173","4,559","8,545","13,104"
비뇨의학과,410,"4,106","4,516",332,"3,700","4,032",363,"4,438","4,801",430,"4,418","4,848",386,"3,868","4,254",411,"4,785","5,196",469,"4,520","4,989",396,"4,540","4,936",402,"4,265","4,667",414,"4,306","4,720",428,"4,221","4,649",482,"4,327","4,809","4,923","51,494","56,417"
치과,467,"2,452","2,919",408,"2,259","2,667",513,"2,512","3,025",480,"2,605","3,085",427,"2,214","2,641",493,"2,568","3,061",501,"2,663","3,164",446,"2,533","2,979",344,"2,170","2,514",394,"2,124","2,518",457,"2,492","2,949",511,"2,642","3,153","5,441","29,234","34,675"
한방과,30,482,512,33,467,500,56,556,612,29,570,599,19,492,511,58,507,565,62,564,626,46,587,633,519,518,"1,037",44,504,548,39,516,555,34,495,529,969,"6,258","7,227"
건강관리과,177,96,273,308,135,443,329,150,479,284,156,440,271,114,385,916,392,"1,308",721,301,"1,022",555,211,766,482,220,702,649,226,875,507,230,737,614,221,835,"5,813","2,452","8,265"
향정신과,0,20,20,0,18,18,0,22,22,0,22,22,0,17,17,0,22,22,0,22,22,0,21,21,0,19,19,0,19,19,0,21,21,0,22,22,0,245,245
계,"8,165","33,351","41,516","7,635","30,562","38,197","11,069","36,019","47,088","9,759","35,212","44,971","8,603","31,356","39,959","10,686","36,126","46,812","10,811","35,817","46,628","11,135","35,345","46,480","11,139","33,328","44,467","13,870","34,846","48,716","14,373","34,299","48,672","17,088","35,587","52,675","134,333","411,848","546,181"
