구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
외과,127,399,526,145,334,479,138,406,544,122,335,457,165,412,577,155,429,584,168,514,682,148,443,591,154,406,560,134,405,539,156,390,546,126,334,460,"1,738","4,807","6,545"
정형외과,585,"2,894","3,479",511,"2,468","2,979",571,"2,876","3,447",577,"2,869","3,446",595,"2,758","3,353",668,"2,674","3,342",586,"2,668","3,254",544,"2,597","3,141",544,"2,572","3,116",568,"2,385","2,953",619,"2,494","3,113",564,"2,653","3,217","6,932","31,908","38,840"
신경외과,495,"1,531","2,026",410,"1,367","1,777",516,"1,487","2,003",495,"1,501","1,996",583,"1,616","2,199",519,"1,576","2,095",591,"1,596","2,187",534,"1,692","2,226",557,"1,629","2,186",483,"1,498","1,981",545,"1,568","2,113",520,"1,496","2,016","6,248","18,557","24,805"
산부인과,144,48,192,129,47,176,145,52,197,123,58,181,127,51,178,140,59,199,120,63,183,141,62,203,151,50,201,125,59,184,136,55,191,108,60,168,"1,589",664,"2,253"
안과,285,"2,332","2,617",244,"1,940","2,184",236,"1,917","2,153",253,"2,284","2,537",295,"2,006","2,301",349,"1,769","2,118",302,"2,059","2,361",350,"1,937","2,287",410,"1,784","2,194",299,"2,040","2,339",369,"1,964","2,333",468,"1,905","2,373","3,860","23,937","27,797"
이비인후과,360,784,"1,144",260,669,929,377,745,"1,122",395,745,"1,140",369,750,"1,119",353,682,"1,035",276,665,941,352,735,"1,087",329,682,"1,011",337,683,"1,020",394,750,"1,144",408,762,"1,170","4,210","8,652","12,862"
비뇨의학과,368,"4,063","4,431",317,"3,872","4,189",362,"4,308","4,670",322,"4,320","4,642",347,"4,214","4,561",342,"4,059","4,401",374,"4,213","4,587",476,"4,332","4,808",416,"4,191","4,607",390,"3,848","4,238",441,"4,191","4,632",410,"4,251","4,661","4,565","49,862","54,427"
치과,436,"2,341","2,777",260,"1,967","2,227",321,"2,210","2,531",372,"2,364","2,736",470,"2,545","3,015",451,"2,586","3,037",464,"2,588","3,052",452,"2,677","3,129",402,"2,374","2,776",395,"2,460","2,855",436,"2,421","2,857",390,"2,572","2,962","4,849","29,105","33,954"
한방과,43,435,478,45,397,442,43,457,500,64,510,574,73,601,674,47,508,555,55,515,570,36,549,585,29,499,528,40,506,546,31,485,516,26,359,385,532,"5,821","6,353"
건강관리과,116,79,195,239,118,357,209,141,350,267,179,446,497,275,772,607,300,907,657,254,911,550,269,819,474,157,631,672,250,922,416,172,588,557,162,719,"5,261","2,356","7,617"
향정신과,0,19,19,0,18,18,0,19,19,0,19,19,0,21,21,0,20,20,0,18,18,0,22,22,0,18,18,0,16,16,0,21,21,0,22,22,0,233,233
계,"12,527","33,769","46,296","14,065","31,567","45,632","13,348","35,304","48,652","8,659","34,632","43,291","8,574","34,677","43,251","8,235","32,574","40,809","8,851","33,642","42,493","9,644","35,731","45,375","9,153","33,565","42,718","12,131","33,505","45,636","9,880","34,020","43,900","8,605","33,916","42,521","123,672","406,902","530,574"
