구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
신경과,975,"5,919","6,894","1,164","5,238","6,402",935,"6,261","7,196","1,165","5,625","6,790",947,"5,812","6,759",894,"5,377","6,271",838,"6,095","6,933",909,"5,673","6,582","1,055","5,838","6,893",854,"5,718","6,572",970,"6,002","6,972",927,"5,492","6,419","11,633","69,050","80,683"
정신건강의학과,319,"2,701","3,020",312,"2,194","2,506",315,"2,715","3,030",317,"2,336","2,653",242,"2,626","2,868",266,"2,467","2,733",216,"2,208","2,424",258,"2,622","2,880",243,"2,506","2,749",201,"2,176","2,377",210,"2,408","2,618",199,"2,358","2,557","3,098","29,317","32,415"
피부과,802,"3,441","4,243",573,"2,626","3,199",562,"2,677","3,239",577,"2,750","3,327",697,"2,636","3,333",676,"2,616","3,292",653,"2,376","3,029",647,"2,449","3,096",703,"2,486","3,189",517,"2,486","3,003",588,"2,349","2,937",562,"2,398","2,960","7,557","31,290","38,847"
재활의학과,518,"6,473","6,991",488,"5,547","6,035",578,"6,046","6,624",453,"6,617","7,070",561,"7,162","7,723",405,"6,665","7,070",474,"6,968","7,442",432,"7,106","7,538",408,"6,687","7,095",382,"6,165","6,547",434,"6,796","7,230",427,"6,564","6,991","5,560","78,796","84,356"
가정의학과,933,"3,063","3,996",567,"2,508","3,075",625,"2,792","3,417",698,"3,015","3,713",668,"2,897","3,565",574,"2,920","3,494",625,"2,945","3,570",683,"3,068","3,751","3,319","3,668","6,987","9,255","4,055","13,310","2,053","3,347","5,400",593,"2,873","3,466","20,593","37,151","57,744"
외과,391,996,"1,387",694,796,"1,490",395,897,"1,292",320,875,"1,195",407,954,"1,361",391,937,"1,328",347,969,"1,316",377,965,"1,342",391,889,"1,280",358,913,"1,271",330,936,"1,266",343,916,"1,259","4,744","11,043","15,787"
흉부외과,151,708,859,320,624,944,132,748,880,172,623,795,157,689,846,182,694,876,179,644,823,169,730,899,152,702,854,148,645,793,162,752,914,151,681,832,"2,075","8,240","10,315"
정형외과,"1,762","4,718","6,480","1,662","3,888","5,550","1,573","3,899","5,472","1,607","3,896","5,503","1,662","4,072","5,734","1,764","3,986","5,750","1,681","4,055","5,736","1,545","4,170","5,715","1,582","4,093","5,675","1,421","3,845","5,266","1,558","4,088","5,646","1,505","4,190","5,695","19,322","48,900","68,222"
신경외과,555,"1,809","2,364",447,"1,450","1,897",736,"1,715","2,451",619,"1,739","2,358",615,"1,784","2,399",645,"1,723","2,368",543,"1,932","2,475",491,"1,807","2,298",541,"1,756","2,297",463,"1,773","2,236",583,"1,727","2,310",474,"1,738","2,212","6,712","20,953","27,665"
성형외과,162,153,315,671,499,"1,170",548,"1,147","1,695",448,599,"1,047",425,382,807,68,177,245,52,196,248,69,221,290,54,200,254,42,153,195,66,179,245,71,185,256,"2,676","4,091","6,767"
산부인과,353,"1,101","1,454",242,"1,023","1,265",401,"1,048","1,449",320,"1,120","1,440",336,"1,129","1,465",316,"1,049","1,365",253,"1,139","1,392",278,"1,176","1,454",267,"1,087","1,354",286,"1,083","1,369",347,"1,152","1,499",310,"1,171","1,481","3,709","13,278","16,987"
안과,"1,914","4,418","6,332","1,514","3,771","5,285","2,121","3,729","5,850","2,173","4,209","6,382","2,167","3,907","6,074","2,308","3,894","6,202","2,216","4,133","6,349","2,036","4,252","6,288","1,791","3,882","5,673","2,003","3,818","5,821","2,146","4,196","6,342","2,090","3,703","5,793","24,479","47,912","72,391"
이비인후과,916,"2,001","2,917",775,"1,805","2,580","1,127","2,089","3,216",844,"2,174","3,018",987,"2,123","3,110",798,"2,035","2,833",865,"2,027","2,892",939,"2,106","3,045",787,"2,103","2,890",744,"1,830","2,574",900,"2,145","3,045",899,"2,248","3,147","10,581","24,686","35,267"
비뇨의학과,803,"6,399","7,202",950,"5,516","6,466","1,099","6,134","7,233","1,041","6,321","7,362",923,"6,230","7,153",828,"5,794","6,622",920,"6,254","7,174",859,"6,659","7,518",839,"6,089","6,928",797,"5,581","6,378",830,"6,318","7,148",985,"6,178","7,163","10,874","73,473","84,347"
치과,"1,519","8,779","10,298","1,443","7,670","9,113","1,497","8,474","9,971","1,547","9,369","10,916","1,750","9,519","11,269","1,714","9,254","10,968","1,732","9,322","11,054","1,638","9,648","11,286","1,585","9,219","10,804","1,560","9,045","10,605","1,653","9,551","11,204","1,560","9,242","10,802","19,198","109,092","128,290"
한의과,97,572,669,76,491,567,89,568,657,110,560,670,101,574,675,97,578,675,80,608,688,100,603,703,54,362,416,88,510,598,106,588,694,101,574,675,"1,099","6,588","7,687"
통증클리닉,149,"1,136","1,285",35,762,797,107,"1,143","1,250",93,"1,025","1,118",120,843,963,104,"1,027","1,131",102,945,"1,047",112,918,"1,030",81,986,"1,067",93,930,"1,023",104,885,989,84,831,915,"1,184","11,431","12,615"
방사선종양학과,31,511,542,188,416,604,24,445,469,99,497,596,37,591,628,58,572,630,36,557,593,27,542,569,36,565,601,31,558,589,29,629,658,33,593,626,629,"6,476","7,105"
완화의료사업실,39,107,146,37,70,107,45,92,137,47,113,160,47,110,157,47,99,146,49,99,148,38,148,186,44,102,146,34,96,130,41,98,139,51,97,148,519,"1,231","1,750"
욕창성형클리닉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
건강관리과,121,58,179,417,53,470,269,169,438,476,165,641,961,298,"1,259",429,105,534,313,141,454,252,54,306,909,259,"1,168",294,101,395,588,132,720,654,83,737,"5,683","1,618","7,301"
"기타(DM,EM)",-,145,145,-,125,125,-,146,146,-,139,139,-,148,148,1,144,145,-,148,148,-,148,148,1,145,146,-,147,147,-,148,148,-,156,156,2,"1,739","1,741"
계,"17,000","76,738","93,738","16,581","66,899","83,480","17,642","74,783","92,425","17,037","74,546","91,583","17,920","75,610","93,530","16,605","72,245","88,850","16,818","74,032","90,850","16,879","77,586","94,465","21,045","75,560","96,605","32,559","72,063","104,622","19,408","76,870","96,278","16,202","73,843","90,045","225,696","890,775","1,116,471"
