구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,계
초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계,초진,재진,계
이비인후과,15,"1,420","1,435",17,"1,024","1,041",26,"1,195","1,221",16,"1,236","1,252",14,"1,229","1,243",10,"1,059","1,069",12,"1,174","1,186",16,"1,150","1,166",9,"1,087","1,096",8,997,"1,005",15,"1,219","1,234",10,"1,149","1,159",168,"13,939","14,107"
비뇨의학과,36,"3,356","3,392",21,"2,955","2,976",31,"3,005","3,036",33,"3,318","3,351",30,"3,174","3,204",15,"3,076","3,091",20,"3,532","3,552",23,"3,204","3,227",17,"3,252","3,269",25,"3,163","3,188",26,"3,161","3,187",24,"3,272","3,296",301,"38,468","38,769"
치과,10,"2,368","2,378",11,"2,211","2,222",14,"2,399","2,413",6,"2,411","2,417",11,"2,152","2,163",2,"2,010","2,012",14,"2,389","2,403",7,"2,051","2,058",6,"2,092","2,098",3,"2,100","2,103",4,"2,218","2,222",3,"2,318","2,321",91,"26,719","26,810"
재활의학과,8,"3,517","3,525",11,"2,691","2,702",9,"3,124","3,133",13,"3,475","3,488",14,"3,330","3,344",7,"3,203","3,210",8,"3,827","3,835",10,"3,342","3,352",6,"3,011","3,017",8,"3,256","3,264",8,"2,933","2,941",4,"2,908","2,912",106,"38,617","38,723"
가정의학과,60,"2,627","2,687",45,"2,019","2,064",61,"2,192","2,253",61,"2,433","2,494",64,"2,339","2,403",46,"2,056","2,102",56,"2,295","2,351",83,"2,126","2,209",69,"2,128","2,197",97,"2,464","2,561",127,"2,738","2,865",99,"2,544","2,643",868,"27,961","28,829"
마취과,,96,96,,86,86,,96,96,,121,121,1,136,137,,120,120,,100,100,,106,106,1,102,103,,109,109,,103,103,,97,97,2,"1,272","1,274"
핵의학과,2,7,9,3,6,9,2,8,10,3,10,13,2,14,16,4,8,12,3,6,9,1,13,14,4,6,10,1,13,14,,13,13,3,15,18,28,119,147
건강관리과,560,,560,565,,565,768,,768,710,,710,"1,122",,"1,122",924,,924,978,,978,989,,989,"1,568",,"1,568","1,465",,"1,465",996,,996,"1,314",,"1,314","11,959",-,"11,959"
한의과,1,615,616,,496,496,,549,549,,579,579,1,532,533,,525,525,1,600,601,1,527,528,,534,534,,583,583,1,501,502,,511,511,5,"6,552","6,557"
계,"1,289","45,198","46,487","1,151","37,311","38,462","1,425","40,732","42,157","1,418","44,344","45,762","1,742","42,997","44,739","1,459","40,272","41,731","1,648","46,539","48,187","1,682","43,071","44,753","2,096","41,338","43,434","2,692","54,022","56,714","1,792","42,385","44,177","1,888","43,141","45,029","20,282","521,350","541,632"
