"진료과별","부속부서","보유장비","진  료  내  용"
"안과","진료실","세극등현미경","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함 백내장 및 안질환 수술 시행"
"이비인후과","청력검사실","청력검사기","순음 청력 검사 및 임피던스 청력검사 등을 이용한 청각 장애자의 진단과 보청기 선택 및 청력 훈련 지도"
"이비인후과","청력검사실","임피던스 검사기","순음 청력 검사 및 임피던스 청력검사 등을 이용한 청각 장애자의 진단과 보청기 선택 및 청력 훈련 지도"
"이비인후과","청력검사실","뇌간유발반응검사기","소리자극으로 유발한 뇌파를 기록하여 청각신경의 이상유무를 판단"
"이비인후과","평형검사실","안진검사기","인체가 평형을 유지하는데 필요한 균형감각과 운동성 등 균형을 유지하게 하는 기능적 능력을 평가"
"이비인후과","평형검사실","전정기관자극기","인체가 평형을 유지하는데 필요한 균형감각과 운동성 등 균형을 유지하게 하는 기능적 능력을 평가"
"이비인후과","수술실","ENT 미세절삭기 수술용 현미경(공용)","부비동염, 귀, 코, 목 질환 수술시 사용"
"이비인후과","수술실","ENT 전기수술기","부비동염, 귀, 코, 목 질환 수술시 사용"
"이비인후과","진료실","ENT 유니트 체어","귀, 코, 목 등에 발생되는 기본질환 검사"
"이비인후과","외래진료실","비디오후두경","기관지 검사"
"피부과","레이져실","CO2 Laser 냉동치료기","점, 사마귀, 티눈 등의 제거"
"비뇨의학과","쇄석실","체외충격파쇄석기","체외 충격파를 이용하여 인체 내부에 있는 요로결석 제거"
"비뇨의학과","수술실","체내충격파수술기 방광경","충격파를 이용하여 인체 내부에 있는 요로결석 제거 및 요관경을 통해 Probe를 넣어 콩팥, 요관, 방광내의 요석을 쇄석"
"비뇨의학과","수술실","양극성전립선 수술기","전립선암 및 전립성 질환 환자의 수술시행"
"비뇨의학과","검사실","전립선초음파 진단기","직장 내 초음파 탐촉자를 삽입하여 전립선 크기를 측정"
"비뇨의학과","검사실","요역동학검사기","요류검사, 방광내압측정, 괄약근 검사로 배뇨기능 장애 검사"
"비뇨의학과","검사실","잔뇨량측정기","초음파를 통해 배뇨 후 잔뇨량을 측정"
"비뇨의학과","검사실","체외자기장치료기","전기신경자극을 통한 요실금, 만성 전립선염을 치료"
"재활의학과","근전도실","근전도검사기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","초음파치료기","심부조직에 열을 공급하고, 미세한 마사지 효과를 기대 할 수 있으며, 혈액순환을 촉진하여 통증경감, 타박상, 염좌, 건초염, 요통에 탁월한 효과를 얻을 수 있음"
"재활의학과","열전기치료실","견인치료기","기계의 힘을 통해 지속 또는 간헐적으로 경추 또는 요추 부위를 견인하여 척추 관절사이를 신장함으로 해부학적 상태를 바로잡아주며, 통증치료를 목적으로 함"
"재활의학과","열전기치료실","간섭파치료기","서로 다른 중주파를 간섭시켜 피부저항이 거의 없을 정도의 저주파 통전으로 전기통증이나 불쾌감이 없는 상태에서 심부조직을 효과적으로 자극함"
"재활의학과","열전기치료실","근육전기자극치료기","신경손상에 의한 근육마비, 관절운동범위 유지 및 획득, 경련성 완화, 근재교육 치료에 사용함"
"재활의학과","열전기치료실","극초단파치료기","초고주파 에너지를 발생시켜 특정부위를 가열하여 혈류량 증진, 관절 강직 감소, 진통, 근경축완화, 만성염증 및 감염 치유 촉진에 사용함"
"재활의학과","열전기치료실","레이져치료기","레이져 광선의 독특한 성질을 이용하여 생체 자극을 주어 생체 변환에 의한 치료를 하는 기기로서 상처치유, 항염효과 진통효과에 사용"
"재활의학과","열전기치료실","경피신경자극치료기(TENS)","단속적인 전류를 경피적으로 통전함으로써 통증 경감에 도움을 주고 부적으로 미열효과와 마사지 효과를 기대 할 수 있음"
"재활의학과","운동치료실","틸팅테이블","환자 초기의 기립시, 예측 할 수 없는 사태를 피하고 불안감을 주지 않으며, 서서히 기립자세에 대응하는 훈련을 가능하게 함"
"재활의학과","운동치료실","균형훈련용테이블","뇌졸중, 하지마비, 파킨슨병, 근이영양증이나 중심을 잡기 힘든 환자를 대상으로 직립자세에서 다양한 동적균형훈련과 동적 보행균형훈련에 적용 함"
"재활의학과","운동치료실","트레드밀","노약자나 장애를 가지고 있는 사람들이 안전하게 보행훈련을 할 수 있는 의료용 트레드밀"
"재활의학과","운동치료실","기립훈련기","기립보조벨트를 리모콘을 통해 전동식으로 조절하여, 휠체어 환자를 넘어짐을 방지하여 기립 시킨 후, 안전한 균형 훈련을 가능하게 함"
"재활의학과","운동치료실","팔,다리전동운동기","수동식 자전거로 장애인, 노약자등의 재활 목적으로 상하지 연동하여 전신운동을 가능하게 함"
"재활의학과","운동치료실","근육운동및강직치료기","척수손상, 뇌졸중, 소아마비, 뇌성마비 등의 지체 부자유인 및 노약자들의 지속적이고도 안전한 수동운동과 능동운동을 동시에 가능하게 함"
"재활의학과","작업치료실","작업치료용 기구세트","적절한 도구를 사용하여 신체적, 정신적, 사회적 손상을 입은 환자들의 손상된 기능을 회복하도록 함"
"재활의학과","작업치료실","혀근력측정기 및 강화훈련기","연하장애를 갖고 있는 환자들에게 혀의 근력을 측정하고 강화하여 환자들의 연하능력을 개선 함"
"치과","파노라마실","파노라마 & CT","치아의 상태검사를 위한 엑스레이 행위"
"치과","치과진료실","유니트체어","치아의 상태검사, 발치, 치료, 임플란트 등의 일체의 행위"
"치과","임플란트실","임플란트수술기","임플란트 일체의 행위"
"마취통증의학과","수술실","무영등","수술시 병변을 비추거나 자세를 잡아 주는등 수술을 위한 기본적인 필요장비"
"마취통증의학과","수술실","수술대","수술시 병변을 비추거나 자세를 잡아 주는등 수술을 위한 기본적인 필요장비"
"마취통증의학과","수술실","전기수술기","수술시 병변을 비추거나 자세를 잡아 주는등 수술을 위한 기본적인 필요장비"
"마취통증의학과","수술실","마취기","수술시 병변을 비추거나 자세를 잡아 주는등 수술을 위한 기본적인 필요장비"
"마취통증의학과","수술실","기구세척기","수술용 기구 세척"
"마취통증의학과","회복실","환자감시모니터시스템","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","회복실","체온조절기","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","회복실","정맥마취용실린지펌프","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","회복실","수액주입기","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","외래진료실","초음파진단기","통증치료를 위한 시술에 사용"
"영상의학과","MRI실","자기공명영상장치","방사선 검사와 달리 방사선 피폭 등의 불안요소 없이 수술을 하지 않고 인체내부를 관찰할수 있는 첨단 영상기법으로 암, 관절, 연부조직, 뇌, 중추신경, 심맥관계와 흉부, 복부, 골반, 근골격계 및 사지 등의 진단"
"영상의학과","CT실","전산화단층촬영장치","두부, 복부, 골절, 수두종, 뇌출혈, 각종 뇌종양 및 기타 전신 어느 부위나 단층촬영에 의해 검사할 수 있으며, 정확도가 높아 진료 각 과에서 광범위하게 이용"
"영상의학과","일반촬영실","일반 X-Ray 촬영장치","결핵 및 폐암등 흉부의 이상유무와 복부, 골절 및 탈골등의 뼈의 이상유무 진단"
"영상의학과","초음파검사실","초음파진단기","상하복부의 병변유무 및  혈관의 혈류상태, 갑상선, 유방등 신체의 대부분의 영역 진단에 이용"
"영상의학과","골밀도검사실","골밀도검사기","골대사성질환(골다공증, 부 갑상선 기능 항진증, 신성골이영양증, 다발성골수증을 포함한 골 조직의 이상을 초래한 질병을 총칭함) 환자의 진단"
"영상의학과","판독실","판독용모니터","각종 진단을 위해 촬영한 이미지를 화면을 통해 판독"
"영상의학과","수술실","C-Arm 촬영장치","정형외과, 신경외과, 일반외과 등의 수술시 환자의 수술부위를 정확하게 X-선으로 투시하면서 수술을 시행."
"진단검사의학과","뇨검경","소변검사기","소변검사 및 대변검사"
"진단검사의학과","일반혈액검사길","자동혈구분석기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단"
"진단검사의학과","일반혈액검사길","자동혈액응고검사기","인체내의 혈장을 검체로 하여 혈액 응고기능을 분석"
"진단검사의학과","임상화학검사실","혈액가스분석기","환자의 혈액내에 존재하는 pH, pO2, pCO2 등 가스와 전해질 등을 측정하는 장비"
"진단검사의학과","임상화학검사실","자동생화학검사기","인체대사와 관련있는 물질을 다양한 분석법을 이용하여 생화학검사"
"진단검사의학과","진단면역검사실","면역발광측정기(임대)","간염검사, 갑상선기능 검사, 각종 종양관련검사 등 혈청검사"
"진단검사의학과","혈액은행","혈액보관 냉동/냉장고","수혈을 요하는 환자에게 적합한 혈액을 준비하여 공급"
"중환자실","중환자실","환자감시모니터시스템","혈압, 맥박, 호흡수를 24시간 모니터하여 중환자 집중 치료"
"중환자실","중환자실","인공호흡기","무호흡 및 호흡곤란이 지속되는 경우 기관삽관 및 기관 절개관을 통해 인공적인 기계 호흡을 시켜 중환자를 치료하는 최신 의료장비"
"중환자실","중환자실","제세동기","불안정한 심장 맥박을 인위적인 전기 자극을 통해 안정화시키는 장비"
"중환자실","중환자실","수액주입기","수액 주입 시 24시간 정확한 주입 속도를 유지하여 중환자 집중적 치료"
"중환자실","중환자실","체온조절기","수술 후 저체온 환자를 위해 적정의 온도로 가온시켜주는 장비"
"중환자실","중환자실","혈액가온기","수혈 시 혈액을 가온시켜  집중진료를 요하는 중환자를 최신 의료장비로 집중적 치료"
"중환자실","중환자실","심전도기","심장 리듬을 분석하여  집중진료를 요하는 중환자를 최신 의료장비로 집중적 치료"
