"진료과","부속부서","보유장비","진료 내용"
"영상의학과","유방촬영실","맘모툼","외과적 수술을 하지 않고도 유방암의 진단에 필요한 유방 조직을 채취하고, 유방 내의 멍울 또는 혹등의 다양한 이상병변의 제거도 가능"
"영상의학과","유방촬영실","입체적유방절제생검술","초기유방암을 시사하는 유방의 미세 석회를 3차원상의 위치 추적의 원리로 외과적 수술없이 병변 제거"
"영상의학과","인터벤션실","혈관 조영 촬영기","뇌동맥류, 경동맥 스텐트, 말초혈관질환, 자궁근종, 정맥류, 간암 등의 질병을 수술없이 치료하는 새로운 치료 방법 인터벤션센터에서 시행하는 치료는 경피적 혈관 성형술, 대동맥 질환 인조혈관 스텐트 설치술, 조직검사, 담도질환의 인터벤션, 위장관 질환의 치료를 위한 인터벤션, 뇌혈관 질환의 인터벤션, 비뇨기계 질환의 인터벤션 등이 있다."
"방사선종양학과","","선형가속기","방사선을 이용하여 일반적인 치료뿐만 아니라 최첨단의 특수치료 분야인 세기조절 방사선치료, 영상유도 방사선치료, 호흡동조 방사선치료 시행"
"방사선종양학과","","CT-SIM","정위적 방사선수술, 정위적 체부 방사선치료, 호흡연동 래피드아크 기술을  적용하여 암 치료율을 높이는 것은 물론 환자의 "
"방사선종양학과","","RTP System","삶의 질을 향상시키고 높은 수준의 의료 제공"
"방사선종양학과","","Dosimetry system",""
"핵의학과","PET-CT","PET-CT","생리대사를 반영하는 추적자가 결합된 방사성동위원소를 체내에 주입 후 그 분포를 영상화 함, 암의 조기진단, 재발 및 전이 진단, 치료효과의 판정, 알츠하이머 치매, 파킨슨씨병, 간질 등 뇌질환 및 신경계 질환 진단과 치료효과의 판정"
"핵의학과","체내검사실","감마카메라","미량의 유용한 방사성동위원소가 표지된 방사성 의약품을 인체 내에 주사하여 신체의 해부학적 및 생리학적 상태의 영상획득, 골스캔, 갑상선스캔, 침샘스캔, 폐스캔, 간담도스캔, 신장스캔, 심장, 관류 스펙트, 뇌관류 스펙트 등의 검사를 이용하여 각종 질환 진단"
"핵의학과","체외검사실","감마선계측기","환자에게서 혈액, 소변 등 검체를 채취하고 방사성동위원소를 반응시켜 체내에 있는 미량의 물질의 농도를 측정하여 질병의 유무나 정도를 진단"
"진단검사의학과","일반혈액검사실","자동혈구계산기","말초일반혈액검사, 특수혈액검사, 혈액특수염색, 골수검사 등 시행."
"진단검사의학과","일반혈액검사실","자동적혈구 침강 측정기","적혈구침강속도(ESR) 검사 시행"
"진단검사의학과","일반혈액검사실","자동혈액응고측정기","Prothrombin Time, APTT, FDP, Fibrinogen 등 혈액응고 관련 검사 시행"
"진단검사의학과","일반혈액검사실","자동혈소판응집측정장치","혈소판약물반응 검사 시행"
"진단검사의학과","일반혈액검사실","자동당화혈색소 측정기","당뇨관련검사 중 당화 혈색소 검사 시행"
"진단검사의학과","임상화학검사실","자동생화학분석기","Electrolyte, BUN, AST, ALT, Creatinine등이 포함된 일반화학검사와 요화학검사 등을 시행"
"진단검사의학과","임상화학검사실","삼투압측정기","혈액과 소변 검체의 Osmolality 검사 시행"
"진단검사의학과","임상화학검사실","분광 광도계","혈액을 이용한 Indocyanine green test 시행"
"진단검사의학과","미생물검사실","자동미생물 분석기","감염증상이 있는 환자의 가검물에서 원인이 되는 병원체(세균, 진균)를 분리 동정하고 항생제 감수성을 시험하기 위하여"
"진단검사의학과","미생물검사실","자동혈액 배양기","세균 및 진균의 염색 및 검경, 배양, 감수성검사를 실시"
"진단검사의학과","미생물검사실","자동항생제 디스크","혈액배양 장비로는 BacT/ALERT 3D 자동화기기를 이용하고 분석장비로는 MicroIDSys(ASTA), Vitek2(bioMrieux)와 WalkAway(MicroScan)을 사용하고 있으며, Clinical and Laboratory Standards Institute(CLSI)의 지침에 따라 항생제 감수성 결과 분석·보고"
"진단검사의학과","미생물검사실","억제대 측정기",""
"진단검사의학과","미생물검사실","진균 배양기",""
"진단검사의학과","미생물검사실","혐기성 배양기",""
"진단검사의학과","미생물검사실","자동 그람염색기",""
"진단검사의학과","미생물검사실","세균분류동정장치 ",""
"진단검사의학과","혈청검사실","자동면역 분석기","A·B·C형 바이러스성 간염을 비롯한 각종 바이러스 감염질환 관련검사, 유행병 관련검사 등 감염관련 검사와 TSH, FT4, parathyroid hormone, bone-specific ALP 등의 호르몬검사, PIVKA-II, AFP, CEA, CA19-9, PSA, CA-125등 종양표지자 검사 등 시행"
"진단검사의학과","혈청검사실","약물검사 분석기","vancomycin, digoxin, valproic acid 등의 약물검사 및 Vanco TDM, 중금속검사 등 시행"
"진단검사의학과","단백면역검사실","자동 단백면역 분석기","Immunoglobulin, ASO 등의 단백면역 관련검사 시행"
"진단검사의학과","단백면역검사실","자동 알러지 분석기","ANA, ANCA, Anti-CCP 등의 자가면역질환 관련검사와 알러지 관련검사 시행"
"진단검사의학과","단백면역검사실","전기영동","혈액중의 Protein EP, Immunofixation EP 검사를 시행하여 단백질 이상 여부를 판별"
"진단검사의학과","혈액은행검사실","동결혈장 해동기","혈액형검사, 수혈혈액의 적합성검사, 혈액의 보관,관리 및 출고 등 수혈에 관련된 검사 업무를 혈액은행 자동화 장비(IH-500)"
"진단검사의학과","혈액은행검사실","혈소판 교반기","와 수기법으로 수행하고 있으며, 연중무휴 24시간 가동하여 신속하고 안정된 혈액 공급 업무 수행"
"진단검사의학과","혈액은행검사실","혈액은행자동화장비",""
"진단검사의학과","응급검사실","자동혈액가스분석기","전담인력을 배치하여 연중 24시간 상시운영하여 응급실, 외래 각 과, 병실에서 의뢰되는 각종 응급검사를 효율적으로"
"진단검사의학과","응급검사실","자동 혈구계산기","시행하고 있으며 신속한 결과보고를 위해 TAT관리에 만전을 기함"
"진단검사의학과","응급검사실","자동 혈액응고 측정기","응급일반혈액, 응급혈액응고, 응급생화학, 응급심장표지자, 응급ABGA, 응급소변, 체액검사 등 시행"
"진단검사의학과","응급검사실","자동 적혈구 침강측정기",""
"진단검사의학과","응급검사실","삼투압 측정기",""
"진단검사의학과","응급검사실","자동 면역 분석기",""
"진단검사의학과","응급검사실","신생아 황달 측정기",""
"진단검사의학과","분자생물검사실","중합효소연쇄반응기","HLA-B27, ApoE genotyping등의 인체 유전자 검사를 시행하고 있으며 최신 PCR 기법을 이용하여 , "
"진단검사의학과","분자생물검사실","자동 분자생물 분석기","B·C형 간염 바이러스의 정량검사, 급성설사세균PCR(10종), HPV genotyping, 결핵균검사, C.difficile real-time PCR, HSV PCR 등의 "
"진단검사의학과","분자생물검사실","분자생물 증폭기","검사를 시행. 또한 감염병의 신속한 진단을 위해 2019-nCoV PCR, GeneXpert 2019-nCoV PCR 신속 검사와 SARS-CoV-2 Ag test 시행"
"진단검사의학과","분자생물검사실","전기영동 장치",""
"진단검사의학과","분자생물검사실","겔 영상 분석기",""
"진단검사의학과","뇨검경실","자동 요분석기","자동요분석기를 이용한 요단백, 요잠혈, 당뇨 등의 정성검사와"
"진단검사의학과","뇨검경실","자동 요침사분석기","자동요침사분석기를 이용한 세포, 결정, 원충 등의 요침사검사"
"진단검사의학과","뇨검경실","분변자동정량분석기","분변자동정량 분석기를 이용한 대변잠혈검사, 현미경 검경을 통한 기생충 검사 등을 시행"
"진단검사의학과","결핵배양검사실","자동 결핵균 배양기","배양 양성률을 향상시키고 동시에 배양기간을 단축시키기 위해 고체배지법(오가와배지)과 BACTEC MGIT 960을 이용한"
"진단검사의학과","결핵배양검사실","항산성균 자동 염색기","액체배지법을 동시에 사용하고 있으며 GeneXpert II를 이용하여 신속하고 정확한 결핵 진단 업무 수행 "
"진단검사의학과","결핵배양검사실","유전자증폭장치",""
"진단검사의학과","채혈실","채혈자동화 시스템","자동화 시스템을 도입하여 채혈소요시간을 단축시켜 채혈실 업무의 효율을 높이고 채혈실 내원객의 고객만족도를 향상 "
"병리과","조직병리실","육안검체 절제대","모든 수술 검체와 내시경 검사 등의 작은 검체를 접수한 후 육안검사를 통해 병변을 확인하고 슬라이드 표본을 제작한다. "
"병리과","조직병리실","육안검체 촬영장치","제작된 슬라이드를  병리과 전문의가 현미경으로 관찰하여 환자의 질병을 진단하며, 특히 암환자의 조직검사를 통하여"
"병리과","조직병리실","조직자동처리기","암종의 종류,  분화정도, 침윤정도 등의 중요한 정보를 임상의사에게 제공하여 치료방향을  결정하는데 가이드라인 제시."
"병리과","조직병리실","포매기",""
"병리과","조직병리실","박절기",""
"병리과","조직병리실","자동염색기",""
"병리과","조직병리실","자동봉입기",""
"병리과","조직병리실","현미경디지털 영상하드웨어 장치",""
"병리과","동결절편 검사실","동결절편기","수술도중 예상하지 못했던 병변을 발견하거나 암 수술 시 림프절 전이여부, 수술절제연의 암조직 존재여부 등을 병리과의사가 신속히 판단하고  병리진단을 제공,  수술방법 및 범위를 결정하는데 도움을 줌"
"병리과","면역검사실","자동면역염색기","50여 종류의 다양한 항체와 각 세포가 가진 고유의 항원을  이용한  항원-항체 반응 검사하여 진단에 도움을 줌.  특히 암세포 종류 및  특성을 검사 하여 진단의 정확성을 더 높이고,  예후 판정과 치료방향의 가이드라인을 제시한다. 일반조직검사 후에 추가로 면역염색을 함으로써 2~3일 후 검사 결과를 알 수 있음"
"병리과","특수염색검사실","","일반적인 염색(H&E stain) 이외의  특수염색을 추가적으로 시행하여 좀 더 정확한 진단을 할 수 있도록 하며, 결핵균 검출을 위한 AFB염색, 진균류 및 점액성분을 보기 위한 PAS, DPAS, Mucicarmine 염색, 칼슘 침착을 보기 위한 염색 등 진단을 위해서 보조적으로 필요한 경우에 시행"
"병리과","세포병리검사실","세포원심분리기","소변, 객담, 복수, 흉수 등의 체액, 자궁질 도말검체와 갑상선, 림프절에서 체취한 세포를 현미경으로 관찰하여(주로 암세포"
"병리과","세포병리검사실","자동염색기","유무에 대한)진단"
"병리과","세포병리검사실","자동봉입기",""
"병리과","세포병리검사실","현미경 디저털 영상하드웨어 장치",""
"건강관리과","","한천석 시력표","채용신체검사, 건강진단서 발급, 성인병 건강검진(보험공단),"
"건강관리과","","청력계기","자동차 운전면허 적성검사, 총포 및 도검소지허가 신체검사"
"건강관리과","","자동혈압측정기",""
"건강관리과","","자동신장체중계",""
"한의과","","전침","침에 지속적인 전기 자극을 주어 각 파형에 따라 통증 및 근무력 치료 등에 사용하는 장비"
"한의과","","적외선치료기","침구시술 부위에 사용하여 근이완 및 혈액순환증진으로 치료효과를 높이는 장비"
"한의과","","적외선체열진단기","인체에서 자연적으로 방출되는 적외선을 감지하여 컬러 영상화하고 이를 통해 신체 이상 부위 검출"
"응급의학과(지역응급의료센터)","","","급성질환이나 손항에 대한 응급진료 전담. 내원환자 상태 조기 안정화 및 검사를 통해 중증질환은 임상 각 과의 입원 치료가 이루어지도록 연계, 경증환자는 증상조절 하여 외래 통원 될 수 있도록 조치"
"응급의학과(지역응급의료센터)","","Ventilator(인공호흡기)","자발호흡 안될 시 사용"
"응급의학과(지역응급의료센터)","","Walmel Blanket(full body)","저체온 시 사용하여 체온을 올려줌"
"응급의학과(지역응급의료센터)","","보온포",""
"응급의학과(지역응급의료센터)","","Rapid infusion warmer(급속혈액가온기)","혈액을 빠른 시간 내 신속주입하고 , 저체온 환자에게 혈액을 가온하여 주입함"
"응급의학과(지역응급의료센터)","","EKG monitor","환자 집중감시장치"
"응급의학과(지역응급의료센터)","","Defibrilator(제세동기)","심장전기충격기"
"응급의학과(지역응급의료센터)","","이동식초음파 진단기","응급초음파기"
"암센터","암교육실","","암환자 및 보호자에게 의사, 종양전문간호사, 약사, 임상영양사의 교육팀이 전문 교육·상담 실시 및 체계적인 관리를 통해 고객만족도 증진 또한, 암환자 및 보호자에게 올바른 암정보를 제공하여 치료효과를 극대화하여 의료서비스 질향상 및 고객만족도 증진"
"암센터","다학제통합진료","","서로 다른 전문과목 임상 전문의들이 동시에 환자 맞춤형 대면진료 제공하여  진료시간 단축 및 환자 편의 증진으로 고객만족도 제고 다각적 근거를 기반으로 정확한 진단 및 최적의 치료계획을 도출하여  최상의 개별 맞춤형 치료를 제공하여 환자 신뢰도 상승 및 의료서비스 질향상"
"암센터","접수실","","암환자 개인별 질병상태에 따른 신속하고 정확한 센터별 진료과 예약 및 안내"
"암센터","장기별 암센터","","차별화된 전문 진료센터 운영을 통한 진료역량 강화 및 고객 만족도 제고 다학제통합진료회의 실시를 통한 의료전문가들간의 효율적 의사소통으로 환자중심의 수준 높은 의료서비스 제공"
"암센터","홈페이지","","암센터 홈페이지를 통한 의료서비스제공(암센터소개, 진료안내, 암종별센터 안내,암정보, 공지사항)으로 고객만족도 증진"
"외과","위암 클리닉","복강경수술장비","소화기계통의 암의 사전 진단·수술 및 상담(로봇수술 포함)"
"외과","대장암 센터","복강경수술장비","대장종양 및 염증성 장질환 환자의 검사 진단 입원·수술(Lap. Specialized)후 진료"
"외과","대장암 센터","3D 초음파",""
"외과","대장암 센터","대장내시경",""
"외과","항문 클리닉","3D 초음파","직장암 환자의 수술 전·후 기능평가 및 관리"
"외과","항문 클리닉","대장내시경","양성대장항문질환자의 평가와 치료"
"외과","항문 클리닉","항문기능검사치료기",""
"외과","변비 클리닉","3D 초음파","만성변비 환자의 평가와 치료"
"외과","변비 클리닉","대장내시경",""
