진료과,소속부서,보유장비,진료내용
핵의학과,P E T / C T 실,"PET/CT,감마카메라,초음파진단기","방사성 동위원소에서 발생하는 감마선이나 베타선을 이용하여 신체의 해부학적 또는 생리학적 상태를 진단하고, 개봉된 방사성 선원으로 질병 치료와 갑상선암을 중심으로 한 갑상선 질환 치료"
"진단,검사의학과",혈액실,,항상 신선한 혈액을 준비하여 응급수혈을 요하는 환자에게 신선한 혈액을 공급할 수 있도록 관리운영
"진단,검사의학과",임상병리실,"화학검사기,조직검사기,생화학검사기,세균검사,현미경,배양기,전해질검사기,혈구계산기","환자로부터 채취한 혈액, 골수, 혈장, 혈청, 소변, 대변 등 각종검체애 대하여 임사병리사가 화학검사, 혈액가스검사, 세균검사, 배양검사 등을  자동혈액분석기 및 각종 검사기기를 통해 검체에서 원인을 파악하고 관찰검사를 통해 정확한 정보를 제공"
응급의학과,,,"급성질환이나 손상환자에 대한 응급진료를 전문적으로 담당하며 심폐소생술, 응급처치를 주로 시행"
외과,"항문클리닉,당뇨성 족부질환센터","대장경,항문경,복강경 수술 장비,직장경","위암, 대장암 수술 및 복강경 수술, 항문 질환 치료, 간담도계 질환, 복강경하 담낭절제술,  갑상선종양 잔단 및 수술,  화상 및 조직 손상 및  욕창 치료"
정형외과,,"초음파진단기,관절경,골밀도 검사기,Nevigation,CPM",",,견관절, 슬관절, 관절내시경, 슬관절, 고관절, 인공관절 치환술 등 외상에 대한 치료와 각종질환에 대한 진료,,"
정형외과,석고실,전기석고절단기골절처치대,골절 등의 신체적 손상을 복구하고 손상부문의 기능개선 및 회복 도모
신경외과,,"Midas Rex Drill,척주전용 수술대,내시경 척추수술","뇌 및 척추(요추, 경추)에 발생한 질환에 대하여 외과적 진단, 치료 및 수술 시행"
산부인과,갱년기클리닉,"검진대,질확대경,복강경","난산상담, 가족계획상담, 선천성 및 유전적 이상질환의 진단 및 기형아 예방을 위한 세포유전학 상담, 자궁암의 조기진단 및 치료 상담, 불임부부를 위한 불임검사 및 치료, 갱년기 클리닉 운영"
안과,안과검사실,"자동시력측정기,광각안저촬영기,자동굴절측정기,세극등,안저카메라","각종 각막의 질환 및 굴절장애검사, 환자의 시력을 자동으로 측정하여 근시, 원시등의 굴절장애 검사 등 수행"
안과,,"YAG 후낭 절개레이저,아르곤레이저,수술용 현미경시스템","녹,백내장 수술, 눈물길 수술 및 안구표면질환 수술 시행"
이비인후과,,후두경,"중이염에 대한 미세현미경 수술, 이명, 현훈증(어지러움) 진료, 부비동염(축농증) 내시경 수술, 알레르기성 비염치료, 편도성 및 후두미세 수술, 두경부 종양의 진단 및 수술"
이비인후과,청력검사실,"청력검사기,타각적청력역치검사기","청력관련 검사, 청각장애자의 진단과 보청기선택 및 훈련지도"
비뇨기과,방광경실,"방광경,전립선절제경,체외충격파쇄석기,체외자기장치료기","비뇨기과 전문의가 경요도적 수술과 방광 및 요도의  이상을 진단하고 치료,신장, 요관 등 질환에 체외충격파를 이용하여 결석에 대한 비수술적 치료 수행"
치과,기  공  실,가공용 엔진,"치과전문의로 하여금 치아손상 및 치아기능 장애 환자 치료, 악골교정수술, 인공치아매식, 안관절질환, 보철 등 "
마취통증의학과,수  술  실,,"수술시간 및 환자상태에 다라 전신마취, 부위마취, 국소마취를 시행하여 통증 자가 조절로 수술 후 통증을 관리"
마취통증의학과,통증클리닉,,"요통, 두통, 이명, 근막통, 오십견, 퇴행성 관절염, 대상포진 등의 질병에 있어서 요부 및 경부경막 부위 주사 등 각종 신경차단술 시행"
