"진료과","소속부서","보유장비","진료내용"
"마취통증의학과","통증클리닉","고주파 열응고기","척추수술 및 동통치료 시 병의 근원이 되는 신경부위를 고주파의 원리를 이용, 통증 및 병변 부위를 치료"
"중환자실","중환자실","환자감시장치인공호흡기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"영상의학과","X-선 촬영실","투시전용 X-ray디지털 X-ray디지털 흉부 X-ray","최신 X-ray 촬영기를 장치하여 각 진료과에서 이용할 수 있으며, 특수촬영으로 식도, 위장, 소장, 대장, 담낭, 신장, 혈관조영술, 자궁난관 조영술을 시행"
"영상의학과","MRI 촬영실","MRI 촬영기","방사선 검사와 달리 방사선 피폭 등의 불안요소 없이 수술을 하지 않고 인체내부를 관찰할수 있는 첨단 영상기법으로 암, 관절, 연부조직 등의 진단을 정확히 내릴수 있는 영상진단 장비"
"영상의학과","CT 촬영실","CT 촬영기","두부, 복부, 골절, 수두종, 뇌출혈, 각종 뇌종양 및 기타 전신 어느 부위나 단층 촬영에 의해 검사할 수 있으며, 정확도가 높아 진료 각 과에서 광범위하게 이용"
"영상의학과","초음파 진단실","초음파 진단기","내과에서 담낭, 간, 췌장, 비장의 진단에 이용되고 비뇨기과에서 신장질환 진단에 이용"
"영상의학과","골밀도 촬영실","골밀도 촬영기","고령 및 폐경기 여성의 대사성 질환으로 야기되는 골다공증에 대한 정밀 진단에 이용"
"진단검사의학과","혈액실","","항상 신선한 혈액을 준비하여 응급수혈을 요하는 환자가 기타 수혈을 요하는 환자에게 신선한 혈액을 공급할 수 있도록 관리 운영"
"진단검사의학과","미생물실","미생물동정기항생물징검사기염색기미생물안전캐비넷","각 종 미생물 배양검사를 시행"
"진단검사의학과","임상검사실","생화학 검사기혈구계산기세균검사원심분리기현미경","독물화학검사, 혈액가스검사를 시행하고, 세균검사로 세균동정 혈액균, 결핵균 진료 배양검사 시행, 자동혈액분석기를 이용하여 간장기능을 검사하고 간장 질환 진단"
"건강검진과","종합검진실","체성분 분석기청력검사기","신체의 체성분인 수분, 근육, 지방, 단백질을 분석하여 몸의 균형관리, 비만관리, 운동처방등 건강증진에 이용"
"가정의학과","","","일상 생활에서 발생하는 질병의 진단과 치료, 예방과 재활·건강상담에 이르기까지 평생 관리를 받을 수 있도록 함"
"한방진료과","","전자침적외선조사기","한의학의 이론에 의거한 침, 뜸, 부항과 같은 전통적인 방법을 사용하여 질병으로 치료"
"치     과","진료실","진료용유니트무영등세척기","치과 진료 및 임플란트 전용 수술실에서 수술, 치료를 하고 각 종기구 또한 세척이 가능하여 치과환자 처치를 원활히 할 수 있도록 운영"
"치     과","기공실","기공용 엔진보철수술기구","치아 손상 및 치아 기능장애 환자치료"
"신장내과","인공신장실","혈액투석기혈류측정기체수분검사기","혈액 투석 시  투석 환자의 편의제공"
