진료과별,소속부서,보유장비,내용
정신건강의학과,,뇌파검사기,"기분장애, 불안장애, 알코올 등 중독장애, 수면장애, 신경인지 장애 등의 정신"
정신건강의학과,,,의학적 질환 치료
정신건강의학과,,,"불면증(수면장애), 치매를 비롯한 신경인지장애에 대한 치료"
정신건강의학과,,,"공황장애, 불안장애, 우울증 등의 기분장애에 대한 진료"
정신건강의학과,임상심리실,,신경인지장애 환자 및 정신의학적 질환에 대해 전문검사 시행
피부과,,,"피부질환, 색소성 피부질환, 레이져치료, 알레르기 질환"
피부과,,냉동치료기,"광선각화증, 사마귀 등 치료"
피부과,,Co2  laser,"지루각화증, 모반, 피지샘 증식증 등을 치료"
피부과,,,"편평세포암, 기저세포암 등을 치료을 피부조직검사 및 양성종양 절제술 시행"
가정의학과,,,"가정의학과 질병의 예방적인 진료와 상담, 내,외과계를 포함한 전진료과에"
가정의학과,,,대하여 폭넓은 진료 실시
가정의학과,노인의학 클리닉,,"노화에 따른 신체적 및 정신적 기능의 변화, 노인성질환의 진단과 치료"
가정의학과,노인의학 클리닉,,노인성 증후군의 예방과 관리
가정의학과,완화의료병동,29병상,말기암 환자의 마지막 순간을 편안하고 의미 있게 맞이 할 수 있도럭 완화의료
가정의학과,완화의료병동,,"전담팀을 구성, 의학적 도움  및 남은 삶을 평화로운 가운데 의미 있게 보낼 수"
가정의학과,완화의료병동,,있도록 총체적인 의료서비스 제공
한의과,치료실,,인체에 나타나는 여러증상에 대해 한의학적 관점을 기초로 침구 및 부황치료 시행
한의과,치료실,,"근골격계질환 통증제어 침구치교, 뭉친근육을 풀어주는 부황치료"
한의과,치료실,,뼈와 근육을 강화시켜주는 약물 치료
한의과,치료실,적외선 체열진단기,인체에서 자연적으로 방출되는 적외선을 감지하여 인체의 통증부위와 질병부위의 
한의과,치료실,,"미세한 체열변화를 컬러 영상으로 나타내주어, 신경병증, 근육통증, 순환장애"
한의과,치료실,,염증성 질환을 진단
재활의학과(재활센터),운동치료실,초단파 치료기,"뇌졸증재활, 근골격계통증재활, 척추손상재활, 노인재활 등 진단및 치료"
재활의학과(재활센터),작업치료실,초음파치료기,"일반적으로 어떠한 질환의 합병증을 초기에 예방하고, 질병이나 부상으로 생긴 장애"
재활의학과(재활센터),열전기치료실,전기자극치료기,를 가진 환자의 기능적인 회복을 위해 재활치료 실시
재활의학과(재활센터),근전도실,근전도검사기,중추신경 및 말초신경 등 근육 질환 진단하고 예후 판정
재활의학과(재활센터),체외충격파 치료실,체외충격파 치료기,"고에너지 충격파를 이용하여 최소침습, 비수술요법으로 근골격계 통증치료"
재활의학과(재활센터),가상체험치료실,가상운전재활시뮬레이터,가상현실의 운전재활 세뮬레이터 교육으로 환자 운동기능 및 인지능력 향상
재활의학과(재활센터),상지로봇치료실,로봇상지재활치료시스템,저하된 상지기능을 정확하게 분석후 로봇을 활용하여 재활 치료
재활의학과(재활센터),하지로봇치료실,"워크봇, 엔젤렉스, 안다고",최첨단 보행로봇을 활용한 차별화된 보행 전문 재활 치료
재활의학과(재활센터),언어치료실,,"언어 의사소통에 어려움을 보이는 환자 대상 언어장애 평가 및 치료, 상담 시행"
재활의학과(재활센터),심리재활치료실,,재활과정에서 나타나는 심리적 어려움 파악 및 심리검사 진행
재활의학과(재활센터),호흡재활치료실,,폐질환관련 호흡 증상 완화 및 일상생활기능 회복증진을 위한 호흡 재활 치료
진단검사의학과,임상검사실,화학검사기,"환자로 부터 채취된 혈액, 골수, 혈장, 혈청, 소변, 대변, 흉수 등 각종검체에 대하여"
진단검사의학과,,혈액검사기,"임상병리사가 진단혈액, 임상미생물, 수혈의학, 진단면역, 분자진단 및 생리기능검사"
진단검사의학과,,세균검사기,"를 실사하며, 24시간 응급검사 및 혈액은행 검사 업무 시행"
진단검사의학과,,전해질분석기,
진단검사의학과,,심전도검사기,
병리과,조직검사실,자동조직표본제작기,"해부병리과 전문의가 조직검사 또는 세포검사를 통하여, 질병의 원인, 장기나 조직"
병리과,,조직절편기,변화 등을 판독 진단
병리과,,동결조직절편기,
병리과,,조직포매기,
병리과,,자동염색기,
영상의학과,자기공명영상장치실(MRI),자기공명영상장치,뇌충추신경계 및 척추신경 심맥관계 및 흉 복부 골반근골격계 및 사지 등의 진단장비
영상의학과,,(최신형 초전도 MRI 3.0 T),
영상의학과,컴퓨터당층촬영기실(CT),컴퓨터당층촬영기(CT),"두부외상 및 골절, 수두종, 뇌출혈 각종종양 등 질환 및 훙부, 복부, 근골계 등"
영상의학과,,,뇌의 전신의 질환을 진단
영상의학과,초음파,초음파,"복부, 간, 갑상선, 유방, 근골격계 등  부위 검사 시행"
영상의학과,일반촬영,일반촬영,"단순 흉부, 복부, 단순 골격, 단순 부비동, 단순경부 연조직, 유방 촬영 등 실시"
영상의학과,특수촬영,,"요로조영검사, 내시경적 역행성 담도췌관조영술 (ERCP) 시행"
영상의학과,중재적시술,투시 및 혈관조영 엑스선기,"TACE(간동맥화학색전술), RFA(고주파열치료), PICC(말초혈관둥심정맥유치술)"
영상의학과,,,PCD(경피적카테터배액술) 등 시행
핵의학과,PET-CT 실,양전자단층촬영(PET-CT),"양전자방출 단층 촬영장치 는 암(종양) 진단, 전이 암이 발결된 환자에서 원발"
핵의학과,,,"병소 발견, 암의 범위 평가, 뇌질환 진단 및 심장 질환 진단"
핵의학과,,,파킨슨병의 진단에 사용되는 F-18 FP-CIT PET-CT 실시
핵의학과,체내검사실,감마카메라,"심근혈류, 뇌혈류, 전신 뼈, 신장기능, 갑상선, 소화기계 검사 등 검사 시행"
외과,"대장, 항문 클리닉",S상 결장경,"소화기암(위암,대장암), 내분비계질환(갑상선암, 두경부 질환 및 종양)"
외과,유방암 클리닉,초음파,"간,담도, 취장질환, 복강경 수술,대장 항문질환,  혈관질환, 소아외과"
외과,복강경 클리릭,유방촬영기,"위장관 질환, 유방 질환 정맥질환  등을  수술 및 진단 치료"
정형외과,관절센터,자기공명영상장치(MRI),"슬관절, 인공치환수술, 근골계질환, 스포츠손상, 사지마비 및 기형 교정"
정형외과,,컴퓨터당층촬영기(CT),"고관절, 관절염치료 및 관절경 수술, 각종 골절 및 탈구 외상치료"
정형외과,,초음파,각종 요통 및 척추질환의 진단과 치료
정형외과,,관절경,관절경을 이용하여 관절의 피부절개 없이 진단 및 치료(수술)가 가능
정형외과,,골밀도 측정기,골다골증애 대한 정말 진단 및 치료
정형외과,석고실,,석고를 이용한 고정치료
신경외과,척추센터,자기공명영상장치(MRI),"뇌하수체 종양, 뇌기저부 질환, 뇌혈관질환, 뇌출혈, 뇌경색, 척추신경질환"
신경외과,,컴퓨터당층촬영기(CT),"(허리, 목 디스크), 두부외상, 혈과내 수술"
신경외과,,적외선 체열진단기,인체에서 자연적으로 방출되는 적외선을 감지하여 인체의 통증부위와 질병부위의 
신경외과,,,"미세한 체열변화를 컬러 영상으로 나타내주어, 신경병증, 근육통증, 순환장애"
신경외과,,,염증성 질환을 진단
산부인과,,초음파 검사,여성의 생식 기능과 연관된 정상 생리 및 질병 진료
산부인과,,,"골반염, 자궁내막증, 자궁근종, 자궁선근증, 난소낭종등 을 진료"
산부인과,,,자궁 경부암(자궁확대경검사) 진단 및 치료
산부인과,,복강경,여성 불임환자와 남성 불임환자를 각종 특수검사 시행하여 불임 진단 및 치료
산부인과,,,복강경을 이용한 영구 피임시술 시행
산부인과,,,"요실금(약물치료, TOT  수술) 부인과 성형수술 골다공증 폐경기클리닉"
산부인과,,,상담 후 수술 및 진단과 치료
산부인과,,골밀도 검사,"폐경을 전후한 여성은 여성호르몬의 감소 (골다공증, 심장질환, 우울증, 불면증"
산부인과,,,"불안증, 안면홍조, 기억력 및 집중력 감퇴) 로 인한 질병 관리"
이비인후과,,,"귀, 코, 목으로 불리는 5개의 구멍과 구멍들이 위치한 안면부와 목을 진료"
이비인후과,난청클리닉,,"귀, 코 목의 감각기관들의 청각검사, 전정기능검사, 후각검사, 수면간이 검사를 통해"
이비인후과,어지러움 클리닉,안진검사기,질환들을 진단
이비인후과,청력검사실,청력검사기,"이명, 노인성 난청, 어지러움증, 중이염, 안면신경마비, 만성부비동염, 비염"
이비인후과,전정기능 검사실,,인후두 역류 질환 등 진료
안과,,IOL master,"눈꺼풀과 눈물기관, 안와, 결막, 각막, 공막, 수정체, 포도막, 유리체, 망막의 질병들과"
안과,,자동시야검사계,"녹내장, 사시, 굴절이상, 시신겨으및 시각 경로의 질병 들, 전신질환과 관련하여"
안과,,자동굴절검사계,눈에 생길수 있는 광범위한 질환들을 치료
안과,,각막두께측정기,백내장 수술시 최적의 인공수정체 도수결정을 위한 최첨담 장비 및 녹내장 등의
안과,,초음파 Ascan,심각한 안과 질환등을 진단하는 장비로 진단 및 치료 시행
안과,,자동안압계,
안과,,안구광학단층촬영기,
비뇨의학과,종양클리닉,내시경 수술기,"소변을 만들고 운반하고 배설하는 기능을 담당하는 요로계( 신장, 요관, 방광, 요도),"
비뇨의학과,전립선클리닉,고주파 수술기,"남성 생식기관(고환, 부고환, 음낭, 음경) 및 부속성선(전립선, 정낭)과 부신에 생기는 "
비뇨의학과,방광경검사실,방광경,질환을 진단하고 진료
비뇨의학과,배뇨기능검사실,가스방광내압측정기," 종양클리닉(방광암, 전립선임, 신장암 등) 운영"
비뇨의학과,체외충격파 쇄석실,체외충격파쇄석기,"전립선 클리닉( 전립선 초음파 및 조직검사, 전립선 수술 등) 운영"
비뇨의학과,,,"여성 요실금 치 배뇨장애 클리닉(체외 자기장 치료기, 요실금 수술 등) 운영"
비뇨의학과,,,"요로결석 클리닉(체외 충격파 쇄석기, 요관경하 배석술 등) 운영"
비뇨의학과,,,성기능 장애 클리닉 운영
치과,소수술실,Dental CT,치아와 그 주위 조직 및 구강을 포함한 악안면 영역의 질병이나 비정상적 상태 등을
치과,,Panoramic,예방하고 진단하며 치료
치과,,,"외과적 처치(발치, 치주수술, 임플란트 시술 등)와 비외과적 처치(우식 와동 충전 처치,"
치과,,,"신경치료 , 보철수복 처치 등)  예방치료( 치석제거 등) "
마취통증의학과,수술실,,"수술에 대한 전신마취, 부위마취, 진정 시행, 수술 외 처치에 필요한 진정이나 마취"
마취통증의학과,회복실,,"요통, 오십견에 의한 어깨통증, 수술 후 통증치료, 대상;포진 후 신경통 진료"
마취통증의학과,통증클리닉,,
마취통증의학과,외래환자 마취실,,
응급의학과,,초음파진단기(이동),"광주,전남/북권역에서 발생되는 응급환자 발생시 신속 정확한 초기단계의 진료를"
응급의학과,,Automatic Blood , 통해 응급환자의 생명을 보존하고 진료를 위한 타진료영역과 연계를 통하여 효율
응급의학과,,Gas Analyzer,적인 진료 응급환자들에게 양질의 진료를 제공하기 위해 24시간 진료체제로 운영
혈액종양내과,,Blood Warmer,각종 혈액 질환과 종양의 진단과 치료를 담당
혈액종양내과,,,"급만성백혈병, 악성림프종, 골수형성이상증후군, 다발성골수증 등과 같은 혈액 질환을 치료"
혈액종양내과,,,"두경부암, 폐암, 식도암, 위암, 간암, 췌담도암 등과 같은 종양을 치료"
