"진료과","소속부서","보유장비","진료내용"
"안과","수술실","백내장수술기","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","수술실","수술용 현미경(안과용)","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","수술실","후발성백내장수술기","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","수술실","안과 고주파수술기","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","진료실","세극등현미경","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"이비인후과","청력검사실","청력검사기","순음 청력 검사 및 임피던스 청력검사 등을 이용한 청각 장애자의 진단과 보청기선택 및 청력 훈련 지도"
"이비인후과","청력검사실","임피던스 검사기","순음 청력 검사 및 임피던스 청력검사 등을 이용한 청각 장애자의 진단과 보청기선택 및 청력 훈련 지도"
"이비인후과","청력검사실","뇌간유발반응검사기","인체 내의 자율신경(청각, 시각, 촉각)의 이상으로 생기는 제반 질환을 분석하여 청각신경의 이상유무를 판단"
"이비인후과","평형검사실","안진검사기","인체가 평형을 유지하는데 필요한 균형 감각과 운동성 등 균형을 유지하게 하는 기능적 능력을 평가"
"이비인후과","평형검사실","전정기관자극기","인체가 평형을 유지하는데 필요한 균형 감각과 운동성 등 균형을 유지하게 하는 기능적 능력을 평가"
"이비인후과","수술실","ENT 미세절삭기","부비동염, 귀, 코, 목 질환 수술시 사용"
"이비인후과","수술실","수술용 현미경(공용)","부비동염, 귀, 코, 목 질환 수술시 사용"
"이비인후과","진료실","ENT 유니트 체어","귀, 코, 목 등에 발생되는 기본질환 검사"
"피부과","레이져실","CO2 Laser","점, 검버섯, 사마귀, 티눈 등의 제거"
"피부과","레이져실","냉동치료기","점, 검버섯, 사마귀, 티눈 등의 제거"
"비뇨의학과","쇄석실","체외충격파쇄석기","체외 충격파를 이용하여 인체 내부에 있는 요로결석 제거 및 요관경을 통해 Probe를 넣어 콩팥, 요관, 방광내의 요석을 쇄석"
"비뇨의학과","수술실","체내충격파수술기","체외 충격파를 이용하여 인체 내부에 있는 요로결석 제거 및 요관경을 통해 Probe를 넣어 콩팥, 요관, 방광내의 요석을 쇄석"
"비뇨의학과","수술실","방광경","체외 충격파를 이용하여 인체 내부에 있는 요로결석 제거 및 요관경을 통해 Probe를 넣어 콩팥, 요관, 방광내의 요석을 쇄석"
"비뇨의학과","수술실","양극성전립선 수술기","전립선암 및 전립성 질환 환자의 수술시행"
"비뇨의학과","검사실","전립선초음파 진단기","전립선암 및 비뇨기과 질환의 환자에게 발생되는 증상 중 소변의 양, 흐름의 속도, 방광, 요도의 압력등을 검사"
"비뇨의학과","검사실","요역동학검사기","전립선암 및 비뇨기과 질환의 환자에게 발생되는 증상 중 소변의 양, 흐름의 속도, 방광, 요도의 압력등을 검사"
"비뇨의학과","검사실","잔뇨량측정기","전립선암 및 비뇨기과 질환의 환자에게 발생되는 증상 중 소변의 양, 흐름의 속도, 방광, 요도의 압력등을 검사"
"비뇨의학과","검사실","체외자기장치료기","전기신경자극을 통한 요실금 치료"
"재활의학과","근전도실","근전도검사기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","초음파치료기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","견인치료기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","간섭파치료기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","근육전기자극치료기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","극초단파치료기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","레이져치료기","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","열전기치료실","경치신경자극(Tens)","근전도 검사를 시행하여 신경 근육의 각종 질환의 진단을 비롯하여 말초 신경의 손상 부위 정도, 예후를 판정하고 온열치료 및 전기치료등을 시행하고 통증 환자의 통증을 제거함"
"재활의학과","운동치료실","틸팅테이블","각종 운동치료장비를 통한 훈련으로 재활환자의 회복에 도움을 줌"
"재활의학과","운동치료실","균형훈련용테이블","각종 운동치료장비를 통한 훈련으로 재활환자의 회복에 도움을 줌"
"재활의학과","운동치료실","트레드밀","각종 운동치료장비를 통한 훈련으로 재활환자의 회복에 도움을 줌"
"재활의학과","운동치료실","기립훈련기","각종 운동치료장비를 통한 훈련으로 재활환자의 회복에 도움을 줌"
"재활의학과","운동치료실","팔,다리전동운동기","각종 운동치료장비를 통한 훈련으로 재활환자의 회복에 도움을 줌"
"재활의학과","운동치료실","근육운동및강직치료기","각종 운동치료장비를 통한 훈련으로 재활환자의 회복에 도움을 줌"
"재활의학과","작업치료실","작업치료용 기구세트","혀근력 및 각종 작업치료"
"재활의학과","작업치료실","혀근력측정기 및 강화훈련기","혀근력 및 각종 작업치료"
"가정의학과","신체계측실","체성분분석기","신체의 체성분인 수분, 근육, 지방, 단백질을 분석하여 몸의 균형관리, 비만관리, 운동처방등 건강증진에 이용"
"치과","파노라마실","파노라마 & CT","치아의 상태검사, 발치, 치료, 임플란트 등의 일체의 행위"
"치과","치과진료실","유니트체어","치아의 상태검사, 발치, 치료, 임플란트 등의 일체의 행위"
"치과","임플란트실","임플란트수술기","치아의 상태검사, 발치, 치료, 임플란트 등의 일체의 행위"
"마취통증의학과","수술실","무영등","수술시 병변을 비추거나 자세를 잡아 주는등 수술의 위한 기본적인 필요장비"
"마취통증의학과","수술실","수술대","수술시 병변을 비추거나 자세를 잡아 주는등 수술의 위한 기본적인 필요장비"
"마취통증의학과","수술실","전기수술기","수술시 병변을 비추거나 자세를 잡아 주는등 수술의 위한 기본적인 필요장비"
"마취통증의학과","수술실","마취기","수술시 병변을 비추거나 자세를 잡아 주는등 수술의 위한 기본적인 필요장비"
"마취통증의학과","수술실","기구세척기","수술용 기구 세척"
"마취통증의학과","회복실","환자감시모니터시스템","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","회복실","체온조절기","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","회복실","정맥마취용실린지펌프","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","회복실","수액주입기","수술 준비 및 수술 후 회복을 위한 일체의 행위"
"마취통증의학과","외래진료실","초음파진단기","통증치료를 위한 시술에 사용"
"마취통증의학과","외래진료실","비디오후두경","기관지 검사"
"영상의학과","MRI 실","자기공명영상장치","방사선 검사와 달리 방사선 피폭 등의 불안요소 없이 수술을 하지 않고 인체내부를 관찰할수 있는 첨단 영상기법으로 암, 관절, 연부조직, 뇌, 중추신경, 심맥관계와 흉부, 복부, 골반, 근골격계 및 사지 등의 진단"
"영상의학과","CT 실","전산화단층촬영장치","두부, 복부, 골절, 수두종, 뇌출혈, 각종 뇌종양 및 기타 전신 어느 부위나 단층 촬영에 의해 검사할 수 있으며, 정확도가 높아 진료 각 과에서 광범위하게 이용"
"영상의학과","일반촬영실","일반 X-Ray 촬영장치","결핵 및 폐암등 흉부의 이상유무와 복부, 골절 및 탈골등의 뼈의 이상유무 진단"
"영상의학과","초음파검사실","초음파진단기","담낭, 간, 췌장, 비장의 진단에 이용되고 혈관의 혈류상태, 갑상선, 유방등 신체의 대부분의 영역 진단에 이용"
"영상의학과","골밀도검사실","골밀도검사기","골대사성질환 (골다공증, 부 갑상선 기능 항진증, 신성골이영양증, 다발성골수증, 피재씨 병을 포함한 골 조직의 이상을 초래한 질병을 총칭함) 환자의 진단"
"영상의학과","판독실","판독용모니터","각종 진단을 위해 촬영한 이미지를 화면을 통해 판독"
"영상의학과","수술실","C-Arm 촬영장치","정형외과, 신경외과, 일반외과 등의 수술시 환자의 수술부위를 정확하게 X-선으로 투시하면서 수술을 시행"
"진단검사의학과","혈액검사실","자동혈구분석기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","혈액검사실","자동혈액응고검사기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","혈액검사실","혈액가스분석기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","혈액검사실","혈구침강속도측정기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","혈액검사실","혈액보관 냉동/냉장고","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","혈액검사실","당화혈색소검사기(임대)","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","화학검사실","자동생화학검사기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","화학검사실","면역발광측정기(임대)","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","일반검사실","삼투압측정기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","일반검사실","소변검사기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","일반검사실","원심분리기","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","일반검사실","표본검사용현미경","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"진단검사의학과","일반검사실","시약보관냉장고","혈액내 혈구의 수 및 혈류형태 분석을 통하여 각종 질병을 진단, 인체내의 혈장을 검체로하여 혈액 응고기능을 분석, 환자의 혈액 내에 존재하는 pO2, pCO2, 전해질 등을 측정하는 혈액검사, 인체대사와 관련 있는 물질을 다양한 분석법을 이용하여 생화학검사 및 면역혈청, 약품검사, 혈액응고검사, 전해질검사, 호르몬검사등의 화학검사, 소변검사등"
"중환자실","중환자실","환자감시모니터시스템","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"중환자실","중환자실","인공호흡기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"중환자실","중환자실","제세동기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"중환자실","중환자실","수액주입기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"중환자실","중환자실","체온조절기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"중환자실","중환자실","혈액가온기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
"중환자실","중환자실","심전도기","전 진료과에서 집중진료를 요하는 중환자를 최신 의료장비로 집중적으로 치료"
