"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원연인원","10"," G81 "," 편마비 ","37","2575","778297221","0","181","283","1491","620","0"
"입원연인원","11"," C34 "," 기관지 및 폐의 악성 신생물 ","88","2433","1085739671","211","160","57","1319","482","204"
"입원연인원","12"," C18 "," 결장의 악성 신생물 ","92","2389","976881874","140","0","13","1633","434","169"
"입원연인원","13"," G20 "," 파킨슨병 ","46","2379","651766852","211","91","31","1792","254","0"
"입원연인원","14"," J69 "," 고체 및 액체에 의한 폐염 ","32","2325","848650493","39","0","0","1821","224","241"
"입원연인원","15"," M51 "," 기타 추간판장애 ","40","2095","458750772","249","76","155","828","787","0"
"입원연인원","16"," K81 "," 담낭염 ","69","2035","790747830","9","49","29","1136","540","272"
"입원연인원","17"," N18 "," 만성 콩팥(신장)기능상실 ","36","1833","693768296","0","486","27","604","631","85"
"입원연인원","18"," S72 "," 대퇴골의 골절 ","41","1800","510754842","48","0","24","745","810","173"
"입원연인원","19"," C22 "," 간 및 간내담관의 악성 신생물 ","81","1678","725301968","73","31","23","1052","475","24"
"입원연인원","20"," C25 "," 췌장의 악성신생물 ","57","1569","707782784","87","2","46","660","774","0"
"외래","1"," N40 "," 전립선증식증 ","24715","","1908427331","613","885","1394","18209","2388","1226"
"외래","2"," I10 "," 본태성(원발성) 고혈압 ","17670","","1143781775","1537","1016","1830","10625","1970","692"
"외래","3"," E11 "," 인슐린-비의존 당뇨병 ","17137","","1994781894","1376","1004","1463","11380","1615","299"
"외래","4"," M48 "," 기타 척추병증 ","17020","","1574621516","1062","1045","1212","11473","1857","371"
"외래","5"," E30 "," 달리 분류되지 않은 사춘기의 장애 ","16499","","1571187280","16495","4","0","0","0","0"
"외래","6"," I20 "," 협심증 ","13905","","1367933814","662","641","918","10066","1347","271"
"외래","7"," M17 "," 윤충증 ","13277","","1382089051","456","675","1292","9134","1369","351"
"외래","8"," K05 "," 치은염(잇몸염) 및 치주질환 ","11307","","2447505420","907","675","786","7934","878","127"
"외래","9"," Z26 "," 기타 단일 감염성 질환에 대한 예방접종의 필요 ","9727","","844567720","5921","700","813","1909","280","104"
"외래","10"," I63 "," 뇌경색증 ","7937","","681597976","518","405","456","4874","1269","415"
"외래","11"," K21 "," 위-식도역류병 ","7260","","805074596","479","408","507","5024","705","137"
"외래","12"," H25 "," 노인성 백내장 ","6131","","324467533","42","149","292","5077","445","126"
"외래","13"," F00 "," 알츠하이머병에서의 치매(G30.-+) ","6065","","298089818","17","44","119","2198","2647","1040"
"외래","14"," M51 "," 기타 추간판장애 ","5816","","419552493","990","276","346","3936","192","76"
"외래","15"," M75 "," 어깨병변 ","5780","","426305686","641","366","491","3823","428","31"
"외래","16"," Z49 "," 투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ","5230","","1422303917","1177","404","349","2780","520","0"
"외래","17"," C61 "," 전립선의 악성 신생물 ","5118","","957958361","20","87","118","3951","737","205"
"외래","18"," R41 "," 인지기능 및 자각에 관한 기타 증상 및 징후 ","5054","","468229553","64","106","396","3576","755","157"
"외래","19"," J44 "," 기타 만성 폐쇄성 폐질환 ","4676","","463497893","111","109","142","3453","593","268"
"외래","20","R63","음식 및 수액섭취에 관계된 증상 및 징후","4573","","192574492","155","85","213","3314","627","179"
